time,Houston,pts.away,score,pts.home,Orlando
8:17.0,E. Gordon misses 3-pt shot from 28 ft,,30-28,,
8:16.0,Offensive rebound by P. Beverley,,30-28,,
8:06.0,C. Brewer misses 2-pt shot from 6 ft,,30-28,,
8:04.0,,,30-28,,Defensive rebound by N. Vucevic
7:51.0,,,30-28,,Turnover by J. Green (lost ball; steal by E. Gordon)
7:43.0,E. Gordon makes 3-pt shot from 26 ft,3,33-28,,
7:17.0,,,33-28,,J. Meeks misses 3-pt shot from 27 ft
7:16.0,Defensive rebound by E. Gordon,,33-28,,
7:08.0,,,33-28,,Personal foul by B. Biyombo (drawn by E. Gordon)
7:02.0,P. Beverley misses 2-pt shot from 22 ft,,33-28,,
7:01.0,Offensive rebound by S. Dekker,,33-28,,
6:58.0,P. Beverley makes 3-pt shot from 25 ft (assist by S. Dekker),3,36-28,,
6:56.0,,,36-28,,Orlando full timeout
6:56.0,,,36-28,,S. Ibaka enters the game for B. Biyombo
6:56.0,,,36-28,,E. Fournier enters the game for N. Vucevic
6:41.0,,,36-31,3,D. Augustin makes 3-pt shot from 25 ft (assist by E. Fournier)
6:18.0,N. Hilario misses 2-pt shot from 17 ft,,36-31,,
6:15.0,,,36-31,,Defensive rebound by E. Fournier
5:59.0,,,36-31,,S. Ibaka misses 2-pt shot from 8 ft
5:57.0,Defensive rebound by C. Brewer,,36-31,,
5:43.0,,,36-31,,A. Gordon enters the game for J. Meeks
5:43.0,T. Ariza enters the game for E. Gordon,,36-31,,
5:43.0,R. Anderson enters the game for N. Hilario,,36-31,,
5:43.0,J. Harden enters the game for S. Dekker,,36-31,,
5:43.0,M. Harrell enters the game for C. Brewer,,36-31,,
5:34.0,J. Harden misses 3-pt shot from 26 ft,,36-31,,
5:32.0,Offensive rebound by P. Beverley,,36-31,,
5:29.0,J. Harden misses 3-pt shot from 24 ft,,36-31,,
5:27.0,Offensive rebound by P. Beverley,,36-31,,
5:18.0,Turnover by M. Harrell (lost ball; steal by D. Augustin),,36-31,,
4:58.0,,,36-31,,E. Fournier misses 2-pt shot from 1 ft (block by M. Harrell)
4:55.0,,,36-31,,Offensive rebound by E. Fournier
4:55.0,,,36-33,2,E. Fournier makes 2-pt shot from 2 ft
4:55.0,,,36-33,,Shooting foul by J. Harden (drawn by E. Fournier)
4:55.0,,,36-34,1,E. Fournier makes free throw 1 of 1
4:55.0,,,36-33,,N. Vucevic enters the game for J. Green
4:32.0,R. Anderson misses 2-pt shot from 22 ft,,36-34,,
4:30.0,,,36-34,,Defensive rebound by S. Ibaka
4:23.0,,,36-34,,Shooting foul by P. Beverley (drawn by D. Augustin)
4:23.0,,,36-35,1,D. Augustin makes free throw 1 of 2
4:23.0,,,36-36,1,D. Augustin makes free throw 2 of 2
4:11.0,T. Ariza makes 2-pt shot from 13 ft (assist by J. Harden),2,38-36,,
3:47.0,,,38-39,3,D. Augustin makes 3-pt shot from 27 ft
3:39.0,T. Ariza misses 3-pt shot from 26 ft,,38-39,,
3:37.0,,,38-39,,Defensive rebound by N. Vucevic
3:32.0,,,38-39,,Turnover by D. Augustin (lost ball; steal by P. Beverley)
3:27.0,T. Ariza makes 2-pt shot from 2 ft (assist by J. Harden),2,40-39,,
3:07.0,,,40-39,,A. Gordon misses 2-pt shot from 2 ft
3:05.0,,,40-39,,Offensive rebound by N. Vucevic
3:05.0,,,40-41,2,N. Vucevic makes 2-pt shot from 1 ft
2:53.0,Shooting foul by S. Ibaka (drawn by M. Harrell),,40-41,,
2:53.0,Houston full timeout,,40-41,,
2:53.0,M. Harrell misses free throw 1 of 2,,40-41,,
2:53.0,Offensive rebound by Team,,40-41,,
2:53.0,M. Harrell misses free throw 2 of 2,,40-41,,
2:53.0,E. Gordon enters the game for P. Beverley,,40-41,,
2:52.0,,,40-41,,Defensive rebound by N. Vucevic
2:33.0,,,40-41,,Shooting foul by E. Gordon (drawn by D. Augustin)
2:33.0,,,40-42,1,D. Augustin makes free throw 1 of 2
2:33.0,,,40-43,1,D. Augustin makes free throw 2 of 2
2:15.0,E. Gordon misses 3-pt shot from 25 ft,,40-43,,
2:13.0,Offensive rebound by T. Ariza,,40-43,,
2:10.0,E. Gordon misses 3-pt shot from 26 ft,,40-43,,
2:08.0,,,40-43,,Defensive rebound by S. Ibaka
2:01.0,,,40-43,,D. Augustin misses 2-pt shot from 3 ft
1:58.0,,,40-43,,Offensive rebound by N. Vucevic
1:58.0,,,40-45,2,N. Vucevic makes 2-pt shot from 1 ft
1:48.0,E. Gordon misses 3-pt shot from 24 ft,,40-45,,
1:47.0,,,40-45,,Defensive rebound by E. Fournier
1:37.0,,,40-47,2,S. Ibaka makes 2-pt shot at rim (assist by A. Gordon)
1:23.0,J. Harden makes 2-pt shot from 2 ft,2,42-47,,
1:04.0,,,42-47,,S. Ibaka misses 2-pt shot from 17 ft
1:03.0,,,42-47,,Offensive rebound by Team
1:02.0,,,42-49,2,N. Vucevic makes 2-pt shot at rim (assist by A. Gordon)
0:42.0,J. Harden misses 2-pt shot from 16 ft,,42-49,,
0:40.0,,,42-49,,Defensive rebound by S. Ibaka
0:16.0,,,42-52,3,A. Gordon makes 3-pt shot from 26 ft
0:07.0,,,42-52,,Personal take foul by A. Gordon (drawn by J. Harden)
0:07.0,,,42-52,,J. Green enters the game for A. Gordon
0:00.0,J. Harden makes 2-pt shot from 8 ft,2,44-52,,
0:00.0,End of 2nd quarter,,,,End of 2nd quarter
12:00.0,Start of 3rd quarter,,,,Start of 3rd quarter
11:48.0,,,44-52,,Shooting foul by M. Harrell (drawn by E. Fournier)
11:48.0,,,44-52,,E. Fournier misses free throw 1 of 2
11:48.0,,,44-52,,Offensive rebound by Team
11:48.0,,,44-53,1,E. Fournier makes free throw 2 of 2
11:35.0,R. Anderson makes 3-pt shot from 27 ft (assist by J. Harden),3,47-53,,
11:14.0,,,47-53,,E. Fournier misses 2-pt shot from 3 ft
11:10.0,Defensive rebound by T. Ariza,,47-53,,
10:58.0,T. Ariza makes 3-pt shot from 24 ft (assist by J. Harden),3,50-53,,
10:38.0,,,50-53,,S. Ibaka misses 3-pt shot from 26 ft
10:37.0,,,50-53,,Offensive rebound by B. Biyombo
10:33.0,,,50-53,,Turnover by E. Payton (bad pass; steal by R. Anderson)
10:24.0,R. Anderson makes 3-pt shot from 27 ft (assist by T. Ariza),3,53-53,,
10:04.0,,,53-53,,A. Gordon misses 3-pt shot from 24 ft
10:03.0,Defensive rebound by P. Beverley,,53-53,,
10:01.0,M. Harrell makes 2-pt shot at rim (assist by P. Beverley),2,55-53,,
10:01.0,Shooting foul by S. Ibaka (drawn by M. Harrell),,55-53,,
10:01.0,,,55-53,,Orlando full timeout
10:01.0,M. Harrell makes free throw 1 of 1,1,56-53,,
9:45.0,,,56-53,,Turnover by S. Ibaka (lost ball; steal by M. Harrell)
9:33.0,Turnover by M. Harrell (bad pass; steal by E. Payton),,56-53,,
9:21.0,,,56-55,2,E. Payton makes 2-pt shot from 2 ft
9:14.0,P. Beverley makes 2-pt shot from 3 ft (assist by J. Harden),2,58-55,,
9:02.0,,,58-55,,Shooting foul by T. Ariza (drawn by A. Gordon)
9:02.0,,,58-56,1,A. Gordon makes free throw 1 of 2
9:02.0,,,58-56,,A. Gordon misses free throw 2 of 2
9:02.0,,,58-56,,D. Augustin enters the game for E. Payton
8:59.0,Defensive rebound by M. Harrell,,58-56,,
8:41.0,T. Ariza misses 3-pt shot from 24 ft,,58-56,,
8:39.0,,,58-56,,Defensive rebound by E. Fournier
8:26.0,,,58-56,,A. Gordon misses 3-pt shot from 26 ft
8:25.0,,,58-56,,Offensive rebound by S. Ibaka
8:23.0,,,58-58,2,S. Ibaka makes 2-pt shot from 7 ft
8:10.0,Turnover by J. Harden (lost ball; steal by B. Biyombo),,58-58,,
8:05.0,,,58-60,2,S. Ibaka makes 2-pt shot at rim (assist by A. Gordon)
7:52.0,J. Harden misses 3-pt shot from 26 ft,,58-60,,
7:51.0,,,58-60,,Defensive rebound by D. Augustin
7:37.0,,,58-62,2,S. Ibaka makes 2-pt shot from 1 ft (assist by A. Gordon)
7:24.0,,,58-62,,Violation by B. Biyombo (kicked ball)
7:17.0,M. Harrell misses 2-pt shot at rim,,58-62,,
7:15.0,Offensive rebound by M. Harrell,,58-62,,
7:07.0,Turnover by J. Harden (kicked ball),,58-62,,
6:49.0,,,58-62,,D. Augustin misses 3-pt shot from 26 ft
6:48.0,Defensive rebound by J. Harden,,58-62,,
6:37.0,Turnover by J. Harden (lost ball; steal by E. Fournier),,58-62,,
6:25.0,,,58-64,2,A. Gordon makes 2-pt shot at rim (assist by B. Biyombo)
6:05.0,R. Anderson makes 2-pt shot from 5 ft (assist by J. Harden),2,60-64,,
5:40.0,,,60-64,,S. Ibaka misses 2-pt shot from 15 ft
5:39.0,,,60-64,,Offensive rebound by B. Biyombo
5:39.0,,,60-64,,B. Biyombo misses 2-pt shot from 2 ft
5:36.0,,,60-64,,Offensive rebound by S. Ibaka
5:28.0,,,60-64,,Turnover by B. Biyombo (bad pass; steal by P. Beverley)
5:19.0,M. Harrell makes 2-pt shot from 3 ft (assist by J. Harden),2,62-64,,
5:04.0,,,62-64,,Turnover by E. Fournier (lost ball; steal by P. Beverley)
5:01.0,P. Beverley makes 2-pt shot from 1 ft,2,64-64,,
4:33.0,E. Gordon enters the game for P. Beverley,,64-64,,
4:33.0,,,64-64,,N. Vucevic enters the game for B. Biyombo
4:33.0,N. Hilario enters the game for M. Harrell,,64-64,,
4:30.0,,,64-67,3,D. Augustin makes 3-pt shot from 26 ft (assist by A. Gordon)
4:13.0,R. Anderson makes 3-pt shot from 24 ft (assist by N. Hilario),3,67-67,,
3:52.0,,,67-69,2,A. Gordon makes 2-pt shot from 2 ft (assist by S. Ibaka)
3:52.0,,,67-69,,Shooting foul by J. Harden (drawn by A. Gordon)
3:52.0,,,67-70,1,A. Gordon makes free throw 1 of 1
3:26.0,E. Gordon makes 3-pt shot from 24 ft (assist by T. Ariza),3,70-70,,
3:00.0,,,70-70,,E. Fournier misses 3-pt shot from 25 ft
2:59.0,Defensive rebound by J. Harden,,70-70,,
2:47.0,Shooting foul by S. Ibaka (drawn by J. Harden),,70-70,,
2:47.0,Houston full timeout,,70-70,,
2:47.0,J. Harden misses free throw 1 of 2,,70-70,,
2:47.0,Offensive rebound by Team,,70-70,,
2:47.0,J. Harden makes free throw 2 of 2,1,71-70,,
2:47.0,S. Dekker enters the game for T. Ariza,,70-70,,
2:47.0,,,70-70,,J. Green enters the game for S. Ibaka
2:47.0,,,70-70,,E. Payton enters the game for D. Augustin
2:22.0,,,71-70,,A. Gordon misses 3-pt shot from 22 ft
2:21.0,Defensive rebound by N. Hilario,,71-70,,
2:11.0,R. Anderson makes 3-pt shot from 27 ft (assist by J. Harden),3,74-70,,
1:56.0,,,74-70,,J. Meeks enters the game for E. Fournier
1:49.0,,,74-70,,J. Green misses 3-pt shot from 25 ft
1:48.0,Defensive rebound by S. Dekker,,74-70,,
1:45.0,Turnover by J. Harden (bad pass; steal by J. Green),,74-70,,
1:32.0,,,74-70,,N. Vucevic misses 2-pt shot from 18 ft
1:31.0,,,74-70,,Offensive rebound by A. Gordon
1:29.0,,,74-70,,A. Gordon misses 2-pt shot from 2 ft
1:27.0,,,74-70,,Offensive rebound by A. Gordon
1:27.0,,,74-70,,A. Gordon misses 2-pt shot from 2 ft
1:25.0,,,74-70,,Offensive rebound by A. Gordon
1:25.0,,,74-72,2,A. Gordon makes 2-pt shot from 2 ft
1:17.0,J. Harden misses 2-pt shot from 1 ft (block by N. Vucevic),,74-72,,
1:17.0,Offensive rebound by Team,,74-72,,
1:17.0,P. Beverley enters the game for J. Harden,,74-72,,
1:08.0,R. Anderson makes 3-pt shot from 26 ft (assist by E. Gordon),3,77-72,,
0:50.0,,,77-72,,Turnover by N. Vucevic (lost ball; steal by S. Dekker)
0:33.0,E. Gordon misses 3-pt shot from 26 ft,,77-72,,
0:31.0,Offensive rebound by Team,,77-72,,
0:30.0,Turnover by S. Dekker (bad pass; steal by A. Gordon),,77-72,,
0:21.0,,,77-72,,Turnover by A. Gordon (bad pass; steal by R. Anderson)
0:03.0,E. Gordon makes 2-pt shot from 1 ft,2,79-72,,
0:00.0,,,79-75,3,J. Green makes 3-pt shot from 26 ft (assist by A. Gordon)
0:00.0,End of 3rd quarter,,,,End of 3rd quarter
12:00.0,Start of 4th quarter,,,,Start of 4th quarter
11:44.0,P. Beverley makes 3-pt shot from 25 ft (assist by E. Gordon),3,82-75,,
11:28.0,,,82-77,2,E. Payton makes 2-pt shot from 20 ft
11:04.0,P. Beverley misses 3-pt shot from 27 ft,,82-77,,
11:03.0,,,82-77,,Defensive rebound by J. Meeks
10:52.0,,,82-77,,N. Vucevic misses 2-pt shot from 8 ft
10:49.0,Defensive rebound by P. Beverley,,82-77,,
10:46.0,E. Gordon misses 3-pt shot from 25 ft,,82-77,,
10:44.0,,,82-77,,Defensive rebound by Team
10:31.0,,,82-77,,J. Meeks misses 3-pt shot from 25 ft
10:28.0,Defensive rebound by S. Dekker,,82-77,,
10:18.0,S. Dekker misses 3-pt shot from 25 ft,,82-77,,
10:17.0,,,82-77,,Defensive rebound by N. Vucevic
10:00.0,,,82-79,2,J. Green makes 2-pt shot from 1 ft
9:41.0,E. Gordon makes 2-pt shot from 1 ft (assist by N. Hilario),2,84-79,,
9:30.0,Personal foul by E. Gordon (drawn by E. Payton),,84-79,,
9:18.0,Personal foul by N. Hilario (drawn by N. Vucevic),,84-79,,
9:12.0,,,84-79,,Turnover by N. Vucevic (bad pass; steal by N. Hilario)
9:07.0,S. Dekker makes 2-pt shot from 1 ft (assist by C. Brewer),2,86-79,,
8:44.0,,,86-81,2,E. Payton makes 2-pt shot from 2 ft (assist by J. Green)
8:29.0,Turnover by P. Beverley (bad pass; steal by E. Payton),,86-81,,
8:24.0,,,86-83,2,J. Green makes 2-pt shot at rim (assist by D. Augustin)
8:04.0,E. Gordon makes 2-pt shot from 1 ft,2,88-83,,
7:43.0,,,88-83,,D. Augustin misses 3-pt shot from 23 ft
7:40.0,,,88-83,,Offensive rebound by E. Payton
7:37.0,,,88-83,,E. Payton misses 2-pt shot from 8 ft
7:34.0,,,88-83,,Offensive rebound by Team
7:34.0,Official timeout,,88-83,,
7:34.0,R. Anderson enters the game for S. Dekker,,88-83,,
7:34.0,,,88-83,,S. Ibaka enters the game for N. Vucevic
7:23.0,,,88-83,,Turnover by J. Meeks (step out of bounds)
7:11.0,R. Anderson makes 2-pt shot from 1 ft (assist by E. Gordon),2,90-83,,
6:53.0,,,90-83,,E. Payton misses 2-pt shot from 19 ft
6:49.0,Defensive rebound by N. Hilario,,90-83,,
6:41.0,N. Hilario misses 2-pt shot from 19 ft,,90-83,,
6:39.0,,,90-83,,Defensive rebound by J. Green
6:33.0,,,90-83,,J. Green misses 2-pt shot from 2 ft
6:30.0,,,90-83,,Offensive rebound by S. Ibaka
6:30.0,,,90-85,2,S. Ibaka makes 2-pt shot at rim
6:12.0,P. Beverley makes 2-pt shot from 8 ft,2,92-85,,
6:11.0,,,92-85,,Orlando full timeout
6:11.0,M. Harrell enters the game for N. Hilario,,92-85,,
6:11.0,,,92-85,,A. Gordon enters the game for E. Payton
6:11.0,,,92-85,,E. Fournier enters the game for J. Green
6:11.0,,,92-85,,N. Vucevic enters the game for J. Meeks
5:58.0,,,92-85,,Offensive foul by N. Vucevic
5:58.0,,,92-85,,Turnover by N. Vucevic (offensive foul)
5:43.0,M. Harrell misses 2-pt shot from 15 ft,,92-85,,
5:43.0,Offensive rebound by Team,,92-85,,
5:43.0,,,92-85,,Loose ball foul by D. Augustin (drawn by R. Anderson)
5:43.0,J. Harden enters the game for M. Harrell,,92-85,,
5:34.0,C. Brewer misses 3-pt shot from 25 ft,,92-85,,
5:32.0,,,92-85,,Defensive rebound by E. Fournier
5:21.0,,,92-85,,Turnover by D. Augustin (bad pass; steal by J. Harden)
5:14.0,R. Anderson misses 3-pt shot from 26 ft,,92-85,,
5:12.0,Offensive rebound by P. Beverley,,92-85,,
5:02.0,E. Gordon misses 3-pt shot from 26 ft,,92-85,,
4:59.0,,,92-85,,Defensive rebound by A. Gordon
4:48.0,,,92-85,,E. Fournier misses 2-pt shot from 20 ft
4:47.0,,,92-85,,Offensive rebound by S. Ibaka
4:47.0,,,92-85,,Shooting foul by J. Harden (drawn by S. Ibaka)
4:47.0,,,92-87,2,S. Ibaka makes 2-pt shot from 4 ft
4:47.0,,,92-87,,S. Ibaka misses free throw 1 of 1
4:47.0,T. Ariza enters the game for P. Beverley,,92-87,,
4:47.0,N. Hilario enters the game for C. Brewer,,92-87,,
4:45.0,Defensive rebound by J. Harden,,92-87,,
4:24.0,R. Anderson misses 3-pt shot from 28 ft,,92-87,,
4:23.0,,,92-87,,Defensive rebound by A. Gordon
4:17.0,,,92-87,,Turnover by A. Gordon (bad pass; steal by N. Hilario)
4:09.0,E. Gordon misses 3-pt shot from 23 ft,,92-87,,
4:07.0,Offensive rebound by J. Harden,,92-87,,
3:54.0,T. Ariza makes 3-pt shot from 23 ft (assist by E. Gordon),3,95-87,,
3:37.0,,,95-90,3,A. Gordon makes 3-pt shot from 26 ft (assist by N. Vucevic)
3:15.0,J. Harden makes 2-pt shot from 13 ft,2,97-90,,
2:58.0,,,97-90,,N. Vucevic misses 2-pt shot from 11 ft
2:56.0,Defensive rebound by J. Harden,,97-90,,
2:48.0,T. Ariza misses 3-pt shot from 26 ft,,97-90,,
2:47.0,,,97-90,,Defensive rebound by S. Ibaka
2:24.0,,,97-93,3,N. Vucevic makes 3-pt shot from 26 ft (assist by D. Augustin)
2:09.0,Shooting foul by N. Vucevic (drawn by J. Harden),,97-93,,
2:09.0,Houston full timeout,,97-93,,
2:09.0,J. Harden makes free throw 1 of 2,1,98-93,,
2:09.0,J. Harden makes free throw 2 of 2,1,99-93,,
2:09.0,,,97-93,,J. Green enters the game for N. Vucevic
2:09.0,,,97-93,,E. Payton enters the game for D. Augustin
1:48.0,,,99-93,,E. Fournier misses 2-pt shot from 20 ft
1:46.0,Defensive rebound by R. Anderson,,99-93,,
