time,Denver,pts.away,score,pts.home,Phoenix
11:46.0,Defensive rebound by G. Harris,,21-33,,
11:39.0,,,21-33,,Personal foul by B. Knight
11:34.0,J. Murray misses 3-pt shot from 26 ft,,21-33,,
11:33.0,,,21-33,,Defensive rebound by P. Tucker
11:22.0,,,21-33,,P. Tucker misses 2-pt shot from 2 ft
11:18.0,Defensive rebound by W. Barton,,21-33,,
11:15.0,K. Faried misses 2-pt shot from 2 ft,,21-33,,
11:14.0,,,21-33,,Defensive rebound by A. Len
11:09.0,,,21-33,,P. Tucker misses 3-pt shot from 24 ft
11:07.0,Defensive rebound by J. Murray,,21-33,,
10:56.0,J. Murray makes 2-pt shot from 2 ft,2,23-33,,
10:52.0,,,23-33,,Shooting foul by W. Barton (drawn by D. Booker)
10:52.0,,,23-34,1,D. Booker makes free throw 1 of 2
10:52.0,,,23-35,1,D. Booker makes free throw 2 of 2
10:32.0,Turnover by W. Barton (bad pass; steal by D. Booker),,23-35,,
10:26.0,,,23-37,2,P. Tucker makes 2-pt shot from 1 ft (assist by B. Knight)
10:13.0,W. Barton misses 3-pt shot from 25 ft,,23-37,,
10:13.0,Offensive rebound by Team,,23-37,,
10:09.0,W. Chandler misses 2-pt shot from 18 ft,,23-37,,
10:09.0,Offensive rebound by G. Harris,,23-37,,
10:04.0,G. Harris makes 2-pt shot from 2 ft,2,25-37,,
9:52.0,,,25-37,,D. Booker misses 2-pt shot from 10 ft
9:50.0,Defensive rebound by K. Faried,,25-37,,
9:48.0,,,25-37,,Personal take foul by D. Booker (drawn by W. Barton)
9:34.0,W. Chandler misses 2-pt shot from 14 ft,,25-37,,
9:32.0,,,25-37,,Defensive rebound by P. Tucker
9:21.0,,,25-37,,Turnover by D. Booker (bad pass; steal by G. Harris)
9:17.0,W. Barton makes 2-pt shot from 3 ft,2,27-37,,
9:17.0,,,27-37,,Phoenix full timeout
9:17.0,,,27-37,,E. Bledsoe enters the game for D. Booker
9:04.0,,,27-37,,E. Bledsoe misses 2-pt shot from 19 ft
9:01.0,Defensive rebound by G. Harris,,27-37,,
8:53.0,J. Murray makes 2-pt shot at rim (assist by W. Barton),2,29-37,,
8:38.0,,,29-37,,B. Knight misses 2-pt shot from 20 ft
8:38.0,Defensive rebound by K. Faried,,29-37,,
8:30.0,G. Harris misses 2-pt shot from 1 ft (block by A. Len),,29-37,,
8:30.0,,,29-37,,Defensive rebound by Team
8:14.0,,,29-37,,Shooting foul by K. Faried (drawn by E. Bledsoe)
8:14.0,,,29-38,1,E. Bledsoe makes free throw 1 of 2
8:14.0,,,29-39,1,E. Bledsoe makes free throw 2 of 2
8:14.0,,,29-38,,T. Warren enters the game for J. Dudley
8:01.0,K. Faried makes 2-pt shot at rim (assist by J. Murray),2,31-39,,
8:01.0,Shooting foul by A. Len (drawn by K. Faried),,31-39,,
8:01.0,K. Faried misses free throw 1 of 1,,31-39,,
8:00.0,,,31-39,,Defensive rebound by A. Len
7:49.0,Personal foul by K. Faried (drawn by A. Len),,31-39,,
7:49.0,D. Gallinari enters the game for G. Harris,,31-39,,
7:45.0,,,31-39,,Turnover by E. Bledsoe (bad pass; steal by K. Faried)
7:41.0,,,31-39,,Personal foul by T. Warren
7:33.0,K. Faried makes 2-pt shot from 10 ft,2,33-39,,
7:22.0,,,33-41,2,E. Bledsoe makes 2-pt shot from 2 ft (assist by P. Tucker)
7:04.0,W. Barton makes 2-pt shot from 2 ft,2,35-41,,
7:04.0,Shooting foul by E. Bledsoe (drawn by W. Barton),,35-41,,
7:04.0,W. Barton makes free throw 1 of 1,1,36-41,,
6:50.0,,,36-43,2,E. Bledsoe makes 2-pt shot from 8 ft (assist by B. Knight)
6:50.0,,,36-43,,Shooting foul by W. Barton (drawn by E. Bledsoe)
6:50.0,,,36-44,1,E. Bledsoe makes free throw 1 of 1
6:33.0,J. Murray makes 2-pt shot from 2 ft,2,38-44,,
6:33.0,Shooting foul by A. Len (drawn by J. Murray),,38-44,,
6:33.0,J. Murray makes free throw 1 of 1,1,39-44,,
6:33.0,,,38-44,,T. Chandler enters the game for A. Len
6:33.0,D. Arthur enters the game for W. Chandler,,38-44,,
6:10.0,,,39-44,,B. Knight misses 2-pt shot from 4 ft
6:10.0,Defensive rebound by K. Faried,,39-44,,
6:05.0,D. Gallinari makes 2-pt shot at rim (assist by W. Barton),2,41-44,,
6:05.0,,,41-44,,Phoenix full timeout
6:05.0,,,41-44,,D. Booker enters the game for B. Knight
5:55.0,,,41-44,,Offensive foul by T. Chandler
5:55.0,,,41-44,,Turnover by T. Chandler (offensive foul)
5:55.0,Official timeout,,41-44,,
5:41.0,W. Barton misses 2-pt shot from 10 ft,,41-44,,
5:40.0,,,41-44,,Defensive rebound by T. Chandler
5:19.0,,,41-44,,Turnover by D. Booker (bad pass; steal by W. Barton)
5:00.0,Shooting foul by T. Chandler (drawn by D. Gallinari),,41-44,,
5:00.0,D. Gallinari makes 2-pt shot from 2 ft,2,43-44,,
5:00.0,D. Gallinari makes free throw 1 of 1,1,44-44,,
4:39.0,,,44-44,,D. Booker misses 2-pt shot from 19 ft
4:37.0,,,44-44,,Offensive rebound by T. Chandler
4:37.0,,,44-46,2,T. Chandler makes 2-pt shot at rim
4:26.0,,,44-46,,Violation by E. Bledsoe (kicked ball)
4:20.0,J. Murray misses 2-pt shot from 19 ft,,44-46,,
4:19.0,,,44-46,,Defensive rebound by T. Warren
4:07.0,,,44-46,,T. Warren misses 3-pt shot from 22 ft
4:07.0,,,44-46,,Offensive rebound by Team
4:06.0,J. Nelson enters the game for J. Murray,,44-46,,
4:01.0,,,44-48,2,T. Warren makes 2-pt shot from 9 ft (assist by P. Tucker)
3:47.0,D. Arthur makes 3-pt shot from 26 ft (assist by J. Nelson),3,47-48,,
3:31.0,,,47-48,,Shooting foul by W. Barton (drawn by D. Booker)
3:31.0,,,47-49,1,D. Booker makes free throw 1 of 2
3:31.0,,,47-50,1,D. Booker makes free throw 2 of 2
3:31.0,G. Harris enters the game for W. Barton,,47-49,,
3:12.0,Shooting foul by D. Booker (drawn by G. Harris),,47-50,,
3:12.0,G. Harris misses free throw 1 of 2,,47-50,,
3:12.0,Offensive rebound by Team,,47-50,,
3:12.0,G. Harris makes free throw 2 of 2,1,48-50,,
2:57.0,,,48-52,2,D. Booker makes 2-pt shot from 2 ft
2:57.0,,,48-52,,Shooting foul by J. Nelson (drawn by D. Booker)
2:57.0,Denver full timeout,,48-52,,
2:57.0,,,48-53,1,D. Booker makes free throw 1 of 1
2:37.0,J. Nelson makes 2-pt shot from 20 ft (assist by D. Gallinari),2,50-53,,
2:20.0,,,50-55,2,D. Booker makes 2-pt shot from 3 ft
2:02.0,G. Harris misses 3-pt shot from 25 ft,,50-55,,
2:02.0,,,50-55,,Defensive rebound by E. Bledsoe
1:56.0,,,50-55,,E. Bledsoe misses 3-pt shot from 25 ft
1:56.0,Defensive rebound by Team,,50-55,,
1:56.0,W. Chandler enters the game for D. Arthur,,50-55,,
1:45.0,J. Nelson misses 3-pt shot from 25 ft,,50-55,,
1:44.0,,,50-55,,Defensive rebound by P. Tucker
1:37.0,,,50-55,,T. Warren misses 2-pt shot from 17 ft
1:37.0,Defensive rebound by J. Nelson,,50-55,,
1:24.0,,,50-55,,Def 3 sec tech foul by T. Chandler
1:24.0,D. Gallinari makes technical free throw,1,51-55,,
1:16.0,K. Faried makes 2-pt shot from 7 ft,2,53-55,,
1:00.0,,,53-57,2,D. Booker makes 2-pt shot from 1 ft
0:49.0,D. Gallinari makes 3-pt shot from 24 ft (assist by J. Nelson),3,56-57,,
0:31.0,,,56-57,,E. Bledsoe misses 2-pt shot from 2 ft
0:31.0,,,56-57,,Offensive rebound by T. Chandler
0:31.0,,,56-59,2,T. Chandler makes 2-pt shot at rim
0:12.0,G. Harris makes 2-pt shot from 1 ft,2,58-59,,
0:12.0,Shooting foul by T. Warren (drawn by G. Harris),,58-59,,
0:12.0,G. Harris makes free throw 1 of 1,1,59-59,,
0:08.0,,,59-59,,Shooting foul by G. Harris (drawn by E. Bledsoe)
0:08.0,,,59-60,1,E. Bledsoe makes free throw 1 of 2
0:08.0,,,59-61,1,E. Bledsoe makes free throw 2 of 2
0:00.0,Turnover by J. Nelson (lost ball; steal by E. Bledsoe),,59-61,,
0:00.0,End of 2nd quarter,,,,End of 2nd quarter
12:00.0,Start of 3rd quarter,,,,Start of 3rd quarter
11:43.0,,,59-64,3,E. Bledsoe makes 3-pt shot from 25 ft (assist by D. Booker)
11:19.0,G. Harris misses 3-pt shot from 25 ft,,59-64,,
11:19.0,Offensive rebound by Team,,59-64,,
11:19.0,,,59-64,,Loose ball foul by D. Booker (drawn by K. Faried)
11:14.0,Shooting foul by M. Chriss (drawn by J. Nelson),,59-64,,
11:14.0,J. Nelson misses free throw 1 of 2,,59-64,,
11:14.0,Offensive rebound by Team,,59-64,,
11:14.0,J. Nelson makes free throw 2 of 2,1,60-64,,
10:57.0,,,60-64,,D. Booker misses 3-pt shot from 23 ft
10:57.0,Defensive rebound by J. Nurkic,,60-64,,
10:51.0,Offensive foul by J. Nurkic,,60-64,,
10:51.0,Turnover by J. Nurkic (offensive foul),,60-64,,
10:33.0,,,60-64,,D. Booker misses 2-pt shot from 18 ft
10:31.0,Defensive rebound by D. Gallinari,,60-64,,
10:28.0,,,60-64,,Personal foul by D. Booker (drawn by J. Nelson)
10:28.0,,,60-64,,B. Knight enters the game for D. Booker
10:18.0,K. Faried misses 2-pt shot from 2 ft,,60-64,,
10:17.0,Offensive rebound by K. Faried,,60-64,,
10:17.0,K. Faried makes 2-pt shot from 2 ft,2,62-64,,
9:51.0,,,62-64,,E. Bledsoe misses 2-pt shot from 18 ft
9:50.0,Defensive rebound by J. Nurkic,,62-64,,
9:47.0,Shooting foul by T. Chandler (drawn by K. Faried),,62-64,,
9:47.0,K. Faried makes free throw 1 of 2,1,63-64,,
9:47.0,K. Faried makes free throw 2 of 2,1,64-64,,
9:24.0,,,64-64,,T. Chandler misses 2-pt shot from 2 ft
9:24.0,,,64-64,,Offensive rebound by T. Warren
9:23.0,,,64-64,,T. Warren misses 2-pt shot from 2 ft
9:23.0,,,64-64,,Offensive rebound by Team
9:23.0,,,64-64,,Turnover by Team (shot clock)
9:09.0,D. Gallinari misses 2-pt shot from 22 ft,,64-64,,
9:08.0,,,64-64,,Defensive rebound by T. Chandler
9:08.0,Personal foul by J. Nurkic (drawn by T. Chandler),,64-64,,
8:55.0,,,64-64,,Shooting foul by K. Faried (drawn by M. Chriss)
8:55.0,,,64-64,,M. Chriss misses free throw 1 of 2
8:55.0,,,64-64,,Offensive rebound by Team
8:55.0,,,64-64,,M. Chriss misses free throw 2 of 2
8:55.0,Defensive rebound by K. Faried,,64-64,,
8:44.0,J. Nelson makes 3-pt shot from 25 ft,3,67-64,,
8:25.0,,,67-66,2,E. Bledsoe makes 2-pt shot from 18 ft
8:19.0,,,67-66,,Personal foul by E. Bledsoe (drawn by J. Nelson)
8:19.0,J. Nelson makes free throw 1 of 2,1,68-66,,
8:19.0,J. Nelson makes free throw 2 of 2,1,69-66,,
8:11.0,,,69-66,,Offensive charge foul by T. Warren
8:11.0,,,69-66,,Turnover by T. Warren (offensive foul)
7:55.0,Shooting foul by T. Warren (drawn by J. Nelson),,69-66,,
7:55.0,J. Nelson makes free throw 1 of 2,1,70-66,,
7:55.0,J. Nelson makes free throw 2 of 2,1,71-66,,
7:55.0,,,70-66,,P. Tucker enters the game for T. Warren
7:36.0,,,71-66,,B. Knight misses 3-pt shot from 25 ft
7:35.0,Defensive rebound by G. Harris,,71-66,,
7:26.0,J. Nurkic misses 2-pt shot from 2 ft,,71-66,,
7:25.0,,,71-66,,Defensive rebound by M. Chriss
7:20.0,,,71-66,,E. Bledsoe misses 2-pt shot from 1 ft
7:18.0,Defensive rebound by J. Nelson,,71-66,,
7:09.0,D. Gallinari makes 2-pt shot from 16 ft,2,73-66,,
7:09.0,,,73-66,,Phoenix full timeout
6:56.0,,,73-66,,M. Chriss misses 3-pt shot from 25 ft
6:56.0,Defensive rebound by D. Gallinari,,73-66,,
6:46.0,,,73-66,,Personal foul by P. Tucker (drawn by D. Gallinari)
6:46.0,D. Gallinari makes free throw 1 of 2,1,74-66,,
6:46.0,D. Gallinari makes free throw 2 of 2,1,75-66,,
6:25.0,,,75-66,,B. Knight misses 3-pt shot from 25 ft
6:25.0,Defensive rebound by J. Nelson,,75-66,,
6:13.0,,,75-66,,Personal foul by B. Knight (drawn by J. Nelson)
6:13.0,J. Nelson makes free throw 1 of 2,1,76-66,,
6:13.0,J. Nelson makes free throw 2 of 2,1,77-66,,
6:00.0,,,77-68,2,M. Chriss makes 2-pt shot from 20 ft (assist by E. Bledsoe)
5:44.0,K. Faried makes 2-pt shot from 2 ft (assist by G. Harris),2,79-68,,
5:32.0,,,79-70,2,E. Bledsoe makes 2-pt shot from 21 ft
5:20.0,G. Harris misses 3-pt shot from 26 ft,,79-70,,
5:19.0,,,79-70,,Defensive rebound by B. Knight
5:12.0,Personal foul by J. Nurkic (drawn by E. Bledsoe),,79-70,,
4:58.0,,,79-70,,P. Tucker misses 3-pt shot from 24 ft
4:57.0,Defensive rebound by K. Faried,,79-70,,
4:47.0,J. Nurkic makes 2-pt shot from 3 ft (assist by K. Faried),2,81-70,,
4:47.0,Shooting foul by M. Chriss (drawn by J. Nurkic),,81-70,,
4:47.0,J. Nurkic makes free throw 1 of 1,1,82-70,,
4:47.0,,,81-70,,J. Dudley enters the game for M. Chriss
4:35.0,,,82-70,,E. Bledsoe misses 2-pt shot from 10 ft
4:33.0,Defensive rebound by K. Faried,,82-70,,
4:26.0,Shooting foul by J. Dudley (drawn by K. Faried),,82-70,,
4:26.0,K. Faried makes free throw 1 of 2,1,83-70,,
4:26.0,K. Faried makes free throw 2 of 2,1,84-70,,
4:08.0,,,84-70,,B. Knight misses 2-pt shot from 18 ft
4:07.0,Defensive rebound by G. Harris,,84-70,,
3:59.0,G. Harris makes 3-pt shot from 26 ft (assist by J. Nelson),3,87-70,,
3:59.0,,,87-70,,Phoenix full timeout
3:59.0,,,87-70,,D. Booker enters the game for B. Knight
3:59.0,,,87-70,,L. Barbosa enters the game for J. Dudley
3:51.0,,,87-70,,Shooting foul by G. Harris (drawn by T. Chandler)
3:51.0,,,87-71,1,T. Chandler makes free throw 1 of 2
3:51.0,,,87-72,1,T. Chandler makes free throw 2 of 2
3:37.0,Turnover by J. Nurkic (lost ball; steal by T. Chandler),,87-72,,
3:33.0,,,87-74,2,L. Barbosa makes 2-pt shot from 1 ft
3:33.0,Denver full timeout,,87-74,,
3:33.0,W. Chandler enters the game for J. Nurkic,,87-74,,
3:33.0,W. Barton enters the game for G. Harris,,87-74,,
3:15.0,K. Faried makes 2-pt shot from 13 ft,2,89-74,,
2:58.0,,,89-74,,Turnover by L. Barbosa (bad pass; steal by K. Faried)
2:43.0,J. Nelson misses 2-pt shot from 22 ft,,89-74,,
2:42.0,Offensive rebound by W. Chandler,,89-74,,
2:28.0,D. Gallinari misses 3-pt shot from 26 ft,,89-74,,
2:26.0,,,89-74,,Defensive rebound by D. Booker
2:18.0,,,89-74,,Turnover by E. Bledsoe (lost ball; steal by W. Chandler)
2:12.0,D. Gallinari misses 2-pt shot at rim,,89-74,,
2:11.0,Offensive rebound by W. Barton,,89-74,,
2:00.0,Shooting foul by P. Tucker (drawn by D. Gallinari),,89-74,,
2:00.0,D. Gallinari makes free throw 1 of 2,1,90-74,,
2:00.0,D. Gallinari makes free throw 2 of 2,1,91-74,,
1:46.0,,,91-76,2,D. Booker makes 2-pt shot from 14 ft
1:32.0,Shooting foul by P. Tucker (drawn by K. Faried),,91-76,,
1:32.0,K. Faried makes free throw 1 of 2,1,92-76,,
1:32.0,K. Faried makes free throw 2 of 2,1,93-76,,
1:21.0,,,93-76,,D. Booker misses 3-pt shot from 27 ft
1:21.0,Defensive rebound by W. Barton,,93-76,,
1:02.0,W. Chandler makes 2-pt shot from 4 ft,2,95-76,,
0:54.0,,,95-79,3,L. Barbosa makes 3-pt shot from 25 ft (assist by E. Bledsoe)
0:38.0,Turnover by W. Chandler (bad pass; steal by E. Bledsoe),,95-79,,
0:35.0,,,95-79,,Shooting foul by J. Nelson (drawn by E. Bledsoe)
0:35.0,,,95-80,1,E. Bledsoe makes free throw 1 of 2
0:35.0,,,95-81,1,E. Bledsoe makes free throw 2 of 2
0:35.0,D. Arthur enters the game for K. Faried,,95-80,,
0:21.0,D. Arthur misses 2-pt shot from 16 ft,,95-81,,
0:20.0,,,95-81,,Defensive rebound by E. Bledsoe
0:01.0,,,95-83,2,T. Chandler makes 2-pt shot from 1 ft (assist by L. Barbosa)
0:01.0,,,95-83,,Shooting foul by W. Barton (drawn by T. Chandler)
0:01.0,,,95-83,,T. Chandler misses free throw 1 of 1
0:01.0,Defensive rebound by W. Chandler,,95-83,,
0:01.0,K. Faried enters the game for D. Gallinari,,95-83,,
0:00.0,End of 3rd quarter,,,,End of 3rd quarter
12:00.0,Start of 4th quarter,,,,Start of 4th quarter
11:40.0,W. Chandler makes 2-pt shot from 2 ft,2,97-83,,
11:28.0,,,97-85,2,D. Booker makes 2-pt shot from 3 ft
11:28.0,,,97-85,,Shooting foul by J. Murray (drawn by D. Booker)
11:28.0,,,97-85,,D. Booker misses free throw 1 of 1
11:27.0,Defensive rebound by W. Chandler,,97-85,,
11:11.0,,,97-85,,Personal block foul by A. Len (drawn by D. Arthur)
11:01.0,Turnover by W. Barton (bad pass),,97-85,,
10:54.0,Shooting block foul by J. Murray (drawn by E. Bledsoe),,97-85,,
10:54.0,,,97-86,1,E. Bledsoe makes free throw 1 of 2
10:54.0,,,97-87,1,E. Bledsoe makes free throw 2 of 2
10:38.0,J. Murray makes 3-pt shot from 25 ft (assist by G. Harris),3,100-87,,
10:13.0,,,100-87,,E. Bledsoe misses 3-pt shot from 26 ft
10:12.0,,,100-87,,Offensive rebound by D. Booker
10:08.0,,,100-87,,D. Booker misses 2-pt shot from 2 ft
10:06.0,Defensive rebound by G. Harris,,100-87,,
9:59.0,Turnover by W. Barton (bad pass; steal by P. Tucker),,100-87,,
9:55.0,,,100-89,2,L. Barbosa makes 2-pt shot from 2 ft (assist by P. Tucker)
9:55.0,Denver full timeout,,100-89,,
9:43.0,Shooting foul by A. Len (drawn by W. Chandler),,100-89,,
9:43.0,W. Chandler makes free throw 1 of 2,1,101-89,,
9:43.0,W. Chandler makes free throw 2 of 2,1,102-89,,
9:24.0,,,102-89,,Shooting foul by D. Arthur (drawn by E. Bledsoe)
9:24.0,,,102-90,1,E. Bledsoe makes free throw 1 of 3
9:24.0,,,102-91,1,E. Bledsoe makes free throw 2 of 3
9:24.0,,,102-92,1,E. Bledsoe makes free throw 3 of 3
9:24.0,,,102-91,,T. Chandler enters the game for A. Len
9:18.0,,,102-92,,Personal foul by L. Barbosa (drawn by G. Harris)
9:08.0,D. Arthur misses 3-pt shot from 24 ft,,102-92,,
9:07.0,,,102-92,,Defensive rebound by L. Barbosa
8:57.0,,,102-94,2,T. Chandler makes 2-pt shot from 1 ft (assist by L. Barbosa)
8:46.0,Turnover by J. Murray (bad pass; steal by T. Chandler),,102-94,,
8:41.0,,,102-94,,P. Tucker misses 2-pt shot from 1 ft
8:41.0,Defensive rebound by W. Barton,,102-94,,
8:41.0,,,102-94,,Personal foul by L. Barbosa (drawn by W. Barton)
8:41.0,J. Nelson enters the game for W. Barton,,102-94,,
8:31.0,W. Chandler misses 2-pt shot from 8 ft,,102-94,,
8:29.0,Offensive rebound by D. Arthur,,102-94,,
8:29.0,D. Arthur misses 2-pt shot from 2 ft,,102-94,,
8:28.0,Offensive rebound by D. Arthur,,102-94,,
