time,Dallas,pts.away,score,pts.home,Brooklyn
3:02.0,,,26-17,1,S. Dinwiddie makes free throw 1 of 2
3:02.0,,,26-18,1,S. Dinwiddie makes free throw 2 of 2
3:02.0,Y. Ferrell enters the game for J. Barea,,26-17,,
3:02.0,D. Nowitzki enters the game for H. Barnes,,26-17,,
2:46.0,Y. Ferrell misses 2-pt shot from 20 ft,,26-18,,
2:45.0,,,26-18,,Defensive rebound by A. Nicholson
2:35.0,,,26-21,3,K. McDaniels makes 3-pt shot from 24 ft (assist by S. Dinwiddie)
2:23.0,Turnover by D. Harris (traveling),,26-21,,
2:03.0,,,26-21,,Shooting foul by W. Matthews (drawn by Q. Acy)
2:03.0,,,26-21,,Q. Acy misses free throw 1 of 3
2:03.0,,,26-21,,Offensive rebound by Team
2:03.0,,,26-22,1,Q. Acy makes free throw 2 of 3
2:03.0,,,26-23,1,Q. Acy makes free throw 3 of 3
2:03.0,D. Finney-Smith enters the game for W. Matthews,,26-21,,
1:53.0,D. Nowitzki makes 2-pt shot from 15 ft (assist by Y. Ferrell),2,28-23,,
1:35.0,,,28-23,,Q. Acy misses 2-pt shot at rim (block by N. Noel)
1:33.0,,,28-23,,Offensive rebound by Team
1:24.0,,,28-26,3,I. Whitehead makes 3-pt shot from 25 ft (assist by A. Nicholson)
1:00.0,D. Harris misses 2-pt shot from 21 ft,,28-26,,
0:59.0,,,28-26,,Defensive rebound by A. Nicholson
0:48.0,,,28-26,,S. Dinwiddie misses 3-pt shot from 24 ft
0:47.0,Defensive rebound by Y. Ferrell,,28-26,,
0:34.0,Shooting foul by S. Dinwiddie (drawn by D. Harris),,28-26,,
0:34.0,D. Harris makes free throw 1 of 2,1,29-26,,
0:34.0,D. Harris makes free throw 2 of 2,1,30-26,,
0:20.0,,,30-26,,Q. Acy misses 3-pt shot from 24 ft
0:19.0,Defensive rebound by D. Harris,,30-26,,
0:01.0,Shooting foul by S. Dinwiddie (drawn by Y. Ferrell),,30-26,,
0:01.0,Y. Ferrell makes free throw 1 of 2,1,31-26,,
0:01.0,Y. Ferrell makes free throw 2 of 2,1,32-26,,
0:00.0,End of 1st quarter,,,,End of 1st quarter
12:00.0,Start of 2nd quarter,,,,Start of 2nd quarter
11:38.0,J. Barea makes 2-pt shot from 18 ft,2,34-26,,
11:11.0,,,34-26,,A. Nicholson misses 2-pt shot from 12 ft
11:10.0,Defensive rebound by N. Noel,,34-26,,
11:02.0,D. Harris makes 2-pt shot from 1 ft (assist by J. Barea),2,36-26,,
10:41.0,,,36-26,,Shooting foul by N. Noel (drawn by Q. Acy)
10:41.0,,,36-27,1,Q. Acy makes free throw 1 of 2
10:41.0,,,36-28,1,Q. Acy makes free throw 2 of 2
10:41.0,D. Powell enters the game for N. Noel,,36-27,,
10:23.0,D. Nowitzki misses 2-pt shot from 15 ft,,36-28,,
10:22.0,,,36-28,,Defensive rebound by K. McDaniels
10:15.0,,,36-30,2,I. Whitehead makes 2-pt shot from 2 ft (assist by K. McDaniels)
9:53.0,D. Nowitzki makes 2-pt shot from 5 ft,2,38-30,,
9:38.0,,,38-30,,I. Whitehead misses 3-pt shot from 26 ft
9:37.0,Defensive rebound by D. Finney-Smith,,38-30,,
9:28.0,,,38-30,,Def 3 sec tech foul by A. Nicholson
9:28.0,D. Nowitzki makes technical free throw,1,39-30,,
9:28.0,,,39-30,,R. Foye enters the game for K. McDaniels
9:23.0,,,39-30,,Personal foul by R. Foye (drawn by D. Powell)
9:14.0,D. Nowitzki misses 3-pt shot from 24 ft,,39-30,,
9:13.0,Offensive rebound by D. Powell,,39-30,,
9:02.0,D. Harris misses 3-pt shot from 24 ft,,39-30,,
9:01.0,Offensive rebound by Team,,39-30,,
8:49.0,J. Barea makes 2-pt shot from 20 ft,2,41-30,,
8:43.0,,,41-30,,Offensive foul by Q. Acy
8:43.0,,,41-30,,Turnover by Q. Acy (offensive foul)
8:43.0,Official timeout,,41-30,,
8:43.0,H. Barnes enters the game for D. Nowitzki,,41-30,,
8:24.0,D. Finney-Smith misses 3-pt shot from 23 ft,,41-30,,
8:23.0,,,41-30,,Defensive rebound by I. Whitehead
8:15.0,Personal foul by D. Harris (drawn by I. Whitehead),,41-30,,
8:01.0,,,41-30,,Q. Acy misses 2-pt shot from 8 ft
8:00.0,Defensive rebound by D. Powell,,41-30,,
7:43.0,D. Finney-Smith makes 3-pt shot from 25 ft (assist by D. Harris),3,44-30,,
7:24.0,,,44-30,,R. Foye misses 3-pt shot from 24 ft
7:23.0,Defensive rebound by H. Barnes,,44-30,,
7:10.0,H. Barnes makes 2-pt shot from 4 ft (assist by J. Barea),2,46-30,,
7:10.0,Shooting foul by A. Nicholson (drawn by H. Barnes),,46-30,,
7:10.0,,,46-30,,Brooklyn full timeout
7:10.0,H. Barnes makes free throw 1 of 1,1,47-30,,
7:10.0,S. Curry enters the game for D. Harris,,46-30,,
7:10.0,,,46-30,,B. Lopez enters the game for A. Nicholson
7:10.0,W. Matthews enters the game for D. Finney-Smith,,46-30,,
6:56.0,,,47-30,,Turnover by B. Lopez (lost ball; steal by J. Barea)
6:47.0,Turnover by J. Barea (bad pass),,47-30,,
6:40.0,,,47-30,,I. Whitehead misses 2-pt shot from 2 ft
6:38.0,Defensive rebound by W. Matthews,,47-30,,
6:20.0,J. Barea misses 2-pt shot from 5 ft,,47-30,,
6:19.0,,,47-30,,Defensive rebound by B. Lopez
6:09.0,,,47-30,,Shooting foul by D. Powell (drawn by B. Lopez)
6:09.0,,,47-31,1,B. Lopez makes free throw 1 of 2
6:09.0,,,47-32,1,B. Lopez makes free throw 2 of 2
6:09.0,,,47-31,,S. Dinwiddie enters the game for A. Goodwin
6:09.0,,,47-31,,R. Hollis-Jefferson enters the game for I. Whitehead
6:09.0,,,47-31,,C. LeVert enters the game for Q. Acy
6:09.0,N. Noel enters the game for D. Powell,,47-31,,
6:09.0,Y. Ferrell enters the game for J. Barea,,47-31,,
5:57.0,H. Barnes misses 2-pt shot from 17 ft,,47-32,,
5:56.0,,,47-32,,Defensive rebound by R. Foye
5:47.0,,,47-32,,Shooting foul by N. Noel (drawn by B. Lopez)
5:47.0,,,47-33,1,B. Lopez makes free throw 1 of 2
5:47.0,,,47-33,,B. Lopez misses free throw 2 of 2
5:46.0,Defensive rebound by N. Noel,,47-33,,
5:30.0,Turnover by Y. Ferrell (bad pass),,47-33,,
5:09.0,,,47-33,,Turnover by C. LeVert (traveling)
4:58.0,Shooting foul by R. Hollis-Jefferson (drawn by S. Curry),,47-33,,
4:58.0,S. Curry makes free throw 1 of 2,1,48-33,,
4:58.0,S. Curry makes free throw 2 of 2,1,49-33,,
4:48.0,,,49-33,,Turnover by R. Foye (bad pass; steal by N. Noel)
4:47.0,,,49-33,,Personal foul by B. Lopez (drawn by N. Noel)
4:37.0,S. Curry misses 3-pt shot from 25 ft,,49-33,,
4:36.0,,,49-33,,Defensive rebound by R. Foye
4:27.0,,,49-33,,B. Lopez misses 2-pt shot from 14 ft
4:26.0,,,49-33,,Offensive rebound by B. Lopez
4:25.0,,,49-33,,B. Lopez misses 2-pt shot from 1 ft
4:24.0,,,49-33,,Offensive rebound by B. Lopez
4:22.0,,,49-35,2,B. Lopez makes 2-pt shot from 2 ft
4:09.0,W. Matthews makes 3-pt shot from 24 ft (assist by Y. Ferrell),3,52-35,,
3:51.0,,,52-35,,C. LeVert misses 2-pt shot from 13 ft
3:50.0,Defensive rebound by S. Curry,,52-35,,
3:37.0,Turnover by N. Noel (bad pass),,52-35,,
3:23.0,,,52-35,,Turnover by B. Lopez (lost ball; steal by Y. Ferrell)
3:16.0,Offensive charge foul by H. Barnes,,52-35,,
3:16.0,Turnover by H. Barnes (offensive foul),,52-35,,
2:57.0,,,52-35,,B. Lopez misses 2-pt shot from 10 ft
2:56.0,Defensive rebound by N. Noel,,52-35,,
2:34.0,W. Matthews misses 3-pt shot from 23 ft,,52-35,,
2:33.0,,,52-35,,Defensive rebound by B. Lopez
2:24.0,,,52-35,,Turnover by R. Foye (traveling)
2:24.0,Dallas full timeout,,52-35,,
2:24.0,,,52-35,,I. Whitehead enters the game for R. Foye
2:24.0,J. Barea enters the game for N. Noel,,52-35,,
2:24.0,D. Nowitzki enters the game for Y. Ferrell,,52-35,,
2:01.0,S. Curry misses 3-pt shot from 25 ft,,52-35,,
2:00.0,,,52-35,,Defensive rebound by S. Dinwiddie
1:53.0,,,52-37,2,R. Hollis-Jefferson makes 2-pt shot from 19 ft
1:35.0,H. Barnes makes 3-pt shot from 24 ft (assist by J. Barea),3,55-37,,
1:20.0,,,55-37,,I. Whitehead misses 3-pt shot from 23 ft
1:19.0,Defensive rebound by D. Nowitzki,,55-37,,
1:11.0,W. Matthews misses 2-pt shot from 23 ft,,55-37,,
1:09.0,,,55-37,,Defensive rebound by C. LeVert
1:02.0,,,55-40,3,S. Dinwiddie makes 3-pt shot from 26 ft (assist by C. LeVert)
0:44.0,H. Barnes makes 2-pt shot from 13 ft,2,57-40,,
0:36.0,,,57-40,,S. Dinwiddie misses 3-pt shot from 25 ft
0:33.0,Defensive rebound by D. Nowitzki,,57-40,,
0:17.0,D. Nowitzki misses 3-pt shot from 25 ft,,57-40,,
0:16.0,,,57-40,,Defensive rebound by R. Hollis-Jefferson
0:01.0,,,57-43,3,C. LeVert makes 3-pt shot from 23 ft (assist by S. Dinwiddie)
0:00.0,End of 2nd quarter,,,,End of 2nd quarter
12:00.0,Start of 3rd quarter,,,,Start of 3rd quarter
11:51.0,Turnover by H. Barnes (illegal screen),,57-43,,
11:35.0,,,57-43,,C. LeVert misses 3-pt shot from 24 ft
11:33.0,,,57-43,,Offensive rebound by Team
11:29.0,,,57-46,3,B. Lopez makes 3-pt shot from 25 ft (assist by R. Foye)
11:09.0,D. Nowitzki makes 3-pt shot from 25 ft (assist by S. Curry),3,60-46,,
11:05.0,Personal foul by D. Nowitzki (drawn by B. Lopez),,60-46,,
10:57.0,,,60-46,,Shooting foul by Y. Ferrell (drawn by B. Lopez)
10:57.0,,,60-47,1,B. Lopez makes free throw 1 of 2
10:57.0,,,60-48,1,B. Lopez makes free throw 2 of 2
10:43.0,H. Barnes misses 2-pt shot from 11 ft,,60-48,,
10:42.0,,,60-48,,Defensive rebound by C. LeVert
10:29.0,,,60-50,2,C. LeVert makes 2-pt shot from 2 ft
10:07.0,D. Nowitzki misses 2-pt shot from 12 ft,,60-50,,
10:06.0,,,60-50,,Defensive rebound by C. LeVert
9:57.0,,,60-50,,B. Lopez misses 3-pt shot from 24 ft
9:56.0,Defensive rebound by W. Matthews,,60-50,,
9:32.0,D. Nowitzki misses 2-pt shot from 12 ft,,60-50,,
9:31.0,,,60-50,,Defensive rebound by R. Hollis-Jefferson
9:15.0,,,60-52,2,R. Hollis-Jefferson makes 2-pt shot from 5 ft
8:52.0,H. Barnes misses 2-pt shot from 1 ft,,60-52,,
8:50.0,,,60-52,,Defensive rebound by R. Foye
8:47.0,,,60-52,,Turnover by R. Foye (offensive foul)
8:47.0,,,60-52,,Offensive charge foul by R. Foye
8:38.0,S. Curry makes 2-pt shot from 11 ft,2,62-52,,
8:27.0,,,62-54,2,B. Lopez makes 2-pt shot from 16 ft
8:06.0,Turnover by W. Matthews (bad pass),,62-54,,
7:52.0,,,62-54,,Shooting foul by Y. Ferrell (drawn by S. Dinwiddie)
7:52.0,Dallas full timeout,,62-54,,
7:52.0,,,62-55,1,S. Dinwiddie makes free throw 1 of 3
7:52.0,,,62-56,1,S. Dinwiddie makes free throw 2 of 3
7:52.0,,,62-57,1,S. Dinwiddie makes free throw 3 of 3
7:35.0,S. Curry makes 2-pt shot from 19 ft,2,64-57,,
7:19.0,,,64-57,,C. LeVert misses 2-pt shot from 11 ft
7:18.0,Defensive rebound by H. Barnes,,64-57,,
7:10.0,S. Curry misses 2-pt shot from 10 ft (block by R. Hollis-Jefferson),,64-57,,
7:08.0,,,64-57,,Defensive rebound by R. Hollis-Jefferson
6:59.0,,,64-57,,B. Lopez misses 3-pt shot from 25 ft
6:58.0,Defensive rebound by Y. Ferrell,,64-57,,
6:42.0,Y. Ferrell misses 3-pt shot from 25 ft,,64-57,,
6:41.0,,,64-57,,Defensive rebound by R. Hollis-Jefferson
6:31.0,,,64-57,,C. LeVert misses 3-pt shot from 24 ft
6:30.0,Defensive rebound by H. Barnes,,64-57,,
6:11.0,D. Nowitzki makes 3-pt shot from 24 ft (assist by H. Barnes),3,67-57,,
5:50.0,,,67-57,,Shooting foul by D. Nowitzki (drawn by R. Hollis-Jefferson)
5:50.0,,,67-58,1,R. Hollis-Jefferson makes free throw 1 of 2
5:50.0,,,67-59,1,R. Hollis-Jefferson makes free throw 2 of 2
5:50.0,,,67-58,,K. McDaniels enters the game for C. LeVert
5:50.0,,,67-58,,I. Whitehead enters the game for R. Foye
5:50.0,N. Noel enters the game for D. Nowitzki,,67-58,,
5:50.0,J. Barea enters the game for Y. Ferrell,,67-58,,
5:50.0,D. Harris enters the game for S. Curry,,67-58,,
5:31.0,Shooting foul by S. Dinwiddie,,67-59,,
5:31.0,J. Barea makes free throw 1 of 3,1,68-59,,
5:31.0,J. Barea misses free throw 2 of 3,,68-59,,
5:31.0,Offensive rebound by Team,,68-59,,
5:31.0,J. Barea makes free throw 3 of 3,1,69-59,,
5:31.0,,,68-59,,Q. Acy enters the game for R. Hollis-Jefferson
5:31.0,,,68-59,,A. Goodwin enters the game for S. Dinwiddie
5:07.0,,,69-59,,A. Goodwin misses 2-pt shot from 1 ft
5:06.0,,,69-59,,Offensive rebound by I. Whitehead
5:05.0,,,69-59,,Shooting foul by H. Barnes (drawn by I. Whitehead)
5:05.0,,,69-60,1,I. Whitehead makes free throw 1 of 2
5:05.0,,,69-60,,I. Whitehead misses free throw 2 of 2
5:03.0,,,69-60,,Offensive rebound by A. Goodwin
4:52.0,,,69-62,2,B. Lopez makes 2-pt shot at rim (assist by I. Whitehead)
4:33.0,H. Barnes misses 2-pt shot from 11 ft,,69-62,,
4:32.0,,,69-62,,Defensive rebound by B. Lopez
4:24.0,,,69-65,3,B. Lopez makes 3-pt shot from 26 ft (assist by A. Goodwin)
3:57.0,J. Barea makes 2-pt shot from 2 ft,2,71-65,,
3:39.0,,,71-65,,Offensive foul by K. McDaniels
3:39.0,,,71-65,,Turnover by K. McDaniels (offensive foul)
3:22.0,D. Harris makes 2-pt shot from 20 ft,2,73-65,,
3:03.0,,,73-68,3,Q. Acy makes 3-pt shot from 23 ft (assist by A. Goodwin)
2:51.0,J. Barea misses 3-pt shot from 24 ft,,73-68,,
2:50.0,,,73-68,,Defensive rebound by Team
2:50.0,,,73-68,,Brooklyn full timeout
2:50.0,,,73-68,,A. Nicholson enters the game for B. Lopez
2:40.0,,,73-68,,Turnover by A. Nicholson (lost ball; steal by D. Harris)
2:28.0,H. Barnes misses 2-pt shot from 5 ft,,73-68,,
2:27.0,,,73-68,,Defensive rebound by A. Nicholson
2:10.0,,,73-68,,Shooting foul by N. Noel (drawn by I. Whitehead)
2:10.0,,,73-69,1,I. Whitehead makes free throw 1 of 2
2:10.0,,,73-70,1,I. Whitehead makes free throw 2 of 2
2:10.0,D. Powell enters the game for N. Noel,,73-69,,
2:10.0,D. Nowitzki enters the game for H. Barnes,,73-69,,
2:00.0,W. Matthews makes 2-pt shot from 17 ft,2,75-70,,
1:53.0,,,75-70,,Offensive foul by A. Nicholson
1:53.0,,,75-70,,Turnover by A. Nicholson (offensive foul)
1:42.0,W. Matthews makes 2-pt shot from 6 ft (assist by J. Barea),2,77-70,,
1:31.0,,,77-70,,K. McDaniels misses 2-pt shot from 21 ft
1:28.0,Defensive rebound by D. Nowitzki,,77-70,,
1:21.0,D. Nowitzki makes 3-pt shot from 25 ft (assist by W. Matthews),3,80-70,,
1:11.0,,,80-70,,Brooklyn full timeout
1:11.0,,,80-70,,S. Dinwiddie enters the game for K. McDaniels
1:06.0,,,80-70,,Shooting foul by W. Matthews (drawn by I. Whitehead)
1:06.0,,,80-70,,I. Whitehead misses free throw 1 of 2
1:06.0,,,80-70,,Offensive rebound by Team
1:06.0,,,80-70,,I. Whitehead misses free throw 2 of 2
1:04.0,Defensive rebound by D. Nowitzki,,80-70,,
0:48.0,D. Nowitzki makes 2-pt shot from 13 ft,2,82-70,,
0:31.0,,,82-72,2,I. Whitehead makes 2-pt shot from 1 ft
0:19.0,J. Barea misses 3-pt shot from 24 ft,,82-72,,
0:18.0,,,82-72,,Defensive rebound by A. Nicholson
0:00.0,,,82-72,,I. Whitehead misses 3-pt shot from 26 ft
0:00.0,,,82-72,,Offensive rebound by Team
0:00.0,End of 3rd quarter,,,,End of 3rd quarter
12:00.0,Start of 4th quarter,,,,Start of 4th quarter
11:39.0,,,82-72,,R. Hollis-Jefferson misses 2-pt shot from 13 ft
11:38.0,Defensive rebound by D. Harris,,82-72,,
11:26.0,D. Nowitzki misses 2-pt shot from 19 ft,,82-72,,
11:25.0,,,82-72,,Defensive rebound by A. Goodwin
11:15.0,,,82-72,,A. Goodwin misses 2-pt shot from 3 ft
11:14.0,Defensive rebound by D. Nowitzki,,82-72,,
11:07.0,D. Harris makes 2-pt shot from 1 ft (assist by J. Barea),2,84-72,,
10:55.0,,,84-75,3,Q. Acy makes 3-pt shot from 25 ft (assist by S. Dinwiddie)
10:34.0,J. Barea makes 2-pt shot from 2 ft,2,86-75,,
10:23.0,,,86-75,,S. Dinwiddie misses 3-pt shot from 25 ft
10:22.0,,,86-75,,Offensive rebound by S. Dinwiddie
10:17.0,,,86-78,3,A. Goodwin makes 3-pt shot from 25 ft (assist by S. Dinwiddie)
10:00.0,D. Nowitzki makes 2-pt shot from 13 ft (assist by J. Barea),2,88-78,,
9:47.0,,,88-78,,Shooting foul by D. Nowitzki (drawn by A. Goodwin)
9:47.0,,,88-78,,A. Goodwin misses free throw 1 of 2
9:47.0,,,88-78,,Offensive rebound by Team
9:47.0,,,88-79,1,A. Goodwin makes free throw 2 of 2
9:47.0,Y. Ferrell enters the game for J. Barea,,88-78,,
9:47.0,S. Curry enters the game for D. Harris,,88-78,,
9:27.0,D. Finney-Smith makes 3-pt shot from 25 ft,3,91-79,,
9:12.0,,,91-79,,Violation by A. Goodwin (kicked ball)
9:12.0,,,91-79,,C. LeVert enters the game for A. Goodwin
9:01.0,,,91-79,,Shooting foul by D. Powell (drawn by S. Dinwiddie)
9:01.0,,,91-80,1,S. Dinwiddie makes free throw 1 of 2
9:01.0,,,91-80,,S. Dinwiddie misses free throw 2 of 2
8:59.0,Defensive rebound by D. Nowitzki,,91-80,,
8:46.0,Shooting foul by Q. Acy (drawn by D. Nowitzki),,91-80,,
8:46.0,Official timeout,,91-80,,
8:46.0,D. Nowitzki misses free throw 1 of 2,,91-80,,
8:46.0,Offensive rebound by Team,,91-80,,
8:46.0,D. Nowitzki makes free throw 2 of 2,1,92-80,,
8:46.0,,,91-80,,B. Lopez enters the game for Q. Acy
8:46.0,,,91-80,,R. Foye enters the game for I. Whitehead
8:32.0,,,92-82,2,S. Dinwiddie makes 2-pt shot from 2 ft
8:15.0,D. Nowitzki misses 3-pt shot from 25 ft,,92-82,,
8:14.0,,,92-82,,Defensive rebound by C. LeVert
8:08.0,,,92-84,2,S. Dinwiddie makes 2-pt shot from 10 ft
8:06.0,Dallas full timeout,,92-84,,
8:06.0,H. Barnes enters the game for D. Nowitzki,,92-84,,
7:48.0,Y. Ferrell misses 2-pt shot from 21 ft,,92-84,,
7:46.0,,,92-84,,Defensive rebound by R. Foye
7:28.0,,,92-87,3,B. Lopez makes 3-pt shot from 24 ft (assist by S. Dinwiddie)
7:17.0,Shooting foul by B. Lopez (drawn by D. Powell),,92-87,,
7:17.0,D. Powell makes free throw 1 of 2,1,93-87,,
7:17.0,D. Powell misses free throw 2 of 2,,93-87,,
7:16.0,,,93-87,,Defensive rebound by R. Hollis-Jefferson
7:06.0,Personal foul by D. Finney-Smith (drawn by S. Dinwiddie),,93-87,,
7:06.0,N. Noel enters the game for D. Powell,,93-87,,
7:06.0,W. Matthews enters the game for D. Finney-Smith,,93-87,,
6:55.0,,,93-87,,Shooting foul by H. Barnes (drawn by B. Lopez)
6:55.0,,,93-88,1,B. Lopez makes free throw 1 of 2
6:55.0,,,93-88,,B. Lopez misses free throw 2 of 2
6:55.0,J. Barea enters the game for Y. Ferrell,,93-88,,
6:54.0,Defensive rebound by N. Noel,,93-88,,
6:34.0,W. Matthews misses 2-pt shot from 16 ft,,93-88,,
6:33.0,,,93-88,,Defensive rebound by R. Hollis-Jefferson
6:23.0,,,93-88,,Shooting foul by N. Noel (drawn by B. Lopez)
6:23.0,,,93-89,1,B. Lopez makes free throw 1 of 2
6:23.0,,,93-90,1,B. Lopez makes free throw 2 of 2
6:05.0,H. Barnes misses 2-pt shot from 13 ft,,93-90,,
6:04.0,,,93-90,,Defensive rebound by R. Hollis-Jefferson
5:51.0,,,93-92,2,S. Dinwiddie makes 2-pt shot from 16 ft
5:34.0,W. Matthews misses 2-pt shot from 17 ft,,93-92,,
5:33.0,Offensive rebound by H. Barnes,,93-92,,
5:24.0,Shooting foul by S. Dinwiddie (drawn by W. Matthews),,93-92,,
5:24.0,W. Matthews misses free throw 1 of 2,,93-92,,
5:24.0,Offensive rebound by Team,,93-92,,
5:24.0,W. Matthews makes free throw 2 of 2,1,94-92,,
5:04.0,,,94-92,,B. Lopez misses 2-pt shot from 22 ft
5:03.0,Defensive rebound by W. Matthews,,94-92,,
4:47.0,J. Barea makes 2-pt shot from 17 ft,2,96-92,,
4:46.0,,,96-92,,Brooklyn full timeout
4:24.0,,,96-94,2,B. Lopez makes 2-pt shot from 3 ft
