time,Sacramento,pts.away,score,pts.home,Atlanta
4:36.0,W. Cauley-Stein enters the game for D. Cousins,,9-14,,
4:36.0,,,9-14,,T. Hardaway enters the game for K. Korver
4:27.0,Violation by G. Temple (kicked ball),,9-14,,
4:27.0,B. McLemore enters the game for A. Afflalo,,9-14,,
4:12.0,,,9-14,,T. Hardaway misses 3-pt shot from 25 ft
4:10.0,,,9-14,,Offensive rebound by P. Millsap
4:07.0,,,9-14,,Turnover by P. Millsap (bad pass; steal by R. Gay)
4:04.0,Shooting foul by K. Bazemore (drawn by R. Gay),,9-14,,
4:04.0,R. Gay makes free throw 1 of 2,1,10-14,,
4:04.0,R. Gay makes free throw 2 of 2,1,11-14,,
4:04.0,,,10-14,,T. Sefolosha enters the game for K. Bazemore
3:52.0,,,11-14,,Shooting foul by G. Temple (drawn by P. Millsap)
3:52.0,,,11-15,1,P. Millsap makes free throw 1 of 2
3:52.0,,,11-16,1,P. Millsap makes free throw 2 of 2
3:52.0,,,11-15,,M. Delaney enters the game for D. Schroder
3:32.0,B. McLemore misses 2-pt shot from 14 ft,,11-16,,
3:29.0,,,11-16,,Defensive rebound by T. Sefolosha
3:13.0,,,11-18,2,P. Millsap makes 2-pt shot from 6 ft
2:54.0,R. Gay misses 2-pt shot from 15 ft,,11-18,,
2:53.0,,,11-18,,Defensive rebound by T. Sefolosha
2:48.0,,,11-18,,Turnover by T. Sefolosha (bad pass; steal by W. Cauley-Stein)
2:40.0,,,11-18,,Personal foul by T. Hardaway (drawn by B. McLemore)
2:40.0,Sacramento full timeout,,11-18,,
2:40.0,,,11-18,,D. Howard enters the game for P. Millsap
2:30.0,M. Barnes misses 2-pt shot from 20 ft,,11-18,,
2:29.0,,,11-18,,Defensive rebound by D. Howard
2:25.0,,,11-18,,Turnover by T. Hardaway (bad pass; steal by M. Barnes)
2:13.0,M. Barnes misses 3-pt shot from 25 ft,,11-18,,
2:12.0,,,11-18,,Defensive rebound by M. Delaney
2:00.0,Personal foul by W. Cauley-Stein (drawn by D. Howard),,11-18,,
2:00.0,,,11-19,1,D. Howard makes free throw 1 of 2
2:00.0,,,11-19,,D. Howard misses free throw 2 of 2
1:59.0,Defensive rebound by M. Barnes,,11-19,,
1:43.0,R. Gay makes 2-pt shot from 7 ft,2,13-19,,
1:35.0,Personal foul by B. McLemore (drawn by T. Hardaway),,13-19,,
1:35.0,,,13-20,1,T. Hardaway makes free throw 1 of 2
1:35.0,,,13-20,,T. Hardaway misses free throw 2 of 2
1:34.0,Defensive rebound by M. Barnes,,13-20,,
1:09.0,M. Barnes misses 3-pt shot from 25 ft,,13-20,,
1:08.0,Offensive rebound by Team,,13-20,,
1:08.0,,,13-20,,Loose ball foul by M. Delaney (drawn by G. Temple)
1:01.0,G. Temple misses 2-pt shot from 19 ft,,13-20,,
1:00.0,Offensive rebound by Team,,13-20,,
0:49.0,G. Temple makes 2-pt shot from 17 ft,2,15-20,,
0:33.0,,,15-22,2,D. Howard makes 2-pt shot at rim (assist by M. Delaney)
0:17.0,Offensive foul by W. Cauley-Stein,,15-22,,
0:17.0,Turnover by W. Cauley-Stein (offensive foul),,15-22,,
0:17.0,,,15-22,,K. Korver enters the game for T. Sefolosha
0:03.0,,,15-22,,M. Delaney misses 3-pt shot from 25 ft
0:01.0,,,15-22,,Offensive rebound by D. Howard
0:01.0,,,15-22,,D. Howard misses 2-pt shot from 3 ft (block by W. Cauley-Stein)
0:00.0,Defensive rebound by M. Barnes,,15-22,,
0:00.0,End of 1st quarter,,,,End of 1st quarter
12:00.0,Start of 2nd quarter,,,,Start of 2nd quarter
11:46.0,,,15-22,,T. Hardaway misses 2-pt shot from 9 ft
11:43.0,,,15-22,,Offensive rebound by M. Muscala
11:39.0,,,15-22,,T. Hardaway misses 3-pt shot from 23 ft
11:37.0,,,15-22,,Offensive rebound by M. Muscala
11:36.0,Jump ball: M. Barnes vs. D. Howard (T. Hardaway gains possession),,,,Jump ball: M. Barnes vs. D. Howard (T. Hardaway gains possession)
11:21.0,,,15-24,2,T. Hardaway makes 2-pt shot at rim (assist by M. Delaney)
10:57.0,W. Cauley-Stein misses 2-pt shot from 1 ft,,15-24,,
10:57.0,,,15-24,,Defensive rebound by Team
10:57.0,,,15-24,,K. Korver enters the game for T. Hardaway
10:44.0,,,15-24,,Shooting foul by W. Cauley-Stein (drawn by D. Howard)
10:44.0,,,15-24,,D. Howard misses free throw 1 of 2
10:44.0,,,15-24,,Offensive rebound by Team
10:44.0,,,15-24,,D. Howard misses free throw 2 of 2
10:44.0,,,15-24,,K. Humphries enters the game for M. Muscala
10:44.0,K. Koufos enters the game for W. Cauley-Stein,,15-24,,
10:43.0,Defensive rebound by K. Koufos,,15-24,,
10:30.0,B. McLemore makes 2-pt shot from 19 ft (assist by G. Temple),2,17-24,,
10:18.0,,,17-27,3,M. Delaney makes 3-pt shot from 23 ft (assist by T. Sefolosha)
9:59.0,Turnover by A. Tolliver (bad pass; steal by T. Sefolosha),,17-27,,
9:43.0,,,17-29,2,T. Sefolosha makes 2-pt shot from 18 ft (assist by K. Humphries)
9:36.0,Sacramento full timeout,,17-29,,
9:36.0,D. Cousins enters the game for M. Barnes,,17-29,,
9:29.0,G. Temple makes 2-pt shot from 19 ft,2,19-29,,
9:15.0,,,19-29,,Atlanta full timeout
9:15.0,T. Lawson enters the game for G. Temple,,19-29,,
9:02.0,,,19-32,3,K. Korver makes 3-pt shot from 25 ft (assist by K. Humphries)
8:48.0,,,19-32,,Personal foul by K. Humphries (drawn by D. Cousins)
8:36.0,T. Lawson makes 2-pt shot from 19 ft,2,21-32,,
8:24.0,,,21-34,2,D. Howard makes 2-pt shot at rim (assist by T. Sefolosha)
8:15.0,T. Lawson makes 2-pt shot from 1 ft,2,23-34,,
7:59.0,,,23-34,,D. Howard misses 2-pt shot from 4 ft
7:57.0,Defensive rebound by D. Cousins,,23-34,,
7:49.0,Shooting foul by T. Sefolosha (drawn by T. Lawson),,23-34,,
7:49.0,T. Lawson makes free throw 1 of 2,1,24-34,,
7:49.0,T. Lawson misses free throw 2 of 2,,24-34,,
7:49.0,,,24-34,,D. Schroder enters the game for M. Delaney
7:49.0,,,24-34,,K. Bazemore enters the game for T. Sefolosha
7:48.0,Offensive rebound by T. Lawson,,24-34,,
7:43.0,B. McLemore makes 3-pt shot from 22 ft (assist by T. Lawson),3,27-34,,
7:39.0,,,27-34,,Turnover by K. Humphries (bad pass; steal by T. Lawson)
7:37.0,D. Cousins makes 2-pt shot at rim (assist by T. Lawson),2,29-34,,
7:37.0,,,29-34,,Atlanta full timeout
7:26.0,,,29-36,2,D. Schroder makes 2-pt shot from 2 ft
7:03.0,K. Koufos makes 2-pt shot from 6 ft,2,31-36,,
6:53.0,,,31-36,,Shooting foul by T. Lawson (drawn by D. Howard)
6:53.0,,,31-36,,D. Howard misses free throw 1 of 2
6:53.0,,,31-36,,Offensive rebound by Team
6:53.0,,,31-37,1,D. Howard makes free throw 2 of 2
6:53.0,,,31-36,,P. Millsap enters the game for K. Humphries
6:53.0,A. Afflalo enters the game for A. Tolliver,,31-36,,
6:37.0,Turnover by T. Lawson (bad pass; steal by P. Millsap),,31-37,,
6:28.0,,,31-37,,K. Korver misses 2-pt shot from 20 ft
6:27.0,,,31-37,,Offensive rebound by D. Howard
6:22.0,,,31-37,,D. Howard misses 2-pt shot from 1 ft (block by K. Koufos)
6:21.0,,,31-37,,Offensive rebound by D. Howard
6:21.0,,,31-37,,Shooting foul by K. Koufos (drawn by D. Howard)
6:21.0,,,31-38,1,D. Howard makes free throw 1 of 2
6:21.0,,,31-38,,D. Howard misses free throw 2 of 2
6:21.0,G. Temple enters the game for T. Lawson,,31-38,,
6:20.0,Defensive rebound by D. Cousins,,31-38,,
6:08.0,,,31-38,,Def 3 sec tech foul by D. Howard
6:08.0,D. Cousins misses technical free throw,,31-38,,
6:08.0,Offensive rebound by Team,,31-38,,
6:08.0,,,31-38,,K. Humphries enters the game for D. Howard
6:02.0,B. McLemore makes 2-pt shot from 13 ft (assist by G. Temple),2,33-38,,
5:45.0,,,33-38,,Turnover by P. Millsap (bad pass; steal by K. Koufos)
5:38.0,B. McLemore misses 3-pt shot from 25 ft,,33-38,,
5:36.0,Offensive rebound by D. Cousins,,33-38,,
5:36.0,,,33-38,,Personal foul by P. Millsap (drawn by D. Cousins)
5:25.0,Shooting foul by P. Millsap (drawn by B. McLemore),,33-38,,
5:25.0,B. McLemore makes free throw 1 of 2,1,34-38,,
5:25.0,B. McLemore misses free throw 2 of 2,,34-38,,
5:23.0,,,34-38,,Defensive rebound by K. Humphries
5:14.0,,,34-38,,D. Schroder misses 2-pt shot from 2 ft
5:12.0,Defensive rebound by D. Cousins,,34-38,,
5:02.0,D. Cousins makes 2-pt shot at rim (assist by B. McLemore),2,36-38,,
4:44.0,,,36-41,3,K. Korver makes 3-pt shot from 22 ft (assist by P. Millsap)
4:22.0,D. Cousins misses 3-pt shot from 25 ft,,36-41,,
4:20.0,,,36-41,,Defensive rebound by P. Millsap
4:13.0,,,36-43,2,K. Korver makes 2-pt shot from 16 ft (assist by P. Millsap)
3:56.0,B. McLemore misses 2-pt shot from 12 ft,,36-43,,
3:55.0,,,36-43,,Defensive rebound by P. Millsap
3:51.0,,,36-43,,K. Bazemore misses 2-pt shot from 1 ft (block by G. Temple)
3:48.0,Defensive rebound by D. Cousins,,36-43,,
3:47.0,R. Gay enters the game for B. McLemore,,36-43,,
3:47.0,,,36-43,,M. Muscala enters the game for K. Humphries
3:39.0,G. Temple misses 2-pt shot from 12 ft,,36-43,,
3:38.0,,,36-43,,Defensive rebound by P. Millsap
3:20.0,,,36-45,2,M. Muscala makes 2-pt shot from 19 ft (assist by D. Schroder)
3:11.0,,,36-45,,Personal foul by K. Korver (drawn by A. Afflalo)
3:11.0,A. Afflalo makes free throw 1 of 2,1,37-45,,
3:11.0,A. Afflalo makes free throw 2 of 2,1,38-45,,
3:11.0,M. Barnes enters the game for K. Koufos,,36-45,,
3:01.0,Personal foul by D. Cousins (drawn by P. Millsap),,38-45,,
2:57.0,,,38-45,,D. Schroder misses 2-pt shot from 15 ft
2:55.0,,,38-45,,Offensive rebound by M. Muscala
2:50.0,Official timeout,,38-45,,
2:47.0,,,38-45,,K. Bazemore misses 2-pt shot at rim
2:45.0,Defensive rebound by R. Gay,,38-45,,
2:32.0,,,38-45,,T. Hardaway enters the game for K. Korver
2:25.0,D. Cousins misses 2-pt shot from 8 ft,,38-45,,
2:23.0,,,38-45,,Defensive rebound by P. Millsap
2:06.0,,,38-47,2,D. Schroder makes 2-pt shot at rim
1:54.0,Shooting foul by K. Bazemore (drawn by R. Gay),,38-47,,
1:54.0,R. Gay makes free throw 1 of 2,1,39-47,,
1:54.0,R. Gay makes free throw 2 of 2,1,40-47,,
1:54.0,,,39-47,,T. Sefolosha enters the game for K. Bazemore
1:54.0,,,39-47,,D. Howard enters the game for P. Millsap
1:41.0,,,40-47,,D. Schroder misses 3-pt shot from 25 ft
1:40.0,,,40-47,,Offensive rebound by Team
1:40.0,Loose ball foul by A. Afflalo (drawn by D. Howard),,40-47,,
1:40.0,,,40-47,,D. Howard misses free throw 1 of 2
1:40.0,,,40-47,,Offensive rebound by Team
1:40.0,,,40-47,,D. Howard misses free throw 2 of 2
1:40.0,B. McLemore enters the game for A. Afflalo,,40-47,,
1:39.0,Defensive rebound by D. Cousins,,40-47,,
1:21.0,G. Temple makes 2-pt shot from 2 ft,2,42-47,,
1:15.0,Personal foul by D. Cousins (drawn by D. Howard),,42-47,,
1:15.0,,,42-47,,D. Howard misses free throw 1 of 2
1:15.0,,,42-47,,Offensive rebound by Team
1:15.0,,,42-47,,D. Howard misses free throw 2 of 2
1:13.0,Defensive rebound by D. Cousins,,42-47,,
0:55.0,B. McLemore makes 2-pt shot from 7 ft,2,44-47,,
0:30.0,,,44-47,,D. Schroder misses 3-pt shot from 24 ft
0:28.0,,,44-47,,Offensive rebound by Team
0:28.0,,,44-47,,P. Millsap enters the game for M. Muscala
0:26.0,,,44-47,,P. Millsap misses 2-pt shot from 18 ft
0:25.0,,,44-47,,Offensive rebound by T. Hardaway
0:25.0,,,44-49,2,T. Hardaway makes 2-pt shot from 1 ft
0:25.0,,,44-49,,Shooting foul by R. Gay (drawn by T. Hardaway)
0:25.0,,,44-49,,T. Hardaway misses free throw 1 of 1
0:25.0,,,44-49,,Offensive rebound by Team
0:25.0,Loose ball foul by R. Gay (drawn by T. Hardaway),,44-49,,
0:25.0,,,44-50,1,M. Muscala makes free throw 1 of 2
0:25.0,Sacramento full timeout,,44-50,,
0:25.0,,,44-51,1,M. Muscala makes free throw 2 of 2
0:25.0,,,44-49,,M. Muscala enters the game for P. Millsap
0:00.0,R. Gay misses 2-pt shot from 13 ft,,44-51,,
0:00.0,,,44-51,,Defensive rebound by Team
0:00.0,Loose ball foul by M. Barnes (drawn by M. Muscala),,44-51,,
0:00.0,,,44-52,1,M. Muscala makes free throw 1 of 2
0:00.0,,,44-53,1,M. Muscala makes free throw 2 of 2
0:00.0,End of 2nd quarter,,,,End of 2nd quarter
12:00.0,Start of 3rd quarter,,,,Start of 3rd quarter
11:50.0,,,44-53,,Shooting foul by K. Koufos (drawn by D. Howard)
11:50.0,,,44-54,1,D. Howard makes free throw 1 of 2
11:50.0,,,44-55,1,D. Howard makes free throw 2 of 2
11:33.0,Offensive foul by K. Koufos,,44-55,,
11:33.0,Turnover by K. Koufos (offensive foul),,44-55,,
11:20.0,,,44-55,,D. Howard misses 2-pt shot from 6 ft
11:18.0,Defensive rebound by D. Cousins,,44-55,,
11:11.0,R. Gay misses 3-pt shot from 25 ft,,44-55,,
11:10.0,,,44-55,,Defensive rebound by D. Howard
10:57.0,,,44-55,,D. Schroder misses 2-pt shot from 16 ft
10:54.0,,,44-55,,Offensive rebound by D. Schroder
10:48.0,,,44-55,,Turnover by K. Korver (bad pass; steal by A. Afflalo)
10:42.0,R. Gay makes 2-pt shot from 2 ft (assist by T. Lawson),2,46-55,,
10:28.0,,,46-55,,K. Korver misses 3-pt shot from 25 ft
10:25.0,Defensive rebound by K. Koufos,,46-55,,
10:13.0,D. Cousins makes 3-pt shot from 25 ft (assist by T. Lawson),3,49-55,,
9:57.0,,,49-55,,K. Korver misses 2-pt shot from 21 ft
9:56.0,Defensive rebound by R. Gay,,49-55,,
9:50.0,K. Koufos makes 2-pt shot from 2 ft (assist by R. Gay),2,51-55,,
9:37.0,,,51-55,,D. Schroder misses 2-pt shot from 11 ft
9:35.0,,,51-55,,Offensive rebound by D. Howard
9:20.0,,,51-57,2,P. Millsap makes 2-pt shot from 11 ft
8:54.0,D. Cousins misses 3-pt shot from 24 ft,,51-57,,
8:53.0,Offensive rebound by K. Koufos,,51-57,,
8:51.0,Turnover by K. Koufos (bad pass; steal by P. Millsap),,51-57,,
8:41.0,,,51-57,,K. Bazemore misses 3-pt shot from 25 ft
8:40.0,,,51-57,,Offensive rebound by D. Howard
8:31.0,,,51-57,,Turnover by D. Schroder (lost ball; steal by T. Lawson)
8:24.0,A. Afflalo makes 2-pt shot from 11 ft (assist by R. Gay),2,53-57,,
8:03.0,,,53-57,,P. Millsap misses 2-pt shot from 8 ft (block by D. Cousins)
8:01.0,,,53-57,,Offensive rebound by P. Millsap
7:59.0,,,53-57,,Turnover by P. Millsap (bad pass; steal by R. Gay)
7:52.0,A. Afflalo makes 2-pt shot from 2 ft (assist by R. Gay),2,55-57,,
7:52.0,,,55-57,,Atlanta full timeout
7:38.0,,,55-57,,Shooting foul by R. Gay (drawn by D. Howard)
7:38.0,,,55-57,,D. Howard misses free throw 1 of 2
7:38.0,,,55-57,,Offensive rebound by Team
7:38.0,,,55-58,1,D. Howard makes free throw 2 of 2
7:19.0,R. Gay makes 2-pt shot at rim (assist by A. Afflalo),2,57-58,,
7:19.0,Shooting foul by P. Millsap (drawn by R. Gay),,57-58,,
7:19.0,R. Gay makes free throw 1 of 1,1,58-58,,
7:08.0,,,58-60,2,K. Bazemore makes 2-pt shot from 3 ft (assist by P. Millsap)
6:52.0,T. Lawson makes 3-pt shot from 25 ft (assist by K. Koufos),3,61-60,,
6:41.0,,,61-60,,P. Millsap misses 2-pt shot from 1 ft
6:41.0,Defensive rebound by Team,,61-60,,
6:41.0,,,61-60,,Loose ball foul by P. Millsap (drawn by K. Koufos)
6:41.0,,,61-60,,Technical foul by P. Millsap (drawn by K. Koufos)
6:41.0,A. Afflalo makes technical free throw,1,62-60,,
6:41.0,,,62-60,,M. Muscala enters the game for P. Millsap
6:26.0,D. Cousins makes 2-pt shot from 2 ft (assist by K. Koufos),2,64-60,,
6:15.0,,,64-60,,Turnover by D. Howard (3 sec)
5:59.0,R. Gay makes 2-pt shot from 14 ft (assist by D. Cousins),2,66-60,,
5:49.0,,,66-60,,Shooting foul by R. Gay (drawn by K. Bazemore)
5:49.0,,,66-61,1,K. Bazemore makes free throw 1 of 2
5:49.0,,,66-62,1,K. Bazemore makes free throw 2 of 2
5:49.0,M. Barnes enters the game for R. Gay,,66-61,,
5:39.0,D. Cousins misses 2-pt shot from 20 ft,,66-62,,
5:39.0,Offensive rebound by Team,,66-62,,
5:39.0,,,66-62,,Loose ball foul by M. Muscala (drawn by K. Koufos)
5:39.0,A. Tolliver enters the game for K. Koufos,,66-62,,
5:33.0,,,66-62,,Personal foul by D. Howard (drawn by D. Cousins)
5:26.0,Shooting foul by D. Howard (drawn by D. Cousins),,66-62,,
5:26.0,D. Cousins makes free throw 1 of 2,1,67-62,,
5:26.0,D. Cousins misses free throw 2 of 2,,67-62,,
5:25.0,,,67-62,,Defensive rebound by D. Howard
5:13.0,,,67-62,,K. Bazemore misses 3-pt shot from 25 ft
5:10.0,,,67-62,,Offensive rebound by D. Howard
5:08.0,,,67-65,3,K. Korver makes 3-pt shot from 25 ft (assist by D. Howard)
4:55.0,Turnover by D. Cousins (bad pass; steal by K. Bazemore),,67-65,,
4:55.0,Clear path foul by M. Barnes,,67-65,,
4:55.0,,,67-66,1,K. Bazemore makes clear path free throw 1 of 2
4:55.0,,,67-67,1,K. Bazemore makes clear path free throw 2 of 2
4:37.0,,,67-69,2,D. Howard makes 2-pt shot from 4 ft (assist by D. Schroder)
4:26.0,Offensive foul by D. Cousins,,67-69,,
4:26.0,Turnover by D. Cousins (offensive foul),,67-69,,
4:26.0,,,67-69,,T. Hardaway enters the game for K. Korver
4:15.0,,,67-69,,K. Bazemore misses 3-pt shot from 25 ft
4:15.0,Defensive rebound by Team,,67-69,,
4:15.0,,,67-69,,Loose ball foul by D. Howard (drawn by M. Barnes)
4:15.0,M. Barnes makes free throw 1 of 2,1,68-69,,
4:15.0,M. Barnes makes free throw 2 of 2,1,69-69,,
4:15.0,,,68-69,,K. Humphries enters the game for D. Howard
4:07.0,,,69-69,,Shooting foul by D. Cousins (drawn by D. Schroder)
4:07.0,,,69-70,1,D. Schroder makes free throw 1 of 2
4:07.0,,,69-71,1,D. Schroder makes free throw 2 of 2
4:07.0,G. Temple enters the game for T. Lawson,,69-70,,
3:46.0,D. Cousins misses 3-pt shot from 26 ft,,69-71,,
3:44.0,,,69-71,,Defensive rebound by T. Hardaway
3:20.0,,,69-74,3,K. Humphries makes 3-pt shot from 26 ft (assist by D. Schroder)
3:19.0,Sacramento full timeout,,69-74,,
3:19.0,,,69-74,,T. Sefolosha enters the game for K. Bazemore
3:19.0,B. McLemore enters the game for A. Afflalo,,69-74,,
3:10.0,Turnover by M. Barnes (bad pass),,69-74,,
3:08.0,Personal foul by D. Cousins (drawn by K. Humphries),,69-74,,
3:08.0,,,69-75,1,K. Humphries makes free throw 1 of 2
3:08.0,,,69-76,1,K. Humphries makes free throw 2 of 2
3:08.0,W. Cauley-Stein enters the game for D. Cousins,,69-75,,
3:08.0,,,69-75,,M. Delaney enters the game for D. Schroder
2:57.0,M. Barnes makes 3-pt shot from 25 ft (assist by G. Temple),3,72-76,,
2:33.0,,,72-76,,M. Muscala misses 2-pt shot from 14 ft
2:31.0,Defensive rebound by G. Temple,,72-76,,
2:18.0,B. McLemore misses 2-pt shot from 13 ft,,72-76,,
2:17.0,,,72-76,,Defensive rebound by M. Delaney
2:09.0,,,72-78,2,T. Sefolosha makes 2-pt shot from 1 ft (assist by M. Delaney)
1:57.0,M. Barnes makes 3-pt shot from 24 ft (assist by W. Cauley-Stein),3,75-78,,
1:35.0,,,75-78,,T. Hardaway misses 3-pt shot from 25 ft
1:34.0,Defensive rebound by M. Barnes,,75-78,,
1:25.0,A. Tolliver makes 3-pt shot from 23 ft (assist by M. Barnes),3,78-78,,
1:04.0,,,78-78,,M. Delaney misses 3-pt shot from 25 ft
1:03.0,Jump ball: W. Cauley-Stein vs. M. Muscala (M. Delaney gains possession),,,,Jump ball: W. Cauley-Stein vs. M. Muscala (M. Delaney gains possession)
1:03.0,,,78-78,,Offensive rebound by Team
0:49.0,,,78-78,,M. Delaney misses 2-pt shot from 22 ft
0:48.0,,,78-78,,Offensive rebound by Team
0:48.0,Loose ball foul by A. Tolliver (drawn by M. Muscala),,78-78,,
0:48.0,,,78-79,1,M. Muscala makes free throw 1 of 2
0:48.0,,,78-79,,M. Muscala misses free throw 2 of 2
0:48.0,,,78-79,,K. Bazemore enters the game for K. Humphries
0:47.0,Defensive rebound by A. Tolliver,,78-79,,
0:33.0,W. Cauley-Stein misses 2-pt shot at rim (block by K. Bazemore),,78-79,,
0:30.0,,,78-79,,Defensive rebound by T. Sefolosha
0:27.0,,,78-79,,Turnover by T. Sefolosha (traveling)
0:10.0,G. Temple makes 3-pt shot from 25 ft (assist by A. Tolliver),3,81-79,,
0:00.0,End of 3rd quarter,,,,End of 3rd quarter
12:00.0,Start of 4th quarter,,,,Start of 4th quarter
11:53.0,,,81-79,,Personal foul by M. Delaney (drawn by G. Temple)
11:34.0,B. McLemore makes 2-pt shot from 20 ft (assist by M. Barnes),2,83-79,,
11:19.0,,,83-81,2,K. Bazemore makes 2-pt shot from 18 ft (assist by M. Delaney)
11:08.0,G. Temple misses 3-pt shot from 24 ft,,83-81,,
11:07.0,,,83-81,,Defensive rebound by T. Sefolosha
10:54.0,,,83-81,,Shooting foul by M. Barnes (drawn by P. Millsap)
10:54.0,,,83-81,,P. Millsap misses free throw 1 of 2
10:54.0,,,83-81,,Offensive rebound by Team
10:54.0,,,83-82,1,P. Millsap makes free throw 2 of 2
10:42.0,,,83-82,,K. Humphries enters the game for M. Muscala
10:41.0,Turnover by M. Barnes (bad pass; steal by T. Sefolosha),,83-82,,
10:35.0,,,83-85,3,K. Bazemore makes 3-pt shot from 24 ft (assist by P. Millsap)
10:21.0,A. Tolliver misses 3-pt shot from 26 ft,,83-85,,
10:19.0,,,83-85,,Defensive rebound by Team
10:07.0,,,83-87,2,P. Millsap makes 2-pt shot from 19 ft
9:38.0,M. Barnes misses 3-pt shot from 25 ft,,83-87,,
9:36.0,Offensive rebound by W. Cauley-Stein,,83-87,,
9:27.0,,,83-87,,Personal foul by M. Delaney (drawn by G. Temple)
9:22.0,A. Tolliver misses 3-pt shot from 24 ft,,83-87,,
