time,San Antonio,pts.away,score,pts.home,Cleveland
5:37.0,,,14-17,3,I. Shumpert makes 3-pt shot from 24 ft (assist by L. James)
5:26.0,K. Leonard misses 3-pt shot from 25 ft,,14-17,,
5:26.0,,,14-17,,Defensive rebound by T. Thompson
5:16.0,,,14-17,,Shooting foul by D. Green (drawn by K. Love)
5:16.0,,,14-17,,K. Love misses free throw 1 of 3
5:16.0,,,14-17,,Offensive rebound by Team
5:16.0,,,14-18,1,K. Love makes free throw 2 of 3
5:16.0,,,14-19,1,K. Love makes free throw 3 of 3
5:16.0,D. Dedmon enters the game for D. Green,,14-18,,
5:16.0,M. Ginobili enters the game for D. Lee,,14-18,,
4:57.0,K. Leonard misses 2-pt shot from 13 ft,,14-19,,
4:57.0,,,14-19,,Defensive rebound by L. James
4:48.0,,,14-21,2,L. James makes 2-pt shot from 1 ft
4:48.0,,,14-21,,Shooting foul by M. Ginobili (drawn by L. James)
4:48.0,,,14-22,1,L. James makes free throw 1 of 1
4:48.0,,,14-21,,C. Frye enters the game for K. Love
4:48.0,P. Mills enters the game for D. Murray,,14-21,,
4:30.0,Turnover by L. Aldridge (bad pass),,14-22,,
4:13.0,,,14-24,2,T. Thompson makes 2-pt shot from 1 ft (assist by L. James)
3:59.0,D. Dedmon makes 2-pt shot at rim (assist by L. Aldridge),2,16-24,,
3:41.0,,,16-24,,K. Irving misses 3-pt shot from 26 ft
3:40.0,Defensive rebound by L. Aldridge,,16-24,,
3:34.0,Shooting foul by K. Irving (drawn by K. Leonard),,16-24,,
3:34.0,K. Leonard makes free throw 1 of 2,1,17-24,,
3:34.0,K. Leonard makes free throw 2 of 2,1,18-24,,
3:21.0,,,18-24,,K. Irving misses 2-pt shot from 8 ft
3:18.0,Defensive rebound by D. Dedmon,,18-24,,
3:13.0,Turnover by M. Ginobili (lost ball; steal by K. Irving),,18-24,,
3:07.0,,,18-26,2,L. James makes 2-pt shot at rim (assist by I. Shumpert)
2:53.0,L. Aldridge misses 2-pt shot at rim,,18-26,,
2:51.0,,,18-26,,Defensive rebound by T. Thompson
2:45.0,,,18-26,,K. Irving misses 3-pt shot from 27 ft
2:44.0,Defensive rebound by D. Dedmon,,18-26,,
2:41.0,Shooting foul by K. Irving (drawn by K. Leonard),,18-26,,
2:41.0,K. Leonard makes free throw 1 of 2,1,19-26,,
2:41.0,K. Leonard makes free throw 2 of 2,1,20-26,,
2:41.0,,,19-26,,K. Love enters the game for T. Thompson
2:41.0,,,19-26,,D. Liggins enters the game for K. Irving
2:41.0,D. Lee enters the game for L. Aldridge,,19-26,,
2:29.0,,,20-28,2,D. Liggins makes 2-pt shot from 1 ft (assist by L. James)
2:07.0,Turnover by K. Leonard (lost ball),,20-28,,
2:07.0,,,20-28,,R. Jefferson enters the game for L. James
1:54.0,,,20-28,,K. Love misses 2-pt shot from 7 ft (block by D. Lee)
1:52.0,Defensive rebound by K. Leonard,,20-28,,
1:49.0,K. Leonard misses 2-pt shot from 8 ft,,20-28,,
1:47.0,Offensive rebound by D. Lee,,20-28,,
1:45.0,D. Lee makes 2-pt shot at rim,2,22-28,,
1:24.0,,,22-30,2,C. Frye makes 2-pt shot at rim (assist by D. Liggins)
1:24.0,,,22-30,,Shooting foul by D. Lee (drawn by C. Frye)
1:24.0,,,22-31,1,C. Frye makes free throw 1 of 1
1:24.0,J. Simmons enters the game for K. Leonard,,22-30,,
1:24.0,,,22-30,,K. Korver enters the game for I. Shumpert
1:01.0,M. Ginobili misses 3-pt shot from 24 ft,,22-31,,
1:01.0,,,22-31,,Defensive rebound by K. Love
0:51.0,,,22-33,2,C. Frye makes 2-pt shot at rim (assist by K. Love)
0:42.0,D. Lee misses 2-pt shot from 17 ft,,22-33,,
0:41.0,,,22-33,,Defensive rebound by D. Liggins
0:41.0,Jump ball: D. Liggins vs. P. Mills (C. Frye gains possession),,,,Jump ball: D. Liggins vs. P. Mills (C. Frye gains possession)
0:22.0,,,22-33,,D. Liggins misses 2-pt shot from 23 ft
0:21.0,,,22-33,,Offensive rebound by K. Love
0:18.0,,,22-33,,K. Love misses 2-pt shot from 1 ft
0:18.0,Defensive rebound by D. Dedmon,,22-33,,
0:05.0,,,22-33,,Personal foul by R. Jefferson (drawn by M. Ginobili)
0:00.0,M. Ginobili misses 3-pt shot from 25 ft,,22-33,,
0:00.0,Offensive rebound by Team,,22-33,,
0:00.0,End of 1st quarter,,,,End of 1st quarter
12:00.0,Start of 2nd quarter,,,,Start of 2nd quarter
11:47.0,P. Mills makes 2-pt shot from 16 ft (assist by M. Ginobili),2,24-33,,
11:31.0,,,24-33,,Turnover by L. James (traveling)
11:14.0,D. Dedmon misses 2-pt shot from 6 ft,,24-33,,
11:13.0,,,24-33,,Defensive rebound by R. Jefferson
11:07.0,,,24-33,,C. Frye misses 3-pt shot from 25 ft
11:05.0,Defensive rebound by K. Anderson,,24-33,,
11:00.0,M. Ginobili makes 3-pt shot from 27 ft (assist by P. Mills),3,27-33,,
10:34.0,,,27-33,,C. Frye misses 2-pt shot at rim (block by K. Anderson)
10:33.0,Defensive rebound by D. Dedmon,,27-33,,
10:26.0,K. Anderson makes 2-pt shot at rim (assist by P. Mills),2,29-33,,
10:04.0,,,29-35,2,L. James makes 2-pt shot from 1 ft
9:46.0,Shooting foul by D. Liggins,,29-35,,
9:46.0,P. Mills makes free throw 1 of 2,1,30-35,,
9:46.0,P. Mills makes free throw 2 of 2,1,31-35,,
9:46.0,D. Green enters the game for M. Ginobili,,30-35,,
9:46.0,L. Aldridge enters the game for D. Dedmon,,30-35,,
9:28.0,,,31-35,,C. Frye misses 3-pt shot from 25 ft
9:27.0,Defensive rebound by K. Anderson,,31-35,,
9:21.0,P. Mills makes 3-pt shot from 28 ft (assist by J. Simmons),3,34-35,,
9:05.0,,,34-35,,C. Frye misses 2-pt shot from 6 ft
9:04.0,Defensive rebound by L. Aldridge,,34-35,,
8:53.0,Official timeout,,34-35,,
8:53.0,K. Leonard enters the game for J. Simmons,,34-35,,
8:47.0,L. Aldridge makes 2-pt shot from 19 ft (assist by P. Mills),2,36-35,,
8:33.0,,,36-35,,Turnover by R. Jefferson (lost ball; steal by P. Mills)
8:21.0,D. Green makes 3-pt shot from 24 ft (assist by L. Aldridge),3,39-35,,
8:10.0,,,39-35,,Offensive charge foul by L. James
8:10.0,,,39-35,,Turnover by L. James (offensive foul)
8:10.0,,,39-35,,K. Irving enters the game for C. Frye
8:10.0,,,39-35,,T. Thompson enters the game for D. Liggins
8:10.0,D. Murray enters the game for P. Mills,,39-35,,
7:47.0,L. Aldridge misses 2-pt shot from 16 ft,,39-35,,
7:45.0,,,39-35,,Defensive rebound by K. Korver
7:41.0,Personal foul by K. Anderson (drawn by L. James),,39-35,,
7:38.0,,,39-35,,Shooting foul by K. Anderson (drawn by T. Thompson)
7:38.0,,,39-35,,T. Thompson misses free throw 1 of 2
7:38.0,,,39-35,,Offensive rebound by Team
7:38.0,,,39-35,,T. Thompson misses free throw 2 of 2
7:37.0,Defensive rebound by L. Aldridge,,39-35,,
7:21.0,D. Murray makes 2-pt shot at rim,2,41-35,,
7:06.0,,,41-37,2,K. Irving makes 2-pt shot from 12 ft (assist by R. Jefferson)
6:45.0,K. Leonard makes 2-pt shot from 4 ft (assist by D. Murray),2,43-37,,
6:33.0,,,43-40,3,K. Irving makes 3-pt shot from 25 ft
6:28.0,Turnover by D. Murray (lost ball; steal by K. Irving),,43-40,,
6:25.0,,,43-42,2,T. Thompson makes 2-pt shot at rim (assist by K. Irving)
6:25.0,San Antonio full timeout,,43-42,,
6:25.0,,,43-42,,I. Shumpert enters the game for R. Jefferson
6:06.0,D. Murray makes 2-pt shot from 8 ft (assist by K. Leonard),2,45-42,,
5:47.0,,,45-44,2,L. James makes 2-pt shot from 10 ft
5:29.0,L. Aldridge makes 2-pt shot from 15 ft,2,47-44,,
5:09.0,,,47-44,,Turnover by L. James (bad pass; steal by K. Anderson)
5:01.0,D. Murray makes 2-pt shot from 5 ft (assist by K. Anderson),2,49-44,,
4:49.0,,,49-44,,T. Thompson misses 2-pt shot at rim
4:48.0,Defensive rebound by L. Aldridge,,49-44,,
4:43.0,D. Murray makes 2-pt shot from 4 ft,2,51-44,,
4:19.0,,,51-47,3,K. Korver makes 3-pt shot from 26 ft (assist by L. James)
3:59.0,K. Leonard makes 2-pt shot from 20 ft,2,53-47,,
3:37.0,,,53-50,3,K. Korver makes 3-pt shot from 23 ft (assist by L. James)
3:17.0,Turnover by D. Murray (lost ball; steal by I. Shumpert),,53-50,,
3:12.0,Violation by D. Green (kicked ball),,53-50,,
3:12.0,P. Mills enters the game for K. Anderson,,53-50,,
3:12.0,D. Lee enters the game for D. Green,,53-50,,
3:12.0,M. Ginobili enters the game for D. Murray,,53-50,,
3:00.0,,,53-50,,T. Thompson misses 2-pt shot from 7 ft
2:59.0,Defensive rebound by L. Aldridge,,53-50,,
2:50.0,D. Lee makes 2-pt shot from 1 ft (assist by L. Aldridge),2,55-50,,
2:31.0,,,55-52,2,T. Thompson makes 2-pt shot from 6 ft (assist by K. Irving)
2:17.0,,,55-52,,Personal foul by L. James (drawn by D. Lee)
2:17.0,,,55-52,,Cleveland full timeout
2:17.0,,,55-52,,K. Love enters the game for L. James
2:03.0,Turnover by Team (shot clock),,55-52,,
1:45.0,,,55-54,2,K. Irving makes 2-pt shot from 1 ft (assist by T. Thompson)
1:26.0,K. Leonard misses 2-pt shot from 19 ft,,55-54,,
1:26.0,,,55-54,,Defensive rebound by I. Shumpert
1:18.0,Personal foul by P. Mills,,55-54,,
1:18.0,,,55-54,,D. Liggins enters the game for K. Irving
1:01.0,,,55-54,,D. Liggins misses 2-pt shot from 12 ft
1:01.0,Defensive rebound by D. Lee,,55-54,,
0:55.0,Turnover by K. Leonard (lost ball; steal by D. Liggins),,55-54,,
0:50.0,,,55-56,2,D. Liggins makes 2-pt shot from 1 ft
0:39.0,Shooting foul by K. Love (drawn by L. Aldridge),,55-56,,
0:39.0,L. Aldridge makes free throw 1 of 2,1,56-56,,
0:39.0,L. Aldridge makes free throw 2 of 2,1,57-56,,
0:39.0,J. Simmons enters the game for M. Ginobili,,56-56,,
0:21.0,,,57-58,2,K. Love makes 2-pt shot from 8 ft (assist by I. Shumpert)
0:01.0,Turnover by K. Leonard (bad pass),,57-58,,
0:00.0,End of 2nd quarter,,,,End of 2nd quarter
12:00.0,Start of 3rd quarter,,,,Start of 3rd quarter
11:46.0,K. Leonard makes 2-pt shot from 6 ft (assist by D. Green),2,59-58,,
11:33.0,,,59-58,,Shooting foul by L. Aldridge (drawn by L. James)
11:33.0,,,59-58,,L. James misses free throw 1 of 2
11:33.0,,,59-58,,Offensive rebound by Team
11:33.0,,,59-59,1,L. James makes free throw 2 of 2
11:15.0,D. Murray makes 2-pt shot from 18 ft (assist by D. Green),2,61-59,,
11:00.0,,,61-61,2,K. Irving makes 2-pt shot from 8 ft
10:41.0,K. Leonard makes 2-pt shot from 21 ft,2,63-61,,
10:30.0,,,63-63,2,T. Thompson makes 2-pt shot at rim (assist by K. Irving)
10:14.0,D. Lee makes 2-pt shot from 4 ft (assist by D. Murray),2,65-63,,
10:00.0,Personal block foul by D. Green (drawn by K. Irving),,65-63,,
9:49.0,,,65-65,2,L. James makes 2-pt shot from 15 ft (assist by K. Love)
9:22.0,D. Murray misses 2-pt shot from 8 ft,,65-65,,
9:20.0,,,65-65,,Defensive rebound by K. Love
9:11.0,,,65-67,2,L. James makes 2-pt shot from 15 ft
8:52.0,D. Murray makes 2-pt shot from 7 ft,2,67-67,,
8:37.0,,,67-67,,Turnover by K. Irving (lost ball)
8:18.0,Turnover by K. Leonard (bad pass; steal by L. James),,67-67,,
8:18.0,Personal foul by D. Green (drawn by L. James),,67-67,,
8:00.0,,,67-67,,T. Thompson misses 2-pt shot from 8 ft
7:59.0,Defensive rebound by D. Murray,,67-67,,
7:54.0,K. Leonard makes 3-pt shot from 24 ft (assist by D. Murray),3,70-67,,
7:35.0,,,70-70,3,L. James makes 3-pt shot from 26 ft (assist by K. Irving)
7:09.0,K. Leonard misses 3-pt shot from 26 ft,,70-70,,
7:09.0,,,70-70,,Defensive rebound by T. Thompson
7:03.0,,,70-73,3,I. Shumpert makes 3-pt shot from 23 ft (assist by L. James)
7:02.0,San Antonio full timeout,,70-73,,
6:46.0,K. Leonard misses 2-pt shot from 14 ft,,70-73,,
6:46.0,,,70-73,,Defensive rebound by K. Love
6:26.0,,,70-73,,I. Shumpert misses 3-pt shot from 24 ft
6:25.0,,,70-73,,Offensive rebound by T. Thompson
6:20.0,,,70-73,,L. James misses 3-pt shot from 25 ft
6:20.0,Defensive rebound by K. Leonard,,70-73,,
6:13.0,D. Green makes 3-pt shot from 26 ft (assist by K. Leonard),3,73-73,,
5:59.0,Personal foul by D. Green (drawn by L. James),,73-73,,
5:59.0,P. Mills enters the game for D. Murray,,73-73,,
5:59.0,M. Ginobili enters the game for D. Green,,73-73,,
5:45.0,,,73-73,,Turnover by K. Love (traveling)
5:30.0,L. Aldridge makes 2-pt shot at rim (assist by D. Lee),2,75-73,,
5:15.0,,,75-76,3,K. Love makes 3-pt shot from 25 ft (assist by K. Irving)
5:00.0,M. Ginobili misses 3-pt shot from 24 ft,,75-76,,
5:00.0,,,75-76,,Defensive rebound by K. Irving
4:55.0,,,75-76,,Shooting foul by K. Leonard (drawn by T. Thompson)
4:55.0,,,75-76,,T. Thompson misses free throw 1 of 2
4:55.0,,,75-76,,Offensive rebound by Team
4:55.0,,,75-76,,T. Thompson misses free throw 2 of 2
4:55.0,,,75-76,,C. Frye enters the game for K. Love
4:55.0,K. Anderson enters the game for D. Lee,,75-76,,
4:54.0,Defensive rebound by L. Aldridge,,75-76,,
4:34.0,K. Leonard misses 3-pt shot from 25 ft,,75-76,,
4:33.0,,,75-76,,Defensive rebound by L. James
4:26.0,,,75-76,,Turnover by L. James (lost ball)
4:12.0,K. Anderson misses 3-pt shot from 24 ft,,75-76,,
4:12.0,Offensive rebound by L. Aldridge,,75-76,,
4:12.0,,,75-76,,Personal foul by T. Thompson (drawn by L. Aldridge)
4:01.0,M. Ginobili makes 2-pt shot at rim (assist by K. Leonard),2,77-76,,
3:53.0,,,77-76,,Turnover by K. Irving (step out of bounds)
3:32.0,K. Leonard makes 2-pt shot from 8 ft (assist by L. Aldridge),2,79-76,,
3:16.0,Personal foul by M. Ginobili (drawn by C. Frye),,79-76,,
3:16.0,,,79-77,1,C. Frye makes free throw 1 of 2
3:16.0,,,79-78,1,C. Frye makes free throw 2 of 2
3:16.0,,,79-77,,K. Love enters the game for L. James
3:10.0,M. Ginobili makes 3-pt shot from 24 ft (assist by P. Mills),3,82-78,,
2:47.0,,,82-81,3,K. Irving makes 3-pt shot from 25 ft
2:29.0,L. Aldridge misses 2-pt shot from 6 ft,,82-81,,
2:27.0,,,82-81,,Defensive rebound by C. Frye
2:17.0,,,82-81,,Offensive foul by K. Love
2:17.0,,,82-81,,Turnover by K. Love (offensive foul)
2:17.0,,,82-81,,Cleveland full timeout
2:17.0,,,82-81,,R. Jefferson enters the game for T. Thompson
2:17.0,D. Dedmon enters the game for K. Leonard,,82-81,,
2:17.0,J. Simmons enters the game for L. Aldridge,,82-81,,
1:59.0,M. Ginobili misses 3-pt shot from 26 ft,,82-81,,
1:59.0,,,82-81,,Defensive rebound by K. Love
1:50.0,,,82-81,,K. Love misses 3-pt shot from 25 ft
1:49.0,Defensive rebound by M. Ginobili,,82-81,,
1:41.0,P. Mills misses 3-pt shot from 25 ft,,82-81,,
1:39.0,,,82-81,,Defensive rebound by R. Jefferson
1:37.0,,,82-83,2,K. Irving makes 2-pt shot from 2 ft
1:37.0,,,82-83,,Shooting foul by J. Simmons (drawn by K. Irving)
1:37.0,,,82-83,,K. Irving misses free throw 1 of 1
1:37.0,,,82-83,,K. Korver enters the game for I. Shumpert
1:36.0,Defensive rebound by K. Anderson,,82-83,,
1:23.0,P. Mills misses 2-pt shot from 19 ft,,82-83,,
1:23.0,,,82-83,,Defensive rebound by Team
1:23.0,Loose ball foul by D. Dedmon (drawn by C. Frye),,82-83,,
1:23.0,,,82-83,,C. Frye misses free throw 1 of 2
1:23.0,,,82-83,,Offensive rebound by Team
1:23.0,,,82-84,1,C. Frye makes free throw 2 of 2
1:03.0,M. Ginobili misses 2-pt shot from 10 ft,,82-84,,
1:01.0,,,82-84,,Defensive rebound by R. Jefferson
0:54.0,,,82-84,,Turnover by R. Jefferson (bad pass; steal by K. Anderson)
0:47.0,J. Simmons makes 2-pt shot from 12 ft (assist by P. Mills),2,84-84,,
0:33.0,,,84-87,3,K. Irving makes 3-pt shot from 27 ft
0:16.0,,,84-87,,D. Liggins enters the game for K. Irving
0:16.0,D. Lee enters the game for D. Dedmon,,84-87,,
0:16.0,,,84-87,,I. Shumpert enters the game for K. Korver
0:16.0,,,84-87,,T. Thompson enters the game for C. Frye
0:12.0,M. Ginobili misses 2-pt shot from 2 ft (block by T. Thompson),,84-87,,
0:09.0,,,84-87,,Defensive rebound by K. Love
0:00.0,,,84-89,2,I. Shumpert makes 2-pt shot from 20 ft
0:00.0,End of 3rd quarter,,,,End of 3rd quarter
12:00.0,Start of 4th quarter,,,,Start of 4th quarter
11:44.0,,,84-89,,Turnover by L. James (bad pass)
11:44.0,K. Anderson enters the game for D. Dedmon,,84-89,,
11:25.0,D. Murray misses 2-pt shot from 17 ft,,84-89,,
11:24.0,,,84-89,,Defensive rebound by C. Frye
11:19.0,,,84-89,,Turnover by L. James (lost ball; steal by K. Anderson)
11:11.0,K. Leonard makes 2-pt shot from 8 ft (assist by D. Murray),2,86-89,,
10:54.0,,,86-89,,K. Korver misses 3-pt shot from 24 ft
10:54.0,Defensive rebound by D. Murray,,86-89,,
10:46.0,Shooting foul by R. Jefferson (drawn by K. Leonard),,86-89,,
10:46.0,K. Leonard makes free throw 1 of 2,1,87-89,,
10:46.0,K. Leonard makes free throw 2 of 2,1,88-89,,
10:28.0,,,88-89,,R. Jefferson misses 2-pt shot from 5 ft (block by K. Anderson)
10:26.0,,,88-89,,Offensive rebound by R. Jefferson
10:26.0,,,88-89,,R. Jefferson misses 2-pt shot from 1 ft
10:22.0,,,88-89,,Offensive rebound by K. Korver
10:15.0,,,88-89,,C. Frye misses 2-pt shot from 11 ft
10:14.0,Defensive rebound by K. Anderson,,88-89,,
10:05.0,K. Leonard makes 3-pt shot from 26 ft (assist by D. Murray),3,91-89,,
9:51.0,,,91-89,,C. Frye misses 2-pt shot from 2 ft (block by K. Leonard)
9:50.0,,,91-89,,Offensive rebound by C. Frye
9:50.0,,,91-89,,Turnover by C. Frye (lost ball; steal by K. Anderson)
9:34.0,D. Lee makes 2-pt shot from 1 ft,2,93-89,,
9:34.0,,,93-89,,Cleveland full timeout
9:22.0,,,93-89,,Shooting foul by D. Lee (drawn by D. Liggins)
9:22.0,,,93-89,,D. Liggins misses free throw 1 of 2
9:22.0,,,93-89,,Offensive rebound by Team
9:22.0,,,93-90,1,D. Liggins makes free throw 2 of 2
9:04.0,K. Leonard makes 3-pt shot from 26 ft,3,96-90,,
8:54.0,,,96-90,,Turnover by R. Jefferson (step out of bounds)
8:39.0,K. Leonard misses 2-pt shot from 18 ft,,96-90,,
8:37.0,Offensive rebound by D. Lee,,96-90,,
8:25.0,K. Anderson misses 3-pt shot from 23 ft,,96-90,,
8:24.0,,,96-90,,Defensive rebound by C. Frye
8:20.0,Personal foul by K. Leonard (drawn by L. James),,96-90,,
8:20.0,,,96-90,,K. Love enters the game for C. Frye
8:20.0,J. Simmons enters the game for K. Leonard,,96-90,,
8:07.0,,,96-92,2,L. James makes 2-pt shot at rim
8:07.0,San Antonio full timeout,,96-92,,
8:07.0,,,96-92,,K. Irving enters the game for D. Liggins
8:07.0,P. Mills enters the game for D. Murray,,96-92,,
8:07.0,L. Aldridge enters the game for J. Simmons,,96-92,,
8:07.0,K. Leonard enters the game for K. Anderson,,96-92,,
7:45.0,K. Leonard makes 2-pt shot from 13 ft,2,98-92,,
7:30.0,,,98-92,,K. Love misses 3-pt shot from 24 ft
7:29.0,Defensive rebound by D. Lee,,98-92,,
7:13.0,P. Mills misses 2-pt shot at rim,,98-92,,
7:11.0,,,98-92,,Defensive rebound by R. Jefferson
7:01.0,,,98-94,2,L. James makes 2-pt shot from 1 ft (assist by R. Jefferson)
6:41.0,D. Lee makes 2-pt shot at rim (assist by L. Aldridge),2,100-94,,
6:27.0,Personal foul by K. Leonard (drawn by K. Irving),,100-94,,
6:27.0,,,100-94,,T. Thompson enters the game for R. Jefferson
6:16.0,,,100-94,,K. Irving misses 2-pt shot from 3 ft (block by L. Aldridge)
6:16.0,,,100-94,,Offensive rebound by Team
6:12.0,,,100-94,,K. Love misses 3-pt shot from 24 ft
6:11.0,Defensive rebound by D. Green,,100-94,,
6:03.0,,,100-94,,Personal foul by T. Thompson (drawn by L. Aldridge)
5:50.0,P. Mills makes 3-pt shot from 25 ft (assist by K. Leonard),3,103-94,,
5:30.0,,,103-96,2,K. Irving makes 2-pt shot from 13 ft
5:09.0,D. Lee misses 2-pt shot from 8 ft,,103-96,,
5:08.0,Offensive rebound by L. Aldridge,,103-96,,
5:08.0,L. Aldridge misses 2-pt shot from 1 ft,,103-96,,
5:07.0,Offensive rebound by L. Aldridge,,103-96,,
5:07.0,L. Aldridge makes 2-pt shot from 9 ft,2,105-96,,
5:07.0,,,105-96,,Cleveland full timeout
5:07.0,,,105-96,,I. Shumpert enters the game for K. Korver
4:49.0,,,105-99,3,K. Love makes 3-pt shot from 25 ft (assist by K. Irving)
4:31.0,P. Mills misses 3-pt shot from 26 ft,,105-99,,
4:30.0,Offensive rebound by P. Mills,,105-99,,
4:22.0,K. Leonard misses 3-pt shot from 25 ft,,105-99,,
4:22.0,,,105-99,,Defensive rebound by T. Thompson
4:05.0,,,105-99,,K. Love misses 3-pt shot from 27 ft
4:05.0,Defensive rebound by D. Lee,,105-99,,
3:52.0,D. Lee misses 2-pt shot from 7 ft,,105-99,,
3:51.0,Offensive rebound by P. Mills,,105-99,,
3:51.0,P. Mills misses 2-pt shot from 1 ft,,105-99,,
3:48.0,,,105-99,,Defensive rebound by K. Irving
3:35.0,,,105-101,2,T. Thompson makes 2-pt shot at rim (assist by K. Irving)
3:11.0,K. Leonard misses 2-pt shot from 9 ft,,105-101,,
3:09.0,,,105-101,,Defensive rebound by K. Love
3:00.0,,,105-101,,K. Irving misses 3-pt shot from 27 ft
3:00.0,Defensive rebound by D. Lee,,105-101,,
2:47.0,D. Green misses 3-pt shot from 23 ft,,105-101,,
2:46.0,Offensive rebound by L. Aldridge,,105-101,,
2:46.0,L. Aldridge makes 2-pt shot at rim,2,107-101,,
2:23.0,,,107-101,,Shooting foul by L. Aldridge (drawn by L. James)
2:23.0,,,107-102,1,L. James makes free throw 1 of 2
2:23.0,,,107-102,,L. James misses free throw 2 of 2
2:22.0,Defensive rebound by K. Leonard,,107-102,,
2:07.0,D. Green misses 3-pt shot from 24 ft,,107-102,,
2:07.0,,,107-102,,Defensive rebound by K. Love
1:51.0,,,107-102,,I. Shumpert misses 3-pt shot from 25 ft
1:51.0,,,107-102,,Offensive rebound by T. Thompson
1:47.0,,,107-102,,Turnover by T. Thompson (back court)
1:41.0,Turnover by P. Mills (bad pass),,107-102,,
1:25.0,,,107-102,,K. Love misses 3-pt shot from 24 ft
1:25.0,,,107-102,,Offensive rebound by I. Shumpert
1:21.0,,,107-102,,K. Love misses 3-pt shot from 24 ft
1:21.0,Defensive rebound by L. Aldridge,,107-102,,
1:01.0,K. Leonard misses 2-pt shot from 2 ft,,107-102,,
1:00.0,,,107-102,,Defensive rebound by T. Thompson
0:58.0,Shooting block foul by P. Mills (drawn by L. James),,107-102,,
0:58.0,,,107-103,1,L. James makes free throw 1 of 2
0:58.0,,,107-104,1,L. James makes free throw 2 of 2
0:45.0,K. Leonard misses 2-pt shot from 12 ft,,107-104,,
0:44.0,,,107-104,,Defensive rebound by L. James
0:35.0,,,107-107,3,L. James makes 3-pt shot from 30 ft (assist by K. Love)
0:35.0,San Antonio full timeout,,107-107,,
0:13.0,K. Leonard misses 2-pt shot from 13 ft,,107-107,,
0:13.0,,,107-107,,Defensive rebound by T. Thompson
0:13.0,,,107-107,,Cleveland full timeout
0:13.0,J. Simmons enters the game for D. Lee,,107-107,,
0:13.0,K. Anderson enters the game for P. Mills,,107-107,,
0:13.0,,,107-107,,K. Korver enters the game for T. Thompson
