time,Dallas,pts.away,score,pts.home,LA Clippers
11:34.0,D. Finney-Smith misses 2-pt shot from 2 ft (block by D. Jordan),,50-51,,
11:33.0,,,50-51,,Defensive rebound by D. Jordan
11:18.0,,,50-53,2,J. Redick makes 2-pt shot from 21 ft (assist by R. Felton)
10:52.0,D. Williams misses 2-pt shot from 13 ft,,50-53,,
10:52.0,,,50-53,,Defensive rebound by D. Jordan
10:38.0,,,50-55,2,J. Redick makes 2-pt shot from 20 ft
10:15.0,H. Barnes misses 2-pt shot from 13 ft (block by L. Mbah a Moute),,50-55,,
10:13.0,Offensive rebound by S. Mejri,,50-55,,
10:09.0,D. Williams misses 3-pt shot from 35 ft,,50-55,,
10:09.0,,,50-55,,Defensive rebound by D. Jordan
9:58.0,,,50-55,,L. Mbah a Moute misses 3-pt shot from 24 ft
9:56.0,Defensive rebound by W. Matthews,,50-55,,
9:44.0,D. Finney-Smith misses 3-pt shot from 23 ft,,50-55,,
9:43.0,,,50-55,,Defensive rebound by D. Jordan
9:32.0,,,50-57,2,R. Felton makes 2-pt shot from 2 ft
9:15.0,D. Williams misses 2-pt shot from 2 ft,,50-57,,
9:14.0,Offensive rebound by S. Mejri,,50-57,,
9:14.0,Shooting foul by L. Mbah a Moute (drawn by S. Mejri),,50-57,,
9:14.0,S. Mejri makes free throw 1 of 2,1,51-57,,
9:14.0,S. Mejri makes free throw 2 of 2,1,52-57,,
8:51.0,,,52-57,,J. Redick misses 3-pt shot from 25 ft
8:51.0,Defensive rebound by S. Mejri,,52-57,,
8:41.0,W. Matthews misses 3-pt shot from 26 ft,,52-57,,
8:39.0,,,52-57,,Defensive rebound by P. Pierce
8:37.0,Personal block foul by W. Matthews (drawn by L. Mbah a Moute),,52-57,,
8:18.0,,,52-57,,R. Felton misses 2-pt shot from 14 ft
8:17.0,Defensive rebound by W. Matthews,,52-57,,
8:07.0,W. Matthews makes 2-pt shot from 14 ft,2,54-57,,
7:43.0,,,54-57,,Turnover by J. Redick (lost ball; steal by D. Finney-Smith)
7:36.0,W. Matthews misses 3-pt shot from 25 ft,,54-57,,
7:36.0,Offensive rebound by D. Finney-Smith,,54-57,,
7:32.0,W. Matthews misses 3-pt shot from 23 ft,,54-57,,
7:31.0,Offensive rebound by S. Mejri,,54-57,,
7:29.0,Turnover by S. Mejri (discontinued dribble),,54-57,,
7:29.0,,,54-57,,A. Rivers enters the game for P. Pierce
7:13.0,,,54-57,,J. Redick misses 2-pt shot from 22 ft
7:12.0,Defensive rebound by H. Barnes,,54-57,,
6:54.0,W. Matthews misses 3-pt shot from 24 ft,,54-57,,
6:51.0,Offensive rebound by S. Mejri,,54-57,,
6:47.0,D. Finney-Smith misses 3-pt shot from 25 ft,,54-57,,
6:46.0,,,54-57,,Defensive rebound by D. Jordan
6:32.0,,,54-57,,LA Clippers full timeout
6:32.0,,,54-57,,J. Crawford enters the game for J. Redick
6:32.0,S. Curry enters the game for H. Barnes,,54-57,,
6:23.0,,,54-59,2,D. Jordan makes 2-pt shot at rim (assist by J. Crawford)
5:56.0,D. Williams misses 2-pt shot from 5 ft,,54-59,,
5:56.0,,,54-59,,Defensive rebound by D. Jordan
5:51.0,Personal foul by W. Matthews (drawn by L. Mbah a Moute),,54-59,,
5:43.0,,,54-59,,J. Crawford misses 3-pt shot from 24 ft
5:41.0,,,54-59,,Offensive rebound by Team
5:31.0,,,54-59,,A. Rivers misses 2-pt shot from 6 ft
5:28.0,,,54-59,,Offensive rebound by D. Jordan
5:28.0,,,54-59,,D. Jordan misses 2-pt shot from 1 ft
5:26.0,Defensive rebound by W. Matthews,,54-59,,
5:16.0,W. Matthews makes 2-pt shot from 20 ft (assist by S. Mejri),2,56-59,,
4:51.0,,,56-61,2,J. Crawford makes 2-pt shot from 10 ft
4:35.0,W. Matthews misses 3-pt shot from 25 ft,,56-61,,
4:34.0,,,56-61,,Defensive rebound by R. Felton
4:32.0,,,56-61,,Shooting foul by D. Finney-Smith (drawn by D. Jordan)
4:32.0,,,56-61,,D. Jordan misses free throw 1 of 2
4:32.0,,,56-61,,Offensive rebound by Team
4:32.0,,,56-62,1,D. Jordan makes free throw 2 of 2
4:32.0,J. Anderson enters the game for D. Finney-Smith,,56-61,,
4:32.0,D. Powell enters the game for W. Matthews,,56-61,,
4:32.0,H. Barnes enters the game for S. Mejri,,56-61,,
4:21.0,Turnover by H. Barnes (bad pass; steal by L. Mbah a Moute),,56-62,,
4:12.0,,,56-62,,J. Crawford misses 2-pt shot from 19 ft
4:12.0,Defensive rebound by H. Barnes,,56-62,,
4:01.0,D. Powell makes 2-pt shot at rim (assist by D. Williams),2,58-62,,
3:37.0,,,58-62,,R. Felton misses 3-pt shot from 25 ft
3:36.0,Defensive rebound by Team,,58-62,,
3:19.0,J. Anderson makes 3-pt shot from 24 ft (assist by D. Williams),3,61-62,,
2:54.0,,,61-65,3,J. Crawford makes 3-pt shot from 24 ft
2:33.0,H. Barnes misses 2-pt shot from 15 ft,,61-65,,
2:33.0,,,61-65,,Defensive rebound by L. Mbah a Moute
2:22.0,,,61-67,2,D. Jordan makes 2-pt shot at rim (assist by A. Rivers)
2:22.0,Dallas full timeout,,61-67,,
2:22.0,W. Matthews enters the game for D. Williams,,61-67,,
2:22.0,,,61-67,,M. Speights enters the game for D. Jordan
2:22.0,,,61-67,,B. Bass enters the game for R. Felton
2:08.0,J. Anderson makes 2-pt shot from 6 ft (assist by S. Curry),2,63-67,,
1:48.0,,,63-67,,Turnover by A. Rivers (bad pass; steal by D. Powell)
1:32.0,W. Matthews misses 2-pt shot from 3 ft,,63-67,,
1:31.0,,,63-67,,Defensive rebound by Team
1:17.0,,,63-69,2,B. Bass makes 2-pt shot from 15 ft
1:03.0,Shooting foul by L. Mbah a Moute (drawn by H. Barnes),,63-69,,
1:03.0,H. Barnes makes free throw 1 of 2,1,64-69,,
1:03.0,H. Barnes misses free throw 2 of 2,,64-69,,
1:02.0,,,64-69,,Defensive rebound by B. Bass
0:46.0,,,64-71,2,J. Crawford makes 2-pt shot from 11 ft
0:46.0,,,64-71,,Shooting foul by J. Anderson (drawn by J. Crawford)
0:46.0,,,64-72,1,J. Crawford makes free throw 1 of 1
0:36.0,H. Barnes makes 2-pt shot from 11 ft (assist by S. Curry),2,66-72,,
0:25.0,,,66-72,,M. Speights misses 3-pt shot from 25 ft
0:24.0,Defensive rebound by W. Matthews,,66-72,,
0:03.0,H. Barnes makes 2-pt shot from 7 ft,2,68-72,,
0:01.0,,,68-72,,L. Mbah a Moute misses 3-pt shot from 45 ft
0:00.0,,,68-72,,Offensive rebound by Team
0:00.0,End of 3rd quarter,,,,End of 3rd quarter
12:00.0,Start of 4th quarter,,,,Start of 4th quarter
11:41.0,,,68-72,,A. Anderson misses 3-pt shot from 25 ft
11:40.0,Defensive rebound by J. Anderson,,68-72,,
11:29.0,J. Anderson misses 3-pt shot from 25 ft,,68-72,,
11:28.0,,,68-72,,Defensive rebound by B. Bass
11:20.0,,,68-72,,Offensive charge foul by A. Rivers
11:20.0,,,68-72,,Turnover by A. Rivers (offensive foul)
11:01.0,,,68-72,,Shooting block foul by M. Speights (drawn by W. Matthews)
11:01.0,W. Matthews makes free throw 1 of 2,1,69-72,,
11:01.0,W. Matthews misses free throw 2 of 2,,69-72,,
11:00.0,,,69-72,,Defensive rebound by M. Speights
10:40.0,,,69-74,2,J. Crawford makes 2-pt shot from 12 ft
10:24.0,S. Curry misses 3-pt shot from 27 ft,,69-74,,
10:23.0,Offensive rebound by D. Powell,,69-74,,
10:18.0,W. Matthews misses 3-pt shot from 25 ft,,69-74,,
10:17.0,Offensive rebound by Team,,69-74,,
10:08.0,W. Matthews makes 2-pt shot from 2 ft (assist by S. Curry),2,71-74,,
10:00.0,,,71-76,2,J. Crawford makes 2-pt shot from 19 ft
9:31.0,J. Anderson misses 2-pt shot from 19 ft,,71-76,,
9:29.0,,,71-76,,Defensive rebound by M. Speights
9:26.0,Personal foul by J. Anderson (drawn by J. Crawford),,71-76,,
9:26.0,D. Williams enters the game for S. Curry,,71-76,,
9:26.0,D. Finney-Smith enters the game for J. Anderson,,71-76,,
9:20.0,,,71-76,,A. Rivers misses 2-pt shot from 2 ft
9:18.0,,,71-76,,Offensive rebound by B. Bass
9:18.0,,,71-76,,B. Bass misses 2-pt shot from 2 ft
9:16.0,Defensive rebound by D. Finney-Smith,,71-76,,
9:02.0,D. Finney-Smith misses 3-pt shot from 24 ft,,71-76,,
9:01.0,Offensive rebound by H. Barnes,,71-76,,
8:57.0,W. Matthews misses 3-pt shot from 25 ft,,71-76,,
8:55.0,Offensive rebound by D. Powell,,71-76,,
8:47.0,W. Matthews makes 2-pt shot from 1 ft (assist by D. Williams),2,73-76,,
8:47.0,,,73-76,,LA Clippers full timeout
8:47.0,,,73-76,,J. Redick enters the game for A. Anderson
8:47.0,S. Curry enters the game for H. Barnes,,73-76,,
8:34.0,,,73-78,2,A. Rivers makes 2-pt shot from 2 ft (assist by J. Crawford)
8:07.0,D. Williams misses 2-pt shot from 2 ft,,73-78,,
8:06.0,Offensive rebound by D. Finney-Smith,,73-78,,
8:06.0,D. Finney-Smith misses 2-pt shot from 2 ft,,73-78,,
8:05.0,Offensive rebound by S. Curry,,73-78,,
8:02.0,D. Williams makes 3-pt shot from 24 ft (assist by S. Curry),3,76-78,,
7:40.0,,,76-78,,Turnover by J. Crawford (bad pass; steal by D. Powell)
7:29.0,D. Williams misses 2-pt shot from 18 ft,,76-78,,
7:28.0,,,76-78,,Defensive rebound by J. Redick
7:09.0,,,76-80,2,M. Speights makes 2-pt shot from 11 ft (assist by J. Crawford)
6:42.0,D. Williams makes 2-pt shot from 7 ft (assist by W. Matthews),2,78-80,,
6:37.0,,,78-80,,LA Clippers full timeout
6:37.0,,,78-80,,D. Jordan enters the game for A. Rivers
6:37.0,,,78-80,,L. Mbah a Moute enters the game for M. Speights
6:37.0,,,78-80,,R. Felton enters the game for B. Bass
6:37.0,S. Mejri enters the game for D. Powell,,78-80,,
6:29.0,,,78-80,,Offensive foul by D. Jordan
6:29.0,,,78-80,,Turnover by D. Jordan (offensive foul)
6:29.0,H. Barnes enters the game for S. Curry,,78-80,,
6:12.0,W. Matthews misses 2-pt shot from 23 ft (block by L. Mbah a Moute),,78-80,,
6:12.0,,,78-80,,Defensive rebound by R. Felton
6:02.0,,,78-80,,Turnover by J. Redick (bad pass)
5:43.0,H. Barnes makes 2-pt shot from 12 ft,2,80-80,,
5:17.0,,,80-83,3,J. Crawford makes 3-pt shot from 29 ft
4:50.0,H. Barnes makes 2-pt shot from 14 ft,2,82-83,,
4:32.0,,,82-83,,J. Redick misses 3-pt shot from 26 ft
4:32.0,Defensive rebound by D. Finney-Smith,,82-83,,
4:25.0,,,82-83,,Personal foul by R. Felton (drawn by S. Mejri)
4:25.0,Official timeout,,82-83,,
4:13.0,Turnover by D. Williams (traveling),,82-83,,
3:51.0,,,82-83,,R. Felton misses 3-pt shot from 25 ft
3:50.0,Defensive rebound by D. Finney-Smith,,82-83,,
3:32.0,Shooting foul by J. Redick (drawn by S. Mejri),,82-83,,
3:32.0,S. Mejri makes 2-pt shot from 10 ft (assist by H. Barnes),2,84-83,,
3:32.0,,,84-83,,Violation by D. Jordan (def goaltending)
3:32.0,S. Mejri misses free throw 1 of 1,,84-83,,
3:32.0,,,84-83,,A. Rivers enters the game for R. Felton
3:31.0,,,84-83,,Defensive rebound by D. Jordan
3:18.0,,,84-85,2,J. Crawford makes 2-pt shot from 7 ft
3:02.0,D. Finney-Smith misses 3-pt shot from 25 ft,,84-85,,
3:02.0,,,84-85,,Defensive rebound by D. Jordan
2:47.0,,,84-85,,Turnover by J. Crawford (bad pass; steal by W. Matthews)
2:46.0,Dallas full timeout,,84-85,,
2:46.0,S. Curry enters the game for D. Finney-Smith,,84-85,,
2:32.0,H. Barnes misses 2-pt shot from 13 ft,,84-85,,
2:31.0,,,84-85,,Defensive rebound by D. Jordan
2:17.0,,,84-85,,J. Crawford misses 2-pt shot from 20 ft
2:16.0,Defensive rebound by S. Mejri,,84-85,,
1:57.0,D. Williams misses 3-pt shot from 25 ft,,84-85,,
1:56.0,Offensive rebound by S. Mejri,,84-85,,
1:56.0,,,84-85,,Loose ball foul by J. Redick (drawn by S. Mejri)
1:56.0,,,84-85,,R. Felton enters the game for J. Redick
1:50.0,,,84-85,,Personal foul by L. Mbah a Moute (drawn by S. Mejri)
1:50.0,S. Mejri misses free throw 1 of 2,,84-85,,
1:50.0,Offensive rebound by Team,,84-85,,
1:50.0,S. Mejri makes free throw 2 of 2,1,85-85,,
1:50.0,D. Finney-Smith enters the game for S. Curry,,84-85,,
1:38.0,,,85-88,3,A. Rivers makes 3-pt shot from 25 ft
1:38.0,Dallas full timeout,,85-88,,
1:38.0,D. Powell enters the game for D. Finney-Smith,,85-88,,
1:38.0,S. Curry enters the game for S. Mejri,,85-88,,
1:29.0,Turnover by D. Williams (bad pass; steal by D. Jordan),,85-88,,
1:08.0,,,85-88,,Turnover by J. Crawford (bad pass; steal by S. Curry)
0:54.0,D. Powell makes 2-pt shot at rim (assist by D. Williams),2,87-88,,
0:54.0,,,87-88,,LA Clippers full timeout
0:54.0,,,87-88,,J. Redick enters the game for R. Felton
0:54.0,D. Finney-Smith enters the game for S. Curry,,87-88,,
0:34.0,,,87-88,,J. Crawford misses 3-pt shot from 25 ft
0:34.0,Defensive rebound by Team,,87-88,,
