time,Dallas,pts.away,score,pts.home,New York
4:05.0,Defensive rebound by H. Barnes,,15-9,,
3:45.0,H. Barnes makes 2-pt shot from 19 ft,2,17-9,,
3:27.0,,,17-9,,Turnover by C. Anthony (lost ball; steal by W. Matthews)
3:11.0,S. Curry misses 3-pt shot from 26 ft,,17-9,,
3:10.0,Offensive rebound by J. Anderson,,17-9,,
3:05.0,W. Matthews misses 3-pt shot from 26 ft,,17-9,,
3:04.0,Offensive rebound by S. Curry,,17-9,,
2:58.0,D. Powell misses 2-pt shot from 1 ft (block by C. Anthony),,17-9,,
2:57.0,Offensive rebound by J. Anderson,,17-9,,
2:55.0,Dallas full timeout,,17-9,,
2:55.0,A. Bogut enters the game for H. Barnes,,17-9,,
2:49.0,A. Bogut makes 2-pt shot at rim (assist by S. Curry),2,19-9,,
2:28.0,,,19-9,,Shooting foul by W. Matthews (drawn by C. Anthony)
2:28.0,,,19-10,1,C. Anthony makes free throw 1 of 2
2:28.0,,,19-11,1,C. Anthony makes free throw 2 of 2
2:12.0,S. Curry makes 2-pt shot from 19 ft (assist by W. Matthews),2,21-11,,
1:57.0,,,21-11,,C. Anthony misses 2-pt shot from 15 ft
1:56.0,Defensive rebound by A. Bogut,,21-11,,
1:50.0,S. Curry misses 2-pt shot from 18 ft,,21-11,,
1:48.0,Offensive rebound by Team,,21-11,,
1:25.0,D. Powell misses 2-pt shot from 20 ft,,21-11,,
1:24.0,,,21-11,,Defensive rebound by W. Hernangomez
1:17.0,,,21-11,,C. Lee misses 2-pt shot from 3 ft
1:16.0,Defensive rebound by D. Powell,,21-11,,
1:03.0,Turnover by D. Powell (lost ball; steal by C. Anthony),,21-11,,
0:58.0,Personal foul by J. Anderson (drawn by C. Anthony),,21-11,,
0:49.0,,,21-13,2,C. Lee makes 2-pt shot from 20 ft
0:29.0,S. Curry makes 2-pt shot from 19 ft,2,23-13,,
0:10.0,,,23-13,,M. Ndour misses 2-pt shot from 1 ft
0:09.0,,,23-13,,Offensive rebound by W. Hernangomez
0:09.0,,,23-15,2,W. Hernangomez makes 2-pt shot from 1 ft
0:01.0,J. Anderson misses 2-pt shot from 19 ft,,23-15,,
0:00.0,,,23-15,,Defensive rebound by M. Ndour
0:00.0,End of 1st quarter,,,,End of 1st quarter
12:00.0,Start of 2nd quarter,,,,Start of 2nd quarter
11:52.0,Personal foul by S. Mejri (drawn by W. Hernangomez),,23-15,,
11:42.0,,,23-15,,Turnover by M. Ndour (step out of bounds)
11:21.0,Turnover by D. Powell (traveling),,23-15,,
11:01.0,,,23-15,,W. Hernangomez misses 2-pt shot from 1 ft (block by D. Powell)
11:00.0,,,23-15,,Offensive rebound by W. Hernangomez
10:59.0,Violation by S. Mejri (def goaltending),,23-15,,
10:59.0,,,23-17,2,W. Hernangomez makes 2-pt shot from 3 ft
10:47.0,Turnover by S. Curry (bad pass; steal by B. Jennings),,23-17,,
10:39.0,,,23-19,2,B. Jennings makes 2-pt shot from 22 ft
10:23.0,J. Barea misses 2-pt shot from 18 ft,,23-19,,
10:22.0,,,23-19,,Defensive rebound by K. Porzingis
10:13.0,,,23-19,,K. Porzingis misses 3-pt shot from 25 ft
10:12.0,,,23-19,,Offensive rebound by M. Ndour
10:12.0,,,23-21,2,M. Ndour makes 2-pt shot at rim
10:11.0,Dallas full timeout,,23-21,,
10:11.0,H. Barnes enters the game for D. Powell,,23-21,,
9:52.0,J. Barea makes 2-pt shot from 2 ft (assist by S. Curry),2,25-21,,
9:32.0,,,25-23,2,K. Porzingis makes 2-pt shot from 9 ft (assist by B. Jennings)
9:13.0,J. Anderson misses 2-pt shot from 3 ft (block by K. Porzingis),,25-23,,
9:12.0,,,25-23,,Defensive rebound by M. Ndour
9:04.0,,,25-23,,Turnover by B. Jennings (bad pass)
8:48.0,J. Barea makes 2-pt shot from 6 ft,2,27-23,,
8:36.0,,,27-23,,K. Porzingis misses 2-pt shot from 1 ft (block by S. Mejri)
8:35.0,,,27-23,,Offensive rebound by B. Jennings
8:20.0,,,27-23,,K. Porzingis misses 2-pt shot from 23 ft
8:19.0,Defensive rebound by S. Curry,,27-23,,
8:00.0,Shooting foul by K. Porzingis (drawn by H. Barnes),,27-23,,
8:00.0,H. Barnes makes free throw 1 of 2,1,28-23,,
8:00.0,H. Barnes misses free throw 2 of 2,,28-23,,
7:58.0,Offensive rebound by Team,,28-23,,
7:46.0,Turnover by H. Barnes (lost ball; steal by J. Holiday),,28-23,,
7:41.0,,,28-23,,W. Hernangomez misses 2-pt shot from 2 ft (block by S. Mejri)
7:40.0,Defensive rebound by J. Anderson,,28-23,,
7:39.0,J. Anderson misses 2-pt shot from 1 ft,,28-23,,
7:38.0,Offensive rebound by H. Barnes,,28-23,,
7:34.0,,,28-23,,Personal foul by J. Holiday (drawn by H. Barnes)
7:34.0,,,28-23,,J. Noah enters the game for W. Hernangomez
7:34.0,,,28-23,,D. Rose enters the game for M. Ndour
7:24.0,H. Barnes misses 3-pt shot from 26 ft,,28-23,,
7:23.0,,,28-23,,Defensive rebound by J. Holiday
7:08.0,,,28-25,2,K. Porzingis makes 2-pt shot from 21 ft
6:46.0,J. Barea makes 2-pt shot from 15 ft,2,30-25,,
6:31.0,,,30-27,2,J. Holiday makes 2-pt shot from 21 ft (assist by D. Rose)
6:18.0,W. Matthews enters the game for J. Barea,,30-27,,
6:18.0,A. Bogut enters the game for S. Mejri,,30-27,,
6:04.0,J. Anderson misses 2-pt shot from 2 ft,,30-27,,
6:03.0,Offensive rebound by J. Anderson,,30-27,,
5:45.0,H. Barnes misses 2-pt shot from 14 ft,,30-27,,
5:44.0,Offensive rebound by A. Bogut,,30-27,,
5:39.0,S. Curry misses 2-pt shot from 10 ft,,30-27,,
5:38.0,,,30-27,,Defensive rebound by B. Jennings
5:31.0,,,30-27,,B. Jennings misses 3-pt shot from 25 ft
5:30.0,,,30-27,,Offensive rebound by J. Noah
5:11.0,,,30-27,,D. Rose misses 2-pt shot from 21 ft
5:10.0,Defensive rebound by W. Matthews,,30-27,,
4:56.0,J. Anderson misses 3-pt shot from 27 ft,,30-27,,
4:55.0,,,30-27,,Defensive rebound by B. Jennings
4:48.0,,,30-27,,Shooting foul by J. Anderson (drawn by K. Porzingis)
4:48.0,Official timeout,,30-27,,
4:48.0,,,30-28,1,K. Porzingis makes free throw 1 of 2
4:48.0,,,30-29,1,K. Porzingis makes free throw 2 of 2
4:48.0,,,30-27,,C. Anthony enters the game for B. Jennings
4:48.0,D. Finney-Smith enters the game for J. Anderson,,30-27,,
4:33.0,W. Matthews misses 3-pt shot from 26 ft,,30-29,,
4:32.0,,,30-29,,Defensive rebound by J. Noah
4:15.0,,,30-29,,Turnover by K. Porzingis (bad pass; steal by W. Matthews)
4:11.0,Shooting foul by C. Anthony (drawn by H. Barnes),,30-29,,
4:11.0,H. Barnes makes free throw 1 of 2,1,31-29,,
4:11.0,H. Barnes misses free throw 2 of 2,,31-29,,
4:11.0,J. Barea enters the game for S. Curry,,31-29,,
4:10.0,,,31-29,,Defensive rebound by K. Porzingis
3:52.0,,,31-31,2,J. Holiday makes 2-pt shot from 14 ft (assist by J. Noah)
3:39.0,H. Barnes makes 2-pt shot from 16 ft (assist by J. Barea),2,33-31,,
3:26.0,,,33-31,,J. Holiday misses 3-pt shot from 27 ft
3:25.0,,,33-31,,Offensive rebound by J. Noah
3:18.0,,,33-33,2,K. Porzingis makes 2-pt shot from 10 ft
3:03.0,H. Barnes makes 2-pt shot from 20 ft (assist by D. Finney-Smith),2,35-33,,
2:46.0,,,35-33,,K. Porzingis misses 2-pt shot from 20 ft
2:44.0,,,35-33,,Offensive rebound by Team
2:44.0,,,35-33,,New York full timeout
2:44.0,,,35-33,,C. Lee enters the game for J. Holiday
2:40.0,,,35-33,,K. Porzingis misses 2-pt shot from 15 ft
2:39.0,Defensive rebound by W. Matthews,,35-33,,
2:19.0,Turnover by H. Barnes (bad pass; steal by C. Lee),,35-33,,
2:15.0,Personal take foul by A. Bogut (drawn by C. Anthony),,35-33,,
2:07.0,,,35-33,,Turnover by C. Anthony (lost ball; steal by H. Barnes)
2:02.0,H. Barnes makes 2-pt shot at rim (assist by J. Barea),2,37-33,,
1:43.0,,,37-33,,Turnover by C. Anthony (offensive foul)
1:43.0,,,37-33,,Offensive foul by C. Anthony
1:29.0,W. Matthews misses 2-pt shot from 8 ft,,37-33,,
1:28.0,,,37-33,,Defensive rebound by C. Lee
1:23.0,,,37-33,,D. Rose misses 2-pt shot from 2 ft
1:22.0,,,37-33,,Offensive rebound by C. Anthony
1:20.0,,,37-33,,C. Anthony misses 2-pt shot from 2 ft (block by A. Bogut)
1:19.0,Defensive rebound by J. Barea,,37-33,,
1:07.0,J. Barea makes 2-pt shot from 4 ft,2,39-33,,
0:54.0,,,39-33,,Turnover by K. Porzingis (lost ball; steal by D. Finney-Smith)
0:53.0,Turnover by D. Finney-Smith (step out of bounds),,39-33,,
0:47.0,,,39-33,,D. Rose misses 2-pt shot from 14 ft
0:46.0,,,39-33,,Offensive rebound by K. Porzingis
0:37.0,Personal foul by H. Barnes (drawn by C. Anthony),,39-33,,
0:27.0,,,39-36,3,C. Lee makes 3-pt shot from 26 ft (assist by J. Noah)
0:11.0,,,39-36,,Personal foul by C. Anthony (drawn by H. Barnes)
0:11.0,,,39-36,,J. Holiday enters the game for C. Anthony
0:11.0,Dallas full timeout,,39-36,,
0:01.0,H. Barnes misses 2-pt shot from 8 ft,,39-36,,
0:00.0,Offensive rebound by D. Finney-Smith,,39-36,,
0:00.0,End of 2nd quarter,,,,End of 2nd quarter
12:00.0,Start of 3rd quarter,,,,Start of 3rd quarter
11:47.0,,,39-39,3,C. Anthony makes 3-pt shot from 23 ft (assist by D. Rose)
11:26.0,Turnover by W. Matthews (bad pass),,39-39,,
11:07.0,,,39-39,,Shooting foul by A. Bogut (drawn by J. Holiday)
11:07.0,,,39-40,1,J. Holiday makes free throw 1 of 2
11:07.0,,,39-41,1,J. Holiday makes free throw 2 of 2
10:45.0,D. Finney-Smith makes 2-pt shot from 20 ft,2,41-41,,
10:32.0,,,41-41,,C. Lee misses 3-pt shot from 23 ft
10:31.0,Defensive rebound by D. Finney-Smith,,41-41,,
10:16.0,W. Matthews misses 2-pt shot from 18 ft,,41-41,,
10:15.0,,,41-41,,Defensive rebound by C. Anthony
10:07.0,,,41-41,,D. Rose misses 3-pt shot from 27 ft
10:06.0,Defensive rebound by W. Matthews,,41-41,,
9:54.0,Offensive foul by D. Finney-Smith,,41-41,,
9:54.0,Turnover by D. Finney-Smith (offensive foul),,41-41,,
9:37.0,,,41-41,,K. Porzingis misses 2-pt shot from 14 ft
9:37.0,,,41-41,,Offensive rebound by K. Porzingis
9:37.0,,,41-41,,Shooting foul by A. Bogut (drawn by K. Porzingis)
9:37.0,,,41-42,1,K. Porzingis makes free throw 1 of 2
9:37.0,,,41-43,1,K. Porzingis makes free throw 2 of 2
9:13.0,J. Barea makes 2-pt shot from 14 ft,2,43-43,,
8:58.0,,,43-43,,Turnover by J. Holiday (bad pass; steal by D. Finney-Smith)
8:50.0,J. Barea misses 3-pt shot from 26 ft,,43-43,,
8:49.0,,,43-43,,Defensive rebound by C. Anthony
8:39.0,,,43-43,,Shooting foul by D. Finney-Smith (drawn by D. Rose)
8:39.0,,,43-44,1,D. Rose makes free throw 1 of 2
8:39.0,,,43-44,,D. Rose misses free throw 2 of 2
8:39.0,S. Curry enters the game for D. Finney-Smith,,43-44,,
8:38.0,Defensive rebound by A. Bogut,,43-44,,
8:15.0,S. Curry makes 2-pt shot from 11 ft,2,45-44,,
7:47.0,,,45-44,,C. Anthony misses 2-pt shot from 14 ft
7:46.0,Defensive rebound by A. Bogut,,45-44,,
7:37.0,S. Curry misses 3-pt shot from 24 ft,,45-44,,
7:36.0,,,45-44,,Defensive rebound by D. Rose
7:24.0,,,45-46,2,C. Anthony makes 2-pt shot from 1 ft (assist by J. Holiday)
7:05.0,Offensive foul by A. Bogut,,45-46,,
7:05.0,Turnover by A. Bogut (offensive foul),,45-46,,
7:05.0,D. Powell enters the game for A. Bogut,,45-46,,
6:46.0,,,45-48,2,C. Anthony makes 2-pt shot from 14 ft
6:31.0,H. Barnes misses 2-pt shot from 17 ft,,45-48,,
6:30.0,,,45-48,,Defensive rebound by C. Lee
6:23.0,,,45-48,,Shooting foul by W. Matthews (drawn by C. Anthony)
6:23.0,Dallas full timeout,,45-48,,
6:23.0,,,45-49,1,C. Anthony makes free throw 1 of 2
6:23.0,,,45-50,1,C. Anthony makes free throw 2 of 2
6:08.0,H. Barnes misses 2-pt shot from 17 ft,,45-50,,
6:07.0,Offensive rebound by D. Powell,,45-50,,
6:01.0,J. Barea misses 3-pt shot from 28 ft,,45-50,,
6:00.0,,,45-50,,Defensive rebound by K. Porzingis
5:38.0,,,45-52,2,C. Lee makes 2-pt shot from 18 ft (assist by D. Rose)
5:20.0,W. Matthews misses 2-pt shot from 18 ft,,45-52,,
5:19.0,,,45-52,,Defensive rebound by J. Holiday
5:12.0,,,45-55,3,J. Holiday makes 3-pt shot from 26 ft (assist by D. Rose)
5:11.0,Dallas full timeout,,45-55,,
4:58.0,D. Powell makes 2-pt shot at rim (assist by J. Barea),2,47-55,,
4:44.0,,,47-55,,C. Anthony misses 2-pt shot from 2 ft (block by H. Barnes)
4:43.0,,,47-55,,Offensive rebound by C. Anthony
4:42.0,,,47-57,2,C. Anthony makes 2-pt shot from 1 ft
4:28.0,Turnover by D. Powell (step out of bounds),,47-57,,
4:23.0,,,47-57,,Offensive foul by D. Rose
4:23.0,,,47-57,,Turnover by D. Rose (offensive foul)
4:06.0,J. Barea misses 2-pt shot from 16 ft,,47-57,,
4:05.0,,,47-57,,Defensive rebound by C. Anthony
4:00.0,,,47-57,,D. Rose misses 2-pt shot from 1 ft
3:59.0,Defensive rebound by W. Matthews,,47-57,,
3:58.0,,,47-57,,Personal foul by K. Porzingis (drawn by W. Matthews)
3:58.0,J. Anderson enters the game for J. Barea,,47-57,,
3:39.0,J. Anderson misses 3-pt shot from 23 ft,,47-57,,
3:38.0,,,47-57,,Defensive rebound by J. Holiday
3:31.0,Personal foul by D. Powell (drawn by K. Porzingis),,47-57,,
3:31.0,,,47-58,1,K. Porzingis makes free throw 1 of 2
3:31.0,,,47-59,1,K. Porzingis makes free throw 2 of 2
3:31.0,,,47-58,,S. Vujacic enters the game for C. Lee
3:14.0,H. Barnes misses 2-pt shot from 18 ft (block by J. Holiday),,47-59,,
3:13.0,,,47-59,,Defensive rebound by K. Porzingis
3:09.0,,,47-61,2,J. Holiday makes 2-pt shot from 2 ft (assist by K. Porzingis)
3:08.0,Dallas full timeout,,47-61,,
3:08.0,,,47-61,,W. Hernangomez enters the game for K. Porzingis
2:56.0,J. Anderson misses 2-pt shot from 1 ft,,47-61,,
2:55.0,,,47-61,,Defensive rebound by W. Hernangomez
2:38.0,,,47-63,2,C. Anthony makes 2-pt shot from 12 ft
2:19.0,J. Anderson misses 3-pt shot from 24 ft,,47-63,,
2:18.0,,,47-63,,Defensive rebound by W. Hernangomez
1:56.0,,,47-63,,C. Anthony misses 2-pt shot from 17 ft
1:55.0,Defensive rebound by H. Barnes,,47-63,,
1:43.0,H. Barnes makes 2-pt shot from 12 ft,2,49-63,,
1:35.0,,,49-63,,C. Anthony misses 3-pt shot from 25 ft
1:34.0,Defensive rebound by H. Barnes,,49-63,,
1:25.0,D. Powell misses 2-pt shot at rim,,49-63,,
1:24.0,,,49-63,,Defensive rebound by D. Rose
1:15.0,,,49-66,3,C. Anthony makes 3-pt shot from 25 ft (assist by D. Rose)
0:54.0,Turnover by H. Barnes (lost ball; steal by J. Holiday),,49-66,,
0:51.0,,,49-66,,Offensive charge foul by D. Rose
0:51.0,,,49-66,,Turnover by D. Rose (offensive foul)
0:51.0,,,49-66,,Violation by Team (delay of game)
0:39.0,Shooting foul by J. Holiday (drawn by H. Barnes),,49-66,,
0:39.0,H. Barnes makes free throw 1 of 2,1,50-66,,
0:39.0,H. Barnes makes free throw 2 of 2,1,51-66,,
0:39.0,,,51-66,,New York full timeout
0:28.0,Violation by J. Anderson (kicked ball),,51-66,,
0:24.0,Personal foul by J. Anderson (drawn by C. Anthony),,51-66,,
0:24.0,,,51-66,,C. Anthony misses free throw 1 of 2
0:24.0,,,51-66,,Offensive rebound by Team
0:24.0,,,51-67,1,C. Anthony makes free throw 2 of 2
0:06.0,J. Anderson misses 3-pt shot from 25 ft,,51-67,,
0:05.0,,,51-67,,Defensive rebound by D. Rose
0:01.0,,,51-67,,Turnover by D. Rose (bad pass; steal by S. Curry)
0:00.0,S. Curry misses 3-pt shot from 69 ft,,51-67,,
0:00.0,Offensive rebound by Team,,51-67,,
0:00.0,End of 3rd quarter,,,,End of 3rd quarter
12:00.0,Start of 4th quarter,,,,Start of 4th quarter
11:44.0,S. Curry makes 3-pt shot from 26 ft (assist by J. Barea),3,54-67,,
11:19.0,,,54-67,,K. Porzingis misses 3-pt shot from 26 ft
11:18.0,Defensive rebound by J. Anderson,,54-67,,
11:03.0,J. Barea makes 2-pt shot from 14 ft,2,56-67,,
10:43.0,,,56-70,3,B. Jennings makes 3-pt shot from 24 ft (assist by C. Lee)
10:20.0,J. Anderson misses 3-pt shot from 27 ft,,56-70,,
10:19.0,,,56-70,,Defensive rebound by K. Porzingis
10:12.0,,,56-70,,Turnover by K. Porzingis (traveling)
9:59.0,J. Barea makes 3-pt shot from 27 ft,3,59-70,,
9:41.0,,,59-70,,Turnover by C. Lee (bad pass; steal by J. Anderson)
9:25.0,S. Curry misses 3-pt shot from 26 ft,,59-70,,
9:24.0,,,59-70,,Defensive rebound by M. Ndour
9:16.0,,,59-70,,K. Porzingis misses 3-pt shot from 27 ft
9:15.0,Defensive rebound by S. Curry,,59-70,,
9:01.0,N. Brussino misses 3-pt shot from 26 ft,,59-70,,
9:00.0,,,59-70,,Defensive rebound by S. Vujacic
8:44.0,,,59-70,,M. Ndour misses 3-pt shot from 23 ft
8:43.0,Defensive rebound by N. Brussino,,59-70,,
8:21.0,J. Anderson misses 2-pt shot from 2 ft,,59-70,,
8:20.0,,,59-70,,Defensive rebound by K. Porzingis
8:00.0,,,59-72,2,K. Porzingis makes 2-pt shot from 1 ft
7:37.0,Shooting foul by K. Porzingis (drawn by S. Mejri),,59-72,,
7:37.0,Official timeout,,59-72,,
7:37.0,S. Mejri makes free throw 1 of 2,1,60-72,,
7:37.0,S. Mejri makes free throw 2 of 2,1,61-72,,
7:37.0,,,59-72,,C. Anthony enters the game for M. Ndour
7:37.0,H. Barnes enters the game for J. Anderson,,59-72,,
7:37.0,D. Finney-Smith enters the game for N. Brussino,,59-72,,
7:17.0,,,61-75,3,K. Porzingis makes 3-pt shot from 24 ft (assist by C. Anthony)
7:05.0,J. Barea misses 3-pt shot from 27 ft,,61-75,,
7:04.0,,,61-75,,Defensive rebound by Team
7:04.0,,,61-75,,J. Holiday enters the game for S. Vujacic
7:04.0,W. Matthews enters the game for S. Mejri,,61-75,,
6:47.0,,,61-77,2,J. Holiday makes 2-pt shot from 1 ft (assist by C. Anthony)
6:39.0,S. Curry misses 3-pt shot from 25 ft,,61-77,,
6:38.0,Offensive rebound by S. Curry,,61-77,,
6:33.0,W. Matthews makes 3-pt shot from 24 ft (assist by S. Curry),3,64-77,,
6:13.0,,,64-79,2,K. Porzingis makes 2-pt shot from 11 ft
6:01.0,J. Barea misses 2-pt shot from 4 ft,,64-79,,
6:00.0,,,64-79,,Defensive rebound by K. Porzingis
5:54.0,,,64-82,3,C. Anthony makes 3-pt shot from 24 ft (assist by J. Holiday)
5:53.0,Dallas full timeout,,64-82,,
5:53.0,D. Powell enters the game for D. Finney-Smith,,64-82,,
5:31.0,S. Curry misses 3-pt shot from 26 ft,,64-82,,
5:30.0,,,64-82,,Defensive rebound by J. Holiday
5:08.0,,,64-82,,B. Jennings misses 3-pt shot from 24 ft
5:07.0,Defensive rebound by D. Powell,,64-82,,
4:50.0,J. Barea makes 2-pt shot from 8 ft,2,66-82,,
4:27.0,,,66-82,,C. Anthony misses 3-pt shot from 26 ft
4:26.0,Defensive rebound by S. Curry,,66-82,,
4:17.0,,,66-82,,Personal foul by J. Holiday (drawn by S. Curry)
4:17.0,,,66-82,,D. Rose enters the game for B. Jennings
4:17.0,,,66-82,,W. Hernangomez enters the game for K. Porzingis
4:05.0,D. Powell misses 2-pt shot from 12 ft,,66-82,,
4:04.0,,,66-82,,Defensive rebound by W. Hernangomez
3:44.0,,,66-85,3,J. Holiday makes 3-pt shot from 23 ft (assist by C. Anthony)
3:43.0,Dallas full timeout,,66-85,,
3:43.0,Q. Acy enters the game for J. Barea,,66-85,,
3:43.0,N. Brussino enters the game for H. Barnes,,66-85,,
3:33.0,Q. Acy misses 3-pt shot from 22 ft,,66-85,,
3:32.0,,,66-85,,Defensive rebound by C. Anthony
3:20.0,J. Anderson enters the game for S. Curry,,66-85,,
3:20.0,D. Finney-Smith enters the game for W. Matthews,,66-85,,
3:20.0,A. Hammons enters the game for D. Powell,,66-85,,
3:20.0,,,66-85,,M. Kuzminskas enters the game for C. Anthony
3:09.0,,,66-85,,C. Lee misses 2-pt shot from 19 ft
3:08.0,,,66-85,,Offensive rebound by Team
3:08.0,,,66-85,,S. Vujacic enters the game for C. Lee
3:08.0,,,66-85,,R. Baker enters the game for J. Holiday
3:08.0,,,66-85,,B. Jennings enters the game for D. Rose
2:58.0,,,66-85,,W. Hernangomez misses 2-pt shot from 13 ft
2:57.0,Defensive rebound by J. Anderson,,66-85,,
2:44.0,Q. Acy makes 2-pt shot at rim (assist by N. Brussino),2,68-85,,
2:44.0,Shooting foul by W. Hernangomez (drawn by Q. Acy),,68-85,,
2:44.0,Q. Acy misses free throw 1 of 1,,68-85,,
2:44.0,,,68-85,,K. O'Quinn enters the game for W. Hernangomez
2:43.0,,,68-85,,Defensive rebound by S. Vujacic
2:26.0,,,68-87,2,K. O'Quinn makes 2-pt shot from 16 ft
2:12.0,N. Brussino makes 2-pt shot from 1 ft (assist by J. Anderson),2,70-87,,
1:53.0,,,70-87,,R. Baker misses 3-pt shot from 24 ft
1:52.0,,,70-87,,Offensive rebound by K. O'Quinn
1:50.0,,,70-87,,K. O'Quinn misses 2-pt shot from 1 ft
1:49.0,,,70-87,,Offensive rebound by K. O'Quinn
1:46.0,,,70-89,2,S. Vujacic makes 2-pt shot from 18 ft (assist by K. O'Quinn)
1:46.0,Technical foul by Team,,70-89,,
1:46.0,Turnover by Team (turnover),,70-89,,
1:46.0,,,70-90,1,S. Vujacic makes technical free throw
1:46.0,D. Powell enters the game for Q. Acy,,70-89,,
1:42.0,,,70-90,,M. Kuzminskas misses 3-pt shot from 25 ft
1:41.0,Defensive rebound by N. Brussino,,70-90,,
1:34.0,D. Powell misses 2-pt shot from 1 ft (block by K. O'Quinn),,70-90,,
1:33.0,Offensive rebound by D. Finney-Smith,,70-90,,
1:29.0,Turnover by N. Brussino (bad pass; steal by R. Baker),,70-90,,
1:25.0,,,70-92,2,M. Kuzminskas makes 2-pt shot at rim (assist by S. Vujacic)
1:25.0,Technical foul by Team,,70-92,,
1:25.0,Turnover by Team (turnover),,70-92,,
1:25.0,,,70-93,1,S. Vujacic makes technical free throw
1:18.0,,,70-93,,Turnover by S. Vujacic (lost ball; steal by D. Powell)
0:55.0,D. Powell makes 2-pt shot from 16 ft (assist by J. Anderson),2,72-93,,
0:41.0,,,72-93,,K. O'Quinn misses 2-pt shot from 3 ft (block by A. Hammons)
0:40.0,Defensive rebound by D. Powell,,72-93,,
0:34.0,N. Brussino makes 3-pt shot from 23 ft (assist by D. Finney-Smith),3,75-93,,
0:16.0,,,75-93,,S. Vujacic misses 2-pt shot from 19 ft (block by N. Brussino)
0:14.0,Defensive rebound by J. Anderson,,75-93,,
0:10.0,Shooting foul by M. Kuzminskas (drawn by D. Powell),,75-93,,
