time,Golden State,pts.away,score,pts.home,Minnesota
0:28.0,,,28-27,,Technical foul by G. Dieng
0:28.0,Technical foul by D. West,,28-27,,
0:28.0,K. Durant makes free throw 1 of 2,1,29-27,,
0:28.0,K. Durant makes free throw 2 of 2,1,30-27,,
0:05.0,,,30-27,,Turnover by A. Payne (offensive goaltending)
0:05.0,S. Curry enters the game for D. West,,30-27,,
0:02.0,K. Thompson misses 3-pt shot from 24 ft,,30-27,,
0:00.0,Offensive rebound by Team,,30-27,,
0:00.0,End of 1st quarter,,,,End of 1st quarter
12:00.0,Start of 2nd quarter,,,,Start of 2nd quarter
11:37.0,,,30-27,,Shooting foul by D. West (drawn by K. Towns)
11:37.0,,,30-28,1,K. Towns makes free throw 1 of 2
11:37.0,,,30-29,1,K. Towns makes free throw 2 of 2
11:22.0,K. Durant misses 2-pt shot from 16 ft,,30-29,,
11:21.0,,,30-29,,Defensive rebound by K. Towns
11:12.0,,,30-32,3,S. Muhammad makes 3-pt shot from 22 ft (assist by K. Dunn)
10:51.0,K. Thompson makes 2-pt shot from 1 ft (assist by D. West),2,32-32,,
10:31.0,,,32-32,,K. Towns misses 2-pt shot from 4 ft
10:30.0,,,32-32,,Offensive rebound by S. Muhammad
10:29.0,,,32-32,,Shooting foul by K. Durant (drawn by S. Muhammad)
10:29.0,,,32-33,1,S. Muhammad makes free throw 1 of 2
10:29.0,,,32-34,1,S. Muhammad makes free throw 2 of 2
10:29.0,K. Looney enters the game for D. West,,32-33,,
10:10.0,K. Durant misses 2-pt shot from 9 ft,,32-34,,
10:09.0,,,32-34,,Defensive rebound by B. Rush
10:02.0,,,32-34,,K. Towns misses 3-pt shot from 24 ft
10:01.0,Defensive rebound by K. Thompson,,32-34,,
9:49.0,S. Livingston makes 2-pt shot from 2 ft (assist by A. Iguodala),2,34-34,,
9:36.0,,,34-34,,Turnover by B. Rush (bad pass)
9:20.0,A. Iguodala misses 2-pt shot from 20 ft,,34-34,,
9:18.0,Offensive rebound by K. Durant,,34-34,,
9:16.0,K. Durant makes 2-pt shot from 6 ft,2,36-34,,
9:11.0,,,36-34,,Shooting foul by K. Durant (drawn by S. Muhammad)
9:11.0,,,36-34,,S. Muhammad misses free throw 1 of 2
9:11.0,,,36-34,,Offensive rebound by Team
9:11.0,,,36-35,1,S. Muhammad makes free throw 2 of 2
9:11.0,I. Clark enters the game for K. Durant,,36-34,,
9:11.0,D. Green enters the game for A. Iguodala,,36-34,,
9:02.0,,,36-35,,Violation by K. Towns (def goaltending)
9:02.0,S. Livingston makes 2-pt shot from 2 ft,2,38-35,,
8:51.0,,,38-35,,K. Dunn misses 2-pt shot from 17 ft
8:50.0,,,38-35,,Offensive rebound by K. Towns
8:36.0,,,38-38,3,Z. LaVine makes 3-pt shot from 25 ft
8:18.0,S. Livingston makes 2-pt shot from 11 ft (assist by D. Green),2,40-38,,
8:11.0,,,40-38,,S. Muhammad misses 2-pt shot from 5 ft
8:11.0,Defensive rebound by S. Livingston,,40-38,,
8:03.0,D. Green misses 3-pt shot from 26 ft,,40-38,,
8:02.0,,,40-38,,Defensive rebound by K. Dunn
7:59.0,,,40-38,,K. Dunn misses 2-pt shot from 1 ft
7:57.0,,,40-38,,Offensive rebound by S. Muhammad
7:56.0,,,40-38,,S. Muhammad misses 2-pt shot from 2 ft
7:54.0,Defensive rebound by I. Clark,,40-38,,
7:48.0,K. Thompson makes 2-pt shot from 3 ft (assist by I. Clark),2,42-38,,
7:39.0,,,42-38,,Minnesota full timeout
7:39.0,,,42-38,,A. Wiggins enters the game for S. Muhammad
7:25.0,,,42-38,,B. Rush misses 2-pt shot from 14 ft
7:23.0,Defensive rebound by K. Thompson,,42-38,,
7:12.0,K. Thompson misses 3-pt shot from 24 ft,,42-38,,
7:11.0,,,42-38,,Defensive rebound by A. Wiggins
7:03.0,,,42-38,,Shooting foul by I. Clark (drawn by A. Wiggins)
7:03.0,,,42-38,,A. Wiggins misses free throw 1 of 2
7:03.0,,,42-38,,Offensive rebound by Team
7:03.0,,,42-38,,A. Wiggins misses free throw 2 of 2
7:03.0,Defensive rebound by D. Green,,42-38,,
6:55.0,K. Thompson misses 3-pt shot from 25 ft,,42-38,,
6:54.0,,,42-38,,Defensive rebound by B. Rush
6:37.0,,,42-40,2,K. Dunn makes 2-pt shot from 5 ft (assist by Z. LaVine)
6:23.0,,,42-40,,Personal foul by Z. LaVine (drawn by K. Thompson)
6:23.0,,,42-40,,G. Dieng enters the game for B. Rush
6:23.0,S. Curry enters the game for K. Thompson,,42-40,,
6:17.0,,,42-40,,Violation by A. Wiggins (kicked ball)
6:10.0,D. Green makes 3-pt shot from 25 ft (assist by S. Curry),3,45-40,,
5:55.0,,,45-40,,Z. LaVine misses 2-pt shot from 17 ft
5:54.0,,,45-40,,Offensive rebound by G. Dieng
5:54.0,,,45-40,,G. Dieng misses 2-pt shot at rim
5:53.0,Defensive rebound by K. Looney,,45-40,,
5:44.0,Offensive foul by D. Green,,45-40,,
5:44.0,Turnover by D. Green (offensive foul),,45-40,,
5:44.0,,,45-40,,Minnesota full timeout
5:44.0,,,45-40,,R. Rubio enters the game for K. Dunn
5:22.0,,,45-40,,R. Rubio misses 3-pt shot from 23 ft
5:21.0,Defensive rebound by S. Livingston,,45-40,,
4:57.0,D. Green makes 3-pt shot from 25 ft (assist by S. Curry),3,48-40,,
4:38.0,,,48-42,2,K. Towns makes 2-pt shot from 17 ft (assist by Z. LaVine)
4:28.0,K. Looney makes 2-pt shot at rim (assist by D. Green),2,50-42,,
4:16.0,,,50-45,3,K. Towns makes 3-pt shot from 24 ft (assist by R. Rubio)
4:04.0,D. Green makes 3-pt shot from 25 ft (assist by S. Curry),3,53-45,,
3:44.0,,,53-48,3,Z. LaVine makes 3-pt shot from 23 ft (assist by R. Rubio)
3:33.0,Golden State full timeout,,53-48,,
3:33.0,A. Iguodala enters the game for K. Looney,,53-48,,
3:33.0,K. Thompson enters the game for I. Clark,,53-48,,
3:33.0,K. Durant enters the game for S. Livingston,,53-48,,
3:20.0,K. Thompson makes 2-pt shot from 6 ft (assist by A. Iguodala),2,55-48,,
2:52.0,,,55-48,,R. Rubio misses 2-pt shot from 19 ft
2:51.0,Defensive rebound by K. Thompson,,55-48,,
2:33.0,K. Durant misses 2-pt shot from 19 ft,,55-48,,
2:32.0,,,55-48,,Defensive rebound by K. Towns
2:22.0,,,55-48,,A. Wiggins misses 2-pt shot from 19 ft
2:21.0,,,55-48,,Offensive rebound by R. Rubio
2:15.0,,,55-50,2,K. Towns makes 2-pt shot at rim (assist by R. Rubio)
2:01.0,Shooting foul by G. Dieng (drawn by A. Iguodala),,55-50,,
2:01.0,A. Iguodala makes free throw 1 of 2,1,56-50,,
2:01.0,A. Iguodala makes free throw 2 of 2,1,57-50,,
2:01.0,,,56-50,,S. Muhammad enters the game for G. Dieng
1:50.0,,,57-52,2,K. Towns makes 2-pt shot from 1 ft (assist by R. Rubio)
1:50.0,,,57-52,,Shooting foul by D. Green (drawn by K. Towns)
1:50.0,,,57-53,1,K. Towns makes free throw 1 of 1
1:37.0,K. Durant misses 3-pt shot from 25 ft,,57-53,,
1:36.0,,,57-53,,Defensive rebound by Z. LaVine
1:25.0,,,57-56,3,Z. LaVine makes 3-pt shot from 25 ft
1:02.0,K. Thompson misses 3-pt shot from 25 ft,,57-56,,
1:01.0,,,57-56,,Defensive rebound by A. Wiggins
0:50.0,,,57-56,,R. Rubio misses 3-pt shot from 25 ft
0:49.0,Defensive rebound by K. Durant,,57-56,,
0:43.0,,,57-56,,Loose ball foul by A. Wiggins (drawn by D. Green)
0:43.0,D. Green makes free throw 1 of 2,1,58-56,,
0:43.0,D. Green misses free throw 2 of 2,,58-56,,
0:43.0,,,58-56,,Defensive rebound by S. Muhammad
0:43.0,K. Looney enters the game for K. Durant,,58-56,,
0:39.0,,,58-58,2,Z. LaVine makes 2-pt shot from 3 ft (assist by S. Muhammad)
0:30.0,S. Curry misses 2-pt shot from 4 ft,,58-58,,
0:29.0,,,58-58,,Defensive rebound by R. Rubio
0:23.0,,,58-58,,Turnover by R. Rubio (bad pass; steal by A. Iguodala)
0:19.0,S. Curry makes 2-pt shot from 2 ft (assist by A. Iguodala),2,60-58,,
0:00.0,,,60-58,,A. Wiggins misses 2-pt shot from 19 ft
0:00.0,,,60-58,,Offensive rebound by Team
0:00.0,End of 2nd quarter,,,,End of 2nd quarter
12:00.0,Start of 3rd quarter,,,,Start of 3rd quarter
11:42.0,,,60-60,2,A. Wiggins makes 2-pt shot at rim
11:25.0,K. Looney makes 2-pt shot at rim (assist by K. Thompson),2,62-60,,
11:03.0,,,62-62,2,G. Dieng makes 2-pt shot from 1 ft (assist by R. Rubio)
10:50.0,K. Thompson misses 3-pt shot from 26 ft,,62-62,,
10:49.0,Offensive rebound by K. Looney,,62-62,,
10:47.0,,,62-62,,Personal foul by R. Rubio (drawn by K. Looney)
10:37.0,K. Durant misses 2-pt shot from 20 ft,,62-62,,
10:35.0,,,62-62,,Defensive rebound by K. Towns
10:28.0,,,62-62,,R. Rubio misses 2-pt shot from 1 ft (block by K. Thompson)
10:26.0,Defensive rebound by K. Durant,,62-62,,
10:22.0,S. Curry misses 2-pt shot from 1 ft (block by G. Dieng),,62-62,,
10:22.0,Offensive rebound by Team,,62-62,,
10:17.0,,,62-62,,Violation by K. Towns (def goaltending)
10:17.0,K. Durant makes 2-pt shot from 3 ft,2,64-62,,
9:56.0,,,64-62,,Z. LaVine misses 3-pt shot from 24 ft
9:55.0,Defensive rebound by K. Looney,,64-62,,
9:52.0,Turnover by D. Green (discontinued dribble),,64-62,,
9:38.0,,,64-65,3,A. Wiggins makes 3-pt shot from 25 ft
9:27.0,Turnover by K. Thompson (bad pass; steal by G. Dieng),,64-65,,
9:25.0,,,64-65,,Turnover by G. Dieng (bad pass; steal by D. Green)
9:16.0,K. Durant misses 3-pt shot from 23 ft,,64-65,,
9:16.0,,,64-65,,Defensive rebound by K. Towns
9:07.0,,,64-65,,Shooting foul by K. Looney (drawn by G. Dieng)
9:07.0,,,64-66,1,G. Dieng makes free throw 1 of 2
9:07.0,,,64-66,,G. Dieng misses free throw 2 of 2
9:07.0,Defensive rebound by K. Durant,,64-66,,
8:46.0,D. Green misses 3-pt shot from 24 ft,,64-66,,
8:45.0,,,64-66,,Defensive rebound by K. Towns
8:33.0,,,64-66,,G. Dieng misses 2-pt shot from 3 ft
8:32.0,Defensive rebound by S. Curry,,64-66,,
8:24.0,K. Durant misses 2-pt shot from 1 ft,,64-66,,
8:24.0,,,64-66,,Defensive rebound by K. Towns
8:20.0,,,64-66,,Shooting foul by K. Looney (drawn by A. Wiggins)
8:20.0,,,64-67,1,A. Wiggins makes free throw 1 of 2
8:20.0,Golden State full timeout,,64-67,,
8:20.0,,,64-68,1,A. Wiggins makes free throw 2 of 2
8:05.0,D. Green makes 3-pt shot from 25 ft (assist by K. Durant),3,67-68,,
7:40.0,,,67-68,,R. Rubio misses 3-pt shot from 23 ft
7:39.0,,,67-68,,Offensive rebound by K. Towns
7:39.0,,,67-70,2,K. Towns makes 2-pt shot at rim
7:23.0,S. Curry makes 2-pt shot from 19 ft,2,69-70,,
7:06.0,,,69-70,,K. Towns misses 2-pt shot from 6 ft
7:05.0,Defensive rebound by D. Green,,69-70,,
6:59.0,Turnover by K. Looney (traveling),,69-70,,
6:43.0,,,69-73,3,Z. LaVine makes 3-pt shot from 24 ft
6:30.0,S. Curry makes 3-pt shot from 25 ft (assist by D. Green),3,72-73,,
6:11.0,,,72-73,,Z. LaVine misses 3-pt shot from 25 ft
6:10.0,,,72-73,,Offensive rebound by K. Towns
6:09.0,,,72-73,,Shooting foul by D. Green (drawn by K. Towns)
6:09.0,,,72-74,1,K. Towns makes free throw 1 of 2
6:09.0,,,72-74,,K. Towns misses free throw 2 of 2
6:09.0,Defensive rebound by D. Green,,72-74,,
6:09.0,A. Iguodala enters the game for K. Durant,,72-74,,
6:09.0,J. McGee enters the game for K. Looney,,72-74,,
5:58.0,S. Curry makes 3-pt shot from 25 ft,3,75-74,,
5:29.0,,,75-74,,Z. LaVine misses 2-pt shot from 13 ft
5:28.0,Defensive rebound by S. Curry,,75-74,,
5:23.0,Shooting foul by R. Rubio (drawn by S. Curry),,75-74,,
5:23.0,S. Curry makes free throw 1 of 2,1,76-74,,
5:23.0,S. Curry makes free throw 2 of 2,1,77-74,,
5:07.0,Personal foul by S. Curry (drawn by Z. LaVine),,77-74,,
5:02.0,,,77-76,2,G. Dieng makes 2-pt shot from 19 ft (assist by K. Towns)
4:51.0,S. Curry misses 3-pt shot from 25 ft,,77-76,,
4:50.0,,,77-76,,Defensive rebound by Team
4:33.0,,,77-76,,A. Wiggins misses 2-pt shot from 16 ft
4:32.0,,,77-76,,Offensive rebound by R. Rubio
4:20.0,,,77-79,3,A. Wiggins makes 3-pt shot from 25 ft (assist by Z. LaVine)
4:06.0,J. McGee misses 2-pt shot from 1 ft (block by G. Dieng),,77-79,,
4:05.0,Offensive rebound by Team,,77-79,,
3:58.0,Turnover by K. Thompson (bad pass; steal by R. Rubio),,77-79,,
3:37.0,,,77-79,,K. Towns misses 3-pt shot from 24 ft
3:36.0,Defensive rebound by A. Iguodala,,77-79,,
3:33.0,K. Durant enters the game for J. McGee,,77-79,,
3:33.0,P. McCaw enters the game for K. Thompson,,77-79,,
3:14.0,D. Green misses 3-pt shot from 26 ft,,77-79,,
3:13.0,,,77-79,,Defensive rebound by A. Wiggins
2:49.0,,,77-81,2,R. Rubio makes 2-pt shot from 1 ft
2:29.0,Turnover by A. Iguodala (bad pass; steal by G. Dieng),,77-81,,
2:17.0,,,77-81,,R. Rubio misses 3-pt shot from 23 ft
2:16.0,,,77-81,,Offensive rebound by K. Towns
2:15.0,,,77-81,,K. Towns misses 2-pt shot from 2 ft
2:14.0,Defensive rebound by K. Durant,,77-81,,
2:11.0,Shooting foul by Z. LaVine (drawn by A. Iguodala),,77-81,,
2:11.0,,,77-81,,Minnesota full timeout
2:11.0,A. Iguodala makes free throw 1 of 2,1,78-81,,
2:11.0,A. Iguodala misses free throw 2 of 2,,78-81,,
2:11.0,S. Livingston enters the game for S. Curry,,77-81,,
2:11.0,,,77-81,,K. Dunn enters the game for R. Rubio
2:11.0,,,77-81,,S. Muhammad enters the game for Z. LaVine
2:11.0,K. Thompson enters the game for P. McCaw,,77-81,,
2:11.0,P. McCaw enters the game for K. Thompson,,78-81,,
2:09.0,,,78-81,,Defensive rebound by K. Towns
1:50.0,,,78-81,,Shooting foul by P. McCaw (drawn by A. Wiggins)
1:50.0,,,78-82,1,A. Wiggins makes free throw 1 of 2
1:50.0,,,78-83,1,A. Wiggins makes free throw 2 of 2
1:34.0,K. Durant misses 2-pt shot from 20 ft,,78-83,,
1:33.0,,,78-83,,Defensive rebound by S. Muhammad
1:18.0,,,78-83,,Turnover by G. Dieng (3 sec)
1:18.0,,,78-83,,B. Rush enters the game for K. Towns
1:01.0,S. Livingston misses 2-pt shot from 12 ft,,78-83,,
1:00.0,,,78-83,,Defensive rebound by B. Rush
0:44.0,,,78-85,2,K. Dunn makes 2-pt shot from 8 ft
0:35.0,K. Durant misses 3-pt shot from 25 ft,,78-85,,
0:33.0,,,78-85,,Defensive rebound by G. Dieng
0:25.0,Personal foul by S. Livingston (drawn by K. Dunn),,78-85,,
0:25.0,,,78-85,,K. Dunn misses free throw 1 of 2
0:25.0,,,78-85,,Offensive rebound by Team
0:25.0,,,78-86,1,K. Dunn makes free throw 2 of 2
0:25.0,S. Curry enters the game for P. McCaw,,78-85,,
0:25.0,,,78-85,,T. Jones enters the game for S. Muhammad
0:11.0,,,78-86,,Personal take foul by B. Rush (drawn by A. Iguodala)
0:03.0,S. Curry misses 3-pt shot from 25 ft,,78-86,,
0:02.0,,,78-86,,Defensive rebound by A. Wiggins
0:02.0,Personal foul by A. Iguodala (drawn by A. Wiggins),,78-86,,
0:02.0,,,78-87,1,A. Wiggins makes free throw 1 of 2
0:02.0,,,78-88,1,A. Wiggins makes free throw 2 of 2
0:00.0,A. Iguodala misses 3-pt shot from 47 ft,,78-88,,
0:00.0,Offensive rebound by Team,,78-88,,
0:00.0,End of 3rd quarter,,,,End of 3rd quarter
12:00.0,Start of 4th quarter,,,,Start of 4th quarter
11:45.0,K. Thompson makes 2-pt shot from 2 ft (assist by K. Durant),2,80-88,,
11:29.0,,,80-88,,S. Muhammad misses 3-pt shot from 24 ft
11:28.0,Defensive rebound by S. Livingston,,80-88,,
11:14.0,K. Durant misses 2-pt shot from 17 ft,,80-88,,
11:13.0,,,80-88,,Defensive rebound by B. Rush
10:54.0,,,80-88,,G. Dieng misses 2-pt shot from 2 ft
10:53.0,Defensive rebound by D. West,,80-88,,
10:46.0,K. Thompson makes 3-pt shot from 24 ft (assist by K. Durant),3,83-88,,
10:45.0,,,83-88,,Minnesota full timeout
10:45.0,,,83-88,,K. Towns enters the game for G. Dieng
10:35.0,,,83-88,,Offensive foul by Z. LaVine
10:35.0,,,83-88,,Turnover by Z. LaVine (offensive foul)
10:21.0,D. West misses 2-pt shot from 11 ft,,83-88,,
10:20.0,,,83-88,,Defensive rebound by K. Dunn
10:04.0,,,83-90,2,K. Towns makes 2-pt shot from 8 ft (assist by Z. LaVine)
9:53.0,Shooting foul by K. Dunn (drawn by S. Livingston),,83-90,,
9:53.0,S. Livingston makes 2-pt shot from 11 ft (assist by D. West),2,85-90,,
9:53.0,S. Livingston makes free throw 1 of 1,1,86-90,,
9:39.0,,,86-90,,S. Muhammad misses 3-pt shot from 25 ft
9:38.0,Defensive rebound by K. Thompson,,86-90,,
9:29.0,A. Iguodala misses 3-pt shot from 23 ft,,86-90,,
9:28.0,,,86-90,,Defensive rebound by S. Muhammad
9:06.0,,,86-90,,Z. LaVine misses 2-pt shot from 12 ft (block by A. Iguodala)
9:06.0,Jump ball: A. Iguodala vs. Z. LaVine (S. Livingston gains possession),,,,Jump ball: A. Iguodala vs. Z. LaVine (S. Livingston gains possession)
9:05.0,Offensive rebound by A. Iguodala,,86-90,,
8:53.0,Shooting foul by Z. LaVine (drawn by K. Thompson),,86-90,,
8:53.0,Golden State full timeout,,86-90,,
8:53.0,K. Thompson makes free throw 1 of 2,1,87-90,,
8:53.0,K. Thompson makes free throw 2 of 2,1,88-90,,
8:53.0,,,86-90,,A. Wiggins enters the game for S. Muhammad
8:40.0,,,88-92,2,Z. LaVine makes 2-pt shot from 2 ft
8:25.0,K. Durant makes 2-pt shot from 20 ft (assist by A. Iguodala),2,90-92,,
7:59.0,,,90-92,,Z. LaVine misses 3-pt shot from 25 ft
7:58.0,Defensive rebound by S. Livingston,,90-92,,
7:45.0,K. Thompson misses 2-pt shot from 16 ft,,90-92,,
7:44.0,Offensive rebound by K. Thompson,,90-92,,
7:42.0,K. Thompson makes 2-pt shot from 14 ft,2,92-92,,
7:23.0,,,92-92,,A. Wiggins misses 2-pt shot from 19 ft (block by D. West)
7:22.0,Defensive rebound by A. Iguodala,,92-92,,
7:18.0,K. Durant makes 2-pt shot from 1 ft (assist by A. Iguodala),2,94-92,,
7:18.0,,,94-92,,Minnesota full timeout
7:18.0,,,94-92,,R. Rubio enters the game for K. Dunn
7:04.0,,,94-92,,Turnover by A. Wiggins (lost ball; steal by S. Livingston)
6:58.0,K. Thompson makes 3-pt shot from 23 ft (assist by S. Livingston),3,97-92,,
6:29.0,,,97-92,,Turnover by Team (shot clock)
6:15.0,K. Thompson misses 3-pt shot from 26 ft,,97-92,,
6:14.0,,,97-92,,Defensive rebound by Team
6:14.0,,,97-92,,G. Dieng enters the game for B. Rush
6:03.0,,,97-92,,Z. LaVine misses 2-pt shot from 2 ft
6:02.0,Defensive rebound by K. Durant,,97-92,,
5:52.0,K. Durant makes 3-pt shot from 25 ft (assist by D. West),3,100-92,,
5:29.0,,,100-92,,Z. LaVine misses 2-pt shot from 18 ft
5:28.0,Defensive rebound by K. Durant,,100-92,,
5:23.0,Shooting foul by G. Dieng (drawn by D. West),,100-92,,
5:23.0,D. West misses free throw 1 of 2,,100-92,,
5:23.0,Offensive rebound by Team,,100-92,,
5:23.0,D. West makes free throw 2 of 2,1,101-92,,
5:13.0,,,101-92,,Turnover by R. Rubio (lost ball; steal by D. West)
5:08.0,D. West makes 2-pt shot at rim (assist by K. Thompson),2,103-92,,
