time,Indiana,pts.away,score,pts.home,San Antonio
10:26.0,,,30-31,,D. Green enters the game for M. Ginobili
10:15.0,R. Stuckey misses 2-pt shot from 10 ft,,30-31,,
10:14.0,Offensive rebound by M. Ellis,,30-31,,
10:05.0,M. Ellis makes 2-pt shot from 18 ft,2,32-31,,
9:51.0,,,32-31,,Shooting foul by K. Seraphin (drawn by P. Gasol)
9:51.0,,,32-32,1,P. Gasol makes free throw 1 of 2
9:51.0,,,32-33,1,P. Gasol makes free throw 2 of 2
9:38.0,Turnover by M. Ellis (bad pass; steal by D. Green),,32-33,,
9:33.0,,,32-35,2,D. Murray makes 2-pt shot at rim
9:12.0,G. Robinson makes 2-pt shot from 11 ft (assist by R. Christmas),2,34-35,,
9:12.0,Shooting foul by D. Lee (drawn by G. Robinson),,34-35,,
9:12.0,G. Robinson misses free throw 1 of 1,,34-35,,
9:11.0,,,34-35,,Defensive rebound by P. Gasol
8:49.0,,,34-35,,D. Green misses 3-pt shot from 31 ft
8:48.0,Defensive rebound by G. Robinson,,34-35,,
8:41.0,M. Ellis misses 2-pt shot from 1 ft (block by J. Simmons),,34-35,,
8:40.0,,,34-35,,Defensive rebound by D. Lee
8:32.0,,,34-35,,Turnover by P. Gasol (bad pass; steal by K. Seraphin)
8:16.0,K. Seraphin makes 2-pt shot from 7 ft,2,36-35,,
8:16.0,,,36-35,,San Antonio full timeout
8:16.0,,,36-35,,K. Leonard enters the game for J. Simmons
8:16.0,,,36-35,,L. Aldridge enters the game for D. Lee
8:16.0,,,36-35,,D. Dedmon enters the game for P. Gasol
7:53.0,,,36-35,,K. Leonard misses 3-pt shot from 27 ft
7:52.0,Defensive rebound by R. Stuckey,,36-35,,
7:28.0,K. Seraphin makes 2-pt shot from 9 ft,2,38-35,,
7:11.0,,,38-37,2,D. Dedmon makes 2-pt shot from 5 ft
6:59.0,M. Ellis makes 2-pt shot from 6 ft (assist by K. Seraphin),2,40-37,,
6:40.0,,,40-37,,L. Aldridge misses 2-pt shot from 14 ft
6:39.0,Defensive rebound by M. Ellis,,40-37,,
6:22.0,Turnover by M. Ellis (lost ball; steal by D. Green),,40-37,,
6:13.0,,,40-37,,D. Green misses 3-pt shot from 24 ft
6:11.0,Defensive rebound by K. Seraphin,,40-37,,
6:06.0,R. Stuckey misses 2-pt shot from 7 ft,,40-37,,
6:06.0,,,40-37,,Defensive rebound by L. Aldridge
5:55.0,,,40-37,,D. Murray misses 3-pt shot from 25 ft
5:54.0,Defensive rebound by G. Robinson,,40-37,,
5:48.0,,,40-37,,Personal foul by D. Murray (drawn by R. Christmas)
5:48.0,Official timeout,,40-37,,
5:48.0,P. George enters the game for G. Robinson,,40-37,,
5:48.0,M. Turner enters the game for M. Ellis,,40-37,,
5:48.0,C. Miles enters the game for R. Christmas,,40-37,,
5:48.0,,,40-37,,P. Mills enters the game for D. Murray
5:32.0,M. Turner makes 2-pt shot from 18 ft,2,42-37,,
5:11.0,,,42-40,3,K. Leonard makes 3-pt shot from 24 ft (assist by L. Aldridge)
4:55.0,Turnover by P. George (bad pass; steal by K. Leonard),,42-40,,
4:54.0,Personal foul by C. Miles (drawn by K. Leonard),,42-40,,
4:54.0,,,42-40,,M. Ginobili enters the game for D. Green
4:54.0,J. Teague enters the game for R. Stuckey,,42-40,,
4:42.0,,,42-40,,K. Leonard misses 2-pt shot from 6 ft
4:42.0,,,42-40,,Offensive rebound by Team
4:33.0,,,42-40,,P. Mills misses 3-pt shot from 25 ft
4:33.0,Defensive rebound by Team,,42-40,,
4:32.0,,,42-40,,Loose ball foul by D. Dedmon (drawn by M. Turner)
4:11.0,J. Teague misses 2-pt shot from 18 ft,,42-40,,
4:11.0,,,42-40,,Defensive rebound by K. Leonard
4:05.0,,,42-42,2,M. Ginobili makes 2-pt shot from 1 ft (assist by P. Mills)
4:05.0,,,42-42,,Shooting foul by C. Miles (drawn by M. Ginobili)
4:05.0,,,42-43,1,M. Ginobili makes free throw 1 of 1
3:50.0,Turnover by K. Seraphin (bad pass),,42-43,,
3:30.0,,,42-43,,Turnover by L. Aldridge (bad pass; steal by J. Teague)
3:25.0,P. George makes 3-pt shot from 25 ft (assist by J. Teague),3,45-43,,
3:17.0,,,45-43,,P. Mills misses 2-pt shot from 18 ft
3:15.0,,,45-43,,Offensive rebound by K. Leonard
2:58.0,,,45-43,,Turnover by M. Ginobili (bad pass; steal by K. Seraphin)
2:51.0,C. Miles misses 3-pt shot from 25 ft,,45-43,,
2:50.0,Offensive rebound by K. Seraphin,,45-43,,
2:37.0,P. George makes 2-pt shot from 21 ft,2,47-43,,
2:21.0,,,47-43,,K. Leonard misses 3-pt shot from 25 ft
2:20.0,Defensive rebound by M. Turner,,47-43,,
2:08.0,P. George misses 2-pt shot from 18 ft,,47-43,,
2:07.0,Offensive rebound by M. Turner,,47-43,,
2:03.0,Indiana full timeout,,47-43,,
2:03.0,,,47-43,,P. Gasol enters the game for D. Dedmon
1:54.0,M. Turner misses 3-pt shot from 25 ft,,47-43,,
1:53.0,,,47-43,,Defensive rebound by K. Leonard
1:37.0,,,47-43,,P. Mills misses 3-pt shot from 24 ft
1:36.0,Defensive rebound by C. Miles,,47-43,,
1:30.0,K. Seraphin makes 2-pt shot from 1 ft (assist by J. Teague),2,49-43,,
1:07.0,,,49-43,,Shooting foul by M. Turner (drawn by M. Ginobili)
1:07.0,,,49-43,,M. Ginobili misses free throw 1 of 2
1:07.0,,,49-43,,Offensive rebound by Team
1:07.0,,,49-43,,M. Ginobili misses free throw 2 of 2
1:07.0,,,49-43,,Offensive rebound by Team
1:01.0,,,49-43,,Turnover by P. Gasol (lost ball; steal by M. Turner)
0:55.0,M. Turner misses 2-pt shot from 5 ft,,49-43,,
0:54.0,Offensive rebound by K. Seraphin,,49-43,,
0:54.0,Turnover by K. Seraphin (lost ball; steal by K. Leonard),,49-43,,
0:53.0,Personal foul by K. Seraphin (drawn by K. Leonard),,49-43,,
0:53.0,,,49-44,1,K. Leonard makes free throw 1 of 2
0:53.0,,,49-45,1,K. Leonard makes free throw 2 of 2
0:53.0,G. Robinson enters the game for C. Miles,,49-44,,
0:31.0,Offensive foul by P. George,,49-45,,
0:31.0,Turnover by P. George (offensive foul),,49-45,,
0:15.0,Personal foul by K. Seraphin (drawn by P. Gasol),,49-45,,
0:15.0,,,49-46,1,P. Gasol makes free throw 1 of 2
0:15.0,Indiana full timeout,,49-46,,
0:15.0,,,49-47,1,P. Gasol makes free throw 2 of 2
0:15.0,C. Miles enters the game for K. Seraphin,,49-46,,
0:15.0,,,49-46,,J. Simmons enters the game for P. Mills
0:15.0,,,49-46,,D. Murray enters the game for M. Ginobili
0:15.0,,,49-46,,D. Green enters the game for L. Aldridge
0:00.0,P. George misses 2-pt shot from 16 ft,,49-47,,
0:00.0,Offensive rebound by Team,,49-47,,
0:00.0,End of 2nd quarter,,,,End of 2nd quarter
12:00.0,Start of 3rd quarter,,,,Start of 3rd quarter
11:43.0,Offensive foul by P. George,,49-47,,
11:43.0,Turnover by P. George (offensive foul),,49-47,,
11:26.0,,,49-47,,Turnover by K. Leonard (lost ball)
11:26.0,,,49-47,,Inbound foul by D. Green
11:26.0,P. George makes free throw 1 of 1,1,50-47,,
11:10.0,C. Miles makes 3-pt shot from 22 ft (assist by T. Young),3,53-47,,
11:08.0,,,53-47,,San Antonio full timeout
10:53.0,,,53-47,,L. Aldridge misses 2-pt shot from 13 ft
10:52.0,Defensive rebound by J. Teague,,53-47,,
10:36.0,C. Miles makes 3-pt shot from 23 ft (assist by J. Teague),3,56-47,,
10:16.0,,,56-47,,K. Leonard misses 2-pt shot from 15 ft
10:15.0,Defensive rebound by C. Miles,,56-47,,
9:58.0,T. Young misses 2-pt shot from 1 ft,,56-47,,
9:57.0,,,56-47,,Defensive rebound by K. Leonard
9:53.0,,,56-49,2,K. Leonard makes 2-pt shot from 2 ft
9:53.0,,,56-49,,Shooting foul by M. Turner (drawn by K. Leonard)
9:53.0,,,56-50,1,K. Leonard makes free throw 1 of 1
9:53.0,,,56-49,,P. Gasol enters the game for D. Dedmon
9:40.0,C. Miles misses 3-pt shot from 26 ft,,56-50,,
9:39.0,,,56-50,,Defensive rebound by P. Mills
9:36.0,,,56-50,,Turnover by D. Green (step out of bounds)
9:16.0,C. Miles misses 2-pt shot from 4 ft,,56-50,,
9:15.0,Offensive rebound by T. Young,,56-50,,
9:15.0,T. Young makes 2-pt shot from 1 ft,2,58-50,,
8:58.0,,,58-52,2,P. Gasol makes 2-pt shot from 5 ft (assist by P. Mills)
8:36.0,Turnover by M. Turner (lost ball; steal by L. Aldridge),,58-52,,
8:20.0,,,58-55,3,K. Leonard makes 3-pt shot from 25 ft (assist by D. Green)
8:10.0,P. George misses 2-pt shot from 2 ft (block by P. Gasol),,58-55,,
8:08.0,,,58-55,,Defensive rebound by P. Gasol
8:02.0,,,58-55,,D. Green misses 3-pt shot from 25 ft
8:00.0,Defensive rebound by C. Miles,,58-55,,
7:49.0,T. Young misses 2-pt shot from 5 ft (block by P. Gasol),,58-55,,
7:47.0,,,58-55,,Defensive rebound by P. Gasol
7:38.0,,,58-55,,K. Leonard misses 3-pt shot from 26 ft
7:37.0,Defensive rebound by J. Teague,,58-55,,
7:14.0,Turnover by Team (shot clock),,58-55,,
6:55.0,,,58-58,3,K. Leonard makes 3-pt shot from 25 ft (assist by P. Mills)
6:55.0,Indiana full timeout,,58-58,,
6:37.0,T. Young misses 2-pt shot from 2 ft (block by D. Green),,58-58,,
6:36.0,,,58-58,,Defensive rebound by P. Gasol
6:29.0,,,58-58,,D. Green misses 3-pt shot from 24 ft
6:28.0,Defensive rebound by P. George,,58-58,,
6:11.0,Shooting foul by D. Green (drawn by M. Turner),,58-58,,
6:11.0,M. Turner makes free throw 1 of 2,1,59-58,,
6:11.0,M. Turner makes free throw 2 of 2,1,60-58,,
6:11.0,L. Allen enters the game for T. Young,,59-58,,
5:56.0,,,60-60,2,P. Mills makes 2-pt shot from 21 ft (assist by L. Aldridge)
5:33.0,J. Teague misses 2-pt shot from 1 ft,,60-60,,
5:32.0,Offensive rebound by M. Turner,,60-60,,
5:32.0,M. Turner makes 2-pt shot from 1 ft,2,62-60,,
5:22.0,,,62-63,3,P. Gasol makes 3-pt shot from 25 ft (assist by K. Leonard)
4:55.0,M. Turner makes 2-pt shot from 16 ft (assist by J. Teague),2,64-63,,
4:41.0,,,64-63,,K. Leonard misses 2-pt shot from 20 ft
4:39.0,Defensive rebound by M. Turner,,64-63,,
4:29.0,,,64-63,,Personal block foul by D. Green (drawn by P. George)
4:29.0,,,64-63,,M. Ginobili enters the game for D. Green
4:29.0,M. Ellis enters the game for C. Miles,,64-63,,
4:17.0,P. George misses 2-pt shot from 20 ft,,64-63,,
4:16.0,,,64-63,,Defensive rebound by L. Aldridge
4:03.0,,,64-63,,P. Gasol misses 3-pt shot from 25 ft
4:02.0,Defensive rebound by L. Allen,,64-63,,
3:49.0,J. Teague makes 3-pt shot from 26 ft,3,67-63,,
3:19.0,,,67-63,,P. Gasol misses 2-pt shot from 4 ft
3:18.0,Defensive rebound by L. Allen,,67-63,,
3:10.0,Shooting foul by P. Gasol (drawn by L. Allen),,67-63,,
3:10.0,L. Allen misses free throw 1 of 2,,67-63,,
3:10.0,Offensive rebound by Team,,67-63,,
3:10.0,L. Allen makes free throw 2 of 2,1,68-63,,
3:10.0,,,67-63,,D. Murray enters the game for P. Mills
2:54.0,,,68-65,2,K. Leonard makes 2-pt shot from 1 ft (assist by P. Gasol)
2:45.0,Turnover by J. Teague (lost ball; steal by D. Murray),,68-65,,
2:41.0,Personal foul by M. Turner (drawn by D. Murray),,68-65,,
2:41.0,,,68-65,,D. Dedmon enters the game for L. Aldridge
2:41.0,R. Christmas enters the game for M. Turner,,68-65,,
2:41.0,R. Stuckey enters the game for J. Teague,,68-65,,
2:33.0,,,68-65,,Shooting foul by L. Allen (drawn by P. Gasol)
2:33.0,,,68-66,1,P. Gasol makes free throw 1 of 2
2:33.0,,,68-67,1,P. Gasol makes free throw 2 of 2
2:22.0,P. George makes 3-pt shot from 28 ft,3,71-67,,
2:22.0,Shooting foul by K. Leonard (drawn by P. George),,71-67,,
2:22.0,P. George makes free throw 1 of 1,1,72-67,,
2:13.0,Personal foul by P. George (drawn by M. Ginobili),,72-67,,
2:13.0,G. Robinson enters the game for P. George,,72-67,,
2:06.0,,,72-67,,K. Leonard misses 3-pt shot from 25 ft
2:06.0,Defensive rebound by Team,,72-67,,
2:06.0,,,72-67,,Loose ball foul by K. Leonard (drawn by M. Ellis)
2:06.0,M. Ellis makes free throw 1 of 2,1,73-67,,
2:06.0,M. Ellis misses free throw 2 of 2,,73-67,,
2:06.0,,,73-67,,D. Lee enters the game for P. Gasol
2:06.0,,,73-67,,J. Simmons enters the game for K. Leonard
2:05.0,,,73-67,,Defensive rebound by D. Murray
1:48.0,,,73-67,,Shooting foul by M. Ellis (drawn by D. Murray)
1:48.0,,,73-67,,D. Murray misses free throw 1 of 2
1:48.0,,,73-67,,Offensive rebound by Team
1:48.0,,,73-68,1,D. Murray makes free throw 2 of 2
1:48.0,,,73-67,,D. Bertans enters the game for D. Dedmon
1:32.0,Turnover by M. Ellis (bad pass),,73-68,,
1:21.0,,,73-68,,Turnover by D. Bertans (bad pass; steal by G. Robinson)
1:14.0,G. Robinson misses 3-pt shot from 25 ft,,73-68,,
1:13.0,Offensive rebound by R. Christmas,,73-68,,
1:12.0,,,73-68,,Shooting block foul by D. Bertans (drawn by R. Christmas)
1:12.0,R. Christmas makes free throw 1 of 2,1,74-68,,
1:12.0,R. Christmas misses free throw 2 of 2,,74-68,,
1:11.0,,,74-68,,Defensive rebound by J. Simmons
1:04.0,,,74-70,2,D. Lee makes 2-pt shot from 2 ft (assist by D. Murray)
1:04.0,,,74-70,,Shooting foul by R. Christmas (drawn by D. Lee)
1:04.0,,,74-71,1,D. Lee makes free throw 1 of 1
0:45.0,M. Ellis misses 3-pt shot from 25 ft,,74-71,,
0:44.0,,,74-71,,Defensive rebound by D. Bertans
0:37.0,,,74-71,,Turnover by D. Murray (lost ball; steal by G. Robinson)
0:32.0,M. Ellis makes 2-pt shot from 1 ft (assist by R. Stuckey),2,76-71,,
0:05.0,,,76-71,,D. Murray misses 2-pt shot from 8 ft (block by L. Allen)
0:05.0,,,76-71,,Offensive rebound by D. Lee
0:05.0,,,76-73,2,D. Lee makes 2-pt shot from 2 ft
0:00.0,End of 3rd quarter,,,,End of 3rd quarter
12:00.0,Start of 4th quarter,,,,Start of 4th quarter
11:47.0,,,76-76,3,D. Bertans makes 3-pt shot from 25 ft (assist by J. Simmons)
11:26.0,M. Ellis makes 2-pt shot from 5 ft,2,78-76,,
11:15.0,,,78-76,,Turnover by J. Simmons (traveling)
10:59.0,Offensive foul by R. Christmas,,78-76,,
10:59.0,Turnover by R. Christmas (offensive foul),,78-76,,
10:46.0,,,78-76,,Turnover by D. Bertans (lost ball)
10:29.0,Offensive foul by R. Christmas,,78-76,,
10:29.0,Turnover by R. Christmas (offensive foul),,78-76,,
10:09.0,,,78-76,,M. Ginobili misses 3-pt shot from 26 ft
10:08.0,Defensive rebound by C. Miles,,78-76,,
10:00.0,C. Miles makes 2-pt shot from 2 ft (assist by R. Stuckey),2,80-76,,
10:00.0,,,80-76,,San Antonio full timeout
10:00.0,,,80-76,,D. Green enters the game for J. Simmons
10:00.0,K. Seraphin enters the game for R. Christmas,,80-76,,
9:49.0,,,80-78,2,D. Lee makes 2-pt shot from 1 ft (assist by D. Murray)
9:49.0,,,80-78,,Shooting foul by K. Seraphin (drawn by D. Lee)
9:49.0,,,80-79,1,D. Lee makes free throw 1 of 1
9:33.0,C. Miles misses 3-pt shot from 25 ft,,80-79,,
9:32.0,,,80-79,,Defensive rebound by D. Green
9:21.0,,,80-79,,Turnover by M. Ginobili (lost ball; steal by M. Ellis)
9:13.0,G. Robinson makes 2-pt shot at rim,2,82-79,,
9:02.0,Personal foul by M. Ellis (drawn by M. Ginobili),,82-79,,
8:55.0,,,82-81,2,D. Lee makes 2-pt shot from 19 ft (assist by D. Murray)
8:41.0,K. Seraphin makes 2-pt shot from 19 ft (assist by M. Ellis),2,84-81,,
8:19.0,,,84-84,3,D. Murray makes 3-pt shot from 25 ft (assist by D. Green)
8:05.0,C. Miles makes 3-pt shot from 26 ft (assist by M. Ellis),3,87-84,,
7:50.0,,,87-86,2,D. Lee makes 2-pt shot from 3 ft (assist by D. Murray)
7:25.0,G. Robinson makes 2-pt shot at rim (assist by R. Stuckey),2,89-86,,
7:11.0,,,89-86,,Turnover by D. Murray (bad pass; steal by M. Ellis)
7:05.0,Turnover by C. Miles (bad pass; steal by D. Bertans),,89-86,,
6:57.0,,,89-89,3,M. Ginobili makes 3-pt shot from 23 ft (assist by D. Murray)
6:56.0,Indiana full timeout,,89-89,,
6:56.0,,,89-89,,K. Leonard enters the game for D. Bertans
6:56.0,,,89-89,,L. Aldridge enters the game for M. Ginobili
6:56.0,T. Young enters the game for C. Miles,,89-89,,
6:56.0,J. Teague enters the game for R. Stuckey,,89-89,,
6:56.0,P. George enters the game for G. Robinson,,89-89,,
6:56.0,M. Turner enters the game for K. Seraphin,,89-89,,
6:42.0,J. Teague misses 2-pt shot from 20 ft,,89-89,,
6:41.0,,,89-89,,Defensive rebound by D. Green
6:29.0,,,89-91,2,D. Lee makes 2-pt shot from 8 ft (assist by D. Green)
6:16.0,P. George misses 3-pt shot from 24 ft,,89-91,,
6:15.0,Offensive rebound by T. Young,,89-91,,
6:13.0,Turnover by T. Young (lost ball; steal by K. Leonard),,89-91,,
5:57.0,Personal foul by J. Teague (drawn by K. Leonard),,89-91,,
5:57.0,L. Allen enters the game for T. Young,,89-91,,
5:43.0,,,89-91,,L. Aldridge misses 2-pt shot from 17 ft
5:42.0,Defensive rebound by P. George,,89-91,,
5:30.0,M. Turner makes 2-pt shot from 19 ft (assist by P. George),2,91-91,,
5:04.0,,,91-91,,D. Murray misses 3-pt shot from 27 ft
5:03.0,Defensive rebound by P. George,,91-91,,
4:53.0,P. George misses 2-pt shot from 5 ft,,91-91,,
4:52.0,Offensive rebound by J. Teague,,91-91,,
4:49.0,J. Teague misses 3-pt shot from 25 ft,,91-91,,
4:48.0,,,91-91,,Defensive rebound by L. Aldridge
4:38.0,,,91-93,2,K. Leonard makes 2-pt shot from 14 ft
4:19.0,M. Ellis misses 2-pt shot from 18 ft,,91-93,,
4:18.0,,,91-93,,Defensive rebound by K. Leonard
4:07.0,,,91-95,2,K. Leonard makes 2-pt shot from 18 ft
4:07.0,,,91-95,,Shooting foul by P. George (drawn by K. Leonard)
4:07.0,,,91-96,1,K. Leonard makes free throw 1 of 1
4:07.0,C. Miles enters the game for M. Ellis,,91-95,,
4:07.0,,,91-95,,P. Mills enters the game for D. Murray
3:56.0,Shooting foul by D. Green (drawn by P. George),,91-96,,
3:56.0,P. George makes free throw 1 of 3,1,92-96,,
