time,Atlanta,pts.away,score,pts.home,LA Lakers
7:08.0,K. Bazemore enters the game for T. Waller-Prince,,38-35,,
6:57.0,Turnover by D. Schroder (bad pass; steal by T. Black),,38-36,,
6:46.0,,,38-39,3,B. Ingram makes 3-pt shot from 27 ft (assist by L. Williams)
6:35.0,D. Schroder misses 2-pt shot from 3 ft,,38-39,,
6:35.0,Offensive rebound by D. Howard,,38-39,,
6:35.0,Shooting foul by B. Ingram (drawn by D. Howard),,38-39,,
6:35.0,D. Howard misses free throw 1 of 2,,38-39,,
6:35.0,Offensive rebound by Team,,38-39,,
6:35.0,D. Howard misses free throw 2 of 2,,38-39,,
6:35.0,,,38-39,,N. Young enters the game for B. Ingram
6:31.0,,,38-39,,Defensive rebound by J. Clarkson
6:20.0,,,38-39,,L. Nance misses 2-pt shot from 17 ft
6:19.0,,,38-39,,Offensive rebound by Team
6:06.0,,,38-39,,T. Black misses 2-pt shot from 9 ft
6:03.0,Defensive rebound by D. Schroder,,38-39,,
5:55.0,D. Schroder misses 2-pt shot from 2 ft,,38-39,,
5:53.0,Offensive rebound by D. Howard,,38-39,,
5:51.0,M. Muscala misses 2-pt shot from 18 ft,,38-39,,
5:48.0,,,38-39,,Defensive rebound by L. Nance
5:43.0,,,38-41,2,N. Young makes 2-pt shot from 17 ft
5:27.0,Turnover by D. Schroder (bad pass; steal by T. Black),,38-41,,
5:23.0,,,38-43,2,J. Clarkson makes 2-pt shot from 3 ft (assist by L. Nance)
5:23.0,Atlanta full timeout,,38-43,,
5:23.0,Official timeout,,38-43,,
5:12.0,K. Bazemore makes 2-pt shot from 16 ft,2,40-43,,
4:55.0,,,40-46,3,N. Young makes 3-pt shot from 26 ft (assist by T. Black)
4:55.0,,,40-46,,Shooting foul by K. Bazemore (drawn by N. Young)
4:55.0,,,40-47,1,N. Young makes free throw 1 of 1
4:45.0,K. Korver misses 3-pt shot from 25 ft,,40-47,,
4:44.0,,,40-47,,Defensive rebound by L. Nance
4:35.0,,,40-47,,J. Clarkson misses 3-pt shot from 24 ft
4:33.0,,,40-47,,Offensive rebound by L. Nance
4:33.0,,,40-47,,L. Nance misses 2-pt shot from 1 ft
4:33.0,Defensive rebound by Team,,40-47,,
4:22.0,D. Schroder makes 2-pt shot from 14 ft,2,42-47,,
3:56.0,,,42-47,,T. Black misses 2-pt shot from 6 ft
3:52.0,Defensive rebound by K. Korver,,42-47,,
3:44.0,D. Schroder misses 3-pt shot from 25 ft,,42-47,,
3:43.0,,,42-47,,Defensive rebound by J. Clarkson
3:42.0,Personal take foul by D. Schroder (drawn by J. Clarkson),,42-47,,
3:42.0,P. Millsap enters the game for M. Muscala,,42-47,,
3:42.0,T. Hardaway enters the game for K. Korver,,42-47,,
3:29.0,,,42-47,,L. Williams misses 2-pt shot from 14 ft
3:28.0,Defensive rebound by D. Howard,,42-47,,
3:12.0,D. Schroder misses 2-pt shot from 7 ft (block by T. Black),,42-47,,
3:10.0,Offensive rebound by T. Hardaway,,42-47,,
3:07.0,Turnover by T. Hardaway (bad pass; steal by N. Young),,42-47,,
3:03.0,,,42-47,,J. Clarkson misses 2-pt shot from 2 ft (block by T. Hardaway)
2:58.0,,,42-47,,Offensive rebound by N. Young
2:56.0,,,42-50,3,N. Young makes 3-pt shot from 27 ft
2:38.0,P. Millsap makes 3-pt shot from 23 ft (assist by K. Bazemore),3,45-50,,
2:38.0,,,45-50,,LA Lakers full timeout
2:38.0,,,45-50,,T. Mozgov enters the game for L. Williams
2:38.0,,,45-50,,L. Deng enters the game for T. Black
2:26.0,,,45-50,,J. Clarkson misses 2-pt shot from 11 ft (block by D. Schroder)
2:24.0,Defensive rebound by D. Howard,,45-50,,
2:00.0,D. Schroder misses 2-pt shot from 7 ft,,45-50,,
1:58.0,,,45-50,,Defensive rebound by L. Deng
1:48.0,,,45-53,3,N. Young makes 3-pt shot from 27 ft (assist by J. Clarkson)
1:26.0,Turnover by P. Millsap (bad pass),,45-53,,
1:01.0,,,45-56,3,J. Clarkson makes 3-pt shot from 24 ft
0:39.0,K. Bazemore misses 3-pt shot from 26 ft,,45-56,,
0:37.0,,,45-56,,Defensive rebound by T. Mozgov
0:32.0,,,45-56,,J. Clarkson misses 3-pt shot from 26 ft
0:26.0,,,45-56,,Offensive rebound by T. Mozgov
0:07.0,,,45-56,,Turnover by L. Nance (bad pass; steal by D. Howard)
0:01.0,K. Bazemore makes 3-pt shot from 28 ft,3,48-56,,
0:00.0,M. Muscala enters the game for D. Howard,,48-56,,
0:00.0,End of 2nd quarter,,,,End of 2nd quarter
12:00.0,Start of 3rd quarter,,,,Start of 3rd quarter
11:47.0,K. Korver makes 2-pt shot from 16 ft (assist by D. Howard),2,50-56,,
11:20.0,,,50-58,2,L. Deng makes 2-pt shot at rim (assist by J. Calderon)
11:06.0,K. Bazemore misses 2-pt shot from 10 ft,,50-58,,
11:04.0,,,50-58,,Defensive rebound by L. Deng
10:48.0,,,50-58,,T. Mozgov misses 2-pt shot from 10 ft
10:47.0,,,50-58,,Offensive rebound by Team
10:47.0,Loose ball foul by P. Millsap (drawn by T. Robinson),,50-58,,
10:47.0,Technical foul by P. Millsap (drawn by T. Robinson),,50-58,,
10:47.0,,,50-59,1,J. Calderon makes technical free throw
10:42.0,,,50-59,,Offensive foul by T. Robinson
10:42.0,,,50-59,,Turnover by T. Robinson (offensive foul)
10:27.0,K. Bazemore makes 2-pt shot from 13 ft,2,52-59,,
10:13.0,Violation by D. Howard (def goaltending),,52-59,,
10:13.0,,,52-61,2,J. Calderon makes 2-pt shot from 2 ft
10:02.0,K. Bazemore makes 2-pt shot from 12 ft,2,54-61,,
9:50.0,,,54-61,,N. Young misses 2-pt shot from 14 ft
9:48.0,Defensive rebound by D. Howard,,54-61,,
9:47.0,Shooting foul by J. Calderon (drawn by K. Korver),,54-61,,
9:47.0,K. Korver makes free throw 1 of 2,1,55-61,,
9:47.0,K. Korver makes free throw 2 of 2,1,56-61,,
9:29.0,,,56-61,,T. Robinson misses 2-pt shot from 9 ft
9:26.0,Defensive rebound by P. Millsap,,56-61,,
9:20.0,K. Korver misses 3-pt shot from 27 ft,,56-61,,
9:18.0,Offensive rebound by D. Howard,,56-61,,
9:18.0,D. Howard misses 2-pt shot at rim,,56-61,,
9:13.0,,,56-61,,Defensive rebound by T. Mozgov
9:07.0,,,56-63,2,N. Young makes 2-pt shot from 14 ft
8:55.0,D. Howard misses 2-pt shot from 19 ft,,56-63,,
8:54.0,,,56-63,,Defensive rebound by L. Deng
8:49.0,,,56-63,,Shooting foul by K. Korver (drawn by T. Mozgov)
8:49.0,,,56-63,,T. Mozgov misses free throw 1 of 2
8:49.0,,,56-63,,Offensive rebound by Team
8:49.0,,,56-64,1,T. Mozgov makes free throw 2 of 2
8:39.0,K. Bazemore makes 3-pt shot from 24 ft (assist by D. Schroder),3,59-64,,
8:25.0,,,59-64,,N. Young misses 2-pt shot from 16 ft
8:22.0,,,59-64,,Offensive rebound by T. Robinson
8:21.0,,,59-66,2,T. Robinson makes 2-pt shot from 1 ft
8:09.0,P. Millsap misses 3-pt shot from 26 ft,,59-66,,
8:07.0,,,59-66,,Defensive rebound by T. Mozgov
7:59.0,,,59-68,2,J. Calderon makes 2-pt shot from 20 ft
7:38.0,K. Bazemore makes 3-pt shot from 26 ft,3,62-68,,
7:15.0,,,62-70,2,T. Robinson makes 2-pt shot from 1 ft (assist by L. Deng)
7:13.0,,,62-70,,Personal foul by J. Calderon (drawn by D. Schroder)
7:13.0,M. Muscala enters the game for P. Millsap,,62-70,,
7:00.0,D. Howard makes 2-pt shot from 2 ft (assist by K. Bazemore),2,64-70,,
6:42.0,,,64-72,2,T. Robinson makes 2-pt shot from 1 ft (assist by J. Calderon)
6:34.0,D. Howard makes 2-pt shot from 2 ft (assist by D. Schroder),2,66-72,,
6:34.0,Shooting foul by N. Young (drawn by D. Howard),,66-72,,
6:34.0,D. Howard misses free throw 1 of 1,,66-72,,
6:34.0,,,66-72,,Defensive rebound by T. Robinson
6:15.0,,,66-72,,T. Robinson misses 2-pt shot at rim (block by D. Howard)
6:10.0,,,66-72,,Offensive rebound by T. Mozgov
6:10.0,,,66-74,2,T. Mozgov makes 2-pt shot at rim
6:01.0,Turnover by K. Korver (bad pass; steal by L. Deng),,66-74,,
5:56.0,,,66-74,,N. Young misses 2-pt shot from 15 ft
5:54.0,Defensive rebound by K. Bazemore,,66-74,,
5:47.0,K. Korver misses 3-pt shot from 24 ft,,66-74,,
5:45.0,,,66-74,,Defensive rebound by J. Calderon
5:41.0,,,66-74,,N. Young misses 3-pt shot from 27 ft
5:41.0,Defensive rebound by Team,,66-74,,
5:41.0,,,66-74,,LA Lakers full timeout
5:41.0,T. Sefolosha enters the game for K. Bazemore,,66-74,,
5:41.0,,,66-74,,B. Ingram enters the game for J. Calderon
5:25.0,Turnover by D. Howard (step out of bounds),,66-74,,
5:06.0,,,66-74,,T. Robinson misses 2-pt shot from 6 ft
5:05.0,,,66-74,,Offensive rebound by T. Robinson
4:58.0,,,66-74,,L. Deng misses 3-pt shot from 26 ft
4:56.0,Defensive rebound by T. Sefolosha,,66-74,,
4:42.0,D. Schroder makes 2-pt shot from 18 ft,2,68-74,,
4:27.0,Personal foul by D. Schroder (drawn by B. Ingram),,68-74,,
4:27.0,,,68-74,,L. Nance enters the game for T. Robinson
4:13.0,,,68-74,,B. Ingram misses 2-pt shot from 17 ft
4:10.0,,,68-74,,Offensive rebound by L. Nance
4:10.0,,,68-76,2,L. Nance makes 2-pt shot from 1 ft
3:59.0,Offensive foul by D. Howard,,68-76,,
3:59.0,Turnover by D. Howard (offensive foul),,68-76,,
3:41.0,,,68-76,,T. Mozgov misses 2-pt shot from 21 ft
3:40.0,Defensive rebound by M. Muscala,,68-76,,
3:32.0,,,68-76,,Personal foul by T. Mozgov (drawn by D. Howard)
3:32.0,,,68-76,,J. Clarkson enters the game for L. Deng
3:20.0,K. Korver misses 2-pt shot from 8 ft,,68-76,,
3:17.0,Offensive rebound by T. Sefolosha,,68-76,,
3:14.0,K. Korver makes 3-pt shot from 24 ft (assist by T. Sefolosha),3,71-76,,
3:01.0,,,71-76,,B. Ingram misses 3-pt shot from 24 ft
3:01.0,,,71-76,,Offensive rebound by Team
3:01.0,Loose ball foul by D. Howard (drawn by T. Mozgov),,71-76,,
3:01.0,P. Millsap enters the game for D. Howard,,71-76,,
3:01.0,,,71-76,,T. Black enters the game for T. Mozgov
2:56.0,,,71-76,,Shooting foul by M. Muscala (drawn by J. Clarkson)
2:56.0,Atlanta full timeout,,71-76,,
2:56.0,,,71-77,1,J. Clarkson makes free throw 1 of 2
2:56.0,,,71-77,,J. Clarkson misses free throw 2 of 2
2:56.0,,,71-76,,L. Williams enters the game for N. Young
2:54.0,Defensive rebound by T. Sefolosha,,71-77,,
2:35.0,D. Schroder misses 2-pt shot from 11 ft,,71-77,,
2:32.0,,,71-77,,Defensive rebound by T. Black
2:17.0,,,71-79,2,J. Clarkson makes 2-pt shot from 5 ft
1:59.0,T. Sefolosha misses 3-pt shot from 25 ft,,71-79,,
1:57.0,,,71-79,,Defensive rebound by L. Williams
1:48.0,,,71-79,,L. Williams misses 2-pt shot from 4 ft
1:44.0,Defensive rebound by M. Muscala,,71-79,,
1:39.0,M. Muscala makes 2-pt shot from 2 ft (assist by D. Schroder),2,73-79,,
1:11.0,,,73-81,2,J. Clarkson makes 2-pt shot from 7 ft
1:02.0,P. Millsap misses 3-pt shot from 25 ft,,73-81,,
1:01.0,,,73-81,,Defensive rebound by T. Black
0:51.0,,,73-81,,B. Ingram misses 2-pt shot from 16 ft
0:49.0,,,73-81,,Offensive rebound by L. Nance
0:41.0,,,73-84,3,L. Williams makes 3-pt shot from 24 ft
0:29.0,P. Millsap makes 2-pt shot from 2 ft (assist by D. Schroder),2,75-84,,
0:14.0,,,75-84,,Turnover by L. Williams (lost ball; steal by D. Schroder)
0:01.0,M. Muscala makes 2-pt shot from 1 ft (assist by D. Schroder),2,77-84,,
0:00.0,End of 3rd quarter,,,,End of 3rd quarter
12:00.0,Start of 4th quarter,,,,Start of 4th quarter
11:39.0,,,77-86,2,L. Williams makes 2-pt shot from 15 ft (assist by L. Nance)
11:16.0,P. Millsap makes 2-pt shot from 2 ft (assist by M. Delaney),2,79-86,,
10:59.0,,,79-86,,L. Williams misses 3-pt shot from 25 ft
10:58.0,Defensive rebound by Team,,79-86,,
10:46.0,P. Millsap misses 2-pt shot from 13 ft,,79-86,,
10:46.0,Offensive rebound by Team,,79-86,,
10:37.0,K. Bazemore makes 3-pt shot from 25 ft (assist by M. Delaney),3,82-86,,
10:18.0,,,82-86,,B. Ingram misses 2-pt shot from 19 ft
10:14.0,Defensive rebound by M. Muscala,,82-86,,
10:09.0,K. Bazemore misses 2-pt shot from 20 ft,,82-86,,
10:03.0,,,82-86,,Defensive rebound by B. Ingram
9:56.0,Personal block foul by M. Delaney (drawn by B. Ingram),,82-86,,
9:49.0,Shooting block foul by M. Delaney,,82-86,,
9:49.0,,,82-87,1,L. Williams makes free throw 1 of 2
9:49.0,,,82-88,1,L. Williams makes free throw 2 of 2
9:37.0,M. Delaney misses 2-pt shot from 20 ft,,82-88,,
9:36.0,,,82-88,,Defensive rebound by B. Ingram
9:29.0,,,82-88,,Shooting foul by M. Delaney
9:29.0,,,82-89,1,L. Williams makes free throw 1 of 3
9:29.0,,,82-90,1,L. Williams makes free throw 2 of 3
9:29.0,,,82-91,1,L. Williams makes free throw 3 of 3
9:29.0,D. Howard enters the game for M. Muscala,,82-90,,
9:09.0,K. Bazemore misses 3-pt shot from 26 ft,,82-91,,
9:08.0,Offensive rebound by P. Millsap,,82-91,,
9:02.0,K. Bazemore misses 2-pt shot from 18 ft,,82-91,,
9:00.0,,,82-91,,Defensive rebound by T. Black
8:44.0,Personal foul by T. Sefolosha (drawn by T. Black),,82-91,,
8:44.0,Official timeout,,82-91,,
8:44.0,K. Korver enters the game for T. Sefolosha,,82-91,,
8:39.0,,,82-91,,J. Clarkson misses 2-pt shot from 13 ft
8:38.0,,,82-91,,Offensive rebound by Team
8:31.0,,,82-91,,L. Williams misses 3-pt shot from 27 ft
8:29.0,,,82-91,,Offensive rebound by T. Black
8:26.0,,,82-93,2,T. Black makes 2-pt shot from 2 ft
8:14.0,D. Howard makes 2-pt shot at rim (assist by P. Millsap),2,84-93,,
7:50.0,,,84-95,2,J. Clarkson makes 2-pt shot from 9 ft (assist by L. Nance)
7:31.0,K. Bazemore misses 2-pt shot from 4 ft (block by T. Black),,84-95,,
7:29.0,,,84-95,,Defensive rebound by L. Nance
7:08.0,,,84-95,,L. Nance misses 3-pt shot from 24 ft
7:06.0,Defensive rebound by M. Delaney,,84-95,,
6:46.0,K. Bazemore misses 3-pt shot from 26 ft,,84-95,,
6:42.0,,,84-95,,Defensive rebound by L. Williams
6:39.0,,,84-95,,Offensive foul by L. Nance
6:39.0,,,84-95,,Turnover by L. Nance (offensive foul)
6:39.0,T. Sefolosha enters the game for K. Bazemore,,84-95,,
6:39.0,D. Schroder enters the game for M. Delaney,,84-95,,
6:31.0,Turnover by D. Schroder (bad pass; steal by J. Clarkson),,84-95,,
6:23.0,,,84-97,2,B. Ingram makes 2-pt shot from 15 ft (assist by J. Clarkson)
6:17.0,Atlanta full timeout,,84-97,,
6:17.0,M. Muscala enters the game for P. Millsap,,84-97,,
6:12.0,Turnover by D. Howard (bad pass),,84-97,,
5:58.0,,,84-99,2,L. Williams makes 2-pt shot from 13 ft
5:58.0,,,84-99,,Shooting foul by D. Howard
5:58.0,,,84-100,1,L. Williams makes free throw 1 of 1
5:38.0,T. Sefolosha misses 2-pt shot from 18 ft,,84-100,,
5:37.0,,,84-100,,Defensive rebound by B. Ingram
5:13.0,,,84-102,2,L. Nance makes 2-pt shot from 19 ft (assist by J. Clarkson)
4:47.0,K. Korver misses 3-pt shot from 27 ft,,84-102,,
4:47.0,Offensive rebound by Team,,84-102,,
4:47.0,,,84-102,,Loose ball foul by L. Williams
4:47.0,T. Hardaway enters the game for K. Korver,,84-102,,
4:36.0,D. Schroder misses 3-pt shot from 26 ft,,84-102,,
4:35.0,,,84-102,,Defensive rebound by T. Black
4:11.0,,,84-102,,J. Clarkson misses 3-pt shot from 26 ft
4:09.0,,,84-102,,Offensive rebound by Team
4:08.0,T. Waller-Prince enters the game for D. Schroder,,84-102,,
4:08.0,R. Kelly enters the game for D. Howard,,84-102,,
3:45.0,,,84-102,,L. Williams misses 3-pt shot from 25 ft
3:44.0,Defensive rebound by T. Sefolosha,,84-102,,
3:31.0,T. Waller-Prince misses 3-pt shot from 26 ft,,84-102,,
3:30.0,,,84-102,,Defensive rebound by L. Nance
3:15.0,,,84-102,,Turnover by T. Black (3 sec)
3:04.0,R. Kelly misses 3-pt shot from 25 ft,,84-102,,
3:02.0,,,84-102,,Defensive rebound by T. Black
2:57.0,,,84-102,,LA Lakers full timeout
2:57.0,D. Bembry enters the game for M. Muscala,,84-102,,
2:43.0,,,84-102,,Turnover by B. Ingram (lost ball; steal by R. Kelly)
2:37.0,Shooting foul by T. Black,,84-102,,
