time,Detroit,pts.away,score,pts.home,Washington
6:59.0,,,7-12,,Personal foul by M. Morris (drawn by A. Drummond)
6:53.0,K. Caldwell-Pope makes 2-pt shot from 14 ft (assist by R. Jackson),2,9-12,,
6:53.0,Shooting foul by B. Beal (drawn by K. Caldwell-Pope),,9-12,,
6:53.0,K. Caldwell-Pope misses free throw 1 of 1,,9-12,,
6:51.0,,,9-12,,Defensive rebound by M. Morris
6:37.0,,,9-12,,Turnover by M. Morris (lost ball; steal by M. Morris)
6:30.0,Shooting foul by M. Morris (drawn by R. Jackson),,9-12,,
6:30.0,R. Jackson misses free throw 1 of 2,,9-12,,
6:30.0,Offensive rebound by Team,,9-12,,
6:30.0,R. Jackson makes free throw 2 of 2,1,10-12,,
6:30.0,,,9-12,,K. Oubre enters the game for M. Morris
6:21.0,,,10-12,,O. Porter misses 2-pt shot from 16 ft
6:20.0,Defensive rebound by A. Drummond,,10-12,,
6:10.0,Offensive foul by A. Drummond,,10-12,,
6:10.0,Turnover by A. Drummond (offensive foul),,10-12,,
5:53.0,,,10-12,,J. Wall misses 2-pt shot from 19 ft
5:52.0,Defensive rebound by A. Drummond,,10-12,,
5:47.0,R. Jackson misses 3-pt shot from 26 ft,,10-12,,
5:45.0,,,10-12,,Defensive rebound by M. Gortat
5:35.0,,,10-14,2,O. Porter makes 2-pt shot from 2 ft (assist by J. Wall)
5:30.0,Detroit full timeout,,10-14,,
5:30.0,J. Leuer enters the game for T. Harris,,10-14,,
5:30.0,I. Smith enters the game for R. Jackson,,10-14,,
5:11.0,I. Smith misses 3-pt shot from 30 ft,,10-14,,
5:09.0,,,10-14,,Defensive rebound by O. Porter
5:03.0,,,10-14,,J. Wall misses 2-pt shot from 2 ft
5:02.0,Defensive rebound by K. Caldwell-Pope,,10-14,,
4:53.0,A. Drummond misses 2-pt shot at rim,,10-14,,
4:52.0,,,10-14,,Defensive rebound by B. Beal
4:41.0,,,10-14,,B. Beal misses 3-pt shot from 26 ft
4:38.0,Defensive rebound by K. Caldwell-Pope,,10-14,,
4:30.0,J. Leuer makes 2-pt shot from 11 ft (assist by K. Caldwell-Pope),2,12-14,,
4:15.0,Personal foul by A. Drummond (drawn by J. Wall),,12-14,,
4:15.0,,,12-14,,T. Burke enters the game for O. Porter
4:15.0,A. Baynes enters the game for A. Drummond,,12-14,,
4:06.0,,,12-14,,Shooting foul by A. Baynes (drawn by K. Oubre)
4:06.0,,,12-15,1,K. Oubre makes free throw 1 of 2
4:06.0,,,12-15,,K. Oubre misses free throw 2 of 2
4:05.0,Defensive rebound by J. Leuer,,12-15,,
3:47.0,Turnover by I. Smith (lost ball),,12-15,,
3:39.0,,,12-15,,T. Burke misses 3-pt shot from 26 ft
3:38.0,Defensive rebound by K. Caldwell-Pope,,12-15,,
3:31.0,I. Smith makes 2-pt shot from 1 ft (assist by K. Caldwell-Pope),2,14-15,,
3:17.0,,,14-15,,B. Beal misses 3-pt shot from 25 ft
3:15.0,Defensive rebound by K. Caldwell-Pope,,14-15,,
3:09.0,K. Caldwell-Pope makes 2-pt shot from 2 ft,2,16-15,,
3:06.0,,,16-15,,Washington full timeout
3:06.0,,,16-15,,M. Thornton enters the game for B. Beal
2:56.0,,,16-15,,J. Wall misses 2-pt shot from 1 ft
2:55.0,Defensive rebound by J. Leuer,,16-15,,
2:48.0,I. Smith makes 2-pt shot from 2 ft,2,18-15,,
2:44.0,Personal foul by K. Caldwell-Pope (drawn by T. Burke),,18-15,,
2:32.0,,,18-15,,M. Gortat misses 2-pt shot from 10 ft
2:29.0,Defensive rebound by J. Leuer,,18-15,,
2:21.0,J. Leuer makes 2-pt shot from 15 ft (assist by I. Smith),2,20-15,,
2:02.0,,,20-18,3,T. Burke makes 3-pt shot from 23 ft (assist by J. Wall)
1:41.0,K. Caldwell-Pope makes 2-pt shot from 19 ft,2,22-18,,
1:25.0,,,22-18,,K. Oubre misses 3-pt shot from 24 ft
1:23.0,,,22-18,,Offensive rebound by M. Gortat
1:19.0,,,22-18,,Shooting foul by A. Baynes (drawn by J. Wall)
1:19.0,,,22-19,1,J. Wall makes free throw 1 of 2
1:19.0,,,22-20,1,J. Wall makes free throw 2 of 2
1:19.0,S. Johnson enters the game for K. Caldwell-Pope,,22-19,,
1:02.0,M. Morris misses 2-pt shot from 5 ft,,22-20,,
1:00.0,,,22-20,,Defensive rebound by K. Oubre
0:56.0,,,22-23,3,J. Wall makes 3-pt shot from 27 ft (assist by T. Burke)
0:35.0,M. Morris misses 2-pt shot from 7 ft,,22-23,,
0:34.0,Offensive rebound by A. Baynes,,22-23,,
0:34.0,A. Baynes makes 2-pt shot at rim,2,24-23,,
0:29.0,,,24-23,,Shooting foul by A. Baynes (drawn by J. Wall)
0:29.0,,,24-24,1,J. Wall makes free throw 1 of 2
0:29.0,,,24-25,1,J. Wall makes free throw 2 of 2
0:29.0,T. Harris enters the game for A. Baynes,,24-24,,
0:09.0,I. Smith misses 2-pt shot from 1 ft,,24-25,,
0:08.0,Offensive rebound by T. Harris,,24-25,,
0:07.0,Shooting foul by M. Thornton (drawn by T. Harris),,24-25,,
0:07.0,T. Harris makes 2-pt shot from 1 ft,2,26-25,,
0:07.0,T. Harris makes free throw 1 of 1,1,27-25,,
0:03.0,,,27-27,2,J. Wall makes 2-pt shot at rim
0:01.0,T. Harris misses 3-pt shot from 55 ft,,27-27,,
0:00.0,Offensive rebound by Team,,27-27,,
0:00.0,End of 1st quarter,,,,End of 1st quarter
12:00.0,Start of 2nd quarter,,,,Start of 2nd quarter
11:46.0,,,27-27,,Shooting foul by R. Jackson (drawn by T. Burke)
11:46.0,,,27-27,,T. Burke misses free throw 1 of 2
11:46.0,,,27-27,,Offensive rebound by Team
11:46.0,,,27-28,1,T. Burke makes free throw 2 of 2
11:22.0,R. Jackson misses 3-pt shot from 27 ft,,27-28,,
11:21.0,,,27-28,,Defensive rebound by Team
11:12.0,Personal foul by S. Johnson (drawn by K. Oubre),,27-28,,
11:01.0,,,27-30,2,M. Thornton makes 2-pt shot from 12 ft
10:50.0,,,27-30,,Personal foul by K. Oubre (drawn by J. Leuer)
10:43.0,T. Harris makes 3-pt shot from 22 ft (assist by J. Leuer),3,30-30,,
10:28.0,,,30-30,,Shooting foul by J. Leuer (drawn by K. Oubre)
10:28.0,,,30-31,1,K. Oubre makes free throw 1 of 2
10:28.0,,,30-32,1,K. Oubre makes free throw 2 of 2
10:18.0,,,30-32,,Personal foul by T. Burke (drawn by R. Jackson)
10:03.0,T. Harris makes 2-pt shot from 5 ft,2,32-32,,
9:46.0,,,32-34,2,J. Smith makes 2-pt shot from 15 ft (assist by T. Satoransky)
9:29.0,,,32-34,,Personal foul by T. Burke (drawn by R. Jackson)
9:29.0,,,32-34,,B. Beal enters the game for T. Burke
9:26.0,,,32-34,,Personal foul by K. Oubre (drawn by J. Leuer)
9:14.0,A. Drummond makes 2-pt shot at rim (assist by R. Jackson),2,34-34,,
8:59.0,,,34-36,2,J. Smith makes 2-pt shot from 20 ft (assist by B. Beal)
8:53.0,Detroit full timeout,,34-36,,
8:53.0,K. Caldwell-Pope enters the game for S. Johnson,,34-36,,
8:41.0,T. Harris misses 2-pt shot from 15 ft,,34-36,,
8:40.0,,,34-36,,Defensive rebound by K. Oubre
8:22.0,,,34-38,2,B. Beal makes 2-pt shot from 8 ft
8:09.0,J. Leuer misses 2-pt shot from 12 ft,,34-38,,
8:07.0,,,34-38,,Defensive rebound by M. Thornton
8:01.0,,,34-38,,Shooting foul by T. Harris (drawn by M. Thornton)
8:01.0,,,34-39,1,M. Thornton makes free throw 1 of 2
8:01.0,,,34-40,1,M. Thornton makes free throw 2 of 2
7:46.0,R. Jackson misses 2-pt shot from 3 ft,,34-40,,
7:45.0,Offensive rebound by A. Drummond,,34-40,,
7:41.0,A. Drummond makes 2-pt shot at rim,2,36-40,,
7:25.0,,,36-42,2,B. Beal makes 2-pt shot from 16 ft (assist by T. Satoransky)
7:21.0,,,36-42,,Personal foul by T. Satoransky (drawn by R. Jackson)
7:21.0,A. Drummond makes free throw 1 of 2,1,37-42,,
7:21.0,A. Drummond makes free throw 2 of 2,1,38-42,,
7:21.0,,,37-42,,M. Gortat enters the game for M. Thornton
7:21.0,,,37-42,,J. Wall enters the game for T. Satoransky
7:21.0,,,37-42,,M. Morris enters the game for J. Smith
7:02.0,,,38-45,3,J. Wall makes 3-pt shot from 26 ft (assist by B. Beal)
6:47.0,K. Caldwell-Pope misses 2-pt shot from 19 ft,,38-45,,
6:45.0,,,38-45,,Defensive rebound by K. Oubre
6:39.0,,,38-45,,Shooting foul by R. Jackson (drawn by J. Wall)
6:39.0,,,38-45,,J. Wall misses free throw 1 of 2
6:39.0,,,38-45,,Offensive rebound by Team
6:39.0,,,38-45,,J. Wall misses free throw 2 of 2
6:38.0,Defensive rebound by J. Leuer,,38-45,,
6:25.0,,,38-45,,Personal foul by M. Morris (drawn by R. Jackson)
6:25.0,R. Jackson makes free throw 1 of 2,1,39-45,,
6:25.0,R. Jackson makes free throw 2 of 2,1,40-45,,
6:25.0,,,39-45,,O. Porter enters the game for M. Morris
6:25.0,M. Morris enters the game for J. Leuer,,39-45,,
6:10.0,,,40-45,,K. Oubre misses 2-pt shot from 14 ft
6:09.0,Defensive rebound by T. Harris,,40-45,,
5:52.0,T. Harris misses 3-pt shot from 23 ft,,40-45,,
5:50.0,,,40-45,,Defensive rebound by O. Porter
5:35.0,,,40-48,3,O. Porter makes 3-pt shot from 26 ft (assist by B. Beal)
5:23.0,Detroit full timeout,,40-48,,
5:23.0,Official timeout,,40-48,,
5:10.0,Shooting foul by M. Gortat (drawn by T. Harris),,40-48,,
5:10.0,T. Harris makes free throw 1 of 2,1,41-48,,
5:10.0,T. Harris makes free throw 2 of 2,1,42-48,,
5:01.0,Personal foul by R. Jackson (drawn by B. Beal),,42-48,,
5:01.0,,,42-49,1,B. Beal makes free throw 1 of 2
5:01.0,,,42-50,1,B. Beal makes free throw 2 of 2
5:01.0,I. Smith enters the game for R. Jackson,,42-49,,
4:43.0,K. Caldwell-Pope misses 3-pt shot from 26 ft,,42-50,,
4:42.0,,,42-50,,Defensive rebound by M. Gortat
4:30.0,,,42-50,,M. Gortat misses 2-pt shot from 1 ft
4:29.0,Defensive rebound by T. Harris,,42-50,,
4:26.0,T. Harris misses 2-pt shot at rim,,42-50,,
4:26.0,,,42-50,,Defensive rebound by Team
4:12.0,,,42-50,,O. Porter misses 2-pt shot from 18 ft
4:12.0,,,42-50,,Offensive rebound by M. Gortat
4:07.0,,,42-53,3,B. Beal makes 3-pt shot from 26 ft (assist by J. Wall)
3:49.0,M. Morris misses 2-pt shot from 15 ft,,42-53,,
3:48.0,,,42-53,,Defensive rebound by J. Wall
3:41.0,,,42-55,2,M. Gortat makes 2-pt shot at rim (assist by J. Wall)
3:26.0,,,42-55,,Personal foul by M. Gortat (drawn by A. Drummond)
3:26.0,A. Drummond makes free throw 1 of 2,1,43-55,,
3:26.0,A. Drummond misses free throw 2 of 2,,43-55,,
3:26.0,J. Leuer enters the game for M. Morris,,43-55,,
3:24.0,,,43-55,,Defensive rebound by M. Gortat
3:08.0,,,43-55,,O. Porter misses 2-pt shot from 5 ft
3:07.0,Defensive rebound by T. Harris,,43-55,,
3:00.0,T. Harris misses 2-pt shot from 14 ft,,43-55,,
2:58.0,Offensive rebound by A. Drummond,,43-55,,
2:56.0,A. Drummond makes 2-pt shot at rim,2,45-55,,
2:54.0,,,45-55,,Washington full timeout
2:40.0,,,45-55,,K. Oubre misses 3-pt shot from 24 ft
2:39.0,Defensive rebound by Team,,45-55,,
2:37.0,,,45-55,,Loose ball foul by O. Porter (drawn by A. Drummond)
2:37.0,A. Drummond misses free throw 1 of 2,,45-55,,
2:37.0,Offensive rebound by Team,,45-55,,
2:37.0,A. Drummond misses free throw 2 of 2,,45-55,,
2:34.0,,,45-55,,Defensive rebound by O. Porter
2:21.0,,,45-55,,J. Wall misses 2-pt shot from 1 ft
2:20.0,Defensive rebound by I. Smith,,45-55,,
2:13.0,A. Drummond makes 2-pt shot at rim (assist by J. Leuer),2,47-55,,
1:59.0,,,47-58,3,B. Beal makes 3-pt shot from 25 ft
1:36.0,K. Caldwell-Pope makes 3-pt shot from 26 ft (assist by J. Leuer),3,50-58,,
1:21.0,,,50-60,2,B. Beal makes 2-pt shot from 17 ft
1:00.0,T. Harris misses 2-pt shot from 3 ft,,50-60,,
0:58.0,,,50-60,,Defensive rebound by M. Gortat
0:51.0,,,50-60,,B. Beal misses 3-pt shot from 26 ft
0:50.0,Defensive rebound by A. Drummond,,50-60,,
0:39.0,A. Drummond makes 2-pt shot from 5 ft (assist by I. Smith),2,52-60,,
0:35.0,,,52-63,3,J. Wall makes 3-pt shot from 26 ft
0:26.0,,,52-63,,Personal foul by J. Wall (drawn by K. Caldwell-Pope)
0:26.0,K. Caldwell-Pope makes free throw 1 of 2,1,53-63,,
0:26.0,K. Caldwell-Pope makes free throw 2 of 2,1,54-63,,
0:26.0,S. Johnson enters the game for A. Drummond,,53-63,,
0:26.0,,,53-63,,A. Nicholson enters the game for M. Gortat
0:04.0,,,54-63,,Shooting foul by J. Leuer (drawn by J. Wall)
0:04.0,,,54-64,1,J. Wall makes free throw 1 of 2
0:04.0,,,54-65,1,J. Wall makes free throw 2 of 2
0:04.0,,,54-64,,T. Satoransky enters the game for K. Oubre
0:01.0,I. Smith misses 3-pt shot from 30 ft,,54-65,,
0:00.0,,,54-65,,Defensive rebound by Team
0:00.0,End of 2nd quarter,,,,End of 2nd quarter
12:00.0,Start of 3rd quarter,,,,Start of 3rd quarter
11:42.0,,,54-67,2,M. Gortat makes 2-pt shot from 8 ft (assist by M. Morris)
11:23.0,M. Morris makes 2-pt shot from 18 ft,2,56-67,,
11:03.0,,,56-67,,M. Morris misses 2-pt shot from 2 ft
11:01.0,Defensive rebound by A. Drummond,,56-67,,
10:45.0,R. Jackson makes 3-pt shot from 26 ft,3,59-67,,
10:29.0,Def 3 sec tech foul by T. Harris,,59-67,,
10:29.0,,,59-68,1,B. Beal makes technical free throw
10:24.0,Personal foul by K. Caldwell-Pope (drawn by B. Beal),,59-68,,
10:17.0,,,59-68,,M. Morris misses 2-pt shot from 21 ft
10:16.0,,,59-68,,Offensive rebound by M. Gortat
10:13.0,,,59-70,2,M. Gortat makes 2-pt shot from 1 ft
9:59.0,K. Caldwell-Pope misses 2-pt shot from 5 ft,,59-70,,
9:58.0,Offensive rebound by K. Caldwell-Pope,,59-70,,
9:52.0,K. Caldwell-Pope misses 2-pt shot from 2 ft,,59-70,,
9:52.0,,,59-70,,Defensive rebound by M. Gortat
9:52.0,,,59-70,,B. Beal misses 3-pt shot from 27 ft
9:52.0,,,59-70,,Offensive rebound by Team
9:42.0,,,59-72,2,J. Wall makes 2-pt shot from 17 ft
9:26.0,Turnover by K. Caldwell-Pope (bad pass; steal by J. Wall),,59-72,,
9:22.0,,,59-74,2,J. Wall makes 2-pt shot from 1 ft
9:22.0,Detroit full timeout,,59-74,,
9:09.0,T. Harris misses 2-pt shot from 5 ft,,59-74,,
9:07.0,,,59-74,,Defensive rebound by O. Porter
9:03.0,,,59-76,2,M. Gortat makes 2-pt shot from 3 ft (assist by J. Wall)
9:03.0,Violation by A. Drummond (def goaltending),,59-76,,
8:40.0,R. Jackson makes 3-pt shot from 25 ft,3,62-76,,
8:17.0,,,62-76,,M. Gortat misses 2-pt shot from 11 ft
8:16.0,Defensive rebound by T. Harris,,62-76,,
8:01.0,K. Caldwell-Pope makes 3-pt shot from 24 ft (assist by T. Harris),3,65-76,,
7:38.0,,,65-78,2,M. Morris makes 2-pt shot from 16 ft (assist by B. Beal)
7:13.0,M. Morris misses 3-pt shot from 27 ft,,65-78,,
7:13.0,,,65-78,,Defensive rebound by M. Gortat
7:09.0,,,65-78,,Shooting foul by R. Jackson (drawn by J. Wall)
7:09.0,,,65-79,1,J. Wall makes free throw 1 of 2
7:09.0,,,65-80,1,J. Wall makes free throw 2 of 2
7:09.0,J. Leuer enters the game for T. Harris,,65-79,,
7:09.0,I. Smith enters the game for R. Jackson,,65-79,,
6:51.0,J. Leuer misses 3-pt shot from 24 ft,,65-80,,
6:50.0,,,65-80,,Defensive rebound by O. Porter
6:43.0,,,65-83,3,M. Morris makes 3-pt shot from 26 ft (assist by J. Wall)
6:38.0,Detroit full timeout,,65-83,,
6:28.0,J. Leuer makes 3-pt shot from 26 ft (assist by K. Caldwell-Pope),3,68-83,,
6:08.0,,,68-83,,O. Porter misses 3-pt shot from 24 ft
6:07.0,Defensive rebound by M. Morris,,68-83,,
6:04.0,M. Morris misses 2-pt shot from 4 ft (block by M. Morris),,68-83,,
6:04.0,Offensive rebound by Team,,68-83,,
5:58.0,,,68-83,,Personal foul by O. Porter (drawn by A. Drummond)
5:47.0,,,68-83,,Personal foul by M. Gortat (drawn by A. Drummond)
5:39.0,K. Caldwell-Pope misses 2-pt shot from 12 ft,,68-83,,
5:38.0,,,68-83,,Defensive rebound by M. Gortat
5:17.0,,,68-85,2,M. Morris makes 2-pt shot from 15 ft (assist by M. Gortat)
4:54.0,J. Leuer misses 3-pt shot from 26 ft,,68-85,,
4:53.0,,,68-85,,Defensive rebound by M. Gortat
4:44.0,,,68-85,,B. Beal misses 3-pt shot from 26 ft
4:42.0,Defensive rebound by M. Morris,,68-85,,
4:34.0,I. Smith makes 2-pt shot from 2 ft,2,70-85,,
4:17.0,,,70-85,,M. Morris misses 2-pt shot from 13 ft
4:15.0,Defensive rebound by A. Drummond,,70-85,,
4:06.0,J. Leuer misses 2-pt shot from 2 ft,,70-85,,
4:05.0,,,70-85,,Defensive rebound by M. Gortat
3:53.0,,,70-88,3,J. Wall makes 3-pt shot from 25 ft (assist by M. Gortat)
3:27.0,K. Caldwell-Pope misses 3-pt shot from 26 ft,,70-88,,
3:26.0,Offensive rebound by A. Drummond,,70-88,,
3:24.0,Turnover by A. Drummond (lost ball; steal by J. Wall),,70-88,,
3:16.0,Personal foul by I. Smith (drawn by J. Wall),,70-88,,
3:16.0,,,70-88,,Washington full timeout
3:16.0,,,70-88,,K. Oubre enters the game for O. Porter
3:16.0,A. Baynes enters the game for M. Morris,,70-88,,
3:16.0,T. Harris enters the game for A. Drummond,,70-88,,
3:08.0,,,70-88,,B. Beal misses 3-pt shot from 26 ft
3:07.0,Defensive rebound by I. Smith,,70-88,,
2:50.0,K. Caldwell-Pope misses 2-pt shot from 11 ft,,70-88,,
2:49.0,,,70-88,,Defensive rebound by M. Morris
2:35.0,,,70-88,,K. Oubre misses 3-pt shot from 24 ft
2:34.0,Defensive rebound by J. Leuer,,70-88,,
2:24.0,J. Leuer makes 2-pt shot from 13 ft (assist by I. Smith),2,72-88,,
2:03.0,,,72-90,2,M. Morris makes 2-pt shot from 8 ft
1:42.0,K. Caldwell-Pope makes 2-pt shot from 19 ft,2,74-90,,
1:19.0,,,74-90,,M. Morris misses 3-pt shot from 25 ft
1:18.0,Defensive rebound by J. Leuer,,74-90,,
1:04.0,Turnover by J. Leuer (bad pass; steal by J. Wall),,74-90,,
1:00.0,,,74-92,2,B. Beal makes 2-pt shot from 2 ft (assist by J. Wall)
0:44.0,K. Caldwell-Pope makes 3-pt shot from 26 ft (assist by T. Harris),3,77-92,,
0:32.0,,,77-94,2,J. Wall makes 2-pt shot from 19 ft
0:15.0,K. Caldwell-Pope misses 3-pt shot from 25 ft,,77-94,,
0:13.0,,,77-94,,Defensive rebound by M. Gortat
0:03.0,,,77-94,,Shooting foul by A. Baynes (drawn by J. Wall)
0:03.0,,,77-94,,J. Wall misses free throw 1 of 2
0:03.0,,,77-94,,Offensive rebound by Team
0:03.0,,,77-95,1,J. Wall makes free throw 2 of 2
0:03.0,,,77-94,,T. Burke enters the game for B. Beal
0:03.0,,,77-94,,M. Thornton enters the game for M. Morris
0:01.0,,,77-95,,Personal take foul by M. Thornton (drawn by K. Caldwell-Pope)
0:00.0,End of 3rd quarter,,,,End of 3rd quarter
12:00.0,Start of 4th quarter,,,,Start of 4th quarter
11:48.0,,,77-95,,Personal foul by T. Burke (drawn by R. Jackson)
11:36.0,,,77-95,,Personal take foul by M. Thornton (drawn by A. Baynes)
11:29.0,Shooting foul by T. Burke (drawn by R. Jackson),,77-95,,
11:29.0,R. Jackson misses free throw 1 of 2,,77-95,,
11:29.0,Offensive rebound by Team,,77-95,,
11:29.0,R. Jackson makes free throw 2 of 2,1,78-95,,
11:15.0,,,78-97,2,T. Burke makes 2-pt shot from 20 ft (assist by O. Porter)
11:01.0,R. Jackson misses 2-pt shot from 6 ft,,78-97,,
10:59.0,,,78-97,,Defensive rebound by O. Porter
10:48.0,,,78-100,3,M. Thornton makes 3-pt shot from 26 ft
10:29.0,,,78-100,,Personal foul by O. Porter (drawn by T. Harris)
10:19.0,Turnover by S. Johnson (lost ball; steal by T. Burke),,78-100,,
10:17.0,,,78-100,,Shooting foul by S. Johnson (drawn by T. Burke)
10:17.0,,,78-101,1,T. Burke makes free throw 1 of 2
10:17.0,,,78-102,1,T. Burke makes free throw 2 of 2
10:02.0,J. Leuer makes 2-pt shot from 2 ft,2,80-102,,
9:43.0,,,80-104,2,M. Thornton makes 2-pt shot from 16 ft (assist by T. Burke)
9:23.0,T. Harris makes 2-pt shot from 1 ft,2,82-104,,
9:00.0,,,82-106,2,K. Oubre makes 2-pt shot at rim (assist by M. Gortat)
8:46.0,R. Jackson makes 2-pt shot at rim,2,84-106,,
8:27.0,,,84-108,2,M. Thornton makes 2-pt shot from 1 ft (assist by O. Porter)
8:12.0,Official timeout,,84-108,,
8:12.0,K. Caldwell-Pope enters the game for J. Leuer,,84-108,,
8:12.0,A. Drummond enters the game for A. Baynes,,84-108,,
8:12.0,,,84-108,,A. Nicholson enters the game for M. Gortat
8:01.0,R. Jackson misses 3-pt shot from 27 ft,,84-108,,
7:58.0,,,84-108,,Defensive rebound by K. Oubre
7:48.0,,,84-108,,Turnover by O. Porter (bad pass; steal by K. Caldwell-Pope)
7:42.0,K. Caldwell-Pope makes 2-pt shot at rim,2,86-108,,
7:24.0,,,86-108,,M. Thornton misses 3-pt shot from 25 ft
7:23.0,Defensive rebound by R. Jackson,,86-108,,
7:12.0,A. Drummond misses 2-pt shot from 4 ft,,86-108,,
7:09.0,,,86-108,,Defensive rebound by O. Porter
6:56.0,,,86-108,,T. Burke misses 2-pt shot from 17 ft
6:54.0,Defensive rebound by A. Drummond,,86-108,,
6:41.0,T. Harris misses 3-pt shot from 25 ft,,86-108,,
6:40.0,,,86-108,,Defensive rebound by O. Porter
6:34.0,,,86-108,,K. Oubre misses 2-pt shot from 3 ft (block by T. Harris)
6:32.0,Defensive rebound by A. Drummond,,86-108,,
6:22.0,T. Harris misses 2-pt shot from 7 ft,,86-108,,
6:20.0,Offensive rebound by T. Harris,,86-108,,
6:15.0,Turnover by K. Caldwell-Pope (lost ball; steal by K. Oubre),,86-108,,
6:12.0,,,86-108,,Shooting foul by K. Caldwell-Pope (drawn by K. Oubre)
6:12.0,,,86-109,1,K. Oubre makes free throw 1 of 2
6:12.0,,,86-110,1,K. Oubre makes free throw 2 of 2
6:12.0,B. Udrih enters the game for R. Jackson,,86-109,,
5:58.0,S. Johnson makes 2-pt shot from 5 ft (assist by B. Udrih),2,88-110,,
5:58.0,Shooting foul by K. Oubre (drawn by S. Johnson),,88-110,,
5:58.0,,,88-110,,Washington full timeout
5:58.0,S. Johnson misses free throw 1 of 1,,88-110,,
5:58.0,A. Baynes enters the game for K. Caldwell-Pope,,88-110,,
5:58.0,J. Leuer enters the game for T. Harris,,88-110,,
5:58.0,D. Hilliard enters the game for A. Drummond,,88-110,,
5:55.0,,,88-110,,Defensive rebound by K. Oubre
5:51.0,,,88-110,,Turnover by T. Burke (bad pass)
5:26.0,S. Johnson makes 2-pt shot from 13 ft,2,90-110,,
5:10.0,,,90-110,,M. Thornton misses 2-pt shot from 18 ft
5:10.0,Defensive rebound by S. Johnson,,90-110,,
5:03.0,J. Leuer makes 2-pt shot from 1 ft (assist by S. Johnson),2,92-110,,
4:39.0,,,92-110,,Turnover by A. Nicholson (lost ball; steal by J. Leuer)
4:39.0,J. Leuer makes 2-pt shot from 2 ft (assist by B. Udrih),2,94-110,,
4:39.0,,,94-110,,Washington full timeout
4:39.0,,,94-110,,J. Wall enters the game for T. Burke
4:39.0,,,94-110,,M. Gortat enters the game for A. Nicholson
4:39.0,,,94-110,,B. Beal enters the game for M. Thornton
4:17.0,,,94-112,2,M. Gortat makes 2-pt shot from 2 ft (assist by J. Wall)
3:58.0,S. Johnson makes 2-pt shot from 16 ft (assist by B. Udrih),2,96-112,,
3:38.0,,,96-114,2,B. Beal makes 2-pt shot from 6 ft (assist by J. Wall)
3:26.0,S. Johnson misses 3-pt shot from 23 ft,,96-114,,
3:26.0,Offensive rebound by A. Baynes,,96-114,,
3:26.0,A. Baynes misses 2-pt shot from 1 ft,,96-114,,
3:25.0,Offensive rebound by J. Leuer,,96-114,,
3:24.0,J. Leuer makes 2-pt shot at rim,2,98-114,,
3:06.0,,,98-116,2,B. Beal makes 2-pt shot from 2 ft
2:49.0,S. Johnson makes 2-pt shot from 16 ft (assist by J. Leuer),2,100-116,,
2:24.0,,,100-116,,Turnover by Team (shot clock)
2:09.0,B. Udrih makes 3-pt shot from 24 ft (assist by D. Hilliard),3,103-116,,
1:45.0,,,103-119,3,O. Porter makes 3-pt shot from 25 ft (assist by M. Gortat)
1:30.0,D. Hilliard misses 2-pt shot from 15 ft,,103-119,,
1:29.0,,,103-119,,Defensive rebound by K. Oubre
