time,Philadelphia,pts.away,score,pts.home,Orlando
5:10.0,R. Holmes makes 2-pt shot from 9 ft (assist by T. McConnell),2,16-16,,
5:10.0,Shooting foul by E. Payton (drawn by R. Holmes),,16-16,,
5:10.0,R. Holmes makes free throw 1 of 1,1,17-16,,
5:10.0,,,16-16,,D. Augustin enters the game for E. Payton
5:10.0,,,16-16,,M. Hezonja enters the game for T. Ross
5:10.0,J. Anderson enters the game for T. Luwawu-Cabarrot,,16-16,,
4:48.0,,,17-16,,Turnover by A. Gordon (lost ball; steal by R. Covington)
4:37.0,R. Covington makes 3-pt shot from 26 ft (assist by J. Anderson),3,20-16,,
4:18.0,,,20-18,2,A. Gordon makes 2-pt shot from 1 ft (assist by M. Hezonja)
4:18.0,,,20-18,,Shooting foul by R. Holmes (drawn by A. Gordon)
4:18.0,,,20-19,1,A. Gordon makes free throw 1 of 1
4:05.0,,,20-19,,Personal foul by E. Fournier (drawn by N. Stauskas)
3:54.0,N. Stauskas misses 3-pt shot from 26 ft,,20-19,,
3:53.0,,,20-19,,Defensive rebound by A. Gordon
3:44.0,,,20-19,,E. Fournier misses 3-pt shot from 24 ft
3:43.0,Defensive rebound by J. Anderson,,20-19,,
3:37.0,N. Stauskas misses 3-pt shot from 24 ft,,20-19,,
3:36.0,,,20-19,,Defensive rebound by M. Hezonja
3:29.0,,,20-19,,Turnover by M. Hezonja (bad pass; steal by J. Anderson)
3:22.0,T. McConnell misses 2-pt shot from 7 ft,,20-19,,
3:20.0,Offensive rebound by R. Holmes,,20-19,,
3:20.0,R. Holmes makes 2-pt shot from 2 ft,2,22-19,,
3:05.0,,,22-19,,D. Augustin misses 2-pt shot from 17 ft
3:03.0,Defensive rebound by T. McConnell,,22-19,,
2:53.0,T. McConnell misses 3-pt shot from 27 ft,,22-19,,
2:52.0,,,22-19,,Defensive rebound by A. Gordon
2:45.0,,,22-21,2,A. Gordon makes 2-pt shot from 18 ft
2:44.0,Philadelphia full timeout,,22-21,,
2:44.0,S. Rodriguez enters the game for R. Covington,,22-21,,
2:44.0,S. Long enters the game for R. Holmes,,22-21,,
2:44.0,D. Saric enters the game for T. McConnell,,22-21,,
2:31.0,Turnover by N. Stauskas (bad pass; steal by D. Augustin),,22-21,,
2:17.0,,,22-21,,D. Augustin misses 2-pt shot from 2 ft
2:15.0,,,22-21,,Offensive rebound by N. Vucevic
2:15.0,,,22-23,2,N. Vucevic makes 2-pt shot from 1 ft
2:06.0,,,22-23,,Violation by A. Gordon (def goaltending)
2:06.0,D. Saric makes 2-pt shot from 2 ft,2,24-23,,
1:54.0,,,24-25,2,A. Gordon makes 2-pt shot from 10 ft
1:40.0,N. Stauskas makes 2-pt shot from 18 ft,2,26-25,,
1:24.0,,,26-25,,E. Fournier misses 3-pt shot from 23 ft
1:23.0,Defensive rebound by D. Saric,,26-25,,
1:10.0,Turnover by J. Anderson (lost ball; steal by M. Hezonja),,26-25,,
1:10.0,Personal take foul by D. Saric (drawn by M. Hezonja),,26-25,,
1:10.0,,,26-25,,J. Green enters the game for N. Vucevic
1:10.0,,,26-25,,B. Biyombo enters the game for E. Fournier
1:03.0,,,26-25,,J. Meeks enters the game for A. Gordon
0:56.0,,,26-25,,J. Meeks misses 2-pt shot from 17 ft
0:55.0,,,26-25,,Offensive rebound by B. Biyombo
0:44.0,,,26-25,,Turnover by J. Meeks (bad pass; steal by S. Long)
0:21.0,J. Anderson misses 3-pt shot from 27 ft,,26-25,,
0:20.0,,,26-25,,Defensive rebound by B. Biyombo
0:00.0,,,26-25,,Turnover by D. Augustin (lost ball; steal by S. Long)
0:00.0,End of 1st quarter,,,,End of 1st quarter
12:00.0,Start of 2nd quarter,,,,Start of 2nd quarter
11:40.0,S. Rodriguez misses 2-pt shot from 7 ft,,26-25,,
11:40.0,Offensive rebound by Team,,26-25,,
11:40.0,,,26-25,,Loose ball foul by B. Biyombo (drawn by S. Long)
11:31.0,D. Saric makes 2-pt shot from 10 ft (assist by S. Rodriguez),2,28-25,,
11:15.0,,,28-25,,B. Biyombo misses 2-pt shot from 2 ft (block by S. Long)
11:15.0,Jump ball: B. Biyombo vs. S. Long (J. Meeks gains possession),,,,Jump ball: B. Biyombo vs. S. Long (J. Meeks gains possession)
11:15.0,,,28-25,,Offensive rebound by Team
11:09.0,,,28-27,2,J. Green makes 2-pt shot from 2 ft
10:54.0,Shooting foul by J. Meeks (drawn by S. Long),,28-27,,
10:54.0,S. Long makes free throw 1 of 2,1,29-27,,
10:54.0,S. Long makes free throw 2 of 2,1,30-27,,
10:37.0,,,30-27,,J. Green misses 2-pt shot from 7 ft
10:37.0,,,30-27,,Offensive rebound by Team
10:31.0,,,30-29,2,B. Biyombo makes 2-pt shot from 2 ft (assist by D. Augustin)
10:16.0,D. Saric makes 2-pt shot from 8 ft (assist by T. Luwawu-Cabarrot),2,32-29,,
10:04.0,,,32-29,,Turnover by D. Augustin (bad pass; steal by N. Stauskas)
9:59.0,R. Covington enters the game for N. Stauskas,,32-29,,
9:51.0,S. Rodriguez misses 2-pt shot from 19 ft,,32-29,,
9:50.0,,,32-29,,Defensive rebound by B. Biyombo
9:40.0,,,32-29,,M. Hezonja misses 3-pt shot from 26 ft
9:38.0,Defensive rebound by D. Saric,,32-29,,
9:26.0,,,32-29,,Def 3 sec tech foul by B. Biyombo
9:26.0,Philadelphia full timeout,,32-29,,
9:26.0,R. Covington makes technical free throw,1,33-29,,
9:26.0,Offensive foul by S. Long,,33-29,,
9:26.0,Turnover by S. Long (offensive foul),,33-29,,
9:17.0,Personal foul by R. Covington (drawn by J. Green),,33-29,,
9:14.0,,,33-29,,J. Green misses 2-pt shot from 2 ft (block by R. Covington)
9:14.0,Defensive rebound by Team,,33-29,,
9:03.0,R. Covington misses 2-pt shot from 7 ft,,33-29,,
9:02.0,,,33-29,,Defensive rebound by B. Biyombo
8:53.0,,,33-29,,D. Augustin misses 2-pt shot from 19 ft
8:52.0,Defensive rebound by T. Luwawu-Cabarrot,,33-29,,
8:37.0,S. Rodriguez misses 3-pt shot from 26 ft,,33-29,,
8:36.0,,,33-29,,Defensive rebound by Team
8:36.0,Loose ball foul by S. Long (drawn by B. Biyombo),,33-29,,
8:24.0,,,33-29,,B. Biyombo misses 2-pt shot from 2 ft (block by S. Long)
8:22.0,Defensive rebound by S. Long,,33-29,,
8:15.0,D. Saric makes 3-pt shot from 28 ft (assist by S. Rodriguez),3,36-29,,
8:14.0,,,36-29,,Orlando full timeout
8:14.0,R. Holmes enters the game for S. Long,,36-29,,
7:58.0,,,36-31,2,J. Meeks makes 2-pt shot from 22 ft (assist by J. Green)
7:44.0,S. Rodriguez misses 2-pt shot from 2 ft,,36-31,,
7:42.0,Offensive rebound by S. Rodriguez,,36-31,,
7:42.0,S. Rodriguez misses 2-pt shot from 1 ft,,36-31,,
7:41.0,Offensive rebound by R. Holmes,,36-31,,
7:41.0,R. Holmes misses 2-pt shot from 1 ft,,36-31,,
7:39.0,,,36-31,,Defensive rebound by B. Biyombo
7:35.0,,,36-31,,Shooting foul by T. Luwawu-Cabarrot (drawn by J. Meeks)
7:35.0,,,36-31,,J. Meeks misses free throw 1 of 3
7:35.0,,,36-31,,Offensive rebound by Team
7:35.0,,,36-32,1,J. Meeks makes free throw 2 of 3
7:35.0,,,36-33,1,J. Meeks makes free throw 3 of 3
7:35.0,N. Stauskas enters the game for D. Saric,,36-32,,
7:22.0,R. Holmes makes 2-pt shot at rim,2,38-33,,
7:04.0,,,38-33,,J. Meeks misses 2-pt shot from 12 ft
7:03.0,Defensive rebound by T. Luwawu-Cabarrot,,38-33,,
6:54.0,T. Luwawu-Cabarrot misses 3-pt shot from 25 ft,,38-33,,
6:53.0,,,38-33,,Defensive rebound by D. Augustin
6:45.0,,,38-33,,J. Meeks misses 2-pt shot from 3 ft
6:44.0,Defensive rebound by Team,,38-33,,
6:44.0,,,38-33,,Loose ball foul by B. Biyombo (drawn by R. Holmes)
6:44.0,,,38-33,,T. Ross enters the game for J. Meeks
6:20.0,T. Luwawu-Cabarrot misses 2-pt shot from 13 ft,,38-33,,
6:19.0,Offensive rebound by R. Holmes,,38-33,,
6:17.0,R. Covington makes 2-pt shot from 3 ft (assist by R. Holmes),2,40-33,,
5:55.0,,,40-33,,T. Ross misses 2-pt shot from 17 ft
5:54.0,Defensive rebound by R. Covington,,40-33,,
5:45.0,Shooting foul by M. Hezonja (drawn by N. Stauskas),,40-33,,
5:45.0,N. Stauskas makes free throw 1 of 2,1,41-33,,
5:45.0,N. Stauskas makes free throw 2 of 2,1,42-33,,
5:45.0,,,41-33,,E. Fournier enters the game for M. Hezonja
5:45.0,,,41-33,,A. Gordon enters the game for J. Green
5:45.0,,,41-33,,N. Vucevic enters the game for B. Biyombo
5:33.0,,,42-33,,Turnover by T. Ross (bad pass; steal by R. Holmes)
5:28.0,R. Holmes makes 2-pt shot from 1 ft (assist by T. Luwawu-Cabarrot),2,44-33,,
5:17.0,Personal foul by T. Luwawu-Cabarrot (drawn by T. Ross),,44-33,,
5:17.0,D. Saric enters the game for T. Luwawu-Cabarrot,,44-33,,
5:08.0,,,44-35,2,N. Vucevic makes 2-pt shot from 17 ft (assist by E. Fournier)
4:56.0,R. Covington makes 2-pt shot from 2 ft (assist by R. Holmes),2,46-35,,
4:39.0,,,46-35,,D. Augustin misses 2-pt shot from 9 ft
4:38.0,,,46-35,,Offensive rebound by E. Fournier
4:29.0,,,46-35,,T. Ross misses 3-pt shot from 27 ft
4:28.0,Defensive rebound by S. Rodriguez,,46-35,,
4:22.0,Turnover by N. Stauskas (bad pass; steal by E. Fournier),,46-35,,
4:12.0,,,46-35,,T. Ross misses 2-pt shot from 19 ft
4:10.0,,,46-35,,Offensive rebound by D. Augustin
4:00.0,,,46-35,,Violation by Team (jump ball)
4:00.0,T. McConnell enters the game for S. Rodriguez,,46-35,,
4:00.0,,,46-35,,C. Watson enters the game for D. Augustin
3:49.0,,,46-35,,N. Vucevic misses 2-pt shot from 15 ft
3:48.0,Defensive rebound by D. Saric,,46-35,,
3:42.0,N. Stauskas misses 3-pt shot from 26 ft,,46-35,,
3:40.0,,,46-35,,Defensive rebound by C. Watson
3:23.0,,,46-35,,A. Gordon misses 2-pt shot from 16 ft
3:22.0,Defensive rebound by R. Holmes,,46-35,,
3:09.0,T. McConnell misses 2-pt shot from 2 ft,,46-35,,
3:07.0,Offensive rebound by R. Covington,,46-35,,
3:07.0,R. Covington makes 2-pt shot from 3 ft,2,48-35,,
3:07.0,,,48-35,,Orlando full timeout
3:07.0,J. Anderson enters the game for R. Covington,,48-35,,
2:57.0,,,48-35,,T. Ross misses 2-pt shot from 10 ft
2:55.0,Defensive rebound by R. Holmes,,48-35,,
2:46.0,Turnover by D. Saric (bad pass; steal by N. Vucevic),,48-35,,
2:40.0,,,48-35,,C. Watson misses 3-pt shot from 26 ft
2:38.0,Defensive rebound by D. Saric,,48-35,,
2:33.0,Shooting foul by A. Gordon (drawn by D. Saric),,48-35,,
2:33.0,Official timeout,,48-35,,
2:33.0,D. Saric makes free throw 1 of 2,1,49-35,,
2:33.0,D. Saric makes free throw 2 of 2,1,50-35,,
2:22.0,,,50-35,,Shooting foul by J. Anderson (drawn by E. Fournier)
2:22.0,,,50-36,1,E. Fournier makes free throw 1 of 2
2:22.0,,,50-36,,E. Fournier misses free throw 2 of 2
2:20.0,Defensive rebound by D. Saric,,50-36,,
2:05.0,Turnover by T. McConnell (bad pass; steal by T. Ross),,50-36,,
1:58.0,,,50-38,2,N. Vucevic makes 2-pt shot from 8 ft (assist by T. Ross)
1:55.0,Philadelphia full timeout,,50-38,,
1:45.0,R. Holmes makes 2-pt shot at rim (assist by N. Stauskas),2,52-38,,
1:28.0,,,52-38,,Shooting foul by D. Saric (drawn by A. Gordon)
1:28.0,,,52-39,1,A. Gordon makes free throw 1 of 2
1:28.0,,,52-40,1,A. Gordon makes free throw 2 of 2
1:28.0,R. Covington enters the game for D. Saric,,52-39,,
1:16.0,N. Stauskas makes 2-pt shot from 9 ft (assist by T. McConnell),2,54-40,,
0:58.0,,,54-40,,Shooting foul by J. Anderson (drawn by A. Gordon)
0:58.0,,,54-40,,A. Gordon misses free throw 1 of 2
0:58.0,,,54-40,,Offensive rebound by Team
0:58.0,,,54-40,,A. Gordon misses free throw 2 of 2
0:57.0,Defensive rebound by J. Anderson,,54-40,,
0:43.0,R. Holmes makes 2-pt shot at rim (assist by N. Stauskas),2,56-40,,
0:33.0,,,56-40,,Turnover by T. Ross (lost ball; steal by T. McConnell)
0:21.0,R. Holmes misses 3-pt shot from 25 ft,,56-40,,
0:20.0,,,56-40,,Defensive rebound by C. Watson
0:01.0,,,56-40,,Shooting foul by R. Holmes (drawn by E. Fournier)
0:01.0,,,56-41,1,E. Fournier makes free throw 1 of 2
0:01.0,,,56-41,,E. Fournier misses free throw 2 of 2
0:00.0,,,56-41,,Offensive rebound by Team
0:00.0,End of 2nd quarter,,,,End of 2nd quarter
12:00.0,Start of 3rd quarter,,,,Start of 3rd quarter
11:47.0,T. Luwawu-Cabarrot misses 2-pt shot from 3 ft,,56-41,,
11:45.0,,,56-41,,Defensive rebound by T. Ross
11:39.0,,,56-41,,Turnover by E. Payton (bad pass; steal by T. McConnell)
11:27.0,Shooting foul by A. Gordon (drawn by D. Saric),,56-41,,
11:27.0,D. Saric makes free throw 1 of 2,1,57-41,,
11:27.0,D. Saric makes free throw 2 of 2,1,58-41,,
11:17.0,,,58-43,2,E. Payton makes 2-pt shot from 2 ft
11:02.0,T. McConnell makes 2-pt shot from 4 ft,2,60-43,,
10:53.0,,,60-46,3,E. Fournier makes 3-pt shot from 23 ft (assist by A. Gordon)
10:37.0,D. Saric misses 2-pt shot from 19 ft (block by A. Gordon),,60-46,,
10:35.0,,,60-46,,Defensive rebound by A. Gordon
10:24.0,,,60-48,2,A. Gordon makes 2-pt shot from 1 ft
10:12.0,T. McConnell makes 2-pt shot from 2 ft (assist by R. Holmes),2,62-48,,
10:04.0,,,62-48,,Turnover by E. Payton (bad pass; steal by D. Saric)
10:01.0,Shooting foul by E. Fournier (drawn by T. Luwawu-Cabarrot),,62-48,,
10:01.0,T. Luwawu-Cabarrot makes free throw 1 of 2,1,63-48,,
10:01.0,T. Luwawu-Cabarrot makes free throw 2 of 2,1,64-48,,
9:39.0,,,64-50,2,N. Vucevic makes 2-pt shot from 16 ft (assist by T. Ross)
9:26.0,,,64-50,,Personal foul by A. Gordon (drawn by T. Luwawu-Cabarrot)
9:19.0,R. Holmes makes 2-pt shot at rim (assist by T. McConnell),2,66-50,,
9:19.0,,,66-50,,Orlando full timeout
9:09.0,,,66-50,,Turnover by E. Fournier (lost ball)
8:51.0,D. Saric misses 2-pt shot from 3 ft,,66-50,,
8:49.0,,,66-50,,Defensive rebound by T. Ross
8:41.0,,,66-50,,T. Ross misses 3-pt shot from 24 ft
8:38.0,,,66-50,,Offensive rebound by E. Payton
8:36.0,,,66-50,,Turnover by T. Ross (bad pass; steal by R. Covington)
8:31.0,D. Saric misses 3-pt shot from 27 ft,,66-50,,
8:28.0,,,66-50,,Defensive rebound by N. Vucevic
8:20.0,,,66-50,,N. Vucevic misses 2-pt shot from 2 ft (block by R. Holmes)
8:17.0,,,66-50,,Offensive rebound by N. Vucevic
8:17.0,,,66-50,,N. Vucevic misses 2-pt shot from 2 ft
8:15.0,Defensive rebound by T. Luwawu-Cabarrot,,66-50,,
8:07.0,T. McConnell misses 2-pt shot from 8 ft,,66-50,,
8:06.0,,,66-50,,Defensive rebound by T. Ross
8:03.0,Personal foul by T. Luwawu-Cabarrot (drawn by E. Payton),,66-50,,
8:03.0,N. Stauskas enters the game for T. Luwawu-Cabarrot,,66-50,,
7:51.0,,,66-50,,N. Vucevic misses 2-pt shot from 5 ft
7:50.0,Defensive rebound by R. Covington,,66-50,,
7:39.0,N. Stauskas misses 2-pt shot from 14 ft,,66-50,,
7:38.0,,,66-50,,Defensive rebound by N. Vucevic
7:31.0,,,66-50,,Shooting foul by R. Holmes (drawn by N. Vucevic)
7:31.0,,,66-51,1,N. Vucevic makes free throw 1 of 2
7:31.0,,,66-52,1,N. Vucevic makes free throw 2 of 2
7:31.0,S. Long enters the game for R. Holmes,,66-51,,
7:18.0,D. Saric misses 3-pt shot from 27 ft,,66-52,,
7:18.0,Offensive rebound by Team,,66-52,,
7:18.0,,,66-52,,Personal foul by N. Vucevic (drawn by S. Long)
7:01.0,N. Stauskas misses 2-pt shot from 10 ft,,66-52,,
7:00.0,Offensive rebound by S. Long,,66-52,,
6:59.0,S. Long makes 2-pt shot from 2 ft,2,68-52,,
6:49.0,,,68-52,,Shooting foul by D. Saric (drawn by A. Gordon)
6:49.0,,,68-53,1,A. Gordon makes free throw 1 of 2
6:49.0,,,68-54,1,A. Gordon makes free throw 2 of 2
6:49.0,J. Anderson enters the game for D. Saric,,68-53,,
6:35.0,N. Stauskas makes 2-pt shot from 5 ft (assist by S. Long),2,70-54,,
6:26.0,,,70-57,3,T. Ross makes 3-pt shot from 25 ft (assist by A. Gordon)
6:07.0,Shooting foul by N. Vucevic (drawn by T. McConnell),,70-57,,
6:07.0,T. McConnell makes free throw 1 of 2,1,71-57,,
6:07.0,T. McConnell makes free throw 2 of 2,1,72-57,,
5:57.0,,,72-59,2,E. Fournier makes 2-pt shot from 3 ft
5:57.0,,,72-59,,Shooting foul by S. Long (drawn by E. Fournier)
5:57.0,,,72-59,,E. Fournier misses free throw 1 of 1
5:57.0,,,72-59,,Offensive rebound by N. Vucevic
5:57.0,,,72-59,,N. Vucevic misses 2-pt shot from 2 ft
5:56.0,,,72-59,,Offensive rebound by Team
5:56.0,,,72-59,,Shooting foul by S. Long (drawn by E. Fournier)
5:56.0,,,72-60,1,N. Vucevic makes free throw 1 of 2
5:56.0,,,72-61,1,N. Vucevic makes free throw 2 of 2
5:56.0,R. Holmes enters the game for S. Long,,72-60,,
5:44.0,Turnover by N. Stauskas (bad pass),,72-61,,
5:33.0,,,72-61,,N. Vucevic misses 3-pt shot from 25 ft
5:32.0,Defensive rebound by R. Covington,,72-61,,
5:27.0,Turnover by T. McConnell (lost ball; steal by E. Payton),,72-61,,
5:26.0,Personal foul by J. Anderson (drawn by E. Fournier),,72-61,,
5:26.0,,,72-61,,E. Fournier misses free throw 1 of 2
5:26.0,,,72-61,,Offensive rebound by Team
5:26.0,,,72-62,1,E. Fournier makes free throw 2 of 2
5:15.0,Shooting foul by T. Ross (drawn by N. Stauskas),,72-62,,
5:15.0,N. Stauskas misses free throw 1 of 2,,72-62,,
5:15.0,Offensive rebound by Team,,72-62,,
5:15.0,N. Stauskas makes free throw 2 of 2,1,73-62,,
5:06.0,,,73-64,2,N. Vucevic makes 2-pt shot from 6 ft
4:49.0,Turnover by R. Covington (lost ball; steal by E. Payton),,73-64,,
4:43.0,,,73-64,,A. Gordon misses 2-pt shot from 2 ft
4:41.0,,,73-64,,Offensive rebound by N. Vucevic
4:41.0,,,73-64,,N. Vucevic misses 2-pt shot from 2 ft
4:39.0,Defensive rebound by R. Holmes,,73-64,,
4:20.0,R. Covington makes 3-pt shot from 27 ft (assist by T. McConnell),3,76-64,,
4:09.0,,,76-64,,Turnover by A. Gordon (lost ball; steal by N. Stauskas)
4:01.0,R. Covington misses 2-pt shot from 2 ft,,76-64,,
3:59.0,,,76-64,,Defensive rebound by N. Vucevic
3:56.0,,,76-67,3,T. Ross makes 3-pt shot from 28 ft (assist by A. Gordon)
3:36.0,Shooting foul by A. Gordon (drawn by R. Covington),,76-67,,
3:36.0,R. Covington makes free throw 1 of 2,1,77-67,,
3:36.0,R. Covington makes free throw 2 of 2,1,78-67,,
3:36.0,,,77-67,,J. Green enters the game for A. Gordon
3:36.0,,,77-67,,M. Hezonja enters the game for E. Fournier
3:25.0,,,78-67,,N. Vucevic misses 2-pt shot from 18 ft
3:24.0,Defensive rebound by R. Covington,,78-67,,
3:12.0,N. Stauskas makes 3-pt shot from 23 ft (assist by T. McConnell),3,81-67,,
2:56.0,,,81-67,,E. Payton misses 2-pt shot from 1 ft
2:54.0,Defensive rebound by R. Covington,,81-67,,
2:41.0,,,81-67,,Personal foul by M. Hezonja (drawn by N. Stauskas)
2:41.0,Philadelphia full timeout,,81-67,,
2:41.0,N. Stauskas makes free throw 1 of 2,1,82-67,,
2:41.0,N. Stauskas makes free throw 2 of 2,1,83-67,,
2:41.0,D. Saric enters the game for R. Covington,,81-67,,
2:41.0,S. Rodriguez enters the game for T. McConnell,,81-67,,
2:30.0,,,83-67,,T. Ross misses 3-pt shot from 26 ft
2:29.0,Defensive rebound by J. Anderson,,83-67,,
2:08.0,N. Stauskas misses 3-pt shot from 31 ft,,83-67,,
2:07.0,,,83-67,,Defensive rebound by E. Payton
1:54.0,,,83-67,,T. Ross misses 3-pt shot from 28 ft
1:53.0,Defensive rebound by R. Holmes,,83-67,,
1:34.0,D. Saric misses 2-pt shot from 21 ft,,83-67,,
1:33.0,,,83-67,,Defensive rebound by M. Hezonja
1:25.0,,,83-69,2,N. Vucevic makes 2-pt shot from 2 ft (assist by E. Payton)
1:10.0,J. Anderson misses 3-pt shot from 30 ft,,83-69,,
1:09.0,,,83-69,,Defensive rebound by T. Ross
0:58.0,,,83-69,,Shooting foul by D. Saric (drawn by T. Ross)
0:58.0,,,83-70,1,T. Ross makes free throw 1 of 3
0:58.0,,,83-71,1,T. Ross makes free throw 2 of 3
0:58.0,,,83-72,1,T. Ross makes free throw 3 of 3
0:58.0,S. Long enters the game for D. Saric,,83-71,,
0:58.0,R. Covington enters the game for R. Holmes,,83-71,,
0:58.0,,,83-71,,B. Biyombo enters the game for N. Vucevic
0:58.0,,,83-71,,J. Meeks enters the game for M. Hezonja
0:48.0,S. Rodriguez misses 2-pt shot from 18 ft,,83-72,,
0:47.0,,,83-72,,Defensive rebound by J. Meeks
0:37.0,,,83-74,2,E. Payton makes 2-pt shot from 2 ft
0:19.0,R. Covington misses 3-pt shot from 25 ft,,83-74,,
0:18.0,,,83-74,,Defensive rebound by J. Meeks
0:03.0,,,83-74,,J. Meeks misses 3-pt shot from 26 ft
0:02.0,Defensive rebound by J. Anderson,,83-74,,
0:00.0,End of 3rd quarter,,,,End of 3rd quarter
12:00.0,Start of 4th quarter,,,,Start of 4th quarter
11:47.0,,,83-74,,J. Meeks misses 2-pt shot from 11 ft
11:45.0,,,83-74,,Offensive rebound by B. Biyombo
11:42.0,,,83-74,,Shooting foul by D. Saric (drawn by J. Meeks)
11:42.0,,,83-75,1,J. Meeks makes free throw 1 of 2
11:42.0,,,83-76,1,J. Meeks makes free throw 2 of 2
11:42.0,N. Stauskas enters the game for D. Saric,,83-75,,
11:21.0,S. Rodriguez misses 2-pt shot from 19 ft,,83-76,,
11:20.0,Offensive rebound by R. Covington,,83-76,,
11:19.0,R. Covington misses 2-pt shot from 2 ft,,83-76,,
11:16.0,Offensive rebound by R. Covington,,83-76,,
11:08.0,R. Covington makes 2-pt shot from 2 ft (assist by S. Rodriguez),2,85-76,,
10:54.0,Personal foul by N. Stauskas (drawn by J. Meeks),,85-76,,
10:45.0,,,85-76,,M. Hezonja misses 2-pt shot from 10 ft
10:43.0,Defensive rebound by S. Rodriguez,,85-76,,
10:33.0,,,85-76,,Personal foul by B. Biyombo (drawn by N. Stauskas)
10:20.0,R. Covington misses 3-pt shot from 26 ft,,85-76,,
10:20.0,,,85-76,,Defensive rebound by Team
10:11.0,,,85-76,,Shooting foul by R. Covington (drawn by J. Green)
10:11.0,,,85-77,1,J. Green makes free throw 1 of 2
10:11.0,,,85-78,1,J. Green makes free throw 2 of 2
9:55.0,Turnover by T. Luwawu-Cabarrot (offensive foul),,85-78,,
9:55.0,Offensive charge foul by T. Luwawu-Cabarrot,,85-78,,
9:55.0,J. Anderson enters the game for T. Luwawu-Cabarrot,,85-78,,
9:41.0,,,85-78,,Shooting foul by S. Rodriguez (drawn by D. Augustin)
9:41.0,,,85-79,1,D. Augustin makes free throw 1 of 2
9:41.0,,,85-80,1,D. Augustin makes free throw 2 of 2
