time,Toronto,pts.away,score,pts.home,San Antonio
4:34.0,,,10-26,2,L. Aldridge makes 2-pt shot from 2 ft (assist by P. Gasol)
4:28.0,Toronto full timeout,,10-26,,
4:28.0,,,10-26,,D. Lee enters the game for P. Gasol
4:28.0,C. Joseph enters the game for K. Lowry,,10-26,,
4:28.0,,,10-26,,P. Mills enters the game for T. Parker
4:28.0,T. Ross enters the game for D. Carroll,,10-26,,
4:06.0,D. DeRozan makes 2-pt shot from 11 ft,2,12-26,,
3:48.0,,,12-29,3,K. Leonard makes 3-pt shot from 27 ft (assist by M. Ginobili)
3:38.0,C. Joseph misses 2-pt shot from 17 ft,,12-29,,
3:33.0,Offensive rebound by L. Nogueira,,12-29,,
3:33.0,L. Nogueira misses 2-pt shot from 1 ft (block by K. Leonard),,12-29,,
3:30.0,,,12-29,,Defensive rebound by K. Leonard
3:25.0,,,12-29,,Turnover by M. Ginobili (bad pass)
3:10.0,T. Ross misses 2-pt shot from 21 ft,,12-29,,
3:09.0,,,12-29,,Defensive rebound by P. Mills
2:58.0,,,12-29,,L. Aldridge misses 2-pt shot from 17 ft
2:57.0,Defensive rebound by C. Joseph,,12-29,,
2:44.0,T. Ross misses 2-pt shot from 17 ft,,12-29,,
2:42.0,,,12-29,,Defensive rebound by D. Lee
2:33.0,,,12-29,,K. Leonard misses 2-pt shot from 14 ft
2:30.0,Defensive rebound by J. Valanciunas,,12-29,,
2:20.0,,,12-29,,San Antonio full timeout
2:20.0,,,12-29,,J. Simmons enters the game for K. Leonard
2:20.0,,,12-29,,P. Gasol enters the game for L. Aldridge
2:19.0,Turnover by J. Valanciunas (lost ball; steal by D. Lee),,12-29,,
2:19.0,Jump ball: D. Lee vs. J. Valanciunas (J. Simmons gains possession),,,,Jump ball: D. Lee vs. J. Valanciunas (J. Simmons gains possession)
1:56.0,,,12-29,,J. Simmons misses 2-pt shot from 6 ft
1:50.0,Defensive rebound by J. Valanciunas,,12-29,,
1:42.0,Shooting foul by P. Gasol (drawn by D. DeRozan),,12-29,,
1:42.0,D. DeRozan makes free throw 1 of 2,1,13-29,,
1:42.0,D. DeRozan makes free throw 2 of 2,1,14-29,,
1:42.0,J. Poeltl enters the game for J. Valanciunas,,13-29,,
1:24.0,,,14-29,,P. Gasol misses 2-pt shot at rim
1:23.0,Defensive rebound by D. DeRozan,,14-29,,
1:14.0,D. DeRozan misses 2-pt shot from 12 ft,,14-29,,
1:13.0,,,14-29,,Defensive rebound by P. Gasol
0:55.0,,,14-29,,Turnover by J. Simmons (bad pass; steal by T. Ross)
0:53.0,D. DeRozan makes 2-pt shot from 19 ft,2,16-29,,
0:53.0,Shooting foul by M. Ginobili (drawn by D. DeRozan),,16-29,,
0:53.0,D. DeRozan misses free throw 1 of 1,,16-29,,
0:52.0,,,16-29,,Defensive rebound by J. Simmons
0:38.0,,,16-29,,M. Ginobili misses 2-pt shot from 4 ft (block by L. Nogueira)
0:34.0,Defensive rebound by T. Ross,,16-29,,
0:25.0,T. Ross misses 3-pt shot from 27 ft,,16-29,,
0:23.0,,,16-29,,Defensive rebound by P. Mills
0:07.0,,,16-29,,D. Lee misses 2-pt shot from 1 ft
0:06.0,Defensive rebound by J. Poeltl,,16-29,,
0:00.0,D. DeRozan makes 2-pt shot from 18 ft,2,18-29,,
0:00.0,End of 1st quarter,,,,End of 1st quarter
12:00.0,Start of 2nd quarter,,,,Start of 2nd quarter
11:44.0,L. Nogueira misses 2-pt shot at rim (block by D. Dedmon),,18-29,,
11:43.0,Offensive rebound by J. Poeltl,,18-29,,
11:43.0,,,18-29,,Personal foul by D. Dedmon (drawn by J. Poeltl)
11:32.0,T. Ross makes 2-pt shot from 17 ft (assist by C. Joseph),2,20-29,,
11:23.0,,,20-29,,M. Ginobili misses 3-pt shot from 25 ft
11:22.0,Defensive rebound by C. Joseph,,20-29,,
11:12.0,L. Nogueira misses 2-pt shot from 9 ft (block by D. Lee),,20-29,,
11:11.0,,,20-29,,Defensive rebound by D. Dedmon
11:02.0,,,20-29,,D. Lee misses 2-pt shot from 19 ft
11:01.0,Defensive rebound by T. Ross,,20-29,,
10:48.0,K. Lowry misses 3-pt shot from 26 ft,,20-29,,
10:47.0,,,20-29,,Defensive rebound by P. Mills
10:35.0,,,20-31,2,J. Simmons makes 2-pt shot from 15 ft (assist by D. Lee)
10:20.0,Turnover by C. Joseph (bad pass),,20-31,,
10:04.0,,,20-31,,J. Simmons misses 3-pt shot from 25 ft
10:03.0,Defensive rebound by T. Ross,,20-31,,
9:54.0,T. Ross makes 3-pt shot from 25 ft,3,23-31,,
9:53.0,,,23-31,,San Antonio full timeout
9:53.0,,,23-31,,L. Aldridge enters the game for D. Lee
9:53.0,,,23-31,,K. Leonard enters the game for M. Ginobili
9:43.0,Violation by T. Ross (kicked ball),,23-31,,
9:29.0,,,23-34,3,P. Mills makes 3-pt shot from 25 ft (assist by L. Aldridge)
9:12.0,J. Poeltl misses 2-pt shot from 4 ft (block by J. Simmons),,23-34,,
9:10.0,,,23-34,,Defensive rebound by J. Simmons
9:03.0,,,23-34,,K. Leonard misses 3-pt shot from 25 ft
9:02.0,,,23-34,,Offensive rebound by K. Leonard
8:57.0,,,23-37,3,L. Aldridge makes 3-pt shot from 24 ft (assist by K. Leonard)
8:38.0,,,23-37,,Personal foul by P. Mills
8:26.0,T. Ross makes 2-pt shot from 20 ft (assist by K. Lowry),2,25-37,,
8:16.0,Personal foul by K. Lowry,,25-37,,
8:13.0,Personal foul by L. Nogueira (drawn by L. Aldridge),,25-37,,
7:59.0,,,25-37,,P. Mills misses 3-pt shot from 23 ft
7:58.0,Defensive rebound by T. Ross,,25-37,,
7:48.0,C. Joseph misses 2-pt shot from 22 ft,,25-37,,
7:48.0,Offensive rebound by J. Poeltl,,25-37,,
7:48.0,Shooting foul by J. Simmons (drawn by J. Poeltl),,25-37,,
7:48.0,J. Poeltl misses free throw 1 of 2,,25-37,,
7:48.0,Offensive rebound by Team,,25-37,,
7:48.0,J. Poeltl makes free throw 2 of 2,1,26-37,,
7:48.0,,,25-37,,T. Parker enters the game for P. Mills
7:48.0,,,25-37,,D. Green enters the game for J. Simmons
7:48.0,D. DeRozan enters the game for C. Joseph,,25-37,,
7:31.0,,,26-37,,L. Aldridge misses 2-pt shot from 5 ft (block by L. Nogueira)
7:29.0,Defensive rebound by J. Poeltl,,26-37,,
7:17.0,D. DeRozan misses 2-pt shot from 15 ft,,26-37,,
7:16.0,,,26-37,,Defensive rebound by D. Dedmon
7:01.0,Personal block foul by J. Poeltl (drawn by K. Leonard),,26-37,,
6:53.0,,,26-39,2,D. Dedmon makes 2-pt shot from 3 ft (assist by T. Parker)
6:39.0,K. Lowry misses 3-pt shot from 24 ft,,26-39,,
6:37.0,Offensive rebound by J. Poeltl,,26-39,,
6:33.0,T. Ross misses 3-pt shot from 25 ft,,26-39,,
6:32.0,,,26-39,,Defensive rebound by K. Leonard
6:25.0,,,26-39,,K. Leonard misses 2-pt shot from 17 ft
6:24.0,,,26-39,,Offensive rebound by D. Dedmon
6:09.0,,,26-39,,Turnover by D. Green (bad pass; steal by J. Poeltl)
6:02.0,K. Lowry makes 2-pt shot from 1 ft (assist by D. DeRozan),2,28-39,,
5:45.0,,,28-41,2,T. Parker makes 2-pt shot from 2 ft
5:28.0,D. DeRozan misses 2-pt shot from 14 ft (block by L. Aldridge),,28-41,,
5:26.0,,,28-41,,Defensive rebound by D. Green
5:22.0,,,28-43,2,T. Parker makes 2-pt shot from 7 ft
5:20.0,Toronto full timeout,,28-43,,
5:20.0,J. Valanciunas enters the game for J. Poeltl,,28-43,,
5:20.0,P. Siakam enters the game for L. Nogueira,,28-43,,
5:04.0,D. DeRozan makes 2-pt shot from 4 ft,2,30-43,,
4:48.0,Personal foul by P. Siakam (drawn by D. Dedmon),,30-43,,
4:37.0,,,30-45,2,L. Aldridge makes 2-pt shot from 15 ft (assist by T. Parker)
4:25.0,D. DeRozan makes 2-pt shot from 11 ft,2,32-45,,
4:02.0,,,32-45,,Shooting foul by J. Valanciunas (drawn by D. Dedmon)
4:02.0,,,32-46,1,D. Dedmon makes free throw 1 of 2
4:02.0,,,32-46,,D. Dedmon misses free throw 2 of 2
4:01.0,Defensive rebound by J. Valanciunas,,32-46,,
3:47.0,Turnover by T. Ross (lost ball; steal by D. Green),,32-46,,
3:42.0,,,32-48,2,K. Leonard makes 2-pt shot at rim (assist by D. Green)
3:18.0,P. Siakam misses 2-pt shot from 9 ft,,32-48,,
3:17.0,,,32-48,,Defensive rebound by D. Green
3:10.0,,,32-51,3,K. Leonard makes 3-pt shot from 22 ft (assist by T. Parker)
2:49.0,K. Lowry misses 3-pt shot from 24 ft,,32-51,,
2:47.0,,,32-51,,Defensive rebound by D. Green
2:39.0,Official timeout,,32-51,,
2:39.0,,,32-51,,P. Gasol enters the game for D. Dedmon
2:39.0,D. Carroll enters the game for T. Ross,,32-51,,
2:39.0,C. Joseph enters the game for K. Lowry,,32-51,,
2:28.0,,,32-54,3,K. Leonard makes 3-pt shot from 24 ft (assist by L. Aldridge)
2:02.0,D. Carroll misses 3-pt shot from 24 ft,,32-54,,
2:01.0,Offensive rebound by J. Valanciunas,,32-54,,
2:01.0,J. Valanciunas makes 2-pt shot from 2 ft,2,34-54,,
1:42.0,,,34-54,,L. Aldridge misses 2-pt shot from 19 ft
1:42.0,,,34-54,,Offensive rebound by Team
1:42.0,Personal foul by P. Siakam (drawn by P. Gasol),,34-54,,
1:42.0,,,34-55,1,P. Gasol makes free throw 1 of 2
1:42.0,,,34-56,1,P. Gasol makes free throw 2 of 2
1:42.0,,,34-55,,M. Ginobili enters the game for K. Leonard
1:29.0,C. Joseph makes 3-pt shot from 24 ft (assist by D. DeRozan),3,37-56,,
1:14.0,,,37-56,,T. Parker misses 2-pt shot from 18 ft
1:13.0,Defensive rebound by C. Joseph,,37-56,,
1:07.0,C. Joseph makes 2-pt shot from 4 ft,2,39-56,,
0:43.0,,,39-58,2,L. Aldridge makes 2-pt shot from 6 ft
0:35.0,C. Joseph misses 2-pt shot from 13 ft,,39-58,,
0:34.0,Offensive rebound by D. Carroll,,39-58,,
0:32.0,D. Carroll makes 2-pt shot from 7 ft,2,41-58,,
0:26.0,,,41-60,2,L. Aldridge makes 2-pt shot from 19 ft (assist by T. Parker)
0:06.0,,,41-60,,Personal foul by L. Aldridge (drawn by C. Joseph)
0:06.0,,,41-60,,D. Dedmon enters the game for P. Gasol
0:06.0,,,41-60,,J. Simmons enters the game for T. Parker
0:00.0,Turnover by D. DeRozan (lost ball; steal by J. Simmons),,41-60,,
0:00.0,End of 2nd quarter,,,,End of 2nd quarter
12:00.0,Start of 3rd quarter,,,,Start of 3rd quarter
11:32.0,Turnover by Team (shot clock),,41-60,,
11:06.0,,,41-60,,P. Gasol misses 2-pt shot from 19 ft
11:06.0,Defensive rebound by D. Carroll,,41-60,,
10:59.0,J. Valanciunas misses 2-pt shot from 9 ft (block by P. Gasol),,41-60,,
10:57.0,,,41-60,,Defensive rebound by L. Aldridge
10:56.0,,,41-60,,Turnover by L. Aldridge (bad pass; steal by D. Carroll)
10:55.0,Shooting foul by L. Aldridge (drawn by D. Carroll),,41-60,,
10:55.0,D. Carroll makes free throw 1 of 2,1,42-60,,
10:55.0,D. Carroll makes free throw 2 of 2,1,43-60,,
10:37.0,,,43-60,,P. Gasol misses 2-pt shot from 18 ft
10:37.0,Defensive rebound by K. Lowry,,43-60,,
10:16.0,L. Nogueira misses 2-pt shot from 16 ft (block by K. Leonard),,43-60,,
10:15.0,Offensive rebound by D. DeRozan,,43-60,,
10:11.0,D. DeRozan makes 2-pt shot from 9 ft,2,45-60,,
9:59.0,,,45-60,,Shooting foul by K. Lowry (drawn by T. Parker)
9:59.0,,,45-61,1,T. Parker makes free throw 1 of 2
9:59.0,,,45-62,1,T. Parker makes free throw 2 of 2
9:47.0,D. Carroll makes 3-pt shot from 24 ft (assist by K. Lowry),3,48-62,,
9:28.0,,,48-64,2,L. Aldridge makes 2-pt shot from 6 ft (assist by T. Parker)
9:16.0,D. DeRozan makes 2-pt shot from 8 ft,2,50-64,,
8:53.0,,,50-66,2,T. Parker makes 2-pt shot from 17 ft (assist by P. Gasol)
8:43.0,L. Nogueira misses 3-pt shot from 24 ft,,50-66,,
8:42.0,Offensive rebound by D. Carroll,,50-66,,
8:42.0,Shooting foul by D. Green (drawn by D. Carroll),,50-66,,
8:42.0,D. Carroll misses free throw 1 of 2,,50-66,,
8:42.0,Offensive rebound by Team,,50-66,,
8:42.0,D. Carroll makes free throw 2 of 2,1,51-66,,
8:42.0,,,50-66,,M. Ginobili enters the game for D. Green
8:27.0,Personal foul by L. Nogueira (drawn by L. Aldridge),,51-66,,
8:24.0,Personal foul by L. Nogueira (drawn by L. Aldridge),,51-66,,
8:19.0,Violation by L. Nogueira (def goaltending),,51-66,,
8:19.0,,,51-68,2,T. Parker makes 2-pt shot from 2 ft
8:01.0,D. DeRozan misses 2-pt shot from 13 ft,,51-68,,
7:58.0,,,51-68,,Defensive rebound by L. Aldridge
7:54.0,,,51-68,,T. Parker misses 2-pt shot from 1 ft (block by L. Nogueira)
7:51.0,Defensive rebound by K. Lowry,,51-68,,
7:51.0,,,51-68,,Personal foul by K. Leonard (drawn by K. Lowry)
7:38.0,K. Lowry misses 3-pt shot from 24 ft,,51-68,,
7:38.0,,,51-68,,Defensive rebound by L. Aldridge
7:25.0,,,51-68,,Shooting foul by D. DeRozan (drawn by K. Leonard)
7:25.0,,,51-69,1,K. Leonard makes free throw 1 of 3
7:25.0,,,51-70,1,K. Leonard makes free throw 2 of 3
7:25.0,,,51-71,1,K. Leonard makes free throw 3 of 3
7:14.0,D. DeRozan makes 2-pt shot from 13 ft,2,53-71,,
7:02.0,,,53-71,,Shooting foul by D. Carroll (drawn by K. Leonard)
7:02.0,,,53-72,1,K. Leonard makes free throw 1 of 2
7:02.0,,,53-72,,K. Leonard misses free throw 2 of 2
7:01.0,Defensive rebound by K. Lowry,,53-72,,
6:36.0,D. DeRozan makes 2-pt shot from 18 ft,2,55-72,,
6:15.0,,,55-75,3,T. Parker makes 3-pt shot from 25 ft (assist by L. Aldridge)
5:55.0,J. Valanciunas misses 2-pt shot from 3 ft,,55-75,,
5:53.0,,,55-75,,Defensive rebound by P. Gasol
5:44.0,,,55-75,,T. Parker misses 2-pt shot from 19 ft
5:43.0,Defensive rebound by J. Valanciunas,,55-75,,
5:31.0,K. Lowry misses 3-pt shot from 25 ft,,55-75,,
5:31.0,,,55-75,,Defensive rebound by P. Gasol
5:19.0,,,55-75,,L. Aldridge misses 2-pt shot from 1 ft
5:19.0,Defensive rebound by J. Valanciunas,,55-75,,
5:12.0,,,55-75,,Personal foul by T. Parker (drawn by L. Nogueira)
5:12.0,,,55-75,,San Antonio full timeout
5:12.0,J. Poeltl enters the game for J. Valanciunas,,55-75,,
5:12.0,,,55-75,,P. Mills enters the game for T. Parker
5:12.0,,,55-75,,D. Dedmon enters the game for P. Gasol
5:00.0,D. DeRozan misses 2-pt shot from 7 ft,,55-75,,
4:58.0,,,55-75,,Defensive rebound by M. Ginobili
4:42.0,Personal foul by D. Carroll (drawn by M. Ginobili),,55-75,,
4:42.0,,,55-76,1,M. Ginobili makes free throw 1 of 2
4:42.0,,,55-76,,M. Ginobili misses free throw 2 of 2
4:40.0,Defensive rebound by L. Nogueira,,55-76,,
4:22.0,K. Lowry misses 3-pt shot from 26 ft,,55-76,,
4:21.0,Offensive rebound by D. Carroll,,55-76,,
4:18.0,D. Carroll misses 2-pt shot from 7 ft,,55-76,,
4:18.0,,,55-76,,Defensive rebound by L. Aldridge
4:02.0,,,55-78,2,L. Aldridge makes 2-pt shot from 8 ft
3:40.0,Turnover by L. Nogueira (offensive foul),,55-78,,
3:40.0,Offensive foul by L. Nogueira,,55-78,,
3:40.0,C. Joseph enters the game for K. Lowry,,55-78,,
3:40.0,T. Ross enters the game for D. Carroll,,55-78,,
3:30.0,,,55-78,,L. Aldridge misses 2-pt shot from 17 ft
3:29.0,Defensive rebound by D. DeRozan,,55-78,,
3:10.0,Offensive foul by J. Poeltl,,55-78,,
3:10.0,Turnover by J. Poeltl (offensive foul),,55-78,,
2:53.0,,,55-78,,P. Mills misses 3-pt shot from 25 ft
2:52.0,Defensive rebound by T. Ross,,55-78,,
2:41.0,C. Joseph misses 2-pt shot from 17 ft,,55-78,,
2:41.0,,,55-78,,Defensive rebound by L. Aldridge
2:33.0,,,55-78,,K. Leonard misses 3-pt shot from 26 ft
2:32.0,Defensive rebound by L. Nogueira,,55-78,,
2:21.0,D. DeRozan makes 2-pt shot from 18 ft,2,57-78,,
2:00.0,,,57-81,3,M. Ginobili makes 3-pt shot from 24 ft (assist by L. Aldridge)
1:47.0,Turnover by D. DeRozan (lost ball; steal by K. Leonard),,57-81,,
1:41.0,,,57-83,2,L. Aldridge makes 2-pt shot at rim (assist by P. Mills)
1:41.0,Toronto full timeout,,57-83,,
1:41.0,P. Siakam enters the game for L. Nogueira,,57-83,,
1:41.0,,,57-83,,J. Simmons enters the game for K. Leonard
1:41.0,,,57-83,,D. Lee enters the game for L. Aldridge
1:20.0,Shooting foul by D. Dedmon (drawn by J. Poeltl),,57-83,,
1:20.0,J. Poeltl misses free throw 1 of 2,,57-83,,
1:20.0,Offensive rebound by Team,,57-83,,
1:20.0,J. Poeltl makes free throw 2 of 2,1,58-83,,
1:01.0,,,58-83,,Turnover by J. Simmons (lost ball; steal by J. Poeltl)
0:54.0,C. Joseph misses 2-pt shot from 1 ft,,58-83,,
0:52.0,,,58-83,,Defensive rebound by D. Dedmon
0:43.0,,,58-85,2,D. Lee makes 2-pt shot from 1 ft (assist by M. Ginobili)
0:33.0,Turnover by D. DeRozan (bad pass; steal by P. Mills),,58-85,,
0:25.0,,,58-88,3,P. Mills makes 3-pt shot from 24 ft (assist by J. Simmons)
0:01.0,Turnover by Team (shot clock),,58-88,,
0:00.0,End of 3rd quarter,,,,End of 3rd quarter
12:00.0,Start of 4th quarter,,,,Start of 4th quarter
11:36.0,,,58-88,,J. Simmons misses 3-pt shot from 24 ft
11:36.0,,,58-88,,Offensive rebound by D. Lee
11:18.0,,,58-88,,D. Green misses 3-pt shot from 25 ft
11:17.0,,,58-88,,Offensive rebound by Team
11:02.0,,,58-88,,Turnover by P. Mills (bad pass; steal by T. Ross)
10:58.0,Shooting foul by J. Simmons (drawn by T. Ross),,58-88,,
10:58.0,T. Ross misses free throw 1 of 2,,58-88,,
10:58.0,Offensive rebound by Team,,58-88,,
10:58.0,T. Ross makes free throw 2 of 2,1,59-88,,
10:35.0,,,59-88,,D. Green misses 2-pt shot from 13 ft
10:34.0,,,59-88,,Offensive rebound by D. Dedmon
10:22.0,Personal foul by K. Lowry (drawn by D. Green),,59-88,,
10:16.0,,,59-88,,J. Simmons misses 2-pt shot from 1 ft
10:15.0,,,59-88,,Offensive rebound by D. Lee
10:13.0,,,59-90,2,D. Lee makes 2-pt shot from 1 ft
9:51.0,C. Joseph misses 2-pt shot from 9 ft,,59-90,,
9:49.0,,,59-90,,Defensive rebound by D. Lee
9:45.0,,,59-92,2,J. Simmons makes 2-pt shot from 1 ft (assist by P. Mills)
9:22.0,T. Ross makes 2-pt shot from 19 ft,2,61-92,,
9:04.0,,,61-94,2,J. Simmons makes 2-pt shot from 1 ft
8:43.0,K. Lowry makes 2-pt shot from 1 ft,2,63-94,,
8:43.0,,,63-94,,San Antonio full timeout
8:25.0,,,63-97,3,D. Green makes 3-pt shot from 25 ft (assist by P. Mills)
8:03.0,Shooting foul by D. Dedmon (drawn by C. Joseph),,63-97,,
8:03.0,C. Joseph makes free throw 1 of 2,1,64-97,,
8:03.0,C. Joseph makes free throw 2 of 2,1,65-97,,
8:03.0,,,64-97,,D. Bertans enters the game for D. Dedmon
8:03.0,N. Powell enters the game for K. Lowry,,64-97,,
8:03.0,,,64-97,,D. Murray enters the game for P. Mills
7:50.0,,,65-97,,Turnover by D. Murray (lost ball; steal by C. Joseph)
7:43.0,C. Joseph misses 2-pt shot at rim (block by D. Murray),,65-97,,
7:41.0,,,65-97,,Defensive rebound by D. Bertans
7:41.0,,,65-97,,Turnover by D. Murray (lost ball)
7:41.0,,,65-97,,K. Anderson enters the game for D. Green
7:27.0,T. Ross makes 2-pt shot from 1 ft (assist by C. Joseph),2,67-97,,
7:16.0,,,67-97,,Turnover by D. Bertans (traveling)
7:01.0,T. Ross makes 3-pt shot from 26 ft (assist by N. Powell),3,70-97,,
6:47.0,,,70-99,2,D. Lee makes 2-pt shot at rim (assist by D. Bertans)
6:31.0,T. Ross makes 2-pt shot from 11 ft (assist by C. Joseph),2,72-99,,
6:14.0,,,72-101,2,D. Lee makes 2-pt shot from 1 ft (assist by J. Simmons)
5:59.0,Shooting foul by D. Murray (drawn by C. Joseph),,72-101,,
5:59.0,Official timeout,,72-101,,
5:59.0,C. Joseph misses free throw 1 of 2,,72-101,,
5:59.0,Offensive rebound by Team,,72-101,,
5:59.0,C. Joseph makes free throw 2 of 2,1,73-101,,
5:46.0,,,73-101,,Turnover by D. Murray (bad pass)
5:46.0,,,73-101,,D. Dedmon enters the game for D. Lee
5:27.0,N. Powell misses 3-pt shot from 24 ft,,73-101,,
5:26.0,Offensive rebound by J. Poeltl,,73-101,,
5:13.0,C. Joseph makes 2-pt shot from 1 ft,2,75-101,,
4:59.0,,,75-101,,D. Murray misses 3-pt shot from 23 ft
4:58.0,Defensive rebound by N. Powell,,75-101,,
4:53.0,Shooting foul by K. Anderson (drawn by N. Powell),,75-101,,
4:53.0,N. Powell makes free throw 1 of 2,1,76-101,,
4:53.0,N. Powell makes free throw 2 of 2,1,77-101,,
4:53.0,F. VanVleet enters the game for T. Ross,,76-101,,
4:34.0,,,77-103,2,D. Murray makes 2-pt shot from 7 ft (assist by K. Anderson)
4:16.0,N. Powell misses 2-pt shot from 21 ft,,77-103,,
4:15.0,,,77-103,,Defensive rebound by D. Bertans
4:03.0,,,77-103,,Turnover by D. Murray (step out of bounds)
3:50.0,C. Joseph misses 3-pt shot from 25 ft,,77-103,,
3:49.0,,,77-103,,Defensive rebound by D. Murray
3:37.0,,,77-106,3,D. Bertans makes 3-pt shot from 25 ft (assist by K. Anderson)
3:15.0,,,77-106,,Violation by D. Dedmon (def goaltending)
3:15.0,F. VanVleet makes 2-pt shot from 12 ft,2,79-106,,
3:15.0,,,79-106,,Technical foul by D. Dedmon
3:15.0,C. Joseph makes technical free throw,1,80-106,,
3:02.0,,,80-106,,Turnover by J. Simmons (bad pass; steal by F. VanVleet)
2:57.0,N. Powell misses 2-pt shot from 2 ft (block by D. Bertans),,80-106,,
2:55.0,,,80-106,,Defensive rebound by J. Simmons
2:52.0,,,80-106,,Turnover by K. Anderson (offensive foul)
2:52.0,,,80-106,,Offensive foul by K. Anderson
2:52.0,Toronto full timeout,,80-106,,
2:41.0,B. Caboclo enters the game for C. Joseph,,80-106,,
2:31.0,Turnover by N. Powell (bad pass),,80-106,,
2:16.0,,,80-106,,J. Simmons misses 3-pt shot from 25 ft
2:15.0,Defensive rebound by P. Siakam,,80-106,,
2:04.0,P. Siakam misses 2-pt shot from 17 ft,,80-106,,
2:00.0,Offensive rebound by J. Poeltl,,80-106,,
2:00.0,J. Poeltl misses 2-pt shot from 2 ft,,80-106,,
1:59.0,,,80-106,,Defensive rebound by J. Simmons
1:52.0,,,80-108,2,D. Bertans makes 2-pt shot from 1 ft (assist by J. Simmons)
1:34.0,F. VanVleet misses 2-pt shot from 8 ft (block by D. Murray),,80-108,,
1:33.0,,,80-108,,Defensive rebound by K. Anderson
