time,Oklahoma City,pts.away,score,pts.home,Portland
4:21.0,R. Westbrook makes technical free throw,1,13-22,,
4:14.0,Turnover by T. Gibson (traveling),,13-22,,
4:01.0,,,13-22,,Turnover by N. Vonleh (lost ball; steal by A. Roberson)
3:46.0,Turnover by E. Kanter (lost ball; steal by J. Nurkic),,13-22,,
3:25.0,,,13-22,,M. Harkless misses 2-pt shot from 9 ft (block by A. Roberson)
3:23.0,Defensive rebound by R. Westbrook,,13-22,,
3:18.0,R. Westbrook misses 2-pt shot from 19 ft,,13-22,,
3:16.0,,,13-22,,Defensive rebound by N. Vonleh
3:06.0,,,13-22,,N. Vonleh misses 2-pt shot from 21 ft
3:05.0,Defensive rebound by R. Westbrook,,13-22,,
2:57.0,A. Roberson misses 3-pt shot from 25 ft,,13-22,,
2:56.0,,,13-22,,Defensive rebound by D. Lillard
2:48.0,,,13-22,,A. Crabbe misses 3-pt shot from 26 ft
2:47.0,Defensive rebound by A. Roberson,,13-22,,
2:41.0,R. Westbrook makes 3-pt shot from 26 ft,3,16-22,,
2:39.0,,,16-22,,Portland full timeout
2:39.0,,,16-22,,P. Connaughton enters the game for M. Harkless
2:39.0,,,16-22,,A. Aminu enters the game for N. Vonleh
2:26.0,,,16-22,,Turnover by A. Crabbe (lost ball; steal by E. Kanter)
2:22.0,R. Westbrook makes 2-pt shot from 1 ft,2,18-22,,
2:02.0,,,18-22,,A. Aminu misses 2-pt shot from 2 ft
2:01.0,Defensive rebound by E. Kanter,,18-22,,
1:49.0,D. McDermott misses 3-pt shot from 26 ft,,18-22,,
1:49.0,,,18-22,,Defensive rebound by A. Aminu
1:36.0,,,18-24,2,D. Lillard makes 2-pt shot from 2 ft
1:20.0,Shooting foul by J. Nurkic (drawn by E. Kanter),,18-24,,
1:20.0,E. Kanter makes free throw 1 of 2,1,19-24,,
1:20.0,E. Kanter makes free throw 2 of 2,1,20-24,,
1:20.0,,,19-24,,M. Leonard enters the game for J. Nurkic
1:20.0,,,19-24,,S. Napier enters the game for P. Connaughton
1:20.0,,,19-24,,C. McCollum enters the game for D. Lillard
1:20.0,N. Cole enters the game for R. Westbrook,,19-24,,
1:20.0,J. Grant enters the game for A. Roberson,,19-24,,
1:03.0,,,20-24,,Shooting foul by D. McDermott (drawn by S. Napier)
1:03.0,,,20-26,2,S. Napier makes 2-pt shot from 2 ft (assist by M. Leonard)
1:03.0,,,20-26,,S. Napier misses free throw 1 of 1
1:02.0,Defensive rebound by E. Kanter,,20-26,,
0:51.0,E. Kanter makes 2-pt shot from 1 ft,2,22-26,,
0:30.0,,,22-26,,C. McCollum misses 3-pt shot from 26 ft
0:30.0,Defensive rebound by Team,,22-26,,
0:18.0,N. Cole misses 2-pt shot from 19 ft,,22-26,,
0:18.0,Offensive rebound by T. Gibson,,22-26,,
0:18.0,T. Gibson makes 2-pt shot at rim,2,24-26,,
0:00.0,,,24-26,,C. McCollum misses 2-pt shot from 12 ft
0:00.0,,,24-26,,Offensive rebound by Team
0:00.0,End of 1st quarter,,,,End of 1st quarter
12:00.0,Start of 2nd quarter,,,,Start of 2nd quarter
11:37.0,,,24-26,,Turnover by M. Leonard (lost ball)
11:17.0,N. Cole makes 3-pt shot from 26 ft (assist by D. McDermott),3,27-26,,
10:52.0,,,27-28,2,C. McCollum makes 2-pt shot from 8 ft
10:40.0,D. McDermott makes 2-pt shot from 2 ft (assist by N. Cole),2,29-28,,
10:28.0,,,29-28,,C. McCollum misses 2-pt shot from 13 ft
10:27.0,Defensive rebound by E. Kanter,,29-28,,
10:18.0,T. Gibson misses 2-pt shot from 1 ft,,29-28,,
10:17.0,,,29-28,,Defensive rebound by A. Aminu
10:00.0,,,29-28,,C. McCollum misses 3-pt shot from 26 ft
10:00.0,Defensive rebound by N. Cole,,29-28,,
9:55.0,Shooting foul by S. Napier (drawn by N. Cole),,29-28,,
9:55.0,N. Cole makes free throw 1 of 2,1,30-28,,
9:55.0,N. Cole makes free throw 2 of 2,1,31-28,,
9:38.0,,,31-31,3,M. Leonard makes 3-pt shot from 26 ft (assist by C. McCollum)
9:21.0,Turnover by E. Kanter (bad pass; steal by A. Aminu),,31-31,,
9:08.0,,,31-34,3,C. McCollum makes 3-pt shot from 29 ft (assist by M. Leonard)
8:50.0,Shooting foul by M. Leonard (drawn by E. Kanter),,31-34,,
8:50.0,Official timeout,,31-34,,
8:50.0,E. Kanter makes free throw 1 of 2,1,32-34,,
8:50.0,E. Kanter misses free throw 2 of 2,,32-34,,
8:50.0,,,32-34,,Defensive rebound by A. Aminu
8:50.0,S. Adams enters the game for T. Gibson,,31-34,,
8:31.0,,,32-37,3,A. Crabbe makes 3-pt shot from 24 ft (assist by S. Napier)
8:16.0,,,32-37,,Personal foul by C. McCollum (drawn by D. McDermott)
8:16.0,R. Westbrook enters the game for N. Cole,,32-37,,
8:16.0,,,32-37,,D. Lillard enters the game for C. McCollum
8:07.0,Turnover by R. Westbrook (lost ball; steal by S. Napier),,32-37,,
7:59.0,,,32-37,,Shooting foul by J. Grant (drawn by A. Aminu)
7:59.0,,,32-37,,A. Aminu misses free throw 1 of 2
7:59.0,,,32-37,,Offensive rebound by Team
7:59.0,,,32-38,1,A. Aminu makes free throw 2 of 2
7:45.0,Technical foul by S. Adams,,32-38,,
7:45.0,,,32-38,,D. Lillard misses technical free throw
7:45.0,Offensive rebound by Team,,32-38,,
7:42.0,Shooting foul by M. Leonard (drawn by R. Westbrook),,32-38,,
7:42.0,,,32-38,,Technical foul by M. Leonard (drawn by R. Westbrook)
7:42.0,R. Westbrook makes technical free throw,1,33-38,,
7:42.0,R. Westbrook makes free throw 1 of 2,1,34-38,,
7:42.0,R. Westbrook makes free throw 2 of 2,1,35-38,,
7:42.0,,,34-38,,M. Harkless enters the game for S. Napier
7:23.0,,,35-38,,Turnover by M. Leonard (lost ball; steal by J. Grant)
7:12.0,Shooting foul by M. Harkless (drawn by J. Grant),,35-38,,
7:12.0,J. Grant misses free throw 1 of 2,,35-38,,
7:12.0,Offensive rebound by Team,,35-38,,
7:12.0,J. Grant makes free throw 2 of 2,1,36-38,,
7:12.0,,,35-38,,J. Nurkic enters the game for M. Leonard
6:54.0,,,36-38,,A. Crabbe misses 2-pt shot from 20 ft
6:54.0,Defensive rebound by E. Kanter,,36-38,,
6:48.0,E. Kanter misses 2-pt shot from 2 ft (block by A. Aminu),,36-38,,
6:46.0,Offensive rebound by Team,,36-38,,
6:32.0,R. Westbrook makes 3-pt shot from 26 ft,3,39-38,,
6:29.0,,,39-38,,Portland full timeout
6:29.0,T. Gibson enters the game for E. Kanter,,39-38,,
6:17.0,,,39-41,3,A. Crabbe makes 3-pt shot from 23 ft (assist by J. Nurkic)
6:01.0,D. McDermott makes 2-pt shot from 20 ft (assist by R. Westbrook),2,41-41,,
5:39.0,,,41-41,,J. Nurkic misses 2-pt shot from 2 ft (block by T. Gibson)
5:37.0,Defensive rebound by S. Adams,,41-41,,
5:34.0,R. Westbrook misses 2-pt shot from 15 ft,,41-41,,
5:33.0,Offensive rebound by J. Grant,,41-41,,
5:23.0,Turnover by S. Adams (bad pass; steal by A. Aminu),,41-41,,
5:15.0,,,41-43,2,D. Lillard makes 2-pt shot from 5 ft
5:11.0,Shooting foul by A. Crabbe (drawn by R. Westbrook),,41-43,,
5:11.0,R. Westbrook makes free throw 1 of 2,1,42-43,,
5:11.0,R. Westbrook makes free throw 2 of 2,1,43-43,,
5:11.0,,,42-43,,C. McCollum enters the game for A. Crabbe
4:59.0,,,43-43,,D. Lillard misses 3-pt shot from 27 ft
4:58.0,Defensive rebound by R. Westbrook,,43-43,,
4:48.0,T. Gibson misses 2-pt shot from 20 ft,,43-43,,
4:47.0,,,43-43,,Defensive rebound by J. Nurkic
4:35.0,,,43-45,2,A. Aminu makes 2-pt shot from 3 ft (assist by C. McCollum)
4:21.0,R. Westbrook misses 3-pt shot from 27 ft,,43-45,,
4:19.0,,,43-45,,Defensive rebound by C. McCollum
4:11.0,,,43-47,2,C. McCollum makes 2-pt shot at rim
4:05.0,Oklahoma City full timeout,,43-47,,
4:05.0,A. Roberson enters the game for D. McDermott,,43-47,,
3:56.0,R. Westbrook misses 2-pt shot from 2 ft (block by J. Nurkic),,43-47,,
3:55.0,,,43-47,,Defensive rebound by J. Nurkic
3:40.0,,,43-47,,Shooting foul by T. Gibson (drawn by J. Nurkic)
3:40.0,,,43-48,1,J. Nurkic makes free throw 1 of 2
3:40.0,,,43-49,1,J. Nurkic makes free throw 2 of 2
3:40.0,D. McDermott enters the game for J. Grant,,43-48,,
3:20.0,T. Gibson makes 2-pt shot from 1 ft,2,45-49,,
2:59.0,,,45-52,3,A. Aminu makes 3-pt shot from 25 ft (assist by C. McCollum)
2:30.0,D. McDermott makes 3-pt shot from 25 ft (assist by A. Roberson),3,48-52,,
2:18.0,,,48-54,2,D. Lillard makes 2-pt shot from 1 ft
1:57.0,R. Westbrook misses 2-pt shot from 2 ft,,48-54,,
1:56.0,,,48-54,,Defensive rebound by J. Nurkic
1:49.0,,,48-54,,C. McCollum misses 2-pt shot from 13 ft
1:49.0,,,48-54,,Offensive rebound by M. Harkless
1:47.0,,,48-54,,M. Harkless misses 2-pt shot from 1 ft
1:46.0,Defensive rebound by T. Gibson,,48-54,,
1:39.0,Turnover by R. Westbrook (bad pass; steal by A. Aminu),,48-54,,
1:34.0,,,48-57,3,C. McCollum makes 3-pt shot from 27 ft (assist by A. Aminu)
1:34.0,Oklahoma City full timeout,,48-57,,
1:34.0,E. Kanter enters the game for S. Adams,,48-57,,
1:17.0,R. Westbrook makes 3-pt shot from 24 ft (assist by T. Gibson),3,51-57,,
1:00.0,,,51-57,,J. Nurkic misses 2-pt shot from 19 ft
0:59.0,Defensive rebound by E. Kanter,,51-57,,
0:38.0,E. Kanter misses 2-pt shot from 15 ft,,51-57,,
0:36.0,Offensive rebound by A. Roberson,,51-57,,
0:30.0,R. Westbrook makes 3-pt shot from 26 ft,3,54-57,,
0:13.0,,,54-57,,A. Aminu misses 3-pt shot from 23 ft
0:13.0,Defensive rebound by D. McDermott,,54-57,,
0:03.0,Shooting foul by D. Lillard (drawn by R. Westbrook),,54-57,,
0:03.0,R. Westbrook makes free throw 1 of 3,1,55-57,,
0:03.0,R. Westbrook makes free throw 2 of 3,1,56-57,,
0:03.0,R. Westbrook makes free throw 3 of 3,1,57-57,,
0:03.0,,,57-57,,Portland full timeout
0:03.0,N. Cole enters the game for D. McDermott,,56-57,,
0:03.0,J. Grant enters the game for E. Kanter,,56-57,,
0:03.0,,,57-57,,P. Connaughton enters the game for M. Harkless
0:03.0,,,57-57,,A. Crabbe enters the game for A. Aminu
0:02.0,,,57-57,,Turnover by P. Connaughton (bad pass; steal by T. Gibson)
0:02.0,T. Gibson makes 3-pt shot from 61 ft,3,60-57,,
0:00.0,End of 2nd quarter,,,,End of 2nd quarter
12:00.0,Start of 3rd quarter,,,,Start of 3rd quarter
11:48.0,,,60-57,,Shooting foul by A. Abrines (drawn by M. Harkless)
11:48.0,,,60-57,,M. Harkless misses free throw 1 of 2
11:48.0,,,60-57,,Offensive rebound by Team
11:48.0,,,60-58,1,M. Harkless makes free throw 2 of 2
11:37.0,R. Westbrook makes 3-pt shot from 25 ft,3,63-58,,
11:24.0,,,63-58,,M. Harkless misses 2-pt shot from 3 ft
11:23.0,,,63-58,,Offensive rebound by N. Vonleh
11:13.0,,,63-58,,D. Lillard misses 2-pt shot from 1 ft
11:11.0,,,63-58,,Offensive rebound by J. Nurkic
11:11.0,,,63-60,2,J. Nurkic makes 2-pt shot from 1 ft
11:11.0,Turnover by R. Westbrook (bad pass),,63-60,,
10:59.0,,,63-63,3,D. Lillard makes 3-pt shot from 22 ft (assist by J. Nurkic)
10:45.0,R. Westbrook makes 3-pt shot from 26 ft,3,66-63,,
10:29.0,,,66-66,3,D. Lillard makes 3-pt shot from 26 ft
10:13.0,S. Adams misses 2-pt shot from 10 ft,,66-66,,
10:12.0,,,66-66,,Defensive rebound by C. McCollum
9:59.0,,,66-69,3,M. Harkless makes 3-pt shot from 26 ft (assist by D. Lillard)
9:43.0,R. Westbrook misses 2-pt shot from 14 ft,,66-69,,
9:41.0,,,66-69,,Defensive rebound by M. Harkless
9:29.0,D. McDermott enters the game for A. Abrines,,66-69,,
9:18.0,,,66-69,,N. Vonleh misses 2-pt shot from 2 ft
9:17.0,Defensive rebound by S. Adams,,66-69,,
9:08.0,R. Westbrook misses 3-pt shot from 27 ft,,66-69,,
9:08.0,Offensive rebound by S. Adams,,66-69,,
9:05.0,Oklahoma City full timeout,,66-69,,
8:59.0,R. Westbrook misses 2-pt shot from 2 ft,,66-69,,
8:59.0,,,66-69,,Defensive rebound by Team
8:33.0,,,66-69,,M. Harkless misses 3-pt shot from 24 ft
8:33.0,Defensive rebound by S. Adams,,66-69,,
8:22.0,D. McDermott makes 2-pt shot at rim (assist by D. Sabonis),2,68-69,,
8:04.0,Personal foul by S. Adams (drawn by J. Nurkic),,68-69,,
7:53.0,Personal foul by A. Roberson (drawn by J. Nurkic),,68-69,,
7:45.0,,,68-69,,D. Lillard misses 3-pt shot from 26 ft
7:44.0,Defensive rebound by R. Westbrook,,68-69,,
7:37.0,Turnover by S. Adams (lost ball; steal by D. Lillard),,68-69,,
7:29.0,,,68-69,,Shooting foul by S. Adams (drawn by M. Harkless)
7:29.0,,,68-70,1,M. Harkless makes free throw 1 of 2
7:29.0,,,68-71,1,M. Harkless makes free throw 2 of 2
7:20.0,R. Westbrook makes 2-pt shot from 2 ft,2,70-71,,
7:00.0,,,70-71,,C. McCollum misses 2-pt shot from 21 ft
6:57.0,Defensive rebound by D. McDermott,,70-71,,
6:54.0,R. Westbrook makes 2-pt shot from 1 ft,2,72-71,,
6:54.0,Shooting foul by M. Harkless (drawn by R. Westbrook),,72-71,,
6:54.0,R. Westbrook makes free throw 1 of 1,1,73-71,,
6:34.0,,,73-71,,J. Nurkic misses 2-pt shot from 11 ft
6:33.0,,,73-71,,Offensive rebound by Team
6:33.0,E. Kanter enters the game for D. Sabonis,,73-71,,
6:33.0,T. Gibson enters the game for S. Adams,,73-71,,
6:28.0,,,73-71,,Turnover by J. Nurkic (lost ball; steal by T. Gibson)
6:10.0,R. Westbrook misses 3-pt shot from 28 ft,,73-71,,
6:10.0,Offensive rebound by E. Kanter,,73-71,,
6:07.0,E. Kanter misses 2-pt shot from 1 ft (block by J. Nurkic),,73-71,,
6:05.0,,,73-71,,Defensive rebound by J. Nurkic
5:57.0,,,73-71,,D. Lillard misses 3-pt shot from 25 ft
5:56.0,Defensive rebound by E. Kanter,,73-71,,
5:41.0,D. McDermott misses 2-pt shot from 17 ft,,73-71,,
5:37.0,,,73-71,,Defensive rebound by N. Vonleh
5:28.0,,,73-71,,C. McCollum misses 2-pt shot from 12 ft (block by A. Roberson)
5:26.0,Defensive rebound by A. Roberson,,73-71,,
5:20.0,E. Kanter misses 2-pt shot from 1 ft (block by J. Nurkic),,73-71,,
5:18.0,,,73-71,,Defensive rebound by C. McCollum
5:07.0,Personal foul by E. Kanter (drawn by J. Nurkic),,73-71,,
5:07.0,,,73-71,,J. Nurkic misses free throw 1 of 2
5:07.0,,,73-71,,Offensive rebound by Team
5:07.0,,,73-72,1,J. Nurkic makes free throw 2 of 2
5:07.0,,,73-71,,A. Crabbe enters the game for N. Vonleh
5:07.0,,,73-71,,A. Aminu enters the game for C. McCollum
4:55.0,D. McDermott misses 3-pt shot from 26 ft,,73-72,,
4:54.0,,,73-72,,Defensive rebound by D. Lillard
4:41.0,,,73-74,2,D. Lillard makes 2-pt shot from 2 ft
4:24.0,E. Kanter misses 2-pt shot from 12 ft,,73-74,,
4:22.0,Offensive rebound by D. McDermott,,73-74,,
4:16.0,R. Westbrook misses 3-pt shot from 27 ft,,73-74,,
4:15.0,Offensive rebound by R. Westbrook,,73-74,,
4:10.0,Shooting foul by M. Harkless (drawn by R. Westbrook),,73-74,,
4:10.0,R. Westbrook makes free throw 1 of 2,1,74-74,,
4:10.0,R. Westbrook makes free throw 2 of 2,1,75-74,,
4:10.0,,,74-74,,M. Leonard enters the game for J. Nurkic
3:55.0,Jump ball: T. Gibson vs. D. Lillard (A. Aminu gains possession),,,,Jump ball: T. Gibson vs. D. Lillard (A. Aminu gains possession)
3:46.0,,,75-74,,D. Lillard misses 2-pt shot from 1 ft (block by R. Westbrook)
3:46.0,,,75-74,,Offensive rebound by Team
3:33.0,,,75-74,,A. Crabbe misses 2-pt shot from 15 ft
3:32.0,Defensive rebound by T. Gibson,,75-74,,
3:28.0,R. Westbrook misses 2-pt shot from 17 ft,,75-74,,
3:25.0,Offensive rebound by E. Kanter,,75-74,,
3:25.0,E. Kanter makes 2-pt shot at rim,2,77-74,,
3:13.0,Personal foul by E. Kanter (drawn by M. Leonard),,77-74,,
3:13.0,Violation by Team (jump ball),,77-74,,
3:13.0,,,77-74,,M. Leonard misses free throw 1 of 2
3:13.0,,,77-74,,Offensive rebound by Team
3:13.0,,,77-75,1,M. Leonard makes free throw 2 of 2
2:59.0,Shooting foul by M. Harkless (drawn by T. Gibson),,77-75,,
2:59.0,,,77-75,,Portland full timeout
2:59.0,T. Gibson makes free throw 1 of 2,1,78-75,,
2:59.0,T. Gibson makes free throw 2 of 2,1,79-75,,
2:59.0,,,77-75,,P. Connaughton enters the game for M. Harkless
2:44.0,,,79-77,2,M. Leonard makes 2-pt shot from 5 ft
2:28.0,J. Grant enters the game for A. Roberson,,79-77,,
2:28.0,N. Cole enters the game for R. Westbrook,,79-77,,
2:17.0,T. Gibson misses 2-pt shot from 4 ft (block by M. Leonard),,79-77,,
2:16.0,,,79-77,,Defensive rebound by P. Connaughton
2:09.0,,,79-77,,Shooting foul by E. Kanter (drawn by D. Lillard)
2:09.0,,,79-78,1,D. Lillard makes free throw 1 of 2
2:09.0,,,79-79,1,D. Lillard makes free throw 2 of 2
1:54.0,N. Cole misses 2-pt shot from 19 ft,,79-79,,
1:54.0,,,79-79,,Defensive rebound by D. Lillard
1:36.0,,,79-79,,A. Crabbe misses 3-pt shot from 26 ft
1:36.0,Defensive rebound by E. Kanter,,79-79,,
1:18.0,T. Gibson makes 2-pt shot from 1 ft,2,81-79,,
0:56.0,,,81-79,,D. Lillard misses 3-pt shot from 29 ft
0:56.0,Defensive rebound by D. McDermott,,81-79,,
0:36.0,Shooting foul by M. Leonard (drawn by E. Kanter),,81-79,,
0:36.0,E. Kanter makes free throw 1 of 2,1,82-79,,
0:36.0,E. Kanter makes free throw 2 of 2,1,83-79,,
0:30.0,,,83-81,2,D. Lillard makes 2-pt shot from 20 ft
0:10.0,E. Kanter makes 2-pt shot from 7 ft,2,85-81,,
0:01.0,,,85-81,,D. Lillard misses 2-pt shot from 6 ft
0:01.0,,,85-81,,Offensive rebound by M. Leonard
0:00.0,,,85-81,,M. Leonard misses 3-pt shot from 26 ft
0:00.0,,,85-81,,Offensive rebound by Team
0:00.0,End of 3rd quarter,,,,End of 3rd quarter
12:00.0,Start of 4th quarter,,,,Start of 4th quarter
11:44.0,Shooting foul by J. Nurkic (drawn by J. Grant),,85-81,,
11:44.0,J. Grant makes free throw 1 of 2,1,86-81,,
11:44.0,J. Grant makes free throw 2 of 2,1,87-81,,
11:27.0,,,87-81,,A. Aminu misses 3-pt shot from 24 ft
11:26.0,,,87-81,,Offensive rebound by A. Aminu
11:22.0,,,87-83,2,A. Aminu makes 2-pt shot at rim
11:05.0,Turnover by J. Grant (lost ball; steal by A. Crabbe),,87-83,,
10:49.0,,,87-85,2,C. McCollum makes 2-pt shot from 2 ft (assist by J. Nurkic)
10:35.0,Offensive foul by T. Gibson,,87-85,,
10:35.0,Turnover by T. Gibson (offensive foul),,87-85,,
10:20.0,,,87-85,,Offensive foul by P. Connaughton
10:20.0,,,87-85,,Turnover by P. Connaughton (offensive foul)
10:07.0,N. Cole makes 2-pt shot from 21 ft,2,89-85,,
9:56.0,,,89-87,2,A. Crabbe makes 2-pt shot from 1 ft (assist by J. Nurkic)
9:41.0,N. Cole misses 2-pt shot from 2 ft,,89-87,,
9:40.0,,,89-87,,Defensive rebound by J. Nurkic
9:32.0,,,89-89,2,A. Aminu makes 2-pt shot at rim (assist by C. McCollum)
9:12.0,E. Kanter makes 2-pt shot from 1 ft,2,91-89,,
9:12.0,Shooting foul by J. Nurkic (drawn by E. Kanter),,91-89,,
9:12.0,E. Kanter makes free throw 1 of 1,1,92-89,,
9:02.0,,,92-89,,Turnover by J. Nurkic (bad pass)
9:02.0,A. Abrines enters the game for D. McDermott,,92-89,,
8:46.0,E. Kanter misses 2-pt shot from 5 ft (block by J. Nurkic),,92-89,,
8:44.0,,,92-89,,Defensive rebound by J. Nurkic
8:31.0,,,92-89,,Turnover by J. Nurkic (bad pass; steal by N. Cole)
8:26.0,E. Kanter makes 2-pt shot at rim (assist by N. Cole),2,94-89,,
8:24.0,,,94-89,,Portland full timeout
8:24.0,,,94-89,,M. Harkless enters the game for P. Connaughton
8:24.0,R. Westbrook enters the game for N. Cole,,94-89,,
8:14.0,Personal foul by A. Abrines (drawn by A. Crabbe),,94-89,,
8:04.0,,,94-89,,C. McCollum misses 2-pt shot from 18 ft
8:04.0,Defensive rebound by E. Kanter,,94-89,,
7:48.0,A. Abrines makes 3-pt shot from 25 ft (assist by R. Westbrook),3,97-89,,
7:28.0,,,97-91,2,A. Aminu makes 2-pt shot from 1 ft
7:10.0,E. Kanter makes 2-pt shot from 5 ft,2,99-91,,
6:52.0,,,99-91,,Shooting foul by J. Grant (drawn by A. Crabbe)
6:52.0,,,99-93,2,A. Crabbe makes 2-pt shot from 2 ft
6:52.0,,,99-94,1,A. Crabbe makes free throw 1 of 1
6:52.0,,,99-93,,D. Lillard enters the game for C. McCollum
6:52.0,A. Roberson enters the game for A. Abrines,,99-93,,
6:32.0,R. Westbrook misses 3-pt shot from 29 ft,,99-94,,
6:31.0,,,99-94,,Defensive rebound by M. Harkless
6:17.0,,,99-94,,D. Lillard misses 3-pt shot from 29 ft
6:16.0,Defensive rebound by A. Roberson,,99-94,,
6:15.0,,,99-94,,Personal foul by M. Harkless (drawn by R. Westbrook)
6:15.0,S. Adams enters the game for T. Gibson,,99-94,,
6:01.0,A. Roberson misses 3-pt shot from 25 ft,,99-94,,
6:01.0,,,99-94,,Defensive rebound by J. Nurkic
5:50.0,,,99-94,,Turnover by D. Lillard (bad pass; steal by A. Roberson)
5:41.0,R. Westbrook makes 2-pt shot from 14 ft,2,101-94,,
5:21.0,,,101-96,2,J. Nurkic makes 2-pt shot from 2 ft (assist by D. Lillard)
5:21.0,,,101-96,,Shooting foul by S. Adams (drawn by J. Nurkic)
5:21.0,Official timeout,,101-96,,
5:21.0,,,101-97,1,J. Nurkic makes free throw 1 of 1
5:21.0,D. McDermott enters the game for E. Kanter,,101-96,,
5:11.0,R. Westbrook misses 2-pt shot from 17 ft,,101-97,,
5:10.0,,,101-97,,Defensive rebound by A. Crabbe
5:10.0,Personal foul by S. Adams (drawn by A. Crabbe),,101-97,,
4:49.0,,,101-99,2,J. Nurkic makes 2-pt shot from 1 ft (assist by D. Lillard)
4:32.0,R. Westbrook misses 2-pt shot from 18 ft,,101-99,,
