time,Brooklyn,pts.away,score,pts.home,Memphis
8:12.0,,,9-3,,J. Green enters the game for B. Wright
8:02.0,,,10-5,2,C. Parsons makes 2-pt shot from 2 ft (assist by M. Conley)
7:51.0,C. LeVert makes 3-pt shot from 25 ft (assist by B. Lopez),3,13-5,,
7:29.0,,,13-8,3,M. Conley makes 3-pt shot from 23 ft (assist by C. Parsons)
7:13.0,R. Hollis-Jefferson misses 2-pt shot at rim,,13-8,,
7:12.0,,,13-8,,Defensive rebound by J. Green
7:00.0,,,13-8,,Turnover by A. Harrison (bad pass)
7:00.0,T. Booker enters the game for R. Hollis-Jefferson,,13-8,,
6:46.0,C. LeVert makes 2-pt shot from 3 ft,2,15-8,,
6:46.0,Shooting foul by C. Parsons (drawn by C. LeVert),,15-8,,
6:46.0,C. LeVert misses free throw 1 of 1,,15-8,,
6:43.0,Offensive rebound by C. LeVert,,15-8,,
6:38.0,B. Lopez misses 2-pt shot from 11 ft,,15-8,,
6:35.0,,,15-8,,Defensive rebound by C. Parsons
6:21.0,,,15-11,3,C. Parsons makes 3-pt shot from 25 ft (assist by M. Gasol)
6:09.0,J. Lin misses 3-pt shot from 24 ft,,15-11,,
6:08.0,,,15-11,,Defensive rebound by M. Gasol
5:50.0,,,15-14,3,J. Green makes 3-pt shot from 23 ft (assist by A. Harrison)
5:49.0,Brooklyn full timeout,,15-14,,
5:49.0,S. Dinwiddie enters the game for C. LeVert,,15-14,,
5:49.0,S. Kilpatrick enters the game for J. Lin,,15-14,,
5:38.0,S. Dinwiddie misses 2-pt shot from 12 ft,,15-14,,
5:35.0,,,15-14,,Defensive rebound by M. Gasol
5:35.0,,,15-14,,Shooting foul by S. Kilpatrick (drawn by C. Parsons)
5:35.0,,,15-15,1,C. Parsons makes free throw 1 of 2
5:35.0,,,15-16,1,C. Parsons makes free throw 2 of 2
5:35.0,,,15-15,,T. Douglas enters the game for M. Conley
5:19.0,B. Lopez makes 2-pt shot at rim,2,17-16,,
5:06.0,,,17-18,2,M. Gasol makes 2-pt shot from 12 ft
4:55.0,R. Foye makes 3-pt shot from 25 ft (assist by T. Booker),3,20-18,,
4:43.0,,,20-21,3,M. Gasol makes 3-pt shot from 24 ft (assist by T. Douglas)
4:30.0,S. Kilpatrick misses 2-pt shot from 20 ft,,20-21,,
4:30.0,,,20-21,,Defensive rebound by J. Green
4:21.0,,,20-24,3,M. Gasol makes 3-pt shot from 27 ft (assist by C. Parsons)
4:06.0,S. Kilpatrick makes 3-pt shot from 25 ft (assist by S. Dinwiddie),3,23-24,,
3:47.0,,,23-24,,Turnover by T. Douglas (bad pass; steal by R. Foye)
3:38.0,T. Booker misses 2-pt shot from 7 ft,,23-24,,
3:36.0,,,23-24,,Defensive rebound by J. Green
3:20.0,,,23-24,,Turnover by A. Harrison (bad pass; steal by R. Foye)
3:15.0,R. Foye makes 3-pt shot from 26 ft,3,26-24,,
3:15.0,,,26-24,,Memphis full timeout
3:15.0,,,26-24,,Z. Randolph enters the game for C. Parsons
3:15.0,,,26-24,,V. Carter enters the game for M. Gasol
3:15.0,,,26-24,,M. Conley enters the game for A. Harrison
3:15.0,Q. Acy enters the game for B. Lopez,,26-24,,
3:15.0,I. Whitehead enters the game for R. Foye,,26-24,,
3:02.0,,,26-24,,Turnover by V. Carter (bad pass)
3:02.0,,,26-24,,Loose ball foul by T. Douglas (drawn by S. Dinwiddie)
2:38.0,S. Dinwiddie misses 2-pt shot from 4 ft,,26-24,,
2:37.0,,,26-24,,Defensive rebound by Z. Randolph
2:22.0,,,26-24,,Turnover by Z. Randolph (lost ball; steal by I. Whitehead)
2:18.0,Shooting foul by V. Carter (drawn by S. Kilpatrick),,26-24,,
2:18.0,S. Kilpatrick makes free throw 1 of 2,1,27-24,,
2:18.0,S. Kilpatrick makes free throw 2 of 2,1,28-24,,
2:08.0,,,28-24,,Z. Randolph misses 2-pt shot from 19 ft
2:06.0,,,28-24,,Offensive rebound by J. Green
2:02.0,,,28-27,3,M. Conley makes 3-pt shot from 25 ft (assist by T. Douglas)
1:45.0,I. Whitehead misses 3-pt shot from 23 ft,,28-27,,
1:44.0,,,28-27,,Defensive rebound by Z. Randolph
1:39.0,,,28-27,,Shooting foul by Q. Acy (drawn by M. Conley)
1:39.0,,,28-27,,M. Conley misses free throw 1 of 2
1:39.0,,,28-27,,Offensive rebound by Team
1:39.0,,,28-28,1,M. Conley makes free throw 2 of 2
1:25.0,Q. Acy makes 3-pt shot from 24 ft (assist by I. Whitehead),3,31-28,,
1:08.0,,,31-30,2,T. Douglas makes 2-pt shot from 3 ft (assist by Z. Randolph)
0:50.0,S. Dinwiddie makes 3-pt shot from 27 ft (assist by S. Kilpatrick),3,34-30,,
0:34.0,,,34-32,2,Z. Randolph makes 2-pt shot from 13 ft
0:23.0,Q. Acy makes 2-pt shot from 3 ft,2,36-32,,
0:00.0,,,36-34,2,M. Conley makes 2-pt shot from 10 ft
0:00.0,End of 1st quarter,,,,End of 1st quarter
12:00.0,Start of 2nd quarter,,,,Start of 2nd quarter
11:52.0,Personal foul by Q. Acy (drawn by Z. Randolph),,36-34,,
11:46.0,,,36-34,,V. Carter misses 3-pt shot from 24 ft
11:46.0,Defensive rebound by S. Dinwiddie,,36-34,,
11:34.0,Q. Acy misses 3-pt shot from 25 ft,,36-34,,
11:34.0,,,36-34,,Defensive rebound by J. Green
11:18.0,,,36-34,,J. Green misses 2-pt shot from 2 ft (block by S. Dinwiddie)
11:18.0,,,36-34,,Offensive rebound by Team
11:15.0,,,36-34,,J. Green misses 2-pt shot from 3 ft (block by Q. Acy)
11:13.0,,,36-34,,Offensive rebound by Z. Randolph
11:13.0,,,36-36,2,Z. Randolph makes 2-pt shot from 1 ft
11:08.0,Offensive foul by T. Booker,,36-36,,
11:08.0,Turnover by T. Booker (offensive foul),,36-36,,
10:55.0,,,36-38,2,M. Conley makes 2-pt shot from 19 ft (assist by Z. Randolph)
10:35.0,,,36-38,,Personal foul by T. Allen (drawn by Q. Acy)
10:35.0,K. McDaniels enters the game for S. Kilpatrick,,36-38,,
10:33.0,,,36-38,,Personal foul by V. Carter (drawn by S. Dinwiddie)
10:17.0,S. Dinwiddie misses 3-pt shot from 23 ft,,36-38,,
10:16.0,,,36-38,,Defensive rebound by J. Green
9:59.0,,,36-40,2,J. Green makes 2-pt shot from 8 ft
9:39.0,Q. Acy misses 3-pt shot from 25 ft,,36-40,,
9:38.0,Offensive rebound by T. Booker,,36-40,,
9:29.0,K. McDaniels misses 3-pt shot from 24 ft,,36-40,,
9:29.0,,,36-40,,Defensive rebound by M. Conley
9:20.0,,,36-43,3,V. Carter makes 3-pt shot from 24 ft (assist by M. Conley)
9:19.0,Brooklyn full timeout,,36-43,,
9:19.0,B. Lopez enters the game for Q. Acy,,36-43,,
8:59.0,I. Whitehead makes 3-pt shot from 23 ft (assist by K. McDaniels),3,39-43,,
8:42.0,,,39-43,,Z. Randolph misses 2-pt shot from 3 ft (block by I. Whitehead)
8:40.0,Defensive rebound by S. Dinwiddie,,39-43,,
8:40.0,Turnover by T. Booker (traveling),,39-43,,
8:25.0,,,39-43,,Z. Randolph misses 2-pt shot from 13 ft
8:23.0,Defensive rebound by T. Booker,,39-43,,
8:15.0,K. McDaniels misses 2-pt shot from 2 ft,,39-43,,
8:15.0,Offensive rebound by K. McDaniels,,39-43,,
8:12.0,K. McDaniels misses 2-pt shot from 3 ft,,39-43,,
8:11.0,,,39-43,,Defensive rebound by J. Green
8:05.0,,,39-43,,Shooting foul by S. Dinwiddie (drawn by M. Conley)
8:05.0,,,39-44,1,M. Conley makes free throw 1 of 2
8:05.0,,,39-44,,M. Conley misses free throw 2 of 2
8:05.0,,,39-44,,B. Wright enters the game for J. Green
8:05.0,,,39-44,,M. Gasol enters the game for V. Carter
8:05.0,,,39-44,,C. Parsons enters the game for Z. Randolph
8:04.0,Defensive rebound by B. Lopez,,39-44,,
7:50.0,Turnover by B. Lopez (bad pass; steal by T. Allen),,39-44,,
7:32.0,,,39-44,,T. Allen misses 3-pt shot from 24 ft
7:30.0,Defensive rebound by T. Booker,,39-44,,
7:14.0,T. Booker misses 2-pt shot from 1 ft,,39-44,,
7:11.0,Offensive rebound by K. McDaniels,,39-44,,
7:11.0,K. McDaniels makes 2-pt shot from 2 ft,2,41-44,,
6:55.0,,,41-44,,Turnover by T. Allen (bad pass; steal by T. Booker)
6:47.0,,,41-44,,T. Douglas enters the game for M. Conley
6:37.0,T. Booker makes 2-pt shot at rim (assist by S. Dinwiddie),2,43-44,,
6:37.0,,,43-44,,Memphis full timeout
6:37.0,R. Hollis-Jefferson enters the game for T. Booker,,43-44,,
6:12.0,,,43-44,,C. Parsons misses 3-pt shot from 27 ft
6:10.0,,,43-44,,Offensive rebound by T. Allen
5:57.0,,,43-46,2,B. Wright makes 2-pt shot from 4 ft (assist by M. Gasol)
5:42.0,Turnover by I. Whitehead (lost ball; steal by T. Douglas),,43-46,,
5:38.0,,,43-46,,Shooting foul by K. McDaniels (drawn by T. Allen)
5:38.0,,,43-47,1,T. Allen makes free throw 1 of 2
5:38.0,,,43-47,,T. Allen misses free throw 2 of 2
5:38.0,J. Lin enters the game for S. Dinwiddie,,43-47,,
5:38.0,C. LeVert enters the game for K. McDaniels,,43-47,,
5:35.0,Defensive rebound by C. LeVert,,43-47,,
5:27.0,,,43-47,,Personal foul by T. Douglas (drawn by J. Lin)
5:22.0,Turnover by C. LeVert (bad pass; steal by C. Parsons),,43-47,,
5:09.0,,,43-49,2,T. Allen makes 2-pt shot from 1 ft (assist by C. Parsons)
4:59.0,,,43-49,,Personal take foul by T. Allen (drawn by I. Whitehead)
4:48.0,R. Hollis-Jefferson misses 2-pt shot from 2 ft (block by M. Gasol),,43-49,,
4:46.0,,,43-49,,Defensive rebound by T. Allen
4:35.0,,,43-51,2,T. Allen makes 2-pt shot from 1 ft (assist by T. Douglas)
4:11.0,I. Whitehead makes 2-pt shot from 2 ft,2,45-51,,
3:57.0,Personal foul by J. Lin (drawn by T. Douglas),,45-51,,
3:57.0,S. Kilpatrick enters the game for I. Whitehead,,45-51,,
3:45.0,,,45-51,,C. Parsons misses 2-pt shot from 2 ft (block by R. Hollis-Jefferson)
3:44.0,Defensive rebound by B. Lopez,,45-51,,
3:32.0,C. LeVert makes 2-pt shot from 3 ft,2,47-51,,
3:32.0,,,47-51,,Memphis full timeout
3:32.0,,,47-51,,M. Conley enters the game for T. Allen
3:14.0,,,47-53,2,T. Douglas makes 2-pt shot from 8 ft (assist by B. Wright)
2:58.0,B. Lopez makes 2-pt shot from 5 ft,2,49-53,,
2:34.0,,,49-55,2,B. Wright makes 2-pt shot from 1 ft (assist by M. Gasol)
2:26.0,J. Lin makes 3-pt shot from 27 ft,3,52-55,,
2:10.0,,,52-55,,T. Douglas misses 3-pt shot from 25 ft
2:10.0,Defensive rebound by J. Lin,,52-55,,
2:03.0,S. Kilpatrick makes 2-pt shot from 2 ft (assist by J. Lin),2,54-55,,
1:46.0,,,54-55,,Turnover by M. Gasol (bad pass; steal by B. Lopez)
1:40.0,C. LeVert makes 2-pt shot from 2 ft,2,56-55,,
1:25.0,Violation by S. Kilpatrick (kicked ball),,56-55,,
1:25.0,,,56-55,,Memphis full timeout
1:25.0,,,56-55,,V. Carter enters the game for T. Douglas
1:13.0,,,56-55,,M. Gasol misses 2-pt shot from 7 ft
1:11.0,Defensive rebound by R. Hollis-Jefferson,,56-55,,
1:02.0,J. Lin misses 3-pt shot from 23 ft,,56-55,,
1:01.0,,,56-55,,Defensive rebound by M. Gasol
0:50.0,Personal foul by C. LeVert (drawn by M. Gasol),,56-55,,
0:50.0,,,56-55,,M. Gasol misses free throw 1 of 2
0:50.0,,,56-55,,Offensive rebound by Team
0:50.0,,,56-56,1,M. Gasol makes free throw 2 of 2
0:50.0,,,56-55,,T. Allen enters the game for C. Parsons
0:50.0,,,56-55,,J. Green enters the game for B. Wright
0:27.0,Turnover by B. Lopez (3 sec),,56-56,,
0:27.0,,,56-56,,C. Parsons enters the game for J. Green
0:27.0,,,56-56,,T. Daniels enters the game for T. Allen
0:08.0,Personal foul by J. Lin (drawn by M. Gasol),,56-56,,
0:08.0,,,56-57,1,M. Gasol makes free throw 1 of 2
0:08.0,,,56-57,,M. Gasol misses free throw 2 of 2
0:08.0,Defensive rebound by B. Lopez,,56-57,,
0:08.0,Q. Acy enters the game for R. Hollis-Jefferson,,56-57,,
0:08.0,,,56-57,,T. Allen enters the game for T. Daniels
0:00.0,J. Lin misses 3-pt shot from 25 ft (block by M. Gasol),,56-57,,
0:00.0,Offensive rebound by Team,,56-57,,
0:00.0,End of 2nd quarter,,,,End of 2nd quarter
12:00.0,Start of 3rd quarter,,,,Start of 3rd quarter
11:40.0,,,56-57,,Shooting foul by R. Hollis-Jefferson (drawn by C. Parsons)
11:40.0,,,56-58,1,C. Parsons makes free throw 1 of 2
11:40.0,,,56-59,1,C. Parsons makes free throw 2 of 2
11:30.0,R. Foye misses 2-pt shot from 4 ft,,56-59,,
11:27.0,,,56-59,,Defensive rebound by B. Wright
11:18.0,,,56-61,2,M. Conley makes 2-pt shot from 3 ft
11:08.0,,,56-61,,Personal foul by A. Harrison (drawn by R. Foye)
11:01.0,R. Hollis-Jefferson misses 2-pt shot from 7 ft,,56-61,,
10:59.0,,,56-61,,Defensive rebound by M. Gasol
10:51.0,,,56-63,2,B. Wright makes 2-pt shot from 1 ft (assist by M. Conley)
10:51.0,,,56-63,,Shooting foul by C. LeVert (drawn by B. Wright)
10:51.0,,,56-64,1,B. Wright makes free throw 1 of 1
10:35.0,J. Lin makes 3-pt shot from 24 ft (assist by B. Lopez),3,59-64,,
10:16.0,Def 3 sec tech foul by R. Hollis-Jefferson,,59-64,,
10:16.0,,,59-65,1,M. Conley makes technical free throw
10:02.0,,,59-65,,A. Harrison misses 2-pt shot from 11 ft
9:59.0,Defensive rebound by R. Foye,,59-65,,
9:54.0,R. Hollis-Jefferson makes 2-pt shot from 2 ft (assist by R. Foye),2,61-65,,
9:37.0,,,61-65,,Shooting foul by J. Lin (drawn by M. Gasol)
9:37.0,,,61-66,1,M. Gasol makes free throw 1 of 2
9:37.0,,,61-67,1,M. Gasol makes free throw 2 of 2
9:19.0,R. Foye makes 3-pt shot from 25 ft,3,64-67,,
9:02.0,,,64-67,,M. Gasol misses 2-pt shot from 5 ft
8:59.0,Defensive rebound by J. Lin,,64-67,,
8:57.0,Shooting foul by M. Gasol (drawn by J. Lin),,64-67,,
8:57.0,J. Lin misses free throw 1 of 2,,64-67,,
8:57.0,Offensive rebound by Team,,64-67,,
8:57.0,J. Lin makes free throw 2 of 2,1,65-67,,
8:44.0,,,65-70,3,C. Parsons makes 3-pt shot from 26 ft
8:27.0,C. LeVert makes 3-pt shot from 26 ft,3,68-70,,
8:05.0,,,68-70,,C. Parsons misses 2-pt shot from 2 ft
8:03.0,Defensive rebound by J. Lin,,68-70,,
8:01.0,,,68-70,,Shooting block foul by M. Gasol (drawn by C. LeVert)
8:01.0,C. LeVert misses free throw 1 of 2,,68-70,,
8:01.0,Offensive rebound by Team,,68-70,,
8:01.0,C. LeVert misses free throw 2 of 2,,68-70,,
7:58.0,,,68-70,,Defensive rebound by M. Conley
7:47.0,,,68-72,2,B. Wright makes 2-pt shot at rim (assist by M. Conley)
7:40.0,,,68-72,,Violation by M. Gasol (kicked ball)
7:33.0,R. Foye makes 2-pt shot from 3 ft (assist by R. Hollis-Jefferson),2,70-72,,
7:11.0,,,70-72,,Shooting foul by R. Foye (drawn by A. Harrison)
7:11.0,,,70-73,1,A. Harrison makes free throw 1 of 2
7:11.0,,,70-74,1,A. Harrison makes free throw 2 of 2
7:00.0,R. Foye misses 2-pt shot from 2 ft,,70-74,,
6:58.0,,,70-74,,Defensive rebound by M. Conley
6:46.0,,,70-74,,M. Gasol misses 2-pt shot from 3 ft
6:45.0,Defensive rebound by B. Lopez,,70-74,,
6:45.0,,,70-74,,Personal take foul by B. Wright (drawn by B. Lopez)
6:35.0,Turnover by J. Lin (lost ball),,70-74,,
6:28.0,Personal foul by J. Lin (drawn by M. Gasol),,70-74,,
6:28.0,,,70-75,1,M. Gasol makes free throw 1 of 2
6:28.0,,,70-76,1,M. Gasol makes free throw 2 of 2
6:28.0,S. Dinwiddie enters the game for J. Lin,,70-75,,
6:21.0,S. Kilpatrick enters the game for C. LeVert,,70-76,,
6:21.0,,,70-76,,V. Carter enters the game for C. Parsons
6:21.0,Brooklyn full timeout,,70-76,,
6:18.0,R. Hollis-Jefferson makes 2-pt shot from 2 ft (assist by S. Kilpatrick),2,72-76,,
5:59.0,,,72-76,,B. Wright misses 2-pt shot from 3 ft
5:58.0,,,72-76,,Offensive rebound by Team
5:48.0,,,72-78,2,M. Conley makes 2-pt shot from 18 ft
5:22.0,B. Lopez misses 2-pt shot from 14 ft,,72-78,,
5:20.0,,,72-78,,Defensive rebound by B. Wright
5:08.0,,,72-78,,A. Harrison misses 3-pt shot from 24 ft
5:07.0,Defensive rebound by R. Foye,,72-78,,
4:59.0,Turnover by S. Dinwiddie (step out of bounds),,72-78,,
4:59.0,T. Booker enters the game for R. Foye,,72-78,,
4:59.0,I. Whitehead enters the game for R. Hollis-Jefferson,,72-78,,
4:59.0,,,72-78,,T. Douglas enters the game for B. Wright
4:59.0,,,72-78,,J. Green enters the game for A. Harrison
4:47.0,,,72-78,,M. Gasol misses 3-pt shot from 25 ft
4:45.0,Defensive rebound by T. Booker,,72-78,,
4:38.0,Shooting foul by T. Douglas (drawn by S. Kilpatrick),,72-78,,
4:38.0,S. Kilpatrick misses free throw 1 of 2,,72-78,,
4:38.0,Offensive rebound by Team,,72-78,,
4:38.0,S. Kilpatrick makes free throw 2 of 2,1,73-78,,
4:38.0,,,72-78,,Z. Randolph enters the game for M. Gasol
4:38.0,Q. Acy enters the game for B. Lopez,,72-78,,
4:26.0,,,73-80,2,M. Conley makes 2-pt shot from 2 ft (assist by Z. Randolph)
4:18.0,Turnover by S. Dinwiddie (traveling),,73-80,,
3:59.0,,,73-82,2,Z. Randolph makes 2-pt shot from 17 ft (assist by M. Conley)
3:42.0,,,73-82,,Shooting block foul by T. Douglas (drawn by S. Kilpatrick)
3:42.0,S. Kilpatrick makes free throw 1 of 2,1,74-82,,
3:42.0,S. Kilpatrick makes free throw 2 of 2,1,75-82,,
3:24.0,,,75-82,,Shooting foul by Q. Acy (drawn by Z. Randolph)
3:24.0,,,75-83,1,Z. Randolph makes free throw 1 of 2
3:24.0,,,75-84,1,Z. Randolph makes free throw 2 of 2
3:12.0,I. Whitehead misses 3-pt shot from 26 ft,,75-84,,
3:12.0,,,75-84,,Defensive rebound by Z. Randolph
3:09.0,,,75-87,3,M. Conley makes 3-pt shot from 27 ft
3:09.0,,,75-87,,Shooting foul by S. Dinwiddie (drawn by M. Conley)
3:09.0,,,75-87,,M. Conley misses free throw 1 of 1
3:07.0,Defensive rebound by Q. Acy,,75-87,,
2:51.0,,,75-87,,Personal foul by M. Conley (drawn by S. Kilpatrick)
2:51.0,,,75-87,,Memphis full timeout
2:51.0,S. Kilpatrick makes free throw 1 of 2,1,76-87,,
2:51.0,S. Kilpatrick makes free throw 2 of 2,1,77-87,,
2:51.0,,,75-87,,T. Allen enters the game for M. Conley
2:40.0,,,77-87,,Z. Randolph misses 2-pt shot from 19 ft
2:40.0,Defensive rebound by S. Dinwiddie,,77-87,,
2:29.0,S. Dinwiddie misses 2-pt shot from 2 ft,,77-87,,
2:26.0,,,77-87,,Defensive rebound by Z. Randolph
2:10.0,,,77-87,,Turnover by T. Douglas (bad pass; steal by S. Dinwiddie)
2:05.0,S. Kilpatrick makes 2-pt shot from 4 ft,2,79-87,,
2:05.0,Shooting foul by V. Carter (drawn by S. Kilpatrick),,79-87,,
2:05.0,S. Kilpatrick makes free throw 1 of 1,1,80-87,,
1:47.0,,,80-89,2,Z. Randolph makes 2-pt shot from 6 ft (assist by T. Douglas)
1:31.0,T. Booker makes 2-pt shot from 17 ft (assist by S. Dinwiddie),2,82-89,,
1:10.0,,,82-89,,Z. Randolph misses 2-pt shot from 15 ft
1:10.0,Defensive rebound by T. Booker,,82-89,,
1:06.0,T. Booker makes 2-pt shot from 3 ft,2,84-89,,
1:06.0,Shooting foul by V. Carter (drawn by T. Booker),,84-89,,
1:06.0,T. Booker misses free throw 1 of 1,,84-89,,
1:06.0,,,84-89,,M. Conley enters the game for T. Douglas
1:05.0,,,84-89,,Defensive rebound by Z. Randolph
0:56.0,Personal foul by Q. Acy (drawn by Z. Randolph),,84-89,,
0:56.0,,,84-89,,Z. Randolph misses free throw 1 of 2
0:56.0,,,84-89,,Offensive rebound by Team
0:56.0,,,84-89,,Z. Randolph misses free throw 2 of 2
0:56.0,Defensive rebound by T. Booker,,84-89,,
0:56.0,,,84-89,,A. Harrison enters the game for V. Carter
0:44.0,Shooting foul by J. Green (drawn by I. Whitehead),,84-89,,
0:44.0,I. Whitehead makes free throw 1 of 2,1,85-89,,
0:44.0,I. Whitehead makes free throw 2 of 2,1,86-89,,
0:37.0,,,86-89,,Turnover by M. Conley (bad pass; steal by S. Kilpatrick)
0:27.0,T. Booker makes 2-pt shot from 3 ft,2,88-89,,
0:06.0,Personal foul by S. Dinwiddie (drawn by J. Green),,88-89,,
0:06.0,,,88-90,1,J. Green makes free throw 1 of 2
0:06.0,,,88-91,1,J. Green makes free throw 2 of 2
0:06.0,,,88-90,,B. Wright enters the game for Z. Randolph
0:01.0,S. Kilpatrick misses 2-pt shot from 3 ft,,88-91,,
0:00.0,Offensive rebound by I. Whitehead,,88-91,,
0:00.0,I. Whitehead misses 2-pt shot from 2 ft,,88-91,,
0:00.0,,,88-91,,Defensive rebound by J. Green
0:00.0,End of 3rd quarter,,,,End of 3rd quarter
12:00.0,Start of 4th quarter,,,,Start of 4th quarter
11:50.0,Q. Acy misses 3-pt shot from 23 ft,,88-91,,
11:49.0,Offensive rebound by T. Booker,,88-91,,
11:44.0,Offensive charge foul by I. Whitehead,,88-91,,
11:44.0,Turnover by I. Whitehead (offensive foul),,88-91,,
11:24.0,,,88-91,,Z. Randolph misses 2-pt shot from 5 ft
11:22.0,Defensive rebound by Q. Acy,,88-91,,
11:22.0,Turnover by Q. Acy (lost ball; steal by T. Allen),,88-91,,
11:13.0,,,88-91,,Turnover by Z. Randolph (lost ball; steal by S. Dinwiddie)
11:00.0,I. Whitehead makes 3-pt shot from 24 ft (assist by S. Kilpatrick),3,91-91,,
10:42.0,,,91-93,2,M. Conley makes 2-pt shot from 16 ft (assist by T. Allen)
10:20.0,Turnover by T. Booker (bad pass),,91-93,,
10:05.0,,,91-93,,M. Conley misses 3-pt shot from 25 ft
10:04.0,,,91-93,,Offensive rebound by Z. Randolph
10:02.0,,,91-93,,Z. Randolph misses 2-pt shot from 3 ft
10:00.0,,,91-93,,Offensive rebound by J. Green
10:00.0,,,91-95,2,J. Green makes 2-pt shot from 1 ft
9:47.0,S. Dinwiddie misses 3-pt shot from 25 ft,,91-95,,
9:45.0,,,91-95,,Defensive rebound by A. Harrison
9:37.0,,,91-95,,Turnover by T. Allen (bad pass; steal by I. Whitehead)
9:34.0,I. Whitehead makes 2-pt shot from 2 ft,2,93-95,,
9:34.0,Shooting foul by J. Green (drawn by I. Whitehead),,93-95,,
9:34.0,I. Whitehead makes free throw 1 of 1,1,94-95,,
9:34.0,,,93-95,,M. Gasol enters the game for J. Green
9:17.0,Personal foul by Q. Acy (drawn by M. Gasol),,94-95,,
9:16.0,Personal foul by T. Booker (drawn by Z. Randolph),,94-95,,
9:07.0,,,94-95,,Z. Randolph misses 2-pt shot from 2 ft
9:05.0,,,94-95,,Offensive rebound by T. Allen
9:02.0,,,94-95,,T. Allen misses 2-pt shot from 2 ft
9:01.0,Defensive rebound by S. Kilpatrick,,94-95,,
8:57.0,Turnover by S. Dinwiddie (bad pass),,94-95,,
8:57.0,,,94-95,,Memphis full timeout
8:57.0,,,94-95,,J. Green enters the game for Z. Randolph
8:35.0,,,94-95,,A. Harrison misses 3-pt shot from 25 ft
8:35.0,Defensive rebound by Team,,94-95,,
8:20.0,I. Whitehead makes 2-pt shot from 4 ft,2,96-95,,
8:05.0,Personal foul by Q. Acy (drawn by M. Conley),,96-95,,
8:05.0,B. Lopez enters the game for Q. Acy,,96-95,,
8:05.0,,,96-95,,T. Douglas enters the game for T. Allen
8:05.0,,,96-95,,V. Carter enters the game for A. Harrison
7:48.0,,,96-95,,T. Douglas misses 3-pt shot from 26 ft
7:48.0,Defensive rebound by I. Whitehead,,96-95,,
7:32.0,Shooting foul by V. Carter (drawn by S. Kilpatrick),,96-95,,
7:32.0,S. Kilpatrick makes free throw 1 of 2,1,97-95,,
7:32.0,S. Kilpatrick makes free throw 2 of 2,1,98-95,,
7:32.0,R. Hollis-Jefferson enters the game for T. Booker,,97-95,,
7:32.0,C. LeVert enters the game for S. Dinwiddie,,97-95,,
7:13.0,,,98-97,2,M. Gasol makes 2-pt shot from 11 ft
6:52.0,Turnover by B. Lopez (lost ball; steal by M. Conley),,98-97,,
6:52.0,Personal take foul by B. Lopez (drawn by M. Conley),,98-97,,
6:52.0,J. Lin enters the game for S. Kilpatrick,,98-97,,
6:39.0,,,98-97,,Shooting foul by J. Lin (drawn by M. Conley)
6:39.0,,,98-98,1,M. Conley makes free throw 1 of 3
6:39.0,,,98-99,1,M. Conley makes free throw 2 of 3
6:39.0,,,98-100,1,M. Conley makes free throw 3 of 3
