time,Washington,pts.away,score,pts.home,Boston
5:12.0,Shooting foul by A. Johnson (drawn by M. Gortat),,22-11,,
5:12.0,M. Gortat misses free throw 1 of 2,,22-11,,
5:12.0,Offensive rebound by Team,,22-11,,
5:12.0,M. Gortat makes free throw 2 of 2,1,23-11,,
4:59.0,,,23-11,,Offensive charge foul by K. Olynyk
4:59.0,,,23-11,,Turnover by K. Olynyk (offensive foul)
4:45.0,M. Gortat makes 2-pt shot from 13 ft (assist by J. Wall),2,25-11,,
4:29.0,,,25-14,3,K. Olynyk makes 3-pt shot from 25 ft (assist by I. Thomas)
4:16.0,M. Morris misses 2-pt shot from 1 ft,,25-14,,
4:15.0,Offensive rebound by M. Gortat,,25-14,,
4:14.0,M. Gortat makes 2-pt shot from 2 ft,2,27-14,,
4:14.0,Violation by Team (jump ball),,27-14,,
3:56.0,,,27-14,,A. Johnson misses 2-pt shot from 2 ft (block by M. Morris)
3:55.0,,,27-14,,Offensive rebound by A. Bradley
3:52.0,,,27-14,,M. Smart misses 3-pt shot from 25 ft
3:51.0,,,27-14,,Offensive rebound by Team
3:51.0,K. Oubre enters the game for M. Morris,,27-14,,
3:42.0,,,27-14,,A. Bradley misses 2-pt shot from 18 ft
3:41.0,Defensive rebound by Team,,27-14,,
3:27.0,,,27-14,,Personal foul by M. Smart (drawn by M. Gortat)
3:14.0,O. Porter makes 2-pt shot from 2 ft (assist by J. Wall),2,29-14,,
3:02.0,,,29-17,3,K. Olynyk makes 3-pt shot from 25 ft (assist by I. Thomas)
2:44.0,K. Oubre makes 3-pt shot from 23 ft (assist by J. Wall),3,32-17,,
2:34.0,,,32-20,3,I. Thomas makes 3-pt shot from 25 ft
2:18.0,K. Oubre makes 3-pt shot from 23 ft (assist by M. Gortat),3,35-20,,
1:59.0,,,35-20,,Turnover by I. Thomas (lost ball; steal by B. Beal)
1:55.0,Shooting foul by A. Bradley (drawn by B. Beal),,35-20,,
1:55.0,B. Beal makes free throw 1 of 2,1,36-20,,
1:55.0,B. Beal misses free throw 2 of 2,,36-20,,
1:55.0,,,36-20,,Defensive rebound by K. Olynyk
1:55.0,B. Jennings enters the game for J. Wall,,36-20,,
1:55.0,,,36-20,,A. Horford enters the game for A. Johnson
1:55.0,,,36-20,,J. Crowder enters the game for I. Thomas
1:36.0,,,36-20,,Shooting foul by O. Porter (drawn by K. Olynyk)
1:36.0,,,36-22,2,K. Olynyk makes 2-pt shot from 3 ft
1:36.0,,,36-22,,K. Olynyk misses free throw 1 of 1
1:36.0,Defensive rebound by O. Porter,,36-22,,
1:17.0,Turnover by B. Beal (bad pass; steal by M. Smart),,36-22,,
1:13.0,,,36-22,,J. Crowder misses 2-pt shot from 2 ft
1:12.0,Defensive rebound by Team,,36-22,,
0:55.0,B. Beal makes 2-pt shot from 15 ft,2,38-22,,
0:36.0,,,38-24,2,K. Olynyk makes 2-pt shot from 2 ft (assist by A. Horford)
0:30.0,B. Beal misses 3-pt shot from 25 ft,,38-24,,
0:29.0,,,38-24,,Defensive rebound by A. Bradley
0:10.0,,,38-24,,Turnover by K. Olynyk (traveling)
0:10.0,J. Wall enters the game for B. Jennings,,38-24,,
0:01.0,J. Wall misses 2-pt shot from 20 ft,,38-24,,
0:00.0,Offensive rebound by Team,,38-24,,
0:00.0,End of 1st quarter,,,,End of 1st quarter
12:00.0,Start of 2nd quarter,,,,Start of 2nd quarter
11:48.0,Personal foul by B. Bogdanovic (drawn by K. Olynyk),,38-24,,
11:39.0,,,38-27,3,J. Crowder makes 3-pt shot from 26 ft (assist by A. Horford)
11:14.0,K. Oubre misses 3-pt shot from 24 ft,,38-27,,
11:12.0,,,38-27,,Defensive rebound by K. Olynyk
11:03.0,,,38-29,2,A. Horford makes 2-pt shot from 2 ft (assist by M. Smart)
10:47.0,B. Beal makes 2-pt shot from 2 ft,2,40-29,,
10:27.0,,,40-31,2,K. Olynyk makes 2-pt shot from 2 ft (assist by A. Horford)
10:27.0,Washington full timeout,,40-31,,
10:27.0,J. Smith enters the game for M. Gortat,,40-31,,
10:27.0,M. Morris enters the game for B. Beal,,40-31,,
10:11.0,M. Morris misses 2-pt shot from 5 ft,,40-31,,
10:10.0,,,40-31,,Defensive rebound by T. Rozier
9:59.0,,,40-31,,Shooting foul by B. Bogdanovic (drawn by M. Smart)
9:59.0,,,40-32,1,M. Smart makes free throw 1 of 2
9:59.0,,,40-32,,M. Smart misses free throw 2 of 2
9:57.0,Defensive rebound by B. Jennings,,40-32,,
9:39.0,M. Morris misses 2-pt shot from 18 ft,,40-32,,
9:38.0,,,40-32,,Defensive rebound by T. Rozier
9:17.0,,,40-34,2,A. Horford makes 2-pt shot from 2 ft (assist by T. Rozier)
8:53.0,B. Jennings misses 2-pt shot from 2 ft,,40-34,,
8:52.0,,,40-34,,Defensive rebound by A. Horford
8:46.0,,,40-37,3,M. Smart makes 3-pt shot from 24 ft (assist by A. Horford)
8:45.0,Washington full timeout,,40-37,,
8:45.0,J. Wall enters the game for B. Jennings,,40-37,,
8:31.0,J. Wall makes 2-pt shot from 19 ft,2,42-37,,
8:16.0,,,42-37,,T. Rozier misses 3-pt shot from 26 ft
8:15.0,,,42-37,,Offensive rebound by Team
8:10.0,,,42-37,,Shooting foul by K. Oubre (drawn by T. Rozier)
8:10.0,,,42-38,1,T. Rozier makes free throw 1 of 2
8:10.0,,,42-39,1,T. Rozier makes free throw 2 of 2
8:10.0,,,42-38,,I. Thomas enters the game for K. Olynyk
8:05.0,,,42-39,,Personal foul by T. Rozier (drawn by B. Bogdanovic)
8:05.0,O. Porter enters the game for J. Smith,,42-39,,
7:53.0,J. Wall misses 2-pt shot from 8 ft,,42-39,,
7:52.0,,,42-39,,Defensive rebound by T. Rozier
7:41.0,,,42-42,3,J. Crowder makes 3-pt shot from 25 ft (assist by I. Thomas)
7:18.0,Shooting foul by A. Horford (drawn by M. Morris),,42-42,,
7:18.0,M. Morris makes 2-pt shot from 16 ft,2,44-42,,
7:18.0,Washington full timeout,,44-42,,
7:18.0,M. Morris makes free throw 1 of 1,1,45-42,,
7:16.0,Personal take foul by K. Oubre (drawn by T. Rozier),,45-42,,
7:16.0,B. Beal enters the game for M. Morris,,45-42,,
6:56.0,,,45-42,,T. Rozier misses 3-pt shot from 26 ft
6:55.0,,,45-42,,Offensive rebound by A. Horford
6:49.0,,,45-44,2,M. Smart makes 2-pt shot from 2 ft (assist by I. Thomas)
6:32.0,,,45-44,,Personal foul by T. Rozier (drawn by J. Wall)
6:32.0,,,45-44,,A. Bradley enters the game for M. Smart
6:32.0,M. Gortat enters the game for K. Oubre,,45-44,,
6:26.0,J. Wall misses 2-pt shot from 4 ft (block by T. Rozier),,45-44,,
6:25.0,,,45-44,,Defensive rebound by T. Rozier
6:20.0,,,45-44,,A. Bradley misses 2-pt shot from 20 ft
6:19.0,Defensive rebound by M. Gortat,,45-44,,
6:14.0,,,45-44,,Personal foul by A. Bradley (drawn by B. Beal)
5:57.0,J. Wall makes 2-pt shot from 12 ft,2,47-44,,
5:57.0,,,47-44,,Loose ball foul by J. Crowder (drawn by M. Gortat)
5:57.0,M. Gortat misses free throw 1 of 1,,47-44,,
5:54.0,,,47-44,,Offensive rebound by T. Rozier
5:32.0,,,47-44,,J. Crowder misses 3-pt shot from 25 ft (block by J. Wall)
5:31.0,,,47-44,,Offensive rebound by T. Rozier
5:31.0,,,47-46,2,T. Rozier makes 2-pt shot from 2 ft
5:14.0,J. Wall misses 2-pt shot from 2 ft,,47-46,,
5:13.0,Offensive rebound by M. Gortat,,47-46,,
5:10.0,J. Wall misses 3-pt shot from 24 ft,,47-46,,
5:09.0,Offensive rebound by O. Porter,,47-46,,
5:08.0,O. Porter makes 2-pt shot from 3 ft,2,49-46,,
4:53.0,,,49-46,,A. Horford misses 3-pt shot from 25 ft
4:53.0,Defensive rebound by M. Gortat,,49-46,,
4:40.0,Turnover by B. Beal (traveling),,49-46,,
4:40.0,,,49-46,,K. Olynyk enters the game for A. Horford
4:31.0,,,49-48,2,A. Bradley makes 2-pt shot from 17 ft (assist by K. Olynyk)
4:31.0,,,49-48,,Shooting foul by B. Bogdanovic (drawn by A. Bradley)
4:31.0,,,49-49,1,A. Bradley makes free throw 1 of 1
4:31.0,,,49-48,,M. Smart enters the game for T. Rozier
4:31.0,K. Oubre enters the game for B. Bogdanovic,,49-48,,
4:31.0,,,49-48,,J. Jerebko enters the game for J. Crowder
4:13.0,B. Beal misses 2-pt shot from 5 ft,,49-49,,
4:12.0,Offensive rebound by M. Gortat,,49-49,,
4:11.0,M. Gortat makes 2-pt shot from 3 ft,2,51-49,,
4:04.0,,,51-49,,Shooting foul by O. Porter (drawn by I. Thomas)
4:04.0,,,51-50,1,I. Thomas makes free throw 1 of 2
4:04.0,,,51-51,1,I. Thomas makes free throw 2 of 2
3:50.0,M. Gortat makes 2-pt shot at rim (assist by J. Wall),2,53-51,,
3:35.0,,,53-51,,K. Olynyk misses 2-pt shot from 2 ft (block by K. Oubre)
3:34.0,Defensive rebound by M. Gortat,,53-51,,
3:28.0,Shooting foul by K. Olynyk (drawn by M. Gortat),,53-51,,
3:28.0,M. Gortat makes free throw 1 of 2,1,54-51,,
3:28.0,M. Gortat misses free throw 2 of 2,,54-51,,
3:28.0,,,54-51,,Defensive rebound by M. Smart
3:06.0,,,54-53,2,I. Thomas makes 2-pt shot from 1 ft
2:59.0,B. Beal misses 2-pt shot from 3 ft (block by M. Smart),,54-53,,
2:59.0,Offensive rebound by Team,,54-53,,
2:59.0,Official timeout,,54-53,,
2:59.0,,,54-53,,A. Horford enters the game for K. Olynyk
2:49.0,K. Oubre makes 2-pt shot at rim (assist by J. Wall),2,56-53,,
2:28.0,,,56-56,3,A. Bradley makes 3-pt shot from 23 ft (assist by A. Horford)
2:10.0,O. Porter misses 2-pt shot from 7 ft,,56-56,,
2:09.0,,,56-56,,Defensive rebound by A. Horford
2:01.0,,,56-56,,I. Thomas misses 2-pt shot from 1 ft
2:00.0,Defensive rebound by M. Gortat,,56-56,,
1:54.0,B. Beal makes 3-pt shot from 24 ft (assist by J. Wall),3,59-56,,
1:33.0,,,59-56,,Offensive foul by A. Horford
1:33.0,,,59-56,,Turnover by A. Horford (offensive foul)
1:33.0,,,59-56,,J. Crowder enters the game for J. Jerebko
1:19.0,K. Oubre misses 2-pt shot from 1 ft (block by A. Horford),,59-56,,
1:18.0,Offensive rebound by M. Gortat,,59-56,,
1:16.0,K. Oubre makes 2-pt shot from 2 ft (assist by M. Gortat),2,61-56,,
1:03.0,,,61-58,2,I. Thomas makes 2-pt shot from 13 ft
1:03.0,,,61-58,,Shooting foul by K. Oubre (drawn by I. Thomas)
1:03.0,,,61-58,,I. Thomas misses free throw 1 of 1
1:03.0,Defensive rebound by O. Porter,,61-58,,
0:50.0,J. Wall makes 2-pt shot from 2 ft,2,63-58,,
0:37.0,,,63-58,,I. Thomas misses 3-pt shot from 25 ft
0:35.0,Defensive rebound by Team,,63-58,,
0:35.0,,,63-58,,Loose ball foul by A. Horford (drawn by O. Porter)
0:35.0,O. Porter misses free throw 1 of 2,,63-58,,
0:35.0,Offensive rebound by Team,,63-58,,
0:35.0,O. Porter makes free throw 2 of 2,1,64-58,,
0:35.0,T. Satoransky enters the game for K. Oubre,,63-58,,
0:35.0,,,63-58,,K. Olynyk enters the game for A. Horford
0:29.0,Violation by M. Gortat (kicked ball),,64-58,,
0:29.0,,,64-58,,Boston full timeout
0:29.0,Away from play foul by M. Gortat (drawn by I. Thomas),,64-58,,
0:29.0,,,64-59,1,I. Thomas makes free throw 1 of 1
0:25.0,,,64-59,,I. Thomas misses 3-pt shot from 25 ft
0:23.0,Defensive rebound by O. Porter,,64-59,,
0:03.0,J. Wall misses 2-pt shot from 2 ft (block by M. Smart),,64-59,,
0:02.0,,,64-59,,Defensive rebound by K. Olynyk
0:02.0,,,64-59,,Boston full timeout
0:02.0,K. Oubre enters the game for T. Satoransky,,64-59,,
0:00.0,,,64-59,,A. Bradley misses 3-pt shot from 43 ft
0:00.0,,,64-59,,Offensive rebound by Team
0:00.0,End of 2nd quarter,,,,End of 2nd quarter
12:00.0,Start of 3rd quarter,,,,Start of 3rd quarter
11:47.0,,,64-61,2,A. Horford makes 2-pt shot at rim (assist by A. Bradley)
11:31.0,B. Beal makes 2-pt shot from 20 ft (assist by J. Wall),2,66-61,,
11:07.0,,,66-61,,A. Horford misses 2-pt shot from 17 ft
11:06.0,Defensive rebound by J. Wall,,66-61,,
11:01.0,Turnover by J. Wall (lost ball; steal by A. Bradley),,66-61,,
10:55.0,,,66-61,,A. Bradley misses 3-pt shot from 25 ft
10:54.0,Defensive rebound by M. Gortat,,66-61,,
10:43.0,M. Gortat misses 2-pt shot from 3 ft,,66-61,,
10:41.0,,,66-61,,Defensive rebound by I. Thomas
10:32.0,,,66-61,,I. Thomas misses 3-pt shot from 25 ft
10:31.0,Defensive rebound by Team,,66-61,,
10:31.0,,,66-61,,Loose ball foul by J. Crowder (drawn by B. Beal)
10:15.0,B. Beal misses 2-pt shot from 3 ft (block by I. Thomas),,66-61,,
10:14.0,,,66-61,,Defensive rebound by J. Crowder
10:06.0,,,66-64,3,I. Thomas makes 3-pt shot from 26 ft (assist by M. Smart)
9:49.0,Offensive charge foul by B. Beal,,66-64,,
9:49.0,Turnover by B. Beal (offensive foul),,66-64,,
9:36.0,,,66-64,,Turnover by A. Bradley (traveling)
9:26.0,Turnover by J. Wall (bad pass),,66-64,,
9:16.0,,,66-66,2,I. Thomas makes 2-pt shot from 17 ft (assist by A. Horford)
9:00.0,O. Porter makes 2-pt shot from 10 ft (assist by J. Wall),2,68-66,,
8:43.0,,,68-66,,I. Thomas misses 3-pt shot from 24 ft
8:42.0,Defensive rebound by Team,,68-66,,
8:25.0,J. Wall misses 3-pt shot from 25 ft,,68-66,,
8:24.0,,,68-66,,Defensive rebound by J. Crowder
8:11.0,,,68-66,,J. Crowder misses 2-pt shot from 12 ft
8:08.0,,,68-66,,Offensive rebound by A. Horford
8:06.0,,,68-68,2,A. Horford makes 2-pt shot from 2 ft
7:47.0,O. Porter makes 3-pt shot from 25 ft (assist by M. Gortat),3,71-68,,
7:34.0,,,71-68,,M. Smart misses 3-pt shot from 22 ft
7:33.0,,,71-68,,Offensive rebound by J. Crowder
7:31.0,,,71-70,2,J. Crowder makes 2-pt shot from 3 ft
7:12.0,B. Beal misses 2-pt shot from 9 ft,,71-70,,
7:11.0,,,71-70,,Defensive rebound by A. Bradley
7:05.0,,,71-70,,A. Bradley misses 2-pt shot from 3 ft (block by K. Oubre)
7:04.0,,,71-70,,Offensive rebound by A. Bradley
7:02.0,,,71-70,,A. Bradley misses 2-pt shot from 3 ft (block by M. Gortat)
7:00.0,,,71-70,,Offensive rebound by A. Bradley
6:55.0,,,71-73,3,J. Crowder makes 3-pt shot from 23 ft (assist by I. Thomas)
6:55.0,Washington full timeout,,71-73,,
6:40.0,O. Porter misses 3-pt shot from 23 ft,,71-73,,
6:39.0,Offensive rebound by M. Gortat,,71-73,,
6:39.0,M. Gortat misses 2-pt shot from 2 ft,,71-73,,
6:38.0,,,71-73,,Defensive rebound by A. Horford
6:14.0,,,71-73,,A. Horford misses 3-pt shot from 25 ft
6:12.0,Defensive rebound by J. Wall,,71-73,,
6:08.0,K. Oubre makes 2-pt shot at rim (assist by J. Wall),2,73-73,,
5:48.0,,,73-76,3,J. Crowder makes 3-pt shot from 24 ft (assist by I. Thomas)
5:35.0,Shooting foul by A. Bradley (drawn by B. Beal),,73-76,,
5:35.0,B. Beal makes free throw 1 of 2,1,74-76,,
5:35.0,B. Beal misses free throw 2 of 2,,74-76,,
5:35.0,,,74-76,,Defensive rebound by M. Smart
5:22.0,,,74-78,2,I. Thomas makes 2-pt shot from 12 ft
5:00.0,Turnover by J. Wall (bad pass; steal by A. Bradley),,74-78,,
4:55.0,,,74-78,,Turnover by A. Horford (lost ball; steal by M. Gortat)
4:51.0,Turnover by K. Oubre (bad pass; steal by M. Smart),,74-78,,
4:45.0,,,74-81,3,A. Bradley makes 3-pt shot from 25 ft (assist by M. Smart)
4:45.0,Washington full timeout,,74-81,,
4:33.0,J. Wall makes 2-pt shot from 2 ft,2,76-81,,
4:18.0,,,76-83,2,A. Horford makes 2-pt shot from 16 ft (assist by J. Crowder)
4:04.0,M. Gortat makes 2-pt shot from 2 ft (assist by J. Wall),2,78-83,,
3:50.0,,,78-86,3,I. Thomas makes 3-pt shot from 25 ft
3:29.0,B. Bogdanovic enters the game for K. Oubre,,78-86,,
3:29.0,,,78-86,,T. Rozier enters the game for M. Smart
3:22.0,J. Wall makes 2-pt shot from 3 ft,2,80-86,,
3:08.0,,,80-88,2,I. Thomas makes 2-pt shot from 19 ft
2:52.0,O. Porter misses 3-pt shot from 25 ft,,80-88,,
2:50.0,Offensive rebound by M. Gortat,,80-88,,
2:34.0,Turnover by J. Wall (lost ball; steal by A. Bradley),,80-88,,
2:28.0,,,80-88,,A. Bradley misses 2-pt shot from 2 ft (block by J. Wall)
2:27.0,,,80-88,,Offensive rebound by A. Horford
2:24.0,,,80-91,3,J. Crowder makes 3-pt shot from 26 ft (assist by A. Horford)
2:24.0,Washington full timeout,,80-91,,
2:24.0,J. Smith enters the game for O. Porter,,80-91,,
2:01.0,M. Gortat misses 2-pt shot from 7 ft,,80-91,,
2:00.0,Offensive rebound by J. Smith,,80-91,,
2:00.0,J. Wall misses 3-pt shot from 26 ft,,80-91,,
2:00.0,Offensive rebound by Team,,80-91,,
2:00.0,Turnover by Team (shot clock),,80-91,,
2:00.0,,,80-91,,G. Green enters the game for I. Thomas
2:00.0,B. Jennings enters the game for B. Beal,,80-91,,
1:40.0,,,80-93,2,A. Bradley makes 2-pt shot from 12 ft (assist by A. Horford)
1:17.0,M. Gortat misses 2-pt shot from 11 ft,,80-93,,
1:16.0,,,80-93,,Defensive rebound by T. Rozier
1:03.0,,,80-93,,Turnover by G. Green (lost ball; steal by B. Bogdanovic)
1:00.0,B. Bogdanovic misses 2-pt shot from 2 ft,,80-93,,
0:59.0,,,80-93,,Defensive rebound by T. Rozier
0:53.0,,,80-93,,J. Crowder misses 3-pt shot from 23 ft
0:52.0,,,80-93,,Offensive rebound by A. Horford
0:51.0,,,80-95,2,A. Horford makes 2-pt shot from 2 ft
0:33.0,,,80-95,,Personal foul by A. Bradley (drawn by J. Wall)
0:33.0,,,80-95,,M. Smart enters the game for A. Bradley
0:33.0,,,80-95,,K. Olynyk enters the game for A. Horford
0:28.0,J. Wall misses 2-pt shot from 2 ft (block by M. Smart),,80-95,,
0:27.0,Offensive rebound by Team,,80-95,,
0:23.0,Turnover by J. Wall (bad pass),,80-95,,
0:23.0,,,80-95,,I. Thomas enters the game for M. Smart
0:01.0,,,80-95,,I. Thomas misses 3-pt shot from 25 ft
0:00.0,Defensive rebound by B. Bogdanovic,,80-95,,
0:00.0,End of 3rd quarter,,,,End of 3rd quarter
12:00.0,Start of 4th quarter,,,,Start of 4th quarter
11:41.0,J. Smith makes 2-pt shot from 21 ft (assist by B. Bogdanovic),2,82-95,,
11:16.0,,,82-95,,J. Jerebko misses 2-pt shot from 2 ft
11:15.0,Defensive rebound by B. Bogdanovic,,82-95,,
11:08.0,J. Wall misses 3-pt shot from 25 ft,,82-95,,
11:07.0,,,82-95,,Defensive rebound by Team
10:53.0,,,82-95,,Turnover by M. Smart (bad pass; steal by J. Wall)
10:49.0,J. Smith makes 2-pt shot from 2 ft (assist by J. Wall),2,84-95,,
10:49.0,,,84-95,,Boston full timeout
10:35.0,,,84-95,,Turnover by M. Smart (lost ball; steal by O. Porter)
10:34.0,,,84-95,,Personal foul by M. Smart (drawn by O. Porter)
10:23.0,Shooting foul by M. Smart (drawn by J. Wall),,84-95,,
10:23.0,J. Wall misses free throw 1 of 2,,84-95,,
10:23.0,Offensive rebound by Team,,84-95,,
10:23.0,J. Wall makes free throw 2 of 2,1,85-95,,
10:23.0,,,84-95,,I. Thomas enters the game for M. Smart
10:07.0,,,85-95,,I. Thomas misses 2-pt shot from 21 ft
10:06.0,Defensive rebound by Team,,85-95,,
10:06.0,B. Beal enters the game for J. Wall,,85-95,,
9:52.0,J. Smith misses 2-pt shot from 15 ft,,85-95,,
9:51.0,Offensive rebound by O. Porter,,85-95,,
9:43.0,B. Beal makes 2-pt shot from 10 ft,2,87-95,,
9:43.0,Shooting foul by T. Rozier (drawn by B. Beal),,87-95,,
9:43.0,B. Beal makes free throw 1 of 1,1,88-95,,
9:43.0,,,87-95,,A. Bradley enters the game for G. Green
9:43.0,,,87-95,,M. Smart enters the game for T. Rozier
9:22.0,,,88-95,,M. Smart misses 2-pt shot from 2 ft
9:22.0,Defensive rebound by O. Porter,,88-95,,
9:22.0,,,88-95,,J. Crowder enters the game for J. Jerebko
9:22.0,Jump ball: A. Bradley vs. O. Porter (J. Smith gains possession),,,,Jump ball: A. Bradley vs. O. Porter (J. Smith gains possession)
9:12.0,,,88-95,,Personal block foul by K. Olynyk (drawn by B. Beal)
9:09.0,Shooting foul by K. Olynyk (drawn by J. Smith),,88-95,,
9:09.0,J. Smith misses free throw 1 of 2,,88-95,,
9:09.0,Offensive rebound by Team,,88-95,,
9:09.0,J. Smith makes free throw 2 of 2,1,89-95,,
9:09.0,,,88-95,,A. Horford enters the game for K. Olynyk
8:46.0,,,89-95,,J. Crowder misses 2-pt shot from 21 ft
8:44.0,Defensive rebound by B. Bogdanovic,,89-95,,
8:31.0,B. Beal misses 2-pt shot from 13 ft,,89-95,,
8:30.0,,,89-95,,Defensive rebound by J. Crowder
8:23.0,,,89-95,,I. Thomas misses 2-pt shot from 3 ft
8:22.0,Defensive rebound by O. Porter,,89-95,,
8:17.0,B. Beal misses 3-pt shot from 23 ft,,89-95,,
8:16.0,,,89-95,,Defensive rebound by A. Horford
7:55.0,,,89-97,2,I. Thomas makes 2-pt shot from 2 ft
7:41.0,B. Bogdanovic makes 2-pt shot from 16 ft (assist by B. Jennings),2,91-97,,
7:27.0,,,91-99,2,A. Bradley makes 2-pt shot from 22 ft (assist by A. Horford)
7:08.0,B. Bogdanovic makes 3-pt shot from 25 ft (assist by O. Porter),3,94-99,,
7:08.0,Shooting foul by M. Smart (drawn by B. Bogdanovic),,94-99,,
7:08.0,B. Bogdanovic makes free throw 1 of 1,1,95-99,,
7:08.0,J. Wall enters the game for B. Jennings,,94-99,,
7:08.0,M. Gortat enters the game for J. Smith,,94-99,,
7:08.0,,,94-99,,T. Rozier enters the game for M. Smart
6:52.0,,,95-101,2,A. Horford makes 2-pt shot from 4 ft (assist by A. Bradley)
6:39.0,B. Bogdanovic makes 3-pt shot from 25 ft (assist by J. Wall),3,98-101,,
6:21.0,,,98-101,,A. Bradley misses 2-pt shot from 13 ft
6:20.0,,,98-101,,Offensive rebound by A. Horford
6:20.0,,,98-103,2,A. Horford makes 2-pt shot from 3 ft
6:09.0,,,98-103,,Personal foul by T. Rozier (drawn by B. Bogdanovic)
6:09.0,B. Bogdanovic misses free throw 1 of 2,,98-103,,
6:09.0,Offensive rebound by Team,,98-103,,
6:09.0,B. Bogdanovic makes free throw 2 of 2,1,99-103,,
6:09.0,,,98-103,,J. Brown enters the game for T. Rozier
5:51.0,,,99-106,3,A. Horford makes 3-pt shot from 25 ft (assist by I. Thomas)
5:42.0,B. Bogdanovic misses 3-pt shot from 25 ft,,99-106,,
5:41.0,,,99-106,,Defensive rebound by Team
5:41.0,Official timeout,,99-106,,
5:26.0,,,99-109,3,J. Brown makes 3-pt shot from 24 ft (assist by I. Thomas)
5:09.0,B. Beal makes 3-pt shot from 24 ft (assist by J. Wall),3,102-109,,
4:45.0,,,102-112,3,J. Crowder makes 3-pt shot from 25 ft (assist by J. Brown)
