time,Denver,pts.away,score,pts.home,Sacramento
8:02.0,J. Murray misses 2-pt shot from 11 ft,,37-27,,
8:02.0,Offensive rebound by Team,,37-27,,
8:02.0,Official timeout,,37-27,,
8:02.0,D. Gallinari enters the game for J. Hernangomez,,37-27,,
7:53.0,M. Plumlee makes 2-pt shot from 10 ft (assist by D. Arthur),2,39-27,,
7:32.0,Violation by D. Gallinari (kicked ball),,39-27,,
7:18.0,,,39-27,,G. Temple misses 3-pt shot from 24 ft
7:17.0,Defensive rebound by D. Gallinari,,39-27,,
6:53.0,W. Barton misses 3-pt shot from 25 ft (block by T. Evans),,39-27,,
6:52.0,,,39-27,,Defensive rebound by S. Labissiere
6:42.0,,,39-30,3,T. Evans makes 3-pt shot from 25 ft (assist by G. Temple)
6:23.0,D. Gallinari makes 2-pt shot from 20 ft (assist by M. Plumlee),2,41-30,,
6:13.0,Personal foul by D. Arthur (drawn by S. Labissiere),,41-30,,
6:13.0,,,41-30,,S. Labissiere misses free throw 1 of 2
6:13.0,,,41-30,,Offensive rebound by Team
6:13.0,,,41-30,,S. Labissiere misses free throw 2 of 2
6:13.0,N. Jokic enters the game for M. Plumlee,,41-30,,
6:11.0,,,41-30,,Offensive rebound by K. Koufos
6:01.0,,,41-30,,Turnover by K. Koufos (lost ball)
5:47.0,J. Murray makes 3-pt shot from 24 ft (assist by N. Jokic),3,44-30,,
5:30.0,,,44-30,,T. Evans misses 2-pt shot from 6 ft (block by D. Arthur)
5:28.0,Defensive rebound by W. Barton,,44-30,,
5:24.0,W. Barton misses 2-pt shot from 1 ft,,44-30,,
5:24.0,,,44-30,,Defensive rebound by Team
5:24.0,Loose ball foul by N. Jokic (drawn by K. Koufos),,44-30,,
5:24.0,,,44-30,,Sacramento full timeout
5:24.0,J. Nelson enters the game for W. Barton,,44-30,,
5:24.0,W. Chandler enters the game for J. Murray,,44-30,,
5:24.0,G. Harris enters the game for D. Arthur,,44-30,,
5:14.0,,,44-30,,T. Lawson misses 3-pt shot from 23 ft
5:14.0,Defensive rebound by G. Harris,,44-30,,
4:58.0,W. Chandler misses 3-pt shot from 23 ft,,44-30,,
4:57.0,,,44-30,,Defensive rebound by T. Evans
4:46.0,,,44-30,,G. Temple misses 3-pt shot from 25 ft
4:46.0,Defensive rebound by W. Chandler,,44-30,,
4:27.0,N. Jokic misses 3-pt shot from 23 ft,,44-30,,
4:27.0,,,44-30,,Defensive rebound by G. Temple
4:15.0,,,44-32,2,T. Lawson makes 2-pt shot from 15 ft (assist by T. Evans)
