time,Chicago,pts.away,score,pts.home,Dallas
7:51.0,,,2-7,,Defensive rebound by A. Bogut
7:36.0,,,2-10,3,D. Finney-Smith makes 3-pt shot from 26 ft (assist by D. Williams)
7:10.0,Turnover by R. Rondo (lost ball),,2-10,,
6:56.0,,,2-10,,Turnover by W. Matthews (lost ball; steal by J. Butler)
6:52.0,Turnover by R. Lopez (bad pass; steal by A. Bogut),,2-10,,
6:52.0,Personal foul by J. Butler (drawn by A. Bogut),,2-10,,
6:52.0,I. Canaan enters the game for J. Butler,,2-10,,
6:37.0,,,2-10,,Shooting foul by N. Mirotic (drawn by D. Finney-Smith)
6:37.0,,,2-11,1,D. Finney-Smith makes free throw 1 of 2
6:37.0,,,2-11,,D. Finney-Smith misses free throw 2 of 2
6:37.0,,,2-11,,D. Powell enters the game for A. Bogut
6:36.0,Defensive rebound by N. Mirotic,,2-11,,
6:21.0,Turnover by R. Rondo (lost ball; steal by W. Matthews),,2-11,,
6:10.0,,,2-11,,Shooting foul by R. Lopez (drawn by D. Finney-Smith)
6:10.0,,,2-12,1,D. Finney-Smith makes free throw 1 of 2
6:10.0,,,2-13,1,D. Finney-Smith makes free throw 2 of 2
6:10.0,J. Grant enters the game for R. Rondo,,2-12,,
6:10.0,D. Valentine enters the game for R. Lopez,,2-12,,
6:10.0,,,2-12,,J. Gibson enters the game for D. Williams
5:54.0,I. Canaan makes 2-pt shot from 18 ft (assist by T. Gibson),2,4-13,,
5:34.0,,,4-13,,J. Gibson misses 3-pt shot from 25 ft
5:33.0,,,4-13,,Offensive rebound by H. Barnes
5:13.0,,,4-13,,D. Powell misses 2-pt shot from 17 ft
5:12.0,Defensive rebound by T. Gibson,,4-13,,
5:10.0,Turnover by T. Gibson (lost ball; steal by H. Barnes),,4-13,,
5:06.0,,,4-16,3,W. Matthews makes 3-pt shot from 26 ft (assist by H. Barnes)
4:52.0,T. Gibson makes 2-pt shot from 6 ft (assist by I. Canaan),2,6-16,,
4:30.0,,,6-19,3,H. Barnes makes 3-pt shot from 24 ft (assist by W. Matthews)
4:08.0,N. Mirotic misses 2-pt shot from 13 ft,,6-19,,
4:07.0,,,6-19,,Defensive rebound by D. Powell
3:55.0,,,6-19,,W. Matthews misses 3-pt shot from 25 ft
3:54.0,,,6-19,,Offensive rebound by H. Barnes
3:53.0,,,6-19,,Dallas full timeout
3:53.0,,,6-19,,D. Harris enters the game for H. Barnes
3:53.0,,,6-19,,A. Bogut enters the game for W. Matthews
3:53.0,B. Portis enters the game for T. Gibson,,6-19,,
3:48.0,,,6-21,2,A. Bogut makes 2-pt shot at rim (assist by D. Harris)
3:29.0,N. Mirotic misses 3-pt shot from 24 ft,,6-21,,
3:28.0,,,6-21,,Defensive rebound by A. Bogut
3:19.0,R. Lopez enters the game for N. Mirotic,,6-21,,
3:19.0,J. Butler enters the game for J. Grant,,6-21,,
3:17.0,Shooting block foul by B. Portis (drawn by D. Powell),,6-21,,
3:17.0,,,6-23,2,D. Powell makes 2-pt shot from 17 ft (assist by J. Gibson)
3:17.0,,,6-23,,D. Powell misses free throw 1 of 1
3:16.0,Defensive rebound by J. Butler,,6-23,,
3:01.0,J. Butler makes 2-pt shot from 14 ft,2,8-23,,
2:35.0,,,8-23,,D. Powell misses 2-pt shot from 6 ft
2:33.0,Defensive rebound by R. Lopez,,8-23,,
2:26.0,,,8-23,,Shooting block foul by A. Bogut (drawn by J. Butler)
2:26.0,J. Butler makes free throw 1 of 2,1,9-23,,
2:26.0,J. Butler makes free throw 2 of 2,1,10-23,,
2:07.0,,,10-23,,J. Gibson misses 2-pt shot from 16 ft
2:06.0,Defensive rebound by J. Butler,,10-23,,
1:59.0,Shooting foul by D. Powell (drawn by J. Butler),,10-23,,
1:59.0,J. Butler makes free throw 1 of 2,1,11-23,,
1:59.0,J. Butler misses free throw 2 of 2,,11-23,,
1:59.0,,,11-23,,W. Matthews enters the game for D. Finney-Smith
1:58.0,,,11-23,,Defensive rebound by D. Powell
1:44.0,Violation by R. Lopez (kicked ball),,11-23,,
1:34.0,,,11-23,,Turnover by D. Powell (bad pass; steal by J. Butler)
1:27.0,I. Canaan makes 3-pt shot from 25 ft (assist by J. Butler),3,14-23,,
1:15.0,,,14-25,2,J. Gibson makes 2-pt shot from 19 ft
1:01.0,J. Butler misses 2-pt shot from 20 ft,,14-25,,
1:00.0,,,14-25,,Defensive rebound by Team
1:00.0,,,14-25,,H. Barnes enters the game for D. Powell
0:43.0,,,14-27,2,H. Barnes makes 2-pt shot from 17 ft (assist by D. Harris)
0:31.0,B. Portis misses 2-pt shot from 19 ft,,14-27,,
0:29.0,Offensive rebound by R. Lopez,,14-27,,
0:29.0,R. Lopez makes 2-pt shot at rim,2,16-27,,
0:11.0,,,16-27,,H. Barnes misses 2-pt shot from 10 ft
0:10.0,,,16-27,,Offensive rebound by A. Bogut
0:10.0,,,16-29,2,A. Bogut makes 2-pt shot from 1 ft
0:00.0,R. Lopez makes 2-pt shot from 6 ft (assist by J. Butler),2,18-29,,
0:00.0,End of 1st quarter,,,,End of 1st quarter
12:00.0,Start of 2nd quarter,,,,Start of 2nd quarter
11:47.0,Turnover by J. Butler (lost ball; steal by A. Bogut),,18-29,,
11:42.0,,,18-29,,Turnover by D. Harris (bad pass)
11:28.0,I. Canaan misses 2-pt shot from 21 ft,,18-29,,
11:26.0,Offensive rebound by R. Lopez,,18-29,,
11:26.0,R. Lopez makes 2-pt shot at rim,2,20-29,,
11:05.0,,,20-29,,W. Matthews misses 2-pt shot from 15 ft
11:04.0,Defensive rebound by J. Butler,,20-29,,
10:59.0,,,20-29,,Personal foul by W. Matthews (drawn by J. Butler)
10:59.0,,,20-29,,D. Williams enters the game for J. Gibson
10:54.0,J. Grant makes 2-pt shot from 18 ft,2,22-29,,
10:38.0,,,22-29,,Shooting foul by I. Canaan (drawn by H. Barnes)
10:38.0,,,22-31,2,H. Barnes makes 2-pt shot from 7 ft
10:38.0,,,22-32,1,H. Barnes makes free throw 1 of 1
10:38.0,,,22-31,,J. Anderson enters the game for D. Harris
10:38.0,T. Gibson enters the game for D. Valentine,,22-31,,
10:30.0,,,22-32,,Personal foul by H. Barnes (drawn by T. Gibson)
10:24.0,J. Butler makes 2-pt shot from 1 ft,2,24-32,,
9:56.0,,,24-34,2,H. Barnes makes 2-pt shot from 7 ft
9:29.0,J. Grant makes 2-pt shot from 1 ft,2,26-34,,
9:18.0,Def 3 sec tech foul by R. Lopez,,26-34,,
9:18.0,,,26-35,1,D. Williams makes technical free throw
9:18.0,,,26-35,,D. Finney-Smith enters the game for W. Matthews
9:13.0,,,26-37,2,A. Bogut makes 2-pt shot from 8 ft (assist by D. Williams)
8:56.0,I. Canaan makes 2-pt shot from 17 ft,2,28-37,,
8:42.0,,,28-37,,H. Barnes misses 2-pt shot from 21 ft
8:41.0,Defensive rebound by J. Butler,,28-37,,
8:32.0,R. Lopez misses 2-pt shot from 19 ft,,28-37,,
8:31.0,,,28-37,,Defensive rebound by J. Anderson
8:21.0,,,28-37,,D. Williams misses 2-pt shot from 19 ft
8:20.0,Defensive rebound by J. Butler,,28-37,,
8:09.0,Turnover by R. Lopez (bad pass; steal by J. Anderson),,28-37,,
8:06.0,,,28-37,,Shooting foul by R. Lopez (drawn by J. Anderson)
8:06.0,Official timeout,,28-37,,
8:06.0,,,28-37,,J. Anderson misses free throw 1 of 2
8:06.0,,,28-37,,Offensive rebound by Team
8:06.0,,,28-38,1,J. Anderson makes free throw 2 of 2
8:06.0,R. Rondo enters the game for I. Canaan,,28-37,,
7:53.0,R. Lopez makes 2-pt shot from 2 ft,2,30-38,,
7:26.0,,,30-38,,H. Barnes misses 2-pt shot from 19 ft
7:25.0,Defensive rebound by R. Lopez,,30-38,,
7:21.0,Turnover by J. Grant (lost ball; steal by D. Williams),,30-38,,
7:08.0,,,30-38,,J. Anderson misses 2-pt shot from 13 ft
7:07.0,Defensive rebound by T. Gibson,,30-38,,
7:01.0,J. Butler misses 2-pt shot from 13 ft,,30-38,,
7:00.0,,,30-38,,Defensive rebound by A. Bogut
6:52.0,,,30-38,,J. Anderson misses 2-pt shot from 6 ft (block by R. Lopez)
6:50.0,,,30-38,,Offensive rebound by H. Barnes
6:48.0,,,30-38,,H. Barnes misses 3-pt shot from 24 ft
6:47.0,Defensive rebound by J. Grant,,30-38,,
6:39.0,J. Grant makes 2-pt shot from 19 ft,2,32-38,,
6:38.0,,,32-38,,Dallas full timeout
6:38.0,,,32-38,,D. Powell enters the game for D. Finney-Smith
6:38.0,,,32-38,,D. Harris enters the game for A. Bogut
6:38.0,,,32-38,,W. Matthews enters the game for J. Anderson
6:38.0,N. Mirotic enters the game for R. Lopez,,32-38,,
6:30.0,Personal block foul by T. Gibson (drawn by D. Williams),,32-38,,
6:21.0,,,32-40,2,H. Barnes makes 2-pt shot from 9 ft (assist by D. Harris)
5:57.0,R. Rondo makes 2-pt shot from 19 ft,2,34-40,,
5:41.0,,,34-40,,D. Williams misses 2-pt shot from 3 ft
5:40.0,Defensive rebound by N. Mirotic,,34-40,,
5:29.0,N. Mirotic misses 2-pt shot from 4 ft,,34-40,,
5:27.0,,,34-40,,Defensive rebound by D. Powell
5:19.0,,,34-43,3,D. Harris makes 3-pt shot from 25 ft (assist by D. Williams)
5:11.0,,,34-43,,Personal foul by D. Powell (drawn by T. Gibson)
5:11.0,,,34-43,,A. Bogut enters the game for H. Barnes
5:11.0,R. Lopez enters the game for N. Mirotic,,34-43,,
5:06.0,J. Butler misses 3-pt shot from 24 ft,,34-43,,
5:05.0,,,34-43,,Defensive rebound by A. Bogut
4:43.0,,,34-45,2,D. Williams makes 2-pt shot from 10 ft (assist by A. Bogut)
4:42.0,Chicago full timeout,,34-45,,
4:31.0,R. Lopez makes 2-pt shot from 8 ft (assist by J. Butler),2,36-45,,
4:21.0,Personal foul by R. Rondo (drawn by D. Williams),,36-45,,
4:09.0,,,36-45,,D. Williams misses 3-pt shot from 25 ft
4:08.0,Defensive rebound by J. Butler,,36-45,,
3:56.0,J. Butler makes 2-pt shot from 16 ft,2,38-45,,
3:56.0,,,38-45,,Shooting block foul by D. Williams (drawn by J. Butler)
3:56.0,J. Butler makes free throw 1 of 1,1,39-45,,
3:56.0,,,38-45,,H. Barnes enters the game for D. Powell
3:49.0,Personal block foul by J. Grant (drawn by D. Williams),,39-45,,
3:49.0,,,39-46,1,D. Williams makes free throw 1 of 2
3:49.0,,,39-47,1,D. Williams makes free throw 2 of 2
3:49.0,I. Canaan enters the game for J. Grant,,39-46,,
3:34.0,Shooting foul by A. Bogut (drawn by R. Lopez),,39-47,,
3:34.0,R. Lopez misses free throw 1 of 2,,39-47,,
3:34.0,Offensive rebound by Team,,39-47,,
3:34.0,R. Lopez makes free throw 2 of 2,1,40-47,,
3:22.0,,,40-47,,H. Barnes misses 3-pt shot from 25 ft
3:21.0,,,40-47,,Offensive rebound by D. Harris
3:06.0,,,40-50,3,W. Matthews makes 3-pt shot from 25 ft (assist by D. Williams)
2:50.0,,,40-50,,Shooting block foul by A. Bogut (drawn by J. Butler)
2:50.0,J. Butler makes free throw 1 of 2,1,41-50,,
2:50.0,J. Butler makes free throw 2 of 2,1,42-50,,
2:50.0,,,41-50,,D. Powell enters the game for A. Bogut
2:50.0,,,41-50,,D. Finney-Smith enters the game for D. Harris
2:50.0,B. Portis enters the game for R. Lopez,,41-50,,
2:32.0,,,42-50,,W. Matthews misses 2-pt shot from 8 ft
2:32.0,,,42-50,,Offensive rebound by D. Powell
2:32.0,,,42-52,2,D. Powell makes 2-pt shot at rim
2:32.0,,,42-52,,Shooting foul by T. Gibson (drawn by D. Powell)
2:32.0,,,42-53,1,D. Powell makes free throw 1 of 1
2:19.0,B. Portis misses 3-pt shot from 25 ft,,42-53,,
2:18.0,,,42-53,,Defensive rebound by D. Williams
2:06.0,,,42-53,,D. Williams misses 3-pt shot from 25 ft
2:05.0,,,42-53,,Offensive rebound by D. Powell
2:01.0,,,42-53,,W. Matthews misses 3-pt shot from 25 ft
2:00.0,,,42-53,,Offensive rebound by D. Powell
2:00.0,,,42-55,2,D. Powell makes 2-pt shot at rim
1:44.0,T. Gibson makes 2-pt shot from 1 ft (assist by R. Rondo),2,44-55,,
1:31.0,,,44-55,,D. Powell misses 2-pt shot from 18 ft
1:29.0,Defensive rebound by B. Portis,,44-55,,
1:20.0,T. Gibson misses 2-pt shot from 5 ft,,44-55,,
1:19.0,,,44-55,,Defensive rebound by W. Matthews
1:05.0,,,44-57,2,H. Barnes makes 2-pt shot from 17 ft (assist by D. Williams)
0:50.0,Shooting foul by D. Powell (drawn by T. Gibson),,44-57,,
0:50.0,T. Gibson makes free throw 1 of 2,1,45-57,,
0:50.0,T. Gibson misses free throw 2 of 2,,45-57,,
0:50.0,,,45-57,,S. Mejri enters the game for D. Powell
0:49.0,,,45-57,,Defensive rebound by D. Finney-Smith
0:29.0,,,45-57,,W. Matthews misses 3-pt shot from 27 ft
0:28.0,Defensive rebound by T. Gibson,,45-57,,
0:24.0,Offensive foul by B. Portis,,45-57,,
0:24.0,Turnover by B. Portis (offensive foul),,45-57,,
0:24.0,C. Felicio enters the game for T. Gibson,,45-57,,
0:24.0,J. Grant enters the game for J. Butler,,45-57,,
0:02.0,,,45-57,,D. Williams misses 2-pt shot from 18 ft
0:01.0,,,45-57,,Offensive rebound by S. Mejri
0:00.0,End of 2nd quarter,,,,End of 2nd quarter
12:00.0,Start of 3rd quarter,,,,Start of 3rd quarter
11:41.0,T. Gibson makes 2-pt shot from 7 ft (assist by R. Rondo),2,47-57,,
11:33.0,Personal foul by R. Rondo (drawn by D. Williams),,47-57,,
11:19.0,,,47-57,,Turnover by W. Matthews (bad pass)
11:00.0,J. Butler misses 3-pt shot from 24 ft,,47-57,,
10:59.0,,,47-57,,Defensive rebound by H. Barnes
10:50.0,,,47-60,3,H. Barnes makes 3-pt shot from 25 ft (assist by D. Williams)
10:32.0,R. Rondo misses 3-pt shot from 25 ft,,47-60,,
10:31.0,,,47-60,,Defensive rebound by A. Bogut
10:10.0,,,47-62,2,W. Matthews makes 2-pt shot from 23 ft
9:49.0,T. Gibson makes 2-pt shot from 4 ft,2,49-62,,
9:28.0,,,49-64,2,W. Matthews makes 2-pt shot from 1 ft (assist by D. Williams)
9:10.0,Turnover by R. Rondo (lost ball),,49-64,,
9:05.0,,,49-67,3,W. Matthews makes 3-pt shot from 23 ft (assist by D. Williams)
9:03.0,Chicago full timeout,,49-67,,
9:03.0,I. Canaan enters the game for N. Mirotic,,49-67,,
9:03.0,J. Grant enters the game for R. Rondo,,49-67,,
8:51.0,J. Butler misses 2-pt shot from 14 ft,,49-67,,
8:48.0,Offensive rebound by R. Lopez,,49-67,,
8:48.0,R. Lopez misses 2-pt shot from 1 ft,,49-67,,
8:48.0,Offensive rebound by R. Lopez,,49-67,,
8:48.0,R. Lopez misses 2-pt shot from 1 ft,,49-67,,
8:47.0,,,49-67,,Defensive rebound by H. Barnes
8:35.0,,,49-67,,Offensive foul by A. Bogut
8:35.0,,,49-67,,Turnover by A. Bogut (offensive foul)
8:35.0,,,49-67,,D. Powell enters the game for A. Bogut
8:22.0,R. Lopez makes 2-pt shot from 18 ft (assist by J. Grant),2,51-67,,
8:03.0,,,51-67,,W. Matthews misses 2-pt shot from 9 ft
8:03.0,,,51-67,,Offensive rebound by W. Matthews
8:03.0,Loose ball foul by R. Lopez (drawn by W. Matthews),,51-67,,
7:51.0,,,51-67,,H. Barnes misses 2-pt shot from 6 ft
7:49.0,Defensive rebound by I. Canaan,,51-67,,
7:42.0,Turnover by I. Canaan (bad pass; steal by D. Finney-Smith),,51-67,,
7:28.0,,,51-69,2,D. Powell makes 2-pt shot at rim (assist by D. Finney-Smith)
7:04.0,R. Lopez misses 2-pt shot from 19 ft,,51-69,,
7:03.0,,,51-69,,Defensive rebound by D. Williams
6:41.0,,,51-72,3,W. Matthews makes 3-pt shot from 23 ft (assist by D. Powell)
6:23.0,I. Canaan makes 2-pt shot from 19 ft,2,53-72,,
6:07.0,Personal foul by T. Gibson (drawn by D. Powell),,53-72,,
6:07.0,B. Portis enters the game for T. Gibson,,53-72,,
6:02.0,,,53-74,2,D. Powell makes 2-pt shot at rim (assist by D. Williams)
5:54.0,Offensive foul by R. Lopez,,53-74,,
5:54.0,Turnover by R. Lopez (offensive foul),,53-74,,
5:54.0,C. Felicio enters the game for R. Lopez,,53-74,,
5:41.0,,,53-74,,D. Finney-Smith misses 3-pt shot from 24 ft
5:40.0,Defensive rebound by J. Butler,,53-74,,
5:34.0,J. Butler misses 2-pt shot from 2 ft,,53-74,,
5:33.0,Offensive rebound by B. Portis,,53-74,,
5:33.0,Shooting foul by W. Matthews (drawn by B. Portis),,53-74,,
5:33.0,B. Portis misses free throw 1 of 2,,53-74,,
5:33.0,Offensive rebound by Team,,53-74,,
5:33.0,B. Portis makes free throw 2 of 2,1,54-74,,
5:33.0,,,53-74,,J. Gibson enters the game for D. Williams
5:09.0,,,54-74,,J. Gibson misses 2-pt shot from 4 ft (block by B. Portis)
5:07.0,Defensive rebound by I. Canaan,,54-74,,
4:54.0,C. Felicio misses 2-pt shot from 10 ft,,54-74,,
4:53.0,,,54-74,,Defensive rebound by W. Matthews
4:42.0,,,54-74,,W. Matthews misses 2-pt shot from 5 ft
4:42.0,,,54-74,,Offensive rebound by Team
4:42.0,,,54-74,,Turnover by W. Matthews (traveling)
4:27.0,J. Butler makes 2-pt shot from 1 ft,2,56-74,,
4:04.0,,,56-76,2,H. Barnes makes 2-pt shot from 18 ft (assist by W. Matthews)
3:53.0,J. Butler makes 2-pt shot from 3 ft,2,58-76,,
3:24.0,,,58-79,3,W. Matthews makes 3-pt shot from 25 ft (assist by D. Finney-Smith)
3:12.0,J. Butler makes 2-pt shot from 17 ft,2,60-79,,
2:56.0,Personal foul by J. Butler (drawn by H. Barnes),,60-79,,
2:56.0,,,60-79,,Dallas full timeout
2:56.0,,,60-79,,D. Harris enters the game for D. Finney-Smith
2:42.0,,,60-79,,H. Barnes misses 2-pt shot from 16 ft
2:41.0,Defensive rebound by B. Portis,,60-79,,
2:32.0,Turnover by J. Butler (traveling),,60-79,,
2:13.0,,,60-79,,H. Barnes misses 2-pt shot from 18 ft
2:12.0,Defensive rebound by B. Portis,,60-79,,
2:06.0,,,60-79,,Personal foul by W. Matthews (drawn by C. Felicio)
2:06.0,,,60-79,,A. Bogut enters the game for H. Barnes
1:55.0,B. Portis makes 3-pt shot from 24 ft (assist by J. Butler),3,63-79,,
1:40.0,,,63-79,,Turnover by J. Gibson (bad pass; steal by I. Canaan)
1:37.0,Turnover by I. Canaan (bad pass; steal by J. Gibson),,63-79,,
1:30.0,,,63-81,2,D. Powell makes 2-pt shot from 19 ft (assist by J. Gibson)
1:17.0,,,63-81,,Personal block foul by J. Gibson (drawn by C. Felicio)
1:07.0,J. Grant misses 2-pt shot from 10 ft,,63-81,,
1:05.0,Offensive rebound by J. Butler,,63-81,,
1:02.0,J. Butler makes 2-pt shot from 1 ft,2,65-81,,
1:01.0,Technical foul by J. Butler,,65-81,,
1:01.0,,,65-82,1,W. Matthews makes technical free throw
1:01.0,,,65-82,,J. Anderson enters the game for A. Bogut
0:42.0,,,65-82,,D. Harris misses 3-pt shot from 26 ft
0:40.0,Defensive rebound by B. Portis,,65-82,,
0:33.0,,,65-82,,Shooting block foul by W. Matthews (drawn by J. Butler)
0:33.0,J. Butler misses free throw 1 of 2,,65-82,,
0:33.0,Offensive rebound by Team,,65-82,,
0:33.0,J. Butler makes free throw 2 of 2,1,66-82,,
0:33.0,,,65-82,,D. Williams enters the game for W. Matthews
0:33.0,,,65-82,,D. Finney-Smith enters the game for J. Gibson
0:11.0,,,66-82,,D. Finney-Smith misses 3-pt shot from 24 ft
0:10.0,Defensive rebound by I. Canaan,,66-82,,
0:01.0,J. Butler misses 2-pt shot from 12 ft,,66-82,,
0:00.0,Offensive rebound by Team,,66-82,,
0:00.0,End of 3rd quarter,,,,End of 3rd quarter
12:00.0,Start of 4th quarter,,,,Start of 4th quarter
11:47.0,,,66-82,,D. Harris misses 2-pt shot from 2 ft (block by J. Grant)
11:46.0,Defensive rebound by D. Valentine,,66-82,,
11:40.0,Offensive charge foul by J. Grant,,66-82,,
11:40.0,Turnover by J. Grant (offensive foul),,66-82,,
11:18.0,,,66-82,,D. Williams misses 2-pt shot from 13 ft
11:17.0,,,66-82,,Offensive rebound by D. Harris
11:04.0,,,66-82,,D. Powell misses 2-pt shot from 20 ft
11:03.0,Defensive rebound by C. Felicio,,66-82,,
10:47.0,D. Valentine makes 2-pt shot from 18 ft,2,68-82,,
10:28.0,,,68-82,,Shooting foul by B. Portis (drawn by D. Powell)
10:28.0,,,68-83,1,D. Powell makes free throw 1 of 2
10:28.0,,,68-84,1,D. Powell makes free throw 2 of 2
10:28.0,R. Rondo enters the game for J. Grant,,68-83,,
10:18.0,,,68-84,,Def 3 sec tech foul by D. Powell
10:18.0,I. Canaan makes technical free throw,1,69-84,,
10:03.0,R. Rondo misses 2-pt shot from 21 ft,,69-84,,
10:02.0,,,69-84,,Defensive rebound by D. Harris
9:47.0,,,69-84,,Turnover by D. Harris (lost ball; steal by R. Rondo)
9:40.0,D. Valentine makes 3-pt shot from 24 ft,3,72-84,,
9:39.0,,,72-84,,Dallas full timeout
9:39.0,,,72-84,,H. Barnes enters the game for J. Anderson
9:18.0,,,72-86,2,D. Finney-Smith makes 2-pt shot at rim (assist by D. Harris)
8:54.0,I. Canaan misses 3-pt shot from 23 ft,,72-86,,
8:53.0,Offensive rebound by C. Felicio,,72-86,,
8:44.0,D. Valentine misses 3-pt shot from 25 ft,,72-86,,
8:43.0,Offensive rebound by R. Rondo,,72-86,,
8:43.0,,,72-86,,Personal foul by D. Harris (drawn by R. Rondo)
8:31.0,C. Felicio makes 2-pt shot from 1 ft,2,74-86,,
8:08.0,,,74-86,,H. Barnes misses 2-pt shot from 14 ft
8:07.0,Defensive rebound by D. Valentine,,74-86,,
7:53.0,Turnover by B. Portis (lost ball; steal by D. Harris),,74-86,,
7:43.0,,,74-86,,D. Harris misses 3-pt shot from 24 ft
7:42.0,,,74-86,,Offensive rebound by D. Finney-Smith
7:29.0,,,74-89,3,D. Finney-Smith makes 3-pt shot from 23 ft (assist by D. Williams)
7:09.0,Turnover by R. Rondo (bad pass; steal by D. Harris),,74-89,,
7:05.0,,,74-91,2,D. Williams makes 2-pt shot at rim (assist by D. Harris)
7:05.0,Chicago full timeout,,74-91,,
7:05.0,,,74-91,,A. Bogut enters the game for D. Williams
7:05.0,,,74-91,,W. Matthews enters the game for D. Powell
7:05.0,,,74-91,,J. Gibson enters the game for D. Harris
7:03.0,R. Lopez enters the game for I. Canaan,,74-91,,
7:03.0,J. Butler enters the game for B. Portis,,74-91,,
7:03.0,T. Gibson enters the game for C. Felicio,,74-91,,
6:58.0,,,74-91,,Shooting block foul by A. Bogut (drawn by J. Butler)
6:58.0,J. Butler makes free throw 1 of 2,1,75-91,,
6:58.0,J. Butler makes free throw 2 of 2,1,76-91,,
6:40.0,,,76-91,,Offensive foul by A. Bogut
6:40.0,,,76-91,,Turnover by A. Bogut (offensive foul)
6:40.0,,,76-91,,D. Powell enters the game for A. Bogut
6:31.0,Turnover by R. Rondo (bad pass),,76-91,,
6:13.0,,,76-91,,J. Gibson misses 3-pt shot from 26 ft
6:11.0,Defensive rebound by D. Valentine,,76-91,,
6:05.0,Turnover by J. Butler (bad pass; steal by W. Matthews),,76-91,,
5:50.0,,,76-94,3,W. Matthews makes 3-pt shot from 24 ft (assist by J. Gibson)
5:28.0,D. Valentine misses 3-pt shot from 25 ft,,76-94,,
5:27.0,Offensive rebound by T. Gibson,,76-94,,
5:25.0,T. Gibson makes 2-pt shot from 1 ft,2,78-94,,
5:04.0,,,78-94,,W. Matthews misses 3-pt shot from 24 ft
5:03.0,Defensive rebound by Team,,78-94,,
4:49.0,D. Valentine misses 2-pt shot from 8 ft,,78-94,,
4:48.0,,,78-94,,Defensive rebound by J. Gibson
4:38.0,,,78-94,,J. Gibson misses 2-pt shot from 10 ft (block by T. Gibson)
4:38.0,,,78-94,,Offensive rebound by Team
4:38.0,,,78-94,,Dallas full timeout
4:38.0,,,78-94,,D. Williams enters the game for J. Gibson
4:35.0,,,78-96,2,D. Powell makes 2-pt shot from 18 ft (assist by D. Williams)
4:17.0,P. Zipser enters the game for T. Gibson,,78-96,,
4:17.0,B. Portis enters the game for R. Lopez,,78-96,,
4:14.0,J. Butler misses 3-pt shot from 23 ft,,78-96,,
4:13.0,,,78-96,,Defensive rebound by D. Powell
3:59.0,,,78-96,,H. Barnes misses 2-pt shot from 18 ft
3:58.0,Defensive rebound by R. Rondo,,78-96,,
3:46.0,J. Butler makes 2-pt shot from 2 ft,2,80-96,,
3:46.0,Shooting foul by D. Finney-Smith (drawn by J. Butler),,80-96,,
3:46.0,J. Butler makes free throw 1 of 1,1,81-96,,
3:27.0,,,81-99,3,W. Matthews makes 3-pt shot from 25 ft (assist by D. Williams)
3:26.0,Chicago full timeout,,81-99,,
3:26.0,J. Grant enters the game for J. Butler,,81-99,,
3:26.0,C. Felicio enters the game for R. Rondo,,81-99,,
3:06.0,P. Zipser misses 2-pt shot from 19 ft,,81-99,,
3:04.0,Offensive rebound by C. Felicio,,81-99,,
3:04.0,Shooting foul by D. Williams (drawn by C. Felicio),,81-99,,
3:04.0,C. Felicio makes free throw 1 of 2,1,82-99,,
3:04.0,C. Felicio misses free throw 2 of 2,,82-99,,
3:04.0,,,82-99,,J. Anderson enters the game for W. Matthews
