time,Philadelphia,pts.away,score,pts.home,Utah
3:27.0,H. Thompson enters the game for N. Stauskas,,12-17,,
3:27.0,T. Luwawu-Cabarrot enters the game for R. Covington,,12-17,,
3:16.0,D. Saric misses 2-pt shot from 21 ft,,12-18,,
3:16.0,,,12-18,,Defensive rebound by S. Mack
2:56.0,,,12-20,2,B. Diaw makes 2-pt shot from 3 ft (assist by R. Gobert)
2:37.0,N. Noel makes 2-pt shot from 3 ft,2,14-20,,
2:21.0,,,14-22,2,R. Gobert makes 2-pt shot at rim (assist by J. Ingles)
2:04.0,T. McConnell makes 2-pt shot from 17 ft,2,16-22,,
1:42.0,,,16-22,,J. Ingles misses 3-pt shot from 24 ft
1:41.0,Defensive rebound by Team,,16-22,,
1:41.0,,,16-22,,J. Johnson enters the game for G. Hayward
1:41.0,,,16-22,,D. Favors enters the game for R. Gobert
1:41.0,E. Ilyasova enters the game for N. Noel,,16-22,,
1:25.0,H. Thompson makes 2-pt shot from 2 ft,2,18-22,,
1:25.0,,,18-22,,Utah full timeout
1:25.0,,,18-22,,G. Hill enters the game for S. Mack
1:09.0,,,18-22,,Turnover by D. Favors (bad pass)
0:54.0,D. Saric makes 3-pt shot from 24 ft (assist by H. Thompson),3,21-22,,
0:36.0,,,21-22,,G. Hill misses 2-pt shot from 13 ft
0:36.0,Defensive rebound by Team,,21-22,,
0:26.0,H. Thompson makes 3-pt shot from 24 ft (assist by E. Ilyasova),3,24-22,,
0:04.0,,,24-22,,J. Ingles misses 2-pt shot from 6 ft
0:04.0,Defensive rebound by E. Ilyasova,,24-22,,
0:01.0,,,24-22,,Personal foul by J. Ingles (drawn by T. McConnell)
0:00.0,End of 1st quarter,,,,End of 1st quarter
12:00.0,Start of 2nd quarter,,,,Start of 2nd quarter
11:45.0,J. Okafor misses 2-pt shot from 5 ft,,24-22,,
11:45.0,,,24-22,,Defensive rebound by D. Favors
11:26.0,,,24-25,3,J. Ingles makes 3-pt shot from 24 ft (assist by J. Johnson)
11:09.0,D. Saric makes 2-pt shot from 1 ft,2,26-25,,
10:51.0,,,26-25,,J. Johnson misses 2-pt shot from 8 ft
10:51.0,,,26-25,,Offensive rebound by Team
10:45.0,,,26-25,,J. Johnson misses 2-pt shot from 4 ft
10:45.0,Defensive rebound by D. Saric,,26-25,,
10:36.0,J. Okafor makes 2-pt shot from 8 ft (assist by D. Saric),2,28-25,,
10:22.0,,,28-25,,Turnover by J. Johnson (step out of bounds)
10:22.0,,,28-25,,R. Hood enters the game for J. Ingles
10:07.0,J. Okafor misses 2-pt shot from 9 ft,,28-25,,
10:07.0,,,28-25,,Defensive rebound by G. Hill
9:54.0,,,28-28,3,J. Johnson makes 3-pt shot from 23 ft (assist by R. Hood)
9:38.0,D. Saric misses 2-pt shot from 19 ft,,28-28,,
9:38.0,,,28-28,,Defensive rebound by D. Favors
9:21.0,,,28-31,3,J. Johnson makes 3-pt shot from 23 ft (assist by G. Hill)
9:19.0,Philadelphia full timeout,,28-31,,
9:19.0,E. Ilyasova enters the game for T. McConnell,,28-31,,
9:19.0,S. Rodriguez enters the game for D. Saric,,28-31,,
9:19.0,,,28-31,,S. Mack enters the game for G. Hill
8:55.0,S. Rodriguez misses 2-pt shot from 21 ft,,28-31,,
8:54.0,,,28-31,,Defensive rebound by T. Lyles
8:38.0,,,28-31,,T. Lyles misses 3-pt shot from 23 ft
8:38.0,,,28-31,,Offensive rebound by D. Favors
8:35.0,,,28-31,,D. Favors misses 2-pt shot from 3 ft
8:33.0,,,28-31,,Offensive rebound by T. Lyles
8:33.0,,,28-31,,T. Lyles misses 2-pt shot from 1 ft
8:32.0,Defensive rebound by S. Rodriguez,,28-31,,
8:26.0,E. Ilyasova makes 2-pt shot from 2 ft (assist by S. Rodriguez),2,30-31,,
8:10.0,,,30-31,,D. Favors misses 2-pt shot from 13 ft
8:09.0,Defensive rebound by E. Ilyasova,,30-31,,
7:57.0,T. Luwawu-Cabarrot misses 2-pt shot from 17 ft,,30-31,,
7:57.0,,,30-31,,Defensive rebound by D. Favors
7:46.0,,,30-31,,Shooting foul by T. Luwawu-Cabarrot (drawn by D. Favors)
7:46.0,,,30-32,1,D. Favors makes free throw 1 of 2
7:46.0,,,30-33,1,D. Favors makes free throw 2 of 2
7:46.0,N. Stauskas enters the game for T. Luwawu-Cabarrot,,30-32,,
7:46.0,R. Covington enters the game for H. Thompson,,30-32,,
7:33.0,R. Covington misses 3-pt shot from 25 ft,,30-33,,
7:32.0,Offensive rebound by J. Okafor,,30-33,,
7:27.0,J. Okafor makes 2-pt shot from 7 ft,2,32-33,,
7:10.0,,,32-35,2,S. Mack makes 2-pt shot from 8 ft
6:57.0,J. Okafor makes 2-pt shot from 6 ft,2,34-35,,
6:36.0,,,34-35,,Turnover by T. Lyles (lost ball; steal by N. Stauskas)
6:29.0,R. Covington misses 3-pt shot from 25 ft,,34-35,,
6:28.0,Offensive rebound by R. Covington,,34-35,,
6:22.0,N. Stauskas misses 3-pt shot from 25 ft,,34-35,,
6:21.0,Offensive rebound by E. Ilyasova,,34-35,,
6:17.0,E. Ilyasova misses 2-pt shot from 13 ft (block by J. Johnson),,34-35,,
6:16.0,Offensive rebound by E. Ilyasova,,34-35,,
6:09.0,J. Okafor makes 2-pt shot from 7 ft,2,36-35,,
6:09.0,Shooting foul by D. Favors (drawn by J. Okafor),,36-35,,
6:09.0,J. Okafor makes free throw 1 of 1,1,37-35,,
6:09.0,,,36-35,,R. Gobert enters the game for D. Favors
6:09.0,,,36-35,,G. Hayward enters the game for J. Johnson
5:57.0,,,37-35,,R. Hood misses 2-pt shot from 4 ft
5:57.0,,,37-35,,Offensive rebound by R. Gobert
5:57.0,,,37-35,,Shooting foul by N. Stauskas (drawn by R. Gobert)
5:57.0,,,37-35,,Utah full timeout
5:57.0,,,37-35,,R. Gobert misses free throw 1 of 2
5:57.0,,,37-35,,Offensive rebound by Team
5:57.0,,,37-35,,R. Gobert misses free throw 2 of 2
5:56.0,Defensive rebound by E. Ilyasova,,37-35,,
5:41.0,E. Ilyasova makes 3-pt shot from 24 ft,3,40-35,,
5:25.0,,,40-37,2,R. Hood makes 2-pt shot from 11 ft
5:10.0,J. Okafor makes 2-pt shot from 13 ft,2,42-37,,
4:48.0,,,42-40,3,T. Lyles makes 3-pt shot from 24 ft
4:34.0,,,42-40,,G. Hill enters the game for S. Mack
4:34.0,,,42-40,,B. Diaw enters the game for T. Lyles
4:21.0,S. Rodriguez misses 3-pt shot from 25 ft,,42-40,,
4:20.0,Offensive rebound by Team,,42-40,,
4:20.0,Turnover by Team (shot clock),,42-40,,
4:20.0,,,42-40,,J. Ingles enters the game for R. Hood
4:20.0,D. Saric enters the game for E. Ilyasova,,42-40,,
4:10.0,,,42-40,,Shooting foul by R. Covington (drawn by G. Hill)
4:10.0,,,42-40,,G. Hill misses free throw 1 of 2
4:10.0,,,42-40,,Offensive rebound by Team
4:10.0,,,42-41,1,G. Hill makes free throw 2 of 2
4:10.0,T. Luwawu-Cabarrot enters the game for R. Covington,,42-40,,
3:56.0,Turnover by S. Rodriguez (bad pass; steal by R. Gobert),,42-41,,
3:45.0,,,42-41,,J. Ingles misses 2-pt shot from 5 ft
3:45.0,Defensive rebound by N. Stauskas,,42-41,,
3:36.0,N. Stauskas misses 3-pt shot from 24 ft,,42-41,,
3:36.0,,,42-41,,Defensive rebound by R. Gobert
3:27.0,,,42-41,,Shooting foul by T. Luwawu-Cabarrot (drawn by G. Hayward)
3:27.0,,,42-43,2,G. Hayward makes 2-pt shot from 3 ft (assist by G. Hill)
3:27.0,,,42-44,1,G. Hayward makes free throw 1 of 1
3:27.0,T. McConnell enters the game for S. Rodriguez,,42-43,,
3:06.0,J. Okafor makes 2-pt shot from 1 ft,2,44-44,,
2:51.0,,,44-44,,Shooting foul by T. Luwawu-Cabarrot (drawn by R. Gobert)
2:51.0,,,44-44,,Utah full timeout
2:51.0,,,44-44,,R. Gobert misses free throw 1 of 2
2:51.0,,,44-44,,Offensive rebound by Team
2:51.0,,,44-44,,R. Gobert misses free throw 2 of 2
2:51.0,H. Thompson enters the game for T. Luwawu-Cabarrot,,44-44,,
2:50.0,Defensive rebound by J. Okafor,,44-44,,
2:31.0,D. Saric makes 2-pt shot from 12 ft (assist by J. Okafor),2,46-44,,
2:13.0,,,46-44,,G. Hayward misses 3-pt shot from 23 ft
2:13.0,Defensive rebound by N. Stauskas,,46-44,,
1:57.0,J. Okafor misses 2-pt shot from 10 ft,,46-44,,
1:57.0,,,46-44,,Defensive rebound by J. Ingles
1:39.0,,,46-44,,G. Hayward misses 2-pt shot from 2 ft
1:39.0,Defensive rebound by H. Thompson,,46-44,,
1:33.0,D. Saric makes 2-pt shot from 7 ft,2,48-44,,
1:33.0,Shooting foul by G. Hill (drawn by D. Saric),,48-44,,
1:33.0,D. Saric makes free throw 1 of 1,1,49-44,,
1:33.0,,,48-44,,R. Hood enters the game for J. Ingles
1:33.0,N. Noel enters the game for J. Okafor,,48-44,,
1:20.0,,,49-44,,Turnover by G. Hill (lost ball; steal by T. McConnell)
1:13.0,H. Thompson misses 2-pt shot from 23 ft,,49-44,,
1:13.0,Offensive rebound by D. Saric,,49-44,,
1:05.0,Turnover by D. Saric (traveling),,49-44,,
0:45.0,,,49-46,2,G. Hill makes 2-pt shot from 12 ft
0:41.0,Philadelphia full timeout,,49-46,,
0:30.0,N. Noel makes 2-pt shot from 2 ft,2,51-46,,
0:13.0,,,51-49,3,R. Hood makes 3-pt shot from 24 ft (assist by G. Hill)
0:02.0,T. McConnell misses 2-pt shot from 8 ft,,51-49,,
0:01.0,,,51-49,,Defensive rebound by R. Gobert
0:00.0,End of 2nd quarter,,,,End of 2nd quarter
12:00.0,Start of 3rd quarter,,,,Start of 3rd quarter
11:44.0,E. Ilyasova misses 2-pt shot from 10 ft,,51-49,,
11:43.0,,,51-49,,Defensive rebound by R. Hood
11:21.0,,,51-49,,G. Hill misses 2-pt shot from 17 ft
11:20.0,Defensive rebound by R. Covington,,51-49,,
11:01.0,J. Okafor misses 2-pt shot from 16 ft,,51-49,,
11:01.0,,,51-49,,Defensive rebound by D. Favors
10:40.0,,,51-49,,Turnover by R. Hood (lost ball; steal by R. Covington)
10:31.0,R. Covington misses 3-pt shot from 24 ft,,51-49,,
10:30.0,,,51-49,,Defensive rebound by G. Hayward
10:23.0,,,51-52,3,R. Hood makes 3-pt shot from 24 ft (assist by G. Hill)
10:02.0,N. Stauskas makes 2-pt shot from 1 ft (assist by J. Okafor),2,53-52,,
9:46.0,,,53-52,,Turnover by R. Hood (traveling)
9:46.0,N. Noel enters the game for J. Okafor,,53-52,,
9:37.0,E. Ilyasova makes 2-pt shot from 2 ft (assist by T. McConnell),2,55-52,,
9:22.0,,,55-52,,Turnover by D. Favors (offensive foul)
9:22.0,,,55-52,,Offensive charge foul by D. Favors
9:01.0,Turnover by T. McConnell (bad pass),,55-52,,
8:46.0,,,55-54,2,D. Favors makes 2-pt shot from 3 ft (assist by G. Hayward)
8:34.0,Turnover by T. McConnell (bad pass; steal by G. Hill),,55-54,,
8:31.0,Personal foul by N. Noel (drawn by G. Hill),,55-54,,
8:22.0,,,55-54,,G. Hayward misses 2-pt shot from 12 ft
8:22.0,Defensive rebound by R. Covington,,55-54,,
8:08.0,Shooting foul by G. Hayward (drawn by R. Covington),,55-54,,
8:08.0,R. Covington makes free throw 1 of 2,1,56-54,,
8:08.0,R. Covington misses free throw 2 of 2,,56-54,,
8:07.0,,,56-54,,Defensive rebound by R. Gobert
7:47.0,,,56-56,2,R. Gobert makes 2-pt shot from 2 ft (assist by G. Hayward)
7:47.0,,,56-56,,Shooting foul by N. Noel (drawn by R. Gobert)
7:47.0,,,56-56,,R. Gobert misses free throw 1 of 1
7:46.0,Defensive rebound by R. Covington,,56-56,,
7:34.0,N. Noel misses 2-pt shot from 13 ft,,56-56,,
7:34.0,,,56-56,,Defensive rebound by R. Gobert
7:19.0,,,56-56,,Shooting foul by T. McConnell (drawn by G. Hill)
7:19.0,,,56-57,1,G. Hill makes free throw 1 of 2
7:19.0,,,56-57,,G. Hill misses free throw 2 of 2
7:19.0,Defensive rebound by N. Stauskas,,56-57,,
7:19.0,J. Okafor enters the game for N. Noel,,56-57,,
7:19.0,,,56-57,,B. Diaw enters the game for D. Favors
7:06.0,T. McConnell makes 2-pt shot from 16 ft (assist by N. Stauskas),2,58-57,,
6:48.0,,,58-57,,R. Gobert misses 2-pt shot from 2 ft
6:48.0,,,58-57,,Offensive rebound by G. Hill
6:46.0,,,58-59,2,G. Hill makes 2-pt shot from 2 ft
6:26.0,J. Okafor misses 2-pt shot from 5 ft,,58-59,,
6:25.0,,,58-59,,Defensive rebound by R. Gobert
6:15.0,,,58-61,2,R. Gobert makes 2-pt shot at rim (assist by G. Hill)
6:15.0,Philadelphia full timeout,,58-61,,
6:15.0,,,58-61,,S. Mack enters the game for G. Hill
6:04.0,E. Ilyasova makes 2-pt shot from 9 ft (assist by T. McConnell),2,60-61,,
5:45.0,,,60-61,,R. Hood misses 3-pt shot from 23 ft
5:44.0,,,60-61,,Offensive rebound by R. Gobert
5:37.0,,,60-61,,G. Hayward misses 2-pt shot from 23 ft
5:37.0,Defensive rebound by E. Ilyasova,,60-61,,
5:25.0,J. Okafor misses 2-pt shot from 5 ft,,60-61,,
5:24.0,,,60-61,,Defensive rebound by R. Gobert
5:11.0,,,60-61,,Turnover by R. Hood (lost ball)
4:56.0,E. Ilyasova makes 3-pt shot from 24 ft (assist by R. Covington),3,63-61,,
4:40.0,,,63-63,2,G. Hayward makes 2-pt shot from 21 ft
4:27.0,Shooting foul by R. Hood (drawn by N. Stauskas),,63-63,,
4:27.0,N. Stauskas makes free throw 1 of 2,1,64-63,,
4:27.0,N. Stauskas makes free throw 2 of 2,1,65-63,,
4:27.0,S. Rodriguez enters the game for T. McConnell,,64-63,,
4:27.0,H. Thompson enters the game for R. Covington,,64-63,,
4:27.0,N. Noel enters the game for J. Okafor,,64-63,,
4:27.0,,,64-63,,J. Ingles enters the game for R. Hood
4:12.0,,,65-63,,B. Diaw misses 2-pt shot from 21 ft
4:11.0,Defensive rebound by S. Rodriguez,,65-63,,
3:55.0,H. Thompson misses 3-pt shot from 24 ft,,65-63,,
3:55.0,Offensive rebound by Team,,65-63,,
3:55.0,,,65-63,,Loose ball foul by S. Mack (drawn by E. Ilyasova)
3:55.0,D. Saric enters the game for E. Ilyasova,,65-63,,
3:36.0,Turnover by N. Stauskas (bad pass),,65-63,,
3:22.0,,,65-63,,Shooting foul by N. Stauskas (drawn by G. Hayward)
3:22.0,,,65-64,1,G. Hayward makes free throw 1 of 2
3:22.0,,,65-65,1,G. Hayward makes free throw 2 of 2
3:01.0,N. Noel makes 2-pt shot at rim (assist by N. Stauskas),2,67-65,,
2:53.0,,,67-65,,Utah full timeout
2:53.0,,,67-65,,D. Favors enters the game for R. Gobert
2:46.0,,,67-67,2,G. Hayward makes 2-pt shot from 4 ft
2:34.0,Shooting foul by D. Favors (drawn by N. Noel),,67-67,,
2:34.0,N. Noel makes free throw 1 of 2,1,68-67,,
2:34.0,N. Noel makes free throw 2 of 2,1,69-67,,
2:34.0,R. Covington enters the game for N. Stauskas,,68-67,,
2:25.0,,,69-70,3,G. Hayward makes 3-pt shot from 24 ft
2:15.0,S. Rodriguez makes 3-pt shot from 24 ft,3,72-70,,
1:50.0,,,72-70,,B. Diaw misses 2-pt shot from 9 ft
1:50.0,Defensive rebound by N. Noel,,72-70,,
1:41.0,Turnover by S. Rodriguez (bad pass; steal by G. Hayward),,72-70,,
1:35.0,,,72-70,,B. Diaw misses 2-pt shot from 2 ft
1:34.0,Defensive rebound by D. Saric,,72-70,,
1:23.0,N. Noel makes 2-pt shot at rim (assist by S. Rodriguez),2,74-70,,
1:00.0,,,74-70,,D. Favors misses 2-pt shot at rim (block by D. Saric)
0:59.0,,,74-70,,Offensive rebound by D. Favors
0:58.0,,,74-70,,D. Favors misses 2-pt shot from 2 ft
0:58.0,,,74-70,,Offensive rebound by Team
0:58.0,,,74-70,,T. Lyles enters the game for B. Diaw
0:58.0,,,74-70,,R. Hood enters the game for J. Ingles
0:48.0,,,74-70,,G. Hayward misses 2-pt shot from 5 ft
0:47.0,Defensive rebound by R. Covington,,74-70,,
0:38.0,S. Rodriguez misses 3-pt shot from 25 ft,,74-70,,
0:37.0,,,74-70,,Defensive rebound by G. Hayward
0:15.0,,,74-70,,S. Mack misses 2-pt shot from 12 ft
0:15.0,,,74-70,,Offensive rebound by Team
0:15.0,,,74-70,,Turnover by Team (shot clock)
0:07.0,,,74-70,,Violation by D. Favors (kicked ball)
0:01.0,S. Rodriguez misses 3-pt shot from 25 ft,,74-70,,
0:00.0,Offensive rebound by Team,,74-70,,
0:00.0,End of 3rd quarter,,,,End of 3rd quarter
12:00.0,Start of 4th quarter,,,,Start of 4th quarter
11:42.0,,,74-72,2,R. Hood makes 2-pt shot from 17 ft (assist by D. Favors)
11:32.0,R. Covington misses 3-pt shot from 24 ft,,74-72,,
11:32.0,,,74-72,,Defensive rebound by G. Hill
11:11.0,,,74-75,3,R. Hood makes 3-pt shot from 23 ft (assist by J. Johnson)
10:53.0,J. Okafor misses 2-pt shot from 4 ft (block by D. Favors),,74-75,,
10:52.0,,,74-75,,Defensive rebound by D. Favors
10:34.0,,,74-77,2,G. Hill makes 2-pt shot from 11 ft
10:13.0,D. Saric misses 2-pt shot from 3 ft (block by T. Lyles),,74-77,,
10:12.0,Offensive rebound by D. Saric,,74-77,,
10:09.0,R. Covington misses 2-pt shot from 6 ft,,74-77,,
10:08.0,,,74-77,,Defensive rebound by D. Favors
9:50.0,,,74-80,3,T. Lyles makes 3-pt shot from 23 ft (assist by J. Johnson)
9:49.0,Philadelphia full timeout,,74-80,,
9:34.0,D. Saric makes 2-pt shot from 6 ft,2,76-80,,
9:16.0,,,76-82,2,R. Hood makes 2-pt shot from 19 ft
9:02.0,H. Thompson misses 2-pt shot from 17 ft,,76-82,,
9:02.0,,,76-82,,Defensive rebound by D. Favors
8:40.0,,,76-85,3,T. Lyles makes 3-pt shot from 25 ft (assist by R. Hood)
8:24.0,T. McConnell misses 2-pt shot from 3 ft (block by G. Hill),,76-85,,
8:24.0,Offensive rebound by Team,,76-85,,
8:24.0,N. Stauskas enters the game for H. Thompson,,76-85,,
8:24.0,,,76-85,,R. Gobert enters the game for D. Favors
8:24.0,,,76-85,,J. Ingles enters the game for R. Hood
8:19.0,,,76-85,,Personal foul by J. Johnson (drawn by J. Okafor)
8:05.0,D. Saric misses 3-pt shot from 25 ft,,76-85,,
8:04.0,,,76-85,,Defensive rebound by G. Hill
7:46.0,,,76-88,3,G. Hill makes 3-pt shot from 30 ft (assist by T. Lyles)
7:35.0,Turnover by T. McConnell (bad pass; steal by G. Hill),,76-88,,
7:28.0,,,76-88,,T. Lyles misses 3-pt shot from 24 ft
7:27.0,Defensive rebound by J. Okafor,,76-88,,
7:17.0,D. Saric misses 3-pt shot from 24 ft,,76-88,,
7:16.0,,,76-88,,Defensive rebound by R. Gobert
6:57.0,,,76-88,,Shooting foul by N. Stauskas (drawn by G. Hill)
6:57.0,,,76-88,,G. Hill misses free throw 1 of 2
6:57.0,,,76-88,,Offensive rebound by Team
6:57.0,,,76-89,1,G. Hill makes free throw 2 of 2
6:57.0,E. Ilyasova enters the game for D. Saric,,76-88,,
6:57.0,,,76-88,,R. Hood enters the game for J. Ingles
6:46.0,R. Covington misses 3-pt shot from 24 ft,,76-89,,
6:46.0,Offensive rebound by R. Covington,,76-89,,
6:37.0,N. Stauskas misses 3-pt shot from 25 ft,,76-89,,
6:37.0,,,76-89,,Defensive rebound by G. Hill
6:23.0,,,76-89,,J. Johnson misses 3-pt shot from 23 ft
6:23.0,Defensive rebound by E. Ilyasova,,76-89,,
6:07.0,E. Ilyasova misses 3-pt shot from 25 ft,,76-89,,
6:07.0,,,76-89,,Defensive rebound by G. Hill
5:57.0,,,76-91,2,G. Hill makes 2-pt shot from 15 ft
5:57.0,Philadelphia full timeout,,76-91,,
5:57.0,Philadelphia full timeout,,76-91,,
5:57.0,T. Luwawu-Cabarrot enters the game for T. McConnell,,76-91,,
5:57.0,N. Noel enters the game for J. Okafor,,76-91,,
5:57.0,,,76-91,,S. Mack enters the game for G. Hill
5:44.0,Turnover by N. Stauskas (bad pass; steal by R. Gobert),,76-91,,
5:20.0,,,76-91,,J. Johnson misses 3-pt shot from 23 ft
5:20.0,Defensive rebound by E. Ilyasova,,76-91,,
5:13.0,R. Covington misses 2-pt shot from 2 ft,,76-91,,
5:12.0,Offensive rebound by N. Noel,,76-91,,
5:11.0,N. Noel misses 2-pt shot from 2 ft,,76-91,,
5:11.0,Jump ball: T. Lyles vs. N. Noel,,,,Jump ball: T. Lyles vs. N. Noel
5:11.0,Offensive rebound by N. Noel,,76-91,,
5:03.0,Turnover by T. Luwawu-Cabarrot (lost ball; steal by T. Lyles),,76-91,,
4:46.0,,,76-91,,S. Mack misses 2-pt shot from 18 ft
4:46.0,Defensive rebound by Team,,76-91,,
4:46.0,,,76-91,,Loose ball foul by R. Gobert (drawn by N. Noel)
4:33.0,N. Stauskas makes 2-pt shot from 13 ft,2,78-91,,
4:11.0,,,78-91,,Shooting foul by E. Ilyasova (drawn by R. Hood)
4:11.0,,,78-92,1,R. Hood makes free throw 1 of 2
4:11.0,,,78-93,1,R. Hood makes free throw 2 of 2
4:11.0,,,78-92,,G. Hill enters the game for S. Mack
4:11.0,,,78-92,,G. Hayward enters the game for T. Lyles
3:59.0,Turnover by R. Covington (bad pass),,78-93,,
3:46.0,,,78-93,,R. Hood misses 3-pt shot from 25 ft
3:46.0,Defensive rebound by T. Luwawu-Cabarrot,,78-93,,
3:36.0,R. Covington misses 2-pt shot from 2 ft,,78-93,,
3:36.0,,,78-93,,Defensive rebound by R. Gobert
3:27.0,,,78-93,,Turnover by J. Johnson (bad pass; steal by N. Stauskas)
3:18.0,R. Covington misses 3-pt shot from 22 ft,,78-93,,
3:18.0,Offensive rebound by E. Ilyasova,,78-93,,
3:15.0,E. Ilyasova misses 2-pt shot from 3 ft,,78-93,,
3:13.0,Offensive rebound by N. Noel,,78-93,,
3:13.0,R. Covington misses 2-pt shot at rim,,78-93,,
3:09.0,,,78-93,,Defensive rebound by R. Gobert
2:51.0,,,78-95,2,G. Hill makes 2-pt shot from 15 ft
