time,Atlanta,pts.away,score,pts.home,Cleveland
6:02.0,Personal foul by K. Humphries (drawn by K. Love),,13-9,,
6:02.0,Atlanta full timeout,,13-9,,
6:02.0,,,13-9,,C. Frye enters the game for T. Thompson
5:49.0,,,13-11,2,K. Love makes 2-pt shot at rim (assist by L. James)
5:35.0,M. Muscala misses 3-pt shot from 27 ft,,13-11,,
5:35.0,,,13-11,,Defensive rebound by C. Frye
5:20.0,,,13-11,,K. Irving misses 2-pt shot from 16 ft
5:20.0,,,13-11,,Offensive rebound by Team
5:14.0,,,13-11,,Turnover by K. Love (traveling)
4:57.0,K. Humphries misses 3-pt shot from 25 ft,,13-11,,
4:57.0,,,13-11,,Defensive rebound by L. James
4:51.0,,,13-13,2,K. Love makes 2-pt shot from 2 ft (assist by L. James)
4:39.0,M. Muscala misses 2-pt shot from 16 ft,,13-13,,
4:38.0,,,13-13,,Defensive rebound by K. Love
4:26.0,,,13-13,,J. Smith misses 2-pt shot from 8 ft
4:24.0,Defensive rebound by K. Humphries,,13-13,,
4:17.0,D. Schroder makes 3-pt shot from 25 ft (assist by M. Muscala),3,16-13,,
4:16.0,,,16-13,,Cleveland full timeout
4:16.0,,,16-13,,M. Dunleavy enters the game for K. Love
4:16.0,,,16-13,,R. Jefferson enters the game for J. Smith
4:16.0,P. Millsap enters the game for M. Muscala,,16-13,,
4:06.0,,,16-15,2,K. Irving makes 2-pt shot from 1 ft
3:48.0,T. Sefolosha misses 3-pt shot from 23 ft,,16-15,,
3:47.0,,,16-15,,Defensive rebound by L. James
3:39.0,,,16-17,2,K. Irving makes 2-pt shot from 8 ft
3:27.0,T. Hardaway makes 2-pt shot from 1 ft (assist by K. Humphries),2,18-17,,
3:04.0,,,18-17,,M. Dunleavy misses 3-pt shot from 24 ft
3:04.0,Defensive rebound by T. Sefolosha,,18-17,,
2:56.0,,,18-17,,Personal foul by R. Jefferson (drawn by P. Millsap)
2:56.0,M. Delaney enters the game for D. Schroder,,18-17,,
2:56.0,K. Bazemore enters the game for K. Humphries,,18-17,,
2:56.0,,,18-17,,I. Shumpert enters the game for K. Irving
2:47.0,T. Hardaway misses 3-pt shot from 26 ft,,18-17,,
2:47.0,,,18-17,,Defensive rebound by I. Shumpert
2:37.0,,,18-17,,C. Frye misses 3-pt shot from 25 ft
2:37.0,Defensive rebound by M. Delaney,,18-17,,
2:32.0,Turnover by P. Millsap (bad pass; steal by L. James),,18-17,,
2:28.0,,,18-17,,Turnover by I. Shumpert (bad pass)
2:20.0,Turnover by M. Delaney (bad pass),,18-17,,
2:04.0,,,18-20,3,R. Jefferson makes 3-pt shot from 25 ft (assist by M. Dunleavy)
1:41.0,T. Sefolosha makes 2-pt shot from 21 ft (assist by K. Bazemore),2,20-20,,
1:36.0,,,20-20,,Turnover by L. James (lost ball; steal by T. Sefolosha)
1:30.0,Turnover by T. Sefolosha (bad pass; steal by L. James),,20-20,,
1:10.0,,,20-20,,R. Jefferson misses 3-pt shot from 25 ft
1:10.0,Defensive rebound by T. Sefolosha,,20-20,,
0:57.0,M. Delaney misses 2-pt shot from 20 ft,,20-20,,
0:56.0,,,20-20,,Defensive rebound by M. Dunleavy
0:36.0,,,20-20,,M. Dunleavy misses 3-pt shot from 25 ft
0:35.0,Defensive rebound by P. Millsap,,20-20,,
0:30.0,,,20-20,,Personal block foul by R. Jefferson (drawn by T. Sefolosha)
0:30.0,M. Muscala enters the game for T. Sefolosha,,20-20,,
0:30.0,,,20-20,,T. Thompson enters the game for L. James
0:25.0,T. Hardaway misses 2-pt shot from 1 ft,,20-20,,
0:25.0,,,20-20,,Defensive rebound by C. Frye
0:09.0,,,20-20,,I. Shumpert misses 2-pt shot from 12 ft
0:08.0,Defensive rebound by T. Hardaway,,20-20,,
0:00.0,P. Millsap misses 3-pt shot from 29 ft,,20-20,,
0:00.0,Offensive rebound by Team,,20-20,,
0:00.0,End of 1st quarter,,,,End of 1st quarter
12:00.0,Start of 2nd quarter,,,,Start of 2nd quarter
11:52.0,,,20-20,,Offensive foul by I. Shumpert
11:52.0,,,20-20,,Turnover by I. Shumpert (offensive foul)
11:37.0,M. Muscala makes 2-pt shot from 8 ft (assist by M. Delaney),2,22-20,,
11:13.0,,,22-22,2,C. Frye makes 2-pt shot from 9 ft (assist by I. Shumpert)
11:00.0,T. Hardaway misses 2-pt shot from 1 ft,,22-22,,
10:59.0,,,22-22,,Defensive rebound by I. Shumpert
10:52.0,,,22-24,2,C. Frye makes 2-pt shot from 10 ft (assist by I. Shumpert)
10:40.0,K. Bazemore makes 3-pt shot from 25 ft (assist by P. Millsap),3,25-24,,
10:24.0,,,25-24,,I. Shumpert misses 3-pt shot from 25 ft
10:24.0,Defensive rebound by K. Bazemore,,25-24,,
10:13.0,Shooting foul by M. Dunleavy (drawn by K. Bazemore),,25-24,,
10:13.0,K. Bazemore misses free throw 1 of 2,,25-24,,
10:13.0,Offensive rebound by Team,,25-24,,
10:13.0,K. Bazemore misses free throw 2 of 2,,25-24,,
10:13.0,T. Waller-Prince enters the game for T. Hardaway,,25-24,,
10:12.0,,,25-24,,Defensive rebound by C. Frye
9:51.0,,,25-24,,C. Frye misses 3-pt shot from 25 ft
9:51.0,Defensive rebound by T. Waller-Prince,,25-24,,
9:37.0,Turnover by P. Millsap (lost ball; steal by I. Shumpert),,25-24,,
9:25.0,Personal foul by M. Delaney (drawn by C. Frye),,25-24,,
9:25.0,,,25-24,,J. Smith enters the game for R. Jefferson
9:18.0,,,25-27,3,M. Dunleavy makes 3-pt shot from 25 ft (assist by I. Shumpert)
9:03.0,P. Millsap makes 2-pt shot from 1 ft (assist by M. Delaney),2,27-27,,
8:53.0,,,27-27,,C. Frye misses 2-pt shot from 8 ft
8:51.0,,,27-27,,Offensive rebound by C. Frye
8:51.0,,,27-27,,C. Frye misses 2-pt shot from 3 ft
8:50.0,,,27-27,,Offensive rebound by C. Frye
8:50.0,,,27-27,,C. Frye misses 2-pt shot from 1 ft (block by M. Muscala)
8:48.0,Defensive rebound by M. Delaney,,27-27,,
8:37.0,Turnover by M. Delaney (bad pass),,27-27,,
8:37.0,Official timeout,,27-27,,
8:37.0,D. Howard enters the game for P. Millsap,,27-27,,
8:37.0,,,27-27,,K. Love enters the game for C. Frye
8:20.0,,,27-27,,J. Smith misses 2-pt shot from 17 ft
8:18.0,,,27-27,,Offensive rebound by K. Love
8:17.0,Personal foul by T. Waller-Prince (drawn by K. Love),,27-27,,
8:17.0,,,27-27,,K. Irving enters the game for M. Dunleavy
8:05.0,,,27-27,,K. Love misses 3-pt shot from 26 ft
8:04.0,Defensive rebound by T. Waller-Prince,,27-27,,
7:59.0,,,27-27,,Personal foul by T. Thompson (drawn by D. Howard)
7:59.0,D. Schroder enters the game for M. Delaney,,27-27,,
7:48.0,M. Muscala makes 2-pt shot from 1 ft (assist by K. Bazemore),2,29-27,,
7:36.0,,,29-30,3,I. Shumpert makes 3-pt shot from 25 ft (assist by K. Irving)
7:26.0,Turnover by M. Muscala (bad pass; steal by I. Shumpert),,29-30,,
7:20.0,,,29-32,2,I. Shumpert makes 2-pt shot from 1 ft
7:05.0,D. Howard misses 2-pt shot from 8 ft,,29-32,,
7:01.0,,,29-32,,Defensive rebound by K. Love
6:57.0,,,29-34,2,K. Irving makes 2-pt shot from 18 ft
6:57.0,Atlanta full timeout,,29-34,,
6:43.0,K. Bazemore misses 3-pt shot from 25 ft,,29-34,,
6:43.0,Offensive rebound by M. Muscala,,29-34,,
6:38.0,M. Muscala makes 2-pt shot from 15 ft,2,31-34,,
6:21.0,,,31-36,2,K. Irving makes 2-pt shot from 15 ft
6:11.0,Turnover by D. Howard (offensive foul),,31-36,,
6:11.0,Offensive foul by D. Howard,,31-36,,
6:11.0,,,31-36,,Technical foul by J. Smith
6:11.0,Technical foul by D. Schroder,,31-36,,
6:11.0,,,31-36,,Technical foul by T. Thompson
6:11.0,D. Schroder makes technical free throw,1,32-36,,
6:01.0,,,32-36,,K. Irving misses 3-pt shot from 25 ft
6:00.0,Defensive rebound by D. Howard,,32-36,,
5:50.0,D. Schroder makes 2-pt shot from 7 ft,2,34-36,,
5:40.0,,,34-36,,K. Love misses 3-pt shot from 25 ft
5:39.0,,,34-36,,Offensive rebound by J. Smith
5:34.0,,,34-38,2,K. Love makes 2-pt shot at rim (assist by J. Smith)
5:23.0,T. Waller-Prince makes 2-pt shot from 1 ft (assist by D. Schroder),2,36-38,,
5:11.0,,,36-38,,K. Irving misses 2-pt shot from 2 ft
5:10.0,Defensive rebound by K. Bazemore,,36-38,,
4:59.0,K. Bazemore makes 3-pt shot from 25 ft (assist by D. Howard),3,39-38,,
4:59.0,,,39-38,,Cleveland full timeout
4:59.0,T. Sefolosha enters the game for M. Muscala,,39-38,,
4:59.0,T. Hardaway enters the game for T. Waller-Prince,,39-38,,
4:59.0,,,39-38,,L. James enters the game for I. Shumpert
4:46.0,Def 3 sec tech foul by D. Howard,,39-38,,
4:46.0,,,39-38,,K. Irving misses technical free throw
4:46.0,,,39-38,,Offensive rebound by Team
4:30.0,,,39-38,,J. Smith misses 3-pt shot from 28 ft
4:29.0,Defensive rebound by D. Howard,,39-38,,
4:21.0,D. Schroder misses 3-pt shot from 25 ft,,39-38,,
4:19.0,Offensive rebound by D. Howard,,39-38,,
4:19.0,D. Howard makes 2-pt shot at rim,2,41-38,,
4:01.0,,,41-38,,K. Love misses 2-pt shot from 16 ft
4:00.0,Defensive rebound by D. Howard,,41-38,,
3:53.0,K. Bazemore misses 3-pt shot from 30 ft,,41-38,,
3:53.0,,,41-38,,Defensive rebound by T. Thompson
3:53.0,Personal foul by T. Sefolosha (drawn by T. Thompson),,41-38,,
3:53.0,P. Millsap enters the game for K. Bazemore,,41-38,,
3:31.0,,,41-38,,L. James misses 3-pt shot from 25 ft
3:29.0,Defensive rebound by D. Howard,,41-38,,
3:17.0,D. Howard makes 2-pt shot at rim (assist by D. Schroder),2,43-38,,
3:01.0,,,43-38,,J. Smith misses 3-pt shot from 26 ft
3:01.0,Defensive rebound by D. Howard,,43-38,,
2:51.0,D. Schroder makes 2-pt shot at rim,2,45-38,,
2:34.0,,,45-40,2,L. James makes 2-pt shot from 14 ft
2:16.0,P. Millsap makes 2-pt shot from 5 ft,2,47-40,,
2:07.0,,,47-40,,Shooting foul by D. Schroder (drawn by K. Irving)
2:07.0,,,47-41,1,K. Irving makes free throw 1 of 2
2:07.0,,,47-42,1,K. Irving makes free throw 2 of 2
2:07.0,,,47-41,,C. Frye enters the game for T. Thompson
1:49.0,T. Hardaway makes 3-pt shot from 27 ft,3,50-42,,
1:37.0,,,50-42,,C. Frye misses 3-pt shot from 26 ft
1:37.0,Defensive rebound by D. Howard,,50-42,,
1:24.0,P. Millsap makes 3-pt shot from 23 ft (assist by T. Hardaway),3,53-42,,
1:05.0,,,53-42,,K. Love misses 3-pt shot from 25 ft
1:03.0,,,53-42,,Offensive rebound by L. James
1:00.0,,,53-42,,J. Smith misses 3-pt shot from 26 ft
1:00.0,Defensive rebound by D. Howard,,53-42,,
0:39.0,P. Millsap misses 2-pt shot from 7 ft,,53-42,,
0:39.0,,,53-42,,Defensive rebound by C. Frye
0:25.0,,,53-42,,K. Love misses 2-pt shot from 5 ft (block by D. Howard)
0:25.0,,,53-42,,Offensive rebound by Team
0:19.0,,,53-42,,J. Smith misses 3-pt shot from 25 ft
0:18.0,Defensive rebound by P. Millsap,,53-42,,
0:00.0,T. Hardaway misses 3-pt shot from 27 ft,,53-42,,
0:00.0,Offensive rebound by Team,,53-42,,
0:00.0,End of 2nd quarter,,,,End of 2nd quarter
12:00.0,Start of 3rd quarter,,,,Start of 3rd quarter
11:41.0,,,53-42,,L. James misses 2-pt shot from 8 ft
11:40.0,Defensive rebound by D. Howard,,53-42,,
11:35.0,P. Millsap makes 2-pt shot from 6 ft (assist by D. Schroder),2,55-42,,
11:35.0,Shooting foul by K. Love (drawn by P. Millsap),,55-42,,
11:35.0,P. Millsap makes free throw 1 of 1,1,56-42,,
11:13.0,,,56-42,,K. Irving misses 2-pt shot from 6 ft
11:11.0,Defensive rebound by D. Howard,,56-42,,
11:01.0,K. Bazemore misses 2-pt shot from 8 ft,,56-42,,
11:00.0,,,56-42,,Defensive rebound by T. Thompson
10:53.0,,,56-42,,J. Smith misses 3-pt shot from 26 ft
10:53.0,Defensive rebound by D. Howard,,56-42,,
10:35.0,D. Howard makes 2-pt shot from 10 ft,2,58-42,,
10:09.0,,,58-42,,L. James misses 2-pt shot from 7 ft (block by D. Howard)
10:09.0,,,58-42,,Offensive rebound by Team
10:08.0,,,58-42,,Shooting foul by D. Schroder (drawn by K. Irving)
10:08.0,,,58-43,1,K. Irving makes free throw 1 of 2
10:08.0,,,58-44,1,K. Irving makes free throw 2 of 2
9:55.0,D. Schroder makes 2-pt shot from 1 ft,2,60-44,,
9:42.0,,,60-46,2,K. Irving makes 2-pt shot from 15 ft
9:26.0,D. Schroder makes 2-pt shot from 1 ft,2,62-46,,
9:14.0,,,62-46,,K. Irving misses 3-pt shot from 23 ft
9:14.0,Defensive rebound by D. Howard,,62-46,,
8:59.0,P. Millsap misses 2-pt shot from 12 ft,,62-46,,
8:57.0,Offensive rebound by T. Sefolosha,,62-46,,
8:52.0,Shooting foul by K. Love (drawn by D. Schroder),,62-46,,
8:52.0,D. Schroder makes free throw 1 of 2,1,63-46,,
8:52.0,D. Schroder makes free throw 2 of 2,1,64-46,,
8:41.0,,,64-46,,Shooting foul by P. Millsap (drawn by K. Love)
8:41.0,,,64-47,1,K. Love makes free throw 1 of 2
8:41.0,,,64-48,1,K. Love makes free throw 2 of 2
8:27.0,,,64-48,,Personal foul by T. Thompson (drawn by D. Howard)
8:22.0,D. Schroder misses 2-pt shot from 20 ft,,64-48,,
8:21.0,Offensive rebound by T. Sefolosha,,64-48,,
8:07.0,K. Bazemore makes 2-pt shot from 16 ft,2,66-48,,
7:55.0,,,66-48,,Shooting foul by P. Millsap (drawn by K. Love)
7:55.0,,,66-49,1,K. Love makes free throw 1 of 2
7:55.0,,,66-50,1,K. Love makes free throw 2 of 2
7:45.0,Turnover by D. Schroder (bad pass; steal by K. Irving),,66-50,,
7:43.0,,,66-52,2,L. James makes 2-pt shot from 2 ft (assist by K. Irving)
7:43.0,,,66-52,,Shooting foul by K. Bazemore (drawn by L. James)
7:43.0,,,66-53,1,L. James makes free throw 1 of 1
7:27.0,Turnover by D. Schroder (bad pass; steal by J. Smith),,66-53,,
7:18.0,,,66-56,3,L. James makes 3-pt shot from 26 ft (assist by K. Love)
7:18.0,Atlanta full timeout,,66-56,,
7:02.0,Shooting foul by T. Thompson (drawn by D. Howard),,66-56,,
7:02.0,D. Howard misses free throw 1 of 2,,66-56,,
7:02.0,Offensive rebound by Team,,66-56,,
7:02.0,D. Howard makes free throw 2 of 2,1,67-56,,
7:02.0,M. Muscala enters the game for P. Millsap,,66-56,,
7:02.0,T. Hardaway enters the game for K. Bazemore,,66-56,,
6:50.0,,,67-56,,L. James misses 3-pt shot from 25 ft
6:50.0,Defensive rebound by D. Howard,,67-56,,
6:46.0,Shooting foul by K. Irving (drawn by D. Schroder),,67-56,,
6:46.0,D. Schroder makes free throw 1 of 2,1,68-56,,
6:46.0,D. Schroder makes free throw 2 of 2,1,69-56,,
6:29.0,,,69-56,,C. Frye enters the game for T. Thompson
6:20.0,,,69-56,,K. Irving misses 2-pt shot from 6 ft
6:18.0,,,69-56,,Offensive rebound by K. Love
6:17.0,,,69-59,3,C. Frye makes 3-pt shot from 26 ft (assist by K. Love)
6:10.0,Offensive foul by D. Howard,,69-59,,
6:10.0,Turnover by D. Howard (offensive foul),,69-59,,
5:57.0,,,69-61,2,L. James makes 2-pt shot at rim
5:47.0,Turnover by M. Muscala (bad pass),,69-61,,
5:39.0,,,69-63,2,L. James makes 2-pt shot from 1 ft
5:38.0,,,69-63,,Violation by Team (jump ball)
5:17.0,D. Schroder misses 2-pt shot from 1 ft (block by K. Irving),,69-63,,
5:17.0,Offensive rebound by Team,,69-63,,
5:17.0,P. Millsap enters the game for D. Howard,,69-63,,
5:13.0,P. Millsap misses 2-pt shot from 17 ft,,69-63,,
5:13.0,Offensive rebound by T. Hardaway,,69-63,,
5:12.0,,,69-63,,Personal foul by L. James (drawn by T. Hardaway)
5:12.0,T. Hardaway misses free throw 1 of 2,,69-63,,
5:12.0,Offensive rebound by Team,,69-63,,
5:12.0,T. Hardaway makes free throw 2 of 2,1,70-63,,
5:02.0,,,70-63,,K. Irving misses 3-pt shot from 27 ft
5:02.0,,,70-63,,Offensive rebound by K. Love
4:43.0,,,70-63,,C. Frye misses 2-pt shot from 6 ft
4:42.0,,,70-63,,Offensive rebound by K. Love
4:42.0,,,70-63,,K. Love misses 2-pt shot from 2 ft
4:41.0,Defensive rebound by D. Schroder,,70-63,,
4:32.0,M. Muscala makes 2-pt shot at rim (assist by D. Schroder),2,72-63,,
4:32.0,,,72-63,,Cleveland full timeout
4:16.0,,,72-65,2,K. Love makes 2-pt shot from 1 ft (assist by J. Smith)
4:08.0,,,72-65,,Personal foul by K. Love (drawn by P. Millsap)
4:08.0,P. Millsap makes free throw 1 of 2,1,73-65,,
4:08.0,P. Millsap makes free throw 2 of 2,1,74-65,,
4:08.0,K. Bazemore enters the game for D. Schroder,,73-65,,
3:53.0,,,74-65,,J. Smith misses 3-pt shot from 25 ft
3:52.0,Defensive rebound by K. Bazemore,,74-65,,
3:44.0,T. Hardaway misses 3-pt shot from 24 ft,,74-65,,
3:44.0,,,74-65,,Defensive rebound by L. James
3:38.0,,,74-67,2,L. James makes 2-pt shot at rim
3:22.0,T. Sefolosha makes 3-pt shot from 25 ft (assist by K. Bazemore),3,77-67,,
3:03.0,,,77-69,2,K. Irving makes 2-pt shot from 1 ft
2:49.0,T. Hardaway misses 3-pt shot from 25 ft,,77-69,,
2:49.0,Offensive rebound by M. Muscala,,77-69,,
2:43.0,Turnover by T. Hardaway (bad pass; steal by J. Smith),,77-69,,
2:26.0,,,77-69,,L. James misses 3-pt shot from 25 ft
2:26.0,Defensive rebound by K. Bazemore,,77-69,,
2:15.0,K. Bazemore misses 2-pt shot from 8 ft,,77-69,,
2:15.0,,,77-69,,Defensive rebound by C. Frye
2:11.0,,,77-69,,Shooting foul by T. Sefolosha (drawn by L. James)
2:11.0,Violation by Team (jump ball),,77-69,,
2:11.0,,,77-70,1,L. James makes free throw 1 of 2
2:11.0,,,77-71,1,L. James makes free throw 2 of 2
2:11.0,,,77-70,,I. Shumpert enters the game for K. Love
2:11.0,M. Delaney enters the game for T. Hardaway,,77-70,,
1:59.0,K. Bazemore misses 2-pt shot from 2 ft,,77-71,,
1:56.0,,,77-71,,Defensive rebound by L. James
1:53.0,,,77-71,,C. Frye misses 3-pt shot from 26 ft
1:53.0,,,77-71,,Offensive rebound by L. James
1:53.0,Personal foul by M. Delaney (drawn by J. Smith),,77-71,,
1:53.0,,,77-72,1,L. James makes free throw 1 of 2
1:53.0,,,77-73,1,L. James makes free throw 2 of 2
1:53.0,,,77-72,,M. Dunleavy enters the game for K. Irving
1:30.0,,,77-73,,Shooting block foul by M. Dunleavy (drawn by K. Bazemore)
1:30.0,K. Bazemore makes free throw 1 of 2,1,78-73,,
1:30.0,K. Bazemore makes free throw 2 of 2,1,79-73,,
1:30.0,T. Hardaway enters the game for T. Sefolosha,,78-73,,
1:09.0,,,79-73,,J. Smith misses 2-pt shot from 18 ft
1:09.0,Defensive rebound by M. Delaney,,79-73,,
0:57.0,M. Muscala misses 3-pt shot from 23 ft,,79-73,,
0:57.0,,,79-73,,Defensive rebound by I. Shumpert
0:46.0,,,79-76,3,C. Frye makes 3-pt shot from 24 ft (assist by J. Smith)
0:30.0,K. Bazemore makes 2-pt shot from 18 ft,2,81-76,,
0:07.0,,,81-79,3,J. Smith makes 3-pt shot from 25 ft (assist by C. Frye)
0:01.0,Shooting foul by I. Shumpert (drawn by K. Bazemore),,81-79,,
0:01.0,K. Bazemore makes free throw 1 of 3,1,82-79,,
0:01.0,K. Bazemore makes free throw 2 of 3,1,83-79,,
0:01.0,K. Bazemore makes free throw 3 of 3,1,84-79,,
0:00.0,,,84-79,,J. Smith misses 3-pt shot from 43 ft
0:00.0,,,84-79,,Offensive rebound by Team
0:00.0,End of 3rd quarter,,,,End of 3rd quarter
12:00.0,Start of 4th quarter,,,,Start of 4th quarter
11:46.0,P. Millsap makes 2-pt shot from 4 ft (assist by M. Muscala),2,86-79,,
11:46.0,Shooting foul by K. Love (drawn by P. Millsap),,86-79,,
11:46.0,P. Millsap makes free throw 1 of 1,1,87-79,,
11:46.0,T. Waller-Prince enters the game for K. Bazemore,,86-79,,
11:31.0,,,87-79,,K. Irving misses 2-pt shot from 8 ft
11:28.0,,,87-79,,Offensive rebound by K. Love
11:26.0,,,87-81,2,K. Love makes 2-pt shot at rim
11:05.0,T. Hardaway misses 3-pt shot from 25 ft,,87-81,,
11:04.0,Offensive rebound by P. Millsap,,87-81,,
11:03.0,Turnover by P. Millsap (bad pass; steal by M. Dunleavy),,87-81,,
10:47.0,,,87-81,,K. Love misses 2-pt shot from 6 ft
10:46.0,Defensive rebound by T. Waller-Prince,,87-81,,
10:29.0,T. Hardaway makes 2-pt shot from 1 ft (assist by M. Delaney),2,89-81,,
10:19.0,,,89-81,,Turnover by K. Love (bad pass)
10:19.0,,,89-81,,T. Thompson enters the game for C. Frye
10:19.0,D. Howard enters the game for M. Muscala,,89-81,,
10:08.0,M. Delaney makes 2-pt shot from 17 ft,2,91-81,,
9:55.0,,,91-81,,K. Irving misses 2-pt shot from 17 ft
9:54.0,Defensive rebound by D. Howard,,91-81,,
9:48.0,,,91-81,,Personal foul by K. Irving (drawn by M. Delaney)
9:45.0,T. Waller-Prince misses 2-pt shot from 5 ft,,91-81,,
9:45.0,Offensive rebound by Team,,91-81,,
9:28.0,P. Millsap makes 3-pt shot from 27 ft (assist by M. Delaney),3,94-81,,
9:28.0,,,94-81,,Cleveland full timeout
9:16.0,,,94-81,,K. Irving misses 2-pt shot from 20 ft
9:16.0,Defensive rebound by T. Waller-Prince,,94-81,,
9:08.0,Turnover by T. Waller-Prince (bad pass; steal by K. Love),,94-81,,
9:02.0,,,94-81,,M. Dunleavy misses 3-pt shot from 24 ft
8:59.0,Defensive rebound by Team,,94-81,,
8:45.0,M. Delaney makes 2-pt shot from 18 ft,2,96-81,,
8:24.0,,,96-81,,K. Love misses 2-pt shot from 6 ft (block by D. Howard)
8:23.0,Defensive rebound by M. Delaney,,96-81,,
8:23.0,,,96-81,,Personal foul by K. Irving (drawn by M. Delaney)
8:23.0,T. Sefolosha enters the game for T. Waller-Prince,,96-81,,
8:23.0,,,96-81,,L. James enters the game for M. Dunleavy
8:14.0,Turnover by M. Delaney (bad pass; steal by T. Thompson),,96-81,,
8:08.0,,,96-81,,Shooting foul by P. Millsap (drawn by K. Irving)
8:08.0,,,96-82,1,K. Irving makes free throw 1 of 2
8:08.0,,,96-83,1,K. Irving makes free throw 2 of 2
7:50.0,P. Millsap misses 2-pt shot from 7 ft,,96-83,,
7:49.0,,,96-83,,Defensive rebound by K. Love
7:34.0,,,96-85,2,K. Irving makes 2-pt shot from 22 ft (assist by I. Shumpert)
7:14.0,P. Millsap misses 3-pt shot from 26 ft,,96-85,,
7:14.0,,,96-85,,Defensive rebound by Team
7:14.0,Loose ball foul by D. Howard (drawn by K. Love),,96-85,,
7:14.0,D. Schroder enters the game for P. Millsap,,96-85,,
7:14.0,M. Muscala enters the game for T. Hardaway,,96-85,,
7:14.0,K. Bazemore enters the game for M. Delaney,,96-85,,
7:14.0,,,96-85,,C. Frye enters the game for T. Thompson
7:02.0,,,96-87,2,K. Irving makes 2-pt shot from 1 ft
6:55.0,Turnover by D. Schroder (bad pass),,96-87,,
6:44.0,,,96-89,2,K. Irving makes 2-pt shot from 7 ft
6:44.0,Atlanta full timeout,,96-89,,
6:22.0,T. Sefolosha misses 3-pt shot from 25 ft,,96-89,,
6:21.0,,,96-89,,Defensive rebound by L. James
6:16.0,,,96-89,,K. Irving misses 3-pt shot from 27 ft
6:15.0,,,96-89,,Offensive rebound by I. Shumpert
