time,Minnesota,pts.away,score,pts.home,Atlanta
2:42.0,Turnover by A. Wiggins (traveling),,88-82,,
2:42.0,,,88-82,,Atlanta full timeout
2:42.0,,,88-82,,K. Korver enters the game for T. Sefolosha
2:27.0,,,88-82,,M. Muscala misses 2-pt shot from 17 ft
2:25.0,Defensive rebound by G. Dieng,,88-82,,
2:02.0,Z. LaVine misses 3-pt shot from 25 ft,,88-82,,
2:00.0,Offensive rebound by K. Towns,,88-82,,
1:55.0,K. Towns misses 2-pt shot from 2 ft,,88-82,,
1:54.0,Offensive rebound by G. Dieng,,88-82,,
1:39.0,A. Wiggins misses 2-pt shot from 20 ft,,88-82,,
1:38.0,,,88-82,,Defensive rebound by K. Bazemore
1:27.0,,,88-82,,P. Millsap misses 2-pt shot from 10 ft
1:26.0,Defensive rebound by K. Towns,,88-82,,
1:12.0,Turnover by K. Towns (bad pass),,88-82,,
1:05.0,,,88-84,2,D. Schroder makes 2-pt shot from 3 ft
0:42.0,G. Dieng makes 2-pt shot from 19 ft (assist by Z. LaVine),2,90-84,,
0:42.0,,,90-84,,Atlanta full timeout
0:30.0,,,90-84,,Turnover by K. Korver (bad pass)
0:30.0,,,90-84,,Personal take foul by P. Millsap (drawn by Z. LaVine)
0:30.0,Z. LaVine makes free throw 1 of 2,1,91-84,,
0:30.0,Z. LaVine makes free throw 2 of 2,1,92-84,,
0:26.0,,,92-84,,D. Schroder misses 3-pt shot from 24 ft
0:24.0,,,92-84,,Offensive rebound by P. Millsap
0:19.0,,,92-84,,P. Millsap misses 3-pt shot from 26 ft
