time,Utah,pts.away,score,pts.home,Portland
10:30.0,S. Mack enters the game for D. Exum,,64-81,,
10:23.0,D. Favors misses 2-pt shot from 9 ft,,64-81,,
10:22.0,,,64-81,,Defensive rebound by D. Lillard
10:03.0,,,64-84,3,D. Lillard makes 3-pt shot from 25 ft
9:38.0,J. Johnson misses 2-pt shot from 9 ft,,64-84,,
9:38.0,,,64-84,,Defensive rebound by A. Aminu
9:21.0,,,64-84,,D. Lillard misses 2-pt shot from 16 ft
9:20.0,Defensive rebound by J. Ingles,,64-84,,
9:02.0,J. Johnson misses 3-pt shot from 25 ft,,64-84,,
9:00.0,,,64-84,,Defensive rebound by E. Turner
8:41.0,,,64-84,,Turnover by E. Turner (bad pass; steal by J. Ingles)
8:37.0,S. Mack makes 2-pt shot from 1 ft (assist by J. Ingles),2,66-84,,
8:23.0,Personal foul by D. Favors (drawn by D. Lillard),,66-84,,
8:23.0,B. Diaw enters the game for J. Ingles,,66-84,,
8:23.0,G. Hayward enters the game for J. Johnson,,66-84,,
8:12.0,,,66-84,,A. Aminu misses 2-pt shot from 4 ft
8:12.0,Defensive rebound by B. Diaw,,66-84,,
7:54.0,A. Burks makes 2-pt shot from 19 ft (assist by B. Diaw),2,68-84,,
7:34.0,,,68-84,,D. Lillard misses 2-pt shot from 10 ft
7:32.0,Defensive rebound by G. Hayward,,68-84,,
7:24.0,A. Burks misses 2-pt shot at rim,,68-84,,
7:23.0,Offensive rebound by D. Favors,,68-84,,
7:23.0,D. Favors misses 2-pt shot from 1 ft,,68-84,,
7:23.0,Offensive rebound by D. Favors,,68-84,,
7:23.0,D. Favors makes 2-pt shot from 1 ft,2,70-84,,
7:23.0,,,70-84,,Portland full timeout
7:23.0,,,70-84,,C. McCollum enters the game for N. Vonleh
7:23.0,,,70-84,,M. Leonard enters the game for E. Turner
7:04.0,,,70-84,,Turnover by A. Aminu (lost ball)
6:54.0,G. Hayward misses 2-pt shot from 16 ft,,70-84,,
6:52.0,,,70-84,,Defensive rebound by M. Harkless
6:33.0,,,70-86,2,M. Harkless makes 2-pt shot from 2 ft (assist by D. Lillard)
6:23.0,D. Favors misses 3-pt shot from 25 ft,,70-86,,
6:22.0,,,70-86,,Defensive rebound by M. Leonard
6:00.0,,,70-88,2,A. Aminu makes 2-pt shot from 4 ft
5:55.0,G. Hayward makes 2-pt shot from 2 ft (assist by S. Mack),2,72-88,,
5:55.0,Shooting foul by M. Harkless (drawn by G. Hayward),,72-88,,
5:55.0,G. Hayward makes free throw 1 of 1,1,73-88,,
5:55.0,T. Lyles enters the game for D. Favors,,72-88,,
5:55.0,R. Gobert enters the game for B. Diaw,,72-88,,
5:36.0,,,73-88,,M. Leonard misses 3-pt shot from 25 ft (block by R. Gobert)
5:35.0,Defensive rebound by A. Burks,,73-88,,
5:27.0,A. Burks misses 2-pt shot from 2 ft,,73-88,,
5:27.0,Offensive rebound by T. Lyles,,73-88,,
5:27.0,T. Lyles misses 2-pt shot from 1 ft,,73-88,,
5:26.0,Offensive rebound by S. Mack,,73-88,,
5:21.0,Shooting foul by M. Harkless (drawn by T. Lyles),,73-88,,
5:21.0,T. Lyles makes free throw 1 of 2,1,74-88,,
5:21.0,T. Lyles makes free throw 2 of 2,1,75-88,,
5:21.0,R. Hood enters the game for G. Hayward,,74-88,,
4:57.0,,,75-88,,A. Aminu misses 2-pt shot from 3 ft
4:57.0,Defensive rebound by T. Lyles,,75-88,,
4:53.0,Shooting foul by M. Leonard (drawn by R. Hood),,75-88,,
4:53.0,R. Hood makes free throw 1 of 2,1,76-88,,
4:53.0,R. Hood misses free throw 2 of 2,,76-88,,
4:51.0,,,76-88,,Defensive rebound by M. Leonard
4:28.0,,,76-90,2,M. Harkless makes 2-pt shot from 1 ft
4:15.0,R. Gobert makes 2-pt shot from 3 ft (assist by A. Burks),2,78-90,,
3:55.0,,,78-90,,A. Aminu misses 3-pt shot from 24 ft
3:54.0,Defensive rebound by A. Burks,,78-90,,
3:48.0,A. Burks misses 2-pt shot from 1 ft,,78-90,,
3:48.0,,,78-90,,Defensive rebound by A. Aminu
3:33.0,,,78-93,3,D. Lillard makes 3-pt shot from 25 ft
3:21.0,,,78-93,,Personal foul by M. Harkless (drawn by R. Hood)
3:21.0,R. Hood makes free throw 1 of 2,1,79-93,,
3:21.0,R. Hood makes free throw 2 of 2,1,80-93,,
3:21.0,J. Withey enters the game for R. Gobert,,79-93,,
3:21.0,,,79-93,,N. Vonleh enters the game for M. Leonard
3:01.0,,,80-93,,C. McCollum misses 2-pt shot from 2 ft
3:01.0,,,80-93,,Offensive rebound by N. Vonleh
3:00.0,,,80-93,,N. Vonleh misses 2-pt shot from 2 ft
2:58.0,Defensive rebound by A. Burks,,80-93,,
2:41.0,R. Hood misses 2-pt shot from 13 ft,,80-93,,
2:40.0,,,80-93,,Defensive rebound by Team
2:40.0,Loose ball foul by J. Withey (drawn by N. Vonleh),,80-93,,
2:40.0,Official timeout,,80-93,,
2:40.0,J. Ingles enters the game for R. Hood,,80-93,,
2:21.0,,,80-93,,Shooting foul by J. Ingles (drawn by D. Lillard)
2:21.0,,,80-94,1,D. Lillard makes free throw 1 of 2
2:21.0,,,80-95,1,D. Lillard makes free throw 2 of 2
2:07.0,S. Mack misses 3-pt shot from 25 ft,,80-95,,
2:07.0,,,80-95,,Defensive rebound by D. Lillard
1:49.0,,,80-98,3,D. Lillard makes 3-pt shot from 26 ft
1:38.0,T. Lyles makes 3-pt shot from 25 ft (assist by S. Mack),3,83-98,,
1:21.0,,,83-98,,Shooting foul by S. Mack (drawn by D. Lillard)
