time,Miami,pts.away,score,pts.home,Atlanta
5:11.0,J. McRoberts misses 2-pt shot from 13 ft,,11-20,,
5:09.0,,,11-20,,Defensive rebound by K. Korver
5:00.0,,,11-22,2,D. Schroder makes 2-pt shot from 2 ft (assist by T. Sefolosha)
4:41.0,G. Dragic misses 3-pt shot from 25 ft,,11-22,,
4:40.0,,,11-22,,Defensive rebound by D. Howard
4:30.0,,,11-22,,T. Sefolosha misses 2-pt shot from 19 ft
4:28.0,Defensive rebound by H. Whiteside,,11-22,,
4:21.0,T. Johnson makes 2-pt shot from 1 ft,2,13-22,,
4:06.0,,,13-24,2,M. Muscala makes 2-pt shot from 1 ft (assist by K. Korver)
3:49.0,J. McRoberts misses 2-pt shot from 15 ft,,13-24,,
3:46.0,,,13-24,,Defensive rebound by M. Muscala
3:36.0,,,13-24,,T. Sefolosha misses 3-pt shot from 24 ft
3:35.0,Defensive rebound by G. Dragic,,13-24,,
3:19.0,G. Dragic misses 2-pt shot from 14 ft,,13-24,,
3:17.0,,,13-24,,Defensive rebound by M. Muscala
3:14.0,,,13-24,,Turnover by K. Korver (bad pass; steal by R. McGruder)
3:13.0,,,13-24,,K. Humphries enters the game for D. Howard
3:13.0,W. Ellington enters the game for J. McRoberts,,13-24,,
3:13.0,W. Reed enters the game for H. Whiteside,,13-24,,
3:13.0,D. Williams enters the game for G. Dragic,,13-24,,
3:05.0,T. Johnson makes 2-pt shot from 20 ft,2,15-24,,
2:56.0,,,15-24,,Atlanta full timeout
2:56.0,,,15-24,,T. Hardaway enters the game for T. Sefolosha
2:48.0,,,15-24,,K. Korver misses 3-pt shot from 24 ft
2:47.0,,,15-24,,Offensive rebound by K. Humphries
2:41.0,,,15-24,,Turnover by M. Muscala (step out of bounds)
2:28.0,,,15-24,,Personal foul by D. Schroder (drawn by T. Johnson)
2:28.0,,,15-24,,M. Delaney enters the game for D. Schroder
2:20.0,W. Ellington makes 2-pt shot from 22 ft (assist by T. Johnson),2,17-24,,
2:07.0,,,17-24,,T. Hardaway misses 3-pt shot from 25 ft
2:05.0,,,17-24,,Offensive rebound by K. Humphries
1:59.0,,,17-27,3,T. Hardaway makes 3-pt shot from 25 ft (assist by K. Korver)
1:45.0,W. Ellington makes 2-pt shot from 21 ft (assist by T. Johnson),2,19-27,,
1:28.0,,,19-27,,K. Humphries misses 2-pt shot from 8 ft
1:26.0,Defensive rebound by W. Ellington,,19-27,,
1:15.0,T. Johnson makes 2-pt shot from 12 ft,2,21-27,,
0:54.0,,,21-27,,Turnover by T. Hardaway (bad pass; steal by W. Reed)
0:51.0,Shooting foul by M. Delaney (drawn by D. Williams),,21-27,,
0:51.0,D. Williams misses free throw 1 of 2,,21-27,,
0:51.0,Offensive rebound by Team,,21-27,,
0:51.0,D. Williams makes free throw 2 of 2,1,22-27,,
0:51.0,,,21-27,,P. Millsap enters the game for M. Muscala
0:31.0,Violation by W. Reed (def goaltending),,22-27,,
0:31.0,,,22-29,2,P. Millsap makes 2-pt shot from 12 ft (assist by T. Hardaway)
0:13.0,T. Johnson misses 2-pt shot from 21 ft,,22-29,,
0:11.0,Offensive rebound by W. Reed,,22-29,,
0:06.0,W. Ellington makes 3-pt shot from 24 ft,3,25-29,,
0:00.0,,,25-29,,M. Delaney misses 2-pt shot from 4 ft
0:00.0,,,25-29,,Offensive rebound by Team
0:00.0,End of 1st quarter,,,,End of 1st quarter
12:00.0,Start of 2nd quarter,,,,Start of 2nd quarter
11:47.0,,,25-29,,Turnover by K. Humphries (lost ball)
11:47.0,,,25-29,,Loose ball foul by K. Humphries (drawn by R. McGruder)
11:35.0,W. Ellington misses 3-pt shot from 24 ft,,25-29,,
11:34.0,,,25-29,,Defensive rebound by T. Waller-Prince
11:13.0,,,25-29,,K. Humphries misses 2-pt shot from 14 ft (block by R. McGruder)
11:11.0,Defensive rebound by D. Williams,,25-29,,
11:08.0,Turnover by D. Williams (lost ball),,25-29,,
11:08.0,,,25-29,,D. Howard enters the game for K. Humphries
10:58.0,,,25-31,2,M. Delaney makes 2-pt shot from 16 ft
10:35.0,W. Reed makes 2-pt shot from 15 ft (assist by T. Johnson),2,27-31,,
10:16.0,,,27-31,,Turnover by P. Millsap (bad pass)
10:16.0,G. Dragic enters the game for R. McGruder,,27-31,,
10:06.0,,,27-31,,Personal foul by T. Waller-Prince (drawn by T. Johnson)
9:57.0,D. Williams misses 3-pt shot from 25 ft,,27-31,,
9:55.0,,,27-31,,Defensive rebound by K. Korver
9:46.0,,,27-31,,Shooting foul by D. Williams (drawn by P. Millsap)
9:46.0,,,27-32,1,P. Millsap makes free throw 1 of 2
9:46.0,,,27-33,1,P. Millsap makes free throw 2 of 2
9:36.0,D. Williams misses 2-pt shot from 1 ft (block by P. Millsap),,27-33,,
9:34.0,,,27-33,,Defensive rebound by M. Delaney
9:30.0,,,27-35,2,T. Waller-Prince makes 2-pt shot from 1 ft (assist by K. Korver)
9:07.0,G. Dragic makes 3-pt shot from 22 ft (assist by T. Johnson),3,30-35,,
8:53.0,,,30-37,2,P. Millsap makes 2-pt shot from 1 ft (assist by D. Howard)
8:39.0,W. Ellington misses 3-pt shot from 26 ft,,30-37,,
8:38.0,,,30-37,,Defensive rebound by D. Howard
8:29.0,,,30-37,,K. Korver misses 3-pt shot from 26 ft
8:27.0,,,30-37,,Offensive rebound by Team
8:27.0,Official timeout,,30-37,,
8:27.0,H. Whiteside enters the game for W. Reed,,30-37,,
8:27.0,J. McRoberts enters the game for D. Williams,,30-37,,
8:21.0,Personal foul by G. Dragic (drawn by M. Delaney),,30-37,,
8:13.0,,,30-39,2,K. Korver makes 2-pt shot from 2 ft (assist by P. Millsap)
7:55.0,W. Ellington misses 2-pt shot from 14 ft (block by D. Howard),,30-39,,
7:55.0,Offensive rebound by Team,,30-39,,
7:47.0,H. Whiteside misses 2-pt shot from 7 ft,,30-39,,
7:46.0,,,30-39,,Defensive rebound by T. Waller-Prince
7:33.0,,,30-39,,Turnover by M. Delaney (bad pass; steal by G. Dragic)
7:20.0,Turnover by J. McRoberts (lost ball; steal by M. Delaney),,30-39,,
7:14.0,,,30-42,3,K. Korver makes 3-pt shot from 25 ft (assist by T. Waller-Prince)
6:59.0,,,30-42,,Personal foul by T. Waller-Prince (drawn by G. Dragic)
6:59.0,R. McGruder enters the game for T. Johnson,,30-42,,
6:44.0,J. McRoberts misses 2-pt shot at rim,,30-42,,
6:43.0,,,30-42,,Defensive rebound by D. Howard
6:37.0,,,30-44,2,M. Delaney makes 2-pt shot from 1 ft
6:31.0,Miami full timeout,,30-44,,
6:18.0,Turnover by J. McRoberts (lost ball; steal by P. Millsap),,30-44,,
6:16.0,Technical foul by J. McRoberts,,30-44,,
6:16.0,,,30-45,1,K. Korver makes technical free throw
6:16.0,T. Johnson enters the game for W. Ellington,,30-45,,
6:10.0,,,30-45,,P. Millsap misses 3-pt shot from 24 ft
6:09.0,Defensive rebound by T. Johnson,,30-45,,
6:00.0,Shooting foul by T. Waller-Prince (drawn by T. Johnson),,30-45,,
6:00.0,T. Johnson makes free throw 1 of 2,1,31-45,,
6:00.0,T. Johnson makes free throw 2 of 2,1,32-45,,
6:00.0,,,31-45,,T. Hardaway enters the game for K. Korver
5:49.0,,,32-45,,M. Delaney misses 2-pt shot from 1 ft
5:47.0,,,32-45,,Offensive rebound by D. Howard
5:47.0,,,32-47,2,D. Howard makes 2-pt shot at rim
5:26.0,G. Dragic misses 2-pt shot from 2 ft,,32-47,,
5:24.0,,,32-47,,Defensive rebound by D. Howard
5:18.0,,,32-47,,T. Waller-Prince misses 3-pt shot from 23 ft
5:17.0,Defensive rebound by H. Whiteside,,32-47,,
5:12.0,G. Dragic misses 2-pt shot from 5 ft (block by T. Waller-Prince),,32-47,,
5:11.0,Offensive rebound by Team,,32-47,,
5:11.0,,,32-47,,D. Schroder enters the game for M. Delaney
5:11.0,,,32-47,,M. Muscala enters the game for P. Millsap
5:01.0,R. McGruder makes 3-pt shot from 24 ft (assist by G. Dragic),3,35-47,,
4:50.0,,,35-47,,Shooting foul by G. Dragic (drawn by T. Waller-Prince)
4:50.0,,,35-48,1,T. Waller-Prince makes free throw 1 of 2
4:50.0,,,35-49,1,T. Waller-Prince makes free throw 2 of 2
4:50.0,W. Ellington enters the game for G. Dragic,,35-48,,
4:36.0,T. Johnson makes 3-pt shot from 25 ft (assist by R. McGruder),3,38-49,,
4:14.0,,,38-49,,T. Hardaway misses 3-pt shot from 25 ft
4:13.0,Defensive rebound by H. Whiteside,,38-49,,
4:01.0,T. Johnson makes 3-pt shot from 26 ft (assist by R. McGruder),3,41-49,,
4:00.0,,,41-49,,Atlanta full timeout
4:00.0,,,41-49,,T. Sefolosha enters the game for T. Waller-Prince
3:48.0,,,41-51,2,D. Schroder makes 2-pt shot from 17 ft
3:29.0,R. McGruder misses 3-pt shot from 24 ft,,41-51,,
3:27.0,,,41-51,,Defensive rebound by M. Muscala
3:21.0,Personal foul by R. McGruder (drawn by D. Schroder),,41-51,,
3:21.0,D. Williams enters the game for T. Johnson,,41-51,,
3:16.0,,,41-51,,M. Muscala misses 2-pt shot from 18 ft
3:14.0,Defensive rebound by R. McGruder,,41-51,,
3:01.0,W. Ellington misses 3-pt shot from 25 ft,,41-51,,
3:00.0,,,41-51,,Defensive rebound by D. Howard
2:46.0,,,41-51,,T. Hardaway misses 2-pt shot from 9 ft
2:45.0,,,41-51,,Offensive rebound by D. Howard
2:45.0,,,41-53,2,D. Howard makes 2-pt shot at rim
2:23.0,H. Whiteside misses 2-pt shot from 1 ft (block by D. Howard),,41-53,,
2:22.0,Offensive rebound by R. McGruder,,41-53,,
2:19.0,H. Whiteside makes 2-pt shot at rim (assist by J. McRoberts),2,43-53,,
2:04.0,,,43-53,,M. Muscala misses 2-pt shot from 16 ft
2:00.0,Defensive rebound by D. Williams,,43-53,,
1:53.0,Shooting foul by T. Hardaway (drawn by R. McGruder),,43-53,,
1:53.0,R. McGruder makes free throw 1 of 2,1,44-53,,
1:53.0,R. McGruder misses free throw 2 of 2,,44-53,,
1:53.0,,,44-53,,P. Millsap enters the game for D. Howard
1:53.0,,,44-53,,K. Korver enters the game for T. Hardaway
1:53.0,T. Johnson enters the game for W. Ellington,,44-53,,
1:50.0,Offensive rebound by H. Whiteside,,44-53,,
1:33.0,H. Whiteside misses 2-pt shot from 5 ft,,44-53,,
1:31.0,,,44-53,,Defensive rebound by P. Millsap
1:27.0,,,44-53,,D. Schroder misses 2-pt shot from 1 ft
1:26.0,Defensive rebound by D. Williams,,44-53,,
1:02.0,H. Whiteside misses 2-pt shot from 3 ft,,44-53,,
1:02.0,,,44-53,,Defensive rebound by Team
0:47.0,,,44-53,,Turnover by P. Millsap (bad pass; steal by R. McGruder)
0:43.0,Shooting foul by K. Korver (drawn by R. McGruder),,44-53,,
0:43.0,R. McGruder makes free throw 1 of 2,1,45-53,,
0:43.0,R. McGruder makes free throw 2 of 2,1,46-53,,
0:43.0,W. Ellington enters the game for D. Williams,,45-53,,
0:29.0,,,46-53,,T. Sefolosha misses 3-pt shot from 26 ft
0:28.0,Defensive rebound by R. McGruder,,46-53,,
0:23.0,Miami full timeout,,46-53,,
0:23.0,,,46-53,,D. Howard enters the game for M. Muscala
0:05.0,T. Johnson misses 2-pt shot from 16 ft,,46-53,,
0:03.0,,,46-53,,Defensive rebound by P. Millsap
0:00.0,,,46-53,,K. Korver misses 3-pt shot from 30 ft
0:00.0,,,46-53,,Offensive rebound by Team
0:00.0,End of 2nd quarter,,,,End of 2nd quarter
12:00.0,Start of 3rd quarter,,,,Start of 3rd quarter
11:45.0,,,46-53,,Turnover by D. Schroder (discontinued dribble)
11:20.0,Turnover by Team (shot clock),,46-53,,
11:04.0,,,46-55,2,T. Hardaway makes 2-pt shot from 20 ft (assist by D. Howard)
10:49.0,G. Dragic misses 2-pt shot from 11 ft,,46-55,,
10:47.0,,,46-55,,Defensive rebound by D. Howard
10:37.0,,,46-55,,T. Hardaway misses 2-pt shot from 3 ft (block by H. Whiteside)
10:37.0,,,46-55,,Offensive rebound by Team
10:34.0,,,46-57,2,D. Schroder makes 2-pt shot from 16 ft (assist by T. Sefolosha)
10:10.0,Turnover by H. Whiteside (lost ball; steal by P. Millsap),,46-57,,
10:10.0,Personal foul by H. Whiteside (drawn by P. Millsap),,46-57,,
9:58.0,,,46-57,,Turnover by T. Hardaway (bad pass; steal by J. McRoberts)
9:51.0,Turnover by G. Dragic (lost ball; steal by T. Hardaway),,46-57,,
9:46.0,,,46-59,2,T. Hardaway makes 2-pt shot at rim
9:46.0,Miami full timeout,,46-59,,
9:46.0,,,46-59,,Technical foul by D. Schroder
9:46.0,W. Ellington makes technical free throw,1,47-59,,
9:34.0,G. Dragic makes 2-pt shot from 18 ft (assist by R. McGruder),2,49-59,,
9:08.0,,,49-59,,D. Schroder misses 2-pt shot from 3 ft
9:06.0,Defensive rebound by W. Ellington,,49-59,,
8:54.0,W. Ellington makes 3-pt shot from 24 ft (assist by R. McGruder),3,52-59,,
8:42.0,,,52-61,2,T. Sefolosha makes 2-pt shot from 16 ft
8:12.0,W. Ellington misses 2-pt shot from 9 ft,,52-61,,
8:10.0,,,52-61,,Defensive rebound by D. Howard
7:56.0,,,52-63,2,D. Schroder makes 2-pt shot from 1 ft
7:37.0,G. Dragic misses 3-pt shot from 25 ft,,52-63,,
7:33.0,,,52-63,,Defensive rebound by D. Schroder
7:19.0,,,52-63,,P. Millsap misses 3-pt shot from 24 ft
7:17.0,Defensive rebound by H. Whiteside,,52-63,,
7:07.0,G. Dragic makes 2-pt shot from 14 ft,2,54-63,,
7:00.0,,,54-63,,Shooting foul by J. McRoberts (drawn by P. Millsap)
7:00.0,,,54-63,,P. Millsap misses free throw 1 of 2
7:00.0,,,54-63,,Offensive rebound by Team
7:00.0,,,54-64,1,P. Millsap makes free throw 2 of 2
7:00.0,T. Johnson enters the game for G. Dragic,,54-63,,
7:00.0,,,54-63,,M. Muscala enters the game for D. Howard
7:00.0,,,54-63,,K. Korver enters the game for T. Hardaway
6:42.0,H. Whiteside misses 2-pt shot from 1 ft (block by P. Millsap),,54-64,,
6:42.0,Offensive rebound by Team,,54-64,,
6:36.0,W. Ellington misses 3-pt shot from 25 ft,,54-64,,
6:33.0,Offensive rebound by R. McGruder,,54-64,,
6:27.0,T. Johnson misses 2-pt shot from 2 ft (block by M. Muscala),,54-64,,
6:24.0,,,54-64,,Defensive rebound by T. Sefolosha
6:12.0,,,54-67,3,D. Schroder makes 3-pt shot from 24 ft (assist by K. Korver)
5:59.0,R. McGruder makes 3-pt shot from 22 ft (assist by W. Ellington),3,57-67,,
5:35.0,,,57-69,2,P. Millsap makes 2-pt shot from 1 ft
5:18.0,,,57-69,,Personal foul by P. Millsap (drawn by T. Johnson)
5:08.0,R. McGruder misses 3-pt shot from 25 ft,,57-69,,
5:06.0,,,57-69,,Defensive rebound by P. Millsap
4:50.0,,,57-71,2,T. Sefolosha makes 2-pt shot from 18 ft
4:35.0,Offensive foul by H. Whiteside,,57-71,,
4:35.0,Turnover by H. Whiteside (offensive foul),,57-71,,
4:35.0,,,57-71,,T. Hardaway enters the game for P. Millsap
4:25.0,,,57-71,,Offensive foul by M. Muscala
4:25.0,,,57-71,,Turnover by M. Muscala (offensive foul)
4:25.0,D. Williams enters the game for J. McRoberts,,57-71,,
4:10.0,Turnover by D. Williams (bad pass; steal by D. Schroder),,57-71,,
3:58.0,,,57-71,,D. Schroder misses 3-pt shot from 25 ft
3:57.0,Defensive rebound by H. Whiteside,,57-71,,
3:48.0,R. McGruder misses 2-pt shot from 6 ft (block by D. Schroder),,57-71,,
3:48.0,Offensive rebound by R. McGruder,,57-71,,
3:48.0,R. McGruder makes 2-pt shot from 6 ft,2,59-71,,
3:48.0,Shooting foul by D. Schroder (drawn by R. McGruder),,59-71,,
3:48.0,R. McGruder misses free throw 1 of 1,,59-71,,
3:45.0,,,59-71,,Defensive rebound by T. Sefolosha
3:31.0,,,59-71,,T. Sefolosha misses 3-pt shot from 25 ft
3:30.0,Defensive rebound by D. Williams,,59-71,,
3:23.0,T. Johnson misses 2-pt shot from 2 ft,,59-71,,
3:23.0,Offensive rebound by H. Whiteside,,59-71,,
3:23.0,H. Whiteside makes 2-pt shot at rim,2,61-71,,
3:23.0,,,61-71,,Atlanta full timeout
3:23.0,,,61-71,,D. Howard enters the game for T. Sefolosha
3:23.0,,,61-71,,M. Delaney enters the game for D. Schroder
3:23.0,G. Dragic enters the game for R. McGruder,,61-71,,
3:10.0,,,61-71,,Turnover by M. Delaney (back court)
2:45.0,D. Williams misses 3-pt shot from 25 ft,,61-71,,
2:43.0,,,61-71,,Defensive rebound by M. Delaney
2:27.0,,,61-71,,M. Delaney misses 3-pt shot from 23 ft
2:26.0,Defensive rebound by H. Whiteside,,61-71,,
2:23.0,Offensive charge foul by H. Whiteside,,61-71,,
2:23.0,Turnover by H. Whiteside (offensive foul),,61-71,,
2:05.0,,,61-71,,Offensive foul by D. Howard
2:05.0,,,61-71,,Turnover by D. Howard (offensive foul)
1:58.0,Turnover by G. Dragic (bad pass),,61-71,,
1:42.0,,,61-71,,T. Hardaway misses 2-pt shot from 1 ft (block by D. Williams)
1:38.0,,,61-71,,Offensive rebound by D. Howard
1:37.0,,,61-73,2,D. Howard makes 2-pt shot at rim
1:19.0,D. Williams makes 2-pt shot from 14 ft (assist by G. Dragic),2,63-73,,
1:07.0,,,63-76,3,K. Korver makes 3-pt shot from 24 ft (assist by M. Delaney)
0:54.0,,,63-76,,Personal foul by M. Delaney (drawn by D. Williams)
0:54.0,W. Reed enters the game for H. Whiteside,,63-76,,
0:48.0,T. Johnson misses 3-pt shot from 26 ft,,63-76,,
0:45.0,,,63-76,,Defensive rebound by D. Howard
0:32.0,,,63-76,,T. Hardaway misses 2-pt shot from 3 ft
0:31.0,,,63-76,,Offensive rebound by D. Howard
0:31.0,,,63-76,,D. Howard misses 2-pt shot from 1 ft
0:31.0,,,63-76,,Offensive rebound by D. Howard
0:31.0,,,63-76,,Shooting foul by W. Reed (drawn by D. Howard)
0:31.0,,,63-77,1,D. Howard makes free throw 1 of 2
0:31.0,,,63-78,1,D. Howard makes free throw 2 of 2
0:08.0,G. Dragic misses 3-pt shot from 26 ft,,63-78,,
0:07.0,,,63-78,,Defensive rebound by D. Howard
0:02.0,,,63-78,,M. Delaney misses 2-pt shot from 20 ft
0:01.0,Defensive rebound by W. Reed,,63-78,,
0:00.0,End of 3rd quarter,,,,End of 3rd quarter
12:00.0,Start of 4th quarter,,,,Start of 4th quarter
11:44.0,W. Reed makes 2-pt shot at rim (assist by T. Johnson),2,65-78,,
11:20.0,,,65-78,,T. Waller-Prince misses 2-pt shot from 1 ft
11:16.0,Defensive rebound by T. Johnson,,65-78,,
11:01.0,G. Dragic makes 2-pt shot from 1 ft,2,67-78,,
10:41.0,,,67-80,2,P. Millsap makes 2-pt shot from 1 ft (assist by K. Korver)
10:23.0,Shooting foul by P. Millsap (drawn by T. Johnson),,67-80,,
10:23.0,T. Johnson makes free throw 1 of 2,1,68-80,,
10:23.0,T. Johnson makes free throw 2 of 2,1,69-80,,
10:07.0,,,69-80,,P. Millsap misses 2-pt shot from 7 ft (block by D. Williams)
10:05.0,,,69-80,,Offensive rebound by P. Millsap
10:01.0,,,69-80,,Shooting foul by D. Williams (drawn by D. Howard)
10:01.0,,,69-80,,D. Howard misses free throw 1 of 2
10:01.0,,,69-80,,Offensive rebound by Team
10:01.0,,,69-81,1,D. Howard makes free throw 2 of 2
9:52.0,T. Johnson misses 2-pt shot from 1 ft (block by P. Millsap),,69-81,,
9:52.0,Offensive rebound by Team,,69-81,,
9:42.0,W. Ellington misses 2-pt shot from 16 ft,,69-81,,
9:41.0,,,69-81,,Defensive rebound by P. Millsap
9:30.0,,,69-81,,T. Waller-Prince misses 2-pt shot from 3 ft
9:29.0,,,69-81,,Offensive rebound by D. Howard
9:29.0,,,69-83,2,D. Howard makes 2-pt shot at rim
9:17.0,G. Dragic makes 2-pt shot at rim,2,71-83,,
9:00.0,,,71-83,,K. Korver misses 2-pt shot from 18 ft
8:58.0,,,71-83,,Offensive rebound by D. Howard
8:56.0,Official timeout,,71-83,,
8:56.0,R. McGruder enters the game for W. Ellington,,71-83,,
8:49.0,,,71-83,,K. Korver misses 3-pt shot from 24 ft
8:47.0,Defensive rebound by W. Reed,,71-83,,
8:33.0,,,71-83,,Shooting block foul by M. Delaney (drawn by T. Johnson)
8:33.0,T. Johnson makes free throw 1 of 2,1,72-83,,
8:33.0,T. Johnson makes free throw 2 of 2,1,73-83,,
8:25.0,Personal foul by G. Dragic (drawn by M. Delaney),,73-83,,
8:25.0,,,73-83,,M. Muscala enters the game for D. Howard
8:15.0,,,73-83,,P. Millsap misses 2-pt shot from 15 ft
8:14.0,Defensive rebound by Team,,73-83,,
8:05.0,T. Johnson makes 3-pt shot from 25 ft (assist by R. McGruder),3,76-83,,
7:46.0,,,76-83,,T. Waller-Prince misses 2-pt shot from 10 ft
7:43.0,Defensive rebound by D. Williams,,76-83,,
7:39.0,Turnover by D. Williams (lost ball),,76-83,,
7:39.0,,,76-83,,T. Sefolosha enters the game for K. Korver
7:39.0,,,76-83,,T. Hardaway enters the game for M. Delaney
7:39.0,,,76-83,,D. Schroder enters the game for T. Waller-Prince
7:27.0,,,76-83,,M. Muscala misses 2-pt shot from 7 ft (block by G. Dragic)
7:26.0,Defensive rebound by G. Dragic,,76-83,,
7:22.0,T. Johnson makes 2-pt shot at rim (assist by G. Dragic),2,78-83,,
7:22.0,,,78-83,,Atlanta full timeout
7:22.0,H. Whiteside enters the game for R. McGruder,,78-83,,
7:22.0,W. Ellington enters the game for W. Reed,,78-83,,
7:10.0,,,78-83,,D. Schroder misses 2-pt shot from 2 ft (block by T. Johnson)
7:08.0,Defensive rebound by W. Ellington,,78-83,,
7:06.0,,,78-83,,Shooting block foul by T. Hardaway (drawn by G. Dragic)
7:06.0,G. Dragic makes free throw 1 of 2,1,79-83,,
7:06.0,G. Dragic makes free throw 2 of 2,1,80-83,,
7:06.0,,,79-83,,K. Korver enters the game for T. Hardaway
6:55.0,,,80-83,,Turnover by P. Millsap (lost ball; steal by T. Johnson)
6:48.0,T. Johnson misses 2-pt shot from 1 ft (block by M. Muscala),,80-83,,
6:47.0,,,80-83,,Defensive rebound by K. Korver
6:32.0,,,80-83,,M. Muscala misses 3-pt shot from 23 ft
6:30.0,,,80-83,,Offensive rebound by T. Sefolosha
6:30.0,,,80-85,2,T. Sefolosha makes 2-pt shot at rim
6:09.0,D. Williams misses 3-pt shot from 24 ft,,80-85,,
6:09.0,,,80-85,,Defensive rebound by Team
6:09.0,Loose ball foul by H. Whiteside (drawn by M. Muscala),,80-85,,
5:49.0,,,80-87,2,P. Millsap makes 2-pt shot from 18 ft (assist by D. Schroder)
5:48.0,Miami full timeout,,80-87,,
5:35.0,Offensive charge foul by H. Whiteside,,80-87,,
5:35.0,Turnover by H. Whiteside (offensive foul),,80-87,,
5:35.0,J. McRoberts enters the game for D. Williams,,80-87,,
5:25.0,,,80-89,2,D. Schroder makes 2-pt shot from 11 ft
4:55.0,G. Dragic misses 2-pt shot from 8 ft,,80-89,,
4:54.0,,,80-89,,Defensive rebound by P. Millsap
4:44.0,,,80-91,2,M. Muscala makes 2-pt shot at rim (assist by D. Schroder)
4:42.0,Miami full timeout,,80-91,,
4:42.0,,,80-91,,D. Howard enters the game for P. Millsap
4:34.0,,,80-91,,Personal foul by K. Korver (drawn by T. Johnson)
4:17.0,G. Dragic makes 2-pt shot from 12 ft (assist by W. Ellington),2,82-91,,
4:02.0,,,82-91,,D. Schroder misses 2-pt shot from 9 ft
4:01.0,,,82-91,,Offensive rebound by D. Schroder
4:01.0,,,82-91,,D. Schroder misses 2-pt shot from 1 ft
3:58.0,Defensive rebound by H. Whiteside,,82-91,,
3:52.0,Shooting foul by D. Howard (drawn by T. Johnson),,82-91,,
