time,Toronto,pts.away,score,pts.home,Denver
6:00.0,,,13-12,,D. Gallinari misses 2-pt shot from 22 ft
5:58.0,Defensive rebound by D. DeRozan,,13-12,,
5:42.0,J. Valanciunas makes 2-pt shot at rim (assist by K. Lowry),2,15-12,,
5:26.0,,,15-12,,J. Nelson misses 3-pt shot from 26 ft
5:26.0,Defensive rebound by D. Carroll,,15-12,,
5:20.0,D. Carroll makes 2-pt shot at rim,2,17-12,,
5:20.0,,,17-12,,Denver full timeout
5:20.0,,,17-12,,W. Chandler enters the game for J. Nurkic
5:20.0,,,17-12,,N. Jokic enters the game for K. Faried
5:04.0,,,17-12,,N. Jokic misses 3-pt shot from 24 ft
5:03.0,Defensive rebound by D. DeRozan,,17-12,,
4:49.0,D. Carroll makes 2-pt shot from 2 ft,2,19-12,,
4:26.0,,,19-12,,D. Gallinari misses 3-pt shot from 23 ft
4:24.0,Defensive rebound by P. Siakam,,19-12,,
4:12.0,D. Carroll misses 2-pt shot from 2 ft,,19-12,,
4:12.0,,,19-12,,Defensive rebound by D. Gallinari
4:06.0,,,19-14,2,E. Mudiay makes 2-pt shot from 2 ft
3:47.0,J. Valanciunas makes 2-pt shot from 11 ft (assist by K. Lowry),2,21-14,,
3:28.0,,,21-14,,Turnover by D. Gallinari (lost ball; steal by P. Siakam)
3:12.0,P. Siakam makes 2-pt shot from 3 ft,2,23-14,,
2:54.0,,,23-14,,W. Chandler misses 3-pt shot from 24 ft
2:53.0,Defensive rebound by J. Valanciunas,,23-14,,
2:46.0,D. Carroll misses 3-pt shot from 25 ft,,23-14,,
2:45.0,,,23-14,,Defensive rebound by J. Nelson
2:43.0,,,23-14,,Offensive foul by D. Gallinari
2:43.0,,,23-14,,Turnover by D. Gallinari (offensive foul)
2:43.0,,,23-14,,J. Murray enters the game for J. Nelson
2:43.0,C. Joseph enters the game for J. Valanciunas,,23-14,,
2:43.0,J. Poeltl enters the game for K. Lowry,,23-14,,
2:27.0,D. DeRozan makes 2-pt shot from 11 ft,2,25-14,,
2:27.0,,,25-14,,Denver full timeout
2:27.0,T. Ross enters the game for D. Carroll,,25-14,,
2:15.0,,,25-14,,Turnover by N. Jokic (bad pass)
2:04.0,D. DeRozan misses 2-pt shot from 18 ft,,25-14,,
2:03.0,,,25-14,,Defensive rebound by N. Jokic
1:51.0,,,25-16,2,N. Jokic makes 2-pt shot from 6 ft (assist by E. Mudiay)
1:30.0,T. Ross misses 2-pt shot from 18 ft,,25-16,,
1:28.0,,,25-16,,Defensive rebound by W. Chandler
1:22.0,,,25-18,2,W. Chandler makes 2-pt shot at rim
1:00.0,D. DeRozan makes 2-pt shot from 17 ft (assist by T. Ross),2,27-18,,
0:54.0,,,27-18,,Shooting foul by P. Siakam (drawn by W. Chandler)
0:54.0,,,27-19,1,W. Chandler makes free throw 1 of 2
0:54.0,,,27-19,,W. Chandler misses free throw 2 of 2
0:54.0,P. Patterson enters the game for P. Siakam,,27-19,,
0:54.0,,,27-19,,J. Hernangomez enters the game for D. Gallinari
0:52.0,Defensive rebound by J. Poeltl,,27-19,,
0:33.0,D. DeRozan makes 2-pt shot from 7 ft (assist by C. Joseph),2,29-19,,
0:10.0,,,29-19,,E. Mudiay misses 3-pt shot from 25 ft
0:09.0,,,29-19,,Offensive rebound by W. Chandler
0:05.0,,,29-19,,W. Chandler misses 2-pt shot from 3 ft
0:04.0,Defensive rebound by J. Poeltl,,29-19,,
0:00.0,C. Joseph misses 3-pt shot from 23 ft,,29-19,,
0:00.0,Offensive rebound by Team,,29-19,,
0:00.0,End of 1st quarter,,,,End of 1st quarter
12:00.0,Start of 2nd quarter,,,,Start of 2nd quarter
11:47.0,P. Patterson misses 3-pt shot from 26 ft,,29-19,,
11:46.0,,,29-19,,Defensive rebound by J. Hernangomez
11:37.0,,,29-19,,Turnover by J. Murray (bad pass; steal by J. Poeltl)
11:33.0,C. Joseph makes 2-pt shot from 1 ft (assist by K. Lowry),2,31-19,,
11:23.0,,,31-21,2,N. Jokic makes 2-pt shot from 22 ft (assist by J. Murray)
11:10.0,,,31-21,,Personal foul by J. Murray (drawn by C. Joseph)
11:01.0,C. Joseph misses 2-pt shot from 22 ft,,31-21,,
11:00.0,,,31-21,,Defensive rebound by W. Chandler
10:47.0,,,31-21,,W. Chandler misses 3-pt shot from 23 ft
10:46.0,Defensive rebound by K. Lowry,,31-21,,
10:36.0,J. Poeltl makes 2-pt shot from 2 ft (assist by K. Lowry),2,33-21,,
10:18.0,,,33-23,2,J. Murray makes 2-pt shot from 1 ft (assist by N. Jokic)
10:08.0,C. Joseph misses 2-pt shot from 3 ft,,33-23,,
10:06.0,Offensive rebound by C. Joseph,,33-23,,
10:06.0,Turnover by C. Joseph (lost ball; steal by J. Murray),,33-23,,
10:04.0,Personal foul by P. Patterson,,33-23,,
10:04.0,,,33-24,1,J. Hernangomez makes free throw 1 of 2
10:04.0,,,33-24,,J. Hernangomez misses free throw 2 of 2
10:02.0,Defensive rebound by P. Patterson,,33-24,,
9:46.0,K. Lowry misses 2-pt shot from 12 ft,,33-24,,
9:46.0,Offensive rebound by J. Poeltl,,33-24,,
9:46.0,Shooting foul by J. Nelson (drawn by J. Poeltl),,33-24,,
9:46.0,J. Poeltl makes free throw 1 of 2,1,34-24,,
9:46.0,J. Poeltl makes free throw 2 of 2,1,35-24,,
9:33.0,,,35-27,3,W. Chandler makes 3-pt shot from 26 ft (assist by J. Nelson)
9:16.0,P. Patterson misses 3-pt shot from 25 ft,,35-27,,
9:15.0,,,35-27,,Defensive rebound by J. Hernangomez
9:04.0,,,35-27,,Shooting foul by J. Poeltl (drawn by J. Murray)
9:04.0,,,35-28,1,J. Murray makes free throw 1 of 2
9:04.0,,,35-28,,J. Murray misses free throw 2 of 2
9:02.0,,,35-28,,Offensive rebound by J. Murray
8:58.0,,,35-31,3,W. Chandler makes 3-pt shot from 25 ft (assist by J. Murray)
8:41.0,T. Ross makes 3-pt shot from 26 ft (assist by K. Lowry),3,38-31,,
8:25.0,,,38-31,,J. Nelson misses 2-pt shot from 3 ft
8:23.0,,,38-31,,Offensive rebound by N. Jokic
8:19.0,,,38-31,,J. Murray misses 2-pt shot from 7 ft
8:19.0,Defensive rebound by P. Patterson,,38-31,,
8:09.0,T. Ross makes 2-pt shot from 8 ft,2,40-31,,
7:59.0,,,40-33,2,N. Jokic makes 2-pt shot from 10 ft (assist by J. Murray)
7:48.0,P. Patterson misses 3-pt shot from 26 ft,,40-33,,
7:47.0,,,40-33,,Defensive rebound by J. Nelson
7:33.0,,,40-33,,W. Chandler misses 2-pt shot from 1 ft
7:31.0,Defensive rebound by P. Patterson,,40-33,,
7:25.0,K. Lowry misses 3-pt shot from 24 ft,,40-33,,
7:24.0,,,40-33,,Defensive rebound by J. Hernangomez
7:07.0,,,40-33,,Turnover by J. Hernangomez (traveling)
7:07.0,Official timeout,,40-33,,
7:07.0,,,40-33,,K. Faried enters the game for W. Chandler
7:07.0,,,40-33,,J. Nurkic enters the game for N. Jokic
7:07.0,,,40-33,,D. Gallinari enters the game for J. Hernangomez
6:53.0,K. Lowry makes 2-pt shot from 8 ft,2,42-33,,
6:37.0,Def 3 sec tech foul by P. Patterson,,42-33,,
6:37.0,,,42-34,1,D. Gallinari makes technical free throw
6:37.0,J. Valanciunas enters the game for J. Poeltl,,42-34,,
6:28.0,,,42-34,,Shooting foul by T. Ross (drawn by D. Gallinari)
6:28.0,,,42-35,1,D. Gallinari makes free throw 1 of 2
6:28.0,,,42-36,1,D. Gallinari makes free throw 2 of 2
6:28.0,D. DeRozan enters the game for C. Joseph,,42-35,,
6:10.0,K. Lowry makes 2-pt shot from 2 ft,2,44-36,,
6:03.0,,,44-36,,Shooting foul by D. DeRozan (drawn by D. Gallinari)
6:03.0,,,44-37,1,D. Gallinari makes free throw 1 of 2
6:03.0,,,44-38,1,D. Gallinari makes free throw 2 of 2
6:03.0,,,44-37,,E. Mudiay enters the game for J. Murray
5:48.0,D. DeRozan misses 2-pt shot from 2 ft (block by K. Faried),,44-38,,
5:47.0,,,44-38,,Defensive rebound by K. Faried
5:40.0,Violation by P. Patterson (kicked ball),,44-38,,
5:40.0,,,44-38,,Denver full timeout
5:40.0,D. Carroll enters the game for T. Ross,,44-38,,
5:40.0,P. Siakam enters the game for P. Patterson,,44-38,,
5:28.0,,,44-38,,Turnover by J. Nurkic (bad pass)
5:10.0,P. Siakam makes 2-pt shot from 17 ft (assist by K. Lowry),2,46-38,,
4:59.0,,,46-40,2,E. Mudiay makes 2-pt shot from 2 ft
4:52.0,Turnover by K. Lowry (bad pass; steal by J. Nurkic),,46-40,,
4:46.0,,,46-40,,E. Mudiay misses 3-pt shot from 25 ft
4:44.0,Defensive rebound by P. Siakam,,46-40,,
4:38.0,Turnover by K. Lowry (traveling),,46-40,,
4:38.0,,,46-40,,W. Chandler enters the game for J. Nelson
4:29.0,,,46-40,,Shooting foul by D. DeRozan (drawn by K. Faried)
4:29.0,,,46-42,2,K. Faried makes 2-pt shot from 1 ft (assist by W. Chandler)
4:29.0,,,46-43,1,K. Faried makes free throw 1 of 1
4:17.0,D. DeRozan misses 2-pt shot from 20 ft,,46-43,,
4:16.0,,,46-43,,Defensive rebound by E. Mudiay
4:11.0,,,46-45,2,E. Mudiay makes 2-pt shot from 1 ft
4:02.0,D. DeRozan makes 2-pt shot from 1 ft (assist by K. Lowry),2,48-45,,
3:56.0,,,48-47,2,W. Chandler makes 2-pt shot from 15 ft (assist by E. Mudiay)
3:48.0,Toronto full timeout,,48-47,,
3:48.0,C. Joseph enters the game for K. Lowry,,48-47,,
3:40.0,Shooting foul by J. Nurkic (drawn by D. DeRozan),,48-47,,
3:40.0,D. DeRozan misses free throw 1 of 2,,48-47,,
3:40.0,Offensive rebound by Team,,48-47,,
3:40.0,D. DeRozan makes free throw 2 of 2,1,49-47,,
3:18.0,,,49-50,3,W. Chandler makes 3-pt shot from 27 ft (assist by D. Gallinari)
2:53.0,D. DeRozan makes 2-pt shot from 2 ft,2,51-50,,
2:44.0,,,51-50,,Turnover by E. Mudiay (lost ball; steal by D. DeRozan)
2:38.0,D. Carroll misses 3-pt shot from 24 ft,,51-50,,
2:36.0,,,51-50,,Defensive rebound by W. Chandler
2:20.0,,,51-50,,J. Nurkic misses 2-pt shot from 9 ft
2:19.0,Defensive rebound by D. Carroll,,51-50,,
2:02.0,C. Joseph misses 2-pt shot from 15 ft,,51-50,,
2:02.0,,,51-50,,Defensive rebound by E. Mudiay
1:57.0,,,51-52,2,J. Nurkic makes 2-pt shot at rim (assist by E. Mudiay)
1:42.0,Turnover by D. DeRozan (lost ball; steal by K. Faried),,51-52,,
1:36.0,,,51-54,2,K. Faried makes 2-pt shot from 4 ft
1:28.0,Toronto full timeout,,51-54,,
1:16.0,D. DeRozan misses 2-pt shot from 20 ft,,51-54,,
1:15.0,,,51-54,,Defensive rebound by K. Faried
1:02.0,,,51-54,,E. Mudiay misses 3-pt shot from 24 ft
1:02.0,,,51-54,,Offensive rebound by Team
1:02.0,Loose ball foul by J. Valanciunas (drawn by J. Nurkic),,51-54,,
1:02.0,,,51-54,,J. Nurkic misses free throw 1 of 2
1:02.0,,,51-54,,Offensive rebound by Team
1:02.0,,,51-55,1,J. Nurkic makes free throw 2 of 2
0:38.0,Turnover by D. DeRozan (bad pass; steal by E. Mudiay),,51-55,,
0:37.0,,,51-57,2,E. Mudiay makes 2-pt shot at rim
0:30.0,Shooting foul by K. Faried (drawn by D. DeRozan),,51-57,,
0:30.0,D. DeRozan makes free throw 1 of 2,1,52-57,,
0:30.0,D. DeRozan misses free throw 2 of 2,,52-57,,
0:29.0,,,52-57,,Defensive rebound by K. Faried
0:10.0,,,52-57,,Turnover by K. Faried (lost ball; steal by C. Joseph)
0:03.0,C. Joseph misses 2-pt shot from 2 ft,,52-57,,
0:02.0,,,52-57,,Defensive rebound by D. Gallinari
0:00.0,,,52-57,,D. Gallinari misses 3-pt shot from 28 ft
0:00.0,,,52-57,,Offensive rebound by Team
0:00.0,End of 2nd quarter,,,,End of 2nd quarter
12:00.0,Start of 3rd quarter,,,,Start of 3rd quarter
11:45.0,D. DeRozan misses 2-pt shot from 17 ft,,52-57,,
11:44.0,,,52-57,,Defensive rebound by E. Mudiay
11:32.0,,,52-57,,Shooting foul by J. Valanciunas (drawn by J. Nurkic)
11:32.0,,,52-57,,J. Nurkic misses free throw 1 of 2
11:32.0,,,52-57,,Offensive rebound by Team
11:32.0,,,52-58,1,J. Nurkic makes free throw 2 of 2
11:13.0,P. Siakam misses 2-pt shot from 3 ft (block by K. Faried),,52-58,,
11:12.0,Offensive rebound by P. Siakam,,52-58,,
11:06.0,D. Carroll misses 3-pt shot from 25 ft,,52-58,,
11:06.0,,,52-58,,Defensive rebound by E. Mudiay
11:00.0,,,52-60,2,J. Nurkic makes 2-pt shot from 1 ft (assist by E. Mudiay)
10:35.0,P. Siakam makes 2-pt shot from 5 ft,2,54-60,,
10:16.0,,,54-60,,Shooting foul by P. Siakam (drawn by E. Mudiay)
10:16.0,,,54-60,,E. Mudiay misses free throw 1 of 2
10:16.0,,,54-60,,Offensive rebound by Team
10:16.0,,,54-60,,E. Mudiay misses free throw 2 of 2
10:14.0,Defensive rebound by P. Siakam,,54-60,,
9:58.0,D. DeRozan makes 2-pt shot from 3 ft,2,56-60,,
9:58.0,Shooting foul by J. Nelson (drawn by D. DeRozan),,56-60,,
9:58.0,D. DeRozan misses free throw 1 of 1,,56-60,,
9:57.0,,,56-60,,Defensive rebound by K. Faried
9:45.0,Personal foul by D. Carroll (drawn by D. Gallinari),,56-60,,
9:32.0,,,56-60,,E. Mudiay misses 3-pt shot from 26 ft
9:31.0,Defensive rebound by D. Carroll,,56-60,,
9:30.0,,,56-60,,Personal foul by K. Faried (drawn by D. Carroll)
9:10.0,D. DeRozan misses 2-pt shot from 10 ft,,56-60,,
9:09.0,,,56-60,,Defensive rebound by D. Gallinari
9:05.0,,,56-60,,J. Nelson misses 3-pt shot from 25 ft
9:04.0,Defensive rebound by K. Lowry,,56-60,,
8:56.0,K. Lowry misses 2-pt shot from 20 ft,,56-60,,
8:55.0,,,56-60,,Defensive rebound by K. Faried
8:39.0,,,56-60,,J. Nelson misses 2-pt shot from 1 ft
8:38.0,Defensive rebound by K. Lowry,,56-60,,
8:22.0,J. Valanciunas makes 2-pt shot from 3 ft (assist by K. Lowry),2,58-60,,
8:22.0,,,58-60,,Denver full timeout
8:04.0,,,58-60,,Shooting foul by J. Valanciunas (drawn by D. Gallinari)
8:04.0,,,58-61,1,D. Gallinari makes free throw 1 of 2
8:04.0,,,58-62,1,D. Gallinari makes free throw 2 of 2
7:52.0,D. DeRozan makes 2-pt shot from 8 ft (assist by K. Lowry),2,60-62,,
7:32.0,,,60-64,2,E. Mudiay makes 2-pt shot from 8 ft (assist by J. Nelson)
7:11.0,D. DeRozan makes 2-pt shot from 2 ft,2,62-64,,
6:58.0,,,62-66,2,D. Gallinari makes 2-pt shot from 20 ft (assist by E. Mudiay)
6:46.0,Offensive charge foul by D. DeRozan,,62-66,,
6:46.0,Turnover by D. DeRozan (offensive foul),,62-66,,
6:44.0,,,62-66,,W. Chandler enters the game for K. Faried
6:35.0,,,62-66,,Turnover by D. Gallinari (lost ball)
6:18.0,D. Carroll makes 2-pt shot from 7 ft (assist by K. Lowry),2,64-66,,
6:00.0,,,64-66,,W. Chandler misses 2-pt shot from 4 ft
5:58.0,Defensive rebound by J. Valanciunas,,64-66,,
5:52.0,P. Siakam misses 2-pt shot from 1 ft,,64-66,,
5:51.0,,,64-66,,Defensive rebound by D. Gallinari
5:40.0,,,64-66,,Shooting foul by J. Valanciunas (drawn by J. Nurkic)
5:40.0,,,64-67,1,J. Nurkic makes free throw 1 of 2
5:40.0,,,64-68,1,J. Nurkic makes free throw 2 of 2
5:40.0,P. Patterson enters the game for J. Valanciunas,,64-67,,
5:40.0,J. Poeltl enters the game for P. Siakam,,64-67,,
5:40.0,,,64-67,,J. Murray enters the game for J. Nelson
5:30.0,K. Lowry misses 3-pt shot from 26 ft,,64-68,,
5:28.0,,,64-68,,Defensive rebound by J. Murray
5:20.0,,,64-68,,J. Nurkic misses 2-pt shot from 4 ft
5:19.0,Defensive rebound by J. Poeltl,,64-68,,
5:12.0,Shooting foul by J. Murray (drawn by D. Carroll),,64-68,,
5:12.0,D. Carroll makes free throw 1 of 2,1,65-68,,
5:12.0,D. Carroll makes free throw 2 of 2,1,66-68,,
5:12.0,,,65-68,,N. Jokic enters the game for J. Nurkic
4:54.0,,,66-68,,Shooting foul by D. DeRozan (drawn by D. Gallinari)
4:54.0,,,66-69,1,D. Gallinari makes free throw 1 of 2
4:54.0,,,66-70,1,D. Gallinari makes free throw 2 of 2
4:54.0,T. Ross enters the game for D. DeRozan,,66-69,,
4:54.0,N. Powell enters the game for D. Carroll,,66-69,,
4:51.0,,,66-70,,Personal foul by E. Mudiay (drawn by K. Lowry)
4:40.0,K. Lowry misses 2-pt shot from 9 ft,,66-70,,
4:40.0,Offensive rebound by J. Poeltl,,66-70,,
4:40.0,J. Poeltl makes 2-pt shot from 1 ft,2,68-70,,
4:40.0,Shooting foul by N. Jokic (drawn by J. Poeltl),,68-70,,
4:40.0,J. Poeltl misses free throw 1 of 1,,68-70,,
4:36.0,,,68-70,,Defensive rebound by N. Jokic
4:22.0,,,68-70,,Turnover by E. Mudiay (lost ball; steal by J. Poeltl)
4:16.0,K. Lowry makes 3-pt shot from 26 ft (assist by N. Powell),3,71-70,,
3:58.0,,,71-72,2,D. Gallinari makes 2-pt shot at rim (assist by N. Jokic)
3:44.0,K. Lowry makes 2-pt shot from 11 ft,2,73-72,,
3:24.0,,,73-72,,J. Murray misses 2-pt shot from 21 ft
3:23.0,Defensive rebound by N. Powell,,73-72,,
3:18.0,Toronto full timeout,,73-72,,
3:18.0,,,73-72,,J. Nelson enters the game for E. Mudiay
3:09.0,K. Lowry misses 2-pt shot from 6 ft,,73-72,,
3:08.0,,,73-72,,Defensive rebound by N. Jokic
3:01.0,,,73-74,2,J. Murray makes 2-pt shot from 3 ft (assist by N. Jokic)
2:47.0,Turnover by K. Lowry (bad pass; steal by J. Murray),,73-74,,
2:43.0,,,73-74,,J. Murray misses 2-pt shot at rim (block by P. Patterson)
2:42.0,,,73-74,,Offensive rebound by W. Chandler
2:41.0,,,73-76,2,W. Chandler makes 2-pt shot from 2 ft
2:13.0,K. Lowry misses 2-pt shot from 6 ft (block by N. Jokic),,73-76,,
2:11.0,,,73-76,,Defensive rebound by D. Gallinari
2:07.0,,,73-76,,J. Murray misses 3-pt shot from 22 ft
2:05.0,Defensive rebound by J. Poeltl,,73-76,,
2:00.0,,,73-76,,Shooting block foul by J. Nelson (drawn by N. Powell)
2:00.0,N. Powell makes free throw 1 of 2,1,74-76,,
2:00.0,N. Powell makes free throw 2 of 2,1,75-76,,
2:00.0,C. Joseph enters the game for K. Lowry,,74-76,,
2:00.0,,,74-76,,E. Mudiay enters the game for J. Nelson
1:38.0,,,75-76,,N. Jokic misses 2-pt shot from 2 ft
1:38.0,Defensive rebound by T. Ross,,75-76,,
1:28.0,T. Ross misses 2-pt shot from 6 ft,,75-76,,
1:28.0,,,75-76,,Defensive rebound by N. Jokic
1:21.0,Personal foul by N. Powell (drawn by D. Gallinari),,75-76,,
1:21.0,,,75-77,1,D. Gallinari makes free throw 1 of 2
1:21.0,,,75-78,1,D. Gallinari makes free throw 2 of 2
1:04.0,N. Powell misses 2-pt shot from 10 ft,,75-78,,
1:01.0,,,75-78,,Defensive rebound by W. Chandler
0:52.0,,,75-80,2,E. Mudiay makes 2-pt shot from 2 ft
0:52.0,,,75-80,,Violation by Team (delay of game)
0:31.0,T. Ross makes 2-pt shot from 16 ft,2,77-80,,
0:07.0,,,77-80,,Shooting foul by J. Poeltl (drawn by D. Gallinari)
0:07.0,,,77-81,1,D. Gallinari makes free throw 1 of 2
0:07.0,,,77-82,1,D. Gallinari makes free throw 2 of 2
0:03.0,C. Joseph misses 2-pt shot from 2 ft,,77-82,,
0:01.0,,,77-82,,Defensive rebound by D. Gallinari
0:00.0,End of 3rd quarter,,,,End of 3rd quarter
12:00.0,Start of 4th quarter,,,,Start of 4th quarter
11:44.0,,,77-82,,Turnover by N. Jokic (bad pass; steal by N. Powell)
11:40.0,,,77-82,,Personal foul by J. Hernangomez
11:28.0,Turnover by T. Ross (bad pass; steal by J. Hernangomez),,77-82,,
11:22.0,,,77-84,2,W. Chandler makes 2-pt shot at rim (assist by J. Murray)
11:03.0,T. Ross misses 2-pt shot from 19 ft,,77-84,,
11:02.0,,,77-84,,Defensive rebound by N. Jokic
10:52.0,,,77-84,,N. Jokic misses 2-pt shot from 13 ft
10:51.0,Defensive rebound by N. Powell,,77-84,,
10:50.0,,,77-84,,Personal foul by J. Hernangomez
10:41.0,,,77-84,,Def 3 sec tech foul by W. Chandler
10:41.0,T. Ross misses technical free throw,,77-84,,
10:41.0,Offensive rebound by Team,,77-84,,
10:34.0,N. Powell makes 2-pt shot from 2 ft,2,79-84,,
10:14.0,,,79-84,,Offensive foul by N. Jokic
10:14.0,,,79-84,,Turnover by N. Jokic (offensive foul)
10:14.0,,,79-84,,A. Gee enters the game for J. Hernangomez
10:01.0,N. Powell misses 2-pt shot from 17 ft,,79-84,,
9:59.0,,,79-84,,Defensive rebound by E. Mudiay
9:54.0,Violation by J. Poeltl (kicked ball),,79-84,,
9:54.0,,,79-84,,K. Faried enters the game for N. Jokic
9:54.0,J. Valanciunas enters the game for J. Poeltl,,79-84,,
9:43.0,,,79-84,,J. Murray misses 3-pt shot from 23 ft
9:43.0,Defensive rebound by P. Patterson,,79-84,,
9:36.0,C. Joseph makes 2-pt shot from 1 ft,2,81-84,,
9:36.0,,,81-84,,Denver full timeout
9:19.0,,,81-84,,E. Mudiay misses 3-pt shot from 25 ft
9:19.0,,,81-84,,Offensive rebound by A. Gee
9:19.0,Personal foul by N. Powell (drawn by A. Gee),,81-84,,
9:19.0,,,81-84,,A. Gee misses free throw 1 of 2
9:19.0,,,81-84,,Offensive rebound by Team
9:19.0,,,81-84,,A. Gee misses free throw 2 of 2
9:17.0,Defensive rebound by C. Joseph,,81-84,,
9:17.0,,,81-84,,Loose ball foul by A. Gee (drawn by C. Joseph)
9:06.0,J. Valanciunas makes 2-pt shot from 7 ft,2,83-84,,
9:06.0,Shooting foul by K. Faried (drawn by J. Valanciunas),,83-84,,
9:06.0,J. Valanciunas makes free throw 1 of 1,1,84-84,,
9:06.0,,,83-84,,J. Nurkic enters the game for A. Gee
8:41.0,,,84-86,2,W. Chandler makes 2-pt shot from 16 ft (assist by J. Nurkic)
8:18.0,J. Valanciunas misses 2-pt shot from 7 ft,,84-86,,
8:18.0,,,84-86,,Defensive rebound by K. Faried
8:09.0,,,84-86,,J. Murray misses 3-pt shot from 22 ft
8:08.0,Defensive rebound by J. Valanciunas,,84-86,,
7:57.0,T. Ross makes 3-pt shot from 27 ft (assist by P. Patterson),3,87-86,,
7:43.0,,,87-86,,J. Nelson enters the game for J. Murray
7:43.0,,,87-86,,D. Gallinari enters the game for W. Chandler
7:30.0,,,87-86,,E. Mudiay misses 3-pt shot from 26 ft
7:29.0,Defensive rebound by J. Valanciunas,,87-86,,
7:21.0,Turnover by N. Powell (lost ball; steal by K. Faried),,87-86,,
7:20.0,,,87-86,,Turnover by K. Faried (step out of bounds)
7:08.0,N. Powell misses 2-pt shot from 3 ft,,87-86,,
7:06.0,Offensive rebound by N. Powell,,87-86,,
7:00.0,T. Ross misses 3-pt shot from 26 ft,,87-86,,
6:59.0,,,87-86,,Defensive rebound by D. Gallinari
6:37.0,,,87-88,2,E. Mudiay makes 2-pt shot from 2 ft (assist by J. Nelson)
6:15.0,C. Joseph misses 3-pt shot from 25 ft,,87-88,,
6:14.0,,,87-88,,Defensive rebound by K. Faried
6:03.0,,,87-90,2,K. Faried makes 2-pt shot from 3 ft (assist by E. Mudiay)
5:57.0,Toronto full timeout,,87-90,,
5:57.0,K. Lowry enters the game for C. Joseph,,87-90,,
5:57.0,D. DeRozan enters the game for N. Powell,,87-90,,
5:45.0,J. Valanciunas makes 2-pt shot from 9 ft (assist by D. DeRozan),2,89-90,,
5:29.0,Personal foul by T. Ross (drawn by D. Gallinari),,89-90,,
5:26.0,,,89-90,,Turnover by D. Gallinari (lost ball)
5:18.0,D. DeRozan makes 2-pt shot from 2 ft,2,91-90,,
5:18.0,Shooting foul by J. Nurkic (drawn by D. DeRozan),,91-90,,
5:18.0,D. DeRozan misses free throw 1 of 1,,91-90,,
5:17.0,,,91-90,,Defensive rebound by K. Faried
4:55.0,,,91-90,,J. Nurkic misses 2-pt shot from 3 ft
4:55.0,Defensive rebound by J. Valanciunas,,91-90,,
4:55.0,,,91-90,,Personal foul by J. Nurkic (drawn by J. Valanciunas)
4:55.0,J. Valanciunas misses free throw 1 of 2,,91-90,,
4:55.0,Offensive rebound by Team,,91-90,,
