time,Miami,pts.away,score,pts.home,Philadelphia
11:16.0,Turnover by J. Johnson (bad pass),,31-24,,
11:08.0,,,31-24,,Turnover by N. Stauskas (lost ball; steal by T. Johnson)
11:04.0,Shooting foul by D. Saric (drawn by J. Johnson),,31-24,,
11:04.0,J. Johnson misses free throw 1 of 2,,31-24,,
11:04.0,Offensive rebound by Team,,31-24,,
11:04.0,J. Johnson makes free throw 2 of 2,1,32-24,,
10:49.0,,,32-26,2,J. Okafor makes 2-pt shot from 3 ft
10:36.0,J. Johnson misses 3-pt shot from 26 ft,,32-26,,
10:35.0,Offensive rebound by J. McRoberts,,32-26,,
10:22.0,J. McRoberts misses 2-pt shot from 9 ft,,32-26,,
10:21.0,,,32-26,,Defensive rebound by D. Saric
10:21.0,Personal foul by R. McGruder (drawn by D. Saric),,32-26,,
10:21.0,,,32-26,,E. Ilyasova enters the game for D. Saric
10:11.0,,,32-29,3,E. Ilyasova makes 3-pt shot from 25 ft (assist by S. Rodriguez)
9:54.0,T. Johnson misses 2-pt shot from 13 ft,,32-29,,
9:53.0,Offensive rebound by J. Johnson,,32-29,,
9:53.0,J. Johnson makes 2-pt shot from 2 ft,2,34-29,,
9:29.0,,,34-29,,J. Okafor misses 2-pt shot from 4 ft
9:27.0,Defensive rebound by J. McRoberts,,34-29,,
9:14.0,T. Johnson misses 3-pt shot from 26 ft,,34-29,,
9:12.0,,,34-29,,Defensive rebound by G. Henderson
8:55.0,,,34-32,3,S. Rodriguez makes 3-pt shot from 26 ft
8:34.0,T. Johnson misses 2-pt shot from 2 ft (block by N. Stauskas),,34-32,,
8:34.0,Offensive rebound by Team,,34-32,,
8:34.0,Official timeout,,34-32,,
8:34.0,,,34-32,,R. Covington enters the game for N. Stauskas
8:29.0,J. Richardson misses 3-pt shot from 28 ft,,34-32,,
8:27.0,,,34-32,,Defensive rebound by E. Ilyasova
8:18.0,,,34-32,,R. Covington misses 2-pt shot from 24 ft
8:17.0,,,34-32,,Offensive rebound by R. Covington
8:10.0,,,34-32,,R. Covington misses 2-pt shot from 3 ft
8:09.0,Defensive rebound by T. Johnson,,34-32,,
8:03.0,J. Richardson misses 3-pt shot from 25 ft,,34-32,,
8:01.0,Offensive rebound by R. McGruder,,34-32,,
7:58.0,Shooting foul by J. Okafor (drawn by J. Johnson),,34-32,,
7:58.0,J. Johnson makes free throw 1 of 2,1,35-32,,
7:58.0,J. Johnson makes free throw 2 of 2,1,36-32,,
7:58.0,,,35-32,,J. Embiid enters the game for J. Okafor
7:49.0,,,36-34,2,S. Rodriguez makes 2-pt shot from 16 ft
7:32.0,R. McGruder misses 3-pt shot from 23 ft,,36-34,,
7:30.0,,,36-34,,Defensive rebound by E. Ilyasova
7:15.0,,,36-34,,J. Embiid misses 2-pt shot from 3 ft
7:13.0,Defensive rebound by J. Johnson,,36-34,,
7:08.0,R. McGruder misses 3-pt shot from 23 ft,,36-34,,
7:06.0,,,36-34,,Defensive rebound by E. Ilyasova
7:00.0,,,36-34,,R. Covington misses 3-pt shot from 24 ft
6:59.0,Defensive rebound by R. McGruder,,36-34,,
6:34.0,Turnover by J. McRoberts (lost ball; steal by R. Covington),,36-34,,
6:23.0,,,36-34,,Shooting foul by T. Johnson (drawn by J. Embiid)
6:23.0,,,36-34,,J. Embiid misses free throw 1 of 2
6:23.0,,,36-34,,Offensive rebound by Team
6:23.0,,,36-35,1,J. Embiid makes free throw 2 of 2
6:18.0,Miami full timeout,,36-35,,
6:18.0,L. Babbitt enters the game for J. Richardson,,36-35,,
6:18.0,G. Dragic enters the game for T. Johnson,,36-35,,
6:18.0,D. Waiters enters the game for J. McRoberts,,36-35,,
6:18.0,H. Whiteside enters the game for J. Johnson,,36-35,,
5:59.0,L. Babbitt makes 3-pt shot from 26 ft (assist by D. Waiters),3,39-35,,
5:39.0,,,39-35,,J. Embiid misses 2-pt shot from 11 ft (block by H. Whiteside)
5:37.0,Defensive rebound by H. Whiteside,,39-35,,
5:26.0,H. Whiteside makes 2-pt shot from 2 ft (assist by G. Dragic),2,41-35,,
5:26.0,Shooting foul by R. Covington (drawn by H. Whiteside),,41-35,,
5:26.0,H. Whiteside makes free throw 1 of 1,1,42-35,,
5:15.0,,,42-37,2,G. Henderson makes 2-pt shot at rim
5:05.0,D. Waiters misses 3-pt shot from 25 ft,,42-37,,
5:04.0,,,42-37,,Defensive rebound by E. Ilyasova
4:58.0,,,42-37,,R. Covington misses 3-pt shot from 24 ft
4:58.0,,,42-37,,Offensive rebound by Team
4:58.0,Loose ball foul by L. Babbitt (drawn by J. Embiid),,42-37,,
4:48.0,Personal foul by G. Dragic (drawn by G. Henderson),,42-37,,
4:41.0,,,42-39,2,J. Embiid makes 2-pt shot from 3 ft (assist by S. Rodriguez)
4:28.0,D. Waiters misses 2-pt shot from 4 ft (block by J. Embiid),,42-39,,
4:25.0,,,42-39,,Defensive rebound by G. Henderson
4:21.0,,,42-39,,Turnover by G. Henderson (bad pass; steal by R. McGruder)
4:16.0,D. Waiters makes 2-pt shot from 2 ft (assist by L. Babbitt),2,44-39,,
3:58.0,,,44-39,,E. Ilyasova misses 3-pt shot from 28 ft
3:56.0,Defensive rebound by R. McGruder,,44-39,,
3:40.0,Shooting foul by J. Embiid (drawn by H. Whiteside),,44-39,,
3:40.0,H. Whiteside misses free throw 1 of 2,,44-39,,
3:40.0,Offensive rebound by Team,,44-39,,
3:40.0,H. Whiteside misses free throw 2 of 2,,44-39,,
3:40.0,,,44-39,,J. Okafor enters the game for J. Embiid
3:40.0,,,44-39,,N. Stauskas enters the game for G. Henderson
3:39.0,,,44-39,,Defensive rebound by E. Ilyasova
3:27.0,,,44-39,,T. McConnell enters the game for S. Rodriguez
