time,Sacramento,pts.away,score,pts.home,Toronto
5:21.0,,,9-12,1,D. DeRozan makes free throw 1 of 2
5:21.0,,,9-13,1,D. DeRozan makes free throw 2 of 2
5:06.0,R. Gay misses 2-pt shot from 19 ft,,9-13,,
5:05.0,,,9-13,,Defensive rebound by P. Siakam
4:45.0,,,9-15,2,L. Nogueira makes 2-pt shot from 2 ft (assist by D. Carroll)
4:23.0,M. Barnes misses 3-pt shot from 24 ft,,9-15,,
4:22.0,Offensive rebound by R. Gay,,9-15,,
4:08.0,T. Lawson misses 2-pt shot from 2 ft (block by L. Nogueira),,9-15,,
4:07.0,,,9-15,,Defensive rebound by D. Carroll
3:57.0,,,9-15,,Shooting foul by M. Barnes (drawn by L. Nogueira)
3:57.0,,,9-15,,L. Nogueira misses free throw 1 of 2
3:57.0,,,9-15,,Offensive rebound by Team
3:57.0,,,9-16,1,L. Nogueira makes free throw 2 of 2
3:57.0,,,9-15,,P. Patterson enters the game for P. Siakam
3:57.0,,,9-15,,T. Ross enters the game for D. Carroll
3:41.0,T. Lawson misses 3-pt shot from 24 ft,,9-16,,
3:41.0,Offensive rebound by D. Cousins,,9-16,,
3:40.0,D. Cousins misses 2-pt shot from 2 ft,,9-16,,
3:39.0,,,9-16,,Defensive rebound by D. DeRozan
3:29.0,,,9-19,3,T. Ross makes 3-pt shot from 23 ft (assist by P. Patterson)
3:28.0,Sacramento full timeout,,9-19,,
3:28.0,G. Temple enters the game for T. Lawson,,9-19,,
3:08.0,D. Cousins misses 2-pt shot from 2 ft,,9-19,,
3:08.0,Offensive rebound by M. Barnes,,9-19,,
3:05.0,M. Barnes misses 2-pt shot at rim,,9-19,,
3:04.0,,,9-19,,Defensive rebound by P. Patterson
2:57.0,,,9-19,,D. DeRozan misses 2-pt shot from 17 ft
2:56.0,Defensive rebound by M. Barnes,,9-19,,
2:52.0,K. Koufos enters the game for D. Cousins,,9-19,,
2:52.0,,,9-19,,C. Joseph enters the game for K. Lowry
2:40.0,R. Gay misses 2-pt shot from 2 ft,,9-19,,
2:40.0,Offensive rebound by M. Barnes,,9-19,,
2:40.0,M. Barnes makes 2-pt shot from 1 ft,2,11-19,,
2:40.0,Shooting foul by D. DeRozan (drawn by M. Barnes),,11-19,,
2:40.0,M. Barnes makes free throw 1 of 1,1,12-19,,
2:27.0,Personal foul by K. Koufos (drawn by D. DeRozan),,12-19,,
2:27.0,J. Farmar enters the game for A. Afflalo,,12-19,,
2:16.0,,,12-19,,D. DeRozan misses 2-pt shot from 9 ft
2:14.0,,,12-19,,Offensive rebound by L. Nogueira
2:08.0,,,12-19,,D. DeRozan misses 2-pt shot from 4 ft (block by G. Temple)
2:07.0,Defensive rebound by R. Gay,,12-19,,
2:03.0,G. Temple makes 2-pt shot from 2 ft (assist by R. Gay),2,14-19,,
1:47.0,,,14-21,2,T. Ross makes 2-pt shot from 18 ft (assist by C. Joseph)
1:35.0,K. Koufos makes 2-pt shot from 10 ft (assist by J. Farmar),2,16-21,,
1:15.0,,,16-21,,Turnover by T. Ross (bad pass; steal by R. Gay)
1:09.0,M. Barnes misses 2-pt shot from 4 ft,,16-21,,
1:05.0,Offensive rebound by G. Temple,,16-21,,
1:04.0,G. Temple makes 2-pt shot from 1 ft,2,18-21,,
0:44.0,,,18-21,,T. Ross misses 3-pt shot from 25 ft
0:43.0,,,18-21,,Offensive rebound by P. Patterson
0:39.0,,,18-21,,P. Patterson misses 2-pt shot from 2 ft
0:39.0,Defensive rebound by K. Koufos,,18-21,,
0:23.0,R. Gay makes 2-pt shot from 1 ft,2,20-21,,
0:01.0,,,20-23,2,C. Joseph makes 2-pt shot from 8 ft
0:00.0,R. Gay misses 3-pt shot from 78 ft,,20-23,,
0:00.0,Offensive rebound by Team,,20-23,,
0:00.0,End of 1st quarter,,,,End of 1st quarter
12:00.0,Start of 2nd quarter,,,,Start of 2nd quarter
11:45.0,,,20-25,2,P. Siakam makes 2-pt shot at rim (assist by K. Lowry)
11:22.0,Turnover by M. Barnes (bad pass; steal by T. Ross),,20-25,,
11:07.0,,,20-25,,C. Joseph misses 2-pt shot from 21 ft
11:06.0,Defensive rebound by J. Farmar,,20-25,,
10:54.0,Turnover by M. Barnes (bad pass; steal by T. Ross),,20-25,,
10:45.0,,,20-28,3,T. Ross makes 3-pt shot from 23 ft (assist by P. Patterson)
10:45.0,Sacramento full timeout,,20-28,,
10:28.0,K. Koufos misses 2-pt shot from 2 ft,,20-28,,
10:28.0,,,20-28,,Defensive rebound by P. Patterson
10:21.0,,,20-28,,T. Ross misses 3-pt shot from 23 ft
10:20.0,,,20-28,,Offensive rebound by P. Siakam
10:07.0,,,20-28,,P. Patterson misses 3-pt shot from 25 ft
10:05.0,Defensive rebound by M. Barnes,,20-28,,
10:00.0,,,20-28,,Personal block foul by P. Siakam (drawn by J. Farmar)
10:00.0,T. Lawson enters the game for J. Farmar,,20-28,,
9:48.0,Turnover by O. Casspi (traveling),,20-28,,
9:34.0,,,20-30,2,P. Patterson makes 2-pt shot from 19 ft
9:22.0,M. Barnes misses 3-pt shot from 25 ft,,20-30,,
9:21.0,Offensive rebound by K. Koufos,,20-30,,
9:14.0,G. Temple makes 3-pt shot from 26 ft (assist by T. Lawson),3,23-30,,
8:58.0,,,23-33,3,K. Lowry makes 3-pt shot from 25 ft (assist by C. Joseph)
8:44.0,O. Casspi makes 2-pt shot from 2 ft,2,25-33,,
8:32.0,,,25-33,,P. Patterson misses 3-pt shot from 24 ft
8:31.0,Defensive rebound by G. Temple,,25-33,,
8:18.0,,,25-33,,Personal foul by K. Lowry (drawn by M. Barnes)
8:09.0,M. Barnes misses 3-pt shot from 23 ft,,25-33,,
8:08.0,,,25-33,,Defensive rebound by T. Ross
7:57.0,,,25-33,,Shooting foul by M. Barnes (drawn by C. Joseph)
7:57.0,,,25-33,,C. Joseph misses free throw 1 of 2
7:57.0,,,25-33,,Offensive rebound by Team
7:57.0,,,25-34,1,C. Joseph makes free throw 2 of 2
7:57.0,A. Afflalo enters the game for G. Temple,,25-33,,
7:47.0,Turnover by T. Lawson (bad pass; steal by P. Patterson),,25-34,,
7:40.0,,,25-36,2,P. Siakam makes 2-pt shot from 2 ft (assist by K. Lowry)
7:26.0,K. Koufos makes 2-pt shot from 1 ft (assist by T. Lawson),2,27-36,,
7:07.0,,,27-36,,C. Joseph misses 2-pt shot from 19 ft
7:06.0,Defensive rebound by O. Casspi,,27-36,,
6:57.0,A. Afflalo makes 2-pt shot from 2 ft (assist by T. Lawson),2,29-36,,
6:51.0,,,29-36,,Toronto full timeout
6:51.0,,,29-36,,D. DeRozan enters the game for T. Ross
6:51.0,,,29-36,,D. Carroll enters the game for C. Joseph
6:51.0,D. Cousins enters the game for K. Koufos,,29-36,,
6:51.0,,,29-36,,J. Poeltl enters the game for P. Siakam
6:39.0,,,29-36,,D. Carroll misses 3-pt shot from 24 ft
6:38.0,Defensive rebound by M. Barnes,,29-36,,
6:17.0,Shooting foul by J. Poeltl (drawn by D. Cousins),,29-36,,
6:17.0,D. Cousins makes free throw 1 of 2,1,30-36,,
6:17.0,D. Cousins makes free throw 2 of 2,1,31-36,,
6:17.0,,,30-36,,L. Nogueira enters the game for J. Poeltl
5:59.0,,,31-38,2,L. Nogueira makes 2-pt shot at rim (assist by K. Lowry)
5:32.0,Turnover by Team (shot clock),,31-38,,
5:10.0,,,31-38,,K. Lowry misses 3-pt shot from 24 ft
5:09.0,Defensive rebound by M. Barnes,,31-38,,
5:01.0,Turnover by O. Casspi (bad pass; steal by K. Lowry),,31-38,,
4:58.0,,,31-38,,Shooting foul by A. Afflalo (drawn by K. Lowry)
4:58.0,,,31-38,,K. Lowry misses free throw 1 of 2
4:58.0,,,31-38,,Offensive rebound by Team
4:58.0,,,31-39,1,K. Lowry makes free throw 2 of 2
4:58.0,R. Gay enters the game for M. Barnes,,31-38,,
4:51.0,,,31-39,,Personal foul by L. Nogueira (drawn by D. Cousins)
4:41.0,D. Cousins makes 2-pt shot from 21 ft (assist by T. Lawson),2,33-39,,
4:16.0,,,33-39,,K. Lowry misses 2-pt shot from 11 ft
4:16.0,,,33-39,,Offensive rebound by L. Nogueira
4:16.0,Personal foul by D. Cousins (drawn by L. Nogueira),,33-39,,
4:06.0,,,33-39,,D. DeRozan misses 2-pt shot from 1 ft
4:06.0,Defensive rebound by D. Cousins,,33-39,,
3:44.0,A. Afflalo makes 2-pt shot from 2 ft (assist by D. Cousins),2,35-39,,
3:27.0,,,35-39,,Turnover by L. Nogueira (bad pass)
3:12.0,D. Cousins misses 2-pt shot from 22 ft,,35-39,,
3:12.0,,,35-39,,Defensive rebound by P. Patterson
2:54.0,,,35-41,2,D. Carroll makes 2-pt shot from 20 ft
2:43.0,T. Lawson misses 2-pt shot from 8 ft (block by K. Lowry),,35-41,,
2:43.0,Offensive rebound by Team,,35-41,,
2:43.0,Official timeout,,35-41,,
2:43.0,,,35-41,,C. Joseph enters the game for K. Lowry
2:39.0,R. Gay misses 3-pt shot from 24 ft,,35-41,,
2:38.0,,,35-41,,Defensive rebound by D. DeRozan
2:22.0,,,35-41,,C. Joseph misses 2-pt shot from 10 ft
2:22.0,Defensive rebound by Team,,35-41,,
2:22.0,,,35-41,,Loose ball foul by L. Nogueira (drawn by D. Cousins)
2:22.0,D. Cousins makes free throw 1 of 2,1,36-41,,
2:22.0,,,36-41,,Violation by P. Patterson (lane)
2:22.0,D. Cousins makes free throw 2 of 2,1,37-41,,
2:22.0,G. Temple enters the game for O. Casspi,,36-41,,
2:04.0,,,37-41,,Shooting foul by A. Afflalo (drawn by D. DeRozan)
2:04.0,,,37-42,1,D. DeRozan makes free throw 1 of 2
2:04.0,,,37-43,1,D. DeRozan makes free throw 2 of 2
1:45.0,R. Gay makes 2-pt shot at rim,2,39-43,,
1:32.0,,,39-45,2,D. DeRozan makes 2-pt shot from 13 ft
1:22.0,D. Cousins makes 2-pt shot from 1 ft (assist by T. Lawson),2,41-45,,
1:04.0,,,41-45,,D. DeRozan misses 2-pt shot from 16 ft
1:03.0,Defensive rebound by T. Lawson,,41-45,,
1:02.0,,,41-45,,Personal foul by D. DeRozan (drawn by T. Lawson)
1:02.0,T. Lawson makes free throw 1 of 2,1,42-45,,
1:02.0,T. Lawson misses free throw 2 of 2,,42-45,,
1:02.0,K. Koufos enters the game for D. Cousins,,42-45,,
1:02.0,,,42-45,,N. Powell enters the game for P. Patterson
1:01.0,,,42-45,,Defensive rebound by D. Carroll
0:38.0,,,42-45,,C. Joseph misses 2-pt shot from 12 ft
0:37.0,,,42-45,,Offensive rebound by Team
0:37.0,Loose ball foul by R. Gay (drawn by D. Carroll),,42-45,,
0:37.0,,,42-46,1,D. Carroll makes free throw 1 of 2
0:37.0,,,42-47,1,D. Carroll makes free throw 2 of 2
0:24.0,A. Afflalo makes 2-pt shot from 13 ft,2,44-47,,
0:00.0,,,44-50,3,C. Joseph makes 3-pt shot from 23 ft (assist by N. Powell)
0:00.0,End of 2nd quarter,,,,End of 2nd quarter
12:00.0,Start of 3rd quarter,,,,Start of 3rd quarter
11:38.0,,,44-50,,P. Siakam misses 2-pt shot from 19 ft
11:36.0,Defensive rebound by K. Koufos,,44-50,,
11:17.0,R. Gay misses 2-pt shot from 7 ft (block by P. Siakam),,44-50,,
11:16.0,,,44-50,,Defensive rebound by P. Siakam
11:07.0,,,44-50,,D. Carroll misses 2-pt shot from 3 ft (block by D. Cousins)
11:06.0,,,44-50,,Offensive rebound by D. Carroll
10:55.0,,,44-53,3,D. DeRozan makes 3-pt shot from 23 ft (assist by J. Poeltl)
10:32.0,K. Koufos makes 2-pt shot from 3 ft (assist by T. Lawson),2,46-53,,
10:19.0,,,46-53,,P. Siakam misses 2-pt shot from 3 ft (block by K. Koufos)
10:15.0,Defensive rebound by Team,,46-53,,
9:58.0,A. Afflalo misses 2-pt shot from 12 ft,,46-53,,
9:57.0,,,46-53,,Defensive rebound by D. DeRozan
9:49.0,,,46-53,,K. Lowry misses 2-pt shot from 7 ft
9:48.0,,,46-53,,Offensive rebound by K. Lowry
9:47.0,,,46-53,,K. Lowry misses 2-pt shot from 8 ft
9:47.0,Defensive rebound by Team,,46-53,,
9:26.0,R. Gay makes 2-pt shot from 2 ft,2,48-53,,
9:08.0,,,48-55,2,D. DeRozan makes 2-pt shot from 11 ft (assist by J. Poeltl)
8:57.0,,,48-55,,Personal foul by J. Poeltl (drawn by D. Cousins)
8:52.0,R. Gay makes 2-pt shot at rim (assist by T. Lawson),2,50-55,,
8:35.0,,,50-57,2,J. Poeltl makes 2-pt shot from 4 ft (assist by K. Lowry)
8:17.0,D. Cousins makes 2-pt shot at rim,2,52-57,,
8:09.0,Personal foul by D. Cousins (drawn by K. Lowry),,52-57,,
7:55.0,,,52-57,,D. Carroll misses 3-pt shot from 24 ft
7:54.0,Defensive rebound by A. Afflalo,,52-57,,
7:41.0,D. Cousins misses 3-pt shot from 24 ft,,52-57,,
7:40.0,Offensive rebound by K. Koufos,,52-57,,
7:38.0,,,52-57,,Shooting block foul by P. Siakam (drawn by A. Afflalo)
7:38.0,A. Afflalo misses free throw 1 of 2,,52-57,,
7:38.0,Offensive rebound by Team,,52-57,,
7:38.0,A. Afflalo makes free throw 2 of 2,1,53-57,,
7:17.0,,,53-57,,D. Carroll misses 3-pt shot from 23 ft
7:17.0,Defensive rebound by R. Gay,,53-57,,
7:04.0,D. Cousins misses 2-pt shot from 4 ft,,53-57,,
7:04.0,,,53-57,,Defensive rebound by Team
7:04.0,Loose ball foul by K. Koufos (drawn by D. Carroll),,53-57,,
6:42.0,,,53-59,2,J. Poeltl makes 2-pt shot from 11 ft (assist by D. DeRozan)
6:12.0,Turnover by Team (shot clock),,53-59,,
5:57.0,,,53-59,,D. DeRozan misses 2-pt shot from 16 ft
5:57.0,,,53-59,,Offensive rebound by P. Siakam
5:54.0,,,53-59,,P. Siakam misses 2-pt shot from 2 ft
5:53.0,Defensive rebound by D. Cousins,,53-59,,
5:46.0,K. Koufos makes 2-pt shot from 2 ft (assist by T. Lawson),2,55-59,,
5:30.0,,,55-59,,K. Lowry misses 3-pt shot from 27 ft
5:30.0,Defensive rebound by D. Cousins,,55-59,,
5:16.0,R. Gay misses 3-pt shot from 23 ft,,55-59,,
5:16.0,,,55-59,,Defensive rebound by D. DeRozan
5:12.0,,,55-59,,Shooting foul by A. Afflalo (drawn by P. Siakam)
5:12.0,,,55-59,,Toronto full timeout
5:12.0,,,55-60,1,P. Siakam makes free throw 1 of 2
5:12.0,,,55-60,,P. Siakam misses free throw 2 of 2
5:12.0,,,55-59,,T. Ross enters the game for D. Carroll
5:12.0,,,55-59,,L. Nogueira enters the game for J. Poeltl
5:12.0,G. Temple enters the game for K. Koufos,,55-59,,
5:12.0,M. Barnes enters the game for A. Afflalo,,55-59,,
5:11.0,Defensive rebound by D. Cousins,,55-60,,
4:51.0,G. Temple misses 3-pt shot from 24 ft,,55-60,,
4:51.0,Offensive rebound by M. Barnes,,55-60,,
4:42.0,R. Gay makes 2-pt shot from 4 ft (assist by T. Lawson),2,57-60,,
4:22.0,,,57-60,,T. Ross misses 3-pt shot from 24 ft
4:21.0,Defensive rebound by D. Cousins,,57-60,,
4:09.0,Shooting foul by L. Nogueira (drawn by T. Lawson),,57-60,,
4:09.0,T. Lawson makes free throw 1 of 2,1,58-60,,
4:09.0,T. Lawson makes free throw 2 of 2,1,59-60,,
4:09.0,,,58-60,,P. Patterson enters the game for P. Siakam
3:56.0,,,59-60,,Shooting foul by R. Gay (drawn by D. DeRozan)
3:56.0,,,59-61,1,D. DeRozan makes free throw 1 of 2
3:56.0,,,59-62,1,D. DeRozan makes free throw 2 of 2
3:43.0,,,59-62,,Personal foul by T. Ross (drawn by D. Cousins)
3:30.0,R. Gay misses 2-pt shot from 7 ft,,59-62,,
3:30.0,,,59-62,,Defensive rebound by K. Lowry
3:17.0,,,59-62,,Turnover by P. Patterson (bad pass; steal by G. Temple)
3:09.0,D. Cousins misses 2-pt shot from 3 ft,,59-62,,
3:08.0,,,59-62,,Defensive rebound by T. Ross
3:03.0,,,59-62,,Shooting foul by G. Temple (drawn by D. DeRozan)
3:03.0,,,59-63,1,D. DeRozan makes free throw 1 of 2
3:03.0,,,59-64,1,D. DeRozan makes free throw 2 of 2
3:03.0,,,59-63,,C. Joseph enters the game for K. Lowry
2:46.0,,,59-64,,Def 3 sec tech foul by D. DeRozan
2:46.0,Sacramento full timeout,,59-64,,
2:46.0,G. Temple makes technical free throw,1,60-64,,
2:34.0,Shooting foul by P. Patterson (drawn by D. Cousins),,60-64,,
2:34.0,D. Cousins makes 2-pt shot from 3 ft,2,62-64,,
2:34.0,D. Cousins misses free throw 1 of 1,,62-64,,
2:33.0,,,62-64,,Defensive rebound by L. Nogueira
2:20.0,,,62-64,,T. Ross misses 2-pt shot from 20 ft
2:19.0,Defensive rebound by G. Temple,,62-64,,
2:02.0,D. Cousins misses 2-pt shot from 4 ft,,62-64,,
2:01.0,Offensive rebound by D. Cousins,,62-64,,
1:59.0,D. Cousins misses 2-pt shot from 3 ft,,62-64,,
1:58.0,Offensive rebound by D. Cousins,,62-64,,
1:55.0,D. Cousins makes 2-pt shot at rim,2,64-64,,
1:32.0,,,64-64,,T. Ross misses 3-pt shot from 25 ft
1:31.0,Defensive rebound by D. Cousins,,64-64,,
1:12.0,R. Gay makes 2-pt shot from 2 ft,2,66-64,,
0:55.0,,,66-64,,Shooting foul by M. Barnes (drawn by C. Joseph)
0:55.0,,,66-65,1,C. Joseph makes free throw 1 of 2
0:55.0,,,66-66,1,C. Joseph makes free throw 2 of 2
0:55.0,J. Farmar enters the game for T. Lawson,,66-65,,
0:43.0,Turnover by J. Farmar (bad pass; steal by L. Nogueira),,66-66,,
0:31.0,,,66-66,,D. DeRozan misses 2-pt shot from 20 ft
0:31.0,,,66-66,,Offensive rebound by L. Nogueira
0:10.0,,,66-66,,T. Ross misses 3-pt shot from 23 ft
0:10.0,Defensive rebound by Team,,66-66,,
0:10.0,,,66-66,,Loose ball foul by P. Patterson (drawn by M. Barnes)
0:10.0,M. Barnes makes free throw 1 of 2,1,67-66,,
0:10.0,M. Barnes makes free throw 2 of 2,1,68-66,,
0:10.0,K. Koufos enters the game for D. Cousins,,67-66,,
0:10.0,T. Lawson enters the game for J. Farmar,,67-66,,
0:00.0,,,68-66,,C. Joseph misses 3-pt shot from 22 ft
0:00.0,,,68-66,,Offensive rebound by Team
0:00.0,End of 3rd quarter,,,,End of 3rd quarter
12:00.0,Start of 4th quarter,,,,Start of 4th quarter
11:45.0,A. Afflalo misses 2-pt shot from 16 ft,,68-66,,
11:44.0,,,68-66,,Defensive rebound by K. Lowry
11:39.0,,,68-68,2,L. Nogueira makes 2-pt shot at rim (assist by K. Lowry)
11:11.0,G. Temple misses 3-pt shot from 25 ft,,68-68,,
11:11.0,Offensive rebound by Team,,68-68,,
11:00.0,K. Koufos makes 2-pt shot from 2 ft (assist by G. Temple),2,70-68,,
10:32.0,,,70-68,,P. Patterson misses 2-pt shot from 16 ft
10:30.0,Defensive rebound by A. Afflalo,,70-68,,
10:18.0,A. Afflalo makes 2-pt shot from 3 ft (assist by J. Farmar),2,72-68,,
9:51.0,,,72-68,,Shooting foul by M. Barnes (drawn by P. Patterson)
9:51.0,,,72-69,1,P. Patterson makes free throw 1 of 3
9:51.0,,,72-69,,P. Patterson misses free throw 2 of 3
9:51.0,,,72-69,,Offensive rebound by Team
9:51.0,,,72-70,1,P. Patterson makes free throw 3 of 3
9:51.0,,,72-69,,P. Siakam enters the game for L. Nogueira
9:38.0,Turnover by G. Temple (bad pass; steal by K. Lowry),,72-70,,
9:34.0,,,72-72,2,K. Lowry makes 2-pt shot from 2 ft
9:34.0,,,72-72,,Shooting foul by G. Temple (drawn by K. Lowry)
9:34.0,,,72-73,1,K. Lowry makes free throw 1 of 1
9:18.0,Shooting foul by P. Siakam (drawn by K. Koufos),,72-73,,
9:18.0,K. Koufos makes free throw 1 of 2,1,73-73,,
9:18.0,K. Koufos misses free throw 2 of 2,,73-73,,
9:17.0,,,73-73,,Defensive rebound by P. Patterson
9:02.0,,,73-73,,Turnover by T. Ross (lost ball; steal by M. Barnes)
8:58.0,J. Farmar misses 2-pt shot from 3 ft (block by P. Patterson),,73-73,,
8:58.0,,,73-73,,Defensive rebound by C. Joseph
8:58.0,Personal foul by M. Barnes (drawn by C. Joseph),,73-73,,
8:58.0,Official timeout,,73-73,,
8:58.0,D. Cousins enters the game for K. Koufos,,73-73,,
8:58.0,,,73-73,,N. Powell enters the game for C. Joseph
8:39.0,,,73-73,,Shooting foul by J. Farmar (drawn by N. Powell)
8:39.0,,,73-74,1,N. Powell makes free throw 1 of 2
8:39.0,,,73-75,1,N. Powell makes free throw 2 of 2
8:25.0,,,73-75,,Personal foul by P. Patterson (drawn by D. Cousins)
8:13.0,M. Barnes makes 2-pt shot from 3 ft (assist by D. Cousins),2,75-75,,
7:58.0,,,75-75,,K. Lowry misses 3-pt shot from 25 ft
7:57.0,,,75-75,,Offensive rebound by P. Siakam
7:53.0,,,75-77,2,K. Lowry makes 2-pt shot from 2 ft (assist by P. Siakam)
7:31.0,J. Farmar makes 3-pt shot from 24 ft,3,78-77,,
7:11.0,,,78-77,,Turnover by T. Ross (step out of bounds)
6:55.0,G. Temple misses 3-pt shot from 24 ft,,78-77,,
6:55.0,,,78-77,,Defensive rebound by Team
6:55.0,Loose ball foul by D. Cousins (drawn by P. Patterson),,78-77,,
6:55.0,,,78-78,1,P. Patterson makes free throw 1 of 2
6:55.0,,,78-79,1,P. Patterson makes free throw 2 of 2
6:55.0,,,78-78,,J. Poeltl enters the game for P. Siakam
6:55.0,,,78-78,,D. DeRozan enters the game for T. Ross
6:40.0,D. Cousins misses 2-pt shot from 2 ft,,78-79,,
6:40.0,Offensive rebound by D. Cousins,,78-79,,
6:40.0,D. Cousins misses 2-pt shot from 2 ft,,78-79,,
6:39.0,,,78-79,,Defensive rebound by J. Poeltl
6:31.0,,,78-79,,N. Powell misses 3-pt shot from 25 ft
6:31.0,,,78-79,,Offensive rebound by P. Patterson
6:30.0,,,78-79,,P. Patterson misses 2-pt shot from 2 ft
6:28.0,Defensive rebound by M. Barnes,,78-79,,
6:24.0,Sacramento full timeout,,78-79,,
6:24.0,T. Lawson enters the game for G. Temple,,78-79,,
6:24.0,R. Gay enters the game for J. Farmar,,78-79,,
6:12.0,Shooting foul by J. Poeltl (drawn by D. Cousins),,78-79,,
6:12.0,D. Cousins misses free throw 1 of 2,,78-79,,
6:12.0,Offensive rebound by Team,,78-79,,
6:12.0,D. Cousins makes free throw 2 of 2,1,79-79,,
5:57.0,,,79-79,,J. Poeltl misses 2-pt shot from 3 ft
5:56.0,Defensive rebound by A. Afflalo,,79-79,,
5:47.0,D. Cousins makes 2-pt shot from 2 ft (assist by A. Afflalo),2,81-79,,
5:41.0,,,81-81,2,N. Powell makes 2-pt shot from 1 ft (assist by K. Lowry)
5:27.0,,,81-81,,Violation by J. Poeltl (kicked ball)
5:22.0,R. Gay makes 3-pt shot from 24 ft (assist by D. Cousins),3,84-81,,
5:03.0,,,84-81,,D. DeRozan misses 2-pt shot from 3 ft
5:03.0,,,84-81,,Offensive rebound by J. Poeltl
5:00.0,,,84-83,2,J. Poeltl makes 2-pt shot from 1 ft
4:41.0,R. Gay makes 3-pt shot from 23 ft (assist by M. Barnes),3,87-83,,
4:28.0,,,87-86,3,K. Lowry makes 3-pt shot from 25 ft (assist by D. DeRozan)
4:14.0,Turnover by R. Gay (bad pass),,87-86,,
3:56.0,,,87-88,2,D. DeRozan makes 2-pt shot from 15 ft
3:42.0,,,87-88,,Personal foul by N. Powell (drawn by A. Afflalo)
3:38.0,T. Lawson misses 2-pt shot from 3 ft (block by P. Patterson),,87-88,,
