time,Philadelphia,pts.away,score,pts.home,Washington
2:26.0,G. Henderson misses free throw 2 of 2,,28-19,,
2:25.0,,,28-19,,Defensive rebound by K. Oubre
2:14.0,,,28-19,,Turnover by J. Wall (bad pass)
2:01.0,Turnover by N. Noel (bad pass),,28-19,,
1:50.0,,,28-19,,K. Oubre misses 3-pt shot from 24 ft
1:49.0,,,28-19,,Offensive rebound by A. Nicholson
1:46.0,,,28-19,,A. Nicholson misses 2-pt shot from 9 ft
1:46.0,Defensive rebound by Team,,28-19,,
1:26.0,Offensive foul by D. Saric,,28-19,,
1:26.0,Turnover by D. Saric (offensive foul),,28-19,,
1:26.0,,,28-19,,T. Burke enters the game for J. Wall
1:14.0,,,28-19,,T. Satoransky misses 2-pt shot from 1 ft
1:13.0,Defensive rebound by N. Noel,,28-19,,
1:03.0,D. Saric misses 3-pt shot from 26 ft,,28-19,,
1:03.0,,,28-19,,Defensive rebound by T. Burke
0:50.0,,,28-19,,O. Porter misses 2-pt shot from 14 ft
0:49.0,,,28-19,,Offensive rebound by T. Satoransky
0:48.0,,,28-19,,T. Satoransky misses 2-pt shot from 1 ft
0:47.0,Defensive rebound by N. Noel,,28-19,,
0:37.0,G. Henderson misses 2-pt shot from 16 ft,,28-19,,
0:37.0,Offensive rebound by N. Noel,,28-19,,
0:31.0,Turnover by N. Noel (bad pass),,28-19,,
0:14.0,,,28-21,2,T. Burke makes 2-pt shot from 17 ft
0:01.0,S. Rodriguez misses 3-pt shot from 27 ft,,28-21,,
0:01.0,Offensive rebound by N. Noel,,28-21,,
0:01.0,N. Noel makes 2-pt shot from 1 ft,2,30-21,,
0:00.0,End of 1st quarter,,,,End of 1st quarter
12:00.0,Start of 2nd quarter,,,,Start of 2nd quarter
11:38.0,T. Luwawu-Cabarrot makes 3-pt shot from 25 ft (assist by G. Henderson),3,33-21,,
11:21.0,,,33-23,2,A. Nicholson makes 2-pt shot from 14 ft
11:04.0,N. Noel misses 2-pt shot from 18 ft,,33-23,,
11:03.0,,,33-23,,Defensive rebound by T. Satoransky
10:55.0,Personal block foul by N. Noel (drawn by A. Nicholson),,33-23,,
10:55.0,J. Okafor enters the game for N. Noel,,33-23,,
10:46.0,,,33-23,,A. Nicholson misses 2-pt shot from 11 ft
10:45.0,Defensive rebound by D. Saric,,33-23,,
10:34.0,T. Luwawu-Cabarrot makes 2-pt shot from 6 ft,2,35-23,,
10:28.0,,,35-25,2,K. Oubre makes 2-pt shot at rim (assist by T. Burke)
10:07.0,S. Rodriguez makes 3-pt shot from 23 ft (assist by G. Henderson),3,38-25,,
9:49.0,,,38-25,,Turnover by M. Morris (lost ball; steal by D. Saric)
9:46.0,Turnover by D. Saric (traveling),,38-25,,
9:46.0,,,38-25,,B. Beal enters the game for T. Satoransky
9:30.0,,,38-27,2,A. Nicholson makes 2-pt shot from 15 ft (assist by M. Morris)
9:19.0,Shooting foul by A. Nicholson (drawn by J. Okafor),,38-27,,
9:19.0,J. Okafor misses free throw 1 of 2,,38-27,,
9:19.0,Offensive rebound by Team,,38-27,,
9:19.0,J. Okafor makes free throw 2 of 2,1,39-27,,
9:12.0,,,39-27,,T. Burke misses 2-pt shot from 14 ft
9:11.0,Defensive rebound by G. Henderson,,39-27,,
9:05.0,,,39-27,,Personal block foul by K. Oubre (drawn by G. Henderson)
8:57.0,Official timeout,,39-27,,
8:49.0,J. Okafor misses 2-pt shot from 5 ft,,39-27,,
8:48.0,,,39-27,,Defensive rebound by M. Morris
8:37.0,Personal foul by D. Saric (drawn by M. Morris),,39-27,,
8:37.0,T. McConnell enters the game for S. Rodriguez,,39-27,,
8:37.0,N. Stauskas enters the game for G. Henderson,,39-27,,
8:35.0,,,39-27,,J. Wall enters the game for T. Burke
8:31.0,,,39-29,2,M. Morris makes 2-pt shot from 1 ft
8:13.0,,,39-29,,Personal foul by A. Nicholson (drawn by J. Okafor)
8:13.0,,,39-29,,M. Gortat enters the game for A. Nicholson
7:59.0,D. Saric misses 3-pt shot from 28 ft,,39-29,,
7:58.0,,,39-29,,Defensive rebound by B. Beal
7:48.0,,,39-29,,Turnover by M. Gortat (bad pass; steal by T. McConnell)
7:37.0,J. Okafor makes 2-pt shot at rim (assist by N. Stauskas),2,41-29,,
7:26.0,Def 3 sec tech foul by J. Okafor,,41-29,,
7:26.0,,,41-30,1,B. Beal makes technical free throw
7:26.0,E. Ilyasova enters the game for D. Saric,,41-30,,
7:26.0,,,41-30,,O. Porter enters the game for K. Oubre
7:24.0,Personal foul by T. McConnell (drawn by B. Beal),,41-30,,
7:14.0,,,41-30,,J. Wall misses 2-pt shot from 11 ft
7:12.0,Defensive rebound by T. Luwawu-Cabarrot,,41-30,,
7:06.0,E. Ilyasova makes 2-pt shot from 2 ft (assist by T. Luwawu-Cabarrot),2,43-30,,
6:52.0,,,43-32,2,B. Beal makes 2-pt shot from 1 ft
6:31.0,E. Ilyasova makes 2-pt shot from 1 ft (assist by T. McConnell),2,45-32,,
6:09.0,,,45-34,2,M. Morris makes 2-pt shot from 15 ft
5:54.0,Turnover by T. Luwawu-Cabarrot (bad pass),,45-34,,
5:54.0,,,45-34,,Washington full timeout
5:54.0,R. Covington enters the game for T. Luwawu-Cabarrot,,45-34,,
5:43.0,,,45-36,2,M. Gortat makes 2-pt shot from 8 ft (assist by O. Porter)
5:26.0,E. Ilyasova misses 2-pt shot from 18 ft,,45-36,,
5:26.0,,,45-36,,Defensive rebound by M. Morris
5:15.0,,,45-38,2,J. Wall makes 2-pt shot from 8 ft
5:03.0,T. McConnell makes 2-pt shot from 1 ft,2,47-38,,
4:56.0,,,47-40,2,B. Beal makes 2-pt shot at rim
4:47.0,E. Ilyasova makes 3-pt shot from 23 ft (assist by R. Covington),3,50-40,,
4:38.0,Personal foul by T. McConnell (drawn by J. Wall),,50-40,,
4:32.0,,,50-40,,Turnover by J. Wall (lost ball)
4:11.0,N. Stauskas misses 3-pt shot from 28 ft,,50-40,,
4:10.0,Offensive rebound by J. Okafor,,50-40,,
4:01.0,Turnover by N. Stauskas (lost ball),,50-40,,
3:53.0,,,50-42,2,J. Wall makes 2-pt shot from 2 ft
3:39.0,N. Stauskas misses 2-pt shot from 1 ft,,50-42,,
3:38.0,,,50-42,,Defensive rebound by M. Gortat
3:26.0,,,50-42,,B. Beal misses 2-pt shot from 6 ft
3:25.0,,,50-42,,Offensive rebound by M. Gortat
3:24.0,,,50-44,2,M. Gortat makes 2-pt shot from 2 ft
3:24.0,Philadelphia full timeout,,50-44,,
3:14.0,J. Okafor makes 2-pt shot from 1 ft (assist by T. McConnell),2,52-44,,
2:50.0,,,52-47,3,B. Beal makes 3-pt shot from 27 ft
2:30.0,N. Stauskas misses 3-pt shot from 27 ft,,52-47,,
2:29.0,,,52-47,,Defensive rebound by M. Morris
2:19.0,,,52-47,,M. Gortat misses 2-pt shot from 9 ft
2:18.0,,,52-47,,Offensive rebound by J. Wall
2:17.0,,,52-47,,J. Wall misses 2-pt shot from 1 ft
2:17.0,,,52-47,,Offensive rebound by J. Wall
2:17.0,,,52-47,,Shooting foul by J. Okafor (drawn by J. Wall)
2:17.0,,,52-48,1,J. Wall makes free throw 1 of 2
2:17.0,,,52-49,1,J. Wall makes free throw 2 of 2
1:57.0,J. Okafor misses 2-pt shot from 15 ft,,52-49,,
1:56.0,,,52-49,,Defensive rebound by B. Beal
1:50.0,,,52-51,2,J. Wall makes 2-pt shot at rim
1:28.0,J. Okafor makes 2-pt shot from 6 ft (assist by E. Ilyasova),2,54-51,,
1:12.0,,,54-53,2,B. Beal makes 2-pt shot from 16 ft
0:55.0,Turnover by J. Okafor (bad pass; steal by B. Beal),,54-53,,
0:51.0,Personal foul by N. Stauskas (drawn by J. Wall),,54-53,,
0:51.0,,,54-53,,J. Wall misses free throw 1 of 2
0:51.0,,,54-53,,Offensive rebound by Team
0:51.0,,,54-54,1,J. Wall makes free throw 2 of 2
0:51.0,N. Noel enters the game for J. Okafor,,54-53,,
0:51.0,,,54-53,,A. Nicholson enters the game for M. Gortat
0:48.0,Philadelphia full timeout,,54-54,,
0:31.0,R. Covington makes 2-pt shot from 20 ft (assist by T. McConnell),2,56-54,,
0:07.0,,,56-56,2,J. Wall makes 2-pt shot from 3 ft
0:02.0,Turnover by T. McConnell (bad pass; steal by A. Nicholson),,56-56,,
0:00.0,End of 2nd quarter,,,,End of 2nd quarter
12:00.0,Start of 3rd quarter,,,,Start of 3rd quarter
11:44.0,J. Okafor misses 2-pt shot from 11 ft,,56-56,,
11:43.0,,,56-56,,Defensive rebound by M. Morris
11:36.0,,,56-58,2,J. Wall makes 2-pt shot from 1 ft
11:20.0,E. Ilyasova misses 2-pt shot from 12 ft,,56-58,,
11:20.0,,,56-58,,Defensive rebound by J. Wall
11:12.0,,,56-58,,B. Beal misses 2-pt shot from 10 ft
11:11.0,Defensive rebound by E. Ilyasova,,56-58,,
11:05.0,R. Covington misses 3-pt shot from 27 ft,,56-58,,
11:04.0,,,56-58,,Defensive rebound by M. Gortat
10:41.0,,,56-60,2,M. Gortat makes 2-pt shot from 7 ft (assist by J. Wall)
10:25.0,N. Stauskas misses 3-pt shot from 26 ft,,56-60,,
10:24.0,,,56-60,,Defensive rebound by J. Wall
10:13.0,,,56-63,3,M. Morris makes 3-pt shot from 24 ft (assist by B. Beal)
10:12.0,Philadelphia full timeout,,56-63,,
9:49.0,T. McConnell makes 2-pt shot from 1 ft,2,58-63,,
9:33.0,,,58-65,2,M. Morris makes 2-pt shot at rim (assist by J. Wall)
9:16.0,Turnover by N. Stauskas (lost ball; steal by J. Wall),,58-65,,
9:14.0,Personal take foul by T. McConnell (drawn by J. Wall),,58-65,,
9:02.0,,,58-65,,Turnover by M. Morris (lost ball)
8:56.0,,,58-65,,Personal foul by M. Morris (drawn by N. Stauskas)
8:44.0,T. McConnell misses 2-pt shot from 17 ft,,58-65,,
8:43.0,,,58-65,,Defensive rebound by M. Gortat
8:35.0,,,58-65,,J. Wall misses 2-pt shot from 18 ft
8:34.0,Defensive rebound by N. Stauskas,,58-65,,
8:22.0,J. Okafor makes 2-pt shot from 1 ft,2,60-65,,
7:59.0,,,60-65,,O. Porter misses 2-pt shot from 17 ft
7:58.0,Defensive rebound by R. Covington,,60-65,,
7:41.0,,,60-65,,Personal foul by M. Morris (drawn by R. Covington)
7:34.0,E. Ilyasova misses 3-pt shot from 26 ft,,60-65,,
7:32.0,,,60-65,,Defensive rebound by J. Wall
7:16.0,,,60-67,2,O. Porter makes 2-pt shot from 18 ft (assist by J. Wall)
6:57.0,J. Okafor makes 2-pt shot from 6 ft (assist by N. Stauskas),2,62-67,,
6:47.0,,,62-69,2,B. Beal makes 2-pt shot at rim
6:32.0,N. Stauskas misses 3-pt shot from 23 ft,,62-69,,
6:31.0,,,62-69,,Defensive rebound by M. Gortat
6:21.0,,,62-69,,M. Gortat misses 2-pt shot at rim
6:20.0,Defensive rebound by R. Covington,,62-69,,
6:15.0,N. Stauskas misses 3-pt shot from 25 ft,,62-69,,
6:14.0,,,62-69,,Defensive rebound by J. Wall
6:03.0,,,62-69,,O. Porter misses 3-pt shot from 24 ft
6:02.0,Defensive rebound by T. McConnell,,62-69,,
5:52.0,T. McConnell misses 2-pt shot at rim,,62-69,,
5:52.0,,,62-69,,Defensive rebound by M. Gortat
5:44.0,,,62-69,,M. Morris misses 2-pt shot from 1 ft
5:43.0,Defensive rebound by E. Ilyasova,,62-69,,
5:20.0,T. McConnell misses 2-pt shot from 14 ft,,62-69,,
5:20.0,,,62-69,,Defensive rebound by B. Beal
5:10.0,,,62-69,,B. Beal misses 2-pt shot from 9 ft
5:09.0,Defensive rebound by J. Okafor,,62-69,,
4:58.0,T. McConnell misses 3-pt shot from 28 ft,,62-69,,
4:57.0,,,62-69,,Defensive rebound by Team
4:56.0,G. Henderson enters the game for R. Covington,,62-69,,
4:56.0,T. Luwawu-Cabarrot enters the game for J. Okafor,,62-69,,
4:56.0,N. Noel enters the game for N. Stauskas,,62-69,,
4:56.0,,,62-69,,K. Oubre enters the game for M. Morris
4:45.0,,,62-71,2,M. Gortat makes 2-pt shot from 1 ft (assist by J. Wall)
4:45.0,,,62-71,,Shooting foul by N. Noel (drawn by M. Gortat)
4:45.0,,,62-71,,M. Gortat misses free throw 1 of 1
4:45.0,S. Rodriguez enters the game for T. McConnell,,62-71,,
4:45.0,D. Saric enters the game for E. Ilyasova,,62-71,,
4:44.0,Defensive rebound by N. Noel,,62-71,,
4:21.0,T. Luwawu-Cabarrot misses 3-pt shot from 26 ft,,62-71,,
4:20.0,,,62-71,,Defensive rebound by M. Gortat
4:13.0,,,62-74,3,J. Wall makes 3-pt shot from 26 ft
3:50.0,G. Henderson misses 3-pt shot from 23 ft,,62-74,,
3:49.0,,,62-74,,Defensive rebound by O. Porter
3:37.0,,,62-77,3,J. Wall makes 3-pt shot from 25 ft
3:36.0,Philadelphia full timeout,,62-77,,
3:36.0,,,62-77,,T. Satoransky enters the game for B. Beal
3:18.0,D. Saric makes 3-pt shot from 29 ft (assist by T. Luwawu-Cabarrot),3,65-77,,
2:55.0,,,65-77,,O. Porter misses 3-pt shot from 26 ft
2:54.0,Defensive rebound by N. Noel,,65-77,,
2:43.0,N. Noel misses 2-pt shot from 13 ft,,65-77,,
2:42.0,,,65-77,,Defensive rebound by K. Oubre
2:32.0,,,65-80,3,J. Wall makes 3-pt shot from 27 ft
2:16.0,Turnover by G. Henderson (lost ball; steal by J. Wall),,65-80,,
2:10.0,,,65-80,,J. Wall misses 3-pt shot from 25 ft (block by G. Henderson)
2:09.0,Defensive rebound by D. Saric,,65-80,,
2:03.0,T. Luwawu-Cabarrot makes 2-pt shot from 3 ft,2,67-80,,
1:35.0,,,67-80,,O. Porter misses 2-pt shot from 2 ft
1:34.0,,,67-80,,Offensive rebound by M. Gortat
1:33.0,,,67-82,2,M. Gortat makes 2-pt shot from 1 ft
1:17.0,N. Noel makes 2-pt shot at rim (assist by G. Henderson),2,69-82,,
1:07.0,,,69-82,,Washington full timeout
1:07.0,,,69-82,,J. Smith enters the game for O. Porter
1:07.0,,,69-82,,T. Burke enters the game for J. Wall
1:04.0,,,69-84,2,M. Gortat makes 2-pt shot at rim (assist by T. Satoransky)
0:44.0,T. Luwawu-Cabarrot misses 2-pt shot from 10 ft,,69-84,,
0:44.0,,,69-84,,Defensive rebound by Team
0:44.0,Loose ball foul by N. Noel (drawn by M. Gortat),,69-84,,
0:34.0,,,69-84,,Shooting foul by N. Noel (drawn by T. Satoransky)
0:34.0,,,69-85,1,T. Satoransky makes free throw 1 of 2
0:34.0,,,69-86,1,T. Satoransky makes free throw 2 of 2
0:25.0,S. Rodriguez misses 2-pt shot from 14 ft,,69-86,,
0:24.0,Offensive rebound by N. Noel,,69-86,,
0:06.0,D. Saric misses 3-pt shot from 26 ft (block by J. Smith),,69-86,,
0:03.0,Offensive rebound by N. Noel,,69-86,,
0:01.0,N. Noel misses 2-pt shot at rim (block by M. Gortat),,69-86,,
0:01.0,Offensive rebound by N. Noel,,69-86,,
0:01.0,N. Noel makes 2-pt shot at rim,2,71-86,,
0:00.0,End of 3rd quarter,,,,End of 3rd quarter
12:00.0,Start of 4th quarter,,,,Start of 4th quarter
11:41.0,,,71-86,,M. Morris misses 2-pt shot from 18 ft
11:40.0,Defensive rebound by S. Rodriguez,,71-86,,
11:35.0,Turnover by T. Luwawu-Cabarrot (lost ball; steal by K. Oubre),,71-86,,
11:31.0,,,71-88,2,K. Oubre makes 2-pt shot at rim
11:20.0,G. Henderson makes 2-pt shot from 1 ft (assist by D. Saric),2,73-88,,
11:03.0,,,73-88,,M. Morris misses 2-pt shot from 14 ft
11:02.0,Defensive rebound by D. Saric,,73-88,,
10:47.0,G. Henderson misses 3-pt shot from 27 ft,,73-88,,
10:47.0,,,73-88,,Defensive rebound by M. Morris
10:36.0,,,73-90,2,J. Smith makes 2-pt shot from 19 ft (assist by T. Burke)
10:35.0,Philadelphia full timeout,,73-90,,
10:35.0,E. Ilyasova enters the game for G. Henderson,,73-90,,
10:25.0,E. Ilyasova misses 3-pt shot from 26 ft,,73-90,,
10:24.0,,,73-90,,Defensive rebound by M. Morris
10:06.0,,,73-92,2,M. Morris makes 2-pt shot from 1 ft (assist by T. Satoransky)
9:44.0,J. Okafor misses 2-pt shot from 7 ft,,73-92,,
9:44.0,,,73-92,,Defensive rebound by M. Morris
9:22.0,,,73-95,3,M. Morris makes 3-pt shot from 23 ft (assist by T. Burke)
8:56.0,E. Ilyasova misses 2-pt shot from 13 ft,,73-95,,
8:54.0,,,73-95,,Defensive rebound by M. Morris
8:44.0,,,73-95,,Turnover by T. Burke (bad pass; steal by E. Ilyasova)
8:39.0,T. Luwawu-Cabarrot makes 2-pt shot from 2 ft (assist by S. Rodriguez),2,75-95,,
8:11.0,,,75-95,,K. Oubre misses 3-pt shot from 23 ft
8:10.0,,,75-95,,Offensive rebound by J. Smith
8:07.0,,,75-95,,J. Smith misses 2-pt shot from 2 ft
8:06.0,Defensive rebound by E. Ilyasova,,75-95,,
8:01.0,S. Rodriguez misses 3-pt shot from 27 ft,,75-95,,
8:00.0,,,75-95,,Defensive rebound by T. Burke
7:55.0,Personal foul by S. Rodriguez (drawn by T. Satoransky),,75-95,,
7:46.0,,,75-95,,M. Morris misses 2-pt shot from 12 ft
7:44.0,Defensive rebound by T. Luwawu-Cabarrot,,75-95,,
7:39.0,Shooting foul by M. Morris (drawn by T. Luwawu-Cabarrot),,75-95,,
7:39.0,T. Luwawu-Cabarrot misses free throw 1 of 2,,75-95,,
7:39.0,Offensive rebound by Team,,75-95,,
7:39.0,T. Luwawu-Cabarrot misses free throw 2 of 2,,75-95,,
7:38.0,,,75-95,,Defensive rebound by M. Morris
7:22.0,,,75-97,2,K. Oubre makes 2-pt shot from 19 ft (assist by J. Smith)
7:15.0,,,75-97,,Personal foul by J. Smith (drawn by J. Okafor)
7:15.0,N. Stauskas enters the game for E. Ilyasova,,75-97,,
6:57.0,Turnover by T. Luwawu-Cabarrot (lost ball; steal by T. Satoransky),,75-97,,
6:52.0,,,75-97,,Shooting foul by N. Stauskas (drawn by T. Satoransky)
6:52.0,,,75-98,1,T. Satoransky makes free throw 1 of 2
6:52.0,,,75-99,1,T. Satoransky makes free throw 2 of 2
6:52.0,,,75-98,,S. Mac enters the game for M. Morris
6:31.0,S. Rodriguez misses 2-pt shot from 2 ft,,75-99,,
6:30.0,Offensive rebound by J. Okafor,,75-99,,
6:28.0,J. Okafor misses 2-pt shot from 1 ft,,75-99,,
6:27.0,Offensive rebound by J. Okafor,,75-99,,
6:26.0,J. Okafor makes 2-pt shot from 2 ft,2,77-99,,
6:05.0,,,77-99,,J. Smith misses 2-pt shot from 20 ft
6:04.0,Defensive rebound by T. Luwawu-Cabarrot,,77-99,,
5:51.0,T. Luwawu-Cabarrot makes 3-pt shot from 28 ft (assist by S. Rodriguez),3,80-99,,
5:51.0,,,80-99,,Washington full timeout
5:32.0,,,80-99,,T. Burke misses 3-pt shot from 26 ft
5:31.0,,,80-99,,Offensive rebound by Team
5:31.0,C. Randle enters the game for S. Rodriguez,,80-99,,
5:24.0,,,80-99,,S. Mac misses 2-pt shot from 20 ft
5:23.0,,,80-99,,Offensive rebound by J. Smith
5:04.0,,,80-99,,J. Smith misses 2-pt shot from 14 ft
5:04.0,Defensive rebound by J. Okafor,,80-99,,
4:52.0,D. Saric makes 2-pt shot from 2 ft,2,82-99,,
4:36.0,,,82-101,2,J. Smith makes 2-pt shot from 21 ft (assist by T. Burke)
4:19.0,D. Saric misses 2-pt shot from 5 ft,,82-101,,
4:18.0,,,82-101,,Defensive rebound by J. Smith
4:11.0,,,82-101,,S. Mac misses 3-pt shot from 24 ft
4:09.0,Defensive rebound by D. Saric,,82-101,,
4:00.0,,,82-101,,Personal foul by J. Smith (drawn by J. Okafor)
3:49.0,Shooting foul by J. Smith (drawn by J. Okafor),,82-101,,
3:49.0,J. Okafor misses free throw 1 of 2,,82-101,,
