time,Detroit,pts.away,score,pts.home,Indiana
6:46.0,T. Harris makes 2-pt shot from 3 ft,2,7-15,,
6:31.0,,,7-17,2,M. Turner makes 2-pt shot from 17 ft (assist by C. Miles)
6:16.0,S. Johnson misses 2-pt shot from 18 ft,,7-17,,
6:15.0,Offensive rebound by Team,,7-17,,
6:15.0,,,7-17,,Loose ball foul by M. Turner (drawn by A. Drummond)
6:08.0,T. Harris misses 3-pt shot from 26 ft,,7-17,,
6:08.0,,,7-17,,Defensive rebound by M. Turner
6:01.0,,,7-17,,T. Young misses 2-pt shot from 8 ft
6:00.0,Defensive rebound by A. Drummond,,7-17,,
5:50.0,A. Drummond misses 2-pt shot from 7 ft (block by M. Turner),,7-17,,
5:50.0,Offensive rebound by Team,,7-17,,
5:43.0,I. Smith misses 2-pt shot from 5 ft,,7-17,,
5:42.0,Offensive rebound by Team,,7-17,,
5:29.0,T. Harris misses 2-pt shot from 12 ft,,7-17,,
5:28.0,,,7-17,,Defensive rebound by P. George
5:14.0,,,7-17,,Turnover by J. Teague (bad pass; steal by S. Johnson)
5:10.0,I. Smith misses 2-pt shot from 2 ft,,7-17,,
5:10.0,Offensive rebound by S. Johnson,,7-17,,
5:08.0,S. Johnson makes 2-pt shot at rim,2,9-17,,
4:58.0,,,9-19,2,J. Teague makes 2-pt shot from 9 ft
4:32.0,A. Drummond misses 2-pt shot from 5 ft,,9-19,,
4:31.0,Offensive rebound by T. Harris,,9-19,,
4:29.0,Turnover by A. Drummond (offensive goaltending),,9-19,,
4:29.0,,,9-19,,M. Ellis enters the game for C. Miles
4:06.0,,,9-19,,T. Young misses 2-pt shot from 4 ft
4:05.0,,,9-19,,Offensive rebound by T. Young
4:05.0,,,9-19,,T. Young misses 2-pt shot from 2 ft
4:04.0,,,9-19,,Offensive rebound by T. Young
4:03.0,,,9-19,,T. Young misses 2-pt shot at rim
4:02.0,Defensive rebound by A. Drummond,,9-19,,
3:55.0,,,9-19,,Shooting block foul by M. Turner (drawn by T. Harris)
3:55.0,T. Harris makes free throw 1 of 2,1,10-19,,
3:55.0,T. Harris makes free throw 2 of 2,1,11-19,,
3:55.0,,,10-19,,A. Jefferson enters the game for M. Turner
3:55.0,,,10-19,,R. Stuckey enters the game for J. Teague
3:44.0,,,11-21,2,P. George makes 2-pt shot from 24 ft
3:44.0,,,11-21,,Shooting foul by S. Johnson (drawn by P. George)
3:44.0,,,11-22,1,P. George makes free throw 1 of 1
3:30.0,K. Caldwell-Pope makes 2-pt shot from 2 ft (assist by T. Harris),2,13-22,,
3:16.0,,,13-24,2,T. Young makes 2-pt shot from 1 ft (assist by M. Ellis)
3:03.0,Turnover by T. Harris (offensive foul),,13-24,,
3:03.0,Offensive foul by T. Harris,,13-24,,
3:03.0,Violation by Team (jump ball),,13-24,,
2:43.0,,,13-24,,P. George misses 2-pt shot from 20 ft
2:43.0,Defensive rebound by A. Drummond,,13-24,,
2:34.0,T. Harris makes 3-pt shot from 25 ft (assist by I. Smith),3,16-24,,
2:29.0,,,16-24,,Indiana full timeout
2:29.0,A. Baynes enters the game for A. Drummond,,16-24,,
2:29.0,,,16-24,,L. Allen enters the game for P. George
2:29.0,,,16-24,,G. Robinson enters the game for T. Young
2:14.0,,,16-24,,A. Jefferson misses 2-pt shot from 10 ft
2:13.0,,,16-24,,Offensive rebound by L. Allen
2:04.0,,,16-26,2,A. Jefferson makes 2-pt shot from 11 ft (assist by R. Stuckey)
1:50.0,T. Harris makes 2-pt shot from 2 ft (assist by I. Smith),2,18-26,,
1:25.0,,,18-26,,G. Robinson misses 2-pt shot from 20 ft
1:24.0,Defensive rebound by S. Johnson,,18-26,,
1:10.0,S. Johnson makes 3-pt shot from 26 ft (assist by I. Smith),3,21-26,,
0:51.0,,,21-26,,M. Ellis misses 2-pt shot from 9 ft
0:50.0,,,21-26,,Offensive rebound by A. Jefferson
0:48.0,,,21-26,,A. Jefferson misses 2-pt shot from 1 ft
0:47.0,Defensive rebound by T. Harris,,21-26,,
0:39.0,Shooting foul by L. Allen (drawn by T. Harris),,21-26,,
0:39.0,T. Harris misses free throw 1 of 2,,21-26,,
0:39.0,Offensive rebound by Team,,21-26,,
0:39.0,T. Harris misses free throw 2 of 2,,21-26,,
0:39.0,,,21-26,,Defensive rebound by G. Robinson
0:23.0,,,21-29,3,R. Stuckey makes 3-pt shot from 26 ft
0:23.0,,,21-29,,Shooting foul by S. Johnson (drawn by R. Stuckey)
0:23.0,,,21-30,1,R. Stuckey makes free throw 1 of 1
0:01.0,T. Harris misses 2-pt shot from 1 ft,,21-30,,
0:01.0,Offensive rebound by S. Johnson,,21-30,,
0:01.0,S. Johnson makes 2-pt shot at rim,2,23-30,,
0:00.0,End of 1st quarter,,,,End of 1st quarter
12:00.0,Start of 2nd quarter,,,,Start of 2nd quarter
11:48.0,,,23-32,2,A. Jefferson makes 2-pt shot from 12 ft (assist by R. Stuckey)
11:29.0,A. Baynes makes 2-pt shot at rim (assist by S. Johnson),2,25-32,,
11:15.0,,,25-34,2,G. Robinson makes 2-pt shot from 8 ft (assist by R. Stuckey)
10:50.0,M. Morris misses 2-pt shot from 6 ft,,25-34,,
10:49.0,,,25-34,,Defensive rebound by G. Robinson
10:29.0,,,25-34,,R. Stuckey misses 2-pt shot from 9 ft
10:28.0,Defensive rebound by T. Harris,,25-34,,
10:20.0,R. Jackson misses 3-pt shot from 25 ft,,25-34,,
10:20.0,,,25-34,,Defensive rebound by G. Robinson
10:04.0,,,25-36,2,A. Jefferson makes 2-pt shot from 2 ft
9:39.0,T. Harris makes 2-pt shot from 15 ft (assist by M. Morris),2,27-36,,
9:30.0,,,27-36,,R. Stuckey misses 2-pt shot from 1 ft
9:27.0,,,27-36,,Offensive rebound by L. Allen
9:27.0,,,27-38,2,L. Allen makes 2-pt shot from 1 ft
9:22.0,Detroit full timeout,,27-38,,
9:11.0,T. Harris makes 3-pt shot from 25 ft (assist by R. Jackson),3,30-38,,
8:58.0,,,30-40,2,G. Robinson makes 2-pt shot from 4 ft (assist by M. Ellis)
8:58.0,,,30-40,,Shooting foul by T. Harris (drawn by G. Robinson)
8:58.0,,,30-41,1,G. Robinson makes free throw 1 of 1
8:45.0,T. Harris misses 3-pt shot from 26 ft,,30-41,,
8:44.0,Offensive rebound by A. Baynes,,30-41,,
8:35.0,R. Jackson misses 3-pt shot from 26 ft,,30-41,,
8:34.0,,,30-41,,Defensive rebound by A. Jefferson
8:16.0,,,30-41,,M. Ellis misses 2-pt shot from 18 ft
8:15.0,Defensive rebound by T. Harris,,30-41,,
8:06.0,M. Morris makes 2-pt shot from 13 ft,2,32-41,,
7:52.0,,,32-41,,L. Allen misses 2-pt shot from 19 ft
7:51.0,Defensive rebound by A. Baynes,,32-41,,
7:40.0,S. Johnson makes 3-pt shot from 26 ft (assist by R. Jackson),3,35-41,,
7:33.0,,,35-41,,Indiana full timeout
7:33.0,,,35-41,,P. George enters the game for A. Jefferson
7:33.0,,,35-41,,M. Turner enters the game for L. Allen
7:33.0,,,35-41,,T. Young enters the game for G. Robinson
7:33.0,A. Drummond enters the game for A. Baynes,,35-41,,
7:22.0,,,35-41,,Turnover by M. Ellis (lost ball; steal by R. Jackson)
7:17.0,A. Drummond makes 2-pt shot at rim (assist by S. Johnson),2,37-41,,
6:58.0,,,37-41,,P. George misses 2-pt shot from 16 ft
6:57.0,Defensive rebound by S. Johnson,,37-41,,
6:50.0,Turnover by R. Jackson (bad pass),,37-41,,
6:50.0,,,37-41,,C. Miles enters the game for M. Ellis
6:50.0,,,37-41,,J. Teague enters the game for R. Stuckey
6:26.0,,,37-43,2,J. Teague makes 2-pt shot from 19 ft
6:09.0,T. Harris makes 2-pt shot from 16 ft (assist by R. Jackson),2,39-43,,
5:53.0,,,39-43,,Shooting foul by R. Jackson (drawn by J. Teague)
5:53.0,,,39-44,1,J. Teague makes free throw 1 of 2
5:53.0,,,39-45,1,J. Teague makes free throw 2 of 2
5:53.0,I. Smith enters the game for R. Jackson,,39-44,,
5:36.0,T. Harris misses 2-pt shot from 18 ft,,39-45,,
5:35.0,,,39-45,,Defensive rebound by J. Teague
5:26.0,,,39-45,,J. Teague misses 2-pt shot from 2 ft (block by I. Smith)
5:24.0,,,39-45,,Offensive rebound by J. Teague
5:12.0,,,39-48,3,C. Miles makes 3-pt shot from 25 ft
4:55.0,M. Morris makes 3-pt shot from 25 ft (assist by I. Smith),3,42-48,,
4:39.0,,,42-50,2,T. Young makes 2-pt shot from 2 ft (assist by M. Turner)
4:31.0,Detroit full timeout,,42-50,,
4:31.0,K. Caldwell-Pope enters the game for S. Johnson,,42-50,,
4:22.0,T. Harris misses 2-pt shot from 19 ft,,42-50,,
4:22.0,,,42-50,,Defensive rebound by C. Miles
4:22.0,Loose ball foul by A. Drummond (drawn by M. Turner),,42-50,,
4:10.0,,,42-52,2,M. Turner makes 2-pt shot at rim (assist by J. Teague)
3:50.0,T. Harris makes 2-pt shot at rim,2,44-52,,
3:35.0,,,44-54,2,T. Young makes 2-pt shot from 1 ft (assist by J. Teague)
3:18.0,M. Morris misses 3-pt shot from 24 ft,,44-54,,
3:17.0,,,44-54,,Defensive rebound by T. Young
3:10.0,Personal foul by I. Smith (drawn by J. Teague),,44-54,,
3:10.0,J. Leuer enters the game for T. Harris,,44-54,,
3:00.0,,,44-54,,Shooting foul by J. Leuer (drawn by T. Young)
3:00.0,,,44-54,,T. Young misses free throw 1 of 2
3:00.0,,,44-54,,Offensive rebound by Team
3:00.0,,,44-54,,T. Young misses free throw 2 of 2
3:00.0,Defensive rebound by A. Drummond,,44-54,,
2:47.0,,,44-54,,Def 3 sec tech foul by M. Turner
2:47.0,Official timeout,,44-54,,
2:47.0,K. Caldwell-Pope misses technical free throw,,44-54,,
2:47.0,Offensive rebound by Team,,44-54,,
2:47.0,,,44-54,,R. Christmas enters the game for M. Turner
2:39.0,M. Morris misses 3-pt shot from 26 ft,,44-54,,
2:38.0,,,44-54,,Defensive rebound by P. George
2:17.0,,,44-54,,P. George misses 2-pt shot from 17 ft
2:17.0,Defensive rebound by A. Drummond,,44-54,,
2:06.0,M. Morris misses 2-pt shot from 2 ft,,44-54,,
2:05.0,Offensive rebound by J. Leuer,,44-54,,
2:03.0,J. Leuer makes 2-pt shot from 1 ft,2,46-54,,
1:46.0,,,46-56,2,T. Young makes 2-pt shot from 2 ft (assist by J. Teague)
1:28.0,M. Morris makes 2-pt shot from 19 ft,2,48-56,,
1:13.0,,,48-58,2,R. Christmas makes 2-pt shot from 1 ft (assist by P. George)
1:03.0,,,48-58,,Personal block foul by C. Miles (drawn by I. Smith)
0:55.0,A. Drummond makes 2-pt shot from 7 ft (assist by J. Leuer),2,50-58,,
0:48.0,,,50-58,,P. George misses 3-pt shot from 26 ft
0:48.0,Defensive rebound by A. Drummond,,50-58,,
0:37.0,J. Leuer misses 2-pt shot from 13 ft,,50-58,,
0:36.0,,,50-58,,Defensive rebound by P. George
0:12.0,,,50-58,,J. Teague misses 3-pt shot from 26 ft
0:12.0,Defensive rebound by K. Caldwell-Pope,,50-58,,
0:00.0,,,50-58,,G. Robinson enters the game for C. Miles
0:00.0,End of 2nd quarter,,,,End of 2nd quarter
12:00.0,Start of 3rd quarter,,,,Start of 3rd quarter
11:49.0,Personal foul by R. Jackson (drawn by J. Teague),,50-58,,
11:35.0,,,50-58,,C. Miles misses 3-pt shot from 27 ft
11:35.0,Defensive rebound by R. Jackson,,50-58,,
11:24.0,K. Caldwell-Pope misses 3-pt shot from 25 ft,,50-58,,
11:24.0,,,50-58,,Defensive rebound by J. Teague
11:17.0,,,50-58,,Shooting foul by M. Morris (drawn by P. George)
11:17.0,,,50-59,1,P. George makes free throw 1 of 2
11:17.0,,,50-60,1,P. George makes free throw 2 of 2
11:01.0,R. Jackson misses 2-pt shot at rim,,50-60,,
11:00.0,Offensive rebound by A. Drummond,,50-60,,
10:58.0,A. Drummond makes 2-pt shot at rim,2,52-60,,
10:47.0,,,52-60,,Turnover by J. Teague (bad pass; steal by A. Drummond)
10:42.0,J. Leuer makes 2-pt shot from 2 ft (assist by R. Jackson),2,54-60,,
10:21.0,,,54-60,,M. Turner misses 2-pt shot from 12 ft
10:20.0,Defensive rebound by A. Drummond,,54-60,,
10:02.0,Turnover by J. Leuer (bad pass),,54-60,,
9:47.0,,,54-60,,C. Miles misses 3-pt shot from 24 ft
9:46.0,Defensive rebound by J. Leuer,,54-60,,
9:40.0,,,54-60,,Personal block foul by T. Young (drawn by R. Jackson)
9:32.0,J. Leuer misses 3-pt shot from 28 ft,,54-60,,
9:32.0,,,54-60,,Defensive rebound by J. Teague
9:19.0,,,54-60,,Shooting foul by A. Drummond (drawn by J. Teague)
9:19.0,,,54-61,1,J. Teague makes free throw 1 of 2
9:19.0,,,54-62,1,J. Teague makes free throw 2 of 2
9:10.0,R. Jackson misses 2-pt shot from 2 ft,,54-62,,
9:09.0,Offensive rebound by A. Drummond,,54-62,,
9:09.0,A. Drummond makes 2-pt shot at rim,2,56-62,,
8:51.0,,,56-62,,T. Young misses 2-pt shot from 8 ft
8:50.0,Defensive rebound by A. Drummond,,56-62,,
8:43.0,J. Leuer makes 2-pt shot from 20 ft (assist by M. Morris),2,58-62,,
8:23.0,,,58-62,,Turnover by J. Teague (bad pass)
8:17.0,R. Jackson misses 3-pt shot from 27 ft,,58-62,,
8:14.0,Offensive rebound by Team,,58-62,,
8:07.0,J. Leuer misses 3-pt shot from 23 ft,,58-62,,
8:06.0,Offensive rebound by A. Drummond,,58-62,,
8:06.0,A. Drummond makes 2-pt shot at rim,2,60-62,,
8:06.0,Shooting foul by T. Young (drawn by A. Drummond),,60-62,,
8:06.0,A. Drummond makes free throw 1 of 1,1,61-62,,
8:06.0,,,61-62,,Indiana full timeout
7:50.0,,,61-62,,M. Turner misses 2-pt shot from 16 ft
7:49.0,Defensive rebound by J. Leuer,,61-62,,
7:39.0,M. Morris makes 2-pt shot from 15 ft,2,63-62,,
7:17.0,,,63-65,3,C. Miles makes 3-pt shot from 26 ft (assist by P. George)
7:03.0,J. Leuer makes 2-pt shot from 1 ft (assist by A. Drummond),2,65-65,,
6:50.0,,,65-65,,Turnover by P. George (lost ball; steal by A. Drummond)
6:47.0,Shooting foul by P. George (drawn by A. Drummond),,65-65,,
6:47.0,A. Drummond misses free throw 1 of 2,,65-65,,
6:47.0,Offensive rebound by Team,,65-65,,
6:47.0,A. Drummond misses free throw 2 of 2,,65-65,,
6:47.0,,,65-65,,Defensive rebound by M. Turner
6:25.0,,,65-67,2,P. George makes 2-pt shot from 21 ft (assist by J. Teague)
6:10.0,M. Morris misses 2-pt shot from 20 ft,,65-67,,
6:09.0,,,65-67,,Defensive rebound by T. Young
5:56.0,,,65-70,3,P. George makes 3-pt shot from 25 ft (assist by M. Turner)
5:38.0,J. Leuer makes 3-pt shot from 26 ft (assist by R. Jackson),3,68-70,,
5:19.0,,,68-70,,Shooting foul by R. Jackson (drawn by J. Teague)
5:19.0,Technical foul by M. Morris,,68-70,,
5:19.0,,,68-71,1,P. George makes technical free throw
5:19.0,,,68-72,1,J. Teague makes free throw 1 of 2
5:19.0,,,68-73,1,J. Teague makes free throw 2 of 2
5:19.0,I. Smith enters the game for R. Jackson,,68-72,,
5:19.0,T. Harris enters the game for J. Leuer,,68-72,,
4:57.0,,,68-73,,Personal foul by C. Miles (drawn by M. Morris)
4:47.0,T. Harris makes 2-pt shot from 20 ft (assist by I. Smith),2,70-73,,
4:32.0,,,70-75,2,C. Miles makes 2-pt shot from 1 ft (assist by J. Teague)
4:32.0,,,70-75,,Shooting foul by A. Drummond (drawn by C. Miles)
4:32.0,,,70-76,1,C. Miles makes free throw 1 of 1
4:18.0,Turnover by I. Smith (lost ball; steal by T. Young),,70-76,,
4:07.0,,,70-78,2,T. Young makes 2-pt shot from 14 ft (assist by M. Turner)
3:52.0,M. Morris misses 2-pt shot from 20 ft,,70-78,,
3:52.0,Offensive rebound by A. Drummond,,70-78,,
3:51.0,Shooting foul by P. George (drawn by A. Drummond),,70-78,,
3:51.0,A. Drummond makes free throw 1 of 2,1,71-78,,
3:51.0,A. Drummond misses free throw 2 of 2,,71-78,,
3:51.0,,,71-78,,Defensive rebound by M. Turner
3:51.0,S. Johnson enters the game for K. Caldwell-Pope,,71-78,,
3:36.0,,,71-78,,C. Miles misses 3-pt shot from 25 ft
3:34.0,Defensive rebound by I. Smith,,71-78,,
3:14.0,Turnover by I. Smith (bad pass; steal by M. Turner),,71-78,,
3:07.0,,,71-81,3,P. George makes 3-pt shot from 25 ft (assist by J. Teague)
3:06.0,Detroit full timeout,,71-81,,
3:06.0,,,71-81,,M. Ellis enters the game for C. Miles
2:56.0,T. Harris misses 3-pt shot from 27 ft,,71-81,,
2:55.0,,,71-81,,Defensive rebound by P. George
2:42.0,,,71-81,,Shooting foul by A. Drummond (drawn by M. Turner)
2:42.0,,,71-82,1,M. Turner makes free throw 1 of 2
2:42.0,,,71-83,1,M. Turner makes free throw 2 of 2
2:42.0,A. Baynes enters the game for A. Drummond,,71-82,,
2:42.0,,,71-82,,R. Stuckey enters the game for J. Teague
2:27.0,S. Johnson misses 3-pt shot from 26 ft,,71-83,,
2:26.0,,,71-83,,Defensive rebound by M. Turner
2:13.0,,,71-85,2,P. George makes 2-pt shot from 19 ft
1:54.0,I. Smith misses 2-pt shot from 16 ft,,71-85,,
1:54.0,,,71-85,,Defensive rebound by P. George
1:40.0,,,71-85,,R. Stuckey misses 3-pt shot from 28 ft
1:39.0,Defensive rebound by A. Baynes,,71-85,,
1:30.0,A. Baynes makes 2-pt shot from 13 ft (assist by I. Smith),2,73-85,,
1:05.0,,,73-88,3,M. Ellis makes 3-pt shot from 24 ft (assist by R. Stuckey)
0:52.0,I. Smith misses 2-pt shot from 1 ft,,73-88,,
0:48.0,,,73-88,,Defensive rebound by R. Stuckey
0:30.0,,,73-90,2,M. Turner makes 2-pt shot from 2 ft (assist by R. Stuckey)
0:12.0,I. Smith misses 3-pt shot from 26 ft,,73-90,,
0:11.0,,,73-90,,Defensive rebound by P. George
0:00.0,,,73-90,,P. George misses 3-pt shot from 26 ft (block by M. Morris)
0:00.0,,,73-90,,Offensive rebound by Team
0:00.0,End of 3rd quarter,,,,End of 3rd quarter
12:00.0,Start of 4th quarter,,,,Start of 4th quarter
11:40.0,T. Harris makes 2-pt shot from 13 ft,2,75-90,,
11:27.0,,,75-92,2,R. Stuckey makes 2-pt shot from 12 ft
11:21.0,Detroit full timeout,,75-92,,
11:21.0,B. Marjanovic enters the game for A. Baynes,,75-92,,
11:11.0,R. Jackson makes 2-pt shot from 6 ft,2,77-92,,
10:56.0,,,77-94,2,M. Ellis makes 2-pt shot from 15 ft
10:45.0,J. Leuer makes 2-pt shot at rim,2,79-94,,
10:25.0,,,79-94,,A. Jefferson misses 2-pt shot from 14 ft
10:24.0,Defensive rebound by T. Harris,,79-94,,
10:16.0,R. Jackson misses 3-pt shot from 29 ft,,79-94,,
10:16.0,,,79-94,,Defensive rebound by A. Jefferson
10:03.0,,,79-96,2,A. Jefferson makes 2-pt shot from 6 ft
9:48.0,T. Harris misses 2-pt shot from 13 ft,,79-96,,
9:47.0,,,79-96,,Defensive rebound by L. Allen
9:25.0,,,79-96,,A. Jefferson misses 2-pt shot from 12 ft
9:24.0,Defensive rebound by Team,,79-96,,
9:14.0,Turnover by J. Leuer (bad pass),,79-96,,
9:04.0,,,79-98,2,M. Ellis makes 2-pt shot from 19 ft
8:51.0,Shooting foul by A. Jefferson (drawn by R. Jackson),,79-98,,
8:51.0,R. Jackson makes free throw 1 of 2,1,80-98,,
8:51.0,R. Jackson makes free throw 2 of 2,1,81-98,,
8:51.0,K. Caldwell-Pope enters the game for S. Johnson,,80-98,,
8:40.0,,,81-101,3,M. Ellis makes 3-pt shot from 26 ft
8:31.0,,,81-101,,Personal foul by M. Ellis (drawn by K. Caldwell-Pope)
8:20.0,Turnover by J. Leuer (lost ball; steal by G. Robinson),,81-101,,
8:14.0,,,81-101,,M. Ellis misses 2-pt shot at rim (block by K. Caldwell-Pope)
8:12.0,Defensive rebound by R. Jackson,,81-101,,
8:08.0,K. Caldwell-Pope misses 2-pt shot from 1 ft,,81-101,,
8:06.0,,,81-101,,Defensive rebound by A. Jefferson
8:00.0,Personal foul by K. Caldwell-Pope (drawn by G. Robinson),,81-101,,
7:53.0,Violation by B. Marjanovic (kicked ball),,81-101,,
7:43.0,,,81-101,,G. Robinson misses 3-pt shot from 23 ft
7:42.0,,,81-101,,Offensive rebound by L. Allen
7:28.0,,,81-101,,A. Jefferson misses 2-pt shot from 9 ft
7:26.0,Defensive rebound by B. Marjanovic,,81-101,,
7:16.0,J. Leuer misses 2-pt shot from 16 ft,,81-101,,
7:16.0,Offensive rebound by Team,,81-101,,
7:16.0,,,81-101,,Loose ball foul by A. Jefferson (drawn by B. Marjanovic)
7:16.0,,,81-101,,T. Young enters the game for L. Allen
7:09.0,,,81-101,,Personal foul by A. Jefferson (drawn by B. Marjanovic)
7:01.0,B. Marjanovic misses 2-pt shot from 6 ft,,81-101,,
7:00.0,,,81-101,,Defensive rebound by A. Jefferson
6:49.0,,,81-101,,A. Jefferson misses 2-pt shot from 6 ft
6:48.0,,,81-101,,Offensive rebound by T. Young
6:48.0,,,81-103,2,T. Young makes 2-pt shot from 1 ft
6:41.0,Detroit full timeout,,81-103,,
6:41.0,I. Smith enters the game for K. Caldwell-Pope,,81-103,,
6:41.0,R. Bullock enters the game for R. Jackson,,81-103,,
6:41.0,S. Johnson enters the game for T. Harris,,81-103,,
6:30.0,S. Johnson misses 2-pt shot from 16 ft,,81-103,,
6:30.0,,,81-103,,Defensive rebound by G. Robinson
6:12.0,,,81-103,,M. Ellis misses 2-pt shot from 18 ft
6:11.0,Defensive rebound by S. Johnson,,81-103,,
5:55.0,S. Johnson makes 2-pt shot from 7 ft,2,83-103,,
5:38.0,,,83-105,2,T. Young makes 2-pt shot from 3 ft (assist by M. Ellis)
5:21.0,B. Marjanovic makes 2-pt shot from 2 ft (assist by R. Bullock),2,85-105,,
5:21.0,Shooting foul by T. Young (drawn by B. Marjanovic),,85-105,,
5:21.0,B. Marjanovic makes free throw 1 of 1,1,86-105,,
5:00.0,,,86-107,2,M. Ellis makes 2-pt shot from 17 ft (assist by A. Jefferson)
4:37.0,S. Johnson makes 2-pt shot from 16 ft,2,88-107,,
4:18.0,,,88-107,,Shooting foul by B. Marjanovic (drawn by G. Robinson)
4:18.0,,,88-107,,G. Robinson misses free throw 1 of 2
4:18.0,,,88-107,,Offensive rebound by Team
4:18.0,,,88-108,1,G. Robinson makes free throw 2 of 2
4:03.0,J. Leuer makes 2-pt shot from 6 ft,2,90-108,,
3:34.0,,,90-111,3,G. Robinson makes 3-pt shot from 23 ft (assist by A. Jefferson)
3:20.0,J. Leuer misses 2-pt shot from 11 ft,,90-111,,
3:19.0,,,90-111,,Defensive rebound by R. Stuckey
3:15.0,,,90-113,2,G. Robinson makes 2-pt shot at rim (assist by R. Stuckey)
2:57.0,S. Johnson makes 3-pt shot from 25 ft (assist by B. Marjanovic),3,93-113,,
2:43.0,,,93-113,,G. Robinson misses 3-pt shot from 27 ft
2:42.0,Defensive rebound by B. Marjanovic,,93-113,,
2:34.0,Turnover by S. Johnson (bad pass),,93-113,,
2:34.0,Official timeout,,93-113,,
2:34.0,,,93-113,,A. Brooks enters the game for T. Young
2:34.0,,,93-113,,K. Seraphin enters the game for M. Ellis
2:34.0,,,93-113,,R. Christmas enters the game for A. Jefferson
2:20.0,,,93-113,,G. Robinson misses 2-pt shot from 2 ft (block by S. Johnson)
2:19.0,,,93-113,,Offensive rebound by K. Seraphin
2:17.0,,,93-113,,K. Seraphin misses 2-pt shot from 1 ft
2:16.0,Defensive rebound by I. Smith,,93-113,,
2:11.0,I. Smith makes 2-pt shot from 20 ft,2,95-113,,
1:59.0,,,95-115,2,K. Seraphin makes 2-pt shot from 10 ft (assist by R. Stuckey)
1:49.0,,,95-115,,Personal foul by R. Christmas (drawn by B. Marjanovic)
1:49.0,B. Marjanovic makes free throw 1 of 2,1,96-115,,
1:49.0,B. Marjanovic makes free throw 2 of 2,1,97-115,,
1:34.0,,,97-115,,R. Christmas misses 2-pt shot from 7 ft
1:33.0,Defensive rebound by B. Marjanovic,,97-115,,
1:27.0,R. Bullock misses 3-pt shot from 25 ft,,97-115,,
1:27.0,,,97-115,,Defensive rebound by Team
