time,Atlanta,pts.away,score,pts.home,Phoenix
7:00.0,,,16-13,,Turnover by P. Tucker (offensive foul)
6:43.0,Turnover by D. Schroder (bad pass; steal by T. Chandler),,16-13,,
6:39.0,,,16-13,,E. Bledsoe misses 2-pt shot from 1 ft
6:38.0,Defensive rebound by Team,,16-13,,
6:22.0,D. Schroder makes 2-pt shot from 6 ft,2,18-13,,
5:55.0,,,18-13,,P. Tucker misses 3-pt shot from 23 ft
5:54.0,,,18-13,,Offensive rebound by E. Bledsoe
5:38.0,,,18-15,2,E. Bledsoe makes 2-pt shot from 16 ft
5:11.0,K. Bazemore makes 2-pt shot from 22 ft,2,20-15,,
4:59.0,,,20-15,,Turnover by T. Chandler (bad pass)
4:59.0,M. Scott enters the game for M. Muscala,,20-15,,
4:59.0,,,20-15,,B. Knight enters the game for E. Bledsoe
4:59.0,,,20-15,,A. Len enters the game for T. Chandler
4:59.0,T. Hardaway enters the game for K. Korver,,20-15,,
4:47.0,M. Scott misses 3-pt shot from 27 ft,,20-15,,
4:45.0,,,20-15,,Defensive rebound by D. Booker
4:44.0,,,20-15,,Shooting foul by D. Schroder (drawn by M. Chriss)
4:44.0,,,20-16,1,M. Chriss makes free throw 1 of 2
4:44.0,,,20-17,1,M. Chriss makes free throw 2 of 2
4:44.0,M. Delaney enters the game for D. Schroder,,20-16,,
4:31.0,,,20-17,,Personal foul by A. Len (drawn by D. Howard)
4:31.0,,,20-17,,J. Dudley enters the game for M. Chriss
4:16.0,T. Hardaway misses 3-pt shot from 32 ft,,20-17,,
4:15.0,,,20-17,,Defensive rebound by P. Tucker
4:02.0,,,20-20,3,B. Knight makes 3-pt shot from 25 ft
3:50.0,T. Hardaway makes 2-pt shot from 7 ft,2,22-20,,
3:44.0,,,22-20,,Shooting foul by M. Delaney (drawn by B. Knight)
3:44.0,,,22-20,,B. Knight misses free throw 1 of 2
3:44.0,,,22-20,,Offensive rebound by Team
3:44.0,,,22-21,1,B. Knight makes free throw 2 of 2
3:44.0,T. Sefolosha enters the game for K. Bazemore,,22-20,,
3:44.0,K. Humphries enters the game for D. Howard,,22-20,,
3:20.0,T. Hardaway misses 2-pt shot from 21 ft,,22-21,,
3:18.0,,,22-21,,Defensive rebound by B. Knight
3:13.0,,,22-21,,Shooting foul by K. Humphries (drawn by P. Tucker)
3:13.0,,,22-22,1,P. Tucker makes free throw 1 of 2
3:13.0,,,22-23,1,P. Tucker makes free throw 2 of 2
3:13.0,Atlanta full timeout,,22-23,,
2:55.0,Turnover by M. Scott (bad pass; steal by B. Knight),,22-23,,
2:55.0,Personal foul by M. Delaney (drawn by B. Knight),,22-23,,
2:55.0,,,22-24,1,B. Knight makes free throw 1 of 2
2:55.0,,,22-25,1,B. Knight makes free throw 2 of 2
2:40.0,Turnover by T. Sefolosha (bad pass),,22-25,,
2:40.0,,,22-25,,D. Bender enters the game for P. Tucker
2:27.0,,,22-25,,D. Booker misses 3-pt shot from 25 ft
2:25.0,Defensive rebound by T. Sefolosha,,22-25,,
2:15.0,,,22-25,,Personal foul by A. Len (drawn by K. Humphries)
2:09.0,M. Delaney misses 2-pt shot from 17 ft,,22-25,,
2:05.0,,,22-25,,Defensive rebound by J. Dudley
1:58.0,,,22-25,,B. Knight misses 2-pt shot from 10 ft
1:54.0,Defensive rebound by M. Scott,,22-25,,
1:47.0,K. Humphries makes 2-pt shot from 16 ft (assist by T. Hardaway),2,24-25,,
1:30.0,,,24-28,3,J. Dudley makes 3-pt shot from 26 ft (assist by B. Knight)
1:22.0,,,24-28,,Personal foul by D. Booker (drawn by M. Delaney)
1:22.0,M. Muscala enters the game for M. Scott,,24-28,,
1:18.0,Turnover by M. Muscala (bad pass; steal by D. Booker),,24-28,,
1:15.0,Shooting block foul by M. Delaney (drawn by B. Knight),,24-28,,
1:15.0,,,24-29,1,B. Knight makes free throw 1 of 2
1:15.0,,,24-30,1,B. Knight makes free throw 2 of 2
1:15.0,K. Bazemore enters the game for M. Delaney,,24-29,,
1:15.0,,,24-29,,T. Chandler enters the game for A. Len
1:01.0,K. Humphries misses 2-pt shot from 11 ft,,24-30,,
1:00.0,,,24-30,,Defensive rebound by T. Chandler
1:00.0,,,24-30,,Turnover by J. Dudley (lost ball; steal by T. Hardaway)
0:58.0,T. Hardaway makes 2-pt shot from 16 ft,2,26-30,,
0:44.0,,,26-32,2,B. Knight makes 2-pt shot from 16 ft
0:44.0,,,26-32,,Shooting foul by K. Bazemore (drawn by B. Knight)
0:44.0,,,26-33,1,B. Knight makes free throw 1 of 1
0:37.0,Turnover by T. Hardaway (offensive foul),,26-33,,
0:37.0,Offensive charge foul by T. Hardaway,,26-33,,
0:30.0,,,26-36,3,B. Knight makes 3-pt shot from 25 ft
0:18.0,,,26-36,,Personal foul by D. Bender (drawn by K. Humphries)
0:18.0,K. Humphries misses free throw 1 of 2,,26-36,,
0:18.0,Offensive rebound by Team,,26-36,,
0:18.0,K. Humphries makes free throw 2 of 2,1,27-36,,
0:05.0,,,27-36,,B. Knight misses 2-pt shot from 13 ft
0:02.0,Defensive rebound by K. Bazemore,,27-36,,
0:00.0,K. Bazemore misses 3-pt shot from 28 ft,,27-36,,
0:00.0,Offensive rebound by Team,,27-36,,
0:00.0,End of 1st quarter,,,,End of 1st quarter
12:00.0,Start of 2nd quarter,,,,Start of 2nd quarter
11:51.0,,,27-36,,Personal foul by L. Barbosa (drawn by K. Bazemore)
11:45.0,Turnover by D. Schroder (traveling),,27-36,,
11:23.0,,,27-36,,B. Knight misses 2-pt shot from 2 ft (block by K. Humphries)
11:20.0,,,27-36,,Offensive rebound by A. Len
11:20.0,,,27-36,,Turnover by Team (shot clock)
11:06.0,D. Schroder misses 3-pt shot from 25 ft,,27-36,,
11:03.0,Offensive rebound by T. Sefolosha,,27-36,,
10:55.0,K. Bazemore makes 2-pt shot from 20 ft,2,29-36,,
10:29.0,,,29-36,,D. Bender misses 3-pt shot from 26 ft
10:26.0,Defensive rebound by K. Humphries,,29-36,,
10:15.0,M. Muscala misses 2-pt shot from 3 ft,,29-36,,
10:13.0,,,29-36,,Defensive rebound by A. Len
10:03.0,,,29-36,,L. Barbosa misses 2-pt shot from 21 ft
10:01.0,Defensive rebound by T. Sefolosha,,29-36,,
9:43.0,K. Bazemore misses 3-pt shot from 27 ft,,29-36,,
9:40.0,,,29-36,,Defensive rebound by L. Barbosa
9:38.0,,,29-36,,B. Knight misses 2-pt shot from 1 ft (block by K. Bazemore)
9:34.0,Defensive rebound by T. Sefolosha,,29-36,,
9:25.0,Turnover by K. Bazemore (bad pass; steal by A. Len),,29-36,,
9:16.0,,,29-36,,J. Dudley misses 3-pt shot from 26 ft
9:13.0,,,29-36,,Offensive rebound by A. Len
9:08.0,,,29-38,2,A. Len makes 2-pt shot from 7 ft (assist by B. Knight)
8:58.0,K. Humphries misses 3-pt shot from 25 ft,,29-38,,
8:56.0,,,29-38,,Defensive rebound by B. Knight
8:46.0,,,29-38,,B. Knight misses 2-pt shot from 2 ft
8:44.0,,,29-38,,Offensive rebound by D. Bender
8:44.0,,,29-38,,A. Len misses 2-pt shot from 1 ft
8:39.0,Defensive rebound by K. Bazemore,,29-38,,
8:28.0,M. Muscala misses 2-pt shot from 15 ft,,29-38,,
8:25.0,,,29-38,,Defensive rebound by D. Bender
8:12.0,,,29-40,2,B. Knight makes 2-pt shot from 11 ft
8:12.0,Atlanta full timeout,,29-40,,
8:12.0,D. Howard enters the game for T. Sefolosha,,29-40,,
8:12.0,K. Korver enters the game for K. Humphries,,29-40,,
7:55.0,Turnover by D. Howard (traveling),,29-40,,
7:45.0,,,29-40,,L. Barbosa misses 2-pt shot from 6 ft (block by M. Muscala)
7:42.0,Defensive rebound by K. Korver,,29-40,,
7:23.0,D. Howard makes 2-pt shot from 1 ft (assist by D. Schroder),2,31-40,,
7:04.0,,,31-40,,B. Knight misses 2-pt shot from 6 ft
7:01.0,Defensive rebound by M. Muscala,,31-40,,
6:46.0,,,31-40,,Personal foul by L. Barbosa (drawn by D. Schroder)
6:38.0,D. Schroder misses 2-pt shot from 16 ft,,31-40,,
6:35.0,,,31-40,,Defensive rebound by B. Knight
6:26.0,,,31-42,2,A. Len makes 2-pt shot from 13 ft (assist by J. Dudley)
6:08.0,K. Korver misses 2-pt shot from 20 ft,,31-42,,
6:06.0,Offensive rebound by Team,,31-42,,
6:06.0,,,31-42,,E. Bledsoe enters the game for L. Barbosa
6:06.0,,,31-42,,P. Tucker enters the game for D. Bender
5:56.0,K. Bazemore misses 3-pt shot from 23 ft,,31-42,,
5:54.0,,,31-42,,Defensive rebound by E. Bledsoe
5:47.0,,,31-42,,B. Knight misses 2-pt shot from 2 ft (block by M. Muscala)
5:43.0,Defensive rebound by K. Bazemore,,31-42,,
5:40.0,D. Schroder makes 2-pt shot from 1 ft (assist by K. Bazemore),2,33-42,,
5:39.0,Violation by Team (jump ball),,33-42,,
5:31.0,,,33-44,2,J. Dudley makes 2-pt shot from 5 ft (assist by P. Tucker)
5:29.0,Turnover by D. Howard (inbound),,33-44,,
5:29.0,Official timeout,,33-44,,
5:29.0,,,33-44,,D. Booker enters the game for B. Knight
5:29.0,,,33-44,,T. Chandler enters the game for A. Len
5:29.0,T. Sefolosha enters the game for M. Muscala,,33-44,,
5:29.0,T. Hardaway enters the game for D. Schroder,,33-44,,
5:17.0,,,33-46,2,P. Tucker makes 2-pt shot from 2 ft (assist by T. Chandler)
5:17.0,,,33-46,,Shooting foul by K. Korver (drawn by P. Tucker)
5:17.0,,,33-47,1,P. Tucker makes free throw 1 of 1
5:17.0,D. Schroder enters the game for K. Korver,,33-46,,
5:06.0,T. Sefolosha makes 2-pt shot from 16 ft (assist by D. Howard),2,35-47,,
4:46.0,,,35-47,,D. Booker misses 2-pt shot from 17 ft
4:44.0,Defensive rebound by D. Schroder,,35-47,,
4:38.0,T. Sefolosha misses 2-pt shot from 2 ft,,35-47,,
4:35.0,,,35-47,,Defensive rebound by T. Chandler
4:33.0,,,35-47,,Turnover by D. Booker (lost ball; steal by K. Bazemore)
4:27.0,K. Bazemore makes 3-pt shot from 24 ft (assist by D. Schroder),3,38-47,,
4:25.0,,,38-47,,Phoenix full timeout
4:25.0,M. Muscala enters the game for D. Schroder,,38-47,,
4:15.0,Personal block foul by D. Howard (drawn by E. Bledsoe),,38-47,,
4:09.0,,,38-47,,E. Bledsoe misses 2-pt shot from 18 ft
4:03.0,Defensive rebound by D. Howard,,38-47,,
3:58.0,Turnover by K. Bazemore (bad pass; steal by J. Dudley),,38-47,,
3:50.0,,,38-50,3,J. Dudley makes 3-pt shot from 24 ft (assist by D. Booker)
3:28.0,Turnover by D. Howard (bad pass),,38-50,,
3:28.0,D. Schroder enters the game for M. Muscala,,38-50,,
3:11.0,Personal foul by K. Bazemore (drawn by J. Dudley),,38-50,,
3:04.0,,,38-50,,Offensive foul by T. Chandler
3:04.0,,,38-50,,Turnover by T. Chandler (offensive foul)
2:48.0,K. Bazemore misses 2-pt shot from 22 ft,,38-50,,
2:44.0,Offensive rebound by D. Howard,,38-50,,
2:37.0,T. Hardaway makes 3-pt shot from 24 ft (assist by K. Bazemore),3,41-50,,
2:21.0,,,41-50,,D. Booker misses 2-pt shot from 6 ft
2:15.0,Defensive rebound by D. Howard,,41-50,,
2:05.0,K. Bazemore misses 2-pt shot from 21 ft,,41-50,,
2:04.0,,,41-50,,Defensive rebound by E. Bledsoe
1:56.0,,,41-50,,Turnover by P. Tucker (bad pass; steal by T. Sefolosha)
1:52.0,T. Hardaway makes 2-pt shot at rim (assist by D. Schroder),2,43-50,,
1:42.0,,,43-50,,M. Chriss enters the game for J. Dudley
1:42.0,,,43-50,,B. Knight enters the game for D. Booker
1:30.0,,,43-50,,Turnover by B. Knight (lost ball; steal by K. Bazemore)
1:30.0,,,43-50,,Personal foul by T. Chandler (drawn by K. Bazemore)
1:13.0,D. Schroder makes 2-pt shot from 1 ft,2,45-50,,
0:58.0,,,45-50,,Turnover by E. Bledsoe (bad pass; steal by T. Sefolosha)
0:53.0,T. Hardaway misses 2-pt shot from 15 ft,,45-50,,
0:51.0,,,45-50,,Defensive rebound by E. Bledsoe
0:45.0,,,45-50,,E. Bledsoe misses 2-pt shot from 2 ft
0:41.0,Defensive rebound by T. Hardaway,,45-50,,
0:32.0,T. Hardaway makes 3-pt shot from 25 ft,3,48-50,,
0:09.0,,,48-50,,E. Bledsoe misses 2-pt shot from 10 ft
0:08.0,,,48-50,,Offensive rebound by Team
0:08.0,,,48-50,,Turnover by Team (shot clock)
0:08.0,Atlanta full timeout,,48-50,,
0:08.0,,,48-50,,D. Booker enters the game for M. Chriss
0:01.0,Turnover by K. Bazemore (lost ball; steal by E. Bledsoe),,48-50,,
0:00.0,,,48-50,,E. Bledsoe misses 3-pt shot from 51 ft
0:00.0,,,48-50,,Offensive rebound by Team
0:00.0,End of 2nd quarter,,,,End of 2nd quarter
12:00.0,Start of 3rd quarter,,,,Start of 3rd quarter
11:45.0,K. Bazemore misses 2-pt shot from 18 ft,,48-50,,
11:43.0,,,48-50,,Defensive rebound by M. Chriss
11:27.0,,,48-53,3,M. Chriss makes 3-pt shot from 23 ft (assist by D. Booker)
11:12.0,D. Schroder misses 2-pt shot from 1 ft,,48-53,,
11:08.0,,,48-53,,Defensive rebound by T. Chandler
11:04.0,,,48-53,,D. Booker misses 2-pt shot from 17 ft
11:02.0,,,48-53,,Offensive rebound by T. Chandler
10:46.0,,,48-53,,D. Booker misses 2-pt shot from 2 ft
10:46.0,,,48-53,,Offensive rebound by Team
10:46.0,Loose ball foul by K. Korver (drawn by M. Chriss),,48-53,,
10:42.0,,,48-53,,E. Bledsoe misses 3-pt shot from 25 ft
10:39.0,Defensive rebound by K. Bazemore,,48-53,,
10:30.0,K. Bazemore makes 3-pt shot from 25 ft (assist by D. Schroder),3,51-53,,
10:12.0,,,51-53,,M. Chriss misses 3-pt shot from 25 ft
10:10.0,Defensive rebound by D. Howard,,51-53,,
9:50.0,K. Bazemore misses 2-pt shot from 22 ft,,51-53,,
9:48.0,,,51-53,,Defensive rebound by T. Chandler
9:45.0,,,51-53,,Turnover by T. Chandler (bad pass; steal by K. Bazemore)
9:39.0,D. Schroder makes 3-pt shot from 25 ft,3,54-53,,
9:18.0,,,54-55,2,E. Bledsoe makes 2-pt shot from 8 ft
9:02.0,D. Howard misses 2-pt shot from 15 ft,,54-55,,
9:00.0,,,54-55,,Defensive rebound by M. Chriss
8:45.0,,,54-57,2,T. Chandler makes 2-pt shot at rim (assist by E. Bledsoe)
8:35.0,D. Howard makes 2-pt shot from 1 ft (assist by D. Schroder),2,56-57,,
8:23.0,,,56-57,,M. Chriss misses 3-pt shot from 26 ft
8:21.0,Defensive rebound by D. Howard,,56-57,,
8:13.0,D. Schroder misses 3-pt shot from 25 ft,,56-57,,
8:11.0,,,56-57,,Defensive rebound by T. Chandler
8:05.0,,,56-59,2,D. Booker makes 2-pt shot from 1 ft
7:54.0,D. Howard makes 2-pt shot at rim,2,58-59,,
7:54.0,Shooting foul by T. Chandler (drawn by D. Howard),,58-59,,
7:54.0,D. Howard makes free throw 1 of 1,1,59-59,,
7:54.0,T. Sefolosha enters the game for M. Muscala,,58-59,,
7:54.0,,,58-59,,J. Dudley enters the game for M. Chriss
7:38.0,,,59-61,2,J. Dudley makes 2-pt shot from 18 ft (assist by E. Bledsoe)
7:19.0,D. Schroder misses 2-pt shot from 19 ft (block by E. Bledsoe),,59-61,,
7:16.0,Offensive rebound by D. Schroder,,59-61,,
7:12.0,K. Bazemore makes 2-pt shot from 2 ft,2,61-61,,
7:01.0,,,61-61,,J. Dudley misses 2-pt shot from 14 ft
6:58.0,Defensive rebound by D. Howard,,61-61,,
6:47.0,T. Sefolosha misses 2-pt shot from 3 ft,,61-61,,
6:47.0,,,61-61,,Defensive rebound by Team
6:47.0,Loose ball foul by D. Howard (drawn by J. Dudley),,61-61,,
6:38.0,,,61-61,,E. Bledsoe misses 2-pt shot from 1 ft
6:35.0,Defensive rebound by D. Howard,,61-61,,
6:29.0,K. Bazemore misses 3-pt shot from 25 ft,,61-61,,
6:27.0,,,61-61,,Defensive rebound by T. Chandler
6:03.0,,,61-63,2,P. Tucker makes 2-pt shot from 14 ft
5:47.0,Turnover by D. Howard (bad pass; steal by T. Chandler),,61-63,,
5:38.0,,,61-63,,E. Bledsoe misses 3-pt shot from 25 ft
5:36.0,Defensive rebound by D. Howard,,61-63,,
5:35.0,Turnover by D. Howard (bad pass; steal by J. Dudley),,61-63,,
5:32.0,,,61-66,3,D. Booker makes 3-pt shot from 24 ft
5:32.0,Atlanta full timeout,,61-66,,
5:32.0,,,61-66,,B. Knight enters the game for T. Chandler
5:32.0,,,61-66,,A. Len enters the game for E. Bledsoe
5:32.0,T. Hardaway enters the game for K. Korver,,61-66,,
5:11.0,T. Hardaway misses 3-pt shot from 25 ft,,61-66,,
5:09.0,Offensive rebound by D. Howard,,61-66,,
5:09.0,D. Howard makes 2-pt shot from 2 ft,2,63-66,,
4:58.0,,,63-66,,Offensive foul by A. Len
4:58.0,,,63-66,,Turnover by A. Len (offensive foul)
4:49.0,D. Schroder makes 2-pt shot from 1 ft,2,65-66,,
4:29.0,Personal foul by T. Sefolosha (drawn by B. Knight),,65-66,,
4:21.0,,,65-66,,D. Booker misses 2-pt shot from 15 ft
4:19.0,,,65-66,,Offensive rebound by A. Len
4:11.0,,,65-66,,Turnover by A. Len (lost ball; steal by T. Sefolosha)
4:08.0,D. Howard makes 2-pt shot at rim (assist by T. Hardaway),2,67-66,,
3:55.0,,,67-68,2,B. Knight makes 2-pt shot from 5 ft
3:37.0,D. Schroder makes 2-pt shot from 1 ft,2,69-68,,
3:22.0,,,69-68,,Shooting foul by T. Sefolosha (drawn by J. Dudley)
3:22.0,,,69-68,,J. Dudley misses free throw 1 of 3
3:22.0,,,69-68,,Offensive rebound by Team
3:22.0,,,69-69,1,J. Dudley makes free throw 2 of 3
3:22.0,,,69-70,1,J. Dudley makes free throw 3 of 3
3:22.0,M. Muscala enters the game for K. Bazemore,,69-69,,
3:22.0,K. Humphries enters the game for D. Howard,,69-69,,
3:09.0,D. Schroder misses 2-pt shot from 18 ft,,69-70,,
3:06.0,,,69-70,,Defensive rebound by P. Tucker
2:58.0,,,69-70,,J. Dudley misses 3-pt shot from 25 ft
2:58.0,Defensive rebound by Team,,69-70,,
2:58.0,,,69-70,,Phoenix full timeout
2:33.0,T. Hardaway misses 3-pt shot from 25 ft (block by A. Len),,69-70,,
2:33.0,Offensive rebound by Team,,69-70,,
2:33.0,Turnover by Team (shot clock),,69-70,,
2:21.0,,,69-70,,B. Knight misses 2-pt shot from 2 ft
2:18.0,Defensive rebound by K. Humphries,,69-70,,
2:07.0,T. Sefolosha misses 2-pt shot from 2 ft,,69-70,,
2:04.0,,,69-70,,Defensive rebound by A. Len
1:53.0,,,69-70,,Turnover by B. Knight (bad pass; steal by T. Sefolosha)
1:49.0,T. Sefolosha makes 2-pt shot from 2 ft,2,71-70,,
1:43.0,,,71-73,3,B. Knight makes 3-pt shot from 24 ft (assist by P. Tucker)
1:26.0,T. Hardaway misses 3-pt shot from 23 ft,,71-73,,
1:24.0,Offensive rebound by Team,,71-73,,
1:24.0,M. Delaney enters the game for D. Schroder,,71-73,,
1:19.0,T. Hardaway makes 2-pt shot from 13 ft,2,73-73,,
1:05.0,,,73-76,3,P. Tucker makes 3-pt shot from 24 ft (assist by D. Booker)
0:49.0,M. Delaney misses 3-pt shot from 25 ft,,73-76,,
0:46.0,,,73-76,,Defensive rebound by A. Len
0:38.0,Personal foul by T. Hardaway (drawn by D. Booker),,73-76,,
0:38.0,,,73-77,1,D. Booker makes free throw 1 of 2
0:38.0,,,73-77,,D. Booker misses free throw 2 of 2
0:38.0,Defensive rebound by M. Muscala,,73-77,,
0:27.0,T. Hardaway misses 2-pt shot from 4 ft (block by A. Len),,73-77,,
0:27.0,Offensive rebound by Team,,73-77,,
0:21.0,T. Hardaway makes 2-pt shot from 20 ft (assist by M. Delaney),2,75-77,,
0:04.0,,,75-77,,P. Tucker misses 2-pt shot from 3 ft
0:02.0,Defensive rebound by T. Sefolosha,,75-77,,
0:00.0,End of 3rd quarter,,,,End of 3rd quarter
12:00.0,Start of 4th quarter,,,,Start of 4th quarter
11:34.0,,,75-77,,B. Knight misses 2-pt shot from 19 ft
11:30.0,,,75-77,,Offensive rebound by J. Dudley
11:30.0,Violation by K. Humphries (def goaltending),,75-77,,
11:30.0,,,75-79,2,J. Dudley makes 2-pt shot from 2 ft
11:08.0,M. Muscala misses 2-pt shot from 15 ft,,75-79,,
11:05.0,,,75-79,,Defensive rebound by L. Barbosa
10:54.0,,,75-79,,D. Bender misses 3-pt shot from 26 ft
10:52.0,Defensive rebound by T. Sefolosha,,75-79,,
10:38.0,K. Humphries makes 2-pt shot from 2 ft (assist by M. Muscala),2,77-79,,
10:19.0,,,77-79,,Turnover by B. Knight (step out of bounds)
10:19.0,K. Bazemore enters the game for T. Sefolosha,,77-79,,
10:04.0,T. Hardaway makes 2-pt shot at rim,2,79-79,,
9:48.0,,,79-81,2,L. Barbosa makes 2-pt shot from 1 ft
9:41.0,T. Hardaway misses 3-pt shot from 25 ft,,79-81,,
9:37.0,Offensive rebound by K. Humphries,,79-81,,
9:25.0,M. Delaney makes 2-pt shot from 19 ft,2,81-81,,
9:11.0,,,81-83,2,A. Len makes 2-pt shot from 2 ft (assist by L. Barbosa)
8:59.0,K. Bazemore makes 2-pt shot from 17 ft,2,83-83,,
8:48.0,,,83-83,,Offensive foul by J. Dudley
8:48.0,,,83-83,,Turnover by J. Dudley (offensive foul)
8:48.0,Official timeout,,83-83,,
8:48.0,,,83-83,,E. Bledsoe enters the game for D. Bender
8:37.0,Shooting foul by L. Barbosa (drawn by T. Hardaway),,83-83,,
8:37.0,T. Hardaway makes free throw 1 of 2,1,84-83,,
8:37.0,T. Hardaway misses free throw 2 of 2,,84-83,,
8:37.0,,,84-83,,Defensive rebound by A. Len
8:26.0,,,84-85,2,L. Barbosa makes 2-pt shot from 17 ft
8:07.0,Turnover by K. Humphries (step out of bounds),,84-85,,
8:07.0,T. Sefolosha enters the game for M. Muscala,,84-85,,
8:07.0,D. Howard enters the game for K. Humphries,,84-85,,
7:53.0,,,84-85,,L. Barbosa misses 2-pt shot from 8 ft
7:47.0,Defensive rebound by T. Sefolosha,,84-85,,
7:29.0,M. Delaney misses 2-pt shot from 2 ft,,84-85,,
7:29.0,Offensive rebound by Team,,84-85,,
7:29.0,Turnover by Team (shot clock),,84-85,,
7:29.0,D. Schroder enters the game for M. Delaney,,84-85,,
7:17.0,,,84-85,,B. Knight misses 2-pt shot from 9 ft
7:14.0,,,84-85,,Offensive rebound by B. Knight
7:14.0,,,84-85,,B. Knight misses 2-pt shot from 1 ft
7:11.0,,,84-85,,Offensive rebound by A. Len
7:02.0,,,84-87,2,L. Barbosa makes 2-pt shot from 16 ft
6:47.0,D. Schroder misses 2-pt shot from 2 ft,,84-87,,
6:39.0,,,84-87,,Defensive rebound by A. Len
6:39.0,,,84-89,2,L. Barbosa makes 2-pt shot from 1 ft
6:39.0,Atlanta full timeout,,84-89,,
6:39.0,M. Muscala enters the game for T. Hardaway,,84-89,,
6:20.0,Turnover by D. Schroder (bad pass; steal by B. Knight),,84-89,,
6:04.0,,,84-89,,L. Barbosa misses 2-pt shot from 7 ft
6:03.0,,,84-89,,Offensive rebound by Team
6:03.0,Loose ball foul by T. Sefolosha (drawn by A. Len),,84-89,,
5:58.0,,,84-92,3,J. Dudley makes 3-pt shot from 26 ft (assist by E. Bledsoe)
5:36.0,D. Schroder misses 3-pt shot from 24 ft,,84-92,,
5:36.0,,,84-92,,Defensive rebound by Team
5:36.0,Loose ball foul by D. Howard (drawn by A. Len),,84-92,,
5:23.0,,,84-94,2,E. Bledsoe makes 2-pt shot from 1 ft
4:55.0,D. Schroder makes 2-pt shot from 6 ft,2,86-94,,
4:44.0,,,86-94,,Turnover by J. Dudley (bad pass; steal by T. Sefolosha)
4:38.0,D. Schroder makes 3-pt shot from 26 ft (assist by T. Sefolosha),3,89-94,,
4:37.0,,,89-94,,Phoenix full timeout
4:37.0,,,89-94,,T. Chandler enters the game for A. Len
4:37.0,,,89-94,,D. Booker enters the game for L. Barbosa
4:37.0,T. Hardaway enters the game for M. Muscala,,89-94,,
4:22.0,,,89-94,,B. Knight misses 2-pt shot from 18 ft
4:20.0,Defensive rebound by D. Howard,,89-94,,
4:12.0,T. Hardaway makes 2-pt shot from 16 ft,2,91-94,,
3:52.0,,,91-96,2,D. Booker makes 2-pt shot from 18 ft
3:32.0,D. Schroder makes 2-pt shot from 13 ft,2,93-96,,
