time,New Orleans,pts.away,score,pts.home,Brooklyn
1:04.0,E. Moore makes 3-pt shot from 25 ft,3,33-31,,
0:44.0,,,33-31,,S. Kilpatrick misses 2-pt shot from 6 ft
0:43.0,Defensive rebound by T. Evans,,33-31,,
0:33.0,Turnover by E. Moore (bad pass; steal by R. Hollis-Jefferson),,33-31,,
0:29.0,,,33-31,,S. Kilpatrick misses 3-pt shot from 25 ft
0:23.0,Defensive rebound by S. Hill,,33-31,,
0:03.0,T. Evans makes 2-pt shot from 19 ft,2,35-31,,
0:01.0,,,35-31,,S. Dinwiddie misses 3-pt shot from 38 ft
0:00.0,,,35-31,,Offensive rebound by Team
0:00.0,End of 1st quarter,,,,End of 1st quarter
12:00.0,Start of 2nd quarter,,,,Start of 2nd quarter
11:44.0,,,35-33,2,B. Lopez makes 2-pt shot from 3 ft (assist by R. Hollis-Jefferson)
11:31.0,,,35-33,,Personal foul by S. Dinwiddie (drawn by T. Evans)
11:26.0,Turnover by T. Evans (bad pass),,35-33,,
11:14.0,,,35-33,,C. LeVert misses 3-pt shot from 25 ft
11:13.0,,,35-33,,Offensive rebound by Team
11:12.0,,,35-33,,B. Lopez misses 3-pt shot from 24 ft
11:11.0,,,35-33,,Offensive rebound by R. Hollis-Jefferson
11:10.0,,,35-35,2,R. Hollis-Jefferson makes 2-pt shot from 2 ft
10:46.0,L. Galloway misses 2-pt shot from 13 ft,,35-35,,
10:45.0,,,35-35,,Defensive rebound by C. LeVert
10:37.0,,,35-37,2,C. LeVert makes 2-pt shot from 3 ft
10:30.0,New Orleans full timeout,,35-37,,
10:21.0,D. Motiejunas misses 2-pt shot from 7 ft,,35-37,,
10:19.0,Offensive rebound by D. Cunningham,,35-37,,
10:08.0,E. Moore misses 2-pt shot from 8 ft,,35-37,,
10:07.0,,,35-37,,Defensive rebound by B. Lopez
9:53.0,,,35-37,,S. Dinwiddie misses 2-pt shot from 8 ft
9:51.0,Defensive rebound by D. Motiejunas,,35-37,,
9:43.0,D. Cunningham misses 3-pt shot from 24 ft,,35-37,,
9:42.0,,,35-37,,Defensive rebound by R. Hollis-Jefferson
9:28.0,,,35-37,,B. Lopez misses 2-pt shot from 7 ft
9:27.0,,,35-37,,Offensive rebound by R. Hollis-Jefferson
9:26.0,,,35-37,,R. Hollis-Jefferson misses 2-pt shot from 1 ft
9:25.0,,,35-37,,Offensive rebound by Team
9:25.0,Loose ball foul by T. Evans (drawn by R. Hollis-Jefferson),,35-37,,
9:15.0,,,35-37,,Turnover by B. Lopez (bad pass; steal by T. Evans)
9:12.0,T. Evans makes 2-pt shot from 2 ft,2,37-37,,
9:12.0,Shooting foul by C. LeVert (drawn by T. Evans),,37-37,,
9:12.0,T. Evans makes free throw 1 of 1,1,38-37,,
8:59.0,,,38-37,,R. Hollis-Jefferson misses 3-pt shot from 25 ft
8:58.0,Defensive rebound by L. Galloway,,38-37,,
8:49.0,D. Motiejunas misses 2-pt shot from 12 ft,,38-37,,
8:48.0,,,38-37,,Defensive rebound by S. Dinwiddie
8:42.0,,,38-39,2,B. Lopez makes 2-pt shot from 2 ft (assist by S. Dinwiddie)
8:24.0,E. Moore makes 2-pt shot from 15 ft,2,40-39,,
8:06.0,,,40-41,2,B. Bogdanovic makes 2-pt shot from 18 ft
7:54.0,D. Motiejunas misses 3-pt shot from 24 ft,,40-41,,
7:53.0,,,40-41,,Defensive rebound by S. Dinwiddie
7:43.0,,,40-41,,R. Hollis-Jefferson misses 2-pt shot from 2 ft
7:42.0,Defensive rebound by D. Cunningham,,40-41,,
7:39.0,,,40-41,,J. Hamilton enters the game for B. Lopez
7:39.0,T. Jones enters the game for D. Motiejunas,,40-41,,
7:26.0,T. Jones misses 2-pt shot from 1 ft,,40-41,,
7:25.0,,,40-41,,Defensive rebound by J. Hamilton
7:14.0,,,40-41,,B. Bogdanovic misses 2-pt shot from 2 ft (block by E. Moore)
7:12.0,Defensive rebound by T. Jones,,40-41,,
7:07.0,Turnover by T. Jones (bad pass; steal by R. Hollis-Jefferson),,40-41,,
6:59.0,,,40-43,2,C. LeVert makes 2-pt shot from 3 ft (assist by R. Hollis-Jefferson)
6:48.0,E. Moore misses 3-pt shot from 24 ft,,40-43,,
6:47.0,Offensive rebound by D. Cunningham,,40-43,,
6:46.0,,,40-43,,Personal foul by S. Dinwiddie (drawn by D. Cunningham)
6:46.0,,,40-43,,J. Harris enters the game for B. Bogdanovic
6:46.0,,,40-43,,T. Booker enters the game for R. Hollis-Jefferson
6:34.0,L. Galloway misses 2-pt shot from 18 ft,,40-43,,
6:33.0,,,40-43,,Defensive rebound by T. Booker
6:24.0,,,40-43,,T. Booker misses 2-pt shot from 3 ft
6:23.0,,,40-43,,Offensive rebound by J. Hamilton
6:22.0,,,40-45,2,J. Hamilton makes 2-pt shot from 1 ft
6:15.0,,,40-45,,Violation by S. Dinwiddie (kicked ball)
6:05.0,E. Moore misses 2-pt shot from 21 ft,,40-45,,
6:04.0,,,40-45,,Defensive rebound by T. Booker
5:55.0,,,40-45,,J. Hamilton misses 3-pt shot from 24 ft
5:54.0,Defensive rebound by L. Galloway,,40-45,,
5:49.0,L. Galloway misses 2-pt shot from 20 ft,,40-45,,
5:48.0,,,40-45,,Defensive rebound by C. LeVert
5:36.0,,,40-47,2,J. Hamilton makes 2-pt shot from 7 ft (assist by C. LeVert)
5:10.0,T. Evans makes 3-pt shot from 26 ft,3,43-47,,
4:54.0,,,43-47,,J. Hamilton misses 2-pt shot from 2 ft (block by T. Evans)
4:54.0,Defensive rebound by Team,,43-47,,
4:54.0,Official timeout,,43-47,,
4:54.0,,,43-47,,I. Whitehead enters the game for S. Dinwiddie
4:54.0,,,43-47,,S. Kilpatrick enters the game for C. LeVert
4:54.0,B. Hield enters the game for L. Galloway,,43-47,,
4:54.0,J. Holiday enters the game for E. Moore,,43-47,,
4:54.0,,,43-47,,Violation by Team (jump ball)
4:40.0,B. Hield misses 3-pt shot from 24 ft,,43-47,,
4:38.0,Offensive rebound by B. Hield,,43-47,,
4:36.0,B. Hield misses 2-pt shot from 18 ft,,43-47,,
4:35.0,Offensive rebound by T. Jones,,43-47,,
4:20.0,T. Jones makes 2-pt shot from 2 ft,2,45-47,,
4:06.0,,,45-49,2,I. Whitehead makes 2-pt shot from 2 ft
3:46.0,T. Evans misses 3-pt shot from 24 ft,,45-49,,
3:45.0,,,45-49,,Defensive rebound by T. Booker
3:37.0,,,45-49,,J. Harris misses 3-pt shot from 24 ft
3:35.0,,,45-49,,Offensive rebound by T. Booker
3:30.0,,,45-51,2,S. Kilpatrick makes 2-pt shot from 8 ft (assist by T. Booker)
3:30.0,,,45-51,,Shooting foul by J. Holiday (drawn by S. Kilpatrick)
3:30.0,,,45-52,1,S. Kilpatrick makes free throw 1 of 1
3:15.0,T. Evans misses 2-pt shot from 2 ft,,45-52,,
3:14.0,Offensive rebound by T. Jones,,45-52,,
3:12.0,Turnover by T. Jones (lost ball; steal by T. Booker),,45-52,,
2:59.0,,,45-52,,J. Hamilton misses 3-pt shot from 23 ft
2:58.0,Defensive rebound by T. Evans,,45-52,,
2:52.0,J. Holiday makes 3-pt shot from 24 ft (assist by T. Evans),3,48-52,,
2:50.0,,,48-52,,Brooklyn full timeout
2:50.0,S. Hill enters the game for T. Evans,,48-52,,
2:50.0,D. Motiejunas enters the game for D. Cunningham,,48-52,,
2:50.0,,,48-52,,B. Lopez enters the game for J. Hamilton
2:33.0,,,48-52,,S. Kilpatrick misses 3-pt shot from 25 ft
2:31.0,,,48-52,,Offensive rebound by B. Lopez
2:27.0,,,48-54,2,B. Lopez makes 2-pt shot from 8 ft
2:09.0,Turnover by J. Holiday (lost ball),,48-54,,
1:51.0,,,48-56,2,T. Booker makes 2-pt shot from 2 ft
1:36.0,T. Jones makes 3-pt shot from 26 ft (assist by D. Motiejunas),3,51-56,,
1:20.0,,,51-56,,Turnover by I. Whitehead (lost ball; steal by D. Motiejunas)
1:05.0,B. Hield misses 3-pt shot from 23 ft,,51-56,,
1:03.0,Offensive rebound by S. Hill,,51-56,,
1:02.0,Offensive foul by D. Motiejunas,,51-56,,
1:02.0,Turnover by D. Motiejunas (offensive foul),,51-56,,
0:52.0,,,51-56,,Turnover by S. Kilpatrick (traveling)
0:30.0,S. Hill misses 3-pt shot from 28 ft,,51-56,,
0:29.0,,,51-56,,Defensive rebound by S. Kilpatrick
0:12.0,,,51-56,,I. Whitehead misses 3-pt shot from 25 ft
0:11.0,Defensive rebound by Team,,51-56,,
0:11.0,,,51-56,,Loose ball foul by T. Booker (drawn by T. Jones)
0:08.0,New Orleans full timeout,,51-56,,
0:08.0,,,51-56,,C. LeVert enters the game for I. Whitehead
0:08.0,,,51-56,,R. Hollis-Jefferson enters the game for B. Lopez
0:08.0,L. Galloway enters the game for T. Jones,,51-56,,
0:07.0,Turnover by L. Galloway (bad pass; steal by C. LeVert),,51-56,,
0:05.0,,,51-56,,Shooting foul by J. Holiday (drawn by C. LeVert)
0:05.0,,,51-56,,C. LeVert misses free throw 1 of 2
0:05.0,,,51-56,,Offensive rebound by Team
0:05.0,,,51-57,1,C. LeVert makes free throw 2 of 2
0:05.0,T. Jones enters the game for L. Galloway,,51-56,,
0:02.0,D. Motiejunas misses 3-pt shot from 26 ft,,51-57,,
0:01.0,,,51-57,,Defensive rebound by Team
0:01.0,,,51-57,,S. Kilpatrick misses 3-pt shot from 60 ft
0:00.0,,,51-57,,Offensive rebound by Team
0:00.0,End of 2nd quarter,,,,End of 2nd quarter
12:00.0,Start of 3rd quarter,,,,Start of 3rd quarter
11:44.0,,,51-57,,T. Booker misses 3-pt shot from 23 ft
11:43.0,Defensive rebound by T. Jones,,51-57,,
11:31.0,Turnover by B. Hield (bad pass),,51-57,,
11:23.0,,,51-57,,J. Harris misses 3-pt shot from 23 ft
11:21.0,Defensive rebound by J. Holiday,,51-57,,
11:13.0,Shooting foul by B. Bogdanovic (drawn by S. Hill),,51-57,,
11:13.0,S. Hill makes free throw 1 of 2,1,52-57,,
11:13.0,S. Hill makes free throw 2 of 2,1,53-57,,
10:59.0,,,53-57,,B. Lopez misses 2-pt shot from 6 ft
10:58.0,Defensive rebound by T. Jones,,53-57,,
10:52.0,,,53-57,,Personal foul by T. Booker (drawn by D. Motiejunas)
10:52.0,,,53-57,,C. LeVert enters the game for B. Bogdanovic
10:41.0,S. Hill makes 3-pt shot from 24 ft (assist by J. Holiday),3,56-57,,
10:28.0,,,56-59,2,J. Harris makes 2-pt shot from 3 ft (assist by T. Booker)
10:21.0,J. Holiday misses 2-pt shot from 19 ft,,56-59,,
10:15.0,,,56-59,,Defensive rebound by T. Booker
10:02.0,,,56-61,2,I. Whitehead makes 2-pt shot from 18 ft
10:02.0,New Orleans full timeout,,56-61,,
10:02.0,,,56-61,,B. Bogdanovic enters the game for C. LeVert
9:52.0,Turnover by J. Holiday (lost ball; steal by I. Whitehead),,56-61,,
9:46.0,,,56-61,,B. Lopez misses 3-pt shot from 26 ft
9:42.0,Defensive rebound by S. Hill,,56-61,,
9:32.0,Turnover by Team (back court),,56-61,,
9:25.0,,,56-61,,I. Whitehead misses 2-pt shot from 3 ft
9:24.0,Defensive rebound by D. Motiejunas,,56-61,,
9:16.0,Shooting foul by I. Whitehead (drawn by T. Jones),,56-61,,
9:16.0,T. Jones misses free throw 1 of 2,,56-61,,
9:16.0,Offensive rebound by Team,,56-61,,
9:16.0,T. Jones misses free throw 2 of 2,,56-61,,
9:16.0,,,56-61,,S. Dinwiddie enters the game for I. Whitehead
9:15.0,,,56-61,,Defensive rebound by T. Booker
9:01.0,,,56-63,2,B. Lopez makes 2-pt shot from 9 ft (assist by J. Harris)
8:50.0,B. Hield misses 3-pt shot from 25 ft,,56-63,,
8:49.0,,,56-63,,Defensive rebound by B. Bogdanovic
8:34.0,,,56-63,,B. Bogdanovic misses 3-pt shot from 24 ft
8:33.0,Defensive rebound by B. Hield,,56-63,,
8:16.0,T. Jones makes 2-pt shot from 7 ft,2,58-63,,
7:59.0,,,58-63,,Turnover by B. Lopez (bad pass; steal by S. Hill)
7:55.0,T. Jones makes 2-pt shot at rim (assist by S. Hill),2,60-63,,
7:54.0,,,60-63,,Brooklyn full timeout
7:43.0,,,60-63,,Turnover by B. Lopez (step out of bounds)
7:33.0,J. Holiday makes 2-pt shot from 2 ft (assist by D. Motiejunas),2,62-63,,
7:18.0,,,62-65,2,B. Lopez makes 2-pt shot from 3 ft
7:03.0,B. Hield misses 3-pt shot from 24 ft,,62-65,,
7:02.0,,,62-65,,Defensive rebound by B. Bogdanovic
6:58.0,,,62-67,2,J. Harris makes 2-pt shot from 2 ft (assist by B. Bogdanovic)
6:45.0,T. Jones misses 3-pt shot from 26 ft,,62-67,,
6:44.0,Offensive rebound by B. Hield,,62-67,,
6:39.0,J. Holiday misses 2-pt shot from 19 ft,,62-67,,
6:38.0,Offensive rebound by Team,,62-67,,
6:38.0,,,62-67,,Loose ball foul by B. Lopez (drawn by T. Jones)
6:38.0,E. Moore enters the game for B. Hield,,62-67,,
6:38.0,,,62-67,,C. LeVert enters the game for J. Harris
6:31.0,D. Motiejunas misses 2-pt shot from 8 ft,,62-67,,
6:30.0,,,62-67,,Defensive rebound by S. Dinwiddie
6:17.0,,,62-67,,S. Dinwiddie misses 3-pt shot from 25 ft
6:16.0,,,62-67,,Offensive rebound by T. Booker
6:14.0,,,62-67,,T. Booker misses 2-pt shot from 1 ft (block by D. Motiejunas)
6:13.0,Defensive rebound by T. Jones,,62-67,,
6:05.0,Shooting foul by S. Dinwiddie (drawn by D. Motiejunas),,62-67,,
6:05.0,D. Motiejunas makes free throw 1 of 2,1,63-67,,
6:05.0,D. Motiejunas misses free throw 2 of 2,,63-67,,
6:04.0,,,63-67,,Defensive rebound by B. Lopez
5:56.0,D. Cunningham enters the game for D. Motiejunas,,63-67,,
5:42.0,,,63-67,,S. Dinwiddie misses 3-pt shot from 26 ft
5:40.0,Defensive rebound by S. Hill,,63-67,,
5:33.0,T. Jones makes 2-pt shot from 2 ft (assist by S. Hill),2,65-67,,
5:33.0,Shooting foul by T. Booker (drawn by T. Jones),,65-67,,
5:33.0,T. Jones misses free throw 1 of 1,,65-67,,
5:33.0,,,65-67,,S. Kilpatrick enters the game for B. Bogdanovic
5:32.0,,,65-67,,Defensive rebound by T. Booker
5:24.0,Personal foul by J. Holiday (drawn by T. Booker),,65-67,,
5:24.0,T. Evans enters the game for J. Holiday,,65-67,,
5:13.0,,,65-67,,B. Lopez misses 2-pt shot from 2 ft
5:12.0,Defensive rebound by T. Jones,,65-67,,
5:12.0,,,65-67,,Personal foul by B. Lopez (drawn by T. Jones)
5:12.0,T. Jones misses free throw 1 of 2,,65-67,,
5:12.0,Offensive rebound by Team,,65-67,,
5:12.0,T. Jones makes free throw 2 of 2,1,66-67,,
5:12.0,,,65-67,,J. Hamilton enters the game for B. Lopez
4:59.0,,,66-67,,J. Hamilton misses 2-pt shot from 8 ft
4:58.0,Defensive rebound by T. Jones,,66-67,,
4:48.0,T. Evans makes 2-pt shot from 3 ft,2,68-67,,
4:34.0,,,68-67,,Turnover by S. Dinwiddie (bad pass; steal by T. Jones)
4:28.0,Turnover by T. Evans (bad pass; steal by S. Dinwiddie),,68-67,,
4:24.0,,,68-69,2,T. Booker makes 2-pt shot from 2 ft (assist by S. Dinwiddie)
4:15.0,Turnover by E. Moore (bad pass),,68-69,,
4:15.0,,,68-69,,R. Hollis-Jefferson enters the game for T. Booker
3:56.0,,,68-69,,R. Hollis-Jefferson misses 2-pt shot from 9 ft
3:55.0,Defensive rebound by T. Jones,,68-69,,
3:40.0,T. Jones misses 2-pt shot from 3 ft (block by R. Hollis-Jefferson),,68-69,,
3:39.0,,,68-69,,Defensive rebound by J. Hamilton
3:33.0,,,68-71,2,R. Hollis-Jefferson makes 2-pt shot from 1 ft (assist by S. Dinwiddie)
3:05.0,D. Cunningham misses 3-pt shot from 23 ft,,68-71,,
3:03.0,,,68-71,,Defensive rebound by S. Kilpatrick
2:53.0,,,68-71,,J. Hamilton misses 3-pt shot from 25 ft
2:52.0,Defensive rebound by D. Cunningham,,68-71,,
2:36.0,D. Cunningham misses 3-pt shot from 24 ft,,68-71,,
2:35.0,,,68-71,,Defensive rebound by S. Kilpatrick
2:31.0,,,68-73,2,S. Kilpatrick makes 2-pt shot from 3 ft
2:31.0,,,68-73,,Shooting foul by T. Evans (drawn by S. Kilpatrick)
2:31.0,,,68-74,1,S. Kilpatrick makes free throw 1 of 1
2:18.0,Shooting foul by R. Hollis-Jefferson (drawn by T. Evans),,68-74,,
2:18.0,T. Evans makes free throw 1 of 2,1,69-74,,
2:18.0,T. Evans makes free throw 2 of 2,1,70-74,,
2:18.0,L. Galloway enters the game for S. Hill,,69-74,,
2:06.0,,,70-77,3,S. Kilpatrick makes 3-pt shot from 25 ft
1:36.0,T. Evans makes 3-pt shot from 30 ft,3,73-77,,
1:21.0,,,73-77,,Turnover by R. Hollis-Jefferson (lost ball; steal by D. Cunningham)
1:18.0,Turnover by D. Cunningham (bad pass; steal by C. LeVert),,73-77,,
1:15.0,,,73-79,2,C. LeVert makes 2-pt shot at rim
0:55.0,D. Cunningham misses 2-pt shot from 4 ft (block by J. Hamilton),,73-79,,
0:53.0,,,73-79,,Defensive rebound by S. Kilpatrick
0:43.0,,,73-79,,C. LeVert misses 3-pt shot from 26 ft
0:43.0,Defensive rebound by E. Moore,,73-79,,
0:37.0,L. Galloway misses 3-pt shot from 24 ft,,73-79,,
0:34.0,,,73-79,,Defensive rebound by C. LeVert
0:14.0,,,73-79,,S. Kilpatrick misses 2-pt shot from 1 ft
0:13.0,Defensive rebound by T. Evans,,73-79,,
0:01.0,T. Evans misses 3-pt shot from 26 ft,,73-79,,
0:00.0,Offensive rebound by Team,,73-79,,
0:00.0,,,73-79,,Violation by Team (jump ball)
0:00.0,End of 3rd quarter,,,,End of 3rd quarter
12:00.0,Start of 4th quarter,,,,Start of 4th quarter
11:49.0,D. Motiejunas misses 2-pt shot from 8 ft,,73-79,,
11:48.0,,,73-79,,Defensive rebound by B. Lopez
11:40.0,,,73-79,,Offensive charge foul by B. Lopez
11:40.0,,,73-79,,Turnover by B. Lopez (offensive foul)
11:40.0,,,73-79,,Technical foul by Team
11:40.0,L. Galloway makes technical free throw,1,74-79,,
11:20.0,T. Evans makes 2-pt shot from 19 ft (assist by D. Motiejunas),2,76-79,,
11:11.0,,,76-79,,B. Bogdanovic misses 2-pt shot from 2 ft (block by E. Moore)
11:10.0,,,76-79,,Offensive rebound by Team
10:59.0,,,76-82,3,J. Harris makes 3-pt shot from 26 ft (assist by R. Hollis-Jefferson)
10:41.0,Shooting foul by J. Harris (drawn by T. Evans),,76-82,,
10:41.0,T. Evans makes free throw 1 of 3,1,77-82,,
10:41.0,T. Evans makes free throw 2 of 3,1,78-82,,
10:41.0,T. Evans makes free throw 3 of 3,1,79-82,,
10:29.0,,,79-82,,B. Lopez misses 3-pt shot from 23 ft
10:28.0,Defensive rebound by L. Galloway,,79-82,,
10:21.0,T. Evans misses 2-pt shot from 2 ft,,79-82,,
10:19.0,,,79-82,,Defensive rebound by J. Harris
10:14.0,,,79-82,,B. Bogdanovic misses 3-pt shot from 24 ft
10:10.0,Defensive rebound by Team,,79-82,,
9:55.0,D. Cunningham makes 2-pt shot from 19 ft,2,81-82,,
9:36.0,,,81-84,2,J. Harris makes 2-pt shot from 2 ft (assist by B. Lopez)
9:16.0,L. Galloway misses 3-pt shot from 24 ft,,81-84,,
9:15.0,,,81-84,,Defensive rebound by B. Lopez
9:08.0,,,81-84,,R. Hollis-Jefferson misses 2-pt shot from 1 ft
9:07.0,Defensive rebound by D. Cunningham,,81-84,,
8:56.0,Official timeout,,81-84,,
8:56.0,,,81-84,,J. Hamilton enters the game for B. Lopez
8:56.0,,,81-84,,S. Dinwiddie enters the game for S. Kilpatrick
8:56.0,T. Jones enters the game for D. Cunningham,,81-84,,
8:56.0,J. Holiday enters the game for E. Moore,,81-84,,
8:56.0,S. Hill enters the game for D. Motiejunas,,81-84,,
8:49.0,J. Holiday misses 2-pt shot from 2 ft (block by S. Dinwiddie),,81-84,,
8:48.0,Offensive rebound by J. Holiday,,81-84,,
8:47.0,J. Holiday misses 2-pt shot from 3 ft,,81-84,,
8:46.0,,,81-84,,Defensive rebound by J. Hamilton
8:34.0,,,81-84,,B. Bogdanovic misses 3-pt shot from 25 ft
8:33.0,Defensive rebound by L. Galloway,,81-84,,
8:29.0,T. Evans makes 2-pt shot from 2 ft,2,83-84,,
8:29.0,Shooting foul by J. Hamilton (drawn by T. Evans),,83-84,,
8:29.0,T. Evans makes free throw 1 of 1,1,84-84,,
8:11.0,,,84-86,2,J. Hamilton makes 2-pt shot from 1 ft (assist by R. Hollis-Jefferson)
7:57.0,J. Holiday makes 3-pt shot from 25 ft,3,87-86,,
7:47.0,,,87-86,,R. Hollis-Jefferson misses 2-pt shot from 14 ft
7:46.0,Defensive rebound by S. Hill,,87-86,,
7:38.0,J. Holiday misses 3-pt shot from 25 ft,,87-86,,
7:37.0,,,87-86,,Defensive rebound by S. Dinwiddie
