time,New Orleans,pts.away,score,pts.home,Phoenix
7:35.0,S. Hill makes 2-pt shot from 11 ft,2,16-11,,
7:35.0,S. Hill makes free throw 1 of 1,1,17-11,,
7:20.0,Personal foul by A. Ajinca (drawn by M. Chriss),,17-11,,
7:08.0,,,17-13,2,M. Chriss makes 2-pt shot at rim (assist by D. Booker)
7:02.0,New Orleans full timeout,,17-13,,
6:59.0,Turnover by J. Holiday (discontinued dribble),,17-13,,
6:46.0,,,17-13,,T. Warren misses 2-pt shot from 8 ft
6:43.0,Defensive rebound by A. Davis,,17-13,,
6:33.0,A. Davis misses 2-pt shot from 19 ft,,17-13,,
6:32.0,,,17-13,,Defensive rebound by D. Booker
6:23.0,,,17-13,,Turnover by D. Booker (traveling)
6:09.0,A. Ajinca misses 2-pt shot from 16 ft,,17-13,,
6:08.0,,,17-13,,Defensive rebound by T. Warren
6:03.0,,,17-15,2,E. Bledsoe makes 2-pt shot from 2 ft
5:41.0,A. Ajinca misses 2-pt shot from 20 ft,,17-15,,
5:40.0,,,17-15,,Defensive rebound by Team
5:40.0,,,17-15,,P. Tucker enters the game for T. Warren
5:16.0,,,17-18,3,D. Booker makes 3-pt shot from 25 ft (assist by E. Bledsoe)
4:50.0,J. Holiday misses 2-pt shot from 4 ft,,17-18,,
4:46.0,,,17-18,,Defensive rebound by M. Chriss
4:31.0,,,17-18,,D. Booker misses 3-pt shot from 26 ft
4:30.0,,,17-18,,Offensive rebound by Team
4:30.0,Loose ball foul by A. Ajinca (drawn by M. Chriss),,17-18,,
4:30.0,D. Motiejunas enters the game for A. Ajinca,,17-18,,
4:26.0,,,17-18,,M. Chriss misses 3-pt shot from 26 ft
4:24.0,,,17-18,,Offensive rebound by P. Tucker
4:17.0,,,17-18,,T. Chandler misses 2-pt shot from 1 ft
4:17.0,,,17-18,,Offensive rebound by T. Chandler
4:17.0,,,17-18,,P. Tucker misses 3-pt shot from 23 ft
4:14.0,Defensive rebound by D. Motiejunas,,17-18,,
3:58.0,A. Davis misses 2-pt shot from 9 ft,,17-18,,
3:56.0,,,17-18,,Defensive rebound by T. Chandler
3:47.0,,,17-20,2,M. Chriss makes 2-pt shot at rim (assist by D. Booker)
3:40.0,,,17-20,,Personal block foul by P. Tucker (drawn by B. Hield)
3:40.0,,,17-20,,A. Len enters the game for T. Chandler
3:40.0,E. Moore enters the game for S. Hill,,17-20,,
3:29.0,D. Motiejunas makes 2-pt shot at rim (assist by J. Holiday),2,19-20,,
3:08.0,,,19-20,,Turnover by E. Bledsoe (discontinued dribble)
3:00.0,Shooting foul by M. Chriss (drawn by B. Hield),,19-20,,
3:00.0,B. Hield misses free throw 1 of 3,,19-20,,
3:00.0,Offensive rebound by Team,,19-20,,
3:00.0,B. Hield makes free throw 2 of 3,1,20-20,,
3:00.0,B. Hield makes free throw 3 of 3,1,21-20,,
3:00.0,,,20-20,,J. Dudley enters the game for M. Chriss
2:48.0,,,21-20,,Shooting foul by J. Holiday (drawn by E. Bledsoe)
2:48.0,,,21-20,,Phoenix full timeout
2:48.0,,,21-21,1,E. Bledsoe makes free throw 1 of 3
2:48.0,,,21-22,1,E. Bledsoe makes free throw 2 of 3
2:48.0,,,21-23,1,E. Bledsoe makes free throw 3 of 3
2:48.0,T. Evans enters the game for B. Hield,,21-20,,
2:30.0,E. Moore misses 2-pt shot from 22 ft,,21-23,,
2:28.0,Offensive rebound by Team,,21-23,,
2:20.0,Shooting foul by D. Booker (drawn by E. Moore),,21-23,,
2:20.0,E. Moore makes free throw 1 of 2,1,22-23,,
2:20.0,E. Moore makes free throw 2 of 2,1,23-23,,
2:03.0,,,23-23,,Turnover by D. Booker (bad pass; steal by E. Moore)
2:03.0,,,23-23,,Personal foul by J. Dudley (drawn by J. Holiday)
2:03.0,J. Holiday misses free throw 1 of 2,,23-23,,
2:03.0,Offensive rebound by Team,,23-23,,
2:03.0,J. Holiday makes free throw 2 of 2,1,24-23,,
2:01.0,Personal foul by D. Motiejunas (drawn by E. Bledsoe),,24-23,,
2:01.0,,,24-24,1,E. Bledsoe makes free throw 1 of 2
2:01.0,,,24-25,1,E. Bledsoe makes free throw 2 of 2
2:01.0,,,24-24,,B. Knight enters the game for D. Booker
1:42.0,E. Moore misses 2-pt shot from 14 ft,,24-25,,
1:38.0,,,24-25,,Defensive rebound by A. Len
1:30.0,,,24-25,,Turnover by E. Bledsoe (bad pass)
1:30.0,L. Galloway enters the game for J. Holiday,,24-25,,
1:17.0,L. Galloway makes 3-pt shot from 25 ft (assist by A. Davis),3,27-25,,
0:59.0,,,27-25,,Shooting foul by D. Motiejunas (drawn by B. Knight)
0:59.0,,,27-26,1,B. Knight makes free throw 1 of 2
0:59.0,,,27-26,,B. Knight misses free throw 2 of 2
0:59.0,,,27-26,,Offensive rebound by A. Len
0:58.0,,,27-28,2,A. Len makes 2-pt shot at rim
0:41.0,A. Davis misses 2-pt shot from 12 ft,,27-28,,
0:38.0,,,27-28,,Defensive rebound by P. Tucker
0:35.0,,,27-28,,B. Knight misses 2-pt shot from 8 ft
0:32.0,Defensive rebound by L. Galloway,,27-28,,
0:22.0,T. Evans misses 3-pt shot from 26 ft,,27-28,,
0:21.0,Offensive rebound by Team,,27-28,,
0:21.0,,,27-28,,Personal foul by P. Tucker (drawn by A. Davis)
0:21.0,A. Davis makes free throw 1 of 2,1,28-28,,
0:21.0,A. Davis makes free throw 2 of 2,1,29-28,,
0:21.0,,,28-28,,D. Booker enters the game for A. Len
0:04.0,,,29-28,,E. Bledsoe misses 2-pt shot from 2 ft
0:03.0,Defensive rebound by T. Evans,,29-28,,
0:00.0,End of 1st quarter,,,,End of 1st quarter
12:00.0,Start of 2nd quarter,,,,Start of 2nd quarter
11:46.0,,,29-28,,A. Len misses 2-pt shot from 16 ft
11:46.0,,,29-28,,Offensive rebound by Team
11:46.0,Loose ball foul by T. Evans (drawn by P. Tucker),,29-28,,
11:39.0,,,29-30,2,A. Len makes 2-pt shot from 5 ft
11:27.0,Turnover by T. Evans (bad pass),,29-30,,
11:12.0,,,29-30,,J. Dudley misses 3-pt shot from 25 ft
11:10.0,,,29-30,,Offensive rebound by Team
11:02.0,,,29-30,,B. Knight misses 2-pt shot from 5 ft
11:02.0,,,29-30,,Offensive rebound by Team
11:02.0,Loose ball foul by E. Moore (drawn by A. Len),,29-30,,
10:50.0,,,29-30,,L. Barbosa misses 2-pt shot from 17 ft
10:47.0,Defensive rebound by T. Evans,,29-30,,
10:43.0,L. Galloway misses 3-pt shot from 26 ft,,29-30,,
10:39.0,,,29-30,,Defensive rebound by B. Knight
10:34.0,,,29-32,2,A. Len makes 2-pt shot from 1 ft (assist by B. Knight)
10:20.0,L. Galloway misses 2-pt shot from 20 ft,,29-32,,
10:18.0,Offensive rebound by A. Ajinca,,29-32,,
10:12.0,A. Ajinca makes 2-pt shot at rim (assist by T. Evans),2,31-32,,
9:50.0,,,31-32,,Turnover by A. Len (lost ball; steal by A. Ajinca)
9:47.0,T. Evans makes 2-pt shot from 1 ft (assist by E. Moore),2,33-32,,
9:47.0,,,33-32,,Shooting block foul by J. Dudley (drawn by T. Evans)
9:47.0,T. Evans misses free throw 1 of 1,,33-32,,
9:45.0,,,33-32,,Defensive rebound by A. Len
9:38.0,,,33-35,3,J. Dudley makes 3-pt shot from 25 ft (assist by B. Knight)
9:24.0,E. Moore makes 2-pt shot from 16 ft,2,35-35,,
9:18.0,,,35-37,2,B. Knight makes 2-pt shot from 1 ft
9:18.0,,,35-37,,Shooting foul by T. Evans (drawn by B. Knight)
9:18.0,,,35-38,1,B. Knight makes free throw 1 of 1
9:08.0,T. Evans makes 2-pt shot from 20 ft,2,37-38,,
8:59.0,Official timeout,,37-38,,
8:59.0,,,37-38,,T. Warren enters the game for P. Tucker
8:53.0,,,37-38,,L. Barbosa misses 2-pt shot from 8 ft
8:50.0,Defensive rebound by T. Evans,,37-38,,
8:49.0,,,37-38,,Shooting block foul by B. Knight (drawn by E. Moore)
8:49.0,E. Moore makes 2-pt shot from 1 ft (assist by T. Evans),2,39-38,,
8:49.0,E. Moore makes free throw 1 of 1,1,40-38,,
8:29.0,,,40-40,2,A. Len makes 2-pt shot from 7 ft
8:09.0,E. Moore makes 2-pt shot from 14 ft,2,42-40,,
7:54.0,,,42-40,,Shooting foul by A. Ajinca (drawn by A. Len)
7:54.0,,,42-41,1,A. Len makes free throw 1 of 2
7:54.0,,,42-42,1,A. Len makes free throw 2 of 2
7:54.0,A. Davis enters the game for A. Ajinca,,42-41,,
7:45.0,T. Evans makes 2-pt shot at rim,2,44-42,,
7:28.0,,,44-42,,J. Dudley misses 2-pt shot from 3 ft (block by A. Davis)
7:26.0,,,44-42,,Offensive rebound by Team
7:25.0,,,44-42,,P. Tucker enters the game for J. Dudley
7:17.0,,,44-42,,P. Tucker misses 3-pt shot from 26 ft
7:17.0,,,44-42,,Offensive rebound by Team
7:17.0,,,44-42,,Turnover by Team (shot clock)
7:04.0,A. Davis misses 2-pt shot from 1 ft,,44-42,,
7:02.0,,,44-42,,Defensive rebound by L. Barbosa
6:56.0,,,44-44,2,B. Knight makes 2-pt shot from 6 ft
6:45.0,,,44-44,,Personal foul by B. Knight (drawn by T. Evans)
6:45.0,B. Hield enters the game for T. Evans,,44-44,,
6:45.0,J. Holiday enters the game for L. Galloway,,44-44,,
6:45.0,,,44-44,,D. Booker enters the game for L. Barbosa
6:45.0,,,44-44,,E. Bledsoe enters the game for B. Knight
6:27.0,B. Hield misses 3-pt shot from 24 ft,,44-44,,
6:25.0,,,44-44,,Defensive rebound by A. Len
6:19.0,Personal foul by B. Hield (drawn by E. Bledsoe),,44-44,,
6:19.0,,,44-45,1,E. Bledsoe makes free throw 1 of 2
6:19.0,,,44-46,1,E. Bledsoe makes free throw 2 of 2
6:09.0,E. Moore misses 3-pt shot from 26 ft,,44-46,,
6:07.0,,,44-46,,Defensive rebound by P. Tucker
5:57.0,,,44-46,,A. Len misses 2-pt shot from 4 ft (block by A. Davis)
5:56.0,,,44-46,,Offensive rebound by Team
5:56.0,,,44-46,,Phoenix full timeout
5:53.0,,,44-46,,D. Booker misses 2-pt shot from 17 ft
5:52.0,,,44-46,,Offensive rebound by A. Len
5:39.0,,,44-48,2,E. Bledsoe makes 2-pt shot from 2 ft
5:21.0,B. Hield misses 3-pt shot from 24 ft,,44-48,,
5:19.0,,,44-48,,Defensive rebound by P. Tucker
5:11.0,Violation by S. Hill (kicked ball),,44-48,,
5:11.0,,,44-48,,T. Chandler enters the game for T. Warren
5:11.0,,,44-48,,M. Chriss enters the game for A. Len
4:59.0,,,44-48,,E. Bledsoe misses 2-pt shot from 21 ft
4:55.0,Defensive rebound by J. Holiday,,44-48,,
4:41.0,E. Moore misses 2-pt shot from 22 ft,,44-48,,
4:39.0,,,44-48,,Defensive rebound by T. Chandler
4:32.0,,,44-50,2,T. Chandler makes 2-pt shot from 9 ft (assist by P. Tucker)
4:08.0,Turnover by A. Davis (lost ball),,44-50,,
3:56.0,,,44-50,,E. Bledsoe misses 3-pt shot from 25 ft
3:54.0,,,44-50,,Offensive rebound by P. Tucker
3:46.0,,,44-50,,D. Booker misses 2-pt shot from 2 ft
3:44.0,,,44-50,,Offensive rebound by E. Bledsoe
3:40.0,,,44-53,3,D. Booker makes 3-pt shot from 23 ft (assist by E. Bledsoe)
3:26.0,Offensive foul by A. Davis,,44-53,,
3:26.0,Turnover by A. Davis (offensive foul),,44-53,,
3:20.0,,,44-55,2,E. Bledsoe makes 2-pt shot from 2 ft
3:16.0,New Orleans full timeout,,44-55,,
3:16.0,D. Motiejunas enters the game for B. Hield,,44-55,,
3:16.0,L. Galloway enters the game for E. Moore,,44-55,,
3:04.0,Turnover by J. Holiday (lost ball; steal by M. Chriss),,44-55,,
2:59.0,,,44-55,,D. Booker misses 2-pt shot from 2 ft
2:58.0,,,44-55,,Offensive rebound by M. Chriss
2:58.0,,,44-55,,Shooting foul by S. Hill (drawn by M. Chriss)
2:58.0,,,44-55,,M. Chriss misses free throw 1 of 2
2:58.0,,,44-55,,Offensive rebound by Team
2:58.0,,,44-56,1,M. Chriss makes free throw 2 of 2
2:40.0,A. Davis makes 2-pt shot from 13 ft (assist by J. Holiday),2,46-56,,
2:18.0,,,46-56,,E. Bledsoe misses 2-pt shot from 2 ft
2:17.0,Defensive rebound by D. Motiejunas,,46-56,,
2:09.0,Turnover by S. Hill (bad pass; steal by P. Tucker),,46-56,,
2:05.0,,,46-58,2,P. Tucker makes 2-pt shot from 13 ft
1:49.0,J. Holiday makes 2-pt shot from 10 ft,2,48-58,,
1:42.0,,,48-58,,D. Booker misses 2-pt shot from 23 ft
1:39.0,Defensive rebound by D. Motiejunas,,48-58,,
1:30.0,J. Holiday misses 3-pt shot from 25 ft,,48-58,,
1:28.0,,,48-58,,Defensive rebound by E. Bledsoe
1:18.0,,,48-58,,M. Chriss misses 3-pt shot from 24 ft
1:16.0,Defensive rebound by D. Motiejunas,,48-58,,
1:10.0,J. Holiday makes 2-pt shot from 1 ft,2,50-58,,
0:53.0,,,50-58,,Offensive charge foul by E. Bledsoe
0:53.0,,,50-58,,Turnover by E. Bledsoe (offensive foul)
0:37.0,D. Motiejunas misses 2-pt shot from 4 ft,,50-58,,
0:35.0,,,50-58,,Defensive rebound by T. Chandler
0:30.0,,,50-58,,P. Tucker misses 3-pt shot from 23 ft
0:27.0,Defensive rebound by A. Davis,,50-58,,
0:07.0,L. Galloway makes 3-pt shot from 25 ft (assist by J. Holiday),3,53-58,,
0:04.0,Shooting block foul by A. Davis (drawn by E. Bledsoe),,53-58,,
0:04.0,,,53-58,,E. Bledsoe misses free throw 1 of 2
0:04.0,,,53-58,,Offensive rebound by Team
0:04.0,,,53-58,,E. Bledsoe misses free throw 2 of 2
0:04.0,Defensive rebound by D. Motiejunas,,53-58,,
0:00.0,L. Galloway misses 3-pt shot from 31 ft,,53-58,,
0:00.0,Offensive rebound by Team,,53-58,,
0:00.0,End of 2nd quarter,,,,End of 2nd quarter
12:00.0,Start of 3rd quarter,,,,Start of 3rd quarter
11:47.0,,,53-58,,Turnover by M. Chriss (lost ball; steal by B. Hield)
11:22.0,A. Davis makes 2-pt shot from 15 ft (assist by B. Hield),2,55-58,,
11:04.0,,,55-60,2,D. Booker makes 2-pt shot from 9 ft
10:40.0,Turnover by B. Hield (lost ball; steal by M. Chriss),,55-60,,
10:32.0,,,55-60,,D. Booker misses 3-pt shot from 25 ft
10:30.0,Defensive rebound by A. Davis,,55-60,,
10:20.0,A. Davis makes 2-pt shot from 13 ft (assist by J. Holiday),2,57-60,,
10:20.0,Shooting foul by M. Chriss (drawn by A. Davis),,57-60,,
10:20.0,A. Davis makes free throw 1 of 1,1,58-60,,
10:06.0,,,58-60,,Turnover by D. Booker (bad pass; steal by J. Holiday)
9:59.0,Shooting foul by M. Chriss (drawn by J. Holiday),,58-60,,
9:59.0,J. Holiday makes free throw 1 of 2,1,59-60,,
9:59.0,J. Holiday makes free throw 2 of 2,1,60-60,,
9:59.0,,,59-60,,P. Tucker enters the game for M. Chriss
9:47.0,,,60-60,,T. Warren misses 2-pt shot from 19 ft
9:45.0,Defensive rebound by B. Hield,,60-60,,
9:36.0,A. Davis misses 2-pt shot from 18 ft,,60-60,,
9:34.0,,,60-60,,Defensive rebound by T. Chandler
9:27.0,,,60-60,,E. Bledsoe misses 3-pt shot from 26 ft
9:24.0,Defensive rebound by A. Davis,,60-60,,
9:16.0,B. Hield makes 3-pt shot from 25 ft (assist by J. Holiday),3,63-60,,
9:16.0,,,63-60,,Phoenix full timeout
8:59.0,,,63-60,,Shooting foul by A. Davis (drawn by T. Chandler)
8:59.0,,,63-61,1,T. Chandler makes free throw 1 of 2
8:59.0,,,63-62,1,T. Chandler makes free throw 2 of 2
8:40.0,S. Hill misses 3-pt shot from 24 ft,,63-62,,
8:38.0,Offensive rebound by A. Ajinca,,63-62,,
8:33.0,Turnover by A. Davis (traveling),,63-62,,
8:10.0,,,63-64,2,D. Booker makes 2-pt shot at rim
7:58.0,J. Holiday makes 3-pt shot from 26 ft,3,66-64,,
7:44.0,,,66-66,2,E. Bledsoe makes 2-pt shot from 3 ft
7:32.0,A. Ajinca makes 2-pt shot from 16 ft (assist by J. Holiday),2,68-66,,
7:23.0,,,68-66,,T. Chandler misses 2-pt shot at rim
7:22.0,,,68-66,,Offensive rebound by Team
7:12.0,,,68-66,,D. Booker misses 2-pt shot from 17 ft
7:09.0,Defensive rebound by A. Davis,,68-66,,
7:03.0,Shooting foul by T. Chandler (drawn by A. Ajinca),,68-66,,
7:03.0,A. Ajinca misses free throw 1 of 2,,68-66,,
7:03.0,Offensive rebound by Team,,68-66,,
7:03.0,A. Ajinca makes free throw 2 of 2,1,69-66,,
6:56.0,,,69-66,,E. Bledsoe misses 2-pt shot from 1 ft
6:52.0,Defensive rebound by A. Davis,,69-66,,
6:33.0,A. Ajinca misses 2-pt shot from 16 ft,,69-66,,
6:31.0,,,69-66,,Defensive rebound by P. Tucker
6:22.0,,,69-66,,Turnover by D. Booker (bad pass; steal by J. Holiday)
6:17.0,B. Hield misses 2-pt shot from 2 ft (block by D. Booker),,69-66,,
6:13.0,,,69-66,,Defensive rebound by T. Warren
6:10.0,,,69-66,,D. Booker misses 2-pt shot from 2 ft (block by A. Davis)
6:07.0,Defensive rebound by B. Hield,,69-66,,
6:05.0,,,69-66,,Shooting block foul by E. Bledsoe (drawn by S. Hill)
6:05.0,S. Hill makes free throw 1 of 2,1,70-66,,
6:05.0,S. Hill makes free throw 2 of 2,1,71-66,,
6:05.0,,,70-66,,B. Knight enters the game for E. Bledsoe
5:50.0,,,71-69,3,B. Knight makes 3-pt shot from 23 ft (assist by T. Chandler)
5:31.0,A. Davis misses 2-pt shot from 18 ft (block by T. Chandler),,71-69,,
5:29.0,,,71-69,,Defensive rebound by P. Tucker
5:23.0,,,71-69,,T. Warren misses 2-pt shot from 17 ft
5:20.0,Defensive rebound by S. Hill,,71-69,,
5:09.0,J. Holiday misses 3-pt shot from 25 ft,,71-69,,
5:07.0,,,71-69,,Defensive rebound by T. Chandler
4:54.0,Personal foul by A. Ajinca (drawn by D. Booker),,71-69,,
4:54.0,E. Moore enters the game for B. Hield,,71-69,,
4:54.0,D. Motiejunas enters the game for A. Ajinca,,71-69,,
4:54.0,T. Evans enters the game for J. Holiday,,71-69,,
4:44.0,,,71-71,2,B. Knight makes 2-pt shot from 18 ft
4:27.0,Turnover by T. Evans (step out of bounds),,71-71,,
4:27.0,,,71-71,,A. Len enters the game for T. Chandler
4:13.0,,,71-71,,A. Len misses 2-pt shot from 7 ft
4:10.0,Defensive rebound by D. Motiejunas,,71-71,,
4:01.0,Shooting foul by D. Booker (drawn by S. Hill),,71-71,,
4:01.0,S. Hill makes free throw 1 of 3,1,72-71,,
4:01.0,S. Hill makes free throw 2 of 3,1,73-71,,
4:01.0,S. Hill makes free throw 3 of 3,1,74-71,,
3:45.0,,,74-71,,B. Knight misses 2-pt shot from 16 ft
3:43.0,,,74-71,,Offensive rebound by P. Tucker
3:43.0,,,74-73,2,P. Tucker makes 2-pt shot at rim
3:33.0,,,74-73,,Personal foul by D. Booker (drawn by S. Hill)
3:33.0,S. Hill misses free throw 1 of 2,,74-73,,
3:33.0,Offensive rebound by Team,,74-73,,
3:33.0,S. Hill makes free throw 2 of 2,1,75-73,,
3:17.0,,,75-73,,A. Len misses 2-pt shot from 1 ft
3:16.0,,,75-73,,Offensive rebound by Team
3:13.0,,,75-73,,Turnover by T. Warren (traveling)
3:02.0,D. Motiejunas misses 3-pt shot from 24 ft,,75-73,,
3:00.0,,,75-73,,Defensive rebound by B. Knight
2:49.0,,,75-73,,A. Len misses 2-pt shot from 5 ft
2:46.0,Defensive rebound by A. Davis,,75-73,,
2:33.0,T. Evans misses 3-pt shot from 25 ft,,75-73,,
2:30.0,,,75-73,,Defensive rebound by P. Tucker
2:29.0,,,75-73,,Offensive charge foul by P. Tucker
2:29.0,,,75-73,,Turnover by P. Tucker (offensive foul)
2:29.0,New Orleans full timeout,,75-73,,
2:29.0,,,75-73,,E. Bledsoe enters the game for T. Warren
2:15.0,E. Moore misses 3-pt shot from 26 ft,,75-73,,
2:13.0,,,75-73,,Defensive rebound by P. Tucker
1:57.0,Personal block foul by E. Moore (drawn by B. Knight),,75-73,,
1:46.0,,,75-75,2,D. Booker makes 2-pt shot from 17 ft (assist by E. Bledsoe)
1:30.0,S. Hill misses 3-pt shot from 24 ft,,75-75,,
1:28.0,,,75-75,,Defensive rebound by P. Tucker
1:21.0,,,75-75,,Shooting foul by E. Moore (drawn by E. Bledsoe)
1:21.0,,,75-76,1,E. Bledsoe makes free throw 1 of 3
1:21.0,,,75-77,1,E. Bledsoe makes free throw 2 of 3
1:21.0,,,75-78,1,E. Bledsoe makes free throw 3 of 3
1:21.0,L. Galloway enters the game for S. Hill,,75-77,,
1:04.0,Shooting foul by P. Tucker (drawn by A. Davis),,75-78,,
1:04.0,A. Davis makes free throw 1 of 2,1,76-78,,
1:04.0,A. Davis makes free throw 2 of 2,1,77-78,,
0:51.0,,,77-78,,Turnover by B. Knight (lost ball; steal by T. Evans)
0:48.0,Turnover by L. Galloway (bad pass; steal by E. Bledsoe),,77-78,,
0:30.0,,,77-78,,E. Bledsoe misses 2-pt shot from 2 ft
0:28.0,,,77-78,,Offensive rebound by P. Tucker
0:28.0,,,77-78,,P. Tucker misses 2-pt shot from 1 ft
0:28.0,,,77-78,,Offensive rebound by P. Tucker
0:28.0,,,77-80,2,P. Tucker makes 2-pt shot from 1 ft
0:07.0,D. Motiejunas misses 3-pt shot from 24 ft,,77-80,,
0:05.0,,,77-80,,Defensive rebound by P. Tucker
0:00.0,,,77-80,,Offensive foul by D. Booker
0:00.0,,,77-80,,Turnover by D. Booker (offensive foul)
0:00.0,End of 3rd quarter,,,,End of 3rd quarter
12:00.0,Start of 4th quarter,,,,Start of 4th quarter
11:52.0,,,77-80,,Personal foul by A. Len (drawn by D. Motiejunas)
11:42.0,D. Motiejunas makes 2-pt shot at rim (assist by A. Davis),2,79-80,,
11:22.0,,,79-80,,A. Len misses 2-pt shot from 17 ft
11:20.0,Defensive rebound by T. Evans,,79-80,,
11:12.0,Turnover by J. Holiday (bad pass; steal by E. Bledsoe),,79-80,,
10:55.0,,,79-83,3,E. Bledsoe makes 3-pt shot from 25 ft
10:43.0,Offensive foul by T. Evans,,79-83,,
10:43.0,Turnover by T. Evans (offensive foul),,79-83,,
10:43.0,B. Hield enters the game for A. Davis,,79-83,,
10:36.0,,,79-83,,Turnover by J. Dudley (bad pass)
10:20.0,D. Motiejunas misses 2-pt shot from 13 ft,,79-83,,
10:17.0,,,79-83,,Defensive rebound by A. Len
10:09.0,,,79-83,,B. Knight misses 2-pt shot from 8 ft (block by L. Galloway)
10:06.0,Defensive rebound by B. Hield,,79-83,,
10:00.0,B. Hield misses 2-pt shot from 7 ft (block by A. Len),,79-83,,
10:00.0,Offensive rebound by Team,,79-83,,
9:50.0,T. Evans misses 2-pt shot from 1 ft,,79-83,,
9:49.0,Offensive rebound by D. Motiejunas,,79-83,,
9:44.0,Turnover by D. Motiejunas (lost ball; steal by E. Bledsoe),,79-83,,
9:40.0,,,79-85,2,E. Bledsoe makes 2-pt shot from 2 ft
9:28.0,L. Galloway makes 3-pt shot from 25 ft (assist by J. Holiday),3,82-85,,
9:13.0,,,82-87,2,J. Dudley makes 2-pt shot from 18 ft (assist by L. Barbosa)
9:00.0,,,82-87,,Personal foul by L. Barbosa (drawn by T. Evans)
8:48.0,Official timeout,,82-87,,
8:44.0,B. Hield misses 3-pt shot from 25 ft,,82-87,,
8:42.0,,,82-87,,Defensive rebound by A. Len
8:21.0,,,82-89,2,L. Barbosa makes 2-pt shot from 2 ft
8:06.0,T. Evans makes 2-pt shot from 1 ft,2,84-89,,
7:45.0,,,84-89,,L. Barbosa misses 2-pt shot from 6 ft
7:42.0,Defensive rebound by B. Hield,,84-89,,
7:30.0,J. Holiday makes 3-pt shot from 23 ft (assist by D. Motiejunas),3,87-89,,
7:13.0,,,87-89,,Turnover by A. Len (bad pass; steal by B. Hield)
7:09.0,Shooting foul by J. Dudley (drawn by T. Evans),,87-89,,
7:09.0,T. Evans makes free throw 1 of 2,1,88-89,,
7:09.0,T. Evans makes free throw 2 of 2,1,89-89,,
7:09.0,,,88-89,,D. Booker enters the game for A. Len
7:09.0,,,88-89,,T. Chandler enters the game for J. Dudley
7:09.0,,,88-89,,P. Tucker enters the game for B. Knight
7:09.0,E. Moore enters the game for B. Hield,,88-89,,
7:09.0,A. Davis enters the game for D. Motiejunas,,88-89,,
6:53.0,,,89-91,2,E. Bledsoe makes 2-pt shot from 2 ft
6:41.0,E. Moore makes 2-pt shot from 1 ft,2,91-91,,
6:15.0,,,91-93,2,P. Tucker makes 2-pt shot from 9 ft
5:53.0,,,91-93,,Phoenix full timeout
