time,New Orleans,pts.away,score,pts.home,LA Clippers
4:31.0,,,21-22,,Defensive rebound by Team
4:31.0,,,21-22,,J. Crawford enters the game for A. Rivers
4:31.0,,,21-22,,M. Speights enters the game for L. Mbah a Moute
4:15.0,,,21-25,3,J. Redick makes 3-pt shot from 24 ft (assist by C. Paul)
4:03.0,T. Frazier misses 2-pt shot from 21 ft,,21-25,,
4:01.0,,,21-25,,Defensive rebound by M. Speights
3:52.0,,,21-28,3,M. Speights makes 3-pt shot from 25 ft (assist by C. Paul)
3:40.0,Turnover by A. Ajinca (lost ball; steal by C. Paul),,21-28,,
3:25.0,,,21-28,,M. Speights misses 2-pt shot from 14 ft
3:24.0,Defensive rebound by S. Hill,,21-28,,
3:17.0,S. Hill makes 2-pt shot from 1 ft,2,23-28,,
3:17.0,,,23-28,,Away from play foul by D. Jordan (drawn by O. Asik)
3:17.0,,,23-28,,Turnover by D. Jordan (offensive foul)
3:17.0,O. Asik misses free throw 1 of 1,,23-28,,
3:17.0,L. Galloway enters the game for S. Hill,,23-28,,
3:17.0,R. Williams enters the game for B. Hield,,23-28,,
3:17.0,,,23-28,,W. Johnson enters the game for D. Jordan
3:16.0,,,23-28,,Defensive rebound by W. Johnson
2:57.0,,,23-28,,C. Paul misses 3-pt shot from 25 ft
2:57.0,Defensive rebound by A. Ajinca,,23-28,,
2:57.0,,,23-28,,Personal take foul by C. Paul (drawn by T. Frazier)
2:57.0,New Orleans full timeout,,23-28,,
2:57.0,,,23-28,,A. Anderson enters the game for J. Redick
2:57.0,C. Diallo enters the game for A. Ajinca,,23-28,,
2:44.0,L. Galloway misses 2-pt shot from 20 ft,,23-28,,
2:44.0,Offensive rebound by O. Asik,,23-28,,
2:39.0,L. Galloway misses 3-pt shot from 25 ft,,23-28,,
2:39.0,Offensive rebound by Team,,23-28,,
2:39.0,,,23-28,,Loose ball foul by C. Paul (drawn by L. Galloway)
2:39.0,L. Galloway makes free throw 1 of 2,1,24-28,,
2:39.0,L. Galloway makes free throw 2 of 2,1,25-28,,
2:39.0,,,24-28,,A. Rivers enters the game for C. Paul
2:20.0,,,25-31,3,A. Rivers makes 3-pt shot from 25 ft (assist by M. Speights)
1:57.0,R. Williams misses 3-pt shot from 23 ft,,25-31,,
1:56.0,,,25-31,,Defensive rebound by A. Rivers
1:36.0,,,25-33,2,J. Crawford makes 2-pt shot from 22 ft (assist by M. Speights)
1:27.0,Turnover by C. Diallo (lost ball; steal by W. Johnson),,25-33,,
1:20.0,,,25-33,,J. Crawford misses 3-pt shot from 26 ft
1:18.0,Defensive rebound by O. Asik,,25-33,,
0:59.0,T. Frazier makes 3-pt shot from 25 ft,3,28-33,,
0:43.0,,,28-35,2,J. Crawford makes 2-pt shot from 21 ft (assist by A. Rivers)
0:32.0,T. Frazier misses 2-pt shot from 11 ft,,28-35,,
0:26.0,,,28-35,,Defensive rebound by M. Speights
0:23.0,,,28-35,,M. Speights misses 3-pt shot from 25 ft
0:23.0,Defensive rebound by Team,,28-35,,
0:23.0,S. Hill enters the game for O. Asik,,28-35,,
0:23.0,,,28-35,,L. Mbah a Moute enters the game for J. Crawford
0:01.0,S. Hill makes 3-pt shot from 26 ft (assist by T. Frazier),3,31-35,,
0:00.0,End of 1st quarter,,,,End of 1st quarter
12:00.0,Start of 2nd quarter,,,,Start of 2nd quarter
11:45.0,,,31-35,,A. Rivers misses 3-pt shot from 24 ft
11:44.0,Defensive rebound by C. Diallo,,31-35,,
11:28.0,C. Diallo makes 2-pt shot at rim (assist by L. Galloway),2,33-35,,
11:13.0,,,33-35,,Turnover by A. Anderson (bad pass)
10:59.0,L. Galloway misses 2-pt shot from 3 ft,,33-35,,
10:58.0,Offensive rebound by O. Asik,,33-35,,
10:58.0,O. Asik misses 2-pt shot from 1 ft,,33-35,,
10:57.0,,,33-35,,Defensive rebound by M. Speights
10:56.0,,,33-35,,Turnover by M. Speights (bad pass; steal by L. Galloway)
10:54.0,L. Galloway makes 2-pt shot from 14 ft (assist by O. Asik),2,35-35,,
10:31.0,,,35-35,,Turnover by J. Crawford (bad pass)
10:31.0,,,35-35,,LA Clippers full timeout
10:20.0,L. Galloway misses 3-pt shot from 27 ft,,35-35,,
10:19.0,,,35-35,,Defensive rebound by Team
10:19.0,,,35-35,,B. Bass enters the game for M. Speights
10:04.0,,,35-35,,W. Johnson misses 3-pt shot from 25 ft
10:03.0,Defensive rebound by R. Williams,,35-35,,
9:51.0,Turnover by L. Galloway (bad pass; steal by A. Anderson),,35-35,,
9:37.0,,,35-38,3,A. Anderson makes 3-pt shot from 24 ft (assist by J. Crawford)
9:19.0,L. Galloway misses 2-pt shot from 8 ft,,35-38,,
9:17.0,,,35-38,,Defensive rebound by W. Johnson
9:10.0,,,35-40,2,J. Crawford makes 2-pt shot from 22 ft
8:57.0,S. Hill misses 2-pt shot from 12 ft,,35-40,,
8:55.0,Offensive rebound by C. Diallo,,35-40,,
8:53.0,Shooting foul by W. Johnson (drawn by C. Diallo),,35-40,,
8:53.0,Official timeout,,35-40,,
8:53.0,C. Diallo makes free throw 1 of 2,1,36-40,,
8:53.0,C. Diallo misses free throw 2 of 2,,36-40,,
8:53.0,,,35-40,,D. Jordan enters the game for W. Johnson
8:52.0,,,36-40,,Defensive rebound by B. Bass
8:33.0,,,36-40,,A. Anderson misses 2-pt shot from 21 ft
8:32.0,Defensive rebound by C. Diallo,,36-40,,
8:07.0,R. Williams misses 2-pt shot from 18 ft,,36-40,,
8:04.0,,,36-40,,Defensive rebound by A. Anderson
7:59.0,,,36-40,,Turnover by A. Rivers (bad pass; steal by C. Diallo)
7:55.0,Shooting foul by A. Anderson (drawn by C. Diallo),,36-40,,
7:55.0,C. Diallo misses free throw 1 of 2,,36-40,,
7:55.0,Offensive rebound by Team,,36-40,,
7:55.0,C. Diallo makes free throw 2 of 2,1,37-40,,
7:55.0,,,36-40,,J. Redick enters the game for A. Anderson
7:34.0,,,37-40,,J. Crawford misses 3-pt shot from 25 ft
7:33.0,Defensive rebound by C. Diallo,,37-40,,
7:26.0,Turnover by O. Asik (bad pass),,37-40,,
7:26.0,,,37-40,,C. Paul enters the game for A. Rivers
7:15.0,Personal foul by C. Diallo (drawn by D. Jordan),,37-40,,
7:02.0,,,37-40,,B. Bass misses 2-pt shot from 2 ft (block by O. Asik)
7:00.0,Defensive rebound by S. Hill,,37-40,,
6:53.0,C. Diallo misses 2-pt shot from 14 ft,,37-40,,
6:53.0,Offensive rebound by Team,,37-40,,
6:42.0,R. Williams misses 2-pt shot from 18 ft,,37-40,,
6:42.0,,,37-40,,Defensive rebound by B. Bass
6:32.0,,,37-42,2,J. Crawford makes 2-pt shot from 10 ft
6:21.0,C. Diallo makes 2-pt shot from 19 ft (assist by L. Galloway),2,39-42,,
6:01.0,,,39-44,2,J. Redick makes 2-pt shot from 5 ft (assist by C. Paul)
5:53.0,C. Diallo misses 2-pt shot from 14 ft,,39-44,,
5:52.0,,,39-44,,Defensive rebound by C. Paul
5:41.0,,,39-44,,J. Redick misses 3-pt shot from 25 ft
5:41.0,Defensive rebound by O. Asik,,39-44,,
5:27.0,S. Hill misses 2-pt shot from 9 ft,,39-44,,
5:26.0,,,39-44,,Defensive rebound by D. Jordan
5:23.0,Personal foul by S. Hill (drawn by J. Crawford),,39-44,,
5:23.0,,,39-44,,LA Clippers full timeout
5:23.0,,,39-44,,P. Pierce enters the game for B. Bass
5:23.0,B. Hield enters the game for O. Asik,,39-44,,
5:23.0,A. Ajinca enters the game for L. Galloway,,39-44,,
5:23.0,T. Frazier enters the game for R. Williams,,39-44,,
5:23.0,T. Jones enters the game for C. Diallo,,39-44,,
5:23.0,,,39-44,,A. Rivers enters the game for J. Crawford
5:02.0,,,39-46,2,D. Jordan makes 2-pt shot from 2 ft (assist by A. Rivers)
4:46.0,B. Hield makes 2-pt shot from 18 ft (assist by T. Frazier),2,41-46,,
4:32.0,,,41-46,,J. Redick misses 2-pt shot from 15 ft
4:32.0,Defensive rebound by T. Jones,,41-46,,
4:24.0,Turnover by T. Jones (lost ball; steal by P. Pierce),,41-46,,
4:24.0,Loose ball foul by T. Jones (drawn by P. Pierce),,41-46,,
4:24.0,C. Diallo enters the game for T. Jones,,41-46,,
4:14.0,,,41-48,2,D. Jordan makes 2-pt shot from 2 ft (assist by C. Paul)
4:14.0,,,41-48,,Shooting foul by C. Diallo (drawn by D. Jordan)
4:14.0,,,41-49,1,D. Jordan makes free throw 1 of 1
3:59.0,B. Hield makes 3-pt shot from 25 ft (assist by T. Frazier),3,44-49,,
3:45.0,,,44-51,2,D. Jordan makes 2-pt shot at rim (assist by C. Paul)
3:34.0,A. Ajinca makes 2-pt shot from 19 ft (assist by T. Frazier),2,46-51,,
3:18.0,,,46-53,2,C. Paul makes 2-pt shot from 8 ft
3:09.0,,,46-53,,Def 3 sec tech foul by D. Jordan
3:09.0,B. Hield makes technical free throw,1,47-53,,
3:00.0,C. Diallo makes 2-pt shot from 5 ft (assist by T. Frazier),2,49-53,,
2:46.0,,,49-55,2,C. Paul makes 2-pt shot from 2 ft
2:34.0,C. Diallo makes 2-pt shot from 11 ft,2,51-55,,
2:18.0,,,51-58,3,C. Paul makes 3-pt shot from 25 ft
2:13.0,New Orleans full timeout,,51-58,,
2:13.0,,,51-58,,L. Mbah a Moute enters the game for P. Pierce
2:01.0,T. Frazier misses 2-pt shot from 23 ft,,51-58,,
2:01.0,,,51-58,,Defensive rebound by C. Paul
1:46.0,,,51-58,,C. Paul misses 2-pt shot from 14 ft
1:46.0,Defensive rebound by Team,,51-58,,
1:31.0,C. Diallo makes 2-pt shot from 4 ft (assist by S. Hill),2,53-58,,
1:07.0,,,53-58,,L. Mbah a Moute misses 2-pt shot from 5 ft
1:03.0,Defensive rebound by A. Ajinca,,53-58,,
0:56.0,B. Hield misses 3-pt shot from 23 ft,,53-58,,
0:56.0,Offensive rebound by A. Ajinca,,53-58,,
0:51.0,B. Hield misses 3-pt shot from 23 ft,,53-58,,
0:50.0,,,53-58,,Defensive rebound by D. Jordan
0:46.0,Personal foul by T. Frazier (drawn by A. Rivers),,53-58,,
0:46.0,,,53-59,1,A. Rivers makes free throw 1 of 2
0:46.0,,,53-60,1,A. Rivers makes free throw 2 of 2
0:46.0,,,53-59,,P. Pierce enters the game for L. Mbah a Moute
0:29.0,Turnover by B. Hield (bad pass),,53-60,,
0:25.0,Personal foul by C. Diallo (drawn by C. Paul),,53-60,,
0:25.0,,,53-61,1,C. Paul makes free throw 1 of 2
0:25.0,,,53-61,,C. Paul misses free throw 2 of 2
0:25.0,,,53-61,,L. Mbah a Moute enters the game for P. Pierce
0:25.0,R. Williams enters the game for C. Diallo,,53-61,,
0:24.0,Defensive rebound by A. Ajinca,,53-61,,
0:17.0,New Orleans full timeout,,53-61,,
0:05.0,,,53-61,,Personal take foul by A. Rivers (drawn by T. Frazier)
0:00.0,Shooting foul by D. Jordan (drawn by T. Frazier),,53-61,,
0:00.0,T. Frazier makes free throw 1 of 2,1,54-61,,
0:00.0,T. Frazier makes free throw 2 of 2,1,55-61,,
0:00.0,End of 2nd quarter,,,,End of 2nd quarter
12:00.0,Start of 3rd quarter,,,,Start of 3rd quarter
11:45.0,,,55-61,,Turnover by D. Jordan (lost ball)
11:29.0,Turnover by T. Jones (discontinued dribble),,55-61,,
11:22.0,,,55-63,2,D. Jordan makes 2-pt shot at rim (assist by C. Paul)
11:09.0,T. Frazier misses 2-pt shot from 7 ft,,55-63,,
11:08.0,,,55-63,,Defensive rebound by D. Jordan
10:49.0,,,55-66,3,A. Rivers makes 3-pt shot from 22 ft (assist by C. Paul)
10:49.0,New Orleans full timeout,,55-66,,
10:36.0,,,55-66,,Personal foul by C. Paul (drawn by B. Hield)
10:24.0,B. Hield makes 2-pt shot from 8 ft (assist by T. Frazier),2,57-66,,
10:07.0,,,57-69,3,A. Rivers makes 3-pt shot from 24 ft (assist by C. Paul)
9:47.0,Turnover by B. Hield (lost ball; steal by D. Jordan),,57-69,,
9:38.0,,,57-69,,J. Redick misses 3-pt shot from 25 ft
9:37.0,Defensive rebound by B. Hield,,57-69,,
9:30.0,T. Frazier misses 2-pt shot from 7 ft (block by L. Mbah a Moute),,57-69,,
9:30.0,Offensive rebound by Team,,57-69,,
9:25.0,B. Hield makes 2-pt shot from 19 ft (assist by T. Frazier),2,59-69,,
9:14.0,,,59-69,,Shooting foul by T. Frazier (drawn by J. Redick)
9:14.0,,,59-70,1,J. Redick makes free throw 1 of 2
9:14.0,,,59-71,1,J. Redick makes free throw 2 of 2
8:58.0,Turnover by A. Ajinca (bad pass; steal by L. Mbah a Moute),,59-71,,
8:51.0,,,59-73,2,L. Mbah a Moute makes 2-pt shot at rim (assist by C. Paul)
8:49.0,Turnover by A. Ajinca (inbound),,59-73,,
8:40.0,,,59-73,,C. Paul misses 2-pt shot from 5 ft
8:35.0,Defensive rebound by B. Hield,,59-73,,
8:32.0,T. Jones makes 2-pt shot from 2 ft (assist by B. Hield),2,61-73,,
8:16.0,,,61-75,2,D. Jordan makes 2-pt shot from 2 ft (assist by C. Paul)
8:05.0,B. Hield misses 3-pt shot from 25 ft,,61-75,,
8:05.0,,,61-75,,Defensive rebound by L. Mbah a Moute
8:00.0,,,61-75,,C. Paul misses 3-pt shot from 25 ft
7:59.0,,,61-75,,Offensive rebound by A. Rivers
7:54.0,,,61-77,2,D. Jordan makes 2-pt shot at rim (assist by A. Rivers)
7:54.0,New Orleans full timeout,,61-77,,
7:54.0,L. Galloway enters the game for A. Ajinca,,61-77,,
7:42.0,Turnover by L. Galloway (bad pass; steal by A. Rivers),,61-77,,
7:29.0,,,61-79,2,A. Rivers makes 2-pt shot at rim
7:13.0,New Orleans full timeout,,61-79,,
7:03.0,T. Jones makes 3-pt shot from 25 ft (assist by T. Frazier),3,64-79,,
6:46.0,,,64-79,,J. Redick misses 3-pt shot from 25 ft
6:46.0,Defensive rebound by Team,,64-79,,
6:46.0,,,64-79,,Loose ball foul by D. Jordan (drawn by B. Hield)
6:29.0,L. Galloway misses 2-pt shot from 17 ft,,64-79,,
6:29.0,,,64-79,,Defensive rebound by Team
6:29.0,,,64-79,,M. Speights enters the game for D. Jordan
6:14.0,,,64-81,2,M. Speights makes 2-pt shot from 1 ft (assist by C. Paul)
6:05.0,T. Jones makes 3-pt shot from 26 ft (assist by T. Frazier),3,67-81,,
5:51.0,,,67-83,2,M. Speights makes 2-pt shot from 18 ft (assist by C. Paul)
5:31.0,S. Hill makes 3-pt shot from 23 ft (assist by B. Hield),3,70-83,,
5:18.0,,,70-86,3,A. Rivers makes 3-pt shot from 25 ft (assist by C. Paul)
5:07.0,,,70-86,,Shooting block foul by M. Speights (drawn by T. Frazier)
5:07.0,T. Frazier makes free throw 1 of 2,1,71-86,,
5:07.0,T. Frazier makes free throw 2 of 2,1,72-86,,
5:07.0,C. Diallo enters the game for S. Hill,,71-86,,
4:44.0,,,72-86,,C. Paul misses 2-pt shot from 14 ft
4:43.0,,,72-86,,Offensive rebound by M. Speights
4:43.0,,,72-86,,M. Speights misses 2-pt shot at rim
4:43.0,Defensive rebound by T. Jones,,72-86,,
4:43.0,,,72-86,,Personal foul by M. Speights (drawn by T. Jones)
4:22.0,Offensive foul by T. Jones,,72-86,,
4:22.0,Turnover by T. Jones (offensive foul),,72-86,,
4:22.0,,,72-86,,LA Clippers full timeout
4:22.0,O. Asik enters the game for T. Jones,,72-86,,
4:22.0,,,72-86,,J. Crawford enters the game for A. Rivers
4:07.0,,,72-86,,C. Paul misses 2-pt shot from 10 ft
4:06.0,Defensive rebound by C. Diallo,,72-86,,
3:47.0,C. Diallo makes 2-pt shot from 15 ft (assist by L. Galloway),2,74-86,,
3:26.0,,,74-88,2,J. Crawford makes 2-pt shot from 12 ft (assist by C. Paul)
3:16.0,Turnover by T. Frazier (bad pass; steal by C. Paul),,74-88,,
3:14.0,Personal foul by T. Frazier (drawn by C. Paul),,74-88,,
3:14.0,,,74-88,,W. Johnson enters the game for L. Mbah a Moute
2:53.0,,,74-90,2,C. Paul makes 2-pt shot from 17 ft
2:45.0,T. Frazier misses 2-pt shot from 16 ft,,74-90,,
2:44.0,,,74-90,,Defensive rebound by M. Speights
2:24.0,,,74-93,3,C. Paul makes 3-pt shot from 24 ft
1:59.0,B. Hield makes 2-pt shot from 16 ft,2,76-93,,
1:47.0,,,76-93,,J. Redick misses 3-pt shot from 25 ft
1:46.0,Defensive rebound by C. Diallo,,76-93,,
1:35.0,L. Galloway makes 2-pt shot from 19 ft (assist by B. Hield),2,78-93,,
1:17.0,,,78-93,,M. Speights misses 3-pt shot from 25 ft
1:16.0,Defensive rebound by C. Diallo,,78-93,,
1:00.0,L. Galloway misses 3-pt shot from 25 ft,,78-93,,
0:59.0,,,78-93,,Defensive rebound by M. Speights
0:52.0,,,78-93,,J. Crawford misses 2-pt shot from 16 ft
0:50.0,Defensive rebound by B. Hield,,78-93,,
0:38.0,,,78-93,,Personal foul by W. Johnson (drawn by T. Frazier)
0:38.0,T. Frazier makes free throw 1 of 2,1,79-93,,
0:38.0,T. Frazier makes free throw 2 of 2,1,80-93,,
0:38.0,,,79-93,,A. Anderson enters the game for J. Redick
0:31.0,,,80-95,2,C. Paul makes 2-pt shot from 9 ft
0:11.0,Turnover by T. Frazier (bad pass; steal by C. Paul),,80-95,,
0:03.0,Personal foul by T. Frazier (drawn by C. Paul),,80-95,,
0:01.0,,,80-98,3,M. Speights makes 3-pt shot from 26 ft (assist by C. Paul)
0:00.0,End of 3rd quarter,,,,End of 3rd quarter
12:00.0,Start of 4th quarter,,,,Start of 4th quarter
11:40.0,T. Jones makes 2-pt shot from 8 ft (assist by B. Hield),2,82-98,,
11:26.0,,,82-100,2,W. Johnson makes 2-pt shot from 22 ft (assist by M. Speights)
11:14.0,,,82-100,,Personal foul by J. Crawford (drawn by R. Williams)
11:14.0,,,82-100,,J. Redick enters the game for A. Rivers
11:00.0,L. Galloway makes 2-pt shot from 22 ft,2,84-100,,
10:35.0,,,84-103,3,J. Crawford makes 3-pt shot from 25 ft
10:22.0,B. Hield misses 2-pt shot from 20 ft,,84-103,,
10:20.0,,,84-103,,Defensive rebound by M. Speights
10:13.0,,,84-105,2,J. Crawford makes 2-pt shot from 16 ft
9:54.0,C. Diallo misses 2-pt shot from 10 ft,,84-105,,
9:53.0,Offensive rebound by T. Jones,,84-105,,
9:48.0,C. Diallo misses 2-pt shot from 11 ft,,84-105,,
9:45.0,,,84-105,,Defensive rebound by M. Speights
9:37.0,,,84-105,,J. Redick misses 3-pt shot from 23 ft
9:34.0,Defensive rebound by R. Williams,,84-105,,
9:14.0,R. Williams makes 2-pt shot from 11 ft,2,86-105,,
9:00.0,,,86-107,2,J. Redick makes 2-pt shot from 21 ft (assist by M. Speights)
8:52.0,Offensive charge foul by L. Galloway,,86-107,,
8:52.0,Turnover by L. Galloway (offensive foul),,86-107,,
8:52.0,Official timeout,,86-107,,
8:38.0,Violation by C. Diallo (def goaltending),,86-107,,
8:38.0,,,86-109,2,A. Anderson makes 2-pt shot from 3 ft
8:25.0,,,86-109,,Personal foul by M. Speights (drawn by C. Diallo)
8:22.0,Shooting foul by W. Johnson (drawn by L. Galloway),,86-109,,
8:22.0,L. Galloway misses free throw 1 of 3,,86-109,,
8:22.0,Offensive rebound by Team,,86-109,,
8:22.0,L. Galloway makes free throw 2 of 3,1,87-109,,
8:22.0,L. Galloway misses free throw 3 of 3,,87-109,,
8:22.0,S. Hill enters the game for B. Hield,,86-109,,
8:20.0,,,87-109,,Defensive rebound by M. Speights
8:10.0,,,87-109,,Turnover by J. Crawford (lost ball)
8:01.0,S. Hill misses 2-pt shot from 14 ft,,87-109,,
7:59.0,,,87-109,,Defensive rebound by J. Redick
7:50.0,,,87-109,,Turnover by J. Redick (lost ball; steal by C. Diallo)
7:40.0,C. Diallo misses 2-pt shot from 3 ft,,87-109,,
7:35.0,Offensive rebound by C. Diallo,,87-109,,
7:31.0,C. Diallo misses 2-pt shot from 1 ft,,87-109,,
7:29.0,,,87-109,,Defensive rebound by M. Speights
7:09.0,,,87-111,2,J. Crawford makes 2-pt shot from 12 ft
6:59.0,L. Galloway misses 2-pt shot from 22 ft,,87-111,,
6:58.0,,,87-111,,Defensive rebound by W. Johnson
6:49.0,,,87-111,,A. Anderson misses 3-pt shot from 24 ft
6:48.0,Defensive rebound by T. Jones,,87-111,,
6:37.0,C. Diallo makes 2-pt shot from 19 ft (assist by S. Hill),2,89-111,,
6:16.0,,,89-111,,Turnover by A. Anderson (discontinued dribble)
6:16.0,,,89-111,,C. Paul enters the game for J. Crawford
6:16.0,,,89-111,,B. Bass enters the game for A. Anderson
6:05.0,Shooting foul by M. Speights (drawn by T. Jones),,89-111,,
6:05.0,T. Jones makes free throw 1 of 2,1,90-111,,
6:05.0,T. Jones misses free throw 2 of 2,,90-111,,
6:04.0,,,90-111,,Defensive rebound by M. Speights
6:04.0,,,90-111,,LA Clippers full timeout
6:04.0,B. Hield enters the game for S. Hill,,90-111,,
6:04.0,T. Frazier enters the game for R. Williams,,90-111,,
5:51.0,,,90-113,2,M. Speights makes 2-pt shot from 19 ft (assist by C. Paul)
5:36.0,C. Diallo misses 2-pt shot from 10 ft,,90-113,,
5:36.0,,,90-113,,Defensive rebound by W. Johnson
5:26.0,,,90-116,3,M. Speights makes 3-pt shot from 25 ft (assist by C. Paul)
5:13.0,Shooting foul by B. Bass (drawn by T. Jones),,90-116,,
5:13.0,T. Jones misses free throw 1 of 2,,90-116,,
5:13.0,Offensive rebound by Team,,90-116,,
5:13.0,T. Jones makes free throw 2 of 2,1,91-116,,
5:13.0,,,90-116,,A. Anderson enters the game for J. Redick
5:13.0,,,90-116,,J. Crawford enters the game for C. Paul
4:54.0,,,91-118,2,W. Johnson makes 2-pt shot from 19 ft (assist by A. Anderson)
4:35.0,T. Frazier makes 2-pt shot from 2 ft (assist by C. Diallo),2,93-118,,
4:22.0,Personal foul by T. Frazier (drawn by A. Anderson),,93-118,,
4:11.0,,,93-120,2,A. Anderson makes 2-pt shot from 13 ft
4:01.0,T. Frazier makes 2-pt shot from 2 ft,2,95-120,,
3:42.0,,,95-120,,A. Anderson misses 2-pt shot from 9 ft
3:42.0,Defensive rebound by Team,,95-120,,
3:42.0,,,95-120,,Loose ball foul by B. Bass (drawn by C. Diallo)
3:42.0,C. Diallo misses free throw 1 of 2,,95-120,,
3:42.0,Offensive rebound by Team,,95-120,,
3:42.0,C. Diallo makes free throw 2 of 2,1,96-120,,
3:22.0,,,96-120,,B. Bass misses 2-pt shot from 16 ft
3:19.0,,,96-120,,Offensive rebound by M. Speights
3:19.0,,,96-122,2,M. Speights makes 2-pt shot from 1 ft
3:05.0,T. Jones misses 3-pt shot from 26 ft,,96-122,,
3:04.0,,,96-122,,Defensive rebound by W. Johnson
2:52.0,,,96-125,3,J. Crawford makes 3-pt shot from 26 ft (assist by B. Bass)
2:36.0,B. Hield misses 2-pt shot from 18 ft (block by B. Bass),,96-125,,
2:34.0,,,96-125,,Defensive rebound by W. Johnson
