time,Brooklyn,pts.away,score,pts.home,Chicago
5:25.0,Defensive rebound by C. LeVert,,9-11,,
5:19.0,Shooting foul by N. Mirotic (drawn by R. Hollis-Jefferson),,9-11,,
5:19.0,R. Hollis-Jefferson makes free throw 1 of 2,1,10-11,,
5:19.0,R. Hollis-Jefferson makes free throw 2 of 2,1,11-11,,
5:07.0,,,11-11,,J. Butler misses 2-pt shot from 16 ft
5:06.0,Defensive rebound by I. Whitehead,,11-11,,
4:57.0,A. Goodwin misses 3-pt shot from 25 ft,,11-11,,
4:56.0,,,11-11,,Defensive rebound by P. Zipser
4:48.0,,,11-13,2,J. Butler makes 2-pt shot from 17 ft (assist by P. Zipser)
4:48.0,,,11-13,,Shooting foul by I. Whitehead (drawn by J. Butler)
4:48.0,,,11-14,1,J. Butler makes free throw 1 of 1
4:48.0,K. McDaniels enters the game for C. LeVert,,11-13,,
4:41.0,Turnover by A. Goodwin (bad pass; steal by N. Mirotic),,11-14,,
4:35.0,,,11-16,2,P. Zipser makes 2-pt shot from 2 ft (assist by N. Mirotic)
4:28.0,Turnover by A. Nicholson (bad pass; steal by J. Grant),,11-16,,
4:15.0,,,11-16,,J. Butler misses 2-pt shot from 2 ft
4:14.0,Defensive rebound by A. Nicholson,,11-16,,
4:01.0,Turnover by I. Whitehead (bad pass),,11-16,,
3:34.0,,,11-16,,J. Grant misses 2-pt shot from 12 ft
3:33.0,Defensive rebound by R. Hollis-Jefferson,,11-16,,
3:25.0,Turnover by R. Hollis-Jefferson (lost ball; steal by N. Mirotic),,11-16,,
3:19.0,,,11-19,3,P. Zipser makes 3-pt shot from 25 ft (assist by J. Grant)
3:16.0,Brooklyn full timeout,,11-19,,
3:16.0,,,11-19,,B. Portis enters the game for N. Mirotic
3:16.0,J. Hamilton enters the game for R. Hollis-Jefferson,,11-19,,
3:03.0,I. Whitehead misses 3-pt shot from 25 ft,,11-19,,
2:59.0,,,11-19,,Defensive rebound by B. Portis
2:42.0,,,11-19,,R. Lopez misses 2-pt shot from 19 ft
2:41.0,Defensive rebound by A. Nicholson,,11-19,,
2:31.0,K. McDaniels misses 3-pt shot from 25 ft,,11-19,,
2:30.0,,,11-19,,Defensive rebound by B. Portis
2:10.0,,,11-22,3,P. Zipser makes 3-pt shot from 23 ft (assist by B. Portis)
1:50.0,Turnover by I. Whitehead (lost ball; steal by J. Butler),,11-22,,
1:49.0,Personal foul by A. Goodwin (drawn by J. Butler),,11-22,,
1:40.0,,,11-22,,P. Zipser misses 2-pt shot from 18 ft
1:40.0,,,11-22,,Offensive rebound by R. Lopez
1:40.0,Personal foul by A. Nicholson (drawn by R. Lopez),,11-22,,
1:40.0,,,11-22,,R. Lopez misses free throw 1 of 2
1:40.0,,,11-22,,Offensive rebound by Team
1:40.0,,,11-23,1,R. Lopez makes free throw 2 of 2
1:27.0,J. Hamilton misses 3-pt shot from 25 ft,,11-23,,
1:26.0,,,11-23,,Defensive rebound by J. Butler
1:17.0,,,11-23,,Turnover by J. Grant (bad pass; steal by A. Nicholson)
1:12.0,K. McDaniels misses 2-pt shot from 3 ft (block by J. Butler),,11-23,,
1:09.0,,,11-23,,Defensive rebound by P. Zipser
1:06.0,,,11-23,,Shooting foul by I. Whitehead (drawn by J. Butler)
1:06.0,,,11-24,1,J. Butler makes free throw 1 of 2
1:06.0,,,11-25,1,J. Butler makes free throw 2 of 2
0:57.0,A. Goodwin makes 2-pt shot from 3 ft,2,13-25,,
0:47.0,,,13-25,,B. Portis misses 2-pt shot from 19 ft
0:45.0,Defensive rebound by J. Hamilton,,13-25,,
0:33.0,Turnover by K. McDaniels (bad pass; steal by J. Grant),,13-25,,
0:27.0,,,13-25,,P. Zipser misses 2-pt shot from 3 ft
0:26.0,,,13-25,,Offensive rebound by B. Portis
0:14.0,Personal foul by A. Nicholson (drawn by R. Lopez),,13-25,,
0:14.0,,,13-26,1,R. Lopez makes free throw 1 of 2
0:14.0,,,13-27,1,R. Lopez makes free throw 2 of 2
0:01.0,I. Whitehead misses 2-pt shot from 3 ft (block by R. Lopez),,13-27,,
0:00.0,,,13-27,,Defensive rebound by R. Lopez
0:00.0,End of 1st quarter,,,,End of 1st quarter
12:00.0,Start of 2nd quarter,,,,Start of 2nd quarter
11:44.0,A. Nicholson misses 2-pt shot from 9 ft,,13-27,,
11:43.0,,,13-27,,Defensive rebound by P. Zipser
11:27.0,,,13-27,,C. Felicio misses 2-pt shot from 17 ft
11:26.0,Defensive rebound by K. McDaniels,,13-27,,
11:14.0,A. Goodwin makes 2-pt shot from 3 ft (assist by R. Foye),2,15-27,,
10:55.0,,,15-27,,B. Portis misses 2-pt shot from 15 ft
10:54.0,,,15-27,,Offensive rebound by Team
10:50.0,,,15-30,3,J. Grant makes 3-pt shot from 23 ft (assist by C. Felicio)
10:36.0,Turnover by A. Goodwin (lost ball; steal by C. Felicio),,15-30,,
10:23.0,,,15-32,2,D. Wade makes 2-pt shot from 3 ft
10:09.0,Turnover by A. Goodwin (bad pass; steal by B. Portis),,15-32,,
10:04.0,,,15-34,2,B. Portis makes 2-pt shot from 1 ft (assist by P. Zipser)
10:03.0,Brooklyn full timeout,,15-34,,
10:03.0,S. Dinwiddie enters the game for A. Nicholson,,15-34,,
10:03.0,R. Hollis-Jefferson enters the game for A. Goodwin,,15-34,,
9:47.0,R. Hollis-Jefferson misses 2-pt shot from 6 ft,,15-34,,
9:45.0,,,15-34,,Defensive rebound by P. Zipser
9:39.0,,,15-34,,D. Wade misses 2-pt shot from 1 ft
9:38.0,Defensive rebound by K. McDaniels,,15-34,,
9:30.0,R. Foye misses 3-pt shot from 25 ft,,15-34,,
9:29.0,,,15-34,,Defensive rebound by J. Grant
9:25.0,,,15-34,,Turnover by B. Portis (lost ball)
9:05.0,K. McDaniels makes 2-pt shot from 1 ft,2,17-34,,
8:48.0,,,17-34,,B. Portis misses 2-pt shot from 19 ft
8:46.0,Defensive rebound by J. Hamilton,,17-34,,
8:36.0,K. McDaniels makes 2-pt shot at rim (assist by J. Hamilton),2,19-34,,
8:10.0,,,19-36,2,P. Zipser makes 2-pt shot from 19 ft
7:54.0,K. McDaniels misses 3-pt shot from 24 ft,,19-36,,
7:53.0,,,19-36,,Defensive rebound by J. Grant
7:46.0,,,19-36,,J. Grant misses 3-pt shot from 25 ft
7:45.0,Defensive rebound by J. Hamilton,,19-36,,
7:36.0,R. Foye misses 2-pt shot from 2 ft,,19-36,,
7:35.0,Offensive rebound by S. Dinwiddie,,19-36,,
7:21.0,R. Foye misses 3-pt shot from 24 ft,,19-36,,
7:20.0,Offensive rebound by J. Hamilton,,19-36,,
7:18.0,S. Dinwiddie makes 3-pt shot from 25 ft (assist by J. Hamilton),3,22-36,,
7:18.0,,,22-36,,Chicago full timeout
7:18.0,,,22-36,,N. Mirotic enters the game for D. Wade
7:18.0,,,22-36,,J. Butler enters the game for J. Grant
7:18.0,,,22-36,,R. Rondo enters the game for B. Portis
7:18.0,A. Nicholson enters the game for J. Hamilton,,22-36,,
6:59.0,,,22-38,2,C. Felicio makes 2-pt shot from 2 ft (assist by R. Rondo)
6:32.0,S. Dinwiddie misses 3-pt shot from 25 ft,,22-38,,
6:31.0,,,22-38,,Defensive rebound by N. Mirotic
6:20.0,,,22-38,,R. Rondo misses 2-pt shot from 2 ft (block by R. Hollis-Jefferson)
6:17.0,Defensive rebound by R. Hollis-Jefferson,,22-38,,
6:16.0,,,22-38,,Personal foul by C. Felicio (drawn by R. Hollis-Jefferson)
6:16.0,C. LeVert enters the game for K. McDaniels,,22-38,,
6:03.0,R. Foye misses 2-pt shot from 1 ft,,22-38,,
6:03.0,,,22-38,,Defensive rebound by P. Zipser
5:57.0,,,22-38,,N. Mirotic misses 3-pt shot from 25 ft
5:56.0,,,22-38,,Offensive rebound by R. Rondo
5:51.0,,,22-41,3,J. Butler makes 3-pt shot from 24 ft (assist by R. Rondo)
5:37.0,Turnover by S. Dinwiddie (bad pass; steal by J. Butler),,22-41,,
5:29.0,,,22-43,2,R. Rondo makes 2-pt shot from 1 ft
4:58.0,Turnover by Team (shot clock),,22-43,,
4:58.0,A. Goodwin enters the game for R. Foye,,22-43,,
4:50.0,I. Whitehead enters the game for S. Dinwiddie,,22-43,,
4:37.0,,,22-45,2,J. Butler makes 2-pt shot from 1 ft (assist by R. Rondo)
4:19.0,C. LeVert misses 3-pt shot from 23 ft,,22-45,,
4:18.0,,,22-45,,Defensive rebound by C. Felicio
4:11.0,J. Hamilton enters the game for A. Nicholson,,22-45,,
4:05.0,,,22-45,,Offensive foul by J. Butler
4:05.0,,,22-45,,Turnover by J. Butler (offensive foul)
3:48.0,I. Whitehead misses 2-pt shot from 2 ft,,22-45,,
3:47.0,Offensive rebound by R. Hollis-Jefferson,,22-45,,
3:47.0,R. Hollis-Jefferson misses 2-pt shot from 1 ft,,22-45,,
3:46.0,,,22-45,,Defensive rebound by C. Felicio
3:41.0,,,22-45,,C. Felicio misses 2-pt shot from 1 ft
3:40.0,Defensive rebound by R. Hollis-Jefferson,,22-45,,
3:40.0,,,22-45,,Personal foul by N. Mirotic (drawn by R. Hollis-Jefferson)
3:18.0,A. Goodwin misses 2-pt shot from 2 ft (block by N. Mirotic),,22-45,,
3:16.0,,,22-45,,Defensive rebound by P. Zipser
3:08.0,,,22-45,,P. Zipser misses 3-pt shot from 24 ft
3:07.0,Defensive rebound by A. Goodwin,,22-45,,
3:05.0,,,22-45,,Personal foul by C. Felicio (drawn by A. Goodwin)
3:05.0,,,22-45,,R. Lopez enters the game for C. Felicio
3:05.0,A. Nicholson enters the game for R. Hollis-Jefferson,,22-45,,
2:44.0,A. Nicholson makes 2-pt shot from 6 ft (assist by I. Whitehead),2,24-45,,
2:26.0,,,24-48,3,N. Mirotic makes 3-pt shot from 24 ft (assist by J. Butler)
2:16.0,A. Goodwin makes 2-pt shot at rim,2,26-48,,
1:58.0,,,26-48,,N. Mirotic misses 3-pt shot from 24 ft
1:56.0,Defensive rebound by A. Nicholson,,26-48,,
1:41.0,J. Hamilton misses 3-pt shot from 25 ft,,26-48,,
1:40.0,,,26-48,,Defensive rebound by R. Rondo
1:29.0,,,26-48,,R. Rondo misses 2-pt shot from 7 ft (block by A. Goodwin)
1:26.0,,,26-48,,Offensive rebound by N. Mirotic
1:25.0,,,26-48,,Turnover by N. Mirotic (bad pass; steal by A. Goodwin)
1:21.0,A. Goodwin makes 2-pt shot from 2 ft (assist by C. LeVert),2,28-48,,
1:13.0,,,28-48,,N. Mirotic misses 3-pt shot from 26 ft
1:12.0,Defensive rebound by I. Whitehead,,28-48,,
1:07.0,I. Whitehead misses 2-pt shot at rim,,28-48,,
1:05.0,Offensive rebound by A. Goodwin,,28-48,,
0:55.0,C. LeVert makes 2-pt shot from 22 ft,2,30-48,,
0:55.0,,,30-48,,Chicago full timeout
0:55.0,,,30-48,,Chicago full timeout
0:36.0,,,30-48,,R. Lopez misses 2-pt shot from 3 ft
0:34.0,Defensive rebound by C. LeVert,,30-48,,
0:29.0,C. LeVert misses 3-pt shot from 26 ft,,30-48,,
0:27.0,,,30-48,,Defensive rebound by J. Butler
0:14.0,,,30-48,,Shooting foul by I. Whitehead (drawn by J. Butler)
0:14.0,,,30-49,1,J. Butler makes free throw 1 of 3
0:14.0,,,30-50,1,J. Butler makes free throw 2 of 3
0:14.0,,,30-50,,J. Butler misses free throw 3 of 3
0:14.0,,,30-50,,J. Grant enters the game for R. Rondo
0:14.0,,,30-50,,B. Portis enters the game for N. Mirotic
0:12.0,Defensive rebound by Team,,30-50,,
0:12.0,,,30-50,,Loose ball foul by P. Zipser (drawn by I. Whitehead)
0:04.0,C. LeVert makes 2-pt shot from 2 ft (assist by A. Goodwin),2,32-50,,
0:00.0,End of 2nd quarter,,,,End of 2nd quarter
12:00.0,Start of 3rd quarter,,,,Start of 3rd quarter
11:50.0,C. LeVert misses 2-pt shot from 2 ft,,32-50,,
11:48.0,,,32-50,,Defensive rebound by R. Lopez
11:43.0,,,32-50,,D. Wade misses 2-pt shot from 16 ft
11:41.0,Defensive rebound by R. Hollis-Jefferson,,32-50,,
11:33.0,C. LeVert misses 2-pt shot from 1 ft,,32-50,,
11:32.0,,,32-50,,Defensive rebound by R. Lopez
11:22.0,,,32-50,,N. Mirotic misses 2-pt shot from 3 ft
11:21.0,,,32-50,,Offensive rebound by R. Lopez
11:21.0,,,32-52,2,R. Lopez makes 2-pt shot from 1 ft
11:06.0,J. Hamilton makes 2-pt shot from 17 ft (assist by R. Foye),2,34-52,,
10:46.0,,,34-55,3,R. Rondo makes 3-pt shot from 25 ft (assist by J. Butler)
10:31.0,R. Foye misses 3-pt shot from 24 ft,,34-55,,
10:30.0,,,34-55,,Defensive rebound by J. Butler
10:25.0,,,34-55,,Shooting foul by R. Hollis-Jefferson (drawn by D. Wade)
10:25.0,,,34-55,,D. Wade misses free throw 1 of 2
10:25.0,,,34-55,,Offensive rebound by Team
10:25.0,,,34-56,1,D. Wade makes free throw 2 of 2
10:14.0,R. Foye misses 2-pt shot from 3 ft (block by J. Butler),,34-56,,
10:14.0,Offensive rebound by Team,,34-56,,
10:11.0,J. Hamilton misses 3-pt shot from 24 ft,,34-56,,
10:10.0,,,34-56,,Defensive rebound by N. Mirotic
10:03.0,,,34-56,,N. Mirotic misses 3-pt shot from 24 ft
10:02.0,,,34-56,,Offensive rebound by R. Rondo
9:58.0,,,34-56,,N. Mirotic misses 2-pt shot from 1 ft
9:57.0,Defensive rebound by C. LeVert,,34-56,,
9:47.0,R. Foye misses 3-pt shot from 25 ft,,34-56,,
9:47.0,,,34-56,,Defensive rebound by R. Rondo
9:39.0,Jump ball: S. Dinwiddie vs. D. Wade,,,,Jump ball: S. Dinwiddie vs. D. Wade
9:39.0,,,34-56,,Turnover by D. Wade (lost ball; steal by S. Dinwiddie)
9:31.0,J. Hamilton makes 2-pt shot from 12 ft (assist by S. Dinwiddie),2,36-56,,
9:09.0,,,36-56,,Turnover by D. Wade (bad pass; steal by R. Foye)
9:01.0,C. LeVert makes 2-pt shot at rim (assist by R. Hollis-Jefferson),2,38-56,,
8:49.0,,,38-58,2,J. Butler makes 2-pt shot at rim
8:33.0,Shooting foul by D. Wade (drawn by S. Dinwiddie),,38-58,,
8:33.0,S. Dinwiddie makes free throw 1 of 2,1,39-58,,
8:33.0,S. Dinwiddie makes free throw 2 of 2,1,40-58,,
8:33.0,I. Whitehead enters the game for R. Foye,,39-58,,
8:20.0,,,40-58,,R. Rondo misses 2-pt shot from 21 ft
8:19.0,Defensive rebound by C. LeVert,,40-58,,
8:10.0,I. Whitehead misses 3-pt shot from 25 ft,,40-58,,
8:09.0,,,40-58,,Defensive rebound by R. Lopez
7:54.0,,,40-61,3,N. Mirotic makes 3-pt shot from 25 ft (assist by R. Lopez)
7:41.0,J. Hamilton misses 2-pt shot from 1 ft,,40-61,,
7:40.0,,,40-61,,Defensive rebound by N. Mirotic
7:33.0,,,40-63,2,R. Rondo makes 2-pt shot at rim (assist by D. Wade)
7:33.0,Brooklyn full timeout,,40-63,,
7:33.0,A. Nicholson enters the game for J. Hamilton,,40-63,,
7:17.0,Turnover by C. LeVert (bad pass; steal by N. Mirotic),,40-63,,
7:11.0,,,40-63,,D. Wade misses 2-pt shot from 19 ft
7:10.0,,,40-63,,Offensive rebound by N. Mirotic
7:10.0,,,40-63,,N. Mirotic misses 2-pt shot from 3 ft
7:08.0,,,40-63,,Offensive rebound by N. Mirotic
7:08.0,,,40-65,2,N. Mirotic makes 2-pt shot from 1 ft
6:56.0,S. Dinwiddie misses 3-pt shot from 24 ft,,40-65,,
6:55.0,,,40-65,,Defensive rebound by J. Butler
6:35.0,,,40-65,,D. Wade misses 2-pt shot from 1 ft
6:33.0,Defensive rebound by C. LeVert,,40-65,,
6:18.0,C. LeVert misses 2-pt shot from 2 ft,,40-65,,
6:16.0,Offensive rebound by A. Nicholson,,40-65,,
6:16.0,A. Nicholson misses 2-pt shot from 1 ft,,40-65,,
6:15.0,,,40-65,,Defensive rebound by R. Lopez
6:06.0,,,40-65,,Shooting foul by R. Hollis-Jefferson (drawn by N. Mirotic)
6:06.0,,,40-65,,N. Mirotic misses free throw 1 of 2
6:06.0,,,40-65,,Offensive rebound by Team
6:06.0,,,40-66,1,N. Mirotic makes free throw 2 of 2
6:06.0,A. Goodwin enters the game for S. Dinwiddie,,40-65,,
5:48.0,Turnover by I. Whitehead (bad pass; steal by R. Rondo),,40-66,,
5:44.0,,,40-68,2,D. Wade makes 2-pt shot at rim (assist by R. Rondo)
5:27.0,Shooting foul by N. Mirotic (drawn by A. Goodwin),,40-68,,
5:27.0,A. Goodwin misses free throw 1 of 2,,40-68,,
5:27.0,Offensive rebound by Team,,40-68,,
5:27.0,A. Goodwin makes free throw 2 of 2,1,41-68,,
5:14.0,,,41-68,,Turnover by D. Wade (bad pass; steal by A. Nicholson)
5:12.0,,,41-68,,Personal foul by N. Mirotic (drawn by R. Hollis-Jefferson)
5:12.0,,,41-68,,B. Portis enters the game for N. Mirotic
5:12.0,K. McDaniels enters the game for C. LeVert,,41-68,,
5:12.0,S. Dinwiddie enters the game for I. Whitehead,,41-68,,
5:00.0,K. McDaniels makes 2-pt shot from 12 ft (assist by A. Goodwin),2,43-68,,
4:56.0,I. Whitehead enters the game for A. Nicholson,,43-68,,
4:50.0,,,43-68,,J. Butler misses 3-pt shot from 23 ft
4:49.0,Defensive rebound by K. McDaniels,,43-68,,
4:40.0,Shooting foul by R. Lopez (drawn by A. Goodwin),,43-68,,
4:40.0,A. Goodwin misses free throw 1 of 2,,43-68,,
4:40.0,Offensive rebound by Team,,43-68,,
4:40.0,A. Goodwin misses free throw 2 of 2,,43-68,,
4:40.0,,,43-68,,P. Zipser enters the game for D. Wade
4:38.0,Offensive rebound by A. Goodwin,,43-68,,
4:38.0,Shooting foul by R. Lopez (drawn by A. Goodwin),,43-68,,
4:38.0,A. Goodwin makes free throw 1 of 2,1,44-68,,
4:38.0,A. Goodwin makes free throw 2 of 2,1,45-68,,
4:19.0,,,45-68,,P. Zipser misses 3-pt shot from 23 ft
4:18.0,,,45-68,,Offensive rebound by R. Rondo
4:17.0,Violation by R. Hollis-Jefferson (kicked ball),,45-68,,
4:06.0,,,45-68,,J. Butler misses 2-pt shot from 17 ft
4:05.0,Defensive rebound by S. Dinwiddie,,45-68,,
4:01.0,Shooting foul by P. Zipser (drawn by A. Goodwin),,45-68,,
4:01.0,A. Goodwin makes free throw 1 of 2,1,46-68,,
4:01.0,A. Goodwin makes free throw 2 of 2,1,47-68,,
4:01.0,,,46-68,,C. Felicio enters the game for R. Lopez
3:40.0,,,47-68,,R. Rondo misses 2-pt shot from 17 ft
3:39.0,Defensive rebound by I. Whitehead,,47-68,,
3:36.0,,,47-68,,Personal foul by R. Rondo
3:36.0,K. McDaniels makes free throw 1 of 2,1,48-68,,
3:36.0,K. McDaniels makes free throw 2 of 2,1,49-68,,
3:36.0,,,48-68,,J. Grant enters the game for R. Rondo
3:21.0,,,49-71,3,P. Zipser makes 3-pt shot from 26 ft (assist by J. Butler)
3:06.0,I. Whitehead misses 2-pt shot from 2 ft,,49-71,,
3:05.0,,,49-71,,Defensive rebound by B. Portis
2:54.0,,,49-71,,J. Grant misses 2-pt shot from 19 ft
2:53.0,Defensive rebound by K. McDaniels,,49-71,,
2:49.0,Shooting foul by P. Zipser (drawn by A. Goodwin),,49-71,,
2:49.0,,,49-71,,Chicago full timeout
2:49.0,A. Goodwin makes free throw 1 of 2,1,50-71,,
2:49.0,A. Goodwin misses free throw 2 of 2,,50-71,,
2:49.0,J. Hamilton enters the game for R. Hollis-Jefferson,,49-71,,
2:47.0,,,50-71,,Defensive rebound by B. Portis
2:27.0,,,50-73,2,J. Butler makes 2-pt shot from 9 ft
2:13.0,I. Whitehead makes 2-pt shot from 3 ft (assist by J. Hamilton),2,52-73,,
1:59.0,,,52-73,,B. Portis misses 3-pt shot from 24 ft
1:57.0,Defensive rebound by J. Hamilton,,52-73,,
1:50.0,Shooting foul by B. Portis,,52-73,,
1:50.0,K. McDaniels makes free throw 1 of 2,1,53-73,,
1:50.0,K. McDaniels makes free throw 2 of 2,1,54-73,,
1:31.0,,,54-73,,J. Grant misses 3-pt shot from 23 ft
1:30.0,,,54-73,,Offensive rebound by B. Portis
1:27.0,,,54-73,,B. Portis misses 2-pt shot from 1 ft
1:26.0,Defensive rebound by A. Goodwin,,54-73,,
1:16.0,I. Whitehead misses 3-pt shot from 24 ft,,54-73,,
1:15.0,,,54-73,,Defensive rebound by B. Portis
1:07.0,,,54-73,,Shooting foul by S. Dinwiddie (drawn by J. Butler)
1:07.0,,,54-74,1,J. Butler makes free throw 1 of 2
1:07.0,,,54-75,1,J. Butler makes free throw 2 of 2
0:53.0,J. Hamilton makes 2-pt shot from 9 ft (assist by A. Goodwin),2,56-75,,
0:42.0,,,56-75,,J. Butler misses 3-pt shot from 25 ft
0:40.0,,,56-75,,Offensive rebound by J. Butler
0:39.0,,,56-75,,J. Butler misses 2-pt shot from 3 ft
0:38.0,Defensive rebound by J. Hamilton,,56-75,,
0:28.0,K. McDaniels misses 3-pt shot from 25 ft,,56-75,,
0:26.0,,,56-75,,Defensive rebound by C. Felicio
0:02.0,,,56-75,,J. Butler misses 2-pt shot from 12 ft
0:01.0,Defensive rebound by K. McDaniels,,56-75,,
0:00.0,End of 3rd quarter,,,,End of 3rd quarter
12:00.0,Start of 4th quarter,,,,Start of 4th quarter
11:36.0,,,56-75,,P. Zipser misses 2-pt shot from 20 ft
11:35.0,Defensive rebound by S. Dinwiddie,,56-75,,
11:22.0,Turnover by A. Goodwin (bad pass; steal by B. Portis),,56-75,,
11:21.0,Personal foul by S. Dinwiddie (drawn by B. Portis),,56-75,,
11:13.0,,,56-77,2,J. Butler makes 2-pt shot from 11 ft
10:49.0,S. Dinwiddie misses 3-pt shot from 24 ft,,56-77,,
10:47.0,Offensive rebound by R. Hollis-Jefferson,,56-77,,
10:47.0,R. Hollis-Jefferson makes 2-pt shot from 1 ft,2,58-77,,
10:25.0,,,58-77,,J. Butler misses 2-pt shot from 6 ft
10:24.0,Defensive rebound by K. McDaniels,,58-77,,
10:15.0,K. McDaniels misses 2-pt shot from 1 ft,,58-77,,
10:13.0,Offensive rebound by A. Goodwin,,58-77,,
10:13.0,A. Goodwin makes 2-pt shot at rim,2,60-77,,
9:55.0,,,60-79,2,B. Portis makes 2-pt shot at rim (assist by J. Grant)
9:36.0,C. LeVert misses 3-pt shot from 22 ft,,60-79,,
9:35.0,,,60-79,,Defensive rebound by J. Grant
9:33.0,Personal foul by A. Goodwin (drawn by J. Grant),,60-79,,
9:33.0,I. Whitehead enters the game for S. Dinwiddie,,60-79,,
9:21.0,Personal foul by A. Goodwin (drawn by J. Butler),,60-79,,
9:15.0,,,60-81,2,J. Butler makes 2-pt shot from 2 ft (assist by B. Portis)
9:15.0,,,60-81,,Shooting foul by C. LeVert (drawn by J. Butler)
9:15.0,,,60-82,1,J. Butler makes free throw 1 of 1
9:15.0,R. Foye enters the game for K. McDaniels,,60-81,,
9:07.0,R. Hollis-Jefferson misses 2-pt shot from 19 ft,,60-82,,
9:06.0,,,60-82,,Defensive rebound by B. Portis
8:54.0,,,60-84,2,B. Portis makes 2-pt shot at rim (assist by J. Butler)
8:40.0,Turnover by R. Hollis-Jefferson (lost ball; steal by J. Butler),,60-84,,
8:27.0,,,60-86,2,P. Zipser makes 2-pt shot from 1 ft
8:27.0,Brooklyn full timeout,,60-86,,
