time,Indiana,pts.away,score,pts.home,Charlotte
0:32.0,,,35-58,,K. Walker misses 2-pt shot from 2 ft (block by J. Teague)
0:30.0,,,35-58,,Offensive rebound by C. Zeller
0:30.0,,,35-58,,C. Zeller misses 2-pt shot from 1 ft
0:30.0,,,35-58,,Offensive rebound by Team
0:15.0,,,35-58,,K. Walker misses 3-pt shot from 25 ft
0:14.0,Defensive rebound by T. Young,,35-58,,
0:00.0,P. George makes 2-pt shot from 6 ft,2,37-58,,
0:00.0,End of 2nd quarter,,,,End of 2nd quarter
12:00.0,Start of 3rd quarter,,,,Start of 3rd quarter
11:36.0,J. Teague misses 3-pt shot from 25 ft,,37-58,,
11:35.0,,,37-58,,Defensive rebound by C. Zeller
11:15.0,,,37-58,,M. Williams misses 3-pt shot from 26 ft
11:14.0,Defensive rebound by P. George,,37-58,,
11:04.0,C. Miles makes 3-pt shot from 25 ft (assist by P. George),3,40-58,,
10:48.0,,,40-58,,N. Batum misses 3-pt shot from 25 ft
10:47.0,Defensive rebound by P. George,,40-58,,
10:31.0,P. George misses 3-pt shot from 25 ft,,40-58,,
10:30.0,,,40-58,,Defensive rebound by M. Kidd-Gilchrist
10:19.0,,,40-58,,Turnover by N. Batum (traveling)
10:04.0,P. George makes 3-pt shot from 23 ft (assist by M. Turner),3,43-58,,
9:46.0,,,43-58,,C. Zeller misses 2-pt shot at rim (block by M. Turner)
9:44.0,,,43-58,,Offensive rebound by M. Kidd-Gilchrist
9:32.0,,,43-58,,K. Walker misses 2-pt shot at rim
9:31.0,Defensive rebound by J. Teague,,43-58,,
9:25.0,J. Teague makes 2-pt shot from 2 ft (assist by C. Miles),2,45-58,,
9:25.0,,,45-58,,Charlotte full timeout
9:03.0,,,45-58,,N. Batum misses 2-pt shot from 20 ft
9:02.0,,,45-58,,Offensive rebound by M. Kidd-Gilchrist
8:57.0,,,45-58,,K. Walker misses 3-pt shot from 24 ft
8:56.0,Defensive rebound by P. George,,45-58,,
8:47.0,J. Teague makes 2-pt shot at rim,2,47-58,,
8:29.0,,,47-58,,N. Batum misses 2-pt shot from 9 ft
8:27.0,,,47-58,,Offensive rebound by C. Zeller
8:27.0,,,47-60,2,C. Zeller makes 2-pt shot at rim
8:15.0,,,47-60,,Personal foul by C. Zeller (drawn by J. Teague)
8:00.0,C. Miles makes 2-pt shot from 1 ft (assist by J. Teague),2,49-60,,
7:47.0,,,49-62,2,N. Batum makes 2-pt shot from 17 ft (assist by M. Kidd-Gilchrist)
7:20.0,Turnover by Team (shot clock),,49-62,,
7:05.0,,,49-62,,N. Batum misses 3-pt shot from 24 ft
7:04.0,Defensive rebound by J. Teague,,49-62,,
6:56.0,J. Teague misses 2-pt shot from 5 ft (block by M. Williams),,49-62,,
6:55.0,,,49-62,,Defensive rebound by K. Walker
6:51.0,,,49-62,,K. Walker misses 2-pt shot from 16 ft
6:49.0,Defensive rebound by P. George,,49-62,,
6:37.0,Turnover by T. Young (bad pass; steal by N. Batum),,49-62,,
6:25.0,,,49-62,,M. Williams misses 3-pt shot from 25 ft
6:23.0,Defensive rebound by Team,,49-62,,
6:23.0,,,49-62,,J. Lamb enters the game for M. Williams
6:11.0,M. Turner makes 2-pt shot from 14 ft (assist by J. Teague),2,51-62,,
6:00.0,,,51-64,2,N. Batum makes 2-pt shot from 13 ft (assist by K. Walker)
6:00.0,,,51-64,,Shooting foul by M. Turner (drawn by N. Batum)
6:00.0,,,51-65,1,N. Batum makes free throw 1 of 1
5:40.0,C. Miles makes 3-pt shot from 25 ft (assist by J. Teague),3,54-65,,
5:26.0,,,54-67,2,K. Walker makes 2-pt shot from 1 ft
5:11.0,T. Young makes 2-pt shot from 1 ft (assist by J. Teague),2,56-67,,
4:57.0,,,56-69,2,M. Kidd-Gilchrist makes 2-pt shot from 2 ft (assist by N. Batum)
4:34.0,C. Miles misses 3-pt shot from 28 ft,,56-69,,
4:33.0,,,56-69,,Defensive rebound by C. Zeller
4:13.0,,,56-69,,N. Batum misses 2-pt shot from 15 ft
4:12.0,Defensive rebound by C. Miles,,56-69,,
4:05.0,J. Teague misses 2-pt shot from 1 ft,,56-69,,
4:04.0,,,56-69,,Defensive rebound by M. Kidd-Gilchrist
4:04.0,Personal foul by J. Teague (drawn by J. Lamb),,56-69,,
4:04.0,M. Ellis enters the game for J. Teague,,56-69,,
4:04.0,,,56-69,,M. Williams enters the game for M. Kidd-Gilchrist
4:04.0,,,56-69,,B. Roberts enters the game for K. Walker
4:04.0,A. Brooks enters the game for C. Miles,,56-69,,
3:51.0,,,56-69,,Turnover by N. Batum (lost ball; steal by T. Young)
3:44.0,T. Young misses 2-pt shot from 1 ft (block by N. Batum),,56-69,,
3:42.0,,,56-69,,Defensive rebound by M. Williams
3:28.0,,,56-69,,M. Williams misses 3-pt shot from 23 ft
3:27.0,Defensive rebound by P. George,,56-69,,
3:24.0,Indiana full timeout,,56-69,,
3:24.0,R. Christmas enters the game for M. Turner,,56-69,,
3:24.0,G. Robinson enters the game for T. Young,,56-69,,
3:05.0,M. Ellis makes 2-pt shot from 22 ft,2,58-69,,
2:36.0,,,58-69,,J. Lamb misses 3-pt shot from 24 ft
2:35.0,Defensive rebound by R. Christmas,,58-69,,
2:26.0,P. George makes 3-pt shot from 25 ft (assist by A. Brooks),3,61-69,,
2:14.0,Personal foul by P. George (drawn by C. Zeller),,61-69,,
