time,Brooklyn,pts.away,score,pts.home,Orlando
6:07.0,Turnover by L. Scola (bad pass; steal by J. Meeks),,44-39,,
6:01.0,,,44-41,2,E. Payton makes 2-pt shot from 1 ft
5:50.0,C. LeVert misses 3-pt shot from 24 ft,,44-41,,
5:49.0,,,44-41,,Defensive rebound by N. Vucevic
5:41.0,,,44-41,,E. Payton misses 2-pt shot from 4 ft (block by B. Lopez)
5:40.0,Defensive rebound by C. LeVert,,44-41,,
5:36.0,J. Harris makes 2-pt shot from 2 ft (assist by C. LeVert),2,46-41,,
5:36.0,,,46-41,,Orlando full timeout
5:36.0,S. Kilpatrick enters the game for L. Scola,,46-41,,
5:36.0,T. Booker enters the game for C. LeVert,,46-41,,
5:36.0,,,46-41,,E. Fournier enters the game for E. Payton
5:36.0,,,46-41,,S. Ibaka enters the game for N. Vucevic
5:36.0,,,46-41,,D. Augustin enters the game for J. Green
5:24.0,,,46-41,,E. Fournier misses 3-pt shot from 25 ft
5:24.0,Defensive rebound by J. Harris,,46-41,,
5:09.0,B. Lopez makes 2-pt shot from 1 ft,2,48-41,,
5:00.0,,,48-41,,Offensive foul by D. Augustin
5:00.0,,,48-41,,Turnover by D. Augustin (offensive foul)
4:47.0,Turnover by S. Dinwiddie (bad pass; steal by J. Meeks),,48-41,,
4:35.0,,,48-43,2,D. Augustin makes 2-pt shot from 2 ft
4:31.0,Turnover by S. Dinwiddie (offensive foul),,48-43,,
4:31.0,Offensive foul by S. Dinwiddie,,48-43,,
4:31.0,,,48-43,,A. Gordon enters the game for J. Meeks
4:15.0,,,48-43,,D. Augustin misses 3-pt shot from 26 ft
4:15.0,Defensive rebound by T. Booker,,48-43,,
4:04.0,B. Lopez misses 3-pt shot from 26 ft,,48-43,,
4:04.0,,,48-43,,Defensive rebound by D. Augustin
4:01.0,,,48-43,,Shooting foul by J. Harris (drawn by B. Biyombo)
4:01.0,,,48-43,,B. Biyombo misses free throw 1 of 2
