time,Detroit,pts.away,score,pts.home,LA Clippers
4:32.0,Defensive rebound by T. Harris,,47-82,,
4:17.0,K. Caldwell-Pope misses 2-pt shot from 21 ft,,47-82,,
4:14.0,,,47-82,,Defensive rebound by B. Griffin
4:08.0,Shooting block foul by A. Drummond (drawn by B. Griffin),,47-82,,
4:08.0,,,47-82,,B. Griffin misses free throw 1 of 2
4:08.0,,,47-82,,Offensive rebound by Team
4:08.0,,,47-83,1,B. Griffin makes free throw 2 of 2
4:08.0,B. Udrih enters the game for I. Smith,,47-82,,
4:08.0,S. Johnson enters the game for K. Caldwell-Pope,,47-82,,
3:55.0,B. Udrih misses 2-pt shot from 18 ft (block by L. Mbah a Moute),,47-83,,
3:52.0,,,47-83,,Defensive rebound by C. Paul
3:43.0,,,47-86,3,C. Paul makes 3-pt shot from 24 ft
3:29.0,T. Harris misses 2-pt shot from 13 ft,,47-86,,
3:26.0,Offensive rebound by A. Drummond,,47-86,,
3:25.0,A. Drummond misses 2-pt shot from 10 ft,,47-86,,
3:22.0,,,47-86,,Defensive rebound by L. Mbah a Moute
3:17.0,,,47-86,,C. Paul misses 2-pt shot from 15 ft
3:14.0,Defensive rebound by A. Drummond,,47-86,,
3:08.0,J. Leuer misses 2-pt shot from 18 ft,,47-86,,
3:05.0,,,47-86,,Defensive rebound by D. Jordan
2:55.0,Personal foul by J. Leuer (drawn by B. Griffin),,47-86,,
2:55.0,,,47-86,,LA Clippers full timeout
2:55.0,,,47-86,,J. Crawford enters the game for L. Mbah a Moute
2:55.0,,,47-86,,A. Rivers enters the game for J. Redick
2:55.0,,,47-86,,R. Felton enters the game for C. Paul
2:55.0,A. Baynes enters the game for A. Drummond,,47-86,,
2:46.0,,,47-86,,Turnover by R. Felton (bad pass; steal by B. Udrih)
2:37.0,J. Leuer misses 3-pt shot from 27 ft,,47-86,,
2:36.0,,,47-86,,Defensive rebound by B. Griffin
2:28.0,,,47-88,2,D. Jordan makes 2-pt shot at rim (assist by B. Griffin)
2:15.0,Turnover by J. Leuer (bad pass; steal by J. Crawford),,47-88,,
1:58.0,,,47-88,,J. Crawford misses 3-pt shot from 27 ft
1:57.0,Defensive rebound by S. Johnson,,47-88,,
1:48.0,B. Udrih makes 3-pt shot from 26 ft (assist by S. Johnson),3,50-88,,
1:21.0,,,50-88,,R. Felton misses 2-pt shot from 21 ft
1:18.0,Defensive rebound by A. Baynes,,50-88,,
1:12.0,Shooting foul by R. Felton (drawn by S. Johnson),,50-88,,
1:12.0,S. Johnson misses free throw 1 of 2,,50-88,,
1:12.0,Offensive rebound by Team,,50-88,,
1:12.0,S. Johnson makes free throw 2 of 2,1,51-88,,
1:12.0,,,50-88,,M. Speights enters the game for D. Jordan
1:12.0,,,50-88,,W. Johnson enters the game for B. Griffin
0:57.0,,,51-91,3,A. Rivers makes 3-pt shot from 25 ft (assist by R. Felton)
0:44.0,A. Baynes misses 2-pt shot from 14 ft,,51-91,,
0:42.0,Offensive rebound by J. Leuer,,51-91,,
0:39.0,J. Leuer makes 2-pt shot from 3 ft,2,53-91,,
0:32.0,,,53-91,,W. Johnson misses 3-pt shot from 26 ft
0:30.0,Defensive rebound by S. Johnson,,53-91,,
0:24.0,S. Johnson misses 2-pt shot from 18 ft,,53-91,,
0:20.0,,,53-91,,Defensive rebound by W. Johnson
0:02.0,,,53-91,,Turnover by A. Rivers (lost ball; steal by S. Johnson)
0:00.0,End of 3rd quarter,,,,End of 3rd quarter
12:00.0,Start of 4th quarter,,,,Start of 4th quarter
11:48.0,B. Udrih misses 2-pt shot from 17 ft,,53-91,,
11:46.0,,,53-91,,Defensive rebound by W. Johnson
11:26.0,,,53-91,,Shooting foul by B. Udrih (drawn by R. Felton)
11:26.0,,,53-92,1,R. Felton makes free throw 1 of 3
11:26.0,,,53-92,,R. Felton misses free throw 2 of 3
11:26.0,,,53-92,,Offensive rebound by Team
11:26.0,,,53-93,1,R. Felton makes free throw 3 of 3
11:12.0,J. Leuer makes 3-pt shot from 28 ft (assist by D. Hilliard),3,56-93,,
10:57.0,,,56-96,3,W. Johnson makes 3-pt shot from 25 ft (assist by A. Rivers)
10:39.0,J. Leuer misses 3-pt shot from 24 ft,,56-96,,
10:38.0,,,56-96,,Defensive rebound by M. Speights
10:28.0,,,56-96,,W. Johnson misses 3-pt shot from 28 ft
10:27.0,Defensive rebound by D. Hilliard,,56-96,,
10:25.0,,,56-96,,Personal foul by J. Crawford (drawn by D. Hilliard)
10:14.0,D. Hilliard misses 3-pt shot from 23 ft,,56-96,,
10:10.0,,,56-96,,Defensive rebound by W. Johnson
10:02.0,,,56-96,,M. Speights misses 2-pt shot from 12 ft
10:01.0,Defensive rebound by J. Leuer,,56-96,,
9:55.0,Shooting foul by R. Felton (drawn by B. Udrih),,56-96,,
9:55.0,B. Udrih makes free throw 1 of 2,1,57-96,,
9:55.0,B. Udrih makes free throw 2 of 2,1,58-96,,
9:37.0,,,58-98,2,A. Rivers makes 2-pt shot from 3 ft
9:22.0,S. Johnson misses 3-pt shot from 26 ft,,58-98,,
9:20.0,Offensive rebound by S. Johnson,,58-98,,
9:13.0,B. Udrih misses 2-pt shot from 16 ft (block by R. Felton),,58-98,,
9:09.0,,,58-98,,Defensive rebound by J. Crawford
9:00.0,,,58-98,,A. Rivers misses 2-pt shot at rim
8:56.0,Defensive rebound by J. Leuer,,58-98,,
8:51.0,A. Baynes makes 2-pt shot from 5 ft (assist by J. Leuer),2,60-98,,
8:51.0,Shooting foul by M. Speights (drawn by A. Baynes),,60-98,,
8:51.0,Official timeout,,60-98,,
8:51.0,A. Baynes misses free throw 1 of 1,,60-98,,
8:51.0,,,60-98,,B. Bass enters the game for W. Johnson
8:48.0,,,60-98,,Defensive rebound by M. Speights
8:30.0,,,60-98,,Turnover by R. Felton (bad pass; steal by A. Baynes)
8:25.0,Shooting foul by M. Speights (drawn by J. Leuer),,60-98,,
8:25.0,J. Leuer makes free throw 1 of 2,1,61-98,,
8:25.0,J. Leuer misses free throw 2 of 2,,61-98,,
8:25.0,B. Marjanovic enters the game for A. Baynes,,61-98,,
8:24.0,,,61-98,,Defensive rebound by B. Bass
8:09.0,,,61-98,,B. Bass misses 2-pt shot from 17 ft
8:06.0,Defensive rebound by J. Leuer,,61-98,,
8:06.0,Jump ball: J. Leuer vs. M. Speights (B. Udrih gains possession),,,,Jump ball: J. Leuer vs. M. Speights (B. Udrih gains possession)
7:55.0,Shooting foul by R. Felton (drawn by D. Hilliard),,61-98,,
7:55.0,D. Hilliard makes free throw 1 of 2,1,62-98,,
7:55.0,D. Hilliard makes free throw 2 of 2,1,63-98,,
7:36.0,,,63-100,2,B. Bass makes 2-pt shot from 17 ft (assist by A. Rivers)
7:19.0,B. Marjanovic misses 2-pt shot from 7 ft,,63-100,,
7:17.0,,,63-100,,Defensive rebound by M. Speights
7:08.0,,,63-102,2,A. Rivers makes 2-pt shot from 18 ft
7:01.0,Detroit full timeout,,63-102,,
7:01.0,,,63-102,,W. Johnson enters the game for J. Crawford
6:55.0,B. Marjanovic misses 2-pt shot from 7 ft,,63-102,,
6:52.0,,,63-102,,Defensive rebound by A. Rivers
6:37.0,,,63-104,2,R. Felton makes 2-pt shot from 12 ft (assist by B. Bass)
6:20.0,J. Leuer misses 2-pt shot from 9 ft,,63-104,,
6:18.0,,,63-104,,Defensive rebound by Team
6:18.0,Loose ball foul by B. Marjanovic (drawn by M. Speights),,63-104,,
5:59.0,,,63-106,2,M. Speights makes 2-pt shot from 19 ft (assist by A. Rivers)
5:38.0,Shooting foul by M. Speights (drawn by B. Marjanovic),,63-106,,
5:38.0,B. Marjanovic makes free throw 1 of 2,1,64-106,,
5:38.0,B. Marjanovic makes free throw 2 of 2,1,65-106,,
5:22.0,,,65-106,,M. Speights misses 2-pt shot from 13 ft
5:22.0,Defensive rebound by Team,,65-106,,
5:11.0,S. Johnson makes 3-pt shot from 26 ft (assist by B. Udrih),3,68-106,,
4:54.0,,,68-108,2,A. Rivers makes 2-pt shot from 16 ft
4:34.0,B. Udrih misses 2-pt shot from 4 ft,,68-108,,
4:34.0,Offensive rebound by B. Marjanovic,,68-108,,
4:34.0,Shooting foul by B. Bass (drawn by B. Marjanovic),,68-108,,
4:34.0,B. Marjanovic makes free throw 1 of 2,1,69-108,,
4:34.0,B. Marjanovic makes free throw 2 of 2,1,70-108,,
4:15.0,,,70-108,,B. Bass misses 2-pt shot from 15 ft
4:13.0,Defensive rebound by B. Udrih,,70-108,,
4:06.0,B. Udrih misses 2-pt shot from 2 ft (block by B. Bass),,70-108,,
4:03.0,,,70-108,,Defensive rebound by R. Felton
4:00.0,,,70-110,2,B. Bass makes 2-pt shot at rim (assist by M. Speights)
3:45.0,S. Johnson makes 2-pt shot from 15 ft,2,72-110,,
3:17.0,,,72-112,2,B. Bass makes 2-pt shot at rim (assist by A. Rivers)
3:03.0,S. Johnson makes 2-pt shot from 14 ft,2,74-112,,
2:50.0,Personal foul by S. Johnson (drawn by A. Rivers),,74-112,,
2:50.0,,,74-112,,LA Clippers full timeout
2:37.0,,,74-112,,M. Speights misses 3-pt shot from 27 ft
2:37.0,Defensive rebound by Team,,74-112,,
2:26.0,B. Marjanovic makes 2-pt shot from 2 ft (assist by D. Hilliard),2,76-112,,
2:26.0,Shooting foul by M. Speights (drawn by B. Marjanovic),,76-112,,
2:26.0,B. Marjanovic makes free throw 1 of 1,1,77-112,,
2:26.0,,,76-112,,J. Crawford enters the game for M. Speights
2:09.0,,,77-114,2,A. Rivers makes 2-pt shot from 11 ft
1:51.0,D. Hilliard misses 2-pt shot from 9 ft,,77-114,,
1:50.0,,,77-114,,Defensive rebound by A. Rivers
