time,Toronto,pts.away,score,pts.home,New Orleans
10:05.0,,,47-48,,Defensive rebound by D. Cunningham
9:50.0,,,47-48,,D. Cunningham misses 3-pt shot from 24 ft
9:49.0,Defensive rebound by J. Valanciunas,,47-48,,
9:43.0,C. Joseph makes 3-pt shot from 25 ft (assist by D. DeRozan),3,50-48,,
9:30.0,,,50-48,,Turnover by S. Hill (bad pass; steal by C. Joseph)
9:22.0,C. Joseph makes 2-pt shot from 2 ft,2,52-48,,
9:15.0,,,52-48,,J. Holiday misses 2-pt shot from 14 ft (block by J. Valanciunas)
9:13.0,Defensive rebound by S. Ibaka,,52-48,,
9:02.0,P. Tucker makes 2-pt shot from 2 ft (assist by D. DeRozan),2,54-48,,
9:01.0,,,54-48,,New Orleans full timeout
8:46.0,,,54-51,3,J. Holiday makes 3-pt shot from 25 ft (assist by S. Hill)
8:25.0,Shooting foul by H. Thompson (drawn by J. Valanciunas),,54-51,,
8:25.0,J. Valanciunas makes free throw 1 of 2,1,55-51,,
8:25.0,J. Valanciunas misses free throw 2 of 2,,55-51,,
8:24.0,,,55-51,,Defensive rebound by D. Cousins
8:13.0,,,55-53,2,H. Thompson makes 2-pt shot from 6 ft (assist by J. Holiday)
8:02.0,S. Ibaka misses 2-pt shot from 15 ft,,55-53,,
7:59.0,,,55-53,,Defensive rebound by D. Cunningham
7:47.0,,,55-53,,Turnover by D. Cousins (bad pass; steal by D. DeRozan)
7:37.0,S. Ibaka makes 2-pt shot from 13 ft (assist by D. DeRozan),2,57-53,,
7:23.0,,,57-53,,S. Hill misses 3-pt shot from 25 ft
7:22.0,Defensive rebound by S. Ibaka,,57-53,,
7:14.0,D. DeRozan makes 2-pt shot from 2 ft,2,59-53,,
7:14.0,Shooting foul by D. Cousins (drawn by D. DeRozan),,59-53,,
7:14.0,D. DeRozan makes free throw 1 of 1,1,60-53,,
7:01.0,,,60-53,,D. Cunningham misses 2-pt shot from 3 ft
6:59.0,,,60-53,,Offensive rebound by D. Cunningham
6:57.0,,,60-55,2,D. Cunningham makes 2-pt shot from 2 ft
6:45.0,Turnover by P. Tucker (bad pass; steal by D. Cunningham),,60-55,,
6:42.0,,,60-57,2,D. Cunningham makes 2-pt shot at rim
6:14.0,C. Joseph misses 3-pt shot from 24 ft,,60-57,,
6:13.0,,,60-57,,Defensive rebound by S. Hill
6:01.0,Shooting block foul by J. Valanciunas (drawn by D. Cousins),,60-57,,
6:01.0,,,60-57,,D. Cousins misses free throw 1 of 2
6:01.0,,,60-57,,Offensive rebound by Team
6:01.0,,,60-58,1,D. Cousins makes free throw 2 of 2
5:47.0,,,60-58,,Violation by D. Cousins (kicked ball)
5:37.0,Turnover by J. Valanciunas (lost ball; steal by J. Holiday),,60-58,,
5:27.0,,,60-58,,Turnover by D. Cousins (lost ball; steal by S. Ibaka)
5:24.0,D. DeRozan makes 2-pt shot from 1 ft (assist by S. Ibaka),2,62-58,,
5:08.0,,,62-58,,D. Cousins misses 2-pt shot from 1 ft (block by S. Ibaka)
5:06.0,Defensive rebound by J. Valanciunas,,62-58,,
5:01.0,C. Joseph misses 3-pt shot from 27 ft,,62-58,,
5:00.0,,,62-58,,Defensive rebound by H. Thompson
4:47.0,Personal block foul by J. Valanciunas (drawn by J. Holiday),,62-58,,
4:47.0,,,62-58,,E. Moore enters the game for H. Thompson
4:47.0,,,62-58,,A. Ajinca enters the game for D. Cousins
4:47.0,P. Patterson enters the game for J. Valanciunas,,62-58,,
4:47.0,N. Powell enters the game for P. Tucker,,62-58,,
4:47.0,,,62-58,,D. Motiejunas enters the game for D. Cunningham
4:36.0,,,62-58,,J. Holiday misses 3-pt shot from 27 ft
4:35.0,Defensive rebound by C. Joseph,,62-58,,
4:23.0,S. Ibaka makes 2-pt shot from 17 ft (assist by C. Joseph),2,64-58,,
4:13.0,Personal foul by C. Joseph (drawn by S. Hill),,64-58,,
4:04.0,,,64-58,,D. Motiejunas misses 2-pt shot from 2 ft (block by S. Ibaka)
4:04.0,,,64-58,,Offensive rebound by D. Motiejunas
3:56.0,,,64-58,,E. Moore misses 2-pt shot from 18 ft
3:54.0,,,64-58,,Offensive rebound by A. Ajinca
3:50.0,,,64-60,2,A. Ajinca makes 2-pt shot from 2 ft
3:44.0,Toronto full timeout,,64-60,,
3:31.0,D. DeRozan makes 2-pt shot from 16 ft,2,66-60,,
3:19.0,,,66-60,,D. Motiejunas misses 3-pt shot from 26 ft
3:17.0,Defensive rebound by Team,,66-60,,
3:08.0,D. DeRozan misses 2-pt shot from 18 ft,,66-60,,
3:07.0,,,66-60,,Defensive rebound by D. Motiejunas
2:52.0,,,66-60,,Turnover by J. Holiday (bad pass)
2:32.0,S. Ibaka misses 2-pt shot from 14 ft,,66-60,,
2:31.0,,,66-60,,Defensive rebound by D. Motiejunas
2:21.0,,,66-60,,S. Hill misses 3-pt shot from 23 ft
2:20.0,Defensive rebound by N. Powell,,66-60,,
2:12.0,D. Wright enters the game for C. Joseph,,66-60,,
2:12.0,,,66-60,,T. Frazier enters the game for J. Holiday
2:08.0,Shooting foul by D. Motiejunas (drawn by D. DeRozan),,66-60,,
2:08.0,D. DeRozan makes free throw 1 of 2,1,67-60,,
2:08.0,D. DeRozan makes free throw 2 of 2,1,68-60,,
2:08.0,J. Poeltl enters the game for S. Ibaka,,67-60,,
2:08.0,,,67-60,,J. Crawford enters the game for S. Hill
1:58.0,,,68-62,2,E. Moore makes 2-pt shot from 5 ft (assist by T. Frazier)
1:31.0,P. Patterson misses 3-pt shot from 26 ft,,68-62,,
1:30.0,Offensive rebound by D. Wright,,68-62,,
1:29.0,N. Powell misses 3-pt shot from 26 ft,,68-62,,
1:27.0,,,68-62,,Defensive rebound by Team
1:27.0,Loose ball foul by D. Wright (drawn by J. Crawford),,68-62,,
1:17.0,,,68-62,,E. Moore misses 3-pt shot from 25 ft
1:16.0,,,68-62,,Offensive rebound by Team
1:16.0,,,68-62,,D. Cousins enters the game for A. Ajinca
1:16.0,P. Tucker enters the game for D. DeRozan,,68-62,,
1:03.0,,,68-62,,E. Moore misses 2-pt shot from 10 ft
1:02.0,,,68-62,,Offensive rebound by D. Motiejunas
1:02.0,,,68-62,,D. Motiejunas misses 2-pt shot from 3 ft
1:00.0,Defensive rebound by N. Powell,,68-62,,
0:54.0,D. Wright misses 2-pt shot at rim,,68-62,,
0:52.0,,,68-62,,Defensive rebound by T. Frazier
0:39.0,,,68-64,2,E. Moore makes 2-pt shot from 2 ft
0:11.0,P. Tucker misses 2-pt shot from 18 ft,,68-64,,
0:10.0,,,68-64,,Defensive rebound by D. Cousins
0:00.0,,,68-64,,E. Moore misses 2-pt shot from 3 ft
0:00.0,,,68-64,,Offensive rebound by Team
0:00.0,End of 3rd quarter,,,,End of 3rd quarter
12:00.0,Start of 4th quarter,,,,Start of 4th quarter
11:47.0,,,68-64,,D. Cousins misses 2-pt shot from 2 ft
11:46.0,,,68-64,,Offensive rebound by D. Motiejunas
11:45.0,Personal foul by F. VanVleet (drawn by D. Motiejunas),,68-64,,
11:37.0,Personal foul by P. Patterson (drawn by D. Motiejunas),,68-64,,
11:27.0,,,68-64,,D. Cousins misses 2-pt shot from 2 ft
11:25.0,Defensive rebound by J. Valanciunas,,68-64,,
11:20.0,F. VanVleet misses 2-pt shot from 3 ft (block by D. Motiejunas),,68-64,,
11:18.0,Offensive rebound by J. Valanciunas,,68-64,,
11:17.0,J. Valanciunas makes 2-pt shot from 1 ft,2,70-64,,
11:04.0,,,70-67,3,D. Cousins makes 3-pt shot from 26 ft (assist by J. Crawford)
10:49.0,,,70-67,,Personal foul by D. Cousins (drawn by N. Powell)
10:43.0,F. VanVleet makes 2-pt shot from 1 ft,2,72-67,,
10:36.0,,,72-67,,Turnover by T. Frazier (lost ball)
10:28.0,Shooting foul by D. Cousins (drawn by J. Valanciunas),,72-67,,
10:28.0,J. Valanciunas misses free throw 1 of 2,,72-67,,
10:28.0,Offensive rebound by Team,,72-67,,
10:28.0,J. Valanciunas makes free throw 2 of 2,1,73-67,,
10:28.0,,,72-67,,D. Cunningham enters the game for D. Motiejunas
10:16.0,,,73-70,3,J. Crawford makes 3-pt shot from 25 ft (assist by D. Cousins)
9:50.0,N. Powell makes 3-pt shot from 25 ft,3,76-70,,
9:30.0,,,76-72,2,E. Moore makes 2-pt shot from 23 ft (assist by D. Cunningham)
9:05.0,Offensive charge foul by J. Valanciunas,,76-72,,
9:05.0,Turnover by J. Valanciunas (offensive foul),,76-72,,
8:53.0,,,76-74,2,D. Cunningham makes 2-pt shot from 1 ft (assist by T. Frazier)
8:34.0,P. Patterson makes 2-pt shot from 16 ft (assist by P. Tucker),2,78-74,,
8:22.0,,,78-76,2,J. Crawford makes 2-pt shot from 12 ft
8:03.0,Turnover by N. Powell (bad pass; steal by D. Cousins),,78-76,,
7:59.0,,,78-78,2,T. Frazier makes 2-pt shot from 1 ft (assist by J. Crawford)
7:59.0,Toronto full timeout,,78-78,,
7:59.0,S. Ibaka enters the game for J. Valanciunas,,78-78,,
7:59.0,D. DeRozan enters the game for N. Powell,,78-78,,
7:59.0,C. Joseph enters the game for F. VanVleet,,78-78,,
7:36.0,C. Joseph makes 2-pt shot from 2 ft,2,80-78,,
7:12.0,,,80-78,,Shooting foul by S. Ibaka (drawn by D. Cousins)
7:12.0,,,80-79,1,D. Cousins makes free throw 1 of 2
7:12.0,,,80-80,1,D. Cousins makes free throw 2 of 2
7:12.0,,,80-79,,J. Holiday enters the game for T. Frazier
7:00.0,S. Ibaka makes 3-pt shot from 26 ft (assist by D. DeRozan),3,83-80,,
6:43.0,,,83-80,,J. Crawford misses 3-pt shot from 26 ft
6:42.0,,,83-80,,Offensive rebound by D. Cousins
6:37.0,,,83-80,,Shooting foul by P. Tucker (drawn by D. Cousins)
6:37.0,,,83-81,1,D. Cousins makes free throw 1 of 2
6:37.0,,,83-82,1,D. Cousins makes free throw 2 of 2
6:18.0,D. DeRozan misses 2-pt shot from 18 ft,,83-82,,
6:16.0,,,83-82,,Defensive rebound by D. Cousins
6:06.0,,,83-82,,D. Cousins misses 3-pt shot from 26 ft
6:05.0,Defensive rebound by P. Tucker,,83-82,,
5:55.0,S. Ibaka misses 3-pt shot from 25 ft,,83-82,,
5:54.0,,,83-82,,Defensive rebound by J. Crawford
5:42.0,Official timeout,,83-82,,
5:37.0,,,83-82,,D. Cousins misses 2-pt shot from 12 ft
5:36.0,Defensive rebound by S. Ibaka,,83-82,,
5:12.0,Turnover by P. Patterson (lost ball; steal by J. Holiday),,83-82,,
5:05.0,,,83-84,2,E. Moore makes 2-pt shot from 2 ft (assist by J. Holiday)
4:48.0,P. Patterson makes 3-pt shot from 26 ft (assist by C. Joseph),3,86-84,,
4:32.0,,,86-84,,Offensive charge foul by D. Cousins
4:32.0,,,86-84,,Turnover by D. Cousins (offensive foul)
4:32.0,J. Valanciunas enters the game for P. Patterson,,86-84,,
4:11.0,C. Joseph misses 3-pt shot from 25 ft,,86-84,,
4:10.0,,,86-84,,Defensive rebound by J. Crawford
4:00.0,,,86-84,,D. Cousins misses 2-pt shot from 3 ft
3:59.0,Defensive rebound by J. Valanciunas,,86-84,,
3:43.0,J. Valanciunas makes 2-pt shot from 17 ft (assist by C. Joseph),2,88-84,,
3:41.0,,,88-84,,New Orleans full timeout
3:24.0,,,88-84,,D. Cousins misses 2-pt shot from 1 ft (block by S. Ibaka)
3:24.0,Defensive rebound by J. Valanciunas,,88-84,,
3:14.0,S. Ibaka misses 3-pt shot from 26 ft,,88-84,,
3:14.0,,,88-84,,Defensive rebound by E. Moore
3:02.0,,,88-84,,J. Holiday misses 3-pt shot from 24 ft
3:00.0,Defensive rebound by J. Valanciunas,,88-84,,
2:38.0,C. Joseph misses 3-pt shot from 26 ft,,88-84,,
2:36.0,Offensive rebound by D. DeRozan,,88-84,,
2:20.0,J. Valanciunas makes 2-pt shot from 2 ft (assist by D. DeRozan),2,90-84,,
