time,New York,pts.away,score,pts.home,Charlotte
3:30.0,D. Rose misses 2-pt shot from 10 ft (block by R. Hibbert),,9-24,,
3:26.0,Offensive rebound by D. Rose,,9-24,,
3:24.0,W. Hernangomez makes 2-pt shot from 1 ft (assist by D. Rose),2,11-24,,
3:15.0,,,11-27,3,K. Walker makes 3-pt shot from 25 ft
3:00.0,D. Rose makes 2-pt shot from 1 ft,2,13-27,,
2:47.0,,,13-27,,K. Walker misses 2-pt shot from 1 ft (block by W. Hernangomez)
2:45.0,Defensive rebound by J. Holiday,,13-27,,
2:45.0,Turnover by J. Holiday (bad pass),,13-27,,
2:45.0,,,13-27,,Charlotte full timeout
2:45.0,,,13-27,,R. Sessions enters the game for F. Kaminsky
2:45.0,,,13-27,,S. Hawes enters the game for K. Walker
2:45.0,B. Jennings enters the game for D. Rose,,13-27,,
2:39.0,,,13-27,,J. Lamb misses 2-pt shot from 17 ft
2:35.0,,,13-27,,Offensive rebound by R. Hibbert
2:32.0,,,13-29,2,J. Lamb makes 2-pt shot from 1 ft (assist by R. Hibbert)
2:18.0,K. Porzingis misses 2-pt shot from 7 ft,,13-29,,
2:17.0,,,13-29,,Defensive rebound by J. Lamb
2:06.0,,,13-31,2,S. Hawes makes 2-pt shot from 19 ft
1:48.0,Turnover by W. Hernangomez (bad pass; steal by J. Lamb),,13-31,,
1:40.0,Personal foul by W. Hernangomez (drawn by R. Hibbert),,13-31,,
1:40.0,,,13-32,1,R. Hibbert makes free throw 1 of 2
1:40.0,,,13-33,1,R. Hibbert makes free throw 2 of 2
1:28.0,K. Porzingis makes 2-pt shot from 10 ft (assist by W. Hernangomez),2,15-33,,
0:58.0,,,15-36,3,S. Hawes makes 3-pt shot from 25 ft (assist by R. Sessions)
0:51.0,M. Kuzminskas misses 2-pt shot from 2 ft (block by S. Hawes),,15-36,,
0:48.0,Offensive rebound by W. Hernangomez,,15-36,,
0:47.0,W. Hernangomez makes 2-pt shot from 4 ft,2,17-36,,
0:43.0,,,17-36,,Turnover by S. Hawes (bad pass; steal by B. Jennings)
0:43.0,Shooting foul by S. Hawes (drawn by K. Porzingis),,17-36,,
0:43.0,K. Porzingis makes free throw 1 of 2,1,18-36,,
0:43.0,K. Porzingis makes free throw 2 of 2,1,19-36,,
0:43.0,S. Vujacic enters the game for M. Kuzminskas,,18-36,,
0:31.0,,,19-38,2,R. Hibbert makes 2-pt shot from 5 ft (assist by S. Hawes)
0:21.0,W. Hernangomez makes 2-pt shot from 16 ft (assist by B. Jennings),2,21-38,,
0:07.0,,,21-38,,Turnover by R. Sessions (lost ball; steal by B. Jennings)
0:03.0,Shooting foul by R. Hibbert (drawn by K. Porzingis),,21-38,,
0:03.0,K. Porzingis misses free throw 1 of 2,,21-38,,
0:03.0,Offensive rebound by Team,,21-38,,
0:03.0,K. Porzingis makes free throw 2 of 2,1,22-38,,
0:00.0,,,22-38,,J. Lamb misses 3-pt shot from 35 ft
0:00.0,,,22-38,,Offensive rebound by Team
0:00.0,End of 1st quarter,,,,End of 1st quarter
12:00.0,Start of 2nd quarter,,,,Start of 2nd quarter
11:51.0,S. Vujacic misses 3-pt shot from 25 ft,,22-38,,
11:50.0,,,22-38,,Defensive rebound by J. Lamb
11:38.0,,,22-38,,R. Hibbert misses 2-pt shot from 9 ft
11:37.0,Defensive rebound by W. Hernangomez,,22-38,,
11:25.0,B. Jennings misses 3-pt shot from 25 ft,,22-38,,
11:24.0,,,22-38,,Defensive rebound by M. Belinelli
11:12.0,,,22-38,,S. Hawes misses 3-pt shot from 24 ft
11:11.0,Defensive rebound by J. Holiday,,22-38,,
11:03.0,W. Hernangomez misses 2-pt shot from 2 ft (block by R. Hibbert),,22-38,,
11:01.0,,,22-38,,Defensive rebound by R. Hibbert
10:48.0,,,22-38,,Shooting foul by W. Hernangomez (drawn by R. Sessions)
10:48.0,,,22-38,,R. Sessions misses free throw 1 of 2
10:48.0,,,22-38,,Offensive rebound by Team
10:48.0,,,22-39,1,R. Sessions makes free throw 2 of 2
10:48.0,K. O'Quinn enters the game for W. Hernangomez,,22-38,,
10:35.0,K. O'Quinn makes 2-pt shot from 17 ft (assist by J. Holiday),2,24-39,,
10:17.0,,,24-39,,J. Lamb misses 2-pt shot from 2 ft
10:16.0,Defensive rebound by K. O'Quinn,,24-39,,
10:11.0,J. Holiday makes 2-pt shot at rim (assist by B. Jennings),2,26-39,,
9:57.0,,,26-39,,Shooting foul by K. Porzingis (drawn by R. Sessions)
9:57.0,,,26-39,,R. Sessions misses free throw 1 of 2
9:57.0,,,26-39,,Offensive rebound by Team
9:57.0,,,26-40,1,R. Sessions makes free throw 2 of 2
9:50.0,,,26-40,,Violation by R. Hibbert (def goaltending)
9:50.0,B. Jennings makes 2-pt shot from 1 ft,2,28-40,,
9:36.0,,,28-40,,R. Sessions misses 3-pt shot from 25 ft
9:35.0,Defensive rebound by K. O'Quinn,,28-40,,
9:25.0,Shooting foul by S. Hawes (drawn by K. Porzingis),,28-40,,
9:25.0,K. Porzingis makes free throw 1 of 2,1,29-40,,
9:25.0,K. Porzingis misses free throw 2 of 2,,29-40,,
9:23.0,,,29-40,,Defensive rebound by R. Hibbert
9:16.0,Violation by B. Jennings (kicked ball),,29-40,,
9:08.0,,,29-40,,J. Lamb misses 2-pt shot from 16 ft
9:07.0,Defensive rebound by S. Vujacic,,29-40,,
8:58.0,B. Jennings makes 2-pt shot from 1 ft,2,31-40,,
8:58.0,Shooting foul by R. Sessions (drawn by B. Jennings),,31-40,,
8:58.0,Official timeout,,31-40,,
8:58.0,B. Jennings misses free throw 1 of 1,,31-40,,
8:58.0,,,31-40,,K. Walker enters the game for R. Sessions
8:53.0,,,31-40,,Defensive rebound by S. Hawes
8:51.0,Personal foul by B. Jennings (drawn by K. Walker),,31-40,,
8:35.0,,,31-40,,S. Hawes misses 3-pt shot from 25 ft
8:34.0,Defensive rebound by J. Holiday,,31-40,,
8:23.0,K. Porzingis misses 2-pt shot from 3 ft (block by K. Walker),,31-40,,
8:23.0,Offensive rebound by Team,,31-40,,
8:23.0,,,31-40,,F. Kaminsky enters the game for S. Hawes
8:16.0,B. Jennings misses 2-pt shot from 17 ft,,31-40,,
8:15.0,,,31-40,,Defensive rebound by J. Lamb
7:56.0,,,31-42,2,K. Walker makes 2-pt shot from 1 ft
7:49.0,J. Holiday misses 2-pt shot from 14 ft,,31-42,,
7:47.0,,,31-42,,Defensive rebound by M. Belinelli
7:37.0,,,31-42,,Turnover by R. Hibbert (bad pass; steal by B. Jennings)
7:32.0,S. Vujacic misses 3-pt shot from 25 ft,,31-42,,
7:29.0,,,31-42,,Defensive rebound by J. Lamb
7:20.0,,,31-42,,Shooting foul by K. O'Quinn (drawn by K. Walker)
7:20.0,,,31-43,1,K. Walker makes free throw 1 of 2
7:20.0,,,31-44,1,K. Walker makes free throw 2 of 2
7:20.0,,,31-43,,C. Zeller enters the game for R. Hibbert
7:03.0,K. Porzingis makes 2-pt shot from 19 ft (assist by K. O'Quinn),2,33-44,,
6:42.0,,,33-44,,C. Zeller misses 2-pt shot from 19 ft
6:41.0,Defensive rebound by K. Porzingis,,33-44,,
6:37.0,Shooting foul by C. Zeller (drawn by K. Porzingis),,33-44,,
6:37.0,K. Porzingis makes free throw 1 of 2,1,34-44,,
6:37.0,K. Porzingis makes free throw 2 of 2,1,35-44,,
6:37.0,,,34-44,,M. Kidd-Gilchrist enters the game for J. Lamb
6:37.0,C. Anthony enters the game for J. Holiday,,34-44,,
6:37.0,C. Lee enters the game for S. Vujacic,,34-44,,
6:27.0,Personal foul by B. Jennings (drawn by K. Walker),,35-44,,
6:27.0,,,35-44,,K. Walker misses free throw 1 of 2
6:27.0,,,35-44,,Offensive rebound by Team
6:27.0,,,35-45,1,K. Walker makes free throw 2 of 2
6:08.0,C. Anthony makes 2-pt shot from 12 ft (assist by B. Jennings),2,37-45,,
5:52.0,,,37-47,2,K. Walker makes 2-pt shot from 1 ft
5:30.0,Turnover by C. Anthony (traveling),,37-47,,
5:30.0,,,37-47,,Charlotte full timeout
5:30.0,D. Rose enters the game for K. Porzingis,,37-47,,
5:10.0,,,37-49,2,F. Kaminsky makes 2-pt shot from 1 ft (assist by M. Belinelli)
4:43.0,B. Jennings misses 2-pt shot from 19 ft,,37-49,,
4:42.0,,,37-49,,Defensive rebound by M. Kidd-Gilchrist
4:33.0,,,37-49,,Turnover by M. Kidd-Gilchrist (lost ball; steal by B. Jennings)
4:32.0,Shooting foul by M. Belinelli (drawn by D. Rose),,37-49,,
4:32.0,D. Rose makes free throw 1 of 2,1,38-49,,
4:32.0,D. Rose makes free throw 2 of 2,1,39-49,,
4:32.0,,,38-49,,B. Roberts enters the game for C. Zeller
4:09.0,,,39-52,3,M. Belinelli makes 3-pt shot from 28 ft
3:53.0,C. Anthony misses 3-pt shot from 25 ft,,39-52,,
3:51.0,Offensive rebound by K. O'Quinn,,39-52,,
3:45.0,D. Rose makes 2-pt shot from 17 ft (assist by K. O'Quinn),2,41-52,,
3:34.0,,,41-52,,K. Walker misses 2-pt shot at rim (block by D. Rose)
3:32.0,Defensive rebound by C. Anthony,,41-52,,
3:26.0,C. Anthony makes 3-pt shot from 25 ft (assist by B. Jennings),3,44-52,,
3:20.0,,,44-52,,Charlotte full timeout
3:20.0,,,44-52,,J. Lamb enters the game for M. Belinelli
3:03.0,,,44-54,2,M. Kidd-Gilchrist makes 2-pt shot from 1 ft
2:46.0,C. Anthony makes 2-pt shot from 1 ft (assist by K. O'Quinn),2,46-54,,
2:23.0,,,46-54,,F. Kaminsky misses 3-pt shot from 25 ft
2:22.0,Defensive rebound by C. Lee,,46-54,,
2:17.0,Shooting foul by F. Kaminsky (drawn by D. Rose),,46-54,,
2:17.0,New York full timeout,,46-54,,
2:17.0,D. Rose misses free throw 1 of 2,,46-54,,
2:17.0,Offensive rebound by Team,,46-54,,
2:17.0,D. Rose makes free throw 2 of 2,1,47-54,,
2:01.0,,,47-54,,F. Kaminsky misses 2-pt shot from 1 ft (block by K. O'Quinn)
2:00.0,Defensive rebound by C. Anthony,,47-54,,
1:53.0,K. O'Quinn misses 2-pt shot from 2 ft,,47-54,,
1:52.0,,,47-54,,Defensive rebound by F. Kaminsky
1:41.0,,,47-54,,B. Roberts misses 2-pt shot from 8 ft
1:40.0,,,47-54,,Offensive rebound by J. Lamb
1:40.0,,,47-56,2,J. Lamb makes 2-pt shot from 1 ft
1:12.0,C. Anthony misses 2-pt shot from 13 ft,,47-56,,
1:11.0,,,47-56,,Defensive rebound by F. Kaminsky
1:00.0,,,47-56,,F. Kaminsky misses 2-pt shot from 6 ft
1:00.0,Defensive rebound by C. Anthony,,47-56,,
0:41.0,Offensive charge foul by B. Jennings,,47-56,,
0:41.0,Turnover by B. Jennings (offensive foul),,47-56,,
0:41.0,K. Porzingis enters the game for K. O'Quinn,,47-56,,
0:29.0,,,47-56,,K. Walker misses 2-pt shot from 1 ft (block by K. Porzingis)
0:27.0,Defensive rebound by C. Anthony,,47-56,,
0:23.0,C. Anthony misses 3-pt shot from 26 ft,,47-56,,
0:20.0,,,47-56,,Defensive rebound by K. Walker
0:00.0,,,47-58,2,K. Walker makes 2-pt shot from 1 ft
0:00.0,End of 2nd quarter,,,,End of 2nd quarter
12:00.0,Start of 3rd quarter,,,,Start of 3rd quarter
11:43.0,C. Anthony misses 2-pt shot from 18 ft,,47-58,,
11:41.0,,,47-58,,Defensive rebound by J. Lamb
11:29.0,,,47-58,,C. Zeller misses 2-pt shot from 10 ft
11:27.0,Defensive rebound by C. Anthony,,47-58,,
11:17.0,C. Lee makes 3-pt shot from 23 ft (assist by D. Rose),3,50-58,,
11:00.0,,,50-58,,J. Lamb misses 2-pt shot from 16 ft
10:59.0,Defensive rebound by K. Porzingis,,50-58,,
10:45.0,K. Porzingis makes 3-pt shot from 25 ft (assist by D. Rose),3,53-58,,
10:28.0,,,53-58,,K. Walker misses 2-pt shot from 13 ft
10:27.0,Defensive rebound by C. Lee,,53-58,,
10:14.0,K. Porzingis misses 2-pt shot from 15 ft,,53-58,,
10:12.0,,,53-58,,Defensive rebound by J. Lamb
10:00.0,,,53-58,,F. Kaminsky misses 3-pt shot from 26 ft
9:59.0,Defensive rebound by J. Noah,,53-58,,
9:48.0,D. Rose misses 2-pt shot from 18 ft,,53-58,,
9:46.0,,,53-58,,Defensive rebound by M. Kidd-Gilchrist
9:39.0,,,53-58,,Turnover by K. Walker (bad pass; steal by D. Rose)
9:30.0,C. Anthony misses 2-pt shot from 16 ft,,53-58,,
9:30.0,,,53-58,,Defensive rebound by Team
9:21.0,,,53-58,,Shooting foul by J. Noah (drawn by C. Zeller)
9:21.0,,,53-59,1,C. Zeller makes free throw 1 of 2
9:21.0,,,53-59,,C. Zeller misses free throw 2 of 2
9:20.0,Defensive rebound by J. Noah,,53-59,,
9:06.0,C. Anthony misses 2-pt shot from 18 ft,,53-59,,
9:05.0,,,53-59,,Defensive rebound by J. Lamb
8:53.0,,,53-61,2,J. Lamb makes 2-pt shot from 15 ft
8:30.0,D. Rose misses 2-pt shot from 7 ft (block by C. Zeller),,53-61,,
8:28.0,,,53-61,,Defensive rebound by F. Kaminsky
8:15.0,,,53-61,,F. Kaminsky misses 2-pt shot from 2 ft
8:14.0,Defensive rebound by C. Anthony,,53-61,,
8:03.0,K. Porzingis makes 2-pt shot at rim (assist by D. Rose),2,55-61,,
8:03.0,Shooting foul by C. Zeller (drawn by K. Porzingis),,55-61,,
8:03.0,K. Porzingis makes free throw 1 of 1,1,56-61,,
7:48.0,,,56-61,,M. Kidd-Gilchrist misses 2-pt shot from 18 ft
7:47.0,Defensive rebound by K. Porzingis,,56-61,,
7:35.0,D. Rose misses 2-pt shot from 2 ft,,56-61,,
7:31.0,Offensive rebound by D. Rose,,56-61,,
7:31.0,D. Rose misses 2-pt shot from 1 ft,,56-61,,
7:29.0,Offensive rebound by D. Rose,,56-61,,
7:29.0,D. Rose misses 2-pt shot from 1 ft,,56-61,,
7:26.0,,,56-61,,Defensive rebound by M. Kidd-Gilchrist
7:24.0,,,56-61,,Shooting foul by K. Porzingis (drawn by C. Zeller)
7:24.0,,,56-61,,C. Zeller misses free throw 1 of 2
7:24.0,,,56-61,,Offensive rebound by Team
7:24.0,,,56-62,1,C. Zeller makes free throw 2 of 2
7:01.0,C. Lee makes 2-pt shot from 17 ft,2,58-62,,
6:40.0,,,58-62,,Shooting foul by K. Porzingis (drawn by M. Kidd-Gilchrist)
6:40.0,,,58-63,1,M. Kidd-Gilchrist makes free throw 1 of 2
6:40.0,,,58-64,1,M. Kidd-Gilchrist makes free throw 2 of 2
6:18.0,D. Rose makes 2-pt shot from 2 ft,2,60-64,,
5:59.0,,,60-64,,C. Zeller misses 2-pt shot from 9 ft
5:56.0,,,60-64,,Offensive rebound by C. Zeller
5:56.0,,,60-66,2,C. Zeller makes 2-pt shot from 5 ft
5:39.0,C. Lee misses 3-pt shot from 23 ft,,60-66,,
5:38.0,,,60-66,,Defensive rebound by M. Kidd-Gilchrist
5:26.0,,,60-68,2,M. Kidd-Gilchrist makes 2-pt shot from 1 ft (assist by F. Kaminsky)
5:26.0,New York full timeout,,60-68,,
5:26.0,K. O'Quinn enters the game for J. Noah,,60-68,,
5:26.0,,,60-68,,M. Belinelli enters the game for J. Lamb
5:05.0,C. Lee makes 3-pt shot from 25 ft (assist by D. Rose),3,63-68,,
4:47.0,,,63-68,,F. Kaminsky misses 2-pt shot from 6 ft
4:46.0,Defensive rebound by K. O'Quinn,,63-68,,
4:27.0,D. Rose misses 2-pt shot from 10 ft,,63-68,,
4:26.0,,,63-68,,Defensive rebound by C. Zeller
4:23.0,,,63-68,,Shooting foul by K. O'Quinn (drawn by C. Zeller)
4:23.0,,,63-69,1,C. Zeller makes free throw 1 of 2
4:23.0,,,63-69,,C. Zeller misses free throw 2 of 2
4:21.0,Defensive rebound by K. Porzingis,,63-69,,
4:07.0,C. Lee misses 3-pt shot from 25 ft,,63-69,,
4:04.0,,,63-69,,Defensive rebound by C. Zeller
3:55.0,,,63-69,,Turnover by F. Kaminsky (bad pass; steal by D. Rose)
3:49.0,K. Porzingis misses 2-pt shot from 1 ft,,63-69,,
3:49.0,Offensive rebound by Team,,63-69,,
3:49.0,,,63-69,,R. Hibbert enters the game for C. Zeller
3:40.0,K. Porzingis makes 3-pt shot from 26 ft (assist by C. Lee),3,66-69,,
3:24.0,,,66-71,2,K. Walker makes 2-pt shot from 19 ft
3:09.0,Shooting foul by M. Kidd-Gilchrist (drawn by C. Anthony),,66-71,,
3:09.0,C. Anthony makes free throw 1 of 2,1,67-71,,
3:09.0,C. Anthony makes free throw 2 of 2,1,68-71,,
3:09.0,B. Jennings enters the game for K. Porzingis,,67-71,,
3:09.0,W. Hernangomez enters the game for D. Rose,,67-71,,
3:09.0,,,67-71,,S. Hawes enters the game for F. Kaminsky
2:54.0,,,68-71,,M. Belinelli misses 2-pt shot from 2 ft
2:53.0,Defensive rebound by C. Anthony,,68-71,,
2:44.0,B. Jennings misses 3-pt shot from 24 ft,,68-71,,
2:43.0,,,68-71,,Defensive rebound by M. Kidd-Gilchrist
2:34.0,,,68-71,,K. Walker misses 3-pt shot from 25 ft
2:33.0,Defensive rebound by K. O'Quinn,,68-71,,
2:13.0,C. Anthony misses 2-pt shot from 3 ft,,68-71,,
2:13.0,Offensive rebound by Team,,68-71,,
2:13.0,,,68-71,,Charlotte full timeout
2:13.0,,,68-71,,R. Sessions enters the game for K. Walker
2:08.0,C. Anthony misses 3-pt shot from 25 ft,,68-71,,
2:07.0,Offensive rebound by W. Hernangomez,,68-71,,
2:02.0,C. Anthony makes 3-pt shot from 25 ft (assist by C. Lee),3,71-71,,
1:42.0,,,71-71,,S. Hawes misses 3-pt shot from 25 ft
1:41.0,Defensive rebound by B. Jennings,,71-71,,
1:29.0,C. Anthony misses 2-pt shot from 18 ft,,71-71,,
1:27.0,,,71-71,,Defensive rebound by S. Hawes
1:17.0,,,71-71,,Turnover by M. Kidd-Gilchrist (lost ball; steal by B. Jennings)
1:11.0,C. Lee misses 2-pt shot from 1 ft,,71-71,,
1:10.0,,,71-71,,Defensive rebound by M. Kidd-Gilchrist
0:57.0,,,71-73,2,M. Belinelli makes 2-pt shot from 22 ft (assist by R. Sessions)
0:36.0,C. Anthony misses 2-pt shot from 1 ft,,71-73,,
0:36.0,,,71-73,,Defensive rebound by Team
0:36.0,Loose ball foul by W. Hernangomez (drawn by R. Hibbert),,71-73,,
0:36.0,,,71-74,1,R. Hibbert makes free throw 1 of 2
0:36.0,,,71-75,1,R. Hibbert makes free throw 2 of 2
0:36.0,K. Porzingis enters the game for K. O'Quinn,,71-74,,
0:25.0,,,71-75,,Personal foul by S. Hawes (drawn by K. Porzingis)
0:14.0,C. Anthony misses 3-pt shot from 29 ft,,71-75,,
0:12.0,,,71-75,,Defensive rebound by Team
0:01.0,,,71-75,,M. Belinelli misses 3-pt shot from 26 ft
0:00.0,Defensive rebound by W. Hernangomez,,71-75,,
0:00.0,End of 3rd quarter,,,,End of 3rd quarter
12:00.0,Start of 4th quarter,,,,Start of 4th quarter
11:39.0,,,71-77,2,J. Lamb makes 2-pt shot from 19 ft
11:19.0,K. Porzingis misses 2-pt shot from 18 ft,,71-77,,
11:18.0,,,71-77,,Defensive rebound by K. Walker
10:59.0,,,71-77,,Turnover by R. Sessions (bad pass; steal by M. Kuzminskas)
10:48.0,B. Jennings makes 3-pt shot from 25 ft (assist by J. Holiday),3,74-77,,
10:33.0,,,74-77,,Turnover by J. Lamb (bad pass)
10:33.0,D. Rose enters the game for K. O'Quinn,,74-77,,
10:12.0,B. Jennings makes 2-pt shot from 1 ft,2,76-77,,
10:11.0,,,76-77,,Charlotte full timeout
10:11.0,,,76-77,,F. Kaminsky enters the game for R. Hibbert
9:56.0,,,76-77,,S. Hawes misses 2-pt shot from 18 ft
9:54.0,Defensive rebound by D. Rose,,76-77,,
9:41.0,J. Holiday misses 3-pt shot from 25 ft,,76-77,,
9:40.0,,,76-77,,Defensive rebound by R. Sessions
9:34.0,,,76-79,2,R. Sessions makes 2-pt shot at rim
9:34.0,,,76-79,,Shooting foul by M. Kuzminskas (drawn by R. Sessions)
9:34.0,,,76-80,1,R. Sessions makes free throw 1 of 1
9:19.0,K. Porzingis misses 3-pt shot from 26 ft,,76-80,,
9:17.0,,,76-80,,Defensive rebound by J. Lamb
8:59.0,,,76-82,2,F. Kaminsky makes 2-pt shot from 1 ft (assist by J. Lamb)
8:46.0,D. Rose makes 2-pt shot from 2 ft,2,78-82,,
8:29.0,,,78-82,,S. Hawes misses 2-pt shot from 1 ft (block by K. Porzingis)
8:27.0,Defensive rebound by K. Porzingis,,78-82,,
8:20.0,B. Jennings makes 3-pt shot from 25 ft (assist by M. Kuzminskas),3,81-82,,
8:20.0,,,81-82,,Technical foul by S. Hawes
8:20.0,Official timeout,,81-82,,
8:20.0,K. Porzingis makes technical free throw,1,82-82,,
8:20.0,C. Anthony enters the game for M. Kuzminskas,,81-82,,
8:20.0,,,81-82,,M. Kidd-Gilchrist enters the game for R. Sessions
8:03.0,,,82-82,,K. Walker misses 2-pt shot from 7 ft
8:02.0,,,82-82,,Offensive rebound by S. Hawes
7:58.0,,,82-82,,F. Kaminsky misses 2-pt shot from 7 ft
7:58.0,Defensive rebound by Team,,82-82,,
7:41.0,D. Rose misses 2-pt shot from 2 ft (block by K. Walker),,82-82,,
7:41.0,Offensive rebound by Team,,82-82,,
7:41.0,,,82-82,,R. Sessions enters the game for S. Hawes
7:37.0,C. Anthony makes 2-pt shot from 12 ft (assist by D. Rose),2,84-82,,
7:29.0,Personal block foul by D. Rose (drawn by K. Walker),,84-82,,
7:19.0,,,84-85,3,R. Sessions makes 3-pt shot from 26 ft (assist by F. Kaminsky)
