time,Toronto,pts.away,score,pts.home,Orlando
8:40.0,,,8-6,,D. Augustin misses 3-pt shot from 24 ft
8:39.0,,,8-6,,Offensive rebound by E. Fournier
8:39.0,,,8-8,2,E. Fournier makes 2-pt shot from 2 ft
8:27.0,J. Valanciunas misses 2-pt shot from 11 ft,,8-8,,
8:26.0,,,8-8,,Defensive rebound by A. Gordon
8:18.0,,,8-8,,A. Gordon misses 2-pt shot from 1 ft (block by P. Siakam)
8:16.0,,,8-8,,Offensive rebound by B. Biyombo
8:16.0,,,8-8,,Turnover by B. Biyombo (bad pass)
8:08.0,Offensive foul by P. Siakam,,8-8,,
8:08.0,Turnover by P. Siakam (offensive foul),,8-8,,
7:53.0,,,8-10,2,S. Ibaka makes 2-pt shot from 8 ft (assist by D. Augustin)
7:38.0,D. DeRozan misses 2-pt shot from 17 ft,,8-10,,
7:37.0,,,8-10,,Defensive rebound by B. Biyombo
7:20.0,,,8-10,,D. Augustin misses 2-pt shot from 3 ft (block by P. Siakam)
7:20.0,,,8-10,,Offensive rebound by Team
7:19.0,,,8-10,,Turnover by A. Gordon (bad pass; steal by D. DeRozan)
7:07.0,D. DeRozan makes 2-pt shot from 7 ft,2,10-10,,
6:52.0,,,10-12,2,E. Fournier makes 2-pt shot from 22 ft (assist by D. Augustin)
6:33.0,J. Valanciunas misses 2-pt shot from 19 ft,,10-12,,
6:33.0,Offensive rebound by Team,,10-12,,
6:33.0,,,10-12,,Loose ball foul by D. Augustin (drawn by K. Lowry)
6:33.0,,,10-12,,E. Payton enters the game for D. Augustin
6:19.0,D. DeRozan makes 2-pt shot from 16 ft,2,12-12,,
6:06.0,,,12-14,2,S. Ibaka makes 2-pt shot from 7 ft
5:53.0,J. Valanciunas misses 2-pt shot from 17 ft,,12-14,,
5:51.0,,,12-14,,Defensive rebound by B. Biyombo
5:41.0,,,12-16,2,E. Payton makes 2-pt shot from 18 ft
5:32.0,Toronto full timeout,,12-16,,
5:32.0,L. Nogueira enters the game for P. Siakam,,12-16,,
5:32.0,P. Patterson enters the game for J. Valanciunas,,12-16,,
5:22.0,D. DeRozan makes 2-pt shot from 3 ft,2,14-16,,
5:01.0,Violation by L. Nogueira (def goaltending),,14-16,,
5:01.0,,,14-18,2,E. Fournier makes 2-pt shot from 3 ft
5:01.0,,,14-18,,Shooting foul by D. Carroll (drawn by E. Fournier)
5:01.0,,,14-19,1,E. Fournier makes free throw 1 of 1
5:01.0,,,14-18,,N. Vucevic enters the game for B. Biyombo
4:47.0,K. Lowry misses 2-pt shot from 20 ft,,14-19,,
4:45.0,,,14-19,,Defensive rebound by S. Ibaka
4:28.0,,,14-19,,E. Fournier misses 3-pt shot from 26 ft
4:26.0,Defensive rebound by L. Nogueira,,14-19,,
4:11.0,P. Patterson misses 2-pt shot from 9 ft,,14-19,,
4:09.0,,,14-19,,Defensive rebound by N. Vucevic
3:51.0,,,14-21,2,A. Gordon makes 2-pt shot from 2 ft (assist by N. Vucevic)
3:33.0,K. Lowry misses 3-pt shot from 24 ft,,14-21,,
3:32.0,,,14-21,,Defensive rebound by S. Ibaka
3:27.0,,,14-21,,E. Fournier misses 2-pt shot from 3 ft
3:25.0,Defensive rebound by D. Carroll,,14-21,,
3:18.0,D. Carroll makes 2-pt shot from 2 ft,2,16-21,,
3:10.0,,,16-21,,Orlando full timeout
3:10.0,T. Ross enters the game for D. Carroll,,16-21,,
3:10.0,,,16-21,,J. Green enters the game for A. Gordon
3:06.0,,,16-23,2,N. Vucevic makes 2-pt shot from 14 ft
2:50.0,D. DeRozan misses 3-pt shot from 24 ft,,16-23,,
2:49.0,,,16-23,,Defensive rebound by N. Vucevic
2:41.0,,,16-25,2,N. Vucevic makes 2-pt shot at rim (assist by E. Payton)
2:21.0,D. DeRozan makes 2-pt shot from 20 ft,2,18-25,,
1:59.0,,,18-25,,S. Ibaka misses 2-pt shot from 22 ft
1:57.0,Defensive rebound by T. Ross,,18-25,,
1:46.0,K. Lowry makes 2-pt shot from 2 ft (assist by D. DeRozan),2,20-25,,
1:46.0,Shooting foul by N. Vucevic (drawn by K. Lowry),,20-25,,
1:46.0,K. Lowry makes free throw 1 of 1,1,21-25,,
1:46.0,,,20-25,,J. Meeks enters the game for S. Ibaka
1:30.0,,,21-27,2,N. Vucevic makes 2-pt shot from 12 ft
1:21.0,L. Nogueira misses 2-pt shot at rim,,21-27,,
1:20.0,,,21-27,,Defensive rebound by J. Green
1:14.0,,,21-29,2,E. Fournier makes 2-pt shot from 3 ft
0:51.0,,,21-29,,Personal foul by E. Fournier (drawn by D. DeRozan)
0:51.0,D. DeRozan makes free throw 1 of 2,1,22-29,,
0:51.0,D. DeRozan makes free throw 2 of 2,1,23-29,,
0:51.0,F. VanVleet enters the game for K. Lowry,,22-29,,
0:40.0,,,23-29,,Shooting foul by D. DeRozan (drawn by J. Green)
0:40.0,,,23-30,1,J. Green makes free throw 1 of 2
0:40.0,,,23-30,,J. Green misses free throw 2 of 2
0:39.0,Defensive rebound by P. Patterson,,23-30,,
0:29.0,D. DeRozan misses 2-pt shot from 16 ft,,23-30,,
0:28.0,,,23-30,,Defensive rebound by E. Fournier
0:08.0,,,23-30,,E. Fournier misses 2-pt shot from 3 ft (block by L. Nogueira)
0:06.0,Defensive rebound by P. Patterson,,23-30,,
0:00.0,D. DeRozan misses 2-pt shot from 20 ft,,23-30,,
0:00.0,Offensive rebound by Team,,23-30,,
0:00.0,End of 1st quarter,,,,End of 1st quarter
12:00.0,Start of 2nd quarter,,,,Start of 2nd quarter
11:45.0,T. Ross misses 2-pt shot from 13 ft (block by B. Biyombo),,23-30,,
11:43.0,,,23-30,,Defensive rebound by B. Biyombo
11:23.0,,,23-30,,J. Green misses 2-pt shot from 9 ft
11:21.0,Defensive rebound by F. VanVleet,,23-30,,
11:14.0,K. Lowry misses 3-pt shot from 25 ft,,23-30,,
11:13.0,,,23-30,,Defensive rebound by B. Biyombo
11:03.0,,,23-32,2,E. Payton makes 2-pt shot from 11 ft
10:42.0,J. Valanciunas misses 2-pt shot from 10 ft,,23-32,,
10:41.0,,,23-32,,Defensive rebound by E. Payton
10:30.0,,,23-34,2,B. Biyombo makes 2-pt shot from 3 ft (assist by J. Green)
10:14.0,F. VanVleet misses 2-pt shot from 2 ft (block by B. Biyombo),,23-34,,
10:12.0,,,23-34,,Defensive rebound by N. Vucevic
10:08.0,Personal foul by F. VanVleet (drawn by E. Payton),,23-34,,
10:01.0,,,23-34,,Turnover by B. Biyombo (bad pass)
9:49.0,T. Ross makes 3-pt shot from 26 ft (assist by P. Patterson),3,26-34,,
9:26.0,,,26-36,2,E. Payton makes 2-pt shot from 17 ft
9:15.0,P. Patterson makes 3-pt shot from 25 ft,3,29-36,,
8:57.0,Personal foul by P. Patterson (drawn by N. Vucevic),,29-36,,
8:57.0,Official timeout,,29-36,,
8:50.0,,,29-36,,Turnover by N. Vucevic (lost ball; steal by F. VanVleet)
8:36.0,F. VanVleet makes 2-pt shot from 3 ft (assist by K. Lowry),2,31-36,,
8:29.0,,,31-36,,E. Payton misses 2-pt shot from 3 ft
8:28.0,Defensive rebound by J. Valanciunas,,31-36,,
8:21.0,P. Patterson misses 3-pt shot from 25 ft,,31-36,,
8:18.0,,,31-36,,Defensive rebound by B. Biyombo
8:06.0,,,31-36,,J. Meeks misses 2-pt shot from 10 ft (block by T. Ross)
8:04.0,Defensive rebound by P. Patterson,,31-36,,
7:56.0,F. VanVleet misses 3-pt shot from 25 ft,,31-36,,
7:55.0,Offensive rebound by J. Valanciunas,,31-36,,
7:49.0,T. Ross misses 3-pt shot from 26 ft,,31-36,,
7:48.0,Offensive rebound by J. Valanciunas,,31-36,,
7:41.0,J. Valanciunas makes 2-pt shot from 6 ft,2,33-36,,
7:26.0,,,33-36,,Orlando full timeout
7:26.0,P. Siakam enters the game for P. Patterson,,33-36,,
7:21.0,,,33-36,,J. Meeks misses 2-pt shot from 14 ft
7:20.0,,,33-36,,Offensive rebound by N. Vucevic
7:20.0,,,33-36,,N. Vucevic misses 2-pt shot from 1 ft
7:17.0,,,33-36,,Offensive rebound by N. Vucevic
7:17.0,,,33-36,,N. Vucevic misses 2-pt shot from 2 ft
7:15.0,,,33-36,,Offensive rebound by N. Vucevic
7:15.0,,,33-38,2,N. Vucevic makes 2-pt shot from 2 ft
7:15.0,,,33-38,,N. Vucevic misses 2-pt shot from 2 ft
7:15.0,,,33-38,,Offensive rebound by N. Vucevic
6:56.0,J. Valanciunas makes 2-pt shot from 9 ft,2,35-38,,
6:37.0,,,35-38,,J. Green misses 3-pt shot from 24 ft
6:36.0,,,35-38,,Offensive rebound by B. Biyombo
6:34.0,,,35-38,,B. Biyombo misses 2-pt shot from 2 ft (block by J. Valanciunas)
6:33.0,Defensive rebound by J. Valanciunas,,35-38,,
6:28.0,,,35-38,,Flagrant foul type 1 by J. Meeks (drawn by K. Lowry)
6:28.0,K. Lowry makes flagrant free throw 1 of 2,1,36-38,,
6:28.0,K. Lowry makes flagrant free throw 2 of 2,1,37-38,,
6:17.0,,,37-38,,Personal foul by J. Green (drawn by T. Ross)
6:17.0,D. DeRozan enters the game for F. VanVleet,,37-38,,
6:01.0,P. Siakam misses 2-pt shot from 14 ft,,37-38,,
6:00.0,,,37-38,,Defensive rebound by B. Biyombo
5:51.0,,,37-38,,J. Meeks misses 2-pt shot from 18 ft
5:50.0,Defensive rebound by J. Valanciunas,,37-38,,
5:39.0,K. Lowry makes 3-pt shot from 29 ft (assist by D. DeRozan),3,40-38,,
5:21.0,,,40-38,,N. Vucevic misses 2-pt shot from 11 ft (block by P. Siakam)
5:19.0,Defensive rebound by J. Valanciunas,,40-38,,
5:06.0,D. DeRozan makes 2-pt shot from 19 ft,2,42-38,,
4:50.0,,,42-40,2,E. Payton makes 2-pt shot from 8 ft
4:29.0,D. DeRozan misses 2-pt shot from 15 ft,,42-40,,
4:28.0,Offensive rebound by J. Valanciunas,,42-40,,
4:22.0,T. Ross misses 3-pt shot from 25 ft,,42-40,,
4:21.0,Offensive rebound by P. Siakam,,42-40,,
4:16.0,K. Lowry misses 3-pt shot from 25 ft,,42-40,,
4:15.0,Offensive rebound by J. Valanciunas,,42-40,,
4:04.0,J. Valanciunas misses 2-pt shot from 3 ft (block by B. Biyombo),,42-40,,
4:02.0,,,42-40,,Defensive rebound by N. Vucevic
3:58.0,,,42-40,,Turnover by E. Payton (bad pass; steal by T. Ross)
3:51.0,D. DeRozan misses 3-pt shot from 24 ft,,42-40,,
3:50.0,Offensive rebound by P. Siakam,,42-40,,
3:44.0,T. Ross makes 3-pt shot from 25 ft (assist by K. Lowry),3,45-40,,
3:43.0,,,45-40,,Orlando full timeout
3:43.0,,,45-40,,E. Fournier enters the game for N. Vucevic
3:43.0,,,45-40,,A. Gordon enters the game for J. Green
3:43.0,,,45-40,,S. Ibaka enters the game for J. Meeks
3:34.0,,,45-43,3,A. Gordon makes 3-pt shot from 25 ft (assist by E. Payton)
3:15.0,T. Ross misses 2-pt shot from 20 ft,,45-43,,
3:14.0,Offensive rebound by J. Valanciunas,,45-43,,
3:14.0,J. Valanciunas misses 2-pt shot from 2 ft,,45-43,,
3:13.0,Offensive rebound by Team,,45-43,,
3:13.0,,,45-43,,D. Augustin enters the game for E. Payton
3:06.0,J. Valanciunas makes 2-pt shot from 6 ft,2,47-43,,
2:56.0,,,47-43,,Offensive foul by D. Augustin
2:56.0,,,47-43,,Turnover by D. Augustin (offensive foul)
2:56.0,Toronto full timeout,,47-43,,
2:56.0,,,47-43,,E. Payton enters the game for D. Augustin
2:56.0,D. Carroll enters the game for T. Ross,,47-43,,
2:42.0,J. Valanciunas makes 2-pt shot from 14 ft,2,49-43,,
2:25.0,,,49-45,2,E. Payton makes 2-pt shot from 19 ft
2:25.0,,,49-45,,Shooting foul by P. Siakam (drawn by E. Payton)
2:25.0,,,49-46,1,E. Payton makes free throw 1 of 1
2:25.0,,,49-45,,N. Vucevic enters the game for B. Biyombo
2:25.0,F. VanVleet enters the game for K. Lowry,,49-45,,
2:09.0,D. DeRozan makes 2-pt shot from 17 ft,2,51-46,,
1:39.0,,,51-46,,E. Payton misses 3-pt shot from 25 ft
1:38.0,Defensive rebound by J. Valanciunas,,51-46,,
1:28.0,D. DeRozan makes 2-pt shot from 19 ft,2,53-46,,
1:07.0,Personal foul by D. Carroll (drawn by E. Fournier),,53-46,,
0:54.0,,,53-48,2,E. Fournier makes 2-pt shot from 3 ft
0:54.0,,,53-48,,Shooting foul by P. Siakam (drawn by E. Fournier)
0:54.0,,,53-49,1,E. Fournier makes free throw 1 of 1
0:54.0,P. Patterson enters the game for P. Siakam,,53-48,,
0:54.0,,,53-48,,J. Green enters the game for S. Ibaka
0:32.0,J. Valanciunas makes 2-pt shot from 7 ft (assist by D. DeRozan),2,55-49,,
0:14.0,,,55-51,2,E. Payton makes 2-pt shot from 2 ft
0:00.0,D. DeRozan misses 2-pt shot from 22 ft,,55-51,,
0:00.0,Offensive rebound by Team,,55-51,,
0:00.0,End of 2nd quarter,,,,End of 2nd quarter
12:00.0,Start of 3rd quarter,,,,Start of 3rd quarter
11:47.0,D. DeRozan makes 2-pt shot from 8 ft,2,57-51,,
11:29.0,,,57-51,,S. Ibaka misses 3-pt shot from 25 ft
11:28.0,Defensive rebound by J. Valanciunas,,57-51,,
11:10.0,D. Carroll makes 2-pt shot from 13 ft (assist by K. Lowry),2,59-51,,
10:49.0,,,59-51,,Turnover by E. Fournier (traveling)
10:33.0,K. Lowry misses 3-pt shot from 25 ft,,59-51,,
10:32.0,Offensive rebound by J. Valanciunas,,59-51,,
10:32.0,J. Valanciunas misses 2-pt shot from 1 ft,,59-51,,
10:30.0,,,59-51,,Defensive rebound by S. Ibaka
10:16.0,,,59-51,,A. Gordon misses 2-pt shot from 15 ft
10:14.0,Defensive rebound by D. Carroll,,59-51,,
9:56.0,,,59-51,,Personal foul by E. Fournier (drawn by J. Valanciunas)
9:50.0,Shooting foul by E. Fournier (drawn by D. Carroll),,59-51,,
9:50.0,D. Carroll makes free throw 1 of 3,1,60-51,,
9:50.0,D. Carroll makes free throw 2 of 3,1,61-51,,
9:50.0,D. Carroll misses free throw 3 of 3,,61-51,,
9:49.0,,,61-51,,Defensive rebound by S. Ibaka
9:33.0,,,61-51,,Turnover by E. Fournier (bad pass; steal by P. Patterson)
9:27.0,D. Carroll makes 2-pt shot from 2 ft (assist by K. Lowry),2,63-51,,
9:27.0,,,63-51,,Orlando full timeout
9:03.0,,,63-51,,A. Gordon misses 3-pt shot from 25 ft
9:02.0,,,63-51,,Offensive rebound by Team
9:02.0,,,63-51,,Turnover by Team (shot clock)
8:50.0,J. Valanciunas makes 2-pt shot from 9 ft (assist by K. Lowry),2,65-51,,
8:29.0,,,65-53,2,B. Biyombo makes 2-pt shot from 2 ft (assist by E. Fournier)
8:06.0,D. DeRozan makes 3-pt shot from 24 ft (assist by K. Lowry),3,68-53,,
7:53.0,,,68-55,2,S. Ibaka makes 2-pt shot from 22 ft (assist by E. Fournier)
7:42.0,K. Lowry misses 3-pt shot from 25 ft,,68-55,,
7:40.0,,,68-55,,Defensive rebound by B. Biyombo
7:32.0,Def 3 sec tech foul by K. Lowry,,68-55,,
7:32.0,,,68-56,1,E. Fournier makes technical free throw
7:22.0,,,68-56,,Offensive foul by B. Biyombo
7:22.0,,,68-56,,Turnover by B. Biyombo (offensive foul)
7:08.0,Shooting foul by E. Fournier (drawn by D. Carroll),,68-56,,
7:08.0,D. Carroll misses free throw 1 of 2,,68-56,,
7:08.0,Offensive rebound by Team,,68-56,,
7:08.0,D. Carroll misses free throw 2 of 2,,68-56,,
7:08.0,,,68-56,,Defensive rebound by D. Augustin
7:08.0,,,68-56,,J. Green enters the game for E. Fournier
6:58.0,,,68-56,,D. Augustin misses 2-pt shot from 11 ft
6:56.0,,,68-56,,Offensive rebound by D. Augustin
6:43.0,,,68-58,2,S. Ibaka makes 2-pt shot from 14 ft
6:32.0,J. Valanciunas makes 2-pt shot from 6 ft (assist by K. Lowry),2,70-58,,
6:13.0,,,70-60,2,S. Ibaka makes 2-pt shot from 12 ft
5:54.0,Turnover by K. Lowry (bad pass; steal by B. Biyombo),,70-60,,
5:52.0,Personal foul by K. Lowry (drawn by D. Augustin),,70-60,,
5:37.0,,,70-60,,S. Ibaka misses 2-pt shot from 15 ft
5:36.0,Defensive rebound by D. DeRozan,,70-60,,
5:20.0,P. Patterson misses 3-pt shot from 25 ft,,70-60,,
5:18.0,,,70-60,,Defensive rebound by D. Augustin
5:01.0,,,70-60,,Turnover by J. Green (bad pass; steal by P. Patterson)
4:55.0,D. Carroll misses 3-pt shot from 25 ft,,70-60,,
4:54.0,,,70-60,,Defensive rebound by B. Biyombo
4:35.0,,,70-60,,A. Gordon misses 2-pt shot from 21 ft
4:34.0,Defensive rebound by K. Lowry,,70-60,,
4:29.0,Shooting foul by A. Gordon (drawn by K. Lowry),,70-60,,
4:29.0,Toronto full timeout,,70-60,,
4:29.0,K. Lowry makes free throw 1 of 3,1,71-60,,
4:29.0,K. Lowry makes free throw 2 of 3,1,72-60,,
4:29.0,K. Lowry makes free throw 3 of 3,1,73-60,,
4:29.0,L. Nogueira enters the game for J. Valanciunas,,70-60,,
4:29.0,,,70-60,,J. Meeks enters the game for A. Gordon
4:29.0,,,70-60,,N. Vucevic enters the game for B. Biyombo
4:29.0,,,70-60,,E. Payton enters the game for D. Augustin
4:17.0,,,73-60,,S. Ibaka misses 2-pt shot from 19 ft
4:15.0,Defensive rebound by D. Carroll,,73-60,,
3:51.0,Turnover by Team (shot clock),,73-60,,
3:41.0,,,73-60,,J. Meeks misses 3-pt shot from 26 ft
3:40.0,Defensive rebound by P. Patterson,,73-60,,
3:30.0,D. DeRozan makes 2-pt shot at rim,2,75-60,,
3:12.0,,,75-60,,N. Vucevic misses 2-pt shot from 12 ft
3:11.0,Defensive rebound by K. Lowry,,75-60,,
3:04.0,L. Nogueira makes 2-pt shot at rim (assist by K. Lowry),2,77-60,,
3:04.0,,,77-60,,Orlando full timeout
3:04.0,,,77-60,,D. Rudez enters the game for S. Ibaka
3:04.0,T. Ross enters the game for D. Carroll,,77-60,,
3:04.0,P. Siakam enters the game for P. Patterson,,77-60,,
2:54.0,,,77-60,,D. Rudez misses 3-pt shot from 24 ft
2:53.0,Defensive rebound by L. Nogueira,,77-60,,
2:40.0,Offensive foul by D. DeRozan,,77-60,,
2:40.0,Turnover by D. DeRozan (offensive foul),,77-60,,
2:40.0,Violation by Team (jump ball),,77-60,,
2:25.0,,,77-60,,J. Meeks misses 3-pt shot from 25 ft
2:24.0,Defensive rebound by L. Nogueira,,77-60,,
2:09.0,Turnover by K. Lowry (bad pass),,77-60,,
1:55.0,,,77-60,,J. Green misses 3-pt shot from 25 ft
1:54.0,Defensive rebound by D. DeRozan,,77-60,,
1:47.0,Turnover by K. Lowry (step out of bounds),,77-60,,
1:47.0,F. VanVleet enters the game for K. Lowry,,77-60,,
1:33.0,,,77-60,,E. Payton misses 2-pt shot from 2 ft
1:30.0,,,77-60,,Offensive rebound by N. Vucevic
1:30.0,,,77-62,2,N. Vucevic makes 2-pt shot from 2 ft
1:07.0,T. Ross misses 2-pt shot from 21 ft,,77-62,,
1:06.0,,,77-62,,Defensive rebound by E. Payton
0:52.0,,,77-62,,J. Green misses 2-pt shot from 3 ft
0:50.0,Defensive rebound by D. DeRozan,,77-62,,
0:46.0,T. Ross makes 3-pt shot from 26 ft (assist by D. DeRozan),3,80-62,,
0:37.0,,,80-64,2,J. Green makes 2-pt shot at rim (assist by E. Payton)
0:31.0,D. DeRozan makes 2-pt shot from 2 ft,2,82-64,,
0:08.0,,,82-64,,N. Vucevic misses 2-pt shot from 15 ft
0:07.0,Defensive rebound by D. DeRozan,,82-64,,
0:00.0,D. DeRozan makes 2-pt shot from 19 ft,2,84-64,,
0:00.0,End of 3rd quarter,,,,End of 3rd quarter
12:00.0,Start of 4th quarter,,,,Start of 4th quarter
11:43.0,,,84-64,,E. Payton misses 3-pt shot from 25 ft
11:41.0,Defensive rebound by Team,,84-64,,
11:23.0,Turnover by K. Lowry (lost ball),,84-64,,
11:09.0,,,84-64,,E. Fournier misses 3-pt shot from 25 ft
11:08.0,Defensive rebound by P. Siakam,,84-64,,
10:57.0,P. Siakam makes 2-pt shot from 16 ft (assist by L. Nogueira),2,86-64,,
10:38.0,,,86-64,,B. Biyombo misses 2-pt shot from 4 ft
10:37.0,Defensive rebound by L. Nogueira,,86-64,,
10:18.0,T. Ross misses 3-pt shot from 25 ft,,86-64,,
10:17.0,,,86-64,,Defensive rebound by B. Biyombo
10:11.0,Personal foul by L. Nogueira (drawn by N. Vucevic),,86-64,,
10:04.0,,,86-64,,N. Vucevic misses 2-pt shot from 19 ft
10:02.0,Defensive rebound by K. Lowry,,86-64,,
9:57.0,Shooting foul by N. Vucevic (drawn by P. Siakam),,86-64,,
9:57.0,P. Siakam makes free throw 1 of 2,1,87-64,,
9:57.0,P. Siakam makes free throw 2 of 2,1,88-64,,
9:48.0,,,88-64,,J. Green misses 3-pt shot from 26 ft
9:47.0,Defensive rebound by F. VanVleet,,88-64,,
9:27.0,K. Lowry makes 3-pt shot from 25 ft,3,91-64,,
9:27.0,,,91-64,,Orlando full timeout
9:27.0,,,91-64,,J. Meeks enters the game for B. Biyombo
9:27.0,,,91-64,,C. Watson enters the game for E. Payton
9:09.0,,,91-66,2,E. Fournier makes 2-pt shot from 8 ft
8:46.0,T. Ross misses 3-pt shot from 25 ft,,91-66,,
8:45.0,,,91-66,,Defensive rebound by J. Green
8:29.0,,,91-66,,C. Watson misses 3-pt shot from 24 ft
8:28.0,Defensive rebound by P. Siakam,,91-66,,
8:21.0,T. Ross misses 2-pt shot from 8 ft,,91-66,,
8:20.0,Offensive rebound by P. Siakam,,91-66,,
8:13.0,T. Ross misses 3-pt shot from 25 ft,,91-66,,
8:12.0,,,91-66,,Defensive rebound by J. Green
8:03.0,,,91-66,,Turnover by J. Green (bad pass; steal by F. VanVleet)
8:01.0,P. Siakam makes 2-pt shot at rim (assist by F. VanVleet),2,93-66,,
8:01.0,,,93-66,,Orlando full timeout
8:01.0,N. Powell enters the game for K. Lowry,,93-66,,
7:44.0,,,93-66,,J. Green misses 3-pt shot from 26 ft
7:43.0,Defensive rebound by N. Powell,,93-66,,
7:36.0,Turnover by P. Siakam (lost ball; steal by E. Fournier),,93-66,,
7:25.0,,,93-66,,C. Watson misses 3-pt shot from 24 ft
7:23.0,Defensive rebound by T. Ross,,93-66,,
7:05.0,L. Nogueira makes 2-pt shot from 2 ft (assist by F. VanVleet),2,95-66,,
6:56.0,Personal foul by F. VanVleet (drawn by C. Watson),,95-66,,
6:48.0,,,95-66,,Turnover by C. Watson (bad pass; steal by N. Powell)
6:48.0,,,95-66,,Personal foul by E. Fournier (drawn by N. Powell)
6:48.0,,,95-66,,M. Hezonja enters the game for E. Fournier
6:48.0,,,95-66,,D. Rudez enters the game for N. Vucevic
6:48.0,,,95-66,,A. Onuaku enters the game for J. Green
6:36.0,F. VanVleet makes 2-pt shot from 18 ft,2,97-66,,
6:31.0,,,97-66,,Orlando full timeout
6:14.0,,,97-66,,C. Watson misses 2-pt shot from 2 ft
6:13.0,Defensive rebound by L. Nogueira,,97-66,,
5:56.0,L. Nogueira makes 2-pt shot at rim (assist by F. VanVleet),2,99-66,,
5:32.0,,,99-66,,A. Onuaku misses 2-pt shot from 11 ft
5:31.0,Defensive rebound by P. Siakam,,99-66,,
5:23.0,J. Poeltl enters the game for L. Nogueira,,99-66,,
5:23.0,Jump ball: M. Hezonja vs. N. Powell (F. VanVleet gains possession),,,,Jump ball: M. Hezonja vs. N. Powell (F. VanVleet gains possession)
5:09.0,F. VanVleet misses 2-pt shot from 3 ft,,99-66,,
5:08.0,,,99-66,,Defensive rebound by A. Onuaku
5:00.0,,,99-66,,Turnover by M. Hezonja (lost ball; steal by F. VanVleet)
4:58.0,T. Ross makes 2-pt shot at rim,2,101-66,,
4:42.0,,,101-68,2,M. Hezonja makes 2-pt shot from 3 ft
4:24.0,N. Powell misses 3-pt shot from 26 ft,,101-68,,
4:22.0,,,101-68,,Defensive rebound by A. Onuaku
4:15.0,Personal foul by T. Ross (drawn by C. Watson),,101-68,,
4:15.0,B. Caboclo enters the game for T. Ross,,101-68,,
4:03.0,,,101-68,,Turnover by M. Hezonja (bad pass)
3:42.0,P. Siakam misses 3-pt shot from 25 ft,,101-68,,
3:41.0,,,101-68,,Defensive rebound by Team
3:29.0,,,101-68,,Turnover by M. Hezonja (bad pass)
3:10.0,N. Powell makes 2-pt shot from 17 ft,2,103-68,,
2:59.0,,,103-70,2,J. Meeks makes 2-pt shot from 12 ft
2:46.0,B. Caboclo misses 3-pt shot from 24 ft,,103-70,,
2:44.0,Offensive rebound by J. Poeltl,,103-70,,
2:44.0,Shooting foul by A. Onuaku (drawn by J. Poeltl),,103-70,,
2:44.0,Official timeout,,103-70,,
2:44.0,J. Poeltl misses free throw 1 of 2,,103-70,,
2:44.0,Offensive rebound by Team,,103-70,,
2:44.0,J. Poeltl misses free throw 2 of 2,,103-70,,
2:43.0,,,103-70,,Defensive rebound by M. Hezonja
2:29.0,,,103-70,,A. Onuaku misses 2-pt shot from 10 ft
2:26.0,Defensive rebound by P. Siakam,,103-70,,
2:19.0,N. Powell makes 2-pt shot from 2 ft,2,105-70,,
2:09.0,,,105-73,3,D. Rudez makes 3-pt shot from 25 ft (assist by C. Watson)
1:52.0,J. Poeltl misses 2-pt shot from 11 ft,,105-73,,
1:51.0,,,105-73,,Defensive rebound by A. Onuaku
