time,Indiana,pts.away,score,pts.home,Orlando
6:49.0,,,17-17,2,A. Gordon makes 2-pt shot from 16 ft
6:32.0,P. George makes 2-pt shot from 1 ft,2,19-17,,
6:16.0,,,19-19,2,N. Vucevic makes 2-pt shot from 8 ft (assist by E. Payton)
6:11.0,Turnover by M. Turner (bad pass; steal by A. Gordon),,19-19,,
6:01.0,,,19-19,,E. Payton misses 2-pt shot from 2 ft
5:59.0,Defensive rebound by P. George,,19-19,,
5:54.0,M. Ellis misses 2-pt shot from 2 ft,,19-19,,
5:52.0,,,19-19,,Defensive rebound by N. Vucevic
5:46.0,,,19-21,2,E. Payton makes 2-pt shot from 1 ft
5:40.0,T. Young makes 2-pt shot at rim (assist by J. Teague),2,21-21,,
5:39.0,,,21-21,,Orlando full timeout
5:19.0,,,21-21,,A. Gordon misses 2-pt shot from 13 ft
5:17.0,Defensive rebound by J. Teague,,21-21,,
5:07.0,Turnover by P. George (offensive foul),,21-21,,
5:07.0,Offensive charge foul by P. George,,21-21,,
4:51.0,,,21-21,,N. Vucevic misses 2-pt shot from 10 ft
4:50.0,Defensive rebound by P. George,,21-21,,
4:34.0,M. Ellis misses 2-pt shot from 11 ft,,21-21,,
4:33.0,,,21-21,,Defensive rebound by N. Vucevic
4:25.0,,,21-24,3,E. Fournier makes 3-pt shot from 27 ft (assist by E. Payton)
4:14.0,J. Teague misses 2-pt shot from 9 ft,,21-24,,
4:13.0,,,21-24,,Defensive rebound by N. Vucevic
4:08.0,,,21-24,,E. Payton misses 2-pt shot from 1 ft (block by M. Turner)
4:06.0,Defensive rebound by J. Teague,,21-24,,
3:59.0,P. George makes 3-pt shot from 26 ft (assist by J. Teague),3,24-24,,
3:44.0,,,24-27,3,A. Gordon makes 3-pt shot from 25 ft (assist by N. Vucevic)
3:30.0,T. Young makes 2-pt shot from 2 ft,2,26-27,,
3:16.0,,,26-27,,T. Ross misses 2-pt shot from 21 ft
3:15.0,Defensive rebound by M. Turner,,26-27,,
3:14.0,,,26-27,,Personal foul by T. Ross (drawn by P. George)
3:14.0,,,26-27,,M. Hezonja enters the game for T. Ross
3:14.0,K. Seraphin enters the game for M. Turner,,26-27,,
3:08.0,,,26-27,,Personal foul by E. Fournier (drawn by J. Teague)
3:08.0,J. Teague makes free throw 1 of 2,1,27-27,,
3:08.0,J. Teague makes free throw 2 of 2,1,28-27,,
3:08.0,C. Miles enters the game for P. George,,27-27,,
2:57.0,,,28-29,2,E. Fournier makes 2-pt shot from 3 ft (assist by N. Vucevic)
2:57.0,,,28-29,,Shooting foul by T. Young (drawn by E. Fournier)
2:57.0,Indiana full timeout,,28-29,,
2:57.0,,,28-29,,E. Fournier misses free throw 1 of 1
2:57.0,,,28-29,,B. Biyombo enters the game for N. Vucevic
2:55.0,Defensive rebound by T. Young,,28-29,,
2:40.0,T. Young makes 2-pt shot from 2 ft (assist by K. Seraphin),2,30-29,,
2:23.0,,,30-29,,Shooting foul by T. Young (drawn by A. Gordon)
2:23.0,,,30-30,1,A. Gordon makes free throw 1 of 2
2:23.0,,,30-31,1,A. Gordon makes free throw 2 of 2
2:23.0,L. Stephenson enters the game for T. Young,,30-30,,
2:23.0,,,30-30,,J. Meeks enters the game for E. Fournier
2:23.0,L. Allen enters the game for M. Ellis,,30-30,,
2:01.0,L. Allen makes 2-pt shot from 2 ft (assist by J. Teague),2,32-31,,
1:44.0,,,32-34,3,M. Hezonja makes 3-pt shot from 24 ft (assist by J. Meeks)
1:38.0,J. Teague misses 2-pt shot from 1 ft,,32-34,,
1:36.0,,,32-34,,Defensive rebound by B. Biyombo
1:28.0,,,32-36,2,M. Hezonja makes 2-pt shot from 16 ft
1:15.0,L. Stephenson misses 2-pt shot from 20 ft,,32-36,,
1:12.0,Offensive rebound by C. Miles,,32-36,,
1:12.0,C. Miles makes 2-pt shot from 1 ft,2,34-36,,
0:52.0,,,34-38,2,E. Payton makes 2-pt shot from 2 ft
0:40.0,L. Allen misses 2-pt shot from 1 ft (block by A. Gordon),,34-38,,
0:40.0,Offensive rebound by L. Allen,,34-38,,
0:40.0,L. Allen makes 2-pt shot from 1 ft,2,36-38,,
0:40.0,Shooting foul by B. Biyombo (drawn by L. Allen),,36-38,,
0:40.0,L. Allen makes free throw 1 of 1,1,37-38,,
0:40.0,,,36-38,,C. Watson enters the game for E. Payton
0:40.0,A. Brooks enters the game for J. Teague,,36-38,,
0:27.0,,,37-38,,M. Hezonja misses 3-pt shot from 23 ft
0:25.0,Defensive rebound by L. Stephenson,,37-38,,
0:10.0,K. Seraphin misses 2-pt shot from 15 ft,,37-38,,
0:09.0,Offensive rebound by L. Allen,,37-38,,
0:09.0,L. Allen makes 2-pt shot from 2 ft,2,39-38,,
0:01.0,,,39-38,,C. Watson misses 2-pt shot from 16 ft
0:00.0,Defensive rebound by C. Miles,,39-38,,
0:00.0,End of 1st quarter,,,,End of 1st quarter
12:00.0,Start of 2nd quarter,,,,Start of 2nd quarter
11:48.0,C. Miles misses 3-pt shot from 25 ft,,39-38,,
11:47.0,,,39-38,,Defensive rebound by C. Watson
11:28.0,,,39-38,,Shooting foul by K. Seraphin (drawn by B. Biyombo)
11:28.0,,,39-39,1,B. Biyombo makes free throw 1 of 2
11:28.0,,,39-39,,B. Biyombo misses free throw 2 of 2
11:27.0,Defensive rebound by K. Seraphin,,39-39,,
11:13.0,K. Seraphin makes 2-pt shot from 1 ft (assist by L. Stephenson),2,41-39,,
10:56.0,,,41-39,,J. Meeks misses 3-pt shot from 27 ft
10:55.0,Defensive rebound by L. Stephenson,,41-39,,
10:47.0,,,41-39,,Personal foul by C. Watson (drawn by L. Stephenson)
10:34.0,Shooting foul by M. Hezonja (drawn by K. Seraphin),,41-39,,
10:34.0,K. Seraphin makes free throw 1 of 2,1,42-39,,
10:34.0,K. Seraphin misses free throw 2 of 2,,42-39,,
10:32.0,,,42-39,,Defensive rebound by E. Fournier
10:19.0,,,42-41,2,E. Fournier makes 2-pt shot from 20 ft (assist by C. Watson)
10:05.0,P. George makes 2-pt shot from 21 ft,2,44-41,,
9:49.0,,,44-41,,M. Hezonja misses 2-pt shot from 13 ft
9:48.0,Defensive rebound by K. Seraphin,,44-41,,
9:41.0,P. George makes 2-pt shot from 19 ft,2,46-41,,
9:40.0,,,46-41,,Orlando full timeout
9:28.0,,,46-41,,C. Watson misses 3-pt shot from 25 ft
9:27.0,Defensive rebound by P. George,,46-41,,
9:11.0,L. Stephenson misses 2-pt shot from 16 ft,,46-41,,
9:10.0,,,46-41,,Defensive rebound by J. Meeks
9:00.0,Personal foul by K. Seraphin (drawn by C. Watson),,46-41,,
9:00.0,,,46-41,,C. Watson misses free throw 1 of 2
9:00.0,,,46-41,,Offensive rebound by Team
9:00.0,,,46-42,1,C. Watson makes free throw 2 of 2
9:00.0,M. Turner enters the game for K. Seraphin,,46-41,,
8:48.0,P. George makes 3-pt shot from 26 ft (assist by A. Brooks),3,49-42,,
8:29.0,,,49-44,2,B. Biyombo makes 2-pt shot from 1 ft (assist by C. Watson)
8:19.0,P. George makes 2-pt shot from 5 ft (assist by A. Brooks),2,51-44,,
8:19.0,Shooting foul by M. Hezonja (drawn by P. George),,51-44,,
8:19.0,P. George misses free throw 1 of 1,,51-44,,
8:18.0,,,51-44,,Defensive rebound by M. Hezonja
7:57.0,,,51-47,3,E. Fournier makes 3-pt shot from 26 ft (assist by C. Watson)
7:31.0,L. Stephenson misses 2-pt shot from 8 ft,,51-47,,
7:29.0,,,51-47,,Defensive rebound by J. Meeks
7:24.0,,,51-47,,J. Meeks misses 3-pt shot from 24 ft
7:22.0,,,51-47,,Offensive rebound by B. Biyombo
7:18.0,,,51-47,,Offensive foul by B. Biyombo
7:18.0,,,51-47,,Turnover by B. Biyombo (offensive foul)
7:18.0,,,51-47,,A. Gordon enters the game for M. Hezonja
7:18.0,,,51-47,,T. Ross enters the game for J. Meeks
7:02.0,Turnover by P. George (bad pass; steal by C. Watson),,51-47,,
6:59.0,,,51-47,,C. Watson misses 2-pt shot from 3 ft (block by L. Stephenson)
6:59.0,,,51-47,,Offensive rebound by Team
6:59.0,T. Young enters the game for C. Miles,,51-47,,
6:50.0,,,51-49,2,B. Biyombo makes 2-pt shot at rim (assist by E. Fournier)
6:38.0,P. George makes 2-pt shot from 10 ft (assist by T. Young),2,53-49,,
6:38.0,Shooting foul by E. Fournier (drawn by P. George),,53-49,,
6:38.0,P. George makes free throw 1 of 1,1,54-49,,
6:24.0,,,54-49,,T. Ross misses 3-pt shot from 25 ft
6:22.0,Defensive rebound by L. Stephenson,,54-49,,
6:06.0,A. Brooks misses 3-pt shot from 25 ft,,54-49,,
6:04.0,,,54-49,,Defensive rebound by T. Ross
6:02.0,,,54-49,,Shooting foul by A. Brooks (drawn by E. Fournier)
6:02.0,,,54-50,1,E. Fournier makes free throw 1 of 2
6:02.0,,,54-51,1,E. Fournier makes free throw 2 of 2
6:02.0,J. Teague enters the game for A. Brooks,,54-50,,
6:02.0,,,54-50,,N. Vucevic enters the game for B. Biyombo
6:02.0,,,54-50,,E. Payton enters the game for C. Watson
5:50.0,M. Turner makes 2-pt shot from 1 ft (assist by L. Stephenson),2,56-51,,
5:30.0,,,56-51,,N. Vucevic misses 2-pt shot from 19 ft
5:29.0,Defensive rebound by M. Turner,,56-51,,
5:18.0,T. Young makes 2-pt shot from 2 ft (assist by J. Teague),2,58-51,,
5:05.0,,,58-53,2,A. Gordon makes 2-pt shot from 16 ft
4:50.0,M. Turner misses 2-pt shot from 3 ft,,58-53,,
4:49.0,,,58-53,,Defensive rebound by T. Ross
4:38.0,,,58-55,2,T. Ross makes 2-pt shot from 6 ft (assist by N. Vucevic)
4:28.0,T. Young makes 2-pt shot from 1 ft (assist by J. Teague),2,60-55,,
4:17.0,,,60-55,,Turnover by N. Vucevic (bad pass)
4:17.0,Official timeout,,60-55,,
4:04.0,T. Young makes 2-pt shot from 2 ft (assist by P. George),2,62-55,,
3:43.0,,,62-55,,E. Payton misses 2-pt shot from 11 ft
3:42.0,Defensive rebound by M. Turner,,62-55,,
3:24.0,P. George misses 3-pt shot from 26 ft,,62-55,,
3:22.0,,,62-55,,Defensive rebound by E. Payton
3:15.0,,,62-55,,N. Vucevic misses 2-pt shot from 8 ft
3:13.0,Defensive rebound by M. Turner,,62-55,,
3:06.0,J. Teague misses 3-pt shot from 25 ft,,62-55,,
3:04.0,Offensive rebound by M. Turner,,62-55,,
3:01.0,Turnover by L. Stephenson (bad pass; steal by N. Vucevic),,62-55,,
2:51.0,,,62-57,2,T. Ross makes 2-pt shot from 6 ft
2:33.0,J. Teague makes 2-pt shot from 10 ft,2,64-57,,
2:19.0,,,64-57,,N. Vucevic misses 2-pt shot from 21 ft
2:18.0,Defensive rebound by L. Stephenson,,64-57,,
2:14.0,Indiana full timeout,,64-57,,
2:14.0,M. Ellis enters the game for T. Young,,64-57,,
2:14.0,L. Allen enters the game for L. Stephenson,,64-57,,
2:00.0,J. Teague misses 2-pt shot from 10 ft,,64-57,,
1:58.0,,,64-57,,Defensive rebound by E. Fournier
1:50.0,,,64-57,,E. Payton misses 2-pt shot from 2 ft
1:48.0,Defensive rebound by M. Turner,,64-57,,
1:41.0,P. George misses 3-pt shot from 24 ft,,64-57,,
1:40.0,Offensive rebound by M. Turner,,64-57,,
1:38.0,M. Turner makes 2-pt shot from 1 ft,2,66-57,,
1:14.0,,,66-57,,A. Gordon misses 2-pt shot from 1 ft (block by M. Turner)
1:11.0,Defensive rebound by L. Allen,,66-57,,
1:03.0,Turnover by J. Teague (bad pass),,66-57,,
1:03.0,C. Miles enters the game for P. George,,66-57,,
0:56.0,,,66-57,,Turnover by T. Ross (bad pass; steal by C. Miles)
0:47.0,Turnover by M. Ellis (lost ball; steal by E. Payton),,66-57,,
0:43.0,,,66-59,2,E. Payton makes 2-pt shot from 2 ft
0:20.0,Indiana full timeout,,66-59,,
0:18.0,C. Miles makes 2-pt shot from 20 ft (assist by M. Ellis),2,68-59,,
0:13.0,,,68-59,,Orlando full timeout
0:04.0,Personal take foul by M. Turner (drawn by A. Gordon),,68-59,,
0:01.0,,,68-59,,E. Fournier misses 3-pt shot from 26 ft
0:00.0,Defensive rebound by L. Allen,,68-59,,
0:00.0,End of 2nd quarter,,,,End of 2nd quarter
12:00.0,Start of 3rd quarter,,,,Start of 3rd quarter
11:39.0,P. George makes 3-pt shot from 25 ft (assist by J. Teague),3,71-59,,
11:25.0,,,71-59,,T. Ross misses 3-pt shot from 26 ft
11:23.0,Defensive rebound by M. Ellis,,71-59,,
11:20.0,P. George makes 2-pt shot from 1 ft (assist by M. Ellis),2,73-59,,
11:20.0,,,73-59,,Orlando full timeout
11:07.0,,,73-61,2,E. Payton makes 2-pt shot from 2 ft
10:50.0,Turnover by M. Ellis (bad pass; steal by N. Vucevic),,73-61,,
10:39.0,,,73-61,,A. Gordon misses 2-pt shot from 1 ft
10:38.0,,,73-61,,Offensive rebound by A. Gordon
10:38.0,,,73-63,2,A. Gordon makes 2-pt shot from 1 ft
10:16.0,J. Teague misses 2-pt shot from 21 ft,,73-63,,
10:15.0,,,73-63,,Defensive rebound by N. Vucevic
10:11.0,,,73-63,,Turnover by E. Payton (lost ball)
10:00.0,P. George misses 2-pt shot from 13 ft,,73-63,,
9:59.0,,,73-63,,Defensive rebound by N. Vucevic
9:48.0,,,73-63,,Turnover by E. Payton (bad pass; steal by T. Young)
9:47.0,,,73-63,,Personal foul by A. Gordon (drawn by P. George)
9:36.0,M. Turner makes 2-pt shot from 1 ft (assist by J. Teague),2,75-63,,
9:18.0,,,75-66,3,E. Fournier makes 3-pt shot from 24 ft (assist by T. Ross)
8:55.0,M. Ellis misses 3-pt shot from 26 ft,,75-66,,
8:54.0,,,75-66,,Defensive rebound by E. Payton
8:51.0,,,75-66,,Turnover by E. Payton (bad pass; steal by J. Teague)
8:41.0,T. Young misses 2-pt shot from 2 ft (block by N. Vucevic),,75-66,,
8:41.0,Offensive rebound by Team,,75-66,,
8:29.0,P. George misses 2-pt shot from 20 ft,,75-66,,
8:28.0,,,75-66,,Defensive rebound by A. Gordon
8:18.0,,,75-68,2,N. Vucevic makes 2-pt shot from 5 ft (assist by E. Payton)
8:03.0,M. Turner misses 2-pt shot from 10 ft,,75-68,,
8:02.0,,,75-68,,Defensive rebound by A. Gordon
7:55.0,,,75-68,,N. Vucevic misses 3-pt shot from 25 ft
7:54.0,Defensive rebound by P. George,,75-68,,
7:36.0,J. Teague misses 3-pt shot from 27 ft,,75-68,,
7:35.0,,,75-68,,Defensive rebound by N. Vucevic
7:22.0,,,75-68,,N. Vucevic misses 2-pt shot from 3 ft
7:20.0,Defensive rebound by T. Young,,75-68,,
7:16.0,M. Ellis makes 2-pt shot from 1 ft (assist by P. George),2,77-68,,
6:57.0,,,77-70,2,T. Ross makes 2-pt shot from 8 ft (assist by E. Payton)
6:28.0,M. Ellis makes 3-pt shot from 26 ft (assist by P. George),3,80-70,,
6:18.0,,,80-70,,Offensive charge foul by E. Payton
6:18.0,,,80-70,,Turnover by E. Payton (offensive foul)
6:05.0,M. Turner misses 2-pt shot from 5 ft,,80-70,,
6:04.0,,,80-70,,Defensive rebound by N. Vucevic
5:45.0,,,80-73,3,T. Ross makes 3-pt shot from 25 ft (assist by A. Gordon)
5:34.0,P. George misses 2-pt shot from 13 ft,,80-73,,
5:33.0,,,80-73,,Defensive rebound by N. Vucevic
5:27.0,,,80-75,2,A. Gordon makes 2-pt shot at rim (assist by E. Payton)
5:26.0,Indiana full timeout,,80-75,,
5:13.0,M. Turner makes 2-pt shot at rim (assist by M. Ellis),2,82-75,,
4:54.0,,,82-75,,Shooting foul by P. George (drawn by T. Ross)
4:54.0,,,82-76,1,T. Ross makes free throw 1 of 3
4:54.0,,,82-77,1,T. Ross makes free throw 2 of 3
4:54.0,,,82-78,1,T. Ross makes free throw 3 of 3
4:36.0,Turnover by M. Ellis (bad pass; steal by T. Ross),,82-78,,
4:30.0,,,82-78,,T. Ross misses 3-pt shot from 27 ft
4:29.0,Defensive rebound by P. George,,82-78,,
4:18.0,P. George misses 3-pt shot from 25 ft,,82-78,,
4:15.0,,,82-78,,Defensive rebound by T. Ross
4:10.0,,,82-78,,Turnover by A. Gordon (bad pass; steal by M. Ellis)
4:01.0,M. Turner makes 2-pt shot from 1 ft (assist by J. Teague),2,84-78,,
3:49.0,,,84-80,2,A. Gordon makes 2-pt shot from 7 ft
3:35.0,Shooting foul by N. Vucevic (drawn by M. Turner),,84-80,,
3:35.0,M. Turner makes free throw 1 of 2,1,85-80,,
3:35.0,M. Turner misses free throw 2 of 2,,85-80,,
3:32.0,Offensive rebound by Team,,85-80,,
3:32.0,K. Seraphin enters the game for M. Turner,,85-80,,
3:20.0,Shooting foul by A. Gordon (drawn by K. Seraphin),,85-80,,
3:20.0,K. Seraphin misses free throw 1 of 2,,85-80,,
3:20.0,Offensive rebound by Team,,85-80,,
3:20.0,K. Seraphin makes free throw 2 of 2,1,86-80,,
3:09.0,,,86-80,,Turnover by E. Payton (bad pass)
3:09.0,,,86-80,,M. Hezonja enters the game for E. Fournier
2:55.0,K. Seraphin makes 2-pt shot from 2 ft,2,88-80,,
2:55.0,Shooting foul by A. Gordon (drawn by K. Seraphin),,88-80,,
2:55.0,K. Seraphin makes free throw 1 of 1,1,89-80,,
2:55.0,C. Miles enters the game for P. George,,88-80,,
2:40.0,,,89-80,,N. Vucevic misses 2-pt shot from 7 ft
2:39.0,Defensive rebound by T. Young,,89-80,,
2:28.0,C. Miles makes 3-pt shot from 25 ft (assist by J. Teague),3,92-80,,
2:12.0,,,92-80,,Turnover by E. Payton (lost ball)
2:12.0,,,92-80,,Technical foul by T. Ross
2:12.0,C. Miles makes technical free throw,1,93-80,,
2:12.0,L. Stephenson enters the game for M. Ellis,,92-80,,
2:12.0,,,92-80,,B. Biyombo enters the game for T. Ross
2:12.0,,,92-80,,C. Watson enters the game for N. Vucevic
2:12.0,,,92-80,,J. Meeks enters the game for E. Payton
2:12.0,A. Brooks enters the game for J. Teague,,93-80,,
1:59.0,C. Miles misses 2-pt shot from 2 ft,,93-80,,
1:57.0,,,93-80,,Defensive rebound by B. Biyombo
1:42.0,,,93-80,,J. Meeks misses 2-pt shot from 9 ft
1:42.0,Defensive rebound by A. Brooks,,93-80,,
1:37.0,Turnover by T. Young (bad pass; steal by A. Gordon),,93-80,,
1:19.0,,,93-80,,J. Meeks misses 3-pt shot from 25 ft
1:18.0,Defensive rebound by L. Stephenson,,93-80,,
1:05.0,K. Seraphin misses 2-pt shot from 14 ft,,93-80,,
1:03.0,,,93-80,,Defensive rebound by J. Meeks
0:55.0,,,93-80,,Shooting foul by A. Brooks (drawn by J. Meeks)
0:55.0,,,93-81,1,J. Meeks makes free throw 1 of 2
0:55.0,,,93-82,1,J. Meeks makes free throw 2 of 2
0:39.0,L. Stephenson makes 3-pt shot from 26 ft (assist by A. Brooks),3,96-82,,
0:17.0,,,96-82,,C. Watson misses 2-pt shot from 10 ft
0:16.0,Defensive rebound by K. Seraphin,,96-82,,
0:00.0,L. Stephenson makes 3-pt shot from 25 ft,3,99-82,,
0:00.0,End of 3rd quarter,,,,End of 3rd quarter
12:00.0,Start of 4th quarter,,,,Start of 4th quarter
11:43.0,,,99-82,,T. Ross misses 3-pt shot from 26 ft
11:41.0,,,99-82,,Offensive rebound by C. Watson
11:39.0,,,99-82,,C. Watson misses 2-pt shot from 15 ft
11:37.0,Defensive rebound by K. Seraphin,,99-82,,
11:30.0,C. Miles makes 3-pt shot from 24 ft (assist by L. Stephenson),3,102-82,,
11:07.0,,,102-84,2,M. Hezonja makes 2-pt shot from 22 ft
10:42.0,P. George makes 2-pt shot from 13 ft,2,104-84,,
10:24.0,,,104-87,3,J. Meeks makes 3-pt shot from 28 ft (assist by B. Biyombo)
10:05.0,K. Seraphin misses 2-pt shot from 11 ft,,104-87,,
10:05.0,,,104-87,,Defensive rebound by Team
10:05.0,Personal foul by A. Brooks (drawn by M. Hezonja),,104-87,,
9:52.0,Def 3 sec tech foul by K. Seraphin,,104-87,,
9:52.0,,,104-87,,J. Meeks misses technical free throw
9:52.0,,,104-87,,Offensive rebound by Team
9:47.0,,,104-87,,J. Meeks misses 2-pt shot from 16 ft
9:46.0,Defensive rebound by C. Miles,,104-87,,
9:27.0,Turnover by L. Stephenson (lost ball),,104-87,,
9:10.0,,,104-89,2,B. Biyombo makes 2-pt shot from 8 ft (assist by T. Ross)
8:50.0,P. George makes 3-pt shot from 25 ft (assist by A. Brooks),3,107-89,,
8:35.0,,,107-92,3,J. Meeks makes 3-pt shot from 26 ft (assist by M. Hezonja)
8:17.0,Turnover by L. Stephenson (bad pass; steal by B. Biyombo),,107-92,,
8:11.0,,,107-92,,Shooting foul by K. Seraphin (drawn by B. Biyombo)
8:11.0,Official timeout,,107-92,,
8:11.0,,,107-92,,B. Biyombo misses free throw 1 of 2
8:11.0,,,107-92,,Offensive rebound by Team
8:11.0,,,107-92,,B. Biyombo misses free throw 2 of 2
8:09.0,Defensive rebound by P. George,,107-92,,
7:50.0,L. Stephenson makes 2-pt shot from 2 ft (assist by P. George),2,109-92,,
7:47.0,,,109-92,,Turnover by T. Ross (inbound)
7:36.0,K. Seraphin makes 2-pt shot from 1 ft (assist by P. George),2,111-92,,
7:35.0,,,111-92,,Orlando full timeout
7:35.0,,,111-92,,E. Payton enters the game for M. Hezonja
7:35.0,,,111-92,,N. Vucevic enters the game for B. Biyombo
7:35.0,,,111-92,,E. Fournier enters the game for J. Meeks
7:35.0,,,111-92,,A. Gordon enters the game for C. Watson
7:21.0,,,111-95,3,T. Ross makes 3-pt shot from 26 ft (assist by E. Payton)
7:01.0,L. Stephenson misses 2-pt shot from 9 ft,,111-95,,
6:59.0,,,111-95,,Defensive rebound by N. Vucevic
6:50.0,,,111-95,,T. Ross misses 3-pt shot from 26 ft
6:49.0,Defensive rebound by L. Stephenson,,111-95,,
6:38.0,K. Seraphin makes 2-pt shot from 4 ft,2,113-95,,
6:22.0,,,113-98,3,E. Fournier makes 3-pt shot from 26 ft (assist by E. Payton)
5:57.0,Turnover by A. Brooks (lost ball; steal by N. Vucevic),,113-98,,
5:50.0,,,113-98,,T. Ross misses 2-pt shot from 10 ft
5:48.0,,,113-98,,Offensive rebound by A. Gordon
5:41.0,,,113-98,,A. Gordon misses 3-pt shot from 27 ft
5:39.0,Defensive rebound by P. George,,113-98,,
5:39.0,Indiana full timeout,,113-98,,
5:39.0,J. Teague enters the game for K. Seraphin,,113-98,,
5:39.0,M. Turner enters the game for C. Miles,,113-98,,
5:39.0,T. Young enters the game for A. Brooks,,113-98,,
5:17.0,P. George misses 3-pt shot from 28 ft,,113-98,,
5:15.0,Offensive rebound by T. Young,,113-98,,
5:12.0,P. George makes 2-pt shot at rim (assist by T. Young),2,115-98,,
4:57.0,,,115-98,,Shooting foul by L. Stephenson (drawn by E. Fournier)
4:57.0,,,115-99,1,E. Fournier makes free throw 1 of 2
4:57.0,,,115-100,1,E. Fournier makes free throw 2 of 2
4:43.0,Shooting foul by T. Ross (drawn by P. George),,115-100,,
4:43.0,P. George misses free throw 1 of 2,,115-100,,
4:43.0,Offensive rebound by Team,,115-100,,
4:43.0,P. George makes free throw 2 of 2,1,116-100,,
4:43.0,M. Ellis enters the game for L. Stephenson,,115-100,,
4:37.0,Personal foul by M. Ellis (drawn by E. Fournier),,116-100,,
4:27.0,,,116-100,,E. Fournier misses 3-pt shot from 26 ft
4:26.0,Defensive rebound by J. Teague,,116-100,,
4:16.0,J. Teague misses 2-pt shot from 2 ft,,116-100,,
4:14.0,,,116-100,,Defensive rebound by N. Vucevic
4:09.0,,,116-102,2,E. Payton makes 2-pt shot from 1 ft
4:09.0,Technical foul by J. Teague,,116-102,,
4:09.0,,,116-103,1,E. Fournier makes technical free throw
3:54.0,P. George makes 2-pt shot from 19 ft (assist by J. Teague),2,118-103,,
3:39.0,,,118-103,,A. Gordon misses 2-pt shot from 20 ft
3:38.0,Defensive rebound by J. Teague,,118-103,,
3:31.0,Offensive foul by M. Turner,,118-103,,
3:31.0,Turnover by M. Turner (offensive foul),,118-103,,
3:16.0,,,118-105,2,T. Ross makes 2-pt shot from 22 ft (assist by E. Payton)
2:59.0,J. Teague makes 2-pt shot from 2 ft,2,120-105,,
2:46.0,,,120-108,3,T. Ross makes 3-pt shot from 25 ft (assist by N. Vucevic)
2:31.0,M. Turner makes 2-pt shot from 10 ft (assist by J. Teague),2,122-108,,
2:31.0,,,122-108,,Orlando full timeout
2:10.0,,,122-108,,A. Gordon misses 3-pt shot from 28 ft
2:09.0,Defensive rebound by M. Turner,,122-108,,
1:56.0,Turnover by J. Teague (bad pass),,122-108,,
1:49.0,,,122-108,,E. Fournier misses 2-pt shot from 2 ft (block by T. Young)
1:49.0,,,122-108,,Offensive rebound by Team
1:46.0,,,122-110,2,N. Vucevic makes 2-pt shot from 17 ft (assist by E. Fournier)
1:24.0,M. Turner makes 3-pt shot from 25 ft (assist by P. George),3,125-110,,
1:24.0,,,125-110,,Orlando full timeout
1:24.0,,,125-110,,M. Hezonja enters the game for T. Ross
