time,LA Lakers,pts.away,score,pts.home,San Antonio
6:01.0,L. Nance misses 2-pt shot from 1 ft,,14-10,,
5:59.0,,,14-10,,Defensive rebound by P. Gasol
5:48.0,,,14-12,2,K. Anderson makes 2-pt shot at rim (assist by P. Gasol)
5:28.0,B. Ingram makes 2-pt shot from 8 ft,2,16-12,,
5:28.0,Shooting foul by K. Anderson (drawn by B. Ingram),,16-12,,
5:28.0,B. Ingram makes free throw 1 of 1,1,17-12,,
5:28.0,,,16-12,,D. Lee enters the game for L. Aldridge
5:28.0,,,16-12,,B. Forbes enters the game for J. Simmons
5:07.0,,,17-12,,P. Gasol misses 2-pt shot from 1 ft (block by L. Nance)
5:06.0,Defensive rebound by L. Nance,,17-12,,
5:01.0,J. Clarkson makes 2-pt shot from 1 ft (assist by T. Ennis),2,19-12,,
4:50.0,Personal foul by J. Randle (drawn by P. Gasol),,19-12,,
4:50.0,T. Black enters the game for L. Nance,,19-12,,
4:49.0,Personal foul by T. Ennis,,19-12,,
4:45.0,,,19-12,,P. Mills misses 2-pt shot from 19 ft
4:44.0,Defensive rebound by J. Clarkson,,19-12,,
4:34.0,J. Clarkson makes 2-pt shot from 2 ft,2,21-12,,
4:21.0,,,21-12,,Turnover by D. Lee (offensive foul)
4:21.0,,,21-12,,Offensive foul by D. Lee
4:06.0,J. Randle makes 2-pt shot from 19 ft,2,23-12,,
3:53.0,,,23-12,,Shooting foul by T. Black (drawn by P. Gasol)
3:53.0,,,23-13,1,P. Gasol makes free throw 1 of 2
3:53.0,,,23-14,1,P. Gasol makes free throw 2 of 2
3:53.0,D. Nwaba enters the game for T. Ennis,,23-13,,
3:33.0,D. Nwaba misses 2-pt shot from 11 ft,,23-14,,
3:32.0,,,23-14,,Defensive rebound by D. Lee
3:19.0,,,23-14,,B. Forbes misses 2-pt shot from 15 ft
3:17.0,Defensive rebound by T. Black,,23-14,,
3:02.0,B. Ingram makes 2-pt shot from 13 ft,2,25-14,,
2:42.0,,,25-14,,B. Forbes misses 3-pt shot from 25 ft
2:42.0,Defensive rebound by B. Ingram,,25-14,,
2:37.0,J. Clarkson makes 2-pt shot from 1 ft (assist by B. Ingram),2,27-14,,
2:24.0,,,27-14,,Turnover by P. Gasol (step out of bounds)
2:24.0,LA Lakers full timeout,,27-14,,
2:24.0,,,27-14,,D. Bertans enters the game for D. Lee
2:24.0,C. Brewer enters the game for B. Ingram,,27-14,,
2:08.0,J. Randle makes 2-pt shot from 6 ft (assist by C. Brewer),2,29-14,,
1:56.0,,,29-14,,D. Bertans misses 3-pt shot from 25 ft
1:55.0,Defensive rebound by J. Clarkson,,29-14,,
1:42.0,C. Brewer misses 2-pt shot from 2 ft,,29-14,,
1:41.0,,,29-14,,Defensive rebound by Team
1:21.0,T. Robinson enters the game for J. Randle,,29-14,,
1:16.0,,,29-14,,P. Gasol misses 2-pt shot from 16 ft
1:14.0,Defensive rebound by T. Black,,29-14,,
1:04.0,J. Clarkson misses 2-pt shot from 10 ft (block by P. Gasol),,29-14,,
1:01.0,,,29-14,,Defensive rebound by P. Gasol
0:57.0,,,29-14,,B. Forbes misses 3-pt shot from 24 ft
0:54.0,Defensive rebound by T. Robinson,,29-14,,
0:46.0,T. Black misses 2-pt shot at rim (block by D. Bertans),,29-14,,
0:44.0,,,29-14,,Defensive rebound by P. Gasol
0:29.0,,,29-14,,P. Gasol misses 3-pt shot from 25 ft
0:28.0,Defensive rebound by D. Nwaba,,29-14,,
0:05.0,J. Clarkson makes 2-pt shot from 1 ft,2,31-14,,
0:00.0,,,31-14,,D. Bertans misses 3-pt shot from 25 ft
0:00.0,Defensive rebound by J. Clarkson,,31-14,,
0:00.0,End of 1st quarter,,,,End of 1st quarter
12:00.0,Start of 2nd quarter,,,,Start of 2nd quarter
11:46.0,C. Brewer makes 3-pt shot from 24 ft (assist by D. Nwaba),3,34-14,,
11:31.0,,,34-14,,Turnover by B. Forbes (bad pass)
11:31.0,,,34-14,,J. Simmons enters the game for B. Forbes
11:19.0,D. Nwaba makes 2-pt shot at rim,2,36-14,,
11:02.0,,,36-14,,Turnover by J. Simmons (bad pass; steal by T. Robinson)
10:58.0,D. Nwaba makes 2-pt shot at rim (assist by C. Brewer),2,38-14,,
10:42.0,,,38-14,,Turnover by K. Leonard (lost ball; steal by T. Ennis)
10:34.0,T. Robinson makes 2-pt shot from 1 ft (assist by T. Ennis),2,40-14,,
10:25.0,,,40-14,,Offensive foul by D. Bertans
10:25.0,,,40-14,,Turnover by D. Bertans (offensive foul)
10:25.0,,,40-14,,B. Forbes enters the game for J. Simmons
10:12.0,D. Nwaba misses 2-pt shot from 9 ft,,40-14,,
10:10.0,,,40-14,,Defensive rebound by K. Leonard
10:06.0,,,40-16,2,D. Bertans makes 2-pt shot at rim (assist by K. Leonard)
10:01.0,Turnover by T. Ennis (bad pass; steal by K. Leonard),,40-16,,
9:53.0,,,40-19,3,B. Forbes makes 3-pt shot from 25 ft (assist by T. Parker)
9:34.0,Turnover by C. Brewer (lost ball; steal by K. Leonard),,40-19,,
9:29.0,,,40-21,2,T. Parker makes 2-pt shot from 1 ft (assist by K. Leonard)
9:29.0,LA Lakers full timeout,,40-21,,
9:29.0,,,40-21,,L. Aldridge enters the game for D. Bertans
9:09.0,T. Robinson misses 2-pt shot at rim (block by L. Aldridge),,40-21,,
9:09.0,Offensive rebound by Team,,40-21,,
9:04.0,D. Nwaba misses 2-pt shot from 17 ft,,40-21,,
9:03.0,Offensive rebound by T. Robinson,,40-21,,
9:00.0,T. Robinson misses 2-pt shot from 1 ft (block by D. Dedmon),,40-21,,
9:00.0,,,40-21,,Defensive rebound by Team
8:41.0,,,40-21,,L. Aldridge misses 2-pt shot from 18 ft
8:40.0,Defensive rebound by C. Brewer,,40-21,,
8:30.0,T. Ennis misses 2-pt shot from 13 ft,,40-21,,
8:28.0,,,40-21,,Defensive rebound by D. Dedmon
8:19.0,,,40-21,,T. Parker misses 2-pt shot from 18 ft
8:18.0,Defensive rebound by T. Black,,40-21,,
8:09.0,Offensive foul by T. Robinson,,40-21,,
8:09.0,Turnover by T. Robinson (offensive foul),,40-21,,
7:47.0,,,40-21,,L. Aldridge misses 2-pt shot from 9 ft
7:47.0,Defensive rebound by T. Robinson,,40-21,,
7:40.0,T. Robinson misses 2-pt shot from 5 ft (block by K. Leonard),,40-21,,
7:38.0,,,40-21,,Defensive rebound by L. Aldridge
7:28.0,,,40-23,2,K. Leonard makes 2-pt shot from 11 ft (assist by B. Forbes)
7:12.0,T. Ennis makes 2-pt shot from 20 ft,2,42-23,,
6:56.0,,,42-25,2,T. Parker makes 2-pt shot from 9 ft
6:56.0,,,42-25,,Shooting foul by T. Ennis (drawn by T. Parker)
6:56.0,,,42-25,,T. Parker misses free throw 1 of 1
6:56.0,,,42-25,,D. Lee enters the game for D. Dedmon
6:54.0,Defensive rebound by T. Robinson,,42-25,,
6:38.0,T. Ennis makes 2-pt shot from 11 ft,2,44-25,,
6:22.0,,,44-27,2,D. Lee makes 2-pt shot from 2 ft (assist by T. Parker)
6:07.0,T. Ennis makes 2-pt shot from 13 ft,2,46-27,,
6:07.0,,,46-27,,San Antonio full timeout
6:07.0,,,46-27,,P. Mills enters the game for T. Parker
6:07.0,M. World Peace enters the game for T. Black,,46-27,,
6:07.0,L. Nance enters the game for D. Nwaba,,46-27,,
6:07.0,J. Clarkson enters the game for C. Brewer,,46-27,,
6:07.0,J. Randle enters the game for T. Robinson,,46-27,,
5:52.0,,,46-27,,K. Leonard misses 2-pt shot from 19 ft
5:49.0,,,46-27,,Offensive rebound by L. Aldridge
5:49.0,,,46-29,2,L. Aldridge makes 2-pt shot from 1 ft
5:32.0,Turnover by M. World Peace (bad pass; steal by L. Aldridge),,46-29,,
5:15.0,,,46-31,2,K. Leonard makes 2-pt shot from 19 ft (assist by P. Mills)
4:50.0,Offensive foul by J. Randle,,46-31,,
4:50.0,Turnover by J. Randle (offensive foul),,46-31,,
4:50.0,,,46-31,,J. Simmons enters the game for B. Forbes
4:30.0,,,46-31,,L. Aldridge misses 2-pt shot from 8 ft
4:28.0,Defensive rebound by L. Nance,,46-31,,
4:16.0,L. Nance makes 3-pt shot from 23 ft (assist by T. Ennis),3,49-31,,
4:00.0,,,49-34,3,K. Leonard makes 3-pt shot from 23 ft (assist by P. Mills)
3:36.0,J. Randle misses 2-pt shot from 7 ft (block by D. Lee),,49-34,,
3:34.0,,,49-34,,Defensive rebound by K. Leonard
3:20.0,,,49-34,,P. Mills misses 3-pt shot from 24 ft
3:20.0,Defensive rebound by Team,,49-34,,
3:20.0,,,49-34,,K. Anderson enters the game for K. Leonard
3:07.0,L. Nance misses 2-pt shot from 18 ft,,49-34,,
3:06.0,,,49-34,,Defensive rebound by K. Anderson
2:51.0,,,49-34,,L. Aldridge misses 2-pt shot from 19 ft
2:51.0,,,49-34,,Offensive rebound by Team
2:51.0,Official timeout,,49-34,,
2:51.0,D. Nwaba enters the game for T. Ennis,,49-34,,
2:48.0,,,49-37,3,P. Mills makes 3-pt shot from 23 ft (assist by K. Anderson)
2:20.0,J. Clarkson misses 3-pt shot from 27 ft,,49-37,,
2:19.0,,,49-37,,Defensive rebound by L. Aldridge
2:05.0,,,49-37,,P. Mills misses 3-pt shot from 25 ft
2:04.0,Defensive rebound by J. Clarkson,,49-37,,
1:56.0,J. Clarkson makes 2-pt shot from 1 ft,2,51-37,,
1:42.0,,,51-37,,L. Aldridge misses 2-pt shot from 18 ft
1:42.0,Defensive rebound by L. Nance,,51-37,,
1:27.0,J. Randle misses 2-pt shot from 16 ft,,51-37,,
1:25.0,Offensive rebound by L. Nance,,51-37,,
1:13.0,Turnover by J. Clarkson (bad pass; steal by L. Aldridge),,51-37,,
1:07.0,,,51-39,2,K. Anderson makes 2-pt shot from 1 ft (assist by D. Lee)
0:47.0,J. Randle makes 2-pt shot from 6 ft (assist by J. Clarkson),2,53-39,,
0:38.0,,,53-39,,P. Mills misses 3-pt shot from 25 ft
0:37.0,Defensive rebound by J. Randle,,53-39,,
0:31.0,J. Clarkson misses 3-pt shot from 27 ft,,53-39,,
0:29.0,,,53-39,,Defensive rebound by K. Anderson
0:09.0,,,53-39,,J. Simmons misses 2-pt shot from 18 ft
0:08.0,,,53-39,,Offensive rebound by L. Aldridge
0:08.0,,,53-41,2,L. Aldridge makes 2-pt shot from 4 ft
0:04.0,,,53-41,,Personal take foul by K. Anderson (drawn by M. World Peace)
0:04.0,LA Lakers full timeout,,53-41,,
0:00.0,J. Clarkson misses 3-pt shot from 25 ft,,53-41,,
0:00.0,Offensive rebound by Team,,53-41,,
0:00.0,End of 2nd quarter,,,,End of 2nd quarter
12:00.0,Start of 3rd quarter,,,,Start of 3rd quarter
11:42.0,J. Randle misses 2-pt shot from 3 ft,,53-41,,
11:36.0,,,53-41,,Defensive rebound by K. Anderson
11:32.0,,,53-43,2,T. Parker makes 2-pt shot from 2 ft
11:15.0,C. Brewer misses 3-pt shot from 23 ft,,53-43,,
11:13.0,,,53-43,,Defensive rebound by P. Gasol
11:08.0,,,53-43,,Turnover by T. Parker (lost ball; steal by C. Brewer)
10:58.0,L. Nance makes 2-pt shot from 6 ft (assist by C. Brewer),2,55-43,,
10:38.0,,,55-45,2,K. Anderson makes 2-pt shot from 22 ft (assist by J. Simmons)
10:25.0,L. Nance makes 2-pt shot at rim (assist by T. Ennis),2,57-45,,
10:02.0,,,57-45,,T. Parker misses 2-pt shot from 19 ft
10:01.0,Defensive rebound by J. Randle,,57-45,,
9:54.0,Shooting foul by K. Anderson (drawn by J. Clarkson),,57-45,,
9:54.0,J. Clarkson makes free throw 1 of 2,1,58-45,,
9:54.0,J. Clarkson makes free throw 2 of 2,1,59-45,,
9:38.0,,,59-48,3,J. Simmons makes 3-pt shot from 25 ft (assist by T. Parker)
9:28.0,J. Randle misses 3-pt shot from 25 ft,,59-48,,
9:27.0,,,59-48,,Defensive rebound by T. Parker
9:18.0,,,59-50,2,T. Parker makes 2-pt shot from 21 ft (assist by D. Bertans)
9:01.0,Turnover by J. Clarkson (bad pass; steal by J. Simmons),,59-50,,
8:54.0,,,59-50,,Turnover by T. Parker (bad pass; steal by C. Brewer)
8:49.0,C. Brewer makes 2-pt shot at rim (assist by J. Clarkson),2,61-50,,
8:29.0,,,61-52,2,K. Anderson makes 2-pt shot from 2 ft (assist by P. Gasol)
8:19.0,Turnover by J. Clarkson (bad pass; steal by T. Parker),,61-52,,
8:15.0,,,61-54,2,T. Parker makes 2-pt shot from 1 ft
8:01.0,T. Ennis misses 3-pt shot from 25 ft,,61-54,,
7:59.0,,,61-54,,Defensive rebound by K. Anderson
7:49.0,,,61-54,,K. Anderson misses 2-pt shot from 4 ft (block by J. Randle)
7:46.0,,,61-54,,Offensive rebound by K. Anderson
7:43.0,,,61-54,,K. Anderson misses 2-pt shot from 2 ft (block by L. Nance)
7:41.0,Defensive rebound by J. Randle,,61-54,,
7:38.0,Turnover by J. Randle (bad pass),,61-54,,
7:22.0,,,61-56,2,T. Parker makes 2-pt shot from 17 ft
7:02.0,J. Clarkson misses 2-pt shot from 3 ft,,61-56,,
7:01.0,,,61-56,,Defensive rebound by J. Simmons
6:55.0,,,61-59,3,D. Bertans makes 3-pt shot from 23 ft (assist by T. Parker)
6:55.0,LA Lakers full timeout,,61-59,,
6:55.0,,,61-59,,P. Mills enters the game for T. Parker
6:40.0,Turnover by J. Clarkson (lost ball),,61-59,,
6:23.0,,,61-59,,Turnover by J. Simmons (bad pass; steal by L. Nance)
6:14.0,Shooting foul by J. Simmons (drawn by L. Nance),,61-59,,
6:14.0,L. Nance makes free throw 1 of 2,1,62-59,,
6:14.0,L. Nance makes free throw 2 of 2,1,63-59,,
5:56.0,,,63-59,,P. Gasol misses 2-pt shot from 14 ft
5:55.0,Defensive rebound by L. Nance,,63-59,,
5:45.0,J. Clarkson makes 2-pt shot from 3 ft,2,65-59,,
5:36.0,,,65-61,2,P. Gasol makes 2-pt shot at rim (assist by P. Mills)
5:36.0,,,65-61,,Shooting foul by J. Randle (drawn by P. Gasol)
5:36.0,,,65-62,1,P. Gasol makes free throw 1 of 1
5:36.0,,,65-61,,B. Forbes enters the game for J. Simmons
5:36.0,,,65-61,,D. Lee enters the game for D. Bertans
5:21.0,J. Clarkson makes 3-pt shot from 23 ft (assist by J. Randle),3,68-62,,
5:06.0,,,68-65,3,P. Gasol makes 3-pt shot from 25 ft (assist by P. Mills)
4:52.0,L. Nance misses 2-pt shot from 22 ft,,68-65,,
4:51.0,,,68-65,,Defensive rebound by P. Gasol
4:42.0,Personal foul by J. Clarkson (drawn by P. Gasol),,68-65,,
4:42.0,,,68-65,,D. Dedmon enters the game for P. Gasol
4:42.0,T. Black enters the game for L. Nance,,68-65,,
4:34.0,,,68-65,,P. Mills misses 3-pt shot from 25 ft
4:33.0,Defensive rebound by J. Randle,,68-65,,
4:20.0,J. Clarkson misses 2-pt shot from 4 ft (block by K. Anderson),,68-65,,
4:18.0,Offensive rebound by J. Clarkson,,68-65,,
4:14.0,C. Brewer misses 2-pt shot from 4 ft,,68-65,,
4:12.0,,,68-65,,Defensive rebound by K. Anderson
4:06.0,,,68-65,,B. Forbes misses 3-pt shot from 23 ft
4:05.0,Defensive rebound by J. Randle,,68-65,,
3:55.0,Shooting foul by D. Lee (drawn by J. Randle),,68-65,,
3:55.0,J. Randle makes free throw 1 of 2,1,69-65,,
3:55.0,J. Randle makes free throw 2 of 2,1,70-65,,
3:55.0,D. Nwaba enters the game for T. Ennis,,69-65,,
3:55.0,,,69-65,,J. Simmons enters the game for K. Anderson
3:34.0,,,70-65,,J. Simmons misses 2-pt shot from 20 ft
3:33.0,Defensive rebound by J. Randle,,70-65,,
3:30.0,Turnover by J. Randle (bad pass),,70-65,,
3:08.0,,,70-65,,B. Forbes misses 2-pt shot from 8 ft
3:06.0,,,70-65,,Offensive rebound by Team
3:06.0,,,70-65,,Turnover by Team (shot clock)
3:02.0,,,70-65,,Personal foul by B. Forbes (drawn by D. Nwaba)
2:56.0,Turnover by C. Brewer (bad pass),,70-65,,
2:56.0,,,70-65,,San Antonio full timeout
2:56.0,M. World Peace enters the game for C. Brewer,,70-65,,
2:40.0,,,70-65,,B. Forbes misses 3-pt shot from 26 ft
2:39.0,Defensive rebound by Team,,70-65,,
2:24.0,J. Clarkson misses 2-pt shot from 2 ft,,70-65,,
2:23.0,,,70-65,,Defensive rebound by D. Dedmon
2:11.0,,,70-67,2,P. Mills makes 2-pt shot from 18 ft (assist by D. Lee)
1:56.0,Turnover by J. Clarkson (traveling),,70-67,,
1:56.0,T. Ennis enters the game for J. Clarkson,,70-67,,
1:48.0,,,70-67,,P. Mills misses 3-pt shot from 24 ft
1:46.0,Defensive rebound by M. World Peace,,70-67,,
1:35.0,J. Randle misses 2-pt shot from 4 ft (block by D. Lee),,70-67,,
1:34.0,Offensive rebound by J. Randle,,70-67,,
1:34.0,J. Randle makes 2-pt shot from 4 ft,2,72-67,,
1:34.0,Shooting foul by D. Dedmon (drawn by J. Randle),,72-67,,
1:34.0,J. Randle makes free throw 1 of 1,1,73-67,,
1:34.0,,,72-67,,K. Anderson enters the game for P. Mills
1:20.0,,,73-67,,D. Dedmon misses 2-pt shot from 18 ft
1:19.0,Defensive rebound by D. Nwaba,,73-67,,
1:04.0,M. World Peace makes 3-pt shot from 23 ft (assist by J. Randle),3,76-67,,
0:50.0,,,76-67,,J. Simmons misses 3-pt shot from 25 ft
0:49.0,Defensive rebound by T. Black,,76-67,,
0:32.0,M. World Peace misses 2-pt shot from 15 ft,,76-67,,
0:31.0,,,76-67,,Defensive rebound by D. Lee
0:19.0,,,76-70,3,J. Simmons makes 3-pt shot from 25 ft (assist by B. Forbes)
0:01.0,T. Ennis misses 2-pt shot from 3 ft,,76-70,,
0:00.0,,,76-70,,Defensive rebound by B. Forbes
0:00.0,End of 3rd quarter,,,,End of 3rd quarter
12:00.0,Start of 4th quarter,,,,Start of 4th quarter
11:50.0,,,76-73,3,J. Simmons makes 3-pt shot from 26 ft (assist by D. Lee)
11:37.0,Offensive foul by M. World Peace,,76-73,,
11:37.0,Turnover by M. World Peace (offensive foul),,76-73,,
11:37.0,,,76-73,,D. Bertans enters the game for K. Anderson
11:17.0,,,76-76,3,B. Forbes makes 3-pt shot from 24 ft (assist by D. Lee)
10:59.0,Turnover by T. Robinson (lost ball; steal by D. Dedmon),,76-76,,
10:44.0,,,76-76,,J. Simmons misses 2-pt shot from 18 ft
10:43.0,Defensive rebound by T. Robinson,,76-76,,
10:28.0,T. Ennis makes 3-pt shot from 25 ft,3,79-76,,
10:28.0,,,79-76,,San Antonio full timeout
10:07.0,,,79-76,,J. Simmons misses 3-pt shot from 26 ft
10:06.0,Defensive rebound by Team,,79-76,,
9:46.0,D. Nwaba misses 2-pt shot from 6 ft,,79-76,,
9:41.0,Offensive rebound by T. Robinson,,79-76,,
9:41.0,T. Robinson makes 2-pt shot from 1 ft,2,81-76,,
9:32.0,,,81-76,,B. Forbes misses 3-pt shot from 23 ft
9:32.0,,,81-76,,Offensive rebound by Team
9:32.0,,,81-76,,P. Gasol enters the game for D. Lee
9:18.0,,,81-76,,Turnover by B. Forbes (lost ball)
9:04.0,M. World Peace misses 2-pt shot from 20 ft,,81-76,,
9:04.0,,,81-76,,Defensive rebound by Team
9:04.0,Loose ball foul by T. Robinson (drawn by P. Gasol),,81-76,,
8:54.0,,,81-78,2,B. Forbes makes 2-pt shot from 21 ft
8:42.0,M. World Peace makes 2-pt shot from 21 ft (assist by T. Black),2,83-78,,
8:21.0,,,83-78,,D. Bertans misses 3-pt shot from 25 ft
8:20.0,Defensive rebound by T. Robinson,,83-78,,
8:08.0,T. Ennis makes 2-pt shot from 3 ft,2,85-78,,
7:50.0,,,85-78,,Shooting foul by T. Robinson (drawn by P. Gasol)
7:50.0,,,85-79,1,P. Gasol makes free throw 1 of 2
7:50.0,,,85-79,,P. Gasol misses free throw 2 of 2
7:50.0,Defensive rebound by T. Black,,85-79,,
7:50.0,C. Brewer enters the game for M. World Peace,,85-79,,
7:34.0,Shooting foul by D. Dedmon (drawn by T. Robinson),,85-79,,
7:34.0,T. Robinson misses free throw 1 of 2,,85-79,,
7:34.0,Offensive rebound by Team,,85-79,,
7:34.0,T. Robinson makes free throw 2 of 2,1,86-79,,
7:34.0,,,85-79,,D. Lee enters the game for D. Dedmon
7:34.0,,,85-79,,K. Anderson enters the game for J. Simmons
7:19.0,,,86-82,3,D. Bertans makes 3-pt shot from 25 ft
7:10.0,T. Robinson misses 2-pt shot from 1 ft,,86-82,,
7:08.0,,,86-82,,Defensive rebound by P. Gasol
6:57.0,,,86-82,,P. Gasol misses 2-pt shot from 15 ft
6:52.0,,,86-82,,Offensive rebound by K. Anderson
6:52.0,,,86-82,,K. Anderson misses 2-pt shot from 2 ft
6:50.0,Defensive rebound by T. Black,,86-82,,
6:40.0,T. Ennis misses 2-pt shot from 7 ft,,86-82,,
6:34.0,,,86-82,,Defensive rebound by P. Gasol
6:29.0,,,86-82,,P. Gasol misses 3-pt shot from 25 ft
6:27.0,Defensive rebound by D. Nwaba,,86-82,,
6:11.0,T. Robinson makes 2-pt shot from 11 ft,2,88-82,,
5:57.0,,,88-82,,Turnover by P. Gasol (lost ball; steal by T. Ennis)
5:53.0,Shooting foul by D. Bertans (drawn by D. Nwaba),,88-82,,
5:53.0,Official timeout,,88-82,,
5:53.0,D. Nwaba misses free throw 1 of 2,,88-82,,
5:53.0,Offensive rebound by Team,,88-82,,
5:53.0,D. Nwaba misses free throw 2 of 2,,88-82,,
5:52.0,,,88-82,,Defensive rebound by P. Gasol
5:36.0,,,88-82,,D. Bertans misses 3-pt shot from 25 ft
5:35.0,Defensive rebound by T. Black,,88-82,,
5:18.0,C. Brewer misses 2-pt shot from 2 ft,,88-82,,
5:18.0,Offensive rebound by Team,,88-82,,
5:18.0,,,88-82,,D. Dedmon enters the game for P. Gasol
5:11.0,T. Ennis makes 3-pt shot from 26 ft (assist by D. Nwaba),3,91-82,,
4:49.0,,,91-82,,Turnover by B. Forbes (lost ball; steal by D. Nwaba)
4:43.0,D. Nwaba makes 2-pt shot from 2 ft (assist by C. Brewer),2,93-82,,
4:43.0,,,93-82,,San Antonio full timeout
4:43.0,,,93-82,,J. Simmons enters the game for B. Forbes
4:35.0,Personal foul by C. Brewer (drawn by D. Lee),,93-82,,
4:26.0,,,93-82,,Turnover by D. Bertans (lost ball)
4:13.0,T. Black makes 2-pt shot from 1 ft (assist by T. Ennis),2,95-82,,
4:13.0,Shooting foul by D. Lee (drawn by T. Black),,95-82,,
4:13.0,T. Black makes free throw 1 of 1,1,96-82,,
4:13.0,M. World Peace enters the game for C. Brewer,,95-82,,
3:49.0,,,96-82,,Turnover by Team (shot clock)
3:34.0,T. Black makes 2-pt shot from 1 ft (assist by D. Nwaba),2,98-82,,
3:19.0,,,98-84,2,D. Lee makes 2-pt shot from 5 ft (assist by J. Simmons)
2:56.0,M. World Peace misses 2-pt shot from 16 ft,,98-84,,
2:55.0,,,98-84,,Defensive rebound by D. Dedmon
2:46.0,,,98-87,3,D. Bertans makes 3-pt shot from 24 ft (assist by D. Lee)
2:21.0,D. Nwaba makes 2-pt shot at rim (assist by T. Black),2,100-87,,
2:08.0,,,100-87,,D. Lee misses 2-pt shot from 5 ft (block by T. Black)
2:06.0,,,100-87,,Offensive rebound by D. Lee
2:05.0,,,100-89,2,D. Lee makes 2-pt shot from 1 ft
1:52.0,Turnover by D. Nwaba (bad pass; steal by D. Lee),,100-89,,
1:41.0,,,100-92,3,K. Anderson makes 3-pt shot from 25 ft (assist by D. Lee)
1:27.0,T. Ennis misses 2-pt shot from 2 ft,,100-92,,
1:26.0,,,100-92,,Defensive rebound by D. Dedmon
1:19.0,,,100-95,3,D. Bertans makes 3-pt shot from 27 ft (assist by J. Simmons)
1:04.0,T. Black misses 2-pt shot from 15 ft,,100-95,,
1:03.0,,,100-95,,Defensive rebound by D. Lee
0:56.0,,,100-95,,D. Bertans misses 3-pt shot from 26 ft
0:54.0,Defensive rebound by T. Black,,100-95,,
0:40.0,T. Ennis misses 2-pt shot from 14 ft,,100-95,,
0:38.0,,,100-95,,Defensive rebound by D. Bertans
0:32.0,,,100-95,,Turnover by J. Simmons (bad pass; steal by T. Robinson)
0:28.0,T. Robinson misses 2-pt shot from 3 ft,,100-95,,
0:27.0,Offensive rebound by D. Nwaba,,100-95,,
0:27.0,D. Nwaba makes 2-pt shot at rim,2,102-95,,
0:21.0,,,102-95,,D. Bertans misses 3-pt shot from 26 ft
0:19.0,Defensive rebound by D. Nwaba,,102-95,,
