time,Utah,pts.away,score,pts.home,LA Clippers
2:18.0,J. Johnson enters the game for R. Hood,,41-32,,
2:18.0,D. Favors enters the game for J. Withey,,41-32,,
2:03.0,J. Ingles makes 3-pt shot from 24 ft (assist by G. Hayward),3,44-33,,
1:50.0,,,44-35,2,D. Jordan makes 2-pt shot at rim (assist by C. Paul)
1:25.0,J. Johnson misses 2-pt shot from 14 ft,,44-35,,
1:24.0,Offensive rebound by D. Favors,,44-35,,
1:10.0,D. Favors misses 2-pt shot from 12 ft,,44-35,,
1:09.0,,,44-35,,Defensive rebound by D. Jordan
0:56.0,,,44-37,2,C. Paul makes 2-pt shot from 13 ft (assist by D. Jordan)
0:39.0,Shooting foul by R. Felton (drawn by J. Ingles),,44-37,,
0:39.0,J. Ingles makes free throw 1 of 2,1,45-37,,
0:39.0,J. Ingles makes free throw 2 of 2,1,46-37,,
0:29.0,,,46-39,2,J. Crawford makes 2-pt shot from 7 ft (assist by C. Paul)
0:06.0,J. Johnson misses 2-pt shot from 10 ft,,46-39,,
0:05.0,Offensive rebound by Team,,46-39,,
0:05.0,Turnover by Team (shot clock),,46-39,,
0:02.0,,,46-39,,C. Paul misses 3-pt shot from 41 ft
0:01.0,Defensive rebound by G. Hayward,,46-39,,
0:00.0,End of 2nd quarter,,,,End of 2nd quarter
12:00.0,Start of 3rd quarter,,,,Start of 3rd quarter
11:40.0,,,46-39,,J. Redick misses 2-pt shot from 19 ft
11:37.0,Defensive rebound by R. Gobert,,46-39,,
11:18.0,G. Hayward misses 2-pt shot from 2 ft,,46-39,,
11:17.0,,,46-39,,Defensive rebound by L. Mbah a Moute
11:14.0,,,46-41,2,C. Paul makes 2-pt shot from 2 ft
11:14.0,,,46-41,,Shooting foul by G. Hill (drawn by C. Paul)
11:14.0,,,46-41,,C. Paul misses free throw 1 of 1
11:14.0,Defensive rebound by R. Gobert,,46-41,,
11:00.0,,,46-41,,Personal foul by L. Mbah a Moute (drawn by B. Diaw)
10:52.0,G. Hayward makes 2-pt shot from 7 ft,2,48-41,,
10:52.0,Shooting foul by A. Rivers (drawn by G. Hayward),,48-41,,
10:52.0,G. Hayward makes free throw 1 of 1,1,49-41,,
10:28.0,,,49-41,,Turnover by Team (shot clock)
10:28.0,,,49-41,,P. Pierce enters the game for L. Mbah a Moute
10:16.0,G. Hayward misses 2-pt shot from 19 ft,,49-41,,
10:13.0,,,49-41,,Defensive rebound by J. Redick
10:05.0,,,49-41,,C. Paul misses 2-pt shot from 5 ft
10:04.0,,,49-41,,Offensive rebound by Team
9:51.0,,,49-41,,Turnover by C. Paul (lost ball; steal by J. Ingles)
9:48.0,B. Diaw makes 2-pt shot at rim,2,51-41,,
9:47.0,,,51-41,,Violation by Team (jump ball)
9:35.0,,,51-41,,J. Redick misses 3-pt shot from 26 ft (block by J. Ingles)
9:32.0,Defensive rebound by G. Hayward,,51-41,,
9:18.0,G. Hayward misses 2-pt shot from 16 ft,,51-41,,
9:17.0,,,51-41,,Defensive rebound by D. Jordan
9:08.0,Personal foul by R. Gobert (drawn by D. Jordan),,51-41,,
9:08.0,D. Favors enters the game for R. Gobert,,51-41,,
9:00.0,,,51-44,3,P. Pierce makes 3-pt shot from 28 ft (assist by C. Paul)
8:35.0,B. Diaw makes 2-pt shot from 22 ft (assist by G. Hayward),2,53-44,,
8:35.0,Shooting foul by P. Pierce (drawn by B. Diaw),,53-44,,
8:35.0,B. Diaw makes free throw 1 of 1,1,54-44,,
8:28.0,Personal foul by G. Hayward (drawn by A. Rivers),,54-44,,
8:28.0,,,54-44,,J. Crawford enters the game for J. Redick
8:14.0,,,54-44,,A. Rivers misses 3-pt shot from 26 ft
8:13.0,Defensive rebound by J. Ingles,,54-44,,
8:00.0,D. Favors makes 2-pt shot from 12 ft (assist by G. Hill),2,56-44,,
7:39.0,,,56-44,,C. Paul misses 2-pt shot from 2 ft
7:38.0,Defensive rebound by G. Hill,,56-44,,
7:34.0,B. Diaw makes 2-pt shot from 2 ft (assist by G. Hill),2,58-44,,
7:34.0,Shooting foul by P. Pierce (drawn by B. Diaw),,58-44,,
7:34.0,,,58-44,,LA Clippers full timeout
7:34.0,B. Diaw makes free throw 1 of 1,1,59-44,,
7:34.0,,,58-44,,R. Felton enters the game for A. Rivers
7:11.0,,,59-44,,C. Paul misses 3-pt shot from 24 ft
7:10.0,,,59-44,,Offensive rebound by P. Pierce
7:10.0,,,59-44,,Turnover by Team (shot clock)
6:49.0,G. Hill makes 2-pt shot from 20 ft,2,61-44,,
6:28.0,,,61-46,2,R. Felton makes 2-pt shot from 16 ft
6:00.0,G. Hayward misses 2-pt shot from 12 ft,,61-46,,
5:58.0,,,61-46,,Defensive rebound by P. Pierce
5:53.0,,,61-48,2,D. Jordan makes 2-pt shot at rim (assist by J. Crawford)
5:34.0,Turnover by G. Hill (bad pass; steal by P. Pierce),,61-48,,
5:27.0,Personal block foul by D. Favors (drawn by R. Felton),,61-48,,
5:27.0,J. Johnson enters the game for B. Diaw,,61-48,,
5:21.0,,,61-48,,J. Crawford misses 3-pt shot from 26 ft
5:19.0,Defensive rebound by J. Johnson,,61-48,,
5:12.0,,,61-48,,Personal foul by J. Crawford (drawn by G. Hill)
5:12.0,G. Hill makes free throw 1 of 2,1,62-48,,
5:12.0,G. Hill makes free throw 2 of 2,1,63-48,,
5:12.0,R. Hood enters the game for J. Ingles,,62-48,,
4:54.0,,,63-48,,P. Pierce misses 3-pt shot from 27 ft
4:53.0,Defensive rebound by R. Hood,,63-48,,
4:53.0,,,63-48,,Personal foul by D. Jordan (drawn by R. Hood)
4:53.0,R. Hood makes free throw 1 of 2,1,64-48,,
4:53.0,R. Hood makes free throw 2 of 2,1,65-48,,
4:42.0,,,65-48,,C. Paul misses 2-pt shot from 13 ft
4:41.0,Defensive rebound by J. Johnson,,65-48,,
4:28.0,G. Hill misses 2-pt shot from 2 ft,,65-48,,
4:27.0,Offensive rebound by G. Hill,,65-48,,
4:24.0,G. Hayward makes 3-pt shot from 26 ft (assist by J. Johnson),3,68-48,,
4:05.0,,,68-48,,R. Felton misses 2-pt shot from 5 ft
4:03.0,,,68-48,,Offensive rebound by D. Jordan
4:02.0,,,68-48,,D. Jordan misses 2-pt shot from 3 ft
4:02.0,Defensive rebound by D. Favors,,68-48,,
4:02.0,,,68-48,,Loose ball foul by D. Jordan (drawn by D. Favors)
4:02.0,D. Favors misses free throw 1 of 2,,68-48,,
4:02.0,Offensive rebound by Team,,68-48,,
4:02.0,D. Favors makes free throw 2 of 2,1,69-48,,
4:02.0,,,68-48,,M. Speights enters the game for D. Jordan
4:02.0,J. Ingles enters the game for G. Hill,,68-48,,
3:43.0,,,69-50,2,J. Crawford makes 2-pt shot from 17 ft (assist by R. Felton)
3:26.0,G. Hayward misses 2-pt shot from 2 ft,,69-50,,
3:23.0,Offensive rebound by D. Favors,,69-50,,
3:23.0,D. Favors makes 2-pt shot from 3 ft,2,71-50,,
3:09.0,,,71-53,3,M. Speights makes 3-pt shot from 27 ft (assist by J. Crawford)
2:53.0,J. Ingles misses 3-pt shot from 25 ft,,71-53,,
2:53.0,,,71-53,,Defensive rebound by Team
2:53.0,Utah full timeout,,71-53,,
2:53.0,,,71-53,,A. Rivers enters the game for C. Paul
2:45.0,,,71-53,,M. Speights misses 3-pt shot from 27 ft
2:43.0,Defensive rebound by R. Hood,,71-53,,
2:38.0,Turnover by R. Hood (bad pass; steal by R. Felton),,71-53,,
2:32.0,,,71-55,2,P. Pierce makes 2-pt shot from 3 ft (assist by R. Felton)
2:32.0,,,71-55,,Shooting foul by D. Favors (drawn by P. Pierce)
2:32.0,,,71-56,1,P. Pierce makes free throw 1 of 1
2:21.0,,,71-56,,Personal block foul by A. Rivers (drawn by G. Hayward)
2:21.0,G. Hayward makes free throw 1 of 2,1,72-56,,
2:21.0,G. Hayward makes free throw 2 of 2,1,73-56,,
2:14.0,Personal foul by D. Favors (drawn by M. Speights),,73-56,,
2:14.0,,,73-57,1,M. Speights makes free throw 1 of 2
2:14.0,,,73-58,1,M. Speights makes free throw 2 of 2
1:52.0,D. Favors makes 2-pt shot from 4 ft (assist by J. Johnson),2,75-58,,
1:40.0,,,75-58,,J. Crawford misses 2-pt shot from 6 ft
1:40.0,,,75-58,,Offensive rebound by Team
1:40.0,Loose ball foul by D. Favors (drawn by M. Speights),,75-58,,
1:40.0,,,75-58,,M. Speights misses free throw 1 of 2
1:40.0,,,75-58,,Offensive rebound by Team
1:40.0,,,75-59,1,M. Speights makes free throw 2 of 2
1:26.0,J. Johnson makes 2-pt shot from 5 ft,2,77-59,,
1:11.0,,,77-61,2,R. Felton makes 2-pt shot from 1 ft
0:48.0,J. Johnson misses 2-pt shot from 18 ft,,77-61,,
0:46.0,,,77-61,,Defensive rebound by A. Rivers
0:40.0,,,77-61,,M. Speights misses 3-pt shot from 25 ft
0:39.0,Defensive rebound by G. Hayward,,77-61,,
0:30.0,R. Hood misses 3-pt shot from 26 ft,,77-61,,
0:24.0,,,77-61,,Defensive rebound by J. Crawford
0:08.0,,,77-61,,J. Crawford misses 2-pt shot from 4 ft
0:07.0,,,77-61,,Offensive rebound by M. Speights
0:07.0,,,77-63,2,M. Speights makes 2-pt shot from 2 ft
0:00.0,R. Hood makes 2-pt shot from 1 ft (assist by J. Johnson),2,79-63,,
0:00.0,End of 3rd quarter,,,,End of 3rd quarter
12:00.0,Start of 4th quarter,,,,Start of 4th quarter
11:45.0,Shooting foul by M. Speights (drawn by R. Gobert),,79-63,,
11:45.0,R. Gobert makes free throw 1 of 2,1,80-63,,
11:45.0,R. Gobert misses free throw 2 of 2,,80-63,,
11:43.0,,,80-63,,Defensive rebound by J. Crawford
11:30.0,,,80-63,,A. Rivers misses 2-pt shot from 3 ft
11:30.0,Defensive rebound by Team,,80-63,,
11:30.0,,,80-63,,Loose ball foul by M. Speights (drawn by R. Gobert)
11:30.0,,,80-63,,D. Jordan enters the game for M. Speights
11:03.0,R. Gobert misses 2-pt shot from 2 ft,,80-63,,
11:01.0,,,80-63,,Defensive rebound by C. Paul
10:57.0,Personal take foul by J. Ingles (drawn by D. Jordan),,80-63,,
10:57.0,D. Exum enters the game for J. Johnson,,80-63,,
10:45.0,,,80-65,2,D. Jordan makes 2-pt shot from 2 ft (assist by A. Rivers)
10:45.0,,,80-65,,Shooting foul by G. Hill (drawn by D. Jordan)
10:45.0,,,80-65,,D. Jordan misses free throw 1 of 1
10:45.0,Defensive rebound by Team,,80-65,,
10:45.0,,,80-65,,Loose ball foul by R. Felton (drawn by R. Gobert)
10:25.0,R. Hood misses 3-pt shot from 27 ft,,80-65,,
10:25.0,,,80-65,,Defensive rebound by D. Jordan
10:25.0,Loose ball foul by R. Gobert (drawn by D. Jordan),,80-65,,
10:25.0,G. Hayward enters the game for R. Hood,,80-65,,
10:25.0,D. Favors enters the game for R. Gobert,,80-65,,
10:15.0,,,80-65,,C. Paul misses 3-pt shot from 25 ft
10:14.0,Defensive rebound by D. Exum,,80-65,,
9:59.0,D. Favors misses 2-pt shot from 2 ft,,80-65,,
9:58.0,,,80-65,,Defensive rebound by J. Crawford
9:53.0,,,80-67,2,J. Crawford makes 2-pt shot from 19 ft
9:29.0,G. Hayward makes 2-pt shot from 21 ft,2,82-67,,
9:19.0,,,82-69,2,J. Crawford makes 2-pt shot from 19 ft
9:08.0,G. Hill makes 2-pt shot from 4 ft,2,84-69,,
8:59.0,,,84-71,2,D. Jordan makes 2-pt shot at rim (assist by J. Crawford)
8:47.0,Utah full timeout,,84-71,,
8:47.0,,,84-71,,J. Redick enters the game for R. Felton
8:47.0,J. Johnson enters the game for G. Hill,,84-71,,
8:34.0,G. Hayward makes 2-pt shot from 9 ft,2,86-71,,
8:34.0,Shooting foul by D. Jordan (drawn by G. Hayward),,86-71,,
8:34.0,G. Hayward makes free throw 1 of 1,1,87-71,,
8:23.0,,,87-71,,Shooting foul by J. Ingles (drawn by D. Jordan)
8:23.0,,,87-72,1,D. Jordan makes free throw 1 of 2
8:23.0,,,87-72,,D. Jordan misses free throw 2 of 2
8:21.0,Defensive rebound by G. Hayward,,87-72,,
8:03.0,G. Hayward makes 2-pt shot from 4 ft,2,89-72,,
7:47.0,,,89-74,2,J. Crawford makes 2-pt shot from 2 ft
7:23.0,J. Ingles makes 2-pt shot from 6 ft,2,91-74,,
7:05.0,,,91-77,3,J. Crawford makes 3-pt shot from 28 ft
6:48.0,Offensive foul by G. Hayward,,91-77,,
6:48.0,Turnover by G. Hayward (offensive foul),,91-77,,
6:40.0,,,91-77,,Shooting foul by D. Favors (drawn by D. Jordan)
6:40.0,,,91-78,1,D. Jordan makes free throw 1 of 2
6:40.0,,,91-78,,D. Jordan misses free throw 2 of 2
6:40.0,,,91-78,,R. Felton enters the game for J. Redick
6:40.0,R. Hood enters the game for D. Exum,,91-78,,
6:37.0,Defensive rebound by J. Ingles,,91-78,,
6:19.0,J. Ingles makes 3-pt shot from 26 ft (assist by R. Hood),3,94-78,,
6:02.0,,,94-78,,C. Paul misses 2-pt shot from 10 ft
6:00.0,,,94-78,,Offensive rebound by R. Felton
5:55.0,,,94-80,2,D. Jordan makes 2-pt shot from 1 ft (assist by C. Paul)
5:32.0,J. Johnson makes 2-pt shot from 4 ft,2,96-80,,
5:24.0,,,96-80,,Shooting foul by D. Favors (drawn by J. Crawford)
5:24.0,Official timeout,,96-80,,
5:24.0,,,96-81,1,J. Crawford makes free throw 1 of 2
5:24.0,,,96-82,1,J. Crawford makes free throw 2 of 2
5:24.0,R. Gobert enters the game for D. Favors,,96-80,,
4:59.0,J. Ingles misses 2-pt shot from 9 ft,,96-82,,
4:57.0,,,96-82,,Defensive rebound by J. Crawford
4:51.0,,,96-84,2,J. Crawford makes 2-pt shot from 3 ft
4:51.0,,,96-84,,Shooting foul by G. Hayward (drawn by J. Crawford)
4:51.0,,,96-85,1,J. Crawford makes free throw 1 of 1
4:51.0,G. Hill enters the game for R. Hood,,96-84,,
4:34.0,G. Hill misses 2-pt shot from 22 ft,,96-85,,
4:34.0,,,96-85,,Defensive rebound by C. Paul
4:23.0,,,96-85,,J. Crawford misses 2-pt shot from 14 ft
4:20.0,Defensive rebound by G. Hayward,,96-85,,
4:12.0,G. Hayward makes 2-pt shot from 12 ft,2,98-85,,
3:58.0,,,98-87,2,D. Jordan makes 2-pt shot from 3 ft (assist by C. Paul)
3:41.0,Turnover by G. Hayward (offensive foul),,98-87,,
3:41.0,Offensive foul by G. Hayward,,98-87,,
3:34.0,Violation by J. Johnson (kicked ball),,98-87,,
3:34.0,,,98-87,,LA Clippers full timeout
3:34.0,,,98-87,,J. Redick enters the game for R. Felton
3:28.0,,,98-90,3,J. Redick makes 3-pt shot from 27 ft (assist by C. Paul)
3:02.0,J. Johnson misses 2-pt shot from 5 ft,,98-90,,
2:59.0,Offensive rebound by G. Hill,,98-90,,
2:46.0,G. Hill makes 2-pt shot from 13 ft,2,100-90,,
2:31.0,,,100-90,,J. Redick misses 2-pt shot from 1 ft
2:30.0,Defensive rebound by J. Ingles,,100-90,,
2:14.0,,,100-90,,Personal foul by C. Paul (drawn by J. Johnson)
2:14.0,J. Johnson makes free throw 1 of 2,1,101-90,,
