time,LA Clippers,pts.away,score,pts.home,Washington
7:52.0,J. Redick misses 2-pt shot from 21 ft,,4-8,,
7:52.0,,,4-8,,Defensive rebound by J. Wall
7:41.0,,,4-8,,B. Beal misses 3-pt shot from 25 ft
7:39.0,Defensive rebound by B. Griffin,,4-8,,
7:33.0,B. Griffin makes 2-pt shot from 2 ft,2,6-8,,
7:19.0,,,6-8,,O. Porter misses 3-pt shot from 26 ft
7:17.0,Defensive rebound by D. Jordan,,6-8,,
7:05.0,Turnover by D. Jordan (bad pass; steal by J. Wall),,6-8,,
6:58.0,,,6-11,3,B. Beal makes 3-pt shot from 24 ft (assist by J. Wall)
6:40.0,J. Redick misses 2-pt shot from 20 ft,,6-11,,
6:39.0,,,6-11,,Defensive rebound by M. Morris
6:34.0,,,6-11,,J. Wall misses 3-pt shot from 25 ft
6:32.0,,,6-11,,Offensive rebound by M. Morris
6:28.0,,,6-11,,M. Morris misses 2-pt shot from 9 ft
6:28.0,Defensive rebound by D. Jordan,,6-11,,
6:11.0,Shooting foul by M. Gortat (drawn by L. Mbah a Moute),,6-11,,
6:11.0,L. Mbah a Moute makes free throw 1 of 2,1,7-11,,
6:11.0,L. Mbah a Moute makes free throw 2 of 2,1,8-11,,
6:03.0,,,8-11,,Turnover by J. Wall (bad pass)
5:52.0,C. Paul misses 3-pt shot from 23 ft,,8-11,,
5:51.0,,,8-11,,Defensive rebound by M. Morris
5:48.0,,,8-11,,Offensive charge foul by J. Wall
5:48.0,,,8-11,,Turnover by J. Wall (offensive foul)
5:33.0,B. Griffin misses 2-pt shot from 15 ft,,8-11,,
5:31.0,,,8-11,,Defensive rebound by Team
5:15.0,,,8-11,,M. Gortat misses 2-pt shot from 16 ft
5:13.0,,,8-11,,Offensive rebound by O. Porter
5:12.0,,,8-13,2,O. Porter makes 2-pt shot at rim
4:53.0,Turnover by L. Mbah a Moute (bad pass; steal by O. Porter),,8-13,,
4:50.0,,,8-13,,Shooting foul by L. Mbah a Moute (drawn by O. Porter)
4:50.0,,,8-14,1,O. Porter makes free throw 1 of 2
4:50.0,,,8-14,,O. Porter misses free throw 2 of 2
4:50.0,,,8-14,,A. Nicholson enters the game for M. Morris
4:50.0,A. Rivers enters the game for L. Mbah a Moute,,8-14,,
4:50.0,J. Crawford enters the game for J. Redick,,8-14,,
4:38.0,Defensive rebound by B. Griffin,,8-14,,
4:35.0,Turnover by J. Crawford (bad pass; steal by M. Gortat),,8-14,,
4:29.0,,,8-14,,B. Beal misses 3-pt shot from 26 ft
4:28.0,Defensive rebound by D. Jordan,,8-14,,
4:17.0,B. Griffin misses 2-pt shot from 16 ft,,8-14,,
4:17.0,Offensive rebound by Team,,8-14,,
4:17.0,,,8-14,,Loose ball foul by A. Nicholson (drawn by B. Griffin)
4:08.0,C. Paul makes 2-pt shot from 15 ft,2,10-14,,
3:56.0,,,10-14,,O. Porter misses 3-pt shot from 26 ft
3:55.0,Defensive rebound by J. Crawford,,10-14,,
3:49.0,B. Griffin makes 2-pt shot at rim (assist by C. Paul),2,12-14,,
3:49.0,,,12-14,,Washington full timeout
3:49.0,,,12-14,,T. Burke enters the game for O. Porter
3:37.0,,,12-14,,Turnover by M. Gortat (bad pass)
3:19.0,A. Rivers misses 3-pt shot from 23 ft,,12-14,,
3:19.0,Offensive rebound by Team,,12-14,,
3:19.0,,,12-14,,Loose ball foul by M. Gortat (drawn by D. Jordan)
3:19.0,,,12-14,,D. Ochefu enters the game for M. Gortat
3:19.0,,,12-14,,Violation by Team (jump ball)
3:09.0,B. Griffin makes 2-pt shot from 2 ft,2,14-14,,
2:47.0,,,14-14,,B. Beal misses 2-pt shot from 21 ft
2:45.0,Defensive rebound by C. Paul,,14-14,,
2:41.0,Shooting foul by D. Ochefu (drawn by B. Griffin),,14-14,,
2:41.0,B. Griffin misses free throw 1 of 2,,14-14,,
2:41.0,Offensive rebound by Team,,14-14,,
2:41.0,B. Griffin makes free throw 2 of 2,1,15-14,,
2:25.0,,,15-17,3,T. Burke makes 3-pt shot from 24 ft (assist by J. Wall)
2:12.0,B. Griffin misses 2-pt shot from 6 ft,,15-17,,
2:11.0,Offensive rebound by D. Jordan,,15-17,,
2:05.0,D. Jordan makes 2-pt shot at rim,2,17-17,,
1:49.0,,,17-19,2,A. Nicholson makes 2-pt shot from 2 ft (assist by J. Wall)
1:49.0,,,17-19,,Shooting foul by D. Jordan (drawn by A. Nicholson)
1:49.0,,,17-20,1,A. Nicholson makes free throw 1 of 1
1:49.0,,,17-19,,M. Thornton enters the game for B. Beal
1:49.0,M. Speights enters the game for B. Griffin,,17-19,,
1:49.0,W. Johnson enters the game for D. Jordan,,17-19,,
1:36.0,C. Paul makes 2-pt shot from 18 ft,2,19-20,,
1:28.0,,,19-20,,Turnover by J. Wall (lost ball)
1:14.0,M. Speights makes 3-pt shot from 25 ft (assist by A. Rivers),3,22-20,,
0:54.0,,,22-23,3,M. Thornton makes 3-pt shot from 24 ft (assist by D. Ochefu)
0:36.0,Shooting foul by A. Nicholson (drawn by M. Speights),,22-23,,
0:36.0,M. Speights makes free throw 1 of 2,1,23-23,,
0:36.0,M. Speights makes free throw 2 of 2,1,24-23,,
0:36.0,R. Felton enters the game for C. Paul,,23-23,,
0:30.0,,,24-25,2,J. Wall makes 2-pt shot from 17 ft
0:14.0,M. Speights makes 3-pt shot from 26 ft (assist by J. Crawford),3,27-25,,
0:03.0,Personal foul by M. Speights (drawn by J. Wall),,27-25,,
0:03.0,,,27-26,1,J. Wall makes free throw 1 of 2
0:03.0,,,27-26,,J. Wall misses free throw 2 of 2
0:03.0,,,27-26,,T. Satoransky enters the game for A. Nicholson
0:01.0,,,27-26,,Offensive rebound by J. Wall
0:01.0,,,27-28,2,J. Wall makes 2-pt shot from 20 ft
0:00.0,End of 1st quarter,,,,End of 1st quarter
12:00.0,Start of 2nd quarter,,,,Start of 2nd quarter
11:41.0,W. Johnson misses 3-pt shot from 24 ft,,27-28,,
11:40.0,Offensive rebound by M. Speights,,27-28,,
11:36.0,Turnover by W. Johnson (lost ball; steal by A. Nicholson),,27-28,,
11:16.0,,,27-30,2,M. Thornton makes 2-pt shot from 16 ft (assist by T. Satoransky)
10:59.0,M. Speights misses 3-pt shot from 25 ft,,27-30,,
10:59.0,,,27-30,,Defensive rebound by Team
10:44.0,,,27-30,,Offensive foul by D. Ochefu
10:44.0,,,27-30,,Turnover by D. Ochefu (offensive foul)
10:30.0,A. Rivers misses 2-pt shot from 3 ft,,27-30,,
10:28.0,Offensive rebound by M. Speights,,27-30,,
10:26.0,M. Speights makes 2-pt shot at rim,2,29-30,,
10:13.0,,,29-30,,Turnover by A. Nicholson (3 sec)
9:58.0,J. Crawford misses 3-pt shot from 26 ft,,29-30,,
9:56.0,Offensive rebound by W. Johnson,,29-30,,
9:49.0,J. Crawford misses 2-pt shot from 17 ft,,29-30,,
9:49.0,Offensive rebound by Team,,29-30,,
9:49.0,,,29-30,,Loose ball foul by A. Nicholson (drawn by M. Speights)
9:49.0,,,29-30,,M. Morris enters the game for A. Nicholson
9:35.0,W. Johnson makes 2-pt shot from 19 ft (assist by J. Crawford),2,31-30,,
9:07.0,,,31-33,3,T. Burke makes 3-pt shot from 23 ft (assist by T. Satoransky)
8:42.0,A. Rivers makes 2-pt shot from 18 ft,2,33-33,,
8:35.0,,,33-33,,Offensive charge foul by M. Thornton
8:35.0,,,33-33,,Turnover by M. Thornton (offensive foul)
8:35.0,Official timeout,,33-33,,
8:35.0,,,33-33,,B. Beal enters the game for D. Ochefu
8:21.0,,,33-33,,Personal foul by T. Satoransky (drawn by A. Rivers)
8:14.0,Turnover by J. Crawford (lost ball; steal by M. Morris),,33-33,,
8:00.0,,,33-33,,M. Morris misses 2-pt shot from 17 ft
7:59.0,,,33-33,,Offensive rebound by M. Thornton
7:56.0,,,33-35,2,M. Thornton makes 2-pt shot from 1 ft
7:47.0,R. Felton misses 2-pt shot from 4 ft,,33-35,,
7:46.0,Offensive rebound by R. Felton,,33-35,,
7:43.0,R. Felton misses 2-pt shot at rim (block by M. Morris),,33-35,,
7:41.0,,,33-35,,Defensive rebound by M. Morris
7:39.0,,,33-37,2,B. Beal makes 2-pt shot from 2 ft
7:39.0,,,33-37,,Shooting foul by W. Johnson (drawn by B. Beal)
7:39.0,,,33-38,1,B. Beal makes free throw 1 of 1
7:39.0,B. Griffin enters the game for W. Johnson,,33-37,,
7:25.0,A. Rivers makes 2-pt shot from 1 ft (assist by R. Felton),2,35-38,,
7:13.0,,,35-40,2,B. Beal makes 2-pt shot from 1 ft
6:57.0,B. Griffin makes 2-pt shot from 17 ft (assist by A. Rivers),2,37-40,,
6:42.0,,,37-40,,M. Morris misses 2-pt shot from 13 ft
6:41.0,Defensive rebound by M. Speights,,37-40,,
6:31.0,B. Griffin makes 2-pt shot from 12 ft,2,39-40,,
6:26.0,,,39-40,,Washington full timeout
6:26.0,,,39-40,,M. Gortat enters the game for T. Burke
6:26.0,,,39-40,,J. Wall enters the game for M. Thornton
6:26.0,C. Paul enters the game for M. Speights,,39-40,,
6:26.0,D. Jordan enters the game for R. Felton,,39-40,,
6:18.0,,,39-40,,B. Beal misses 2-pt shot from 22 ft
6:16.0,Defensive rebound by C. Paul,,39-40,,
6:11.0,,,39-40,,Personal foul by B. Beal (drawn by J. Crawford)
5:56.0,B. Griffin misses 2-pt shot from 6 ft,,39-40,,
5:55.0,,,39-40,,Defensive rebound by M. Morris
5:44.0,,,39-43,3,M. Morris makes 3-pt shot from 23 ft (assist by B. Beal)
5:26.0,J. Crawford makes 3-pt shot from 27 ft (assist by C. Paul),3,42-43,,
5:11.0,,,42-45,2,B. Beal makes 2-pt shot at rim
5:00.0,J. Redick enters the game for J. Crawford,,42-45,,
4:49.0,B. Griffin makes 2-pt shot from 19 ft (assist by C. Paul),2,44-45,,
4:32.0,,,44-45,,Shooting foul by A. Rivers (drawn by B. Beal)
4:32.0,,,44-45,,B. Beal misses free throw 1 of 2
4:32.0,,,44-45,,Offensive rebound by Team
4:32.0,Technical foul by A. Rivers (drawn by B. Beal),,44-45,,
4:32.0,,,44-46,1,B. Beal makes technical free throw
4:32.0,,,44-47,1,B. Beal makes free throw 2 of 2
4:32.0,,,44-45,,O. Porter enters the game for T. Satoransky
4:32.0,J. Crawford enters the game for A. Rivers,,44-45,,
4:22.0,Turnover by J. Crawford (bad pass; steal by M. Morris),,44-47,,
4:14.0,,,44-49,2,J. Wall makes 2-pt shot at rim (assist by M. Morris)
4:02.0,Turnover by C. Paul (lost ball),,44-49,,
3:55.0,Personal foul by C. Paul (drawn by M. Morris),,44-49,,
3:43.0,,,44-49,,J. Wall misses 2-pt shot from 11 ft
3:41.0,Defensive rebound by B. Griffin,,44-49,,
3:36.0,D. Jordan makes 2-pt shot from 1 ft (assist by B. Griffin),2,46-49,,
3:29.0,,,46-49,,Turnover by M. Morris (bad pass; steal by C. Paul)
3:22.0,C. Paul makes 2-pt shot from 15 ft,2,48-49,,
3:05.0,,,48-49,,J. Wall misses 2-pt shot from 1 ft
3:04.0,Defensive rebound by D. Jordan,,48-49,,
2:59.0,Shooting foul by B. Beal (drawn by J. Redick),,48-49,,
2:59.0,LA Clippers full timeout,,48-49,,
2:59.0,J. Redick makes free throw 1 of 2,1,49-49,,
2:59.0,J. Redick misses free throw 2 of 2,,49-49,,
2:56.0,,,49-49,,Defensive rebound by M. Morris
2:39.0,,,49-52,3,B. Beal makes 3-pt shot from 25 ft
2:20.0,Shooting foul by M. Morris (drawn by B. Griffin),,49-52,,
2:20.0,B. Griffin misses free throw 1 of 2,,49-52,,
2:20.0,Offensive rebound by Team,,49-52,,
2:20.0,B. Griffin makes free throw 2 of 2,1,50-52,,
2:01.0,,,50-52,,M. Morris misses 3-pt shot from 22 ft
2:00.0,Defensive rebound by J. Crawford,,50-52,,
1:58.0,Shooting foul by M. Morris (drawn by B. Griffin),,50-52,,
1:58.0,B. Griffin makes free throw 1 of 2,1,51-52,,
1:58.0,B. Griffin makes free throw 2 of 2,1,52-52,,
1:58.0,,,51-52,,D. Ochefu enters the game for M. Morris
1:40.0,,,52-52,,B. Beal misses 2-pt shot from 6 ft
1:40.0,Defensive rebound by Team,,52-52,,
1:33.0,C. Paul misses 2-pt shot from 13 ft,,52-52,,
1:32.0,,,52-52,,Defensive rebound by J. Wall
1:27.0,,,52-52,,J. Wall misses 2-pt shot from 8 ft
1:25.0,Defensive rebound by D. Jordan,,52-52,,
1:10.0,D. Jordan makes 2-pt shot at rim (assist by B. Griffin),2,54-52,,
0:57.0,Personal foul by J. Redick (drawn by B. Beal),,54-52,,
0:43.0,,,54-52,,B. Beal misses 3-pt shot from 26 ft
0:42.0,Defensive rebound by D. Jordan,,54-52,,
0:40.0,Turnover by D. Jordan (bad pass),,54-52,,
0:33.0,,,54-52,,J. Wall misses 2-pt shot from 16 ft
0:33.0,,,54-52,,Offensive rebound by M. Gortat
0:32.0,,,54-52,,M. Gortat misses 2-pt shot from 1 ft
0:31.0,,,54-52,,Offensive rebound by D. Ochefu
0:27.0,,,54-52,,D. Ochefu misses 2-pt shot from 2 ft
0:25.0,Defensive rebound by B. Griffin,,54-52,,
0:06.0,J. Crawford misses 3-pt shot from 23 ft,,54-52,,
0:05.0,Offensive rebound by D. Jordan,,54-52,,
0:04.0,,,54-52,,Loose ball foul by D. Ochefu (drawn by D. Jordan)
0:04.0,D. Jordan misses free throw 1 of 2,,54-52,,
0:04.0,Offensive rebound by Team,,54-52,,
0:04.0,,,54-52,,Washington full timeout
0:04.0,D. Jordan makes free throw 2 of 2,1,55-52,,
0:04.0,R. Felton enters the game for J. Redick,,54-52,,
0:04.0,L. Mbah a Moute enters the game for J. Crawford,,54-52,,
0:04.0,A. Rivers enters the game for C. Paul,,54-52,,
0:01.0,,,55-52,,J. Wall misses 3-pt shot from 26 ft
0:00.0,,,55-52,,Offensive rebound by Team
0:00.0,End of 2nd quarter,,,,End of 2nd quarter
12:00.0,Start of 3rd quarter,,,,Start of 3rd quarter
11:50.0,D. Jordan makes 2-pt shot at rim (assist by B. Griffin),2,57-52,,
11:30.0,,,57-52,,O. Porter misses 2-pt shot from 17 ft
11:29.0,Defensive rebound by Team,,57-52,,
11:19.0,J. Redick makes 3-pt shot from 26 ft (assist by C. Paul),3,60-52,,
11:06.0,,,60-52,,B. Beal misses 2-pt shot from 10 ft
11:04.0,,,60-52,,Offensive rebound by O. Porter
10:54.0,,,60-52,,M. Gortat misses 2-pt shot from 9 ft
10:53.0,Defensive rebound by D. Jordan,,60-52,,
10:46.0,C. Paul misses 2-pt shot from 15 ft,,60-52,,
10:45.0,,,60-52,,Defensive rebound by M. Gortat
10:32.0,,,60-52,,Shooting foul by L. Mbah a Moute (drawn by O. Porter)
10:32.0,,,60-53,1,O. Porter makes free throw 1 of 2
10:32.0,,,60-54,1,O. Porter makes free throw 2 of 2
10:18.0,J. Redick makes 3-pt shot from 25 ft (assist by C. Paul),3,63-54,,
10:03.0,,,63-54,,B. Beal misses 2-pt shot from 2 ft
10:00.0,Defensive rebound by C. Paul,,63-54,,
9:47.0,L. Mbah a Moute makes 2-pt shot from 1 ft (assist by C. Paul),2,65-54,,
9:47.0,,,65-54,,Washington full timeout
9:36.0,,,65-56,2,M. Morris makes 2-pt shot at rim (assist by J. Wall)
9:17.0,J. Redick makes 2-pt shot from 21 ft (assist by B. Griffin),2,67-56,,
9:12.0,,,67-58,2,B. Beal makes 2-pt shot at rim
9:12.0,,,67-58,,Shooting foul by J. Redick (drawn by B. Beal)
9:12.0,,,67-59,1,B. Beal makes free throw 1 of 1
8:49.0,Shooting foul by M. Morris (drawn by B. Griffin),,67-59,,
8:49.0,B. Griffin makes free throw 1 of 2,1,68-59,,
8:49.0,B. Griffin makes free throw 2 of 2,1,69-59,,
8:33.0,,,69-61,2,O. Porter makes 2-pt shot from 14 ft (assist by J. Wall)
8:22.0,L. Mbah a Moute makes 2-pt shot from 1 ft (assist by C. Paul),2,71-61,,
8:16.0,Violation by Team (jump ball),,71-61,,
8:08.0,,,71-63,2,B. Beal makes 2-pt shot from 13 ft (assist by O. Porter)
7:50.0,J. Redick misses 3-pt shot from 26 ft (block by J. Wall),,71-63,,
7:49.0,,,71-63,,Defensive rebound by M. Morris
7:46.0,,,71-63,,Turnover by M. Morris (bad pass; steal by C. Paul)
7:42.0,J. Redick misses 3-pt shot from 26 ft,,71-63,,
7:41.0,,,71-63,,Defensive rebound by B. Beal
7:39.0,,,71-66,3,B. Beal makes 3-pt shot from 27 ft (assist by J. Wall)
7:10.0,B. Griffin makes 2-pt shot from 4 ft,2,73-66,,
6:57.0,,,73-68,2,M. Morris makes 2-pt shot from 9 ft
6:33.0,B. Griffin misses 2-pt shot from 11 ft,,73-68,,
6:32.0,,,73-68,,Defensive rebound by M. Gortat
6:20.0,,,73-71,3,B. Beal makes 3-pt shot from 23 ft (assist by J. Wall)
6:20.0,LA Clippers full timeout,,73-71,,
6:20.0,,,73-71,,A. Nicholson enters the game for M. Morris
5:59.0,,,73-71,,Personal foul by J. Wall (drawn by C. Paul)
5:53.0,L. Mbah a Moute misses 3-pt shot from 25 ft,,73-71,,
5:53.0,,,73-71,,Defensive rebound by Team
5:35.0,,,73-71,,B. Beal misses 3-pt shot from 26 ft
5:33.0,Defensive rebound by D. Jordan,,73-71,,
5:27.0,B. Griffin makes 2-pt shot from 16 ft (assist by C. Paul),2,75-71,,
5:06.0,,,75-71,,O. Porter misses 2-pt shot from 20 ft
5:05.0,Defensive rebound by D. Jordan,,75-71,,
4:58.0,B. Griffin misses 2-pt shot from 20 ft,,75-71,,
4:56.0,,,75-71,,Defensive rebound by O. Porter
4:51.0,,,75-71,,A. Nicholson misses 2-pt shot from 6 ft
4:49.0,Defensive rebound by B. Griffin,,75-71,,
4:31.0,C. Paul misses 2-pt shot from 19 ft,,75-71,,
4:30.0,,,75-71,,Defensive rebound by Team
4:19.0,,,75-73,2,J. Wall makes 2-pt shot from 17 ft
4:03.0,,,75-73,,Def 3 sec tech foul by A. Nicholson
4:03.0,C. Paul misses technical free throw,,75-73,,
4:03.0,Offensive rebound by Team,,75-73,,
3:56.0,J. Redick makes 2-pt shot from 21 ft (assist by D. Jordan),2,77-73,,
3:39.0,,,77-73,,J. Wall misses 2-pt shot from 11 ft
3:38.0,,,77-73,,Offensive rebound by M. Gortat
3:34.0,,,77-73,,M. Gortat misses 2-pt shot from 2 ft
3:32.0,Defensive rebound by J. Redick,,77-73,,
3:27.0,B. Griffin misses 2-pt shot from 19 ft,,77-73,,
3:27.0,,,77-73,,Defensive rebound by B. Beal
3:22.0,,,77-73,,Shooting foul by C. Paul (drawn by B. Beal)
3:22.0,,,77-74,1,B. Beal makes free throw 1 of 2
3:22.0,,,77-75,1,B. Beal makes free throw 2 of 2
3:22.0,J. Crawford enters the game for L. Mbah a Moute,,77-74,,
3:22.0,,,77-74,,T. Burke enters the game for O. Porter
3:07.0,J. Redick makes 2-pt shot from 20 ft (assist by C. Paul),2,79-75,,
2:57.0,,,79-78,3,B. Beal makes 3-pt shot from 26 ft
2:36.0,B. Griffin makes 2-pt shot at rim (assist by C. Paul),2,81-78,,
2:25.0,,,81-80,2,B. Beal makes 2-pt shot from 10 ft
2:12.0,D. Jordan makes 2-pt shot at rim (assist by B. Griffin),2,83-80,,
1:58.0,Personal foul by J. Crawford (drawn by J. Wall),,83-80,,
1:58.0,A. Rivers enters the game for J. Redick,,83-80,,
1:54.0,,,83-80,,B. Beal misses 2-pt shot from 2 ft (block by D. Jordan)
1:52.0,,,83-80,,Offensive rebound by J. Wall
1:46.0,,,83-80,,J. Wall misses 2-pt shot from 18 ft
1:45.0,Defensive rebound by B. Griffin,,83-80,,
1:24.0,Turnover by J. Crawford (bad pass; steal by B. Beal),,83-80,,
1:18.0,,,83-82,2,J. Wall makes 2-pt shot from 1 ft (assist by B. Beal)
1:18.0,,,83-82,,Technical foul by J. Wall
1:18.0,J. Crawford makes technical free throw,1,84-82,,
1:18.0,,,84-82,,M. Thornton enters the game for J. Wall
0:56.0,B. Griffin misses 2-pt shot from 21 ft,,84-82,,
0:54.0,,,84-82,,Defensive rebound by M. Thornton
0:42.0,,,84-84,2,M. Gortat makes 2-pt shot from 15 ft (assist by A. Nicholson)
0:35.0,C. Paul makes 3-pt shot from 25 ft,3,87-84,,
0:17.0,Personal foul by A. Rivers (drawn by T. Burke),,87-84,,
0:17.0,,,87-84,,T. Burke misses free throw 1 of 2
0:17.0,,,87-84,,Offensive rebound by Team
0:17.0,,,87-85,1,T. Burke makes free throw 2 of 2
0:17.0,M. Speights enters the game for D. Jordan,,87-84,,
0:07.0,,,87-85,,Personal take foul by T. Burke (drawn by C. Paul)
0:07.0,,,87-85,,O. Porter enters the game for A. Nicholson
0:01.0,M. Speights misses 3-pt shot from 24 ft,,87-85,,
0:00.0,Offensive rebound by Team,,87-85,,
0:00.0,End of 3rd quarter,,,,End of 3rd quarter
12:00.0,Start of 4th quarter,,,,Start of 4th quarter
11:40.0,,,87-87,2,M. Gortat makes 2-pt shot from 8 ft
11:26.0,A. Rivers makes 2-pt shot from 1 ft (assist by J. Crawford),2,89-87,,
11:13.0,Personal foul by M. Speights (drawn by M. Gortat),,89-87,,
11:02.0,,,89-89,2,M. Morris makes 2-pt shot at rim
10:44.0,J. Crawford misses 2-pt shot from 23 ft,,89-89,,
10:44.0,,,89-89,,Defensive rebound by M. Thornton
10:33.0,,,89-89,,M. Thornton misses 2-pt shot from 7 ft
10:29.0,Defensive rebound by W. Johnson,,89-89,,
10:19.0,A. Rivers makes 2-pt shot from 1 ft (assist by W. Johnson),2,91-89,,
10:07.0,,,91-91,2,M. Morris makes 2-pt shot from 6 ft (assist by O. Porter)
10:07.0,,,91-91,,Shooting foul by W. Johnson (drawn by M. Morris)
10:07.0,,,91-91,,M. Morris misses free throw 1 of 1
10:05.0,Defensive rebound by R. Felton,,91-91,,
9:56.0,Shooting foul by O. Porter (drawn by M. Speights),,91-91,,
9:56.0,M. Speights makes free throw 1 of 2,1,92-91,,
9:56.0,M. Speights makes free throw 2 of 2,1,93-91,,
9:38.0,,,93-91,,Turnover by T. Burke (bad pass; steal by W. Johnson)
9:29.0,,,93-91,,Personal foul by T. Burke (drawn by M. Speights)
9:18.0,M. Speights misses 3-pt shot from 25 ft,,93-91,,
9:18.0,,,93-91,,Defensive rebound by M. Gortat
9:06.0,,,93-93,2,O. Porter makes 2-pt shot from 12 ft (assist by T. Burke)
8:50.0,R. Felton misses 2-pt shot from 18 ft,,93-93,,
8:48.0,Offensive rebound by M. Speights,,93-93,,
8:45.0,M. Speights makes 2-pt shot from 1 ft,2,95-93,,
8:31.0,Personal foul by M. Speights (drawn by M. Gortat),,95-93,,
8:31.0,Official timeout,,95-93,,
8:31.0,B. Griffin enters the game for W. Johnson,,95-93,,
8:20.0,,,95-93,,Turnover by M. Thornton (bad pass; steal by A. Rivers)
8:03.0,B. Griffin misses 2-pt shot from 20 ft,,95-93,,
8:00.0,,,95-93,,Defensive rebound by M. Thornton
7:47.0,,,95-95,2,M. Gortat makes 2-pt shot from 13 ft
7:28.0,A. Rivers makes 2-pt shot from 1 ft (assist by B. Griffin),2,97-95,,
7:16.0,,,97-95,,T. Burke misses 2-pt shot from 13 ft
7:16.0,Defensive rebound by Team,,97-95,,
7:16.0,,,97-95,,Personal foul by M. Gortat (drawn by M. Speights)
7:16.0,,,97-95,,J. Wall enters the game for T. Burke
7:16.0,,,97-95,,B. Beal enters the game for M. Thornton
7:16.0,C. Paul enters the game for M. Speights,,97-95,,
7:16.0,D. Jordan enters the game for R. Felton,,97-95,,
7:00.0,J. Crawford makes 2-pt shot from 21 ft,2,99-95,,
6:48.0,Personal foul by A. Rivers (drawn by M. Morris),,99-95,,
6:38.0,,,99-95,,Turnover by B. Beal (bad pass; steal by A. Rivers)
6:23.0,A. Rivers makes 3-pt shot from 26 ft (assist by D. Jordan),3,102-95,,
6:23.0,,,102-95,,Washington full timeout
6:05.0,,,102-97,2,M. Morris makes 2-pt shot from 5 ft
5:45.0,B. Griffin misses 2-pt shot from 3 ft,,102-97,,
5:44.0,,,102-97,,Defensive rebound by M. Morris
5:35.0,,,102-99,2,J. Wall makes 2-pt shot from 20 ft
5:07.0,Turnover by A. Rivers (lost ball; steal by M. Morris),,102-99,,
5:01.0,,,102-102,3,B. Beal makes 3-pt shot from 24 ft (assist by J. Wall)
5:01.0,LA Clippers full timeout,,102-102,,
4:42.0,C. Paul makes 2-pt shot from 19 ft,2,104-102,,
4:23.0,,,104-102,,Turnover by J. Wall (bad pass; steal by B. Griffin)
4:10.0,Turnover by C. Paul (bad pass; steal by O. Porter),,104-102,,
4:07.0,Personal foul by A. Rivers (drawn by J. Wall),,104-102,,
4:07.0,,,104-103,1,J. Wall makes free throw 1 of 2
4:07.0,,,104-104,1,J. Wall makes free throw 2 of 2
4:07.0,J. Redick enters the game for J. Crawford,,104-103,,
3:59.0,,,104-104,,Violation by M. Morris (kicked ball)
3:45.0,B. Griffin misses 2-pt shot from 20 ft,,104-104,,
3:43.0,Offensive rebound by C. Paul,,104-104,,
3:39.0,A. Rivers misses 3-pt shot from 24 ft,,104-104,,
3:38.0,,,104-104,,Defensive rebound by O. Porter
3:31.0,,,104-106,2,M. Morris makes 2-pt shot at rim (assist by J. Wall)
3:15.0,J. Redick makes 2-pt shot from 19 ft (assist by C. Paul),2,106-106,,
