time,LA Lakers,pts.away,score,pts.home,Orlando
4:09.0,T. Robinson enters the game for L. Deng,,5-14,,
4:07.0,Turnover by Team (shot clock),,5-14,,
3:45.0,,,5-14,,A. Gordon misses 2-pt shot from 10 ft
3:42.0,Defensive rebound by T. Robinson,,5-14,,
3:38.0,L. Williams misses 2-pt shot from 2 ft,,5-14,,
3:35.0,,,5-14,,Defensive rebound by B. Biyombo
3:27.0,,,5-17,3,J. Meeks makes 3-pt shot from 25 ft (assist by E. Payton)
3:04.0,T. Robinson misses 2-pt shot from 12 ft,,5-17,,
3:01.0,,,5-17,,Defensive rebound by A. Gordon
2:52.0,,,5-19,2,A. Gordon makes 2-pt shot from 1 ft
2:51.0,LA Lakers full timeout,,5-19,,
2:51.0,,,5-19,,Orlando full timeout
2:51.0,B. Ingram enters the game for N. Young,,5-19,,
2:51.0,,,5-19,,J. Green enters the game for B. Biyombo
2:51.0,,,5-19,,N. Vucevic enters the game for J. Meeks
2:40.0,,,5-19,,Personal foul by E. Payton
2:37.0,Shooting foul by J. Green (drawn by B. Ingram),,5-19,,
2:37.0,B. Ingram makes free throw 1 of 2,1,6-19,,
2:37.0,B. Ingram makes free throw 2 of 2,1,7-19,,
2:25.0,,,7-21,2,E. Payton makes 2-pt shot from 7 ft
2:07.0,L. Williams misses 2-pt shot from 2 ft (block by S. Ibaka),,7-21,,
2:04.0,,,7-21,,Defensive rebound by S. Ibaka
2:00.0,,,7-21,,Shooting foul by I. Zubac (drawn by A. Gordon)
2:00.0,,,7-22,1,A. Gordon makes free throw 1 of 2
2:00.0,,,7-23,1,A. Gordon makes free throw 2 of 2
2:00.0,,,7-22,,C. Watson enters the game for S. Ibaka
1:38.0,B. Ingram makes 2-pt shot from 2 ft,2,9-23,,
1:38.0,Shooting foul by A. Gordon (drawn by B. Ingram),,9-23,,
1:38.0,B. Ingram makes free throw 1 of 1,1,10-23,,
1:27.0,,,10-26,3,A. Gordon makes 3-pt shot from 24 ft (assist by N. Vucevic)
1:08.0,I. Zubac misses 2-pt shot from 10 ft,,10-26,,
1:08.0,,,10-26,,Defensive rebound by A. Gordon
0:52.0,,,10-26,,N. Vucevic misses 2-pt shot from 8 ft
0:50.0,Defensive rebound by J. Clarkson,,10-26,,
0:43.0,I. Zubac makes 2-pt shot from 3 ft (assist by J. Clarkson),2,12-26,,
0:34.0,,,12-28,2,E. Payton makes 2-pt shot from 7 ft
0:15.0,L. Williams misses 2-pt shot from 5 ft,,12-28,,
0:15.0,Offensive rebound by I. Zubac,,12-28,,
0:15.0,I. Zubac makes 2-pt shot from 2 ft,2,14-28,,
0:02.0,,,14-30,2,E. Payton makes 2-pt shot from 20 ft
0:00.0,L. Williams misses 3-pt shot from 43 ft,,14-30,,
0:00.0,Offensive rebound by Team,,14-30,,
0:00.0,End of 1st quarter,,,,End of 1st quarter
12:00.0,Start of 2nd quarter,,,,Start of 2nd quarter
11:50.0,,,14-30,,Shooting foul by B. Ingram (drawn by J. Green)
11:50.0,,,14-30,,J. Green misses free throw 1 of 2
11:50.0,,,14-30,,Offensive rebound by Team
11:50.0,,,14-31,1,J. Green makes free throw 2 of 2
11:25.0,B. Ingram makes 2-pt shot from 3 ft (assist by J. Clarkson),2,16-31,,
11:10.0,,,16-31,,B. Biyombo misses 2-pt shot from 10 ft
11:09.0,Defensive rebound by T. Robinson,,16-31,,
11:02.0,J. Clarkson makes 2-pt shot from 19 ft,2,18-31,,
10:52.0,,,18-31,,N. Vucevic misses 2-pt shot from 20 ft
10:51.0,Defensive rebound by J. Clarkson,,18-31,,
10:38.0,J. Clarkson makes 2-pt shot from 10 ft (assist by I. Zubac),2,20-31,,
10:32.0,,,20-33,2,B. Biyombo makes 2-pt shot at rim (assist by E. Payton)
10:16.0,,,20-33,,Violation by B. Biyombo (kicked ball)
10:10.0,J. Clarkson misses 2-pt shot from 8 ft,,20-33,,
10:08.0,Offensive rebound by T. Robinson,,20-33,,
10:08.0,T. Robinson makes 2-pt shot at rim,2,22-33,,
9:57.0,,,22-36,3,J. Green makes 3-pt shot from 25 ft (assist by E. Payton)
9:45.0,Turnover by J. Clarkson (bad pass; steal by N. Vucevic),,22-36,,
9:27.0,,,22-39,3,E. Payton makes 3-pt shot from 24 ft (assist by C. Watson)
9:13.0,Shooting foul by B. Biyombo,,22-39,,
9:13.0,L. Williams makes free throw 1 of 2,1,23-39,,
9:13.0,L. Williams misses free throw 2 of 2,,23-39,,
9:12.0,,,23-39,,Defensive rebound by N. Vucevic
8:57.0,,,23-39,,B. Biyombo misses 2-pt shot at rim
8:55.0,Defensive rebound by B. Ingram,,23-39,,
8:50.0,J. Clarkson makes 3-pt shot from 23 ft (assist by B. Ingram),3,26-39,,
8:33.0,,,26-42,3,E. Payton makes 3-pt shot from 26 ft (assist by C. Watson)
8:14.0,I. Zubac misses 2-pt shot from 2 ft,,26-42,,
8:13.0,Offensive rebound by J. Clarkson,,26-42,,
8:13.0,J. Clarkson misses 2-pt shot from 1 ft,,26-42,,
8:10.0,,,26-42,,Defensive rebound by B. Biyombo
8:03.0,,,26-44,2,N. Vucevic makes 2-pt shot from 6 ft (assist by C. Watson)
7:42.0,Turnover by I. Zubac (bad pass),,26-44,,
7:42.0,Official timeout,,26-44,,
7:42.0,D. Russell enters the game for J. Clarkson,,26-44,,
7:42.0,L. Deng enters the game for L. Williams,,26-44,,
7:42.0,T. Mozgov enters the game for I. Zubac,,26-44,,
7:42.0,N. Young enters the game for T. Robinson,,26-44,,
7:25.0,,,26-46,2,C. Watson makes 2-pt shot from 18 ft
7:08.0,B. Ingram misses 3-pt shot from 24 ft,,26-46,,
7:07.0,,,26-46,,Defensive rebound by E. Payton
7:02.0,,,26-46,,Shooting foul by B. Ingram (drawn by B. Biyombo)
7:02.0,,,26-48,2,B. Biyombo makes 2-pt shot at rim (assist by E. Payton)
7:02.0,,,26-48,,B. Biyombo misses free throw 1 of 1
7:01.0,Defensive rebound by T. Mozgov,,26-48,,
6:46.0,B. Ingram misses 2-pt shot from 1 ft,,26-48,,
6:43.0,Offensive rebound by B. Ingram,,26-48,,
6:43.0,B. Ingram misses 2-pt shot from 2 ft,,26-48,,
6:40.0,,,26-48,,Defensive rebound by C. Watson
6:34.0,,,26-48,,Turnover by J. Green (bad pass; steal by D. Russell)
6:22.0,B. Ingram misses 3-pt shot from 26 ft,,26-48,,
6:20.0,,,26-48,,Defensive rebound by B. Biyombo
6:08.0,,,26-48,,N. Vucevic misses 2-pt shot from 19 ft
6:06.0,Defensive rebound by N. Young,,26-48,,
5:54.0,Turnover by D. Russell (bad pass; steal by E. Payton),,26-48,,
5:45.0,,,26-48,,Shooting foul by B. Ingram (drawn by N. Vucevic)
5:45.0,,,26-48,,Orlando full timeout
5:45.0,,,26-49,1,N. Vucevic makes free throw 1 of 2
5:45.0,,,26-49,,N. Vucevic misses free throw 2 of 2
5:45.0,,,26-48,,D. Augustin enters the game for C. Watson
5:45.0,M. Huertas enters the game for B. Ingram,,26-48,,
5:44.0,Defensive rebound by L. Deng,,26-49,,
5:33.0,M. Huertas makes 2-pt shot from 13 ft,2,28-49,,
5:17.0,,,28-49,,Turnover by N. Vucevic (bad pass)
5:05.0,N. Young misses 3-pt shot from 25 ft,,28-49,,
5:04.0,,,28-49,,Defensive rebound by B. Biyombo
4:51.0,,,28-49,,E. Payton misses 3-pt shot from 25 ft
4:49.0,Defensive rebound by D. Russell,,28-49,,
4:44.0,Shooting foul by N. Vucevic (drawn by N. Young),,28-49,,
4:44.0,N. Young misses free throw 1 of 2,,28-49,,
4:44.0,Offensive rebound by Team,,28-49,,
4:44.0,N. Young misses free throw 2 of 2,,28-49,,
4:44.0,,,28-49,,S. Ibaka enters the game for E. Payton
4:44.0,,,28-49,,J. Meeks enters the game for N. Vucevic
4:43.0,,,28-49,,Defensive rebound by S. Ibaka
4:25.0,,,28-51,2,J. Green makes 2-pt shot from 13 ft
4:04.0,T. Mozgov misses 2-pt shot from 12 ft,,28-51,,
4:03.0,,,28-51,,Defensive rebound by B. Biyombo
3:52.0,,,28-51,,Shooting foul by D. Russell (drawn by J. Meeks)
3:52.0,,,28-52,1,J. Meeks makes free throw 1 of 2
3:52.0,,,28-53,1,J. Meeks makes free throw 2 of 2
3:41.0,D. Russell makes 2-pt shot from 6 ft,2,30-53,,
3:41.0,Shooting foul by J. Meeks (drawn by D. Russell),,30-53,,
3:41.0,D. Russell makes free throw 1 of 1,1,31-53,,
3:25.0,,,31-53,,Offensive foul by J. Green
3:25.0,,,31-53,,Turnover by J. Green (offensive foul)
3:25.0,,,31-53,,A. Gordon enters the game for J. Green
3:06.0,T. Mozgov makes 2-pt shot at rim (assist by L. Deng),2,33-53,,
2:45.0,,,33-55,2,J. Meeks makes 2-pt shot from 15 ft (assist by D. Augustin)
2:32.0,L. Deng makes 3-pt shot from 25 ft (assist by D. Russell),3,36-55,,
2:10.0,,,36-57,2,S. Ibaka makes 2-pt shot from 16 ft
2:04.0,Offensive foul by T. Mozgov,,36-57,,
2:04.0,Turnover by T. Mozgov (offensive foul),,36-57,,
2:04.0,LA Lakers full timeout,,36-57,,
2:04.0,,,36-57,,N. Vucevic enters the game for B. Biyombo
1:54.0,Violation by D. Russell (kicked ball),,36-57,,
1:45.0,,,36-57,,Offensive foul by S. Ibaka
1:45.0,,,36-57,,Turnover by S. Ibaka (offensive foul)
1:30.0,M. Huertas misses 2-pt shot from 12 ft,,36-57,,
1:28.0,,,36-57,,Defensive rebound by D. Augustin
1:23.0,,,36-57,,Turnover by D. Augustin (bad pass; steal by N. Young)
1:18.0,Shooting foul by S. Ibaka (drawn by L. Deng),,36-57,,
1:18.0,L. Deng makes free throw 1 of 2,1,37-57,,
1:18.0,L. Deng makes free throw 2 of 2,1,38-57,,
1:00.0,,,38-57,,Offensive foul by D. Augustin
1:00.0,,,38-57,,Turnover by D. Augustin (offensive foul)
1:00.0,,,38-57,,E. Payton enters the game for D. Augustin
1:00.0,,,38-57,,C. Watson enters the game for S. Ibaka
0:46.0,D. Russell misses 2-pt shot from 22 ft,,38-57,,
0:45.0,Offensive rebound by Team,,38-57,,
0:45.0,,,38-57,,Loose ball foul by N. Vucevic (drawn by T. Mozgov)
0:45.0,T. Mozgov makes free throw 1 of 2,1,39-57,,
0:45.0,T. Mozgov makes free throw 2 of 2,1,40-57,,
0:45.0,,,39-57,,B. Biyombo enters the game for N. Vucevic
0:40.0,,,40-57,,Orlando full timeout
0:25.0,,,40-57,,J. Meeks misses 3-pt shot from 25 ft
0:23.0,Defensive rebound by M. Huertas,,40-57,,
0:04.0,D. Russell misses 3-pt shot from 23 ft,,40-57,,
0:03.0,,,40-57,,Defensive rebound by A. Gordon
0:00.0,End of 2nd quarter,,,,End of 2nd quarter
12:00.0,Start of 3rd quarter,,,,Start of 3rd quarter
11:38.0,,,40-57,,Turnover by D. Augustin (bad pass; steal by D. Russell)
11:37.0,D. Russell makes 2-pt shot from 2 ft,2,42-57,,
11:37.0,Shooting foul by J. Meeks (drawn by D. Russell),,42-57,,
11:37.0,D. Russell makes free throw 1 of 1,1,43-57,,
11:16.0,,,43-57,,Shooting foul by D. Russell (drawn by B. Biyombo)
11:16.0,,,43-57,,B. Biyombo misses free throw 1 of 2
11:16.0,,,43-57,,Offensive rebound by Team
11:16.0,,,43-57,,B. Biyombo misses free throw 2 of 2
11:15.0,Defensive rebound by L. Deng,,43-57,,
10:58.0,N. Young misses 2-pt shot from 13 ft,,43-57,,
10:57.0,,,43-57,,Defensive rebound by S. Ibaka
10:37.0,,,43-59,2,S. Ibaka makes 2-pt shot from 2 ft (assist by D. Augustin)
10:37.0,,,43-59,,Shooting foul by L. Deng (drawn by S. Ibaka)
10:37.0,,,43-60,1,S. Ibaka makes free throw 1 of 1
10:21.0,D. Russell makes 2-pt shot from 21 ft (assist by L. Deng),2,45-60,,
10:06.0,,,45-60,,J. Meeks misses 3-pt shot from 25 ft
10:05.0,Defensive rebound by L. Deng,,45-60,,
9:58.0,D. Russell makes 3-pt shot from 23 ft (assist by B. Ingram),3,48-60,,
9:32.0,,,48-60,,D. Augustin misses 3-pt shot from 25 ft
9:31.0,Defensive rebound by B. Ingram,,48-60,,
9:20.0,L. Deng makes 2-pt shot from 2 ft,2,50-60,,
9:19.0,,,50-60,,Orlando full timeout
8:58.0,,,50-60,,A. Gordon misses 2-pt shot from 16 ft
8:57.0,,,50-60,,Offensive rebound by S. Ibaka
8:55.0,,,50-60,,S. Ibaka misses 2-pt shot from 3 ft (block by N. Young)
8:53.0,,,50-60,,Offensive rebound by D. Augustin
8:48.0,Personal foul by B. Ingram (drawn by B. Biyombo),,50-60,,
8:43.0,,,50-60,,J. Meeks misses 3-pt shot from 26 ft
8:42.0,,,50-60,,Offensive rebound by A. Gordon
8:42.0,,,50-62,2,A. Gordon makes 2-pt shot from 2 ft
8:22.0,B. Ingram makes 2-pt shot from 12 ft,2,52-62,,
8:05.0,,,52-62,,S. Ibaka misses 3-pt shot from 27 ft
8:04.0,Defensive rebound by L. Deng,,52-62,,
7:56.0,L. Deng makes 2-pt shot from 23 ft (assist by D. Russell),2,54-62,,
7:34.0,,,54-64,2,B. Biyombo makes 2-pt shot from 13 ft (assist by D. Augustin)
7:25.0,L. Deng misses 2-pt shot from 8 ft,,54-64,,
7:21.0,,,54-64,,Defensive rebound by B. Biyombo
7:05.0,,,54-64,,Turnover by A. Gordon (lost ball; steal by N. Young)
7:01.0,D. Russell makes 2-pt shot from 2 ft (assist by L. Deng),2,56-64,,
6:45.0,J. Clarkson enters the game for B. Ingram,,56-64,,
6:37.0,,,56-64,,A. Gordon misses 3-pt shot from 23 ft
6:35.0,,,56-64,,Offensive rebound by S. Ibaka
6:34.0,,,56-66,2,S. Ibaka makes 2-pt shot at rim
6:13.0,Turnover by L. Deng (bad pass; steal by J. Meeks),,56-66,,
6:09.0,,,56-66,,J. Meeks misses 2-pt shot from 3 ft (block by N. Young)
6:06.0,Defensive rebound by J. Clarkson,,56-66,,
5:57.0,J. Clarkson misses 2-pt shot from 6 ft,,56-66,,
5:56.0,Offensive rebound by L. Deng,,56-66,,
5:56.0,L. Deng misses 2-pt shot from 1 ft,,56-66,,
5:54.0,,,56-66,,Defensive rebound by Team
5:39.0,,,56-69,3,D. Augustin makes 3-pt shot from 24 ft (assist by J. Meeks)
5:20.0,Turnover by D. Russell (bad pass; steal by S. Ibaka),,56-69,,
5:15.0,,,56-69,,Turnover by D. Augustin (lost ball)
5:03.0,D. Russell makes 2-pt shot from 2 ft,2,58-69,,
4:49.0,,,58-69,,S. Ibaka misses 2-pt shot from 16 ft
4:47.0,,,58-69,,Offensive rebound by B. Biyombo
4:41.0,,,58-71,2,J. Meeks makes 2-pt shot from 2 ft (assist by D. Augustin)
4:31.0,D. Russell misses 2-pt shot from 17 ft,,58-71,,
4:29.0,Offensive rebound by T. Mozgov,,58-71,,
4:24.0,D. Russell misses 2-pt shot from 5 ft,,58-71,,
4:20.0,,,58-71,,Defensive rebound by S. Ibaka
4:09.0,,,58-71,,B. Biyombo misses 2-pt shot from 14 ft
4:08.0,Defensive rebound by T. Mozgov,,58-71,,
4:00.0,L. Deng misses 3-pt shot from 26 ft,,58-71,,
3:59.0,,,58-71,,Defensive rebound by B. Biyombo
3:49.0,,,58-71,,A. Gordon misses 2-pt shot from 17 ft
3:49.0,,,58-71,,Offensive rebound by Team
3:49.0,Loose ball foul by L. Deng (drawn by S. Ibaka),,58-71,,
3:49.0,LA Lakers full timeout,,58-71,,
3:49.0,,,58-71,,J. Green enters the game for A. Gordon
3:49.0,,,58-71,,E. Payton enters the game for B. Biyombo
3:49.0,,,58-71,,N. Vucevic enters the game for D. Augustin
3:49.0,T. Robinson enters the game for L. Deng,,58-71,,
3:49.0,I. Zubac enters the game for T. Mozgov,,58-71,,
3:49.0,L. Williams enters the game for N. Young,,58-71,,
3:38.0,,,58-71,,N. Vucevic misses 2-pt shot from 8 ft
3:35.0,Defensive rebound by T. Robinson,,58-71,,
3:19.0,I. Zubac misses 2-pt shot from 1 ft (block by S. Ibaka),,58-71,,
3:15.0,,,58-71,,Defensive rebound by N. Vucevic
3:13.0,,,58-71,,E. Payton misses 2-pt shot from 2 ft
3:13.0,,,58-71,,Offensive rebound by S. Ibaka
3:13.0,,,58-71,,Shooting foul by D. Russell (drawn by S. Ibaka)
3:13.0,,,58-71,,S. Ibaka misses free throw 1 of 2
3:13.0,,,58-71,,Offensive rebound by Team
3:13.0,,,58-72,1,S. Ibaka makes free throw 2 of 2
3:13.0,M. Huertas enters the game for D. Russell,,58-71,,
3:07.0,L. Williams makes 2-pt shot from 2 ft (assist by M. Huertas),2,60-72,,
2:52.0,,,60-74,2,S. Ibaka makes 2-pt shot from 15 ft (assist by E. Payton)
2:34.0,I. Zubac misses 2-pt shot from 7 ft,,60-74,,
2:32.0,Offensive rebound by T. Robinson,,60-74,,
2:32.0,T. Robinson makes 2-pt shot from 1 ft,2,62-74,,
2:22.0,,,62-74,,J. Green misses 3-pt shot from 24 ft
2:21.0,Defensive rebound by T. Robinson,,62-74,,
2:03.0,J. Clarkson misses 3-pt shot from 25 ft,,62-74,,
2:01.0,,,62-74,,Defensive rebound by S. Ibaka
1:51.0,,,62-76,2,N. Vucevic makes 2-pt shot from 14 ft
1:39.0,Turnover by T. Robinson (bad pass; steal by J. Meeks),,62-76,,
1:36.0,,,62-76,,J. Meeks misses 2-pt shot from 1 ft (block by M. Huertas)
1:36.0,,,62-76,,Offensive rebound by Team
1:34.0,,,62-76,,C. Watson enters the game for J. Meeks
1:29.0,,,62-79,3,S. Ibaka makes 3-pt shot from 27 ft (assist by E. Payton)
1:13.0,Shooting foul by E. Payton,,62-79,,
1:13.0,L. Williams makes free throw 1 of 3,1,63-79,,
1:13.0,L. Williams makes free throw 2 of 3,1,64-79,,
1:13.0,L. Williams makes free throw 3 of 3,1,65-79,,
1:00.0,,,65-82,3,E. Payton makes 3-pt shot from 25 ft (assist by J. Green)
0:56.0,Shooting foul by S. Ibaka (drawn by T. Robinson),,65-82,,
0:56.0,T. Robinson makes free throw 1 of 2,1,66-82,,
0:56.0,T. Robinson misses free throw 2 of 2,,66-82,,
0:55.0,,,66-82,,Defensive rebound by N. Vucevic
0:42.0,,,66-84,2,E. Payton makes 2-pt shot from 2 ft (assist by N. Vucevic)
0:36.0,Turnover by J. Clarkson (step out of bounds),,66-84,,
0:31.0,,,66-86,2,E. Payton makes 2-pt shot from 2 ft
0:09.0,L. Williams misses 3-pt shot from 28 ft,,66-86,,
0:06.0,Offensive rebound by T. Robinson,,66-86,,
0:04.0,J. Clarkson makes 3-pt shot from 26 ft (assist by M. Huertas),3,69-86,,
0:01.0,,,69-86,,C. Watson misses 2-pt shot from 5 ft (block by T. Robinson)
0:00.0,,,69-86,,Offensive rebound by Team
0:00.0,End of 3rd quarter,,,,End of 3rd quarter
12:00.0,Start of 4th quarter,,,,Start of 4th quarter
11:43.0,I. Zubac misses 2-pt shot from 2 ft,,69-86,,
11:38.0,,,69-86,,Defensive rebound by N. Vucevic
11:26.0,,,69-86,,Turnover by C. Watson (bad pass; steal by L. Williams)
11:14.0,L. Williams misses 2-pt shot from 12 ft,,69-86,,
11:13.0,Offensive rebound by T. Robinson,,69-86,,
11:11.0,T. Robinson makes 2-pt shot at rim,2,71-86,,
11:01.0,,,71-86,,Turnover by J. Green (bad pass; steal by L. Williams)
10:55.0,L. Williams misses 2-pt shot from 3 ft,,71-86,,
10:55.0,,,71-86,,Defensive rebound by Team
10:55.0,Loose ball foul by T. Robinson (drawn by C. Watson),,71-86,,
10:45.0,,,71-86,,Turnover by N. Vucevic (bad pass; steal by M. Huertas)
10:36.0,J. Clarkson misses 3-pt shot from 24 ft,,71-86,,
10:35.0,,,71-86,,Defensive rebound by E. Payton
10:29.0,,,71-88,2,E. Payton makes 2-pt shot from 16 ft
10:10.0,J. Clarkson makes 3-pt shot from 25 ft (assist by L. Williams),3,74-88,,
9:51.0,,,74-88,,E. Payton misses 3-pt shot from 25 ft
9:51.0,Defensive rebound by Team,,74-88,,
9:51.0,L. Deng enters the game for I. Zubac,,74-88,,
9:40.0,T. Robinson misses 2-pt shot from 2 ft (block by N. Vucevic),,74-88,,
9:38.0,Offensive rebound by T. Robinson,,74-88,,
9:35.0,L. Williams makes 3-pt shot from 23 ft (assist by T. Robinson),3,77-88,,
9:28.0,,,77-88,,Orlando full timeout
9:10.0,,,77-88,,D. Rudez misses 2-pt shot from 19 ft
9:08.0,Defensive rebound by J. Clarkson,,77-88,,
8:48.0,M. Huertas misses 2-pt shot from 14 ft,,77-88,,
8:44.0,,,77-88,,Defensive rebound by E. Payton
8:35.0,,,77-88,,Turnover by J. Green (bad pass; steal by M. Huertas)
8:31.0,J. Clarkson makes 2-pt shot from 1 ft (assist by M. Huertas),2,79-88,,
8:11.0,,,79-88,,N. Vucevic misses 2-pt shot from 3 ft
8:10.0,Defensive rebound by T. Robinson,,79-88,,
7:53.0,J. Clarkson makes 3-pt shot from 24 ft,3,82-88,,
7:35.0,,,82-90,2,E. Payton makes 2-pt shot from 19 ft
7:22.0,Turnover by M. Huertas (bad pass; steal by C. Watson),,82-90,,
7:17.0,,,82-92,2,C. Watson makes 2-pt shot from 10 ft
6:55.0,Turnover by J. Clarkson (bad pass; steal by D. Rudez),,82-92,,
6:50.0,,,82-94,2,C. Watson makes 2-pt shot from 1 ft (assist by E. Payton)
6:48.0,LA Lakers full timeout,,82-94,,
6:48.0,T. Mozgov enters the game for T. Robinson,,82-94,,
6:48.0,B. Ingram enters the game for M. Huertas,,82-94,,
6:48.0,,,82-94,,J. Meeks enters the game for J. Green
6:48.0,,,82-94,,S. Ibaka enters the game for D. Rudez
6:24.0,T. Mozgov misses 2-pt shot from 2 ft,,82-94,,
6:24.0,Offensive rebound by T. Mozgov,,82-94,,
6:24.0,Turnover by Team (shot clock),,82-94,,
6:24.0,D. Russell enters the game for L. Williams,,82-94,,
6:24.0,,,82-94,,Orlando full timeout
6:09.0,,,82-96,2,N. Vucevic makes 2-pt shot from 12 ft
5:45.0,J. Clarkson misses 3-pt shot from 25 ft,,82-96,,
5:43.0,,,82-96,,Defensive rebound by J. Meeks
5:35.0,,,82-99,3,C. Watson makes 3-pt shot from 25 ft (assist by E. Payton)
5:35.0,LA Lakers full timeout,,82-99,,
5:35.0,L. Williams enters the game for B. Ingram,,82-99,,
5:35.0,N. Young enters the game for T. Mozgov,,82-99,,
5:23.0,Turnover by J. Clarkson (offensive foul),,82-99,,
5:23.0,Offensive charge foul by J. Clarkson,,82-99,,
5:14.0,,,82-101,2,N. Vucevic makes 2-pt shot from 7 ft (assist by C. Watson)
4:58.0,L. Deng misses 2-pt shot from 23 ft,,82-101,,
4:57.0,,,82-101,,Defensive rebound by S. Ibaka
4:49.0,,,82-101,,C. Watson misses 3-pt shot from 25 ft
4:48.0,Defensive rebound by L. Deng,,82-101,,
4:39.0,L. Williams makes 2-pt shot from 3 ft,2,84-101,,
4:29.0,,,84-101,,J. Meeks misses 2-pt shot from 15 ft
4:25.0,Defensive rebound by L. Williams,,84-101,,
