time,Denver,pts.away,score,pts.home,Philadelphia
8:29.0,Turnover by W. Barton (bad pass),,4-8,,
8:19.0,,,4-10,2,S. Rodriguez makes 2-pt shot from 19 ft (assist by J. Embiid)
8:18.0,Denver full timeout,,4-10,,
8:12.0,Turnover by D. Gallinari (bad pass; steal by G. Henderson),,4-10,,
7:50.0,,,4-10,,Shooting foul by E. Mudiay (drawn by G. Henderson)
7:50.0,,,4-11,1,G. Henderson makes free throw 1 of 2
7:50.0,,,4-12,1,G. Henderson makes free throw 2 of 2
7:35.0,D. Gallinari misses 3-pt shot from 25 ft,,4-12,,
7:34.0,,,4-12,,Defensive rebound by J. Embiid
7:28.0,,,4-12,,Turnover by S. Rodriguez (lost ball; steal by D. Gallinari)
7:22.0,D. Gallinari makes 2-pt shot from 2 ft,2,6-12,,
6:56.0,,,6-12,,G. Henderson misses 3-pt shot from 23 ft
6:54.0,Defensive rebound by J. Nurkic,,6-12,,
6:49.0,W. Barton misses 3-pt shot from 25 ft,,6-12,,
6:48.0,,,6-12,,Defensive rebound by G. Henderson
6:43.0,,,6-12,,E. Ilyasova misses 2-pt shot from 3 ft (block by W. Barton)
6:43.0,,,6-12,,Offensive rebound by Team
6:43.0,,,6-12,,R. Holmes enters the game for J. Embiid
6:43.0,W. Chandler enters the game for K. Faried,,6-12,,
6:31.0,,,6-15,3,S. Rodriguez makes 3-pt shot from 26 ft
6:18.0,W. Chandler misses 2-pt shot from 2 ft (block by R. Holmes),,6-15,,
6:17.0,Offensive rebound by J. Nurkic,,6-15,,
6:17.0,J. Nurkic makes 2-pt shot at rim,2,8-15,,
6:17.0,,,8-15,,Philadelphia full timeout
6:17.0,,,8-15,,D. Saric enters the game for G. Henderson
6:07.0,,,8-15,,D. Saric misses 2-pt shot from 3 ft (block by D. Gallinari)
6:05.0,Defensive rebound by W. Barton,,8-15,,
5:59.0,Turnover by E. Mudiay (traveling),,8-15,,
5:52.0,,,8-15,,S. Rodriguez misses 2-pt shot from 16 ft
5:50.0,,,8-15,,Offensive rebound by R. Holmes
5:45.0,,,8-15,,S. Rodriguez misses 2-pt shot from 9 ft
5:43.0,,,8-15,,Offensive rebound by R. Holmes
5:40.0,,,8-15,,R. Holmes misses 2-pt shot from 4 ft (block by J. Nurkic)
5:38.0,Defensive rebound by W. Chandler,,8-15,,
5:32.0,D. Gallinari makes 3-pt shot from 24 ft (assist by W. Chandler),3,11-15,,
5:13.0,,,11-17,2,E. Ilyasova makes 2-pt shot from 3 ft
4:54.0,J. Nurkic misses 2-pt shot from 4 ft,,11-17,,
4:53.0,Offensive rebound by J. Nurkic,,11-17,,
4:53.0,Shooting foul by R. Holmes (drawn by J. Nurkic),,11-17,,
4:53.0,J. Nurkic misses free throw 1 of 2,,11-17,,
4:53.0,Offensive rebound by Team,,11-17,,
4:53.0,J. Nurkic misses free throw 2 of 2,,11-17,,
4:53.0,,,11-17,,T. McConnell enters the game for S. Rodriguez
4:53.0,,,11-17,,H. Thompson enters the game for E. Ilyasova
4:53.0,J. Nelson enters the game for E. Mudiay,,11-17,,
4:52.0,,,11-17,,Defensive rebound by R. Holmes
4:41.0,,,11-17,,D. Saric misses 2-pt shot from 21 ft
4:40.0,Defensive rebound by J. Nurkic,,11-17,,
4:29.0,J. Nurkic makes 2-pt shot at rim (assist by D. Gallinari),2,13-17,,
4:12.0,,,13-17,,R. Holmes misses 3-pt shot from 24 ft
4:10.0,,,13-17,,Offensive rebound by D. Saric
4:00.0,,,13-17,,Shooting foul by W. Chandler (drawn by N. Stauskas)
4:00.0,,,13-17,,N. Stauskas misses free throw 1 of 2
4:00.0,,,13-17,,Offensive rebound by Team
4:00.0,,,13-18,1,N. Stauskas makes free throw 2 of 2
4:00.0,D. Arthur enters the game for W. Barton,,13-17,,
4:00.0,J. Murray enters the game for J. Nurkic,,13-17,,
3:47.0,Turnover by D. Arthur (bad pass; steal by T. McConnell),,13-18,,
3:41.0,,,13-18,,H. Thompson misses 2-pt shot from 24 ft
3:40.0,Defensive rebound by J. Nelson,,13-18,,
3:25.0,,,13-18,,Personal foul by T. McConnell (drawn by D. Gallinari)
3:25.0,,,13-18,,T. Luwawu-Cabarrot enters the game for N. Stauskas
3:18.0,D. Gallinari misses 2-pt shot from 1 ft,,13-18,,
3:17.0,,,13-18,,Defensive rebound by H. Thompson
3:11.0,,,13-18,,D. Saric misses 3-pt shot from 25 ft
3:10.0,Defensive rebound by D. Gallinari,,13-18,,
3:05.0,,,13-18,,Shooting block foul by D. Saric (drawn by D. Gallinari)
3:05.0,D. Gallinari makes free throw 1 of 2,1,14-18,,
3:05.0,D. Gallinari misses free throw 2 of 2,,14-18,,
3:03.0,,,14-18,,Defensive rebound by D. Saric
2:51.0,,,14-20,2,R. Holmes makes 2-pt shot at rim (assist by H. Thompson)
2:33.0,D. Gallinari misses 3-pt shot from 28 ft,,14-20,,
2:31.0,,,14-20,,Defensive rebound by T. McConnell
2:24.0,,,14-20,,R. Holmes misses 2-pt shot from 3 ft
2:22.0,Defensive rebound by D. Arthur,,14-20,,
2:14.0,D. Arthur misses 3-pt shot from 25 ft,,14-20,,
2:13.0,,,14-20,,Defensive rebound by D. Saric
2:00.0,,,14-22,2,D. Saric makes 2-pt shot from 1 ft (assist by T. McConnell)
1:51.0,Turnover by W. Chandler (lost ball; steal by T. Luwawu-Cabarrot),,14-22,,
1:46.0,,,14-22,,T. Luwawu-Cabarrot misses 2-pt shot from 1 ft
1:45.0,Defensive rebound by W. Chandler,,14-22,,
1:43.0,J. Hernangomez enters the game for D. Gallinari,,14-22,,
1:24.0,J. Murray makes 3-pt shot from 25 ft,3,17-22,,
1:03.0,,,17-24,2,D. Saric makes 2-pt shot from 4 ft
1:03.0,,,17-24,,Shooting foul by W. Chandler (drawn by D. Saric)
1:03.0,,,17-25,1,D. Saric makes free throw 1 of 1
1:03.0,,,17-24,,J. Embiid enters the game for R. Holmes
0:53.0,Turnover by W. Chandler (lost ball; steal by D. Saric),,17-25,,
0:42.0,,,17-25,,H. Thompson misses 2-pt shot from 4 ft
0:40.0,Defensive rebound by J. Nelson,,17-25,,
0:37.0,,,17-25,,Personal foul by T. Luwawu-Cabarrot (drawn by J. Nelson)
0:37.0,J. Nelson makes free throw 1 of 2,1,18-25,,
0:37.0,J. Nelson misses free throw 2 of 2,,18-25,,
0:37.0,A. Gee enters the game for W. Chandler,,18-25,,
0:36.0,,,18-25,,Defensive rebound by D. Saric
0:32.0,,,18-25,,Turnover by D. Saric (bad pass; steal by J. Nelson)
0:29.0,J. Nelson misses 3-pt shot from 25 ft,,18-25,,
0:27.0,,,18-25,,Defensive rebound by D. Saric
0:09.0,,,18-25,,Shooting foul by D. Arthur (drawn by T. Luwawu-Cabarrot)
0:09.0,,,18-26,1,T. Luwawu-Cabarrot makes free throw 1 of 2
0:09.0,,,18-27,1,T. Luwawu-Cabarrot makes free throw 2 of 2
0:09.0,W. Chandler enters the game for A. Gee,,18-26,,
0:09.0,,,18-26,,R. Holmes enters the game for J. Embiid
0:01.0,J. Nelson misses 3-pt shot from 25 ft,,18-27,,
0:01.0,,,18-27,,Defensive rebound by D. Saric
0:00.0,End of 1st quarter,,,,End of 1st quarter
12:00.0,Start of 2nd quarter,,,,Start of 2nd quarter
11:39.0,J. Murray makes 2-pt shot from 5 ft,2,20-27,,
11:24.0,,,20-29,2,J. Embiid makes 2-pt shot from 18 ft
11:10.0,W. Barton makes 2-pt shot from 15 ft,2,22-29,,
11:00.0,Personal foul by J. Nurkic (drawn by J. Embiid),,22-29,,
10:43.0,,,22-29,,J. Embiid misses 2-pt shot from 15 ft
10:42.0,Defensive rebound by J. Nelson,,22-29,,
10:37.0,J. Nurkic misses 2-pt shot from 2 ft (block by J. Embiid),,22-29,,
10:36.0,Offensive rebound by J. Nurkic,,22-29,,
10:35.0,Denver full timeout,,22-29,,
10:35.0,,,22-29,,E. Ilyasova enters the game for D. Saric
10:35.0,,,22-29,,G. Henderson enters the game for H. Thompson
10:30.0,Shooting foul by T. Luwawu-Cabarrot (drawn by W. Barton),,22-29,,
10:30.0,W. Barton misses free throw 1 of 2,,22-29,,
10:30.0,Offensive rebound by Team,,22-29,,
10:30.0,W. Barton misses free throw 2 of 2,,22-29,,
10:30.0,,,22-29,,N. Stauskas enters the game for T. Luwawu-Cabarrot
10:29.0,,,22-29,,Defensive rebound by T. McConnell
10:15.0,,,22-31,2,G. Henderson makes 2-pt shot from 13 ft
10:01.0,W. Barton misses 2-pt shot from 7 ft (block by J. Embiid),,22-31,,
9:59.0,Offensive rebound by W. Barton,,22-31,,
9:51.0,W. Barton makes 2-pt shot from 11 ft,2,24-31,,
9:34.0,,,24-31,,J. Embiid misses 2-pt shot from 3 ft (block by J. Nurkic)
9:32.0,Defensive rebound by J. Murray,,24-31,,
9:29.0,W. Barton misses 2-pt shot from 3 ft (block by T. McConnell),,24-31,,
9:29.0,Offensive rebound by Team,,24-31,,
9:29.0,,,24-31,,S. Rodriguez enters the game for T. McConnell
9:19.0,J. Murray misses 3-pt shot from 27 ft,,24-31,,
9:17.0,,,24-31,,Defensive rebound by G. Henderson
9:09.0,,,24-31,,Shooting foul by J. Nelson (drawn by E. Ilyasova)
9:09.0,,,24-32,1,E. Ilyasova makes free throw 1 of 2
9:09.0,,,24-32,,E. Ilyasova misses free throw 2 of 2
9:07.0,Defensive rebound by J. Hernangomez,,24-32,,
8:50.0,,,24-32,,Personal block foul by J. Embiid (drawn by J. Nurkic)
8:50.0,Official timeout,,24-32,,
8:50.0,,,24-32,,R. Holmes enters the game for J. Embiid
8:50.0,D. Gallinari enters the game for J. Hernangomez,,24-32,,
8:46.0,J. Murray makes 2-pt shot from 3 ft (assist by J. Nelson),2,26-32,,
8:30.0,,,26-34,2,E. Ilyasova makes 2-pt shot from 16 ft
8:20.0,W. Barton makes 2-pt shot from 16 ft,2,28-34,,
8:02.0,,,28-34,,Turnover by S. Rodriguez (bad pass; steal by J. Nurkic)
7:48.0,J. Murray makes 2-pt shot from 13 ft (assist by J. Nurkic),2,30-34,,
7:28.0,,,30-37,3,G. Henderson makes 3-pt shot from 25 ft (assist by E. Ilyasova)
7:12.0,J. Nurkic makes 2-pt shot from 1 ft (assist by D. Gallinari),2,32-37,,
6:46.0,,,32-39,2,S. Rodriguez makes 2-pt shot from 21 ft
6:45.0,Denver full timeout,,32-39,,
6:45.0,E. Mudiay enters the game for J. Nelson,,32-39,,
6:45.0,K. Faried enters the game for J. Nurkic,,32-39,,
6:30.0,Shooting foul by N. Stauskas (drawn by K. Faried),,32-39,,
6:30.0,K. Faried makes free throw 1 of 2,1,33-39,,
6:30.0,K. Faried makes free throw 2 of 2,1,34-39,,
6:16.0,,,34-39,,E. Ilyasova misses 2-pt shot from 3 ft
6:15.0,,,34-39,,Offensive rebound by E. Ilyasova
6:15.0,,,34-41,2,E. Ilyasova makes 2-pt shot from 1 ft
6:00.0,D. Gallinari misses 3-pt shot from 26 ft,,34-41,,
5:59.0,,,34-41,,Defensive rebound by G. Henderson
5:44.0,,,34-41,,Shooting foul by K. Faried (drawn by G. Henderson)
5:44.0,,,34-42,1,G. Henderson makes free throw 1 of 2
5:44.0,,,34-42,,G. Henderson misses free throw 2 of 2
5:44.0,D. Arthur enters the game for K. Faried,,34-42,,
5:44.0,W. Chandler enters the game for W. Barton,,34-42,,
5:43.0,Defensive rebound by D. Arthur,,34-42,,
5:20.0,W. Chandler misses 3-pt shot from 25 ft,,34-42,,
5:19.0,,,34-42,,Defensive rebound by S. Rodriguez
5:04.0,,,34-42,,Turnover by G. Henderson (bad pass; steal by D. Gallinari)
5:00.0,J. Murray makes 2-pt shot from 2 ft (assist by D. Arthur),2,36-42,,
4:45.0,,,36-44,2,R. Holmes makes 2-pt shot from 5 ft (assist by N. Stauskas)
4:37.0,Shooting foul by R. Holmes (drawn by E. Mudiay),,36-44,,
4:37.0,E. Mudiay makes free throw 1 of 2,1,37-44,,
4:37.0,E. Mudiay makes free throw 2 of 2,1,38-44,,
4:37.0,,,37-44,,D. Saric enters the game for G. Henderson
4:26.0,,,38-46,2,R. Holmes makes 2-pt shot from 4 ft (assist by S. Rodriguez)
4:08.0,Shooting foul by R. Holmes (drawn by J. Murray),,38-46,,
4:08.0,J. Murray makes free throw 1 of 2,1,39-46,,
4:08.0,J. Murray makes free throw 2 of 2,1,40-46,,
4:08.0,,,39-46,,H. Thompson enters the game for R. Holmes
3:59.0,,,40-48,2,S. Rodriguez makes 2-pt shot from 17 ft
3:50.0,E. Mudiay misses 2-pt shot from 1 ft,,40-48,,
3:48.0,,,40-48,,Defensive rebound by D. Saric
3:41.0,,,40-48,,D. Saric misses 3-pt shot from 25 ft
3:39.0,Defensive rebound by D. Gallinari,,40-48,,
3:33.0,Turnover by W. Chandler (lost ball; steal by S. Rodriguez),,40-48,,
3:27.0,,,40-50,2,D. Saric makes 2-pt shot from 2 ft (assist by S. Rodriguez)
3:18.0,Denver full timeout,,40-50,,
3:18.0,J. Nelson enters the game for W. Chandler,,40-50,,
3:04.0,J. Nelson makes 2-pt shot from 17 ft,2,42-50,,
2:50.0,,,42-50,,E. Ilyasova misses 3-pt shot from 26 ft
2:48.0,Defensive rebound by J. Murray,,42-50,,
2:39.0,D. Gallinari makes 3-pt shot from 24 ft (assist by J. Murray),3,45-50,,
2:11.0,,,45-50,,S. Rodriguez misses 3-pt shot from 25 ft
2:10.0,,,45-50,,Offensive rebound by Team
2:10.0,,,45-50,,Philadelphia full timeout
2:02.0,,,45-50,,S. Rodriguez misses 2-pt shot from 19 ft
2:00.0,Defensive rebound by D. Arthur,,45-50,,
1:53.0,Shooting foul by N. Stauskas (drawn by D. Gallinari),,45-50,,
1:53.0,D. Gallinari makes free throw 1 of 2,1,46-50,,
1:53.0,D. Gallinari makes free throw 2 of 2,1,47-50,,
1:39.0,,,47-53,3,D. Saric makes 3-pt shot from 27 ft (assist by N. Stauskas)
1:19.0,,,47-53,,Def 3 sec tech foul by H. Thompson
1:19.0,J. Murray makes technical free throw,1,48-53,,
1:19.0,,,48-53,,T. McConnell enters the game for S. Rodriguez
1:07.0,E. Mudiay misses 2-pt shot from 1 ft,,48-53,,
1:06.0,Offensive rebound by D. Arthur,,48-53,,
1:06.0,D. Arthur misses 2-pt shot from 1 ft,,48-53,,
1:04.0,,,48-53,,Defensive rebound by D. Saric
0:53.0,,,48-53,,N. Stauskas misses 3-pt shot from 26 ft
0:51.0,Defensive rebound by J. Murray,,48-53,,
0:46.0,J. Murray makes 3-pt shot from 26 ft,3,51-53,,
0:34.0,,,51-53,,Turnover by N. Stauskas (bad pass)
0:23.0,J. Murray misses 3-pt shot from 26 ft,,51-53,,
0:21.0,,,51-53,,Defensive rebound by H. Thompson
0:16.0,,,51-53,,Philadelphia full timeout
0:16.0,A. Gee enters the game for J. Murray,,51-53,,
0:06.0,Personal foul by J. Nelson (drawn by T. McConnell),,51-53,,
0:00.0,,,51-53,,E. Ilyasova misses 3-pt shot from 26 ft
0:00.0,,,51-53,,Offensive rebound by Team
0:00.0,End of 2nd quarter,,,,End of 2nd quarter
12:00.0,Start of 3rd quarter,,,,Start of 3rd quarter
11:49.0,,,51-53,,Personal foul by G. Henderson (drawn by D. Gallinari)
11:39.0,K. Faried misses 2-pt shot from 5 ft (block by J. Embiid),,51-53,,
11:38.0,,,51-53,,Defensive rebound by G. Henderson
11:30.0,,,51-53,,Shooting foul by W. Barton (drawn by G. Henderson)
11:30.0,,,51-54,1,G. Henderson makes free throw 1 of 2
11:30.0,,,51-55,1,G. Henderson makes free throw 2 of 2
11:15.0,,,51-55,,Personal foul by J. Embiid (drawn by D. Gallinari)
11:10.0,Turnover by E. Mudiay (lost ball; steal by S. Rodriguez),,51-55,,
11:02.0,,,51-55,,N. Stauskas misses 3-pt shot from 27 ft
11:01.0,Defensive rebound by Team,,51-55,,
10:46.0,D. Gallinari makes 3-pt shot from 26 ft (assist by W. Barton),3,54-55,,
10:35.0,,,54-55,,Turnover by N. Stauskas (bad pass)
10:16.0,D. Gallinari misses 2-pt shot from 20 ft,,54-55,,
10:14.0,,,54-55,,Defensive rebound by E. Ilyasova
9:59.0,,,54-55,,J. Embiid misses 2-pt shot from 8 ft (block by K. Faried)
9:58.0,Defensive rebound by W. Barton,,54-55,,
9:55.0,W. Barton misses 2-pt shot from 4 ft (block by N. Stauskas),,54-55,,
9:53.0,,,54-55,,Defensive rebound by S. Rodriguez
9:48.0,,,54-58,3,E. Ilyasova makes 3-pt shot from 24 ft (assist by S. Rodriguez)
9:26.0,W. Barton misses 2-pt shot from 15 ft,,54-58,,
9:25.0,,,54-58,,Defensive rebound by G. Henderson
9:25.0,Loose ball foul by J. Nurkic (drawn by G. Henderson),,54-58,,
9:25.0,,,54-58,,T. Luwawu-Cabarrot enters the game for N. Stauskas
9:06.0,,,54-58,,Turnover by J. Embiid (lost ball; steal by W. Barton)
9:02.0,W. Barton misses 2-pt shot from 5 ft,,54-58,,
9:01.0,,,54-58,,Defensive rebound by Team
9:01.0,Loose ball foul by K. Faried (drawn by E. Ilyasova),,54-58,,
9:01.0,,,54-58,,Technical foul by J. Embiid
9:01.0,W. Barton misses technical free throw,,54-58,,
9:01.0,,,54-58,,Offensive rebound by Team
8:44.0,,,54-58,,S. Rodriguez misses 2-pt shot from 2 ft
8:43.0,Defensive rebound by J. Nurkic,,54-58,,
8:27.0,W. Barton misses 3-pt shot from 25 ft,,54-58,,
8:26.0,,,54-58,,Defensive rebound by Team
8:10.0,,,54-58,,J. Embiid misses 2-pt shot from 2 ft
8:06.0,,,54-58,,Offensive rebound by J. Embiid
8:06.0,,,54-58,,J. Embiid misses 2-pt shot from 10 ft
8:05.0,Defensive rebound by W. Barton,,54-58,,
7:56.0,W. Barton makes 2-pt shot from 4 ft,2,56-58,,
7:43.0,,,56-58,,Turnover by J. Embiid (lost ball; steal by W. Barton)
7:40.0,W. Barton makes 2-pt shot at rim,2,58-58,,
7:20.0,,,58-58,,E. Ilyasova misses 2-pt shot from 3 ft
7:18.0,Defensive rebound by J. Nurkic,,58-58,,
7:15.0,,,58-58,,Personal foul by S. Rodriguez (drawn by E. Mudiay)
7:15.0,,,58-58,,R. Holmes enters the game for J. Embiid
7:08.0,Turnover by K. Faried (bad pass; steal by G. Henderson),,58-58,,
7:02.0,,,58-60,2,R. Holmes makes 2-pt shot at rim (assist by S. Rodriguez)
6:41.0,E. Mudiay misses 2-pt shot from 4 ft (block by R. Holmes),,58-60,,
6:38.0,Offensive rebound by J. Nurkic,,58-60,,
6:33.0,E. Mudiay makes 2-pt shot from 1 ft,2,60-60,,
6:22.0,,,60-60,,G. Henderson misses 3-pt shot from 27 ft
6:21.0,,,60-60,,Offensive rebound by S. Rodriguez
6:12.0,,,60-62,2,S. Rodriguez makes 2-pt shot from 20 ft
5:47.0,J. Nurkic misses 2-pt shot from 2 ft,,60-62,,
5:45.0,,,60-62,,Defensive rebound by E. Ilyasova
5:38.0,,,60-62,,Turnover by S. Rodriguez (bad pass; steal by J. Nurkic)
5:36.0,,,60-62,,Personal foul by E. Ilyasova (drawn by E. Mudiay)
5:36.0,,,60-62,,Philadelphia full timeout
5:36.0,,,60-62,,D. Saric enters the game for G. Henderson
5:21.0,Turnover by E. Mudiay (lost ball),,60-62,,
5:21.0,,,60-62,,T. McConnell enters the game for S. Rodriguez
5:20.0,W. Chandler enters the game for K. Faried,,60-62,,
5:09.0,,,60-62,,D. Saric misses 2-pt shot from 17 ft
5:07.0,Defensive rebound by W. Barton,,60-62,,
5:03.0,W. Barton makes 2-pt shot from 2 ft,2,62-62,,
4:41.0,,,62-62,,T. Luwawu-Cabarrot misses 2-pt shot from 2 ft
4:40.0,,,62-62,,Offensive rebound by R. Holmes
4:40.0,,,62-62,,Shooting foul by J. Nurkic (drawn by R. Holmes)
4:40.0,,,62-62,,R. Holmes misses free throw 1 of 2
4:40.0,,,62-62,,Offensive rebound by Team
4:40.0,,,62-63,1,R. Holmes makes free throw 2 of 2
4:40.0,J. Nelson enters the game for E. Mudiay,,62-62,,
4:40.0,D. Arthur enters the game for J. Nurkic,,62-62,,
4:24.0,W. Chandler misses 2-pt shot from 15 ft,,62-63,,
4:20.0,,,62-63,,Defensive rebound by R. Holmes
4:18.0,,,62-63,,Turnover by T. McConnell (lost ball; steal by J. Nelson)
4:13.0,J. Nelson misses 2-pt shot from 2 ft (block by T. Luwawu-Cabarrot),,62-63,,
4:11.0,,,62-63,,Defensive rebound by R. Holmes
4:01.0,,,62-63,,E. Ilyasova misses 3-pt shot from 28 ft
4:00.0,Defensive rebound by W. Barton,,62-63,,
3:55.0,Shooting foul by E. Ilyasova (drawn by D. Gallinari),,62-63,,
3:55.0,D. Gallinari makes free throw 1 of 2,1,63-63,,
3:55.0,D. Gallinari makes free throw 2 of 2,1,64-63,,
3:55.0,J. Murray enters the game for W. Barton,,63-63,,
3:55.0,,,63-63,,J. Embiid enters the game for E. Ilyasova
3:55.0,,,63-63,,H. Thompson enters the game for R. Holmes
3:55.0,,,63-63,,N. Stauskas enters the game for T. Luwawu-Cabarrot
3:40.0,,,64-66,3,D. Saric makes 3-pt shot from 25 ft (assist by N. Stauskas)
3:21.0,D. Gallinari misses 2-pt shot from 4 ft (block by J. Embiid),,64-66,,
3:19.0,Offensive rebound by D. Gallinari,,64-66,,
3:18.0,Denver full timeout,,64-66,,
3:11.0,J. Murray makes 2-pt shot from 17 ft,2,66-66,,
2:55.0,,,66-66,,J. Embiid misses 3-pt shot from 26 ft
2:53.0,Defensive rebound by D. Gallinari,,66-66,,
2:41.0,Shooting foul by T. McConnell (drawn by D. Gallinari),,66-66,,
2:41.0,D. Gallinari makes free throw 1 of 2,1,67-66,,
2:41.0,D. Gallinari makes free throw 2 of 2,1,68-66,,
2:32.0,,,68-66,,Shooting foul by D. Arthur (drawn by J. Embiid)
2:32.0,,,68-66,,J. Embiid misses free throw 1 of 2
2:32.0,,,68-66,,Offensive rebound by Team
2:32.0,,,68-67,1,J. Embiid makes free throw 2 of 2
2:16.0,,,68-67,,Personal foul by H. Thompson (drawn by D. Gallinari)
2:16.0,D. Gallinari makes free throw 1 of 2,1,69-67,,
2:16.0,D. Gallinari makes free throw 2 of 2,1,70-67,,
1:55.0,,,70-70,3,D. Saric makes 3-pt shot from 25 ft (assist by T. McConnell)
1:38.0,D. Arthur misses 3-pt shot from 26 ft,,70-70,,
1:36.0,,,70-70,,Defensive rebound by N. Stauskas
1:31.0,,,70-70,,Turnover by N. Stauskas (bad pass; steal by W. Chandler)
1:27.0,Shooting foul by N. Stauskas (drawn by D. Arthur),,70-70,,
1:27.0,D. Arthur makes free throw 1 of 2,1,71-70,,
1:27.0,D. Arthur makes free throw 2 of 2,1,72-70,,
1:27.0,W. Barton enters the game for D. Gallinari,,71-70,,
1:05.0,,,72-70,,Turnover by T. McConnell (lost ball; steal by J. Nelson)
1:01.0,Turnover by D. Arthur (bad pass; steal by H. Thompson),,72-70,,
0:54.0,,,72-70,,H. Thompson misses 3-pt shot from 24 ft
0:51.0,Defensive rebound by D. Arthur,,72-70,,
0:31.0,J. Murray misses 3-pt shot from 25 ft,,72-70,,
0:29.0,,,72-70,,Defensive rebound by J. Embiid
0:11.0,,,72-70,,J. Embiid misses 2-pt shot from 8 ft (block by D. Arthur)
0:09.0,Defensive rebound by W. Barton,,72-70,,
0:05.0,W. Barton makes 2-pt shot from 1 ft (assist by J. Murray),2,74-70,,
0:01.0,,,74-70,,J. Embiid misses 2-pt shot from 1 ft
0:00.0,,,74-70,,Offensive rebound by Team
0:00.0,End of 3rd quarter,,,,End of 3rd quarter
12:00.0,Start of 4th quarter,,,,Start of 4th quarter
11:46.0,,,74-70,,Turnover by H. Thompson (lost ball)
11:27.0,D. Arthur makes 2-pt shot from 14 ft,2,76-70,,
11:13.0,,,76-70,,T. McConnell misses 2-pt shot from 15 ft
11:11.0,Defensive rebound by D. Arthur,,76-70,,
10:59.0,J. Murray makes 3-pt shot from 24 ft (assist by J. Nelson),3,79-70,,
10:59.0,,,79-70,,Philadelphia full timeout
10:59.0,,,79-70,,N. Stauskas enters the game for H. Thompson
10:35.0,,,79-70,,Turnover by Team (shot clock)
10:35.0,,,79-70,,E. Ilyasova enters the game for D. Saric
10:35.0,,,79-70,,S. Rodriguez enters the game for T. McConnell
10:21.0,J. Murray misses 3-pt shot from 26 ft,,79-70,,
10:19.0,,,79-70,,Defensive rebound by J. Embiid
10:10.0,,,79-70,,G. Henderson misses 2-pt shot from 11 ft
10:08.0,Defensive rebound by D. Arthur,,79-70,,
9:54.0,Turnover by J. Murray (lost ball; steal by E. Ilyasova),,79-70,,
9:36.0,,,79-70,,Turnover by J. Embiid (lost ball; steal by D. Arthur)
9:20.0,W. Barton makes 2-pt shot from 7 ft,2,81-70,,
9:03.0,,,81-72,2,J. Embiid makes 2-pt shot from 7 ft
8:46.0,Turnover by J. Nelson (bad pass; steal by G. Henderson),,81-72,,
8:40.0,,,81-74,2,G. Henderson makes 2-pt shot from 17 ft (assist by S. Rodriguez)
8:24.0,W. Chandler makes 3-pt shot from 26 ft (assist by J. Nelson),3,84-74,,
8:12.0,,,84-74,,J. Embiid misses 3-pt shot from 26 ft
8:10.0,Defensive rebound by J. Nelson,,84-74,,
8:07.0,Offensive foul by W. Barton,,84-74,,
