time,Denver,pts.away,score,pts.home,Dallas
5:33.0,,,11-19,,N. Brussino enters the game for J. Barea
5:33.0,M. Beasley enters the game for N. Jokic,,11-19,,
5:33.0,D. Arthur enters the game for G. Harris,,11-19,,
5:16.0,,,11-21,2,D. Harris makes 2-pt shot from 20 ft (assist by Y. Ferrell)
4:58.0,W. Chandler misses 2-pt shot from 3 ft (block by N. Noel),,11-21,,
4:58.0,Offensive rebound by Team,,11-21,,
4:52.0,D. Arthur misses 2-pt shot from 15 ft,,11-21,,
4:51.0,,,11-21,,Defensive rebound by N. Noel
4:41.0,,,11-21,,Y. Ferrell misses 2-pt shot from 20 ft
4:41.0,Defensive rebound by M. Plumlee,,11-21,,
4:32.0,,,11-21,,S. Mejri enters the game for N. Noel
4:25.0,W. Chandler makes 2-pt shot from 1 ft,2,13-21,,
4:12.0,,,13-21,,D. Harris misses 3-pt shot from 25 ft
4:11.0,Defensive rebound by W. Chandler,,13-21,,
4:03.0,M. Plumlee makes 2-pt shot from 14 ft (assist by J. Murray),2,15-21,,
3:50.0,,,15-21,,Y. Ferrell misses 2-pt shot from 17 ft
3:49.0,Defensive rebound by M. Beasley,,15-21,,
3:41.0,D. Arthur misses 3-pt shot from 24 ft,,15-21,,
3:40.0,,,15-21,,Defensive rebound by D. Powell
3:25.0,,,15-21,,S. Mejri misses 2-pt shot from 16 ft
3:24.0,Defensive rebound by Team,,15-21,,
3:09.0,W. Chandler misses 3-pt shot from 27 ft,,15-21,,
3:08.0,Offensive rebound by D. Arthur,,15-21,,
3:04.0,M. Beasley misses 3-pt shot from 24 ft,,15-21,,
3:03.0,,,15-21,,Defensive rebound by Y. Ferrell
2:54.0,,,15-21,,Turnover by D. Harris (bad pass; steal by J. Murray)
2:50.0,M. Plumlee makes 2-pt shot at rim (assist by J. Murray),2,17-21,,
2:49.0,,,17-21,,Dallas full timeout
2:49.0,Denver full timeout,,17-21,,
2:49.0,,,17-21,,J. Uthoff enters the game for Y. Ferrell
2:49.0,J. Hernangomez enters the game for W. Chandler,,17-21,,
2:26.0,,,17-21,,D. Harris misses 2-pt shot from 5 ft
2:26.0,Defensive rebound by D. Arthur,,17-21,,
2:20.0,J. Murray misses 3-pt shot from 26 ft,,17-21,,
2:19.0,,,17-21,,Defensive rebound by J. Uthoff
2:09.0,,,17-21,,N. Brussino misses 3-pt shot from 25 ft
2:08.0,Defensive rebound by D. Arthur,,17-21,,
1:53.0,D. Arthur makes 3-pt shot from 24 ft (assist by J. Murray),3,20-21,,
1:38.0,,,20-24,3,D. Powell makes 3-pt shot from 24 ft (assist by N. Brussino)
1:17.0,D. Arthur makes 3-pt shot from 25 ft (assist by J. Murray),3,23-24,,
0:55.0,,,23-26,2,S. Mejri makes 2-pt shot from 8 ft
0:44.0,J. Hernangomez misses 3-pt shot from 25 ft,,23-26,,
0:43.0,,,23-26,,Defensive rebound by S. Mejri
0:34.0,,,23-26,,D. Harris misses 3-pt shot from 28 ft
0:34.0,Defensive rebound by J. Hernangomez,,23-26,,
0:26.0,Offensive foul by M. Plumlee,,23-26,,
0:26.0,Turnover by M. Plumlee (offensive foul),,23-26,,
0:26.0,M. Miller enters the game for M. Plumlee,,23-26,,
0:26.0,G. Harris enters the game for J. Murray,,23-26,,
0:10.0,Personal take foul by G. Harris (drawn by D. Harris),,23-26,,
0:02.0,,,23-26,,N. Brussino misses 3-pt shot from 26 ft
0:00.0,Defensive rebound by Team,,23-26,,
0:00.0,End of 1st quarter,,,,End of 1st quarter
12:00.0,Start of 2nd quarter,,,,Start of 2nd quarter
11:37.0,,,23-28,2,D. Nowitzki makes 2-pt shot from 17 ft (assist by J. Uthoff)
11:17.0,,,23-28,,Personal foul by J. Uthoff (drawn by J. Hernangomez)
11:08.0,M. Miller makes 2-pt shot from 5 ft (assist by G. Harris),2,25-28,,
11:00.0,,,25-28,,Turnover by J. Barea (bad pass; steal by M. Beasley)
10:52.0,J. Hernangomez makes 3-pt shot from 24 ft (assist by M. Miller),3,28-28,,
10:35.0,,,28-28,,D. Harris misses 3-pt shot from 25 ft
10:35.0,,,28-28,,Offensive rebound by S. Mejri
10:28.0,,,28-30,2,J. Barea makes 2-pt shot from 2 ft
10:22.0,Shooting foul by S. Mejri (drawn by G. Harris),,28-30,,
10:22.0,G. Harris makes free throw 1 of 2,1,29-30,,
10:22.0,G. Harris misses free throw 2 of 2,,29-30,,
10:21.0,,,29-30,,Defensive rebound by D. Nowitzki
10:05.0,,,29-33,3,J. Uthoff makes 3-pt shot from 23 ft (assist by D. Harris)
9:47.0,G. Harris makes 3-pt shot from 24 ft (assist by M. Miller),3,32-33,,
9:32.0,,,32-33,,Turnover by J. Barea (lost ball; steal by G. Harris)
9:30.0,Shooting foul by D. Nowitzki (drawn by M. Beasley),,32-33,,
9:30.0,M. Beasley makes free throw 1 of 2,1,33-33,,
9:30.0,M. Beasley makes free throw 2 of 2,1,34-33,,
9:30.0,,,33-33,,N. Brussino enters the game for D. Harris
9:17.0,,,34-33,,Turnover by N. Brussino (bad pass)
9:06.0,J. Hernangomez makes 2-pt shot from 5 ft (assist by M. Miller),2,36-33,,
8:40.0,,,36-33,,J. Barea misses 2-pt shot from 22 ft
8:37.0,Defensive rebound by G. Harris,,36-33,,
8:34.0,M. Beasley makes 2-pt shot at rim (assist by G. Harris),2,38-33,,
8:34.0,,,38-33,,Dallas full timeout
8:34.0,,,38-33,,A. Hammons enters the game for S. Mejri
8:34.0,,,38-33,,D. Finney-Smith enters the game for J. Uthoff
8:15.0,,,38-35,2,J. Barea makes 2-pt shot from 2 ft (assist by A. Hammons)
7:58.0,M. Beasley makes 3-pt shot from 23 ft (assist by M. Miller),3,41-35,,
7:37.0,,,41-35,,D. Nowitzki misses 2-pt shot from 11 ft
7:36.0,Defensive rebound by J. Hernangomez,,41-35,,
7:29.0,G. Harris misses 3-pt shot from 25 ft,,41-35,,
7:28.0,,,41-35,,Defensive rebound by A. Hammons
7:13.0,,,41-37,2,D. Nowitzki makes 2-pt shot from 18 ft (assist by N. Brussino)
6:54.0,D. Arthur misses 3-pt shot from 25 ft,,41-37,,
6:53.0,Offensive rebound by G. Harris,,41-37,,
6:47.0,M. Miller misses 3-pt shot from 27 ft,,41-37,,
6:45.0,Offensive rebound by M. Beasley,,41-37,,
6:43.0,M. Beasley makes 2-pt shot from 2 ft,2,43-37,,
6:24.0,,,43-37,,Turnover by D. Nowitzki (bad pass; steal by J. Hernangomez)
6:18.0,M. Beasley makes 3-pt shot from 25 ft (assist by J. Hernangomez),3,46-37,,
6:05.0,,,46-39,2,D. Nowitzki makes 2-pt shot from 16 ft (assist by J. Barea)
5:53.0,D. Arthur misses 3-pt shot from 25 ft,,46-39,,
5:52.0,,,46-39,,Defensive rebound by J. Barea
5:39.0,,,46-39,,J. Barea misses 2-pt shot from 13 ft
5:37.0,Defensive rebound by G. Harris,,46-39,,
5:28.0,Offensive foul by J. Hernangomez,,46-39,,
5:28.0,Turnover by J. Hernangomez (offensive foul),,46-39,,
5:28.0,Official timeout,,46-39,,
5:28.0,,,46-39,,D. Harris enters the game for D. Nowitzki
5:28.0,,,46-39,,Y. Ferrell enters the game for J. Barea
5:28.0,,,46-39,,D. Powell enters the game for N. Brussino
5:28.0,N. Jokic enters the game for G. Harris,,46-39,,
5:28.0,J. Murray enters the game for D. Arthur,,46-39,,
5:28.0,W. Chandler enters the game for J. Hernangomez,,46-39,,
5:17.0,,,46-39,,A. Hammons misses 2-pt shot from 21 ft
5:16.0,Defensive rebound by M. Miller,,46-39,,
4:59.0,M. Beasley misses 3-pt shot from 25 ft,,46-39,,
4:58.0,,,46-39,,Defensive rebound by Y. Ferrell
4:53.0,,,46-39,,Turnover by D. Harris (bad pass)
4:32.0,W. Chandler makes 2-pt shot from 1 ft (assist by M. Miller),2,48-39,,
4:09.0,,,48-39,,Turnover by A. Hammons (lost ball)
3:52.0,M. Beasley misses 3-pt shot from 24 ft,,48-39,,
3:51.0,,,48-39,,Defensive rebound by D. Powell
3:42.0,,,48-39,,D. Powell misses 3-pt shot from 25 ft
3:41.0,Defensive rebound by N. Jokic,,48-39,,
3:24.0,,,48-39,,Personal foul by D. Powell (drawn by N. Jokic)
3:24.0,,,48-39,,D. Nowitzki enters the game for D. Powell
3:24.0,,,48-39,,N. Noel enters the game for A. Hammons
3:24.0,,,48-39,,J. Barea enters the game for D. Harris
3:13.0,J. Murray misses 2-pt shot from 17 ft,,48-39,,
3:12.0,,,48-39,,Defensive rebound by D. Finney-Smith
3:02.0,,,48-39,,J. Barea misses 3-pt shot from 25 ft
3:01.0,,,48-39,,Offensive rebound by D. Nowitzki
2:59.0,,,48-39,,Shooting foul by M. Miller (drawn by D. Nowitzki)
2:59.0,Denver full timeout,,48-39,,
2:59.0,,,48-40,1,D. Nowitzki makes free throw 1 of 2
2:59.0,,,48-41,1,D. Nowitzki makes free throw 2 of 2
2:59.0,G. Harris enters the game for M. Beasley,,48-39,,
2:46.0,Turnover by G. Harris (bad pass; steal by D. Nowitzki),,48-41,,
2:40.0,,,48-41,,D. Nowitzki misses 3-pt shot from 25 ft
2:39.0,,,48-41,,Offensive rebound by N. Noel
2:39.0,,,48-41,,N. Noel misses 2-pt shot from 2 ft
2:38.0,Defensive rebound by M. Miller,,48-41,,
2:35.0,Shooting foul by D. Nowitzki (drawn by W. Chandler),,48-41,,
2:35.0,W. Chandler misses free throw 1 of 2,,48-41,,
2:35.0,Offensive rebound by Team,,48-41,,
2:35.0,W. Chandler makes free throw 2 of 2,1,49-41,,
2:21.0,,,49-41,,N. Noel misses 2-pt shot from 17 ft
2:20.0,Defensive rebound by W. Chandler,,49-41,,
2:09.0,N. Jokic makes 2-pt shot at rim (assist by G. Harris),2,51-41,,
1:54.0,,,51-41,,Turnover by Y. Ferrell (traveling)
1:43.0,J. Murray makes 3-pt shot from 25 ft,3,54-41,,
1:25.0,,,54-44,3,J. Barea makes 3-pt shot from 25 ft
1:11.0,Shooting foul by D. Finney-Smith (drawn by W. Chandler),,54-44,,
1:11.0,W. Chandler makes free throw 1 of 2,1,55-44,,
1:11.0,W. Chandler misses free throw 2 of 2,,55-44,,
1:11.0,,,55-44,,N. Brussino enters the game for D. Finney-Smith
1:10.0,,,55-44,,Defensive rebound by D. Nowitzki
0:53.0,,,55-44,,J. Barea misses 2-pt shot from 21 ft
0:52.0,Defensive rebound by W. Chandler,,55-44,,
0:41.0,J. Murray misses 3-pt shot from 24 ft,,55-44,,
0:39.0,,,55-44,,Defensive rebound by D. Nowitzki
0:20.0,,,55-44,,Turnover by Y. Ferrell (lost ball; steal by M. Miller)
0:15.0,Turnover by J. Murray (lost ball),,55-44,,
0:15.0,M. Plumlee enters the game for N. Jokic,,55-44,,
0:04.0,Personal take foul by J. Murray (drawn by Y. Ferrell),,55-44,,
0:04.0,,,55-44,,Turnover by J. Barea (bad pass; steal by M. Plumlee)
0:00.0,Shooting foul by Y. Ferrell (drawn by G. Harris),,55-44,,
0:00.0,G. Harris makes free throw 1 of 2,1,56-44,,
0:00.0,G. Harris makes free throw 2 of 2,1,57-44,,
0:00.0,End of 2nd quarter,,,,End of 2nd quarter
12:00.0,Start of 3rd quarter,,,,Start of 3rd quarter
11:48.0,,,57-44,,D. Nowitzki misses 2-pt shot from 19 ft
11:48.0,Defensive rebound by J. Murray,,57-44,,
11:32.0,M. Plumlee misses 2-pt shot from 2 ft (block by D. Nowitzki),,57-44,,
11:31.0,Offensive rebound by M. Plumlee,,57-44,,
11:26.0,J. Murray misses 3-pt shot from 25 ft,,57-44,,
11:25.0,,,57-44,,Defensive rebound by N. Noel
11:06.0,,,57-44,,Shooting foul by J. Murray (drawn by D. Harris)
11:06.0,,,57-45,1,D. Harris makes free throw 1 of 3
11:06.0,,,57-46,1,D. Harris makes free throw 2 of 3
11:06.0,,,57-47,1,D. Harris makes free throw 3 of 3
10:56.0,G. Harris makes 3-pt shot from 23 ft (assist by J. Murray),3,60-47,,
10:35.0,,,60-49,2,D. Nowitzki makes 2-pt shot from 20 ft (assist by J. Barea)
10:08.0,J. Hernangomez misses 3-pt shot from 25 ft,,60-49,,
10:07.0,,,60-49,,Defensive rebound by J. Barea
9:54.0,,,60-49,,D. Harris misses 3-pt shot from 25 ft
9:53.0,Defensive rebound by M. Plumlee,,60-49,,
9:31.0,G. Harris makes 3-pt shot from 23 ft (assist by N. Jokic),3,63-49,,
9:11.0,,,63-49,,J. Barea misses 2-pt shot from 10 ft
9:10.0,Defensive rebound by M. Plumlee,,63-49,,
8:54.0,M. Plumlee makes 2-pt shot from 5 ft (assist by N. Jokic),2,65-49,,
8:35.0,,,65-49,,D. Nowitzki misses 2-pt shot from 15 ft
8:34.0,Defensive rebound by G. Harris,,65-49,,
8:27.0,M. Plumlee misses 2-pt shot from 2 ft,,65-49,,
8:25.0,Offensive rebound by N. Jokic,,65-49,,
8:23.0,J. Hernangomez makes 2-pt shot at rim (assist by N. Jokic),2,67-49,,
8:23.0,,,67-49,,Dallas full timeout
8:09.0,,,67-49,,D. Nowitzki misses 2-pt shot from 18 ft
8:08.0,Defensive rebound by M. Plumlee,,67-49,,
8:05.0,Turnover by M. Plumlee (bad pass),,67-49,,
7:45.0,,,67-52,3,J. Barea makes 3-pt shot from 24 ft
7:30.0,M. Plumlee makes 2-pt shot at rim (assist by J. Murray),2,69-52,,
7:13.0,,,69-55,3,D. Harris makes 3-pt shot from 24 ft (assist by Y. Ferrell)
6:57.0,N. Jokic makes 2-pt shot from 7 ft (assist by J. Murray),2,71-55,,
6:46.0,,,71-57,2,D. Nowitzki makes 2-pt shot at rim (assist by J. Barea)
6:38.0,N. Jokic makes 3-pt shot from 26 ft,3,74-57,,
6:24.0,,,74-57,,Y. Ferrell misses 3-pt shot from 23 ft
6:24.0,Defensive rebound by N. Jokic,,74-57,,
6:17.0,N. Jokic misses 3-pt shot from 25 ft,,74-57,,
6:16.0,,,74-57,,Defensive rebound by Y. Ferrell
6:05.0,,,74-59,2,N. Noel makes 2-pt shot at rim (assist by D. Harris)
5:45.0,J. Hernangomez misses 2-pt shot from 1 ft,,74-59,,
5:43.0,,,74-59,,Defensive rebound by D. Harris
5:36.0,,,74-59,,J. Barea misses 3-pt shot from 23 ft
5:35.0,,,74-59,,Offensive rebound by N. Noel
5:30.0,,,74-59,,D. Nowitzki misses 3-pt shot from 26 ft
5:29.0,Defensive rebound by N. Jokic,,74-59,,
5:23.0,,,74-59,,Dallas full timeout
5:23.0,,,74-59,,D. Powell enters the game for N. Noel
5:23.0,M. Beasley enters the game for M. Plumlee,,74-59,,
5:23.0,D. Arthur enters the game for G. Harris,,74-59,,
5:16.0,D. Arthur makes 3-pt shot from 24 ft (assist by J. Murray),3,77-59,,
4:54.0,,,77-62,3,D. Harris makes 3-pt shot from 24 ft (assist by D. Nowitzki)
4:45.0,J. Murray misses 3-pt shot from 24 ft,,77-62,,
4:44.0,,,77-62,,Defensive rebound by J. Barea
4:35.0,,,77-64,2,Y. Ferrell makes 2-pt shot from 3 ft
4:35.0,,,77-64,,Shooting foul by D. Arthur (drawn by Y. Ferrell)
4:35.0,,,77-65,1,Y. Ferrell makes free throw 1 of 1
4:24.0,Turnover by D. Arthur (bad pass; steal by D. Powell),,77-65,,
4:18.0,,,77-65,,Y. Ferrell misses 3-pt shot from 24 ft
4:17.0,,,77-65,,Offensive rebound by D. Powell
4:11.0,,,77-65,,J. Barea misses 3-pt shot from 26 ft
4:10.0,Defensive rebound by J. Hernangomez,,77-65,,
4:06.0,Turnover by J. Hernangomez (bad pass; steal by Y. Ferrell),,77-65,,
4:05.0,,,77-67,2,Y. Ferrell makes 2-pt shot from 1 ft
4:05.0,Denver full timeout,,77-67,,
4:05.0,,,77-67,,N. Brussino enters the game for Y. Ferrell
4:05.0,,,77-67,,D. Finney-Smith enters the game for D. Harris
4:05.0,M. Miller enters the game for N. Jokic,,77-67,,
3:56.0,Turnover by M. Miller (bad pass; steal by N. Brussino),,77-67,,
3:44.0,,,77-69,2,D. Nowitzki makes 2-pt shot from 21 ft (assist by J. Barea)
3:30.0,M. Beasley misses 3-pt shot from 24 ft,,77-69,,
3:29.0,,,77-69,,Defensive rebound by D. Finney-Smith
3:18.0,,,77-69,,D. Nowitzki misses 2-pt shot from 20 ft
3:17.0,Defensive rebound by J. Hernangomez,,77-69,,
3:06.0,J. Murray misses 2-pt shot from 1 ft,,77-69,,
3:05.0,,,77-69,,Defensive rebound by D. Nowitzki
3:05.0,Loose ball foul by M. Beasley (drawn by D. Nowitzki),,77-69,,
3:05.0,M. Plumlee enters the game for J. Hernangomez,,77-69,,
2:54.0,,,77-69,,D. Powell misses 3-pt shot from 25 ft
2:53.0,Defensive rebound by J. Murray,,77-69,,
2:44.0,D. Arthur misses 2-pt shot from 23 ft,,77-69,,
2:43.0,,,77-69,,Defensive rebound by N. Brussino
2:28.0,,,77-69,,D. Nowitzki misses 2-pt shot from 15 ft
2:27.0,Defensive rebound by M. Miller,,77-69,,
2:22.0,M. Beasley makes 2-pt shot from 1 ft,2,79-69,,
2:11.0,,,79-72,3,D. Finney-Smith makes 3-pt shot from 24 ft
1:54.0,M. Plumlee misses 2-pt shot from 4 ft,,79-72,,
1:52.0,,,79-72,,Defensive rebound by D. Nowitzki
1:30.0,,,79-72,,D. Finney-Smith misses 2-pt shot from 1 ft
1:29.0,Defensive rebound by M. Miller,,79-72,,
1:23.0,,,79-72,,J. Uthoff enters the game for J. Barea
1:23.0,,,79-72,,D. Harris enters the game for D. Nowitzki
1:16.0,J. Murray makes 2-pt shot from 21 ft,2,81-72,,
0:59.0,,,81-72,,D. Harris misses 2-pt shot from 19 ft
0:58.0,Defensive rebound by M. Miller,,81-72,,
0:40.0,M. Plumlee makes 2-pt shot at rim (assist by M. Beasley),2,83-72,,
0:30.0,,,83-75,3,D. Powell makes 3-pt shot from 25 ft (assist by D. Harris)
0:05.0,D. Arthur misses 3-pt shot from 25 ft,,83-75,,
0:04.0,,,83-75,,Defensive rebound by J. Uthoff
0:01.0,,,83-75,,D. Harris misses 3-pt shot from 27 ft
0:00.0,,,83-75,,Offensive rebound by Team
0:00.0,End of 3rd quarter,,,,End of 3rd quarter
12:00.0,Start of 4th quarter,,,,Start of 4th quarter
11:42.0,J. Hernangomez makes 3-pt shot from 24 ft (assist by G. Harris),3,86-75,,
11:28.0,Personal foul by M. Beasley (drawn by N. Brussino),,86-75,,
11:15.0,,,86-75,,D. Finney-Smith misses 3-pt shot from 25 ft
11:14.0,Defensive rebound by M. Miller,,86-75,,
11:14.0,Jump ball: M. Miller vs. J. Uthoff (M. Plumlee gains possession),,,,Jump ball: M. Miller vs. J. Uthoff (M. Plumlee gains possession)
11:06.0,Offensive foul by M. Miller,,86-75,,
11:06.0,Turnover by M. Miller (offensive foul),,86-75,,
10:53.0,,,86-75,,Shooting foul by M. Plumlee (drawn by D. Powell)
10:53.0,,,86-76,1,D. Powell makes free throw 1 of 2
10:53.0,,,86-77,1,D. Powell makes free throw 2 of 2
10:29.0,Turnover by Team (shot clock),,86-77,,
10:11.0,,,86-77,,Y. Ferrell misses 2-pt shot from 6 ft
10:10.0,Defensive rebound by M. Beasley,,86-77,,
9:58.0,G. Harris makes 2-pt shot from 2 ft,2,88-77,,
9:40.0,,,88-77,,D. Finney-Smith misses 2-pt shot from 3 ft (block by M. Plumlee)
9:38.0,,,88-77,,Offensive rebound by D. Finney-Smith
9:29.0,,,88-79,2,D. Finney-Smith makes 2-pt shot at rim
9:05.0,G. Harris misses 3-pt shot from 25 ft,,88-79,,
9:04.0,,,88-79,,Defensive rebound by D. Powell
8:53.0,,,88-79,,Y. Ferrell misses 3-pt shot from 25 ft
8:52.0,Defensive rebound by M. Beasley,,88-79,,
8:52.0,Denver full timeout,,88-79,,
8:35.0,Turnover by M. Plumlee (bad pass),,88-79,,
8:23.0,,,88-81,2,Y. Ferrell makes 2-pt shot from 17 ft
8:10.0,Shooting foul by J. Uthoff (drawn by J. Hernangomez),,88-81,,
8:10.0,J. Hernangomez makes free throw 1 of 2,1,89-81,,
8:10.0,J. Hernangomez misses free throw 2 of 2,,89-81,,
8:09.0,,,89-81,,Defensive rebound by N. Brussino
7:54.0,,,89-81,,D. Powell misses 3-pt shot from 25 ft
7:53.0,Defensive rebound by J. Hernangomez,,89-81,,
7:42.0,M. Beasley makes 2-pt shot at rim (assist by M. Miller),2,91-81,,
7:24.0,,,91-81,,N. Brussino misses 3-pt shot from 24 ft
7:23.0,Defensive rebound by J. Hernangomez,,91-81,,
7:08.0,J. Hernangomez makes 3-pt shot from 25 ft (assist by G. Harris),3,94-81,,
6:56.0,,,94-83,2,N. Brussino makes 2-pt shot from 17 ft (assist by J. Uthoff)
6:29.0,M. Beasley misses 3-pt shot from 24 ft,,94-83,,
6:27.0,Offensive rebound by Team,,94-83,,
6:27.0,,,94-83,,A. Hammons enters the game for D. Powell
6:15.0,Turnover by M. Miller (step out of bounds),,94-83,,
5:57.0,,,94-83,,Shooting foul by M. Plumlee
5:57.0,Official timeout,,94-83,,
5:57.0,,,94-83,,A. Hammons misses free throw 1 of 2
5:57.0,,,94-83,,Offensive rebound by Team
5:57.0,,,94-84,1,A. Hammons makes free throw 2 of 2
5:45.0,M. Plumlee makes 2-pt shot at rim (assist by G. Harris),2,96-84,,
5:17.0,,,96-84,,Turnover by Y. Ferrell (bad pass; steal by M. Beasley)
5:03.0,M. Beasley misses 2-pt shot from 3 ft,,96-84,,
5:02.0,Offensive rebound by M. Beasley,,96-84,,
4:59.0,M. Miller makes 3-pt shot from 25 ft (assist by M. Beasley),3,99-84,,
4:39.0,,,99-87,3,N. Brussino makes 3-pt shot from 24 ft (assist by J. Uthoff)
4:15.0,J. Hernangomez misses 2-pt shot at rim,,99-87,,
4:14.0,,,99-87,,Defensive rebound by Y. Ferrell
4:07.0,,,99-89,2,J. Uthoff makes 2-pt shot from 3 ft (assist by Y. Ferrell)
3:47.0,M. Miller makes 3-pt shot from 26 ft (assist by G. Harris),3,102-89,,
3:44.0,,,102-89,,Dallas full timeout
3:44.0,,,102-89,,D. Powell enters the game for A. Hammons
3:44.0,J. Murray enters the game for J. Hernangomez,,102-89,,
3:33.0,,,102-89,,D. Powell misses 3-pt shot from 24 ft
3:32.0,Defensive rebound by M. Miller,,102-89,,
3:12.0,M. Plumlee misses 2-pt shot from 8 ft,,102-89,,
3:11.0,,,102-89,,Defensive rebound by J. Uthoff
3:05.0,,,102-91,2,D. Powell makes 2-pt shot at rim (assist by J. Uthoff)
2:42.0,J. Murray misses 3-pt shot from 24 ft,,102-91,,
2:41.0,Offensive rebound by M. Plumlee,,102-91,,
2:41.0,M. Plumlee makes 2-pt shot from 1 ft,2,104-91,,
2:27.0,,,104-91,,Y. Ferrell misses 2-pt shot from 4 ft
2:25.0,Defensive rebound by G. Harris,,104-91,,
2:18.0,Turnover by G. Harris (lost ball; steal by D. Finney-Smith),,104-91,,
2:14.0,,,104-91,,Turnover by D. Finney-Smith (bad pass)
2:01.0,J. Murray misses 3-pt shot from 25 ft,,104-91,,
1:59.0,Offensive rebound by G. Harris,,104-91,,
1:42.0,G. Harris makes 2-pt shot from 1 ft,2,106-91,,
1:30.0,,,106-91,,D. Powell misses 2-pt shot from 20 ft
1:29.0,Defensive rebound by G. Harris,,106-91,,
1:08.0,G. Harris misses 2-pt shot from 22 ft,,106-91,,
1:07.0,,,106-91,,Defensive rebound by Y. Ferrell
0:59.0,,,106-91,,Y. Ferrell misses 3-pt shot from 24 ft
