time,Chicago,pts.away,score,pts.home,Washington
10:04.0,,,39-26,,Loose ball foul by M. Morris (drawn by C. Felicio)
9:43.0,D. Valentine makes 3-pt shot from 24 ft (assist by R. Rondo),3,42-26,,
9:43.0,,,42-26,,Washington full timeout
9:43.0,,,42-26,,J. Wall enters the game for T. Burke
9:43.0,,,42-26,,O. Porter enters the game for S. Mac
9:29.0,,,42-26,,Turnover by B. Beal (lost ball; steal by R. Rondo)
9:24.0,D. Valentine misses 2-pt shot from 4 ft,,42-26,,
9:23.0,,,42-26,,Defensive rebound by B. Beal
9:21.0,,,42-26,,Turnover by B. Beal (bad pass)
9:05.0,,,42-26,,Personal block foul by M. Morris (drawn by R. Rondo)
9:05.0,,,42-26,,K. Oubre enters the game for M. Morris
8:50.0,R. Rondo misses 2-pt shot from 20 ft,,42-26,,
8:49.0,Offensive rebound by C. Felicio,,42-26,,
8:47.0,C. Felicio makes 2-pt shot from 3 ft,2,44-26,,
8:26.0,,,44-28,2,J. Smith makes 2-pt shot from 1 ft (assist by O. Porter)
8:20.0,D. Valentine misses 3-pt shot from 27 ft,,44-28,,
8:19.0,,,44-28,,Defensive rebound by J. Wall
8:12.0,,,44-30,2,J. Wall makes 2-pt shot from 2 ft
8:12.0,,,44-30,,Shooting foul by C. Felicio (drawn by J. Wall)
8:12.0,,,44-30,,J. Wall misses free throw 1 of 1
8:12.0,,,44-30,,M. Gortat enters the game for J. Smith
8:12.0,D. McDermott enters the game for D. Valentine,,44-30,,
8:11.0,Defensive rebound by B. Portis,,44-30,,
7:55.0,B. Portis misses 2-pt shot from 11 ft,,44-30,,
7:55.0,,,44-30,,Defensive rebound by M. Gortat
7:44.0,,,44-30,,O. Porter misses 3-pt shot from 25 ft
7:43.0,Defensive rebound by R. Rondo,,44-30,,
7:39.0,Offensive foul by B. Portis,,44-30,,
7:39.0,Turnover by B. Portis (offensive foul),,44-30,,
7:39.0,T. Gibson enters the game for B. Portis,,44-30,,
7:26.0,,,44-32,2,O. Porter makes 2-pt shot from 3 ft (assist by J. Wall)
7:22.0,Chicago full timeout,,44-32,,
7:09.0,Turnover by C. Felicio (lost ball; steal by M. Gortat),,44-32,,
7:03.0,,,44-32,,Turnover by J. Wall (bad pass)
6:49.0,D. McDermott misses 2-pt shot from 5 ft,,44-32,,
6:48.0,,,44-32,,Defensive rebound by K. Oubre
6:40.0,,,44-34,2,O. Porter makes 2-pt shot from 16 ft (assist by J. Wall)
6:24.0,R. Rondo makes 2-pt shot from 6 ft,2,46-34,,
6:08.0,,,46-34,,O. Porter misses 2-pt shot from 9 ft
6:07.0,Defensive rebound by D. McDermott,,46-34,,
6:00.0,Turnover by R. Rondo (bad pass; steal by O. Porter),,46-34,,
5:54.0,,,46-37,3,J. Wall makes 3-pt shot from 27 ft
5:34.0,Shooting foul by K. Oubre (drawn by C. Felicio),,46-37,,
5:34.0,C. Felicio makes free throw 1 of 2,1,47-37,,
5:34.0,C. Felicio makes free throw 2 of 2,1,48-37,,
5:34.0,M. Carter-Williams enters the game for R. Rondo,,47-37,,
5:34.0,J. Grant enters the game for I. Canaan,,47-37,,
5:22.0,Personal foul by D. McDermott (drawn by K. Oubre),,48-37,,
5:22.0,D. Valentine enters the game for D. McDermott,,48-37,,
5:10.0,,,48-37,,Turnover by J. Wall (lost ball; steal by D. Valentine)
5:06.0,M. Carter-Williams makes 2-pt shot at rim (assist by D. Valentine),2,50-37,,
4:49.0,,,50-37,,O. Porter misses 2-pt shot from 20 ft
4:48.0,,,50-37,,Offensive rebound by M. Gortat
4:44.0,,,50-37,,J. Wall misses 3-pt shot from 27 ft
4:42.0,Defensive rebound by Team,,50-37,,
4:33.0,,,50-37,,Personal foul by J. Wall (drawn by J. Grant)
4:22.0,C. Felicio misses 2-pt shot from 1 ft (block by J. Wall),,50-37,,
4:20.0,,,50-37,,Defensive rebound by J. Wall
4:12.0,,,50-39,2,B. Beal makes 2-pt shot from 1 ft (assist by J. Wall)
3:57.0,C. Felicio misses 2-pt shot from 10 ft,,50-39,,
3:56.0,,,50-39,,Defensive rebound by M. Gortat
3:51.0,,,50-39,,Shooting foul by J. Grant (drawn by K. Oubre)
3:51.0,,,50-40,1,K. Oubre makes free throw 1 of 2
3:51.0,,,50-40,,K. Oubre misses free throw 2 of 2
3:51.0,R. Lopez enters the game for C. Felicio,,50-40,,
3:50.0,Defensive rebound by T. Gibson,,50-40,,
3:29.0,T. Gibson misses 2-pt shot from 10 ft,,50-40,,
3:29.0,,,50-40,,Defensive rebound by Team
3:26.0,Loose ball foul by T. Gibson (drawn by O. Porter),,50-40,,
3:14.0,,,50-40,,J. Wall misses 2-pt shot from 20 ft
3:14.0,Defensive rebound by Team,,50-40,,
2:57.0,R. Lopez misses 2-pt shot from 8 ft,,50-40,,
2:56.0,,,50-40,,Defensive rebound by J. Wall
2:51.0,,,50-40,,J. Wall misses 2-pt shot at rim
2:49.0,Defensive rebound by T. Gibson,,50-40,,
2:37.0,T. Gibson misses 2-pt shot from 1 ft (block by O. Porter),,50-40,,
2:37.0,,,50-40,,Defensive rebound by J. Wall
2:29.0,,,50-40,,B. Beal misses 3-pt shot from 23 ft
2:27.0,Defensive rebound by M. Carter-Williams,,50-40,,
2:22.0,D. Valentine makes 3-pt shot from 25 ft (assist by M. Carter-Williams),3,53-40,,
2:01.0,,,53-40,,O. Porter misses 3-pt shot from 25 ft
2:00.0,Defensive rebound by D. Valentine,,53-40,,
1:51.0,Turnover by M. Carter-Williams (bad pass; steal by K. Oubre),,53-40,,
1:48.0,,,53-42,2,J. Wall makes 2-pt shot at rim
1:48.0,,,53-42,,Shooting foul by R. Lopez (drawn by J. Wall)
1:48.0,Official timeout,,53-42,,
1:48.0,,,53-43,1,J. Wall makes free throw 1 of 1
1:33.0,D. Valentine misses 2-pt shot from 21 ft,,53-43,,
1:32.0,Offensive rebound by R. Lopez,,53-43,,
1:31.0,R. Lopez makes 2-pt shot from 3 ft,2,55-43,,
1:12.0,,,55-43,,B. Beal misses 2-pt shot from 20 ft
1:11.0,Defensive rebound by T. Gibson,,55-43,,
1:03.0,R. Lopez makes 2-pt shot from 1 ft (assist by J. Grant),2,57-43,,
1:03.0,Shooting foul by O. Porter (drawn by R. Lopez),,57-43,,
1:03.0,R. Lopez makes free throw 1 of 1,1,58-43,,
1:02.0,,,58-43,,Turnover by B. Beal (lost ball; steal by M. Carter-Williams)
0:57.0,D. Valentine makes 3-pt shot from 29 ft (assist by J. Grant),3,61-43,,
0:57.0,,,61-43,,Washington full timeout
0:49.0,,,61-45,2,J. Wall makes 2-pt shot from 1 ft
0:38.0,Turnover by J. Grant (bad pass),,61-45,,
0:33.0,,,61-47,2,J. Wall makes 2-pt shot from 17 ft
0:12.0,J. Grant misses 2-pt shot from 4 ft,,61-47,,
0:10.0,Offensive rebound by R. Lopez,,61-47,,
0:09.0,R. Lopez misses 2-pt shot from 2 ft,,61-47,,
0:08.0,,,61-47,,Defensive rebound by B. Beal
0:08.0,Personal foul by R. Lopez (drawn by B. Beal),,61-47,,
0:08.0,,,61-48,1,B. Beal makes free throw 1 of 2
0:08.0,Chicago full timeout,,61-48,,
0:08.0,,,61-49,1,B. Beal makes free throw 2 of 2
0:08.0,R. Rondo enters the game for T. Gibson,,61-48,,
0:08.0,D. McDermott enters the game for M. Carter-Williams,,61-48,,
0:01.0,R. Rondo misses 2-pt shot from 6 ft,,61-49,,
0:00.0,Offensive rebound by Team,,61-49,,
0:00.0,End of 2nd quarter,,,,End of 2nd quarter
12:00.0,Start of 3rd quarter,,,,Start of 3rd quarter
11:47.0,,,61-51,2,M. Gortat makes 2-pt shot at rim (assist by B. Beal)
11:29.0,J. Grant makes 2-pt shot from 12 ft,2,63-51,,
11:11.0,,,63-51,,M. Gortat misses 2-pt shot from 10 ft
11:10.0,Defensive rebound by M. Carter-Williams,,63-51,,
10:56.0,Turnover by R. Lopez (traveling),,63-51,,
10:46.0,,,63-53,2,J. Wall makes 2-pt shot from 1 ft
10:38.0,D. McDermott makes 2-pt shot from 19 ft (assist by J. Grant),2,65-53,,
10:29.0,,,65-53,,B. Beal misses 3-pt shot from 25 ft
10:28.0,Defensive rebound by M. Carter-Williams,,65-53,,
10:19.0,T. Gibson misses 2-pt shot from 16 ft,,65-53,,
10:19.0,,,65-53,,Defensive rebound by O. Porter
10:08.0,,,65-55,2,M. Morris makes 2-pt shot from 13 ft (assist by J. Wall)
9:46.0,M. Carter-Williams misses 2-pt shot from 10 ft,,65-55,,
9:45.0,,,65-55,,Defensive rebound by J. Wall
9:39.0,,,65-57,2,M. Morris makes 2-pt shot from 15 ft (assist by O. Porter)
9:26.0,Turnover by M. Carter-Williams (back court),,65-57,,
9:25.0,Technical foul by T. Gibson,,65-57,,
9:25.0,,,65-57,,B. Beal misses technical free throw
9:25.0,,,65-57,,Offensive rebound by Team
9:19.0,,,65-57,,B. Beal misses 3-pt shot from 26 ft
9:18.0,Defensive rebound by T. Gibson,,65-57,,
9:10.0,Turnover by J. Grant (lost ball; steal by M. Morris),,65-57,,
9:09.0,Personal foul by M. Carter-Williams (drawn by J. Wall),,65-57,,
8:48.0,,,65-57,,M. Morris misses 2-pt shot from 1 ft
8:47.0,Defensive rebound by J. Grant,,65-57,,
8:38.0,Turnover by J. Grant (bad pass; steal by O. Porter),,65-57,,
8:29.0,,,65-60,3,B. Beal makes 3-pt shot from 26 ft (assist by M. Morris)
8:28.0,Chicago full timeout,,65-60,,
8:28.0,R. Rondo enters the game for J. Grant,,65-60,,
8:14.0,D. McDermott misses 3-pt shot from 23 ft,,65-60,,
8:14.0,Offensive rebound by T. Gibson,,65-60,,
8:04.0,Turnover by M. Carter-Williams (step out of bounds),,65-60,,
7:50.0,,,65-60,,Turnover by J. Wall (bad pass; steal by R. Rondo)
7:43.0,D. McDermott misses 3-pt shot from 25 ft,,65-60,,
7:42.0,Offensive rebound by T. Gibson,,65-60,,
7:42.0,,,65-60,,Personal foul by M. Gortat (drawn by T. Gibson)
7:28.0,,,65-60,,Violation by M. Morris (kicked ball)
7:19.0,R. Lopez makes 2-pt shot from 8 ft (assist by R. Rondo),2,67-60,,
7:04.0,,,67-60,,J. Wall misses 2-pt shot from 9 ft
7:03.0,Defensive rebound by T. Gibson,,67-60,,
6:51.0,R. Rondo misses 3-pt shot from 26 ft,,67-60,,
6:50.0,,,67-60,,Defensive rebound by M. Morris
6:47.0,Personal foul by R. Rondo (drawn by J. Wall),,67-60,,
6:37.0,,,67-60,,J. Wall misses 2-pt shot from 4 ft (block by R. Lopez)
6:36.0,Defensive rebound by R. Rondo,,67-60,,
6:32.0,,,67-60,,Shooting block foul by M. Morris (drawn by M. Carter-Williams)
6:32.0,M. Carter-Williams makes free throw 1 of 2,1,68-60,,
6:32.0,M. Carter-Williams makes free throw 2 of 2,1,69-60,,
6:32.0,,,68-60,,J. Smith enters the game for M. Morris
6:22.0,,,69-60,,B. Beal misses 2-pt shot from 2 ft
6:22.0,Defensive rebound by M. Carter-Williams,,69-60,,
6:13.0,M. Carter-Williams misses 3-pt shot from 24 ft,,69-60,,
6:12.0,Offensive rebound by R. Lopez,,69-60,,
6:08.0,D. McDermott makes 2-pt shot from 5 ft (assist by R. Lopez),2,71-60,,
5:52.0,,,71-60,,J. Smith misses 2-pt shot from 17 ft
5:52.0,Defensive rebound by T. Gibson,,71-60,,
5:45.0,D. McDermott misses 3-pt shot from 27 ft,,71-60,,
5:43.0,,,71-60,,Defensive rebound by J. Smith
5:37.0,,,71-63,3,B. Beal makes 3-pt shot from 27 ft (assist by J. Wall)
5:19.0,R. Lopez misses 2-pt shot from 18 ft,,71-63,,
5:18.0,,,71-63,,Defensive rebound by J. Smith
4:58.0,,,71-65,2,B. Beal makes 2-pt shot from 14 ft
4:28.0,T. Gibson misses 2-pt shot from 1 ft,,71-65,,
4:27.0,,,71-65,,Defensive rebound by M. Gortat
4:21.0,,,71-67,2,B. Beal makes 2-pt shot from 1 ft
4:03.0,M. Carter-Williams makes 2-pt shot from 17 ft (assist by T. Gibson),2,73-67,,
3:48.0,,,73-67,,Offensive foul by M. Gortat
3:48.0,,,73-67,,Turnover by M. Gortat (offensive foul)
3:48.0,D. Valentine enters the game for D. McDermott,,73-67,,
3:48.0,I. Canaan enters the game for T. Gibson,,73-67,,
3:48.0,B. Portis enters the game for M. Carter-Williams,,73-67,,
3:48.0,,,73-67,,K. Oubre enters the game for O. Porter
3:30.0,D. Valentine misses 3-pt shot from 28 ft,,73-67,,
3:30.0,Offensive rebound by B. Portis,,73-67,,
3:27.0,B. Portis makes 2-pt shot from 6 ft,2,75-67,,
3:14.0,,,75-67,,Shooting foul by B. Portis (drawn by J. Wall)
3:14.0,,,75-68,1,J. Wall makes free throw 1 of 2
3:14.0,,,75-69,1,J. Wall makes free throw 2 of 2
3:14.0,,,75-68,,T. Burke enters the game for B. Beal
2:57.0,R. Lopez misses 2-pt shot from 3 ft (block by J. Smith),,75-69,,
2:55.0,,,75-69,,Defensive rebound by T. Burke
2:49.0,,,75-72,3,T. Burke makes 3-pt shot from 22 ft (assist by J. Wall)
2:49.0,Chicago full timeout,,75-72,,
2:49.0,,,75-72,,Washington full timeout
2:31.0,,,75-72,,Personal foul by K. Oubre (drawn by I. Canaan)
2:24.0,B. Portis misses 3-pt shot from 25 ft,,75-72,,
2:23.0,,,75-72,,Defensive rebound by M. Gortat
2:17.0,,,75-74,2,J. Wall makes 2-pt shot from 2 ft
2:00.0,R. Rondo misses 3-pt shot from 25 ft,,75-74,,
1:59.0,,,75-74,,Defensive rebound by M. Gortat
1:41.0,,,75-77,3,J. Smith makes 3-pt shot from 23 ft (assist by J. Wall)
1:17.0,D. Valentine misses 3-pt shot from 26 ft,,75-77,,
1:16.0,,,75-77,,Defensive rebound by J. Smith
1:10.0,,,75-79,2,J. Wall makes 2-pt shot from 20 ft
0:54.0,R. Rondo makes 2-pt shot from 17 ft,2,77-79,,
0:41.0,,,77-79,,K. Oubre misses 3-pt shot from 27 ft
0:41.0,,,77-79,,Offensive rebound by J. Smith
0:40.0,Personal foul by R. Rondo (drawn by J. Smith),,77-79,,
0:35.0,,,77-79,,J. Wall misses 2-pt shot from 1 ft
0:34.0,,,77-79,,Offensive rebound by M. Gortat
0:34.0,,,77-81,2,M. Gortat makes 2-pt shot from 1 ft
0:27.0,Turnover by I. Canaan (lost ball),,77-81,,
0:27.0,,,77-81,,B. Beal enters the game for J. Smith
0:27.0,M. Carter-Williams enters the game for B. Portis,,77-81,,
0:03.0,,,77-81,,J. Wall misses 2-pt shot from 19 ft
0:02.0,Defensive rebound by I. Canaan,,77-81,,
0:00.0,End of 3rd quarter,,,,End of 3rd quarter
12:00.0,Start of 4th quarter,,,,Start of 4th quarter
11:39.0,Shooting foul by T. Burke (drawn by M. Carter-Williams),,77-81,,
11:39.0,M. Carter-Williams makes free throw 1 of 2,1,78-81,,
11:39.0,M. Carter-Williams misses free throw 2 of 2,,78-81,,
11:37.0,,,78-81,,Defensive rebound by K. Oubre
11:23.0,,,78-83,2,M. Gortat makes 2-pt shot from 1 ft (assist by S. Mac)
11:13.0,,,78-83,,Personal foul by K. Oubre (drawn by D. McDermott)
11:04.0,M. Carter-Williams misses 2-pt shot from 18 ft,,78-83,,
11:03.0,,,78-83,,Defensive rebound by S. Mac
10:55.0,Personal foul by C. Felicio (drawn by M. Gortat),,78-83,,
10:47.0,,,78-83,,J. Smith misses 3-pt shot from 24 ft
10:46.0,Defensive rebound by M. Carter-Williams,,78-83,,
10:33.0,M. Carter-Williams makes 2-pt shot from 6 ft,2,80-83,,
10:16.0,,,80-83,,T. Burke misses 2-pt shot from 19 ft
10:15.0,,,80-83,,Offensive rebound by Team
10:15.0,Loose ball foul by D. Valentine (drawn by M. Gortat),,80-83,,
10:15.0,,,80-83,,M. Morris enters the game for M. Gortat
10:12.0,,,80-83,,Turnover by T. Burke (bad pass; steal by D. Valentine)
10:05.0,M. Carter-Williams misses 2-pt shot from 5 ft (block by J. Smith),,80-83,,
10:03.0,Offensive rebound by B. Portis,,80-83,,
9:59.0,B. Portis makes 2-pt shot from 2 ft,2,82-83,,
9:56.0,,,82-83,,Turnover by T. Burke (bad pass; steal by B. Portis)
9:49.0,D. McDermott misses 2-pt shot from 2 ft (block by J. Smith),,82-83,,
9:47.0,,,82-83,,Defensive rebound by T. Burke
9:33.0,,,82-83,,K. Oubre misses 2-pt shot from 1 ft
9:32.0,Defensive rebound by C. Felicio,,82-83,,
9:23.0,D. Valentine makes 2-pt shot from 10 ft,2,84-83,,
9:22.0,,,84-83,,Washington full timeout
9:22.0,,,84-83,,B. Beal enters the game for S. Mac
9:10.0,,,84-85,2,M. Morris makes 2-pt shot from 2 ft (assist by K. Oubre)
8:51.0,B. Portis makes 3-pt shot from 23 ft (assist by D. Valentine),3,87-85,,
8:28.0,,,87-85,,M. Morris misses 2-pt shot from 12 ft
8:27.0,Defensive rebound by B. Portis,,87-85,,
8:23.0,Shooting foul by T. Burke (drawn by M. Carter-Williams),,87-85,,
8:23.0,M. Carter-Williams makes free throw 1 of 2,1,88-85,,
8:23.0,M. Carter-Williams makes free throw 2 of 2,1,89-85,,
8:23.0,,,88-85,,J. Wall enters the game for T. Burke
8:23.0,J. Grant enters the game for D. McDermott,,88-85,,
8:12.0,Personal block foul by C. Felicio (drawn by K. Oubre),,89-85,,
8:01.0,,,89-85,,B. Beal misses 2-pt shot from 3 ft
8:00.0,Defensive rebound by B. Portis,,89-85,,
7:38.0,D. Valentine makes 3-pt shot from 27 ft (assist by J. Grant),3,92-85,,
7:35.0,,,92-85,,Washington full timeout
7:35.0,,,92-85,,M. Gortat enters the game for J. Smith
7:35.0,,,92-85,,O. Porter enters the game for K. Oubre
7:25.0,,,92-85,,Offensive foul by M. Gortat
7:25.0,,,92-85,,Turnover by M. Gortat (offensive foul)
7:02.0,Turnover by J. Grant (lost ball; steal by J. Wall),,92-85,,
6:49.0,,,92-88,3,M. Morris makes 3-pt shot from 24 ft (assist by J. Wall)
6:22.0,D. Valentine misses 3-pt shot from 29 ft,,92-88,,
6:22.0,Offensive rebound by Team,,92-88,,
6:22.0,Turnover by Team (shot clock),,92-88,,
6:08.0,,,92-88,,Turnover by J. Wall (lost ball; steal by M. Carter-Williams)
6:01.0,D. Valentine misses 3-pt shot from 23 ft,,92-88,,
5:59.0,,,92-88,,Defensive rebound by M. Gortat
5:45.0,,,92-91,3,M. Morris makes 3-pt shot from 27 ft (assist by B. Beal)
5:43.0,Chicago full timeout,,92-91,,
5:43.0,D. McDermott enters the game for M. Carter-Williams,,92-91,,
5:43.0,T. Gibson enters the game for D. Valentine,,92-91,,
5:43.0,R. Lopez enters the game for B. Portis,,92-91,,
5:43.0,R. Rondo enters the game for C. Felicio,,92-91,,
5:32.0,J. Grant misses 2-pt shot from 13 ft,,92-91,,
5:31.0,Offensive rebound by R. Lopez,,92-91,,
5:22.0,T. Gibson misses 2-pt shot from 5 ft,,92-91,,
5:21.0,,,92-91,,Defensive rebound by M. Morris
5:08.0,Personal foul by R. Rondo (drawn by B. Beal),,92-91,,
4:59.0,,,92-93,2,J. Wall makes 2-pt shot from 11 ft
4:36.0,Turnover by J. Grant (lost ball; steal by M. Morris),,92-93,,
4:32.0,,,92-93,,J. Wall misses 2-pt shot from 1 ft
4:31.0,,,92-93,,Offensive rebound by M. Morris
4:31.0,,,92-95,2,M. Morris makes 2-pt shot at rim
4:23.0,,,92-95,,Personal foul by M. Morris (drawn by J. Grant)
4:23.0,D. Valentine enters the game for J. Grant,,92-95,,
4:17.0,Turnover by D. Valentine (lost ball),,92-95,,
3:58.0,,,92-95,,Offensive foul by M. Morris
3:58.0,,,92-95,,Turnover by M. Morris (offensive foul)
3:58.0,,,92-95,,J. Smith enters the game for M. Morris
3:38.0,D. McDermott misses 3-pt shot from 28 ft,,92-95,,
3:37.0,,,92-95,,Defensive rebound by Team
3:21.0,,,92-95,,J. Wall misses 2-pt shot from 9 ft
