time,Oklahoma City,pts.away,score,pts.home,Detroit
7:06.0,,,5-9,1,I. Smith makes free throw 1 of 2
7:06.0,,,5-10,1,I. Smith makes free throw 2 of 2
6:51.0,R. Westbrook misses 2-pt shot from 11 ft,,5-10,,
6:51.0,,,5-10,,Defensive rebound by I. Smith
6:42.0,,,5-10,,I. Smith misses 2-pt shot from 5 ft
6:42.0,Defensive rebound by R. Westbrook,,5-10,,
6:42.0,A. Roberson makes 2-pt shot from 1 ft (assist by R. Westbrook),2,7-10,,
6:42.0,Shooting foul by M. Morris (drawn by A. Roberson),,7-10,,
6:42.0,A. Roberson misses free throw 1 of 1,,7-10,,
6:42.0,,,7-10,,Defensive rebound by M. Morris
6:21.0,,,7-10,,Shooting foul by D. Sabonis (drawn by A. Baynes)
6:21.0,,,7-11,1,A. Baynes makes free throw 1 of 2
6:21.0,,,7-12,1,A. Baynes makes free throw 2 of 2
6:21.0,A. Abrines enters the game for V. Oladipo,,7-11,,
6:07.0,R. Westbrook makes 2-pt shot at rim,2,9-12,,
5:48.0,,,9-12,,T. Harris misses 2-pt shot from 6 ft
5:48.0,Defensive rebound by A. Roberson,,9-12,,
5:42.0,Shooting foul by I. Smith (drawn by R. Westbrook),,9-12,,
5:42.0,,,9-12,,Detroit full timeout
5:42.0,R. Westbrook makes free throw 1 of 2,1,10-12,,
5:42.0,R. Westbrook makes free throw 2 of 2,1,11-12,,
5:42.0,,,9-12,,J. Leuer enters the game for T. Harris
5:26.0,,,11-12,,A. Baynes misses 2-pt shot from 4 ft
5:26.0,,,11-12,,Offensive rebound by Team
5:12.0,,,11-12,,J. Leuer misses 2-pt shot from 14 ft
5:11.0,Defensive rebound by A. Roberson,,11-12,,
5:00.0,A. Abrines makes 3-pt shot from 24 ft (assist by R. Westbrook),3,14-12,,
4:43.0,,,14-14,2,K. Caldwell-Pope makes 2-pt shot from 16 ft (assist by A. Baynes)
4:33.0,R. Westbrook makes 2-pt shot from 1 ft,2,16-14,,
4:33.0,Shooting foul by J. Leuer (drawn by R. Westbrook),,16-14,,
4:33.0,R. Westbrook makes free throw 1 of 1,1,17-14,,
4:33.0,E. Kanter enters the game for A. Roberson,,16-14,,
4:33.0,J. Grant enters the game for S. Adams,,16-14,,
4:11.0,,,17-17,3,K. Caldwell-Pope makes 3-pt shot from 26 ft
3:57.0,R. Westbrook misses 2-pt shot from 12 ft,,17-17,,
3:57.0,,,17-17,,Defensive rebound by Team
3:57.0,Personal foul by D. Sabonis (drawn by K. Caldwell-Pope),,17-17,,
3:57.0,,,17-17,,B. Udrih enters the game for I. Smith
3:57.0,J. Lauvergne enters the game for D. Sabonis,,17-17,,
3:40.0,,,17-17,,M. Morris misses 2-pt shot from 6 ft
3:40.0,Defensive rebound by J. Lauvergne,,17-17,,
3:34.0,R. Westbrook misses 2-pt shot from 6 ft,,17-17,,
3:34.0,,,17-17,,Defensive rebound by J. Leuer
3:26.0,,,17-19,2,B. Udrih makes 2-pt shot from 14 ft (assist by M. Morris)
3:25.0,Oklahoma City full timeout,,17-19,,
3:25.0,,,17-19,,T. Harris enters the game for M. Morris
3:12.0,E. Kanter makes 2-pt shot at rim (assist by R. Westbrook),2,19-19,,
2:54.0,,,19-19,,A. Baynes misses 2-pt shot at rim
2:53.0,Defensive rebound by A. Abrines,,19-19,,
2:46.0,Turnover by R. Westbrook (lost ball),,19-19,,
2:46.0,S. Christon enters the game for R. Westbrook,,19-19,,
2:46.0,,,19-19,,B. Marjanovic enters the game for A. Baynes
2:29.0,,,19-19,,B. Marjanovic misses 2-pt shot from 7 ft
2:27.0,Defensive rebound by J. Lauvergne,,19-19,,
2:14.0,E. Kanter makes 2-pt shot from 17 ft (assist by J. Lauvergne),2,21-19,,
2:02.0,,,21-19,,Shooting foul by A. Abrines (drawn by K. Caldwell-Pope)
2:02.0,,,21-19,,K. Caldwell-Pope misses free throw 1 of 2
2:02.0,,,21-19,,Offensive rebound by Team
2:02.0,,,21-20,1,K. Caldwell-Pope makes free throw 2 of 2
1:50.0,E. Kanter makes 2-pt shot from 1 ft (assist by S. Christon),2,23-20,,
1:33.0,,,23-22,2,J. Leuer makes 2-pt shot from 1 ft
1:33.0,,,23-22,,Shooting foul by J. Lauvergne (drawn by J. Leuer)
1:33.0,,,23-23,1,J. Leuer makes free throw 1 of 1
1:33.0,,,23-22,,S. Johnson enters the game for K. Caldwell-Pope
1:19.0,S. Christon misses 2-pt shot from 1 ft,,23-23,,
1:18.0,,,23-23,,Defensive rebound by B. Marjanovic
1:08.0,,,23-23,,B. Marjanovic misses 2-pt shot from 4 ft (block by J. Grant)
1:06.0,Defensive rebound by S. Christon,,23-23,,
1:02.0,J. Grant makes 2-pt shot from 1 ft (assist by S. Christon),2,25-23,,
0:49.0,,,25-25,2,T. Harris makes 2-pt shot from 1 ft
0:49.0,,,25-25,,Shooting foul by J. Grant (drawn by T. Harris)
0:49.0,,,25-26,1,T. Harris makes free throw 1 of 1
0:30.0,E. Kanter misses 3-pt shot from 25 ft,,25-26,,
0:30.0,,,25-26,,Defensive rebound by T. Harris
0:09.0,,,25-28,2,B. Marjanovic makes 2-pt shot from 1 ft (assist by B. Udrih)
0:02.0,J. Lauvergne misses 3-pt shot from 27 ft,,25-28,,
0:00.0,,,25-28,,Defensive rebound by T. Harris
0:00.0,End of 1st quarter,,,,End of 1st quarter
12:00.0,Start of 2nd quarter,,,,Start of 2nd quarter
11:41.0,,,25-30,2,B. Marjanovic makes 2-pt shot from 5 ft (assist by S. Johnson)
11:27.0,J. Grant makes 2-pt shot from 1 ft,2,27-30,,
11:09.0,,,27-30,,B. Marjanovic misses 2-pt shot from 5 ft (block by E. Kanter)
11:08.0,Jump ball: E. Kanter vs. B. Marjanovic (T. Harris gains possession),,,,Jump ball: E. Kanter vs. B. Marjanovic (T. Harris gains possession)
11:08.0,,,27-30,,Offensive rebound by Team
11:02.0,,,27-30,,S. Johnson misses 2-pt shot from 15 ft
11:02.0,,,27-30,,Offensive rebound by Team
11:02.0,,,27-30,,Turnover by Team (shot clock)
10:48.0,A. Abrines misses 2-pt shot from 11 ft,,27-30,,
10:47.0,,,27-30,,Defensive rebound by B. Marjanovic
10:31.0,,,27-30,,Turnover by B. Udrih (lost ball; steal by J. Grant)
10:29.0,,,27-30,,Personal foul by B. Marjanovic (drawn by S. Christon)
10:20.0,E. Kanter makes 2-pt shot from 9 ft (assist by S. Christon),2,29-30,,
9:53.0,,,29-32,2,T. Harris makes 2-pt shot from 16 ft
9:38.0,J. Lauvergne misses 2-pt shot from 19 ft,,29-32,,
9:37.0,,,29-32,,Defensive rebound by S. Johnson
9:25.0,,,29-34,2,B. Udrih makes 2-pt shot from 1 ft
9:07.0,E. Kanter misses 2-pt shot from 8 ft,,29-34,,
9:06.0,,,29-34,,Defensive rebound by J. Leuer
8:52.0,,,29-36,2,B. Udrih makes 2-pt shot at rim (assist by J. Leuer)
8:32.0,A. Abrines misses 2-pt shot from 11 ft (block by S. Johnson),,29-36,,
8:31.0,Offensive rebound by E. Kanter,,29-36,,
8:26.0,S. Christon misses 2-pt shot from 20 ft,,29-36,,
8:26.0,,,29-36,,Defensive rebound by B. Udrih
8:16.0,,,29-38,2,T. Harris makes 2-pt shot from 1 ft (assist by J. Leuer)
8:14.0,Oklahoma City full timeout,,29-38,,
8:14.0,R. Westbrook enters the game for A. Abrines,,29-38,,
8:14.0,V. Oladipo enters the game for E. Kanter,,29-38,,
8:14.0,S. Adams enters the game for S. Christon,,29-38,,
8:14.0,,,29-38,,A. Baynes enters the game for B. Marjanovic
8:14.0,,,29-38,,K. Caldwell-Pope enters the game for S. Johnson
7:52.0,J. Grant misses 3-pt shot from 25 ft,,29-38,,
7:52.0,,,29-38,,Defensive rebound by B. Udrih
7:40.0,,,29-40,2,J. Leuer makes 2-pt shot from 7 ft (assist by B. Udrih)
7:23.0,V. Oladipo misses 3-pt shot from 26 ft,,29-40,,
7:22.0,,,29-40,,Defensive rebound by J. Leuer
7:10.0,,,29-42,2,A. Baynes makes 2-pt shot from 1 ft (assist by K. Caldwell-Pope)
6:57.0,R. Westbrook misses 2-pt shot from 16 ft,,29-42,,
6:56.0,,,29-42,,Defensive rebound by A. Baynes
6:51.0,,,29-42,,Shooting foul by J. Grant (drawn by J. Leuer)
6:51.0,,,29-42,,J. Leuer misses free throw 1 of 2
6:51.0,,,29-42,,Offensive rebound by Team
6:51.0,,,29-43,1,J. Leuer makes free throw 2 of 2
6:51.0,,,29-42,,I. Smith enters the game for B. Udrih
6:51.0,,,29-42,,M. Morris enters the game for T. Harris
6:51.0,D. Sabonis enters the game for J. Grant,,29-42,,
6:51.0,A. Roberson enters the game for J. Lauvergne,,29-42,,
6:37.0,R. Westbrook misses 2-pt shot from 8 ft,,29-43,,
6:37.0,,,29-43,,Defensive rebound by J. Leuer
6:17.0,,,29-43,,K. Caldwell-Pope misses 2-pt shot from 1 ft
6:17.0,,,29-43,,Offensive rebound by K. Caldwell-Pope
6:16.0,,,29-43,,K. Caldwell-Pope misses 2-pt shot from 1 ft
6:15.0,Defensive rebound by V. Oladipo,,29-43,,
6:09.0,V. Oladipo makes 2-pt shot from 19 ft,2,31-43,,
5:44.0,,,31-45,2,A. Baynes makes 2-pt shot from 6 ft (assist by J. Leuer)
5:30.0,R. Westbrook misses 2-pt shot from 5 ft,,31-45,,
5:30.0,Offensive rebound by S. Adams,,31-45,,
5:28.0,S. Adams makes 2-pt shot from 4 ft,2,33-45,,
5:28.0,Violation by Team (delay of game),,33-45,,
5:28.0,,,33-45,,Detroit full timeout
5:14.0,,,33-45,,M. Morris misses 2-pt shot from 15 ft
5:14.0,,,33-45,,Offensive rebound by Team
5:14.0,Loose ball foul by S. Adams (drawn by A. Baynes),,33-45,,
5:04.0,,,33-45,,K. Caldwell-Pope misses 2-pt shot from 18 ft
5:02.0,Defensive rebound by R. Westbrook,,33-45,,
4:57.0,R. Westbrook makes 2-pt shot at rim,2,35-45,,
4:43.0,Personal foul by D. Sabonis (drawn by I. Smith),,35-45,,
4:43.0,,,35-45,,T. Harris enters the game for J. Leuer
4:31.0,,,35-48,3,M. Morris makes 3-pt shot from 23 ft (assist by I. Smith)
4:11.0,Shooting foul by K. Caldwell-Pope (drawn by R. Westbrook),,35-48,,
4:11.0,R. Westbrook makes free throw 1 of 2,1,36-48,,
4:11.0,R. Westbrook makes free throw 2 of 2,1,37-48,,
4:11.0,N. Collison enters the game for D. Sabonis,,36-48,,
3:57.0,,,37-50,2,K. Caldwell-Pope makes 2-pt shot from 14 ft (assist by M. Morris)
3:45.0,Offensive foul by R. Westbrook,,37-50,,
3:45.0,Turnover by R. Westbrook (offensive foul),,37-50,,
3:31.0,,,37-53,3,T. Harris makes 3-pt shot from 26 ft (assist by K. Caldwell-Pope)
3:15.0,R. Westbrook misses 2-pt shot from 2 ft,,37-53,,
3:14.0,Offensive rebound by S. Adams,,37-53,,
3:11.0,S. Adams misses 2-pt shot from 3 ft (block by T. Harris),,37-53,,
3:10.0,,,37-53,,Defensive rebound by T. Harris
3:00.0,,,37-53,,I. Smith misses 2-pt shot from 20 ft
2:59.0,Defensive rebound by R. Westbrook,,37-53,,
2:58.0,Official timeout,,37-53,,
2:57.0,Jump ball: S. Adams vs. A. Baynes (I. Smith gains possession),,,,Jump ball: S. Adams vs. A. Baynes (I. Smith gains possession)
2:57.0,Turnover by S. Adams (lost ball),,37-53,,
2:43.0,,,37-55,2,T. Harris makes 2-pt shot from 15 ft (assist by K. Caldwell-Pope)
2:33.0,R. Westbrook makes 2-pt shot from 15 ft,2,39-55,,
2:21.0,Personal foul by N. Collison (drawn by A. Baynes),,39-55,,
2:21.0,J. Grant enters the game for N. Collison,,39-55,,
2:10.0,,,39-55,,M. Morris misses 3-pt shot from 24 ft
2:10.0,Defensive rebound by R. Westbrook,,39-55,,
2:05.0,Shooting foul by K. Caldwell-Pope (drawn by R. Westbrook),,39-55,,
2:05.0,Technical foul by R. Westbrook,,39-55,,
2:05.0,,,39-56,1,T. Harris makes technical free throw
2:05.0,R. Westbrook makes free throw 1 of 2,1,40-56,,
2:05.0,R. Westbrook makes free throw 2 of 2,1,41-56,,
2:05.0,,,40-56,,S. Johnson enters the game for K. Caldwell-Pope
1:43.0,,,41-56,,T. Harris misses 3-pt shot from 25 ft
1:43.0,Defensive rebound by S. Adams,,41-56,,
1:39.0,R. Westbrook makes 2-pt shot from 1 ft,2,43-56,,
1:39.0,Shooting foul by S. Johnson (drawn by R. Westbrook),,43-56,,
1:39.0,R. Westbrook misses free throw 1 of 1,,43-56,,
1:38.0,,,43-56,,Defensive rebound by M. Morris
1:19.0,,,43-56,,M. Morris misses 2-pt shot from 14 ft
1:18.0,Defensive rebound by A. Roberson,,43-56,,
1:06.0,R. Westbrook misses 3-pt shot from 27 ft,,43-56,,
1:05.0,,,43-56,,Defensive rebound by I. Smith
0:59.0,,,43-56,,I. Smith misses 2-pt shot from 2 ft
0:59.0,Defensive rebound by R. Westbrook,,43-56,,
0:55.0,Shooting foul by T. Harris (drawn by R. Westbrook),,43-56,,
0:55.0,R. Westbrook makes free throw 1 of 2,1,44-56,,
0:55.0,R. Westbrook makes free throw 2 of 2,1,45-56,,
0:33.0,,,45-56,,S. Johnson misses 3-pt shot from 23 ft
0:33.0,Defensive rebound by J. Grant,,45-56,,
0:28.0,R. Westbrook makes 2-pt shot from 16 ft,2,47-56,,
0:04.0,,,47-58,2,A. Baynes makes 2-pt shot from 2 ft (assist by T. Harris)
0:04.0,,,47-58,,Shooting foul by S. Adams (drawn by A. Baynes)
0:04.0,Oklahoma City full timeout,,47-58,,
0:04.0,,,47-59,1,A. Baynes makes free throw 1 of 1
0:04.0,A. Abrines enters the game for S. Adams,,47-58,,
0:00.0,End of 2nd quarter,,,,End of 2nd quarter
12:00.0,Start of 3rd quarter,,,,Start of 3rd quarter
11:40.0,,,47-61,2,T. Harris makes 2-pt shot from 17 ft
11:22.0,Turnover by A. Roberson (traveling),,47-61,,
11:00.0,,,47-61,,Turnover by I. Smith (traveling)
10:41.0,V. Oladipo makes 2-pt shot from 1 ft,2,49-61,,
10:23.0,,,49-61,,K. Caldwell-Pope misses 3-pt shot from 25 ft
10:23.0,Defensive rebound by R. Westbrook,,49-61,,
10:17.0,Turnover by R. Westbrook (traveling),,49-61,,
9:56.0,,,49-61,,K. Caldwell-Pope misses 2-pt shot from 22 ft
9:54.0,Defensive rebound by R. Westbrook,,49-61,,
9:46.0,J. Grant misses 3-pt shot from 26 ft,,49-61,,
9:45.0,Offensive rebound by R. Westbrook,,49-61,,
9:39.0,V. Oladipo misses 3-pt shot from 26 ft,,49-61,,
9:38.0,,,49-61,,Defensive rebound by A. Baynes
9:23.0,,,49-61,,M. Morris misses 2-pt shot from 10 ft
9:22.0,,,49-61,,Offensive rebound by A. Baynes
9:12.0,,,49-61,,A. Baynes misses 2-pt shot from 1 ft (block by J. Grant)
9:10.0,Defensive rebound by J. Grant,,49-61,,
9:04.0,V. Oladipo misses 2-pt shot from 11 ft,,49-61,,
9:04.0,,,49-61,,Defensive rebound by M. Morris
8:55.0,D. Sabonis enters the game for S. Adams,,49-61,,
8:55.0,A. Abrines enters the game for V. Oladipo,,49-61,,
8:42.0,,,49-63,2,A. Baynes makes 2-pt shot from 5 ft (assist by T. Harris)
8:42.0,,,49-63,,Shooting foul by D. Sabonis (drawn by A. Baynes)
8:42.0,,,49-64,1,A. Baynes makes free throw 1 of 1
8:28.0,A. Abrines misses 3-pt shot from 27 ft,,49-64,,
8:28.0,,,49-64,,Defensive rebound by A. Baynes
8:24.0,,,49-64,,Turnover by A. Baynes (lost ball; steal by J. Grant)
8:19.0,R. Westbrook makes 2-pt shot from 1 ft,2,51-64,,
8:11.0,Violation by J. Grant (def goaltending),,51-64,,
8:11.0,,,51-66,2,I. Smith makes 2-pt shot from 1 ft
7:55.0,Turnover by A. Abrines (lost ball; steal by I. Smith),,51-66,,
7:48.0,,,51-66,,K. Caldwell-Pope misses 3-pt shot from 28 ft
7:48.0,,,51-66,,Offensive rebound by M. Morris
7:48.0,,,51-68,2,M. Morris makes 2-pt shot at rim
7:48.0,Oklahoma City full timeout,,51-68,,
7:39.0,J. Grant makes 2-pt shot at rim (assist by R. Westbrook),2,53-68,,
7:20.0,,,53-70,2,M. Morris makes 2-pt shot from 13 ft
7:01.0,A. Abrines misses 3-pt shot from 26 ft,,53-70,,
7:01.0,,,53-70,,Defensive rebound by A. Baynes
6:54.0,,,53-70,,Turnover by I. Smith (traveling)
6:41.0,J. Grant makes 2-pt shot from 1 ft (assist by R. Westbrook),2,55-70,,
6:21.0,,,55-72,2,I. Smith makes 2-pt shot from 5 ft (assist by M. Morris)
6:11.0,R. Westbrook makes 2-pt shot at rim,2,57-72,,
5:50.0,,,57-74,2,K. Caldwell-Pope makes 2-pt shot from 7 ft
5:38.0,A. Abrines misses 3-pt shot from 26 ft,,57-74,,
5:37.0,,,57-74,,Defensive rebound by T. Harris
5:20.0,,,57-74,,T. Harris misses 3-pt shot from 26 ft
5:20.0,,,57-74,,Offensive rebound by Team
5:19.0,,,57-74,,J. Leuer enters the game for T. Harris
5:19.0,S. Adams enters the game for A. Roberson,,57-74,,
5:08.0,,,57-76,2,A. Baynes makes 2-pt shot from 1 ft (assist by J. Leuer)
4:54.0,D. Sabonis makes 3-pt shot from 26 ft (assist by A. Abrines),3,60-76,,
4:33.0,,,60-76,,M. Morris misses 2-pt shot from 17 ft
4:33.0,Defensive rebound by R. Westbrook,,60-76,,
4:24.0,R. Westbrook misses 3-pt shot from 26 ft,,60-76,,
4:23.0,,,60-76,,Defensive rebound by I. Smith
4:15.0,,,60-76,,M. Morris misses 3-pt shot from 28 ft
4:15.0,Defensive rebound by R. Westbrook,,60-76,,
4:05.0,A. Abrines misses 3-pt shot from 26 ft,,60-76,,
4:03.0,,,60-76,,Defensive rebound by A. Baynes
3:57.0,,,60-76,,K. Caldwell-Pope misses 3-pt shot from 27 ft
3:56.0,Defensive rebound by S. Adams,,60-76,,
3:44.0,R. Westbrook misses 2-pt shot from 9 ft,,60-76,,
3:44.0,,,60-76,,Defensive rebound by I. Smith
3:33.0,,,60-76,,A. Baynes misses 2-pt shot from 8 ft
3:33.0,Defensive rebound by S. Adams,,60-76,,
3:22.0,Turnover by D. Sabonis (traveling),,60-76,,
3:22.0,,,60-76,,Detroit full timeout
3:22.0,V. Oladipo enters the game for D. Sabonis,,60-76,,
3:22.0,S. Christon enters the game for R. Westbrook,,60-76,,
3:22.0,E. Kanter enters the game for A. Abrines,,60-76,,
3:22.0,,,60-76,,T. Harris enters the game for M. Morris
3:22.0,,,60-76,,B. Udrih enters the game for A. Baynes
3:22.0,,,60-76,,S. Johnson enters the game for K. Caldwell-Pope
3:22.0,,,60-76,,B. Marjanovic enters the game for I. Smith
3:06.0,,,60-76,,J. Leuer misses 2-pt shot from 16 ft
3:06.0,Defensive rebound by S. Christon,,60-76,,
2:53.0,J. Grant misses 3-pt shot from 26 ft,,60-76,,
2:51.0,Offensive rebound by S. Adams,,60-76,,
2:44.0,V. Oladipo makes 2-pt shot at rim,2,62-76,,
2:44.0,Shooting foul by B. Marjanovic (drawn by V. Oladipo),,62-76,,
2:44.0,V. Oladipo misses free throw 1 of 1,,62-76,,
2:40.0,,,62-76,,Defensive rebound by T. Harris
2:26.0,,,62-76,,B. Udrih misses 3-pt shot from 26 ft
2:25.0,Defensive rebound by S. Adams,,62-76,,
2:07.0,J. Grant makes 3-pt shot from 24 ft (assist by V. Oladipo),3,65-76,,
1:51.0,,,65-78,2,T. Harris makes 2-pt shot from 18 ft (assist by B. Udrih)
1:30.0,V. Oladipo makes 3-pt shot from 27 ft (assist by E. Kanter),3,68-78,,
1:19.0,Personal foul by S. Christon (drawn by B. Udrih),,68-78,,
1:01.0,,,68-78,,J. Leuer misses 3-pt shot from 26 ft
1:01.0,Defensive rebound by J. Grant,,68-78,,
0:50.0,Turnover by S. Adams (lost ball),,68-78,,
0:34.0,,,68-78,,J. Leuer misses 2-pt shot from 13 ft (block by S. Adams)
0:33.0,Defensive rebound by Team,,68-78,,
0:16.0,E. Kanter misses 2-pt shot from 6 ft (block by J. Leuer),,68-78,,
0:15.0,Offensive rebound by J. Grant,,68-78,,
0:12.0,V. Oladipo misses 3-pt shot from 25 ft,,68-78,,
0:10.0,,,68-78,,Defensive rebound by J. Leuer
0:07.0,,,68-78,,Turnover by J. Leuer (bad pass)
0:07.0,Oklahoma City full timeout,,68-78,,
0:07.0,,,68-78,,A. Baynes enters the game for J. Leuer
0:02.0,E. Kanter misses 2-pt shot from 19 ft,,68-78,,
0:00.0,Offensive rebound by Team,,68-78,,
0:00.0,End of 3rd quarter,,,,End of 3rd quarter
12:00.0,Start of 4th quarter,,,,Start of 4th quarter
11:40.0,V. Oladipo misses 2-pt shot from 8 ft (block by S. Johnson),,68-78,,
11:39.0,,,68-78,,Defensive rebound by B. Udrih
11:32.0,,,68-78,,T. Harris misses 2-pt shot from 4 ft (block by V. Oladipo)
11:31.0,Defensive rebound by J. Grant,,68-78,,
11:15.0,S. Christon misses 2-pt shot from 12 ft,,68-78,,
11:14.0,,,68-78,,Defensive rebound by B. Marjanovic
11:01.0,,,68-78,,B. Marjanovic misses 2-pt shot from 6 ft
11:00.0,Defensive rebound by E. Kanter,,68-78,,
10:50.0,V. Oladipo misses 2-pt shot from 5 ft (block by B. Marjanovic),,68-78,,
10:49.0,Offensive rebound by V. Oladipo,,68-78,,
10:46.0,V. Oladipo misses 2-pt shot from 2 ft,,68-78,,
10:44.0,,,68-78,,Defensive rebound by J. Leuer
10:39.0,,,68-78,,T. Harris misses 3-pt shot from 25 ft
10:39.0,Defensive rebound by S. Adams,,68-78,,
10:31.0,S. Christon misses 2-pt shot from 4 ft (block by S. Johnson),,68-78,,
10:30.0,,,68-78,,Defensive rebound by B. Udrih
10:23.0,,,68-81,3,S. Johnson makes 3-pt shot from 26 ft (assist by T. Harris)
10:23.0,Oklahoma City full timeout,,68-81,,
10:05.0,S. Adams misses 2-pt shot from 7 ft (block by B. Marjanovic),,68-81,,
10:04.0,,,68-81,,Defensive rebound by B. Marjanovic
9:56.0,,,68-83,2,B. Udrih makes 2-pt shot from 15 ft
9:37.0,V. Oladipo misses 2-pt shot from 11 ft,,68-83,,
9:37.0,Offensive rebound by E. Kanter,,68-83,,
9:35.0,Shooting foul by J. Leuer (drawn by E. Kanter),,68-83,,
9:35.0,E. Kanter makes free throw 1 of 2,1,69-83,,
9:35.0,E. Kanter makes free throw 2 of 2,1,70-83,,
9:35.0,A. Roberson enters the game for J. Grant,,69-83,,
9:35.0,R. Westbrook enters the game for V. Oladipo,,69-83,,
9:35.0,,,69-83,,A. Baynes enters the game for B. Marjanovic
9:35.0,,,69-83,,K. Caldwell-Pope enters the game for S. Johnson
9:22.0,,,70-85,2,A. Baynes makes 2-pt shot at rim (assist by B. Udrih)
9:15.0,Shooting foul by J. Leuer (drawn by R. Westbrook),,70-85,,
9:15.0,R. Westbrook makes free throw 1 of 2,1,71-85,,
9:15.0,R. Westbrook makes free throw 2 of 2,1,72-85,,
8:53.0,,,72-88,3,T. Harris makes 3-pt shot from 24 ft (assist by K. Caldwell-Pope)
8:35.0,E. Kanter misses 3-pt shot from 23 ft,,72-88,,
8:34.0,Offensive rebound by S. Adams,,72-88,,
8:34.0,Shooting foul by T. Harris (drawn by S. Adams),,72-88,,
8:34.0,S. Adams misses free throw 1 of 2,,72-88,,
8:34.0,Offensive rebound by Team,,72-88,,
8:34.0,S. Adams makes free throw 2 of 2,1,73-88,,
8:34.0,A. Morrow enters the game for S. Christon,,72-88,,
8:10.0,,,73-90,2,B. Udrih makes 2-pt shot at rim
7:56.0,R. Westbrook makes 2-pt shot from 14 ft,2,75-90,,
7:38.0,,,75-90,,B. Udrih misses 2-pt shot from 13 ft
7:38.0,,,75-90,,Offensive rebound by J. Leuer
7:35.0,,,75-92,2,J. Leuer makes 2-pt shot from 1 ft
7:22.0,A. Roberson makes 2-pt shot at rim (assist by R. Westbrook),2,77-92,,
6:57.0,,,77-92,,J. Leuer misses 2-pt shot from 18 ft
6:56.0,Defensive rebound by R. Westbrook,,77-92,,
6:54.0,Offensive foul by R. Westbrook,,77-92,,
6:54.0,Turnover by R. Westbrook (offensive foul),,77-92,,
6:54.0,J. Lauvergne enters the game for S. Adams,,77-92,,
6:54.0,D. Sabonis enters the game for E. Kanter,,77-92,,
6:54.0,,,77-92,,M. Morris enters the game for T. Harris
6:34.0,,,77-92,,Turnover by K. Caldwell-Pope (bad pass)
6:34.0,,,77-92,,I. Smith enters the game for B. Udrih
6:22.0,J. Lauvergne misses 2-pt shot from 3 ft,,77-92,,
6:21.0,,,77-92,,Defensive rebound by J. Leuer
6:09.0,,,77-92,,Turnover by K. Caldwell-Pope (bad pass)
5:59.0,Turnover by R. Westbrook (bad pass; steal by K. Caldwell-Pope),,77-92,,
5:37.0,,,77-92,,A. Baynes misses 2-pt shot from 2 ft
