time,Charlotte,pts.away,score,pts.home,Oklahoma City
4:17.0,M. Kidd-Gilchrist makes 2-pt shot from 1 ft (assist by N. Batum),2,17-16,,
4:17.0,,,17-16,,Oklahoma City full timeout
4:17.0,,,17-16,,D. Sabonis enters the game for T. Gibson
4:01.0,,,17-16,,A. Abrines misses 3-pt shot from 24 ft
4:01.0,Defensive rebound by Team,,17-16,,
3:45.0,N. Batum misses 3-pt shot from 24 ft,,17-16,,
3:45.0,,,17-16,,Defensive rebound by R. Westbrook
3:37.0,,,17-18,2,R. Westbrook makes 2-pt shot from 2 ft
3:25.0,F. Kaminsky makes 3-pt shot from 25 ft (assist by K. Walker),3,20-18,,
3:11.0,,,20-20,2,R. Westbrook makes 2-pt shot from 1 ft
2:57.0,F. Kaminsky makes 2-pt shot from 2 ft (assist by K. Walker),2,22-20,,
2:51.0,,,22-20,,Turnover by R. Westbrook (lost ball)
2:51.0,M. Belinelli enters the game for N. Batum,,22-20,,
2:51.0,M. Plumlee enters the game for C. Zeller,,22-20,,
2:51.0,,,22-20,,S. Christon enters the game for R. Westbrook
2:40.0,M. Belinelli makes 2-pt shot from 1 ft (assist by K. Walker),2,24-20,,
2:27.0,,,24-20,,A. Abrines misses 3-pt shot from 24 ft
2:26.0,Defensive rebound by M. Kidd-Gilchrist,,24-20,,
2:15.0,K. Walker misses 2-pt shot from 1 ft,,24-20,,
2:15.0,Offensive rebound by M. Plumlee,,24-20,,
2:13.0,B. Roberts enters the game for K. Walker,,24-20,,
2:13.0,J. Lamb enters the game for M. Kidd-Gilchrist,,24-20,,
2:13.0,Violation by Team (jump ball),,24-20,,
2:06.0,F. Kaminsky misses 2-pt shot from 23 ft,,24-20,,
2:04.0,,,24-20,,Defensive rebound by A. Roberson
1:50.0,,,24-20,,A. Abrines misses 3-pt shot from 25 ft
1:49.0,,,24-20,,Offensive rebound by E. Kanter
1:45.0,,,24-20,,E. Kanter misses 2-pt shot from 2 ft
1:45.0,Defensive rebound by J. Lamb,,24-20,,
1:36.0,Shooting foul by A. Abrines (drawn by M. Belinelli),,24-20,,
1:36.0,M. Belinelli makes free throw 1 of 3,1,25-20,,
1:36.0,M. Belinelli makes free throw 2 of 3,1,26-20,,
1:36.0,M. Belinelli makes free throw 3 of 3,1,27-20,,
1:36.0,,,26-20,,V. Oladipo enters the game for A. Roberson
1:22.0,,,27-20,,E. Kanter misses 2-pt shot from 3 ft
1:22.0,Defensive rebound by F. Kaminsky,,27-20,,
1:06.0,B. Roberts makes 2-pt shot from 2 ft,2,29-20,,
0:53.0,,,29-20,,Shooting foul by M. Plumlee (drawn by V. Oladipo)
0:53.0,,,29-21,1,V. Oladipo makes free throw 1 of 2
0:53.0,,,29-22,1,V. Oladipo makes free throw 2 of 2
0:38.0,M. Belinelli makes 2-pt shot from 1 ft,2,31-22,,
0:21.0,,,31-22,,V. Oladipo misses 3-pt shot from 24 ft
0:20.0,Defensive rebound by M. Belinelli,,31-22,,
0:03.0,Turnover by B. Roberts (bad pass; steal by S. Christon),,31-22,,
0:00.0,,,31-22,,A. Abrines misses 3-pt shot from 28 ft
0:00.0,,,31-22,,Offensive rebound by Team
0:00.0,End of 1st quarter,,,,End of 1st quarter
12:00.0,Start of 2nd quarter,,,,Start of 2nd quarter
11:42.0,Turnover by F. Kaminsky (traveling),,31-22,,
11:21.0,,,31-22,,D. McDermott misses 3-pt shot from 24 ft
11:21.0,,,31-22,,Offensive rebound by Team
11:21.0,Loose ball foul by M. Plumlee (drawn by E. Kanter),,31-22,,
11:11.0,,,31-22,,S. Christon misses 2-pt shot from 14 ft
11:10.0,Defensive rebound by J. Lamb,,31-22,,
10:54.0,F. Kaminsky makes 3-pt shot from 26 ft (assist by M. Belinelli),3,34-22,,
10:38.0,,,34-25,3,D. Sabonis makes 3-pt shot from 25 ft (assist by V. Oladipo)
10:18.0,J. Lamb misses 2-pt shot from 15 ft,,34-25,,
10:17.0,,,34-25,,Defensive rebound by V. Oladipo
10:14.0,,,34-27,2,V. Oladipo makes 2-pt shot from 1 ft
10:14.0,,,34-27,,Shooting foul by B. Roberts (drawn by V. Oladipo)
10:14.0,,,34-28,1,V. Oladipo makes free throw 1 of 1
9:50.0,J. Lamb misses 3-pt shot from 25 ft,,34-28,,
9:48.0,,,34-28,,Defensive rebound by V. Oladipo
9:39.0,,,34-28,,D. Sabonis misses 2-pt shot from 4 ft
9:39.0,Defensive rebound by M. Belinelli,,34-28,,
9:20.0,Turnover by M. Plumlee (lost ball; steal by S. Christon),,34-28,,
9:15.0,,,34-28,,Turnover by V. Oladipo (bad pass; steal by J. Lamb)
9:11.0,J. Lamb makes 2-pt shot at rim,2,36-28,,
9:11.0,Shooting foul by V. Oladipo (drawn by J. Lamb),,36-28,,
9:11.0,J. Lamb makes free throw 1 of 1,1,37-28,,
9:11.0,,,36-28,,R. Westbrook enters the game for S. Christon
9:11.0,M. Williams enters the game for M. Plumlee,,36-28,,
8:58.0,,,37-28,,V. Oladipo misses 3-pt shot from 23 ft
8:58.0,Defensive rebound by J. Lamb,,37-28,,
8:48.0,Turnover by J. Lamb (bad pass),,37-28,,
8:48.0,Official timeout,,37-28,,
8:48.0,M. Kidd-Gilchrist enters the game for J. Lamb,,37-28,,
8:48.0,,,37-28,,J. Grant enters the game for E. Kanter
8:36.0,,,37-30,2,D. Sabonis makes 2-pt shot from 1 ft (assist by R. Westbrook)
8:17.0,M. Belinelli misses 2-pt shot from 17 ft,,37-30,,
8:16.0,,,37-30,,Defensive rebound by D. Sabonis
8:10.0,,,37-32,2,R. Westbrook makes 2-pt shot from 14 ft
8:10.0,,,37-32,,Shooting foul by M. Kidd-Gilchrist (drawn by R. Westbrook)
8:10.0,,,37-33,1,R. Westbrook makes free throw 1 of 1
7:55.0,F. Kaminsky misses 2-pt shot from 15 ft,,37-33,,
7:54.0,,,37-33,,Defensive rebound by D. McDermott
7:47.0,,,37-33,,Turnover by R. Westbrook (bad pass; steal by B. Roberts)
7:35.0,B. Roberts makes 2-pt shot from 23 ft,2,39-33,,
7:12.0,,,39-36,3,J. Grant makes 3-pt shot from 23 ft (assist by V. Oladipo)
6:59.0,Turnover by M. Kidd-Gilchrist (lost ball),,39-36,,
6:59.0,N. Batum enters the game for M. Belinelli,,39-36,,
6:59.0,K. Walker enters the game for B. Roberts,,39-36,,
6:59.0,,,39-36,,S. Adams enters the game for V. Oladipo
6:59.0,,,39-36,,A. Roberson enters the game for D. Sabonis
6:51.0,,,39-36,,Turnover by R. Westbrook (bad pass; steal by F. Kaminsky)
6:42.0,F. Kaminsky misses 3-pt shot from 25 ft,,39-36,,
6:41.0,,,39-36,,Defensive rebound by A. Roberson
6:35.0,,,39-36,,Oklahoma City full timeout
6:30.0,,,39-36,,R. Westbrook misses 2-pt shot from 16 ft
6:29.0,Defensive rebound by K. Walker,,39-36,,
6:11.0,Turnover by M. Williams (traveling),,39-36,,
5:58.0,,,39-38,2,A. Roberson makes 2-pt shot at rim (assist by R. Westbrook)
5:40.0,K. Walker makes 3-pt shot from 25 ft (assist by N. Batum),3,42-38,,
5:30.0,,,42-38,,Turnover by R. Westbrook (bad pass; steal by K. Walker)
5:26.0,Shooting foul by J. Grant (drawn by M. Kidd-Gilchrist),,42-38,,
5:26.0,M. Kidd-Gilchrist makes free throw 1 of 2,1,43-38,,
5:26.0,M. Kidd-Gilchrist makes free throw 2 of 2,1,44-38,,
5:06.0,,,44-40,2,A. Roberson makes 2-pt shot from 2 ft
4:46.0,Shooting foul by D. McDermott (drawn by F. Kaminsky),,44-40,,
4:46.0,F. Kaminsky makes free throw 1 of 2,1,45-40,,
4:46.0,F. Kaminsky makes free throw 2 of 2,1,46-40,,
4:31.0,,,46-40,,S. Adams misses 2-pt shot from 4 ft
4:30.0,,,46-40,,Offensive rebound by R. Westbrook
4:30.0,,,46-40,,Shooting foul by M. Williams (drawn by R. Westbrook)
4:30.0,,,46-41,1,R. Westbrook makes free throw 1 of 2
4:30.0,,,46-42,1,R. Westbrook makes free throw 2 of 2
4:30.0,C. Zeller enters the game for F. Kaminsky,,46-41,,
4:20.0,K. Walker makes 3-pt shot from 25 ft (assist by N. Batum),3,49-42,,
4:04.0,,,49-42,,A. Roberson misses 3-pt shot from 24 ft
4:04.0,,,49-42,,Offensive rebound by J. Grant
4:03.0,,,49-42,,V. Oladipo enters the game for D. McDermott
4:03.0,Jump ball: J. Grant vs. M. Kidd-Gilchrist (R. Westbrook gains possession),,,,Jump ball: J. Grant vs. M. Kidd-Gilchrist (R. Westbrook gains possession)
3:59.0,,,49-42,,R. Westbrook misses 3-pt shot from 25 ft
3:58.0,Defensive rebound by N. Batum,,49-42,,
3:51.0,N. Batum misses 3-pt shot from 24 ft,,49-42,,
3:49.0,,,49-42,,Defensive rebound by J. Grant
3:36.0,,,49-42,,R. Westbrook misses 2-pt shot from 15 ft
3:35.0,,,49-42,,Offensive rebound by S. Adams
3:35.0,,,49-42,,S. Adams misses 2-pt shot from 2 ft
3:35.0,Defensive rebound by N. Batum,,49-42,,
3:22.0,Shooting foul by A. Roberson (drawn by M. Kidd-Gilchrist),,49-42,,
3:22.0,M. Kidd-Gilchrist makes free throw 1 of 2,1,50-42,,
3:22.0,M. Kidd-Gilchrist makes free throw 2 of 2,1,51-42,,
3:11.0,,,51-42,,V. Oladipo misses 3-pt shot from 22 ft
3:11.0,Defensive rebound by M. Kidd-Gilchrist,,51-42,,
2:58.0,M. Kidd-Gilchrist makes 2-pt shot from 14 ft (assist by M. Williams),2,53-42,,
2:32.0,,,53-42,,S. Adams misses 2-pt shot from 3 ft (block by C. Zeller)
2:31.0,Defensive rebound by M. Kidd-Gilchrist,,53-42,,
2:27.0,K. Walker makes 2-pt shot from 2 ft (assist by M. Kidd-Gilchrist),2,55-42,,
2:27.0,,,55-42,,Oklahoma City full timeout
2:27.0,Charlotte full timeout,,55-42,,
2:10.0,,,55-44,2,R. Westbrook makes 2-pt shot from 1 ft
1:44.0,K. Walker makes 2-pt shot from 20 ft,2,57-44,,
1:30.0,,,57-47,3,V. Oladipo makes 3-pt shot from 25 ft (assist by R. Westbrook)
1:08.0,M. Kidd-Gilchrist misses 2-pt shot from 21 ft,,57-47,,
1:08.0,,,57-47,,Defensive rebound by A. Roberson
1:02.0,,,57-50,3,R. Westbrook makes 3-pt shot from 24 ft
0:47.0,N. Batum makes 2-pt shot from 12 ft,2,59-50,,
0:35.0,,,59-50,,Shooting foul by M. Kidd-Gilchrist (drawn by R. Westbrook)
0:35.0,,,59-51,1,R. Westbrook makes free throw 1 of 2
0:35.0,,,59-52,1,R. Westbrook makes free throw 2 of 2
0:35.0,M. Belinelli enters the game for M. Kidd-Gilchrist,,59-51,,
0:20.0,Turnover by M. Belinelli (lost ball; steal by R. Westbrook),,59-52,,
0:16.0,,,59-54,2,V. Oladipo makes 2-pt shot at rim (assist by R. Westbrook)
0:02.0,M. Belinelli misses 3-pt shot from 25 ft,,59-54,,
0:01.0,,,59-54,,Defensive rebound by S. Adams
0:00.0,End of 2nd quarter,,,,End of 2nd quarter
12:00.0,Start of 3rd quarter,,,,Start of 3rd quarter
11:51.0,C. Zeller makes 2-pt shot at rim (assist by N. Batum),2,61-54,,
11:26.0,,,61-54,,Turnover by T. Gibson (traveling)
11:09.0,M. Kidd-Gilchrist makes 2-pt shot from 1 ft,2,63-54,,
10:43.0,,,63-54,,V. Oladipo misses 2-pt shot from 15 ft
10:43.0,,,63-54,,Offensive rebound by T. Gibson
10:41.0,,,63-54,,Turnover by T. Gibson (lost ball; steal by M. Kidd-Gilchrist)
10:26.0,K. Walker makes 3-pt shot from 25 ft,3,66-54,,
10:26.0,,,66-54,,Oklahoma City full timeout
10:17.0,,,66-54,,Turnover by R. Westbrook (lost ball)
10:01.0,K. Walker makes 2-pt shot from 22 ft (assist by C. Zeller),2,68-54,,
9:45.0,,,68-54,,R. Westbrook misses 2-pt shot from 17 ft
9:44.0,Defensive rebound by M. Williams,,68-54,,
9:26.0,K. Walker misses 2-pt shot from 7 ft (block by T. Gibson),,68-54,,
9:25.0,,,68-54,,Defensive rebound by T. Gibson
9:21.0,,,68-54,,R. Westbrook misses 2-pt shot from 1 ft
9:20.0,Defensive rebound by M. Kidd-Gilchrist,,68-54,,
9:11.0,M. Kidd-Gilchrist misses 2-pt shot from 11 ft,,68-54,,
9:10.0,,,68-54,,Defensive rebound by S. Adams
8:57.0,,,68-54,,Turnover by S. Adams (bad pass; steal by M. Williams)
8:48.0,N. Batum misses 3-pt shot from 25 ft,,68-54,,
8:47.0,,,68-54,,Defensive rebound by S. Adams
8:36.0,,,68-54,,R. Westbrook misses 3-pt shot from 25 ft
8:35.0,Defensive rebound by M. Williams,,68-54,,
8:16.0,Turnover by M. Kidd-Gilchrist (bad pass; steal by S. Adams),,68-54,,
8:11.0,,,68-54,,Turnover by A. Roberson (lost ball; steal by M. Kidd-Gilchrist)
8:05.0,M. Kidd-Gilchrist makes 2-pt shot from 1 ft (assist by N. Batum),2,70-54,,
7:46.0,,,70-54,,V. Oladipo misses 3-pt shot from 25 ft
7:45.0,Defensive rebound by C. Zeller,,70-54,,
7:32.0,K. Walker misses 3-pt shot from 25 ft,,70-54,,
7:30.0,,,70-54,,Defensive rebound by S. Adams
7:18.0,,,70-54,,V. Oladipo misses 2-pt shot from 2 ft (block by M. Williams)
7:17.0,Defensive rebound by M. Williams,,70-54,,
7:07.0,C. Zeller makes 2-pt shot from 5 ft (assist by N. Batum),2,72-54,,
7:07.0,,,72-54,,Oklahoma City full timeout
6:52.0,,,72-54,,R. Westbrook misses 3-pt shot from 24 ft
6:51.0,Defensive rebound by N. Batum,,72-54,,
6:34.0,M. Williams misses 2-pt shot from 21 ft,,72-54,,
6:33.0,,,72-54,,Defensive rebound by Team
6:33.0,Loose ball foul by N. Batum (drawn by A. Roberson),,72-54,,
6:33.0,,,72-54,,A. Abrines enters the game for V. Oladipo
6:33.0,,,72-54,,J. Grant enters the game for T. Gibson
6:23.0,,,72-56,2,R. Westbrook makes 2-pt shot from 1 ft
6:12.0,K. Walker makes 3-pt shot from 25 ft,3,75-56,,
5:58.0,,,75-59,3,R. Westbrook makes 3-pt shot from 24 ft
5:32.0,N. Batum misses 2-pt shot from 14 ft,,75-59,,
5:32.0,Offensive rebound by Team,,75-59,,
5:32.0,,,75-59,,Loose ball foul by S. Adams (drawn by M. Kidd-Gilchrist)
5:32.0,F. Kaminsky enters the game for M. Williams,,75-59,,
5:27.0,K. Walker makes 2-pt shot from 1 ft,2,77-59,,
5:18.0,,,77-59,,R. Westbrook misses 2-pt shot from 1 ft
5:17.0,,,77-59,,Offensive rebound by S. Adams
5:17.0,,,77-59,,S. Adams misses 2-pt shot from 1 ft
5:16.0,Defensive rebound by C. Zeller,,77-59,,
5:12.0,Turnover by K. Walker (lost ball; steal by R. Westbrook),,77-59,,
5:03.0,,,77-62,3,R. Westbrook makes 3-pt shot from 26 ft
4:41.0,M. Kidd-Gilchrist makes 2-pt shot at rim (assist by N. Batum),2,79-62,,
4:24.0,,,79-62,,Turnover by J. Grant (bad pass; steal by K. Walker)
4:21.0,Shooting foul by A. Abrines (drawn by K. Walker),,79-62,,
4:21.0,K. Walker makes free throw 1 of 2,1,80-62,,
4:21.0,K. Walker makes free throw 2 of 2,1,81-62,,
4:21.0,,,80-62,,E. Kanter enters the game for S. Adams
4:21.0,M. Belinelli enters the game for N. Batum,,80-62,,
4:11.0,,,81-64,2,R. Westbrook makes 2-pt shot from 1 ft
3:55.0,K. Walker misses 3-pt shot from 26 ft,,81-64,,
3:54.0,,,81-64,,Defensive rebound by A. Abrines
3:40.0,,,81-67,3,R. Westbrook makes 3-pt shot from 25 ft
3:21.0,Shooting foul by E. Kanter (drawn by C. Zeller),,81-67,,
3:21.0,C. Zeller misses free throw 1 of 2,,81-67,,
3:21.0,Offensive rebound by Team,,81-67,,
3:21.0,C. Zeller makes free throw 2 of 2,1,82-67,,
3:13.0,,,82-67,,R. Westbrook misses 3-pt shot from 25 ft
3:12.0,Defensive rebound by M. Belinelli,,82-67,,
2:54.0,K. Walker misses 3-pt shot from 26 ft,,82-67,,
2:54.0,,,82-67,,Defensive rebound by R. Westbrook
2:41.0,,,82-67,,Shooting foul by M. Belinelli (drawn by E. Kanter)
2:41.0,Charlotte full timeout,,82-67,,
2:41.0,,,82-68,1,E. Kanter makes free throw 1 of 2
2:41.0,,,82-68,,E. Kanter misses free throw 2 of 2
2:41.0,M. Plumlee enters the game for C. Zeller,,82-67,,
2:40.0,Defensive rebound by M. Kidd-Gilchrist,,82-68,,
2:18.0,M. Belinelli misses 3-pt shot from 24 ft,,82-68,,
2:17.0,,,82-68,,Defensive rebound by A. Abrines
1:59.0,,,82-68,,E. Kanter misses 2-pt shot from 1 ft
1:58.0,Defensive rebound by M. Belinelli,,82-68,,
1:41.0,K. Walker misses 2-pt shot from 17 ft,,82-68,,
1:41.0,,,82-68,,Defensive rebound by J. Grant
1:36.0,Personal block foul by K. Walker (drawn by A. Abrines),,82-68,,
1:36.0,,,82-68,,S. Christon enters the game for R. Westbrook
1:36.0,B. Roberts enters the game for K. Walker,,82-68,,
1:36.0,J. Lamb enters the game for M. Kidd-Gilchrist,,82-68,,
1:28.0,,,82-68,,Turnover by A. Abrines (bad pass; steal by M. Plumlee)
1:16.0,J. Lamb makes 2-pt shot from 4 ft,2,84-68,,
1:02.0,,,84-70,2,E. Kanter makes 2-pt shot from 2 ft (assist by J. Grant)
0:47.0,Offensive foul by M. Belinelli,,84-70,,
0:47.0,Turnover by M. Belinelli (offensive foul),,84-70,,
0:25.0,,,84-70,,Turnover by S. Christon (bad pass; steal by M. Plumlee)
0:01.0,M. Plumlee misses 2-pt shot at rim (block by J. Grant),,84-70,,
0:01.0,Offensive rebound by Team,,84-70,,
0:01.0,Turnover by Team (shot clock),,84-70,,
0:00.0,End of 3rd quarter,,,,End of 3rd quarter
12:00.0,Start of 4th quarter,,,,Start of 4th quarter
11:42.0,,,84-72,2,J. Grant makes 2-pt shot from 1 ft
11:18.0,B. Roberts misses 3-pt shot from 26 ft,,84-72,,
11:17.0,Offensive rebound by F. Kaminsky,,84-72,,
11:16.0,F. Kaminsky makes 2-pt shot at rim,2,86-72,,
11:00.0,,,86-72,,Offensive foul by V. Oladipo
11:00.0,,,86-72,,Turnover by V. Oladipo (offensive foul)
10:39.0,Shooting foul by J. Grant (drawn by F. Kaminsky),,86-72,,
10:39.0,F. Kaminsky makes free throw 1 of 2,1,87-72,,
10:39.0,F. Kaminsky makes free throw 2 of 2,1,88-72,,
10:28.0,Personal foul by M. Plumlee (drawn by E. Kanter),,88-72,,
10:12.0,,,88-74,2,S. Christon makes 2-pt shot from 1 ft
9:45.0,B. Roberts misses 2-pt shot from 15 ft,,88-74,,
9:45.0,,,88-74,,Defensive rebound by D. McDermott
9:35.0,,,88-76,2,E. Kanter makes 2-pt shot from 2 ft (assist by V. Oladipo)
9:35.0,Charlotte full timeout,,88-76,,
9:15.0,J. Lamb makes 2-pt shot from 14 ft,2,90-76,,
9:01.0,,,90-78,2,E. Kanter makes 2-pt shot from 2 ft
8:51.0,J. Lamb makes 2-pt shot from 15 ft (assist by B. Roberts),2,92-78,,
8:51.0,Shooting foul by S. Christon (drawn by J. Lamb),,92-78,,
8:51.0,J. Lamb makes free throw 1 of 1,1,93-78,,
8:51.0,M. Williams enters the game for M. Plumlee,,92-78,,
8:51.0,,,92-78,,R. Westbrook enters the game for S. Christon
8:42.0,,,93-80,2,E. Kanter makes 2-pt shot from 7 ft
8:30.0,J. Lamb makes 3-pt shot from 24 ft (assist by B. Roberts),3,96-80,,
8:14.0,,,96-80,,Turnover by E. Kanter (lost ball; steal by M. Belinelli)
7:58.0,F. Kaminsky makes 3-pt shot from 24 ft (assist by M. Belinelli),3,99-80,,
7:38.0,,,99-80,,E. Kanter misses 2-pt shot from 2 ft (block by F. Kaminsky)
7:37.0,Defensive rebound by B. Roberts,,99-80,,
7:34.0,M. Kidd-Gilchrist enters the game for M. Belinelli,,99-80,,
7:34.0,N. Batum enters the game for J. Lamb,,99-80,,
7:34.0,,,99-80,,D. Sabonis enters the game for E. Kanter
7:34.0,,,99-80,,A. Roberson enters the game for D. McDermott
7:25.0,B. Roberts makes 2-pt shot at rim,2,101-80,,
7:12.0,,,101-83,3,J. Grant makes 3-pt shot from 25 ft (assist by R. Westbrook)
6:51.0,B. Roberts misses 3-pt shot from 25 ft,,101-83,,
6:51.0,,,101-83,,Defensive rebound by A. Roberson
6:44.0,,,101-83,,Turnover by R. Westbrook (bad pass)
6:44.0,K. Walker enters the game for B. Roberts,,101-83,,
6:23.0,F. Kaminsky misses 3-pt shot from 25 ft,,101-83,,
6:23.0,,,101-83,,Defensive rebound by R. Westbrook
6:15.0,,,101-83,,D. Sabonis misses 2-pt shot from 19 ft
6:15.0,Defensive rebound by N. Batum,,101-83,,
6:05.0,Shooting foul by J. Grant (drawn by F. Kaminsky),,101-83,,
6:05.0,F. Kaminsky makes free throw 1 of 2,1,102-83,,
6:05.0,F. Kaminsky misses free throw 2 of 2,,102-83,,
6:05.0,,,102-83,,S. Adams enters the game for J. Grant
6:04.0,,,102-83,,Defensive rebound by R. Westbrook
5:50.0,,,102-85,2,A. Roberson makes 2-pt shot from 1 ft (assist by V. Oladipo)
5:36.0,M. Williams misses 3-pt shot from 25 ft,,102-85,,
5:36.0,,,102-85,,Defensive rebound by V. Oladipo
5:29.0,,,102-85,,Shooting foul by F. Kaminsky (drawn by V. Oladipo)
5:29.0,Official timeout,,102-85,,
5:29.0,,,102-86,1,V. Oladipo makes free throw 1 of 2
5:29.0,,,102-87,1,V. Oladipo makes free throw 2 of 2
5:29.0,,,102-85,,S. Christon enters the game for D. Sabonis
5:12.0,Turnover by K. Walker (lost ball; steal by S. Adams),,102-87,,
5:08.0,,,102-89,2,V. Oladipo makes 2-pt shot from 2 ft (assist by R. Westbrook)
4:41.0,Turnover by K. Walker (lost ball; steal by A. Roberson),,102-89,,
4:37.0,,,102-91,2,A. Roberson makes 2-pt shot from 2 ft (assist by V. Oladipo)
4:37.0,Charlotte full timeout,,102-91,,
4:37.0,C. Zeller enters the game for F. Kaminsky,,102-91,,
4:23.0,Turnover by C. Zeller (bad pass; steal by R. Westbrook),,102-91,,
4:16.0,,,102-91,,R. Westbrook misses 3-pt shot from 25 ft
4:16.0,Defensive rebound by K. Walker,,102-91,,
4:02.0,C. Zeller makes 2-pt shot from 4 ft (assist by N. Batum),2,104-91,,
4:02.0,Shooting foul by A. Roberson (drawn by C. Zeller),,104-91,,
4:02.0,C. Zeller makes free throw 1 of 1,1,105-91,,
3:49.0,,,105-93,2,R. Westbrook makes 2-pt shot from 1 ft
3:23.0,M. Kidd-Gilchrist misses 2-pt shot from 14 ft (block by S. Adams),,105-93,,
3:23.0,,,105-93,,Defensive rebound by R. Westbrook
