time,Phoenix,pts.away,score,pts.home,Houston
11:09.0,T. Warren makes 2-pt shot from 2 ft,2,82-109,,
10:54.0,,,82-109,,P. Beverley misses 2-pt shot from 2 ft
10:53.0,Defensive rebound by B. Knight,,82-109,,
10:41.0,T. Warren makes 2-pt shot from 2 ft (assist by D. Bender),2,84-109,,
10:15.0,,,84-109,,S. Dekker misses 2-pt shot from 8 ft
10:14.0,Defensive rebound by D. Bender,,84-109,,
10:08.0,Shooting foul by P. Beverley (drawn by B. Knight),,84-109,,
10:08.0,B. Knight misses free throw 1 of 2,,84-109,,
10:08.0,Offensive rebound by Team,,84-109,,
10:08.0,B. Knight makes free throw 2 of 2,1,85-109,,
9:57.0,,,85-109,,Offensive foul by M. Harrell
9:57.0,,,85-109,,Turnover by M. Harrell (offensive foul)
9:40.0,T. Warren misses 2-pt shot from 2 ft (block by M. Harrell),,85-109,,
9:40.0,Offensive rebound by A. Len,,85-109,,
