time,Houston,pts.away,score,pts.home,Detroit
4:57.0,,,12-20,,Offensive rebound by A. Drummond
4:52.0,,,12-20,,Offensive charge foul by T. Harris
4:52.0,,,12-20,,Turnover by T. Harris (offensive foul)
4:52.0,,,12-20,,J. Leuer enters the game for T. Harris
4:38.0,T. Ariza misses 3-pt shot from 24 ft,,12-20,,
4:38.0,Offensive rebound by N. Hilario,,12-20,,
4:29.0,R. Anderson misses 3-pt shot from 26 ft,,12-20,,
4:28.0,,,12-20,,Defensive rebound by A. Drummond
4:18.0,,,12-20,,J. Leuer misses 2-pt shot from 17 ft
4:17.0,Defensive rebound by T. Ariza,,12-20,,
4:13.0,,,12-20,,Violation by J. Leuer (kicked ball)
4:06.0,Turnover by E. Gordon (bad pass),,12-20,,
4:06.0,S. Dekker enters the game for R. Anderson,,12-20,,
3:42.0,,,12-20,,M. Morris misses 2-pt shot from 11 ft
3:41.0,,,12-20,,Offensive rebound by A. Drummond
3:41.0,,,12-20,,A. Drummond misses 2-pt shot from 1 ft
3:41.0,,,12-20,,Offensive rebound by A. Drummond
3:38.0,,,12-20,,A. Drummond misses 2-pt shot from 1 ft
3:38.0,,,12-20,,Offensive rebound by J. Leuer
3:35.0,,,12-22,2,J. Leuer makes 2-pt shot from 1 ft
3:29.0,J. Harden misses 3-pt shot from 26 ft,,12-22,,
3:28.0,,,12-22,,Defensive rebound by A. Drummond
3:21.0,,,12-22,,J. Leuer misses 2-pt shot from 21 ft
3:20.0,Defensive rebound by N. Hilario,,12-22,,
3:11.0,Turnover by J. Harden (bad pass; steal by A. Drummond),,12-22,,
3:02.0,,,12-22,,I. Smith misses 3-pt shot from 23 ft
3:01.0,Defensive rebound by S. Dekker,,12-22,,
2:46.0,N. Hilario makes 2-pt shot from 17 ft (assist by T. Ariza),2,14-22,,
2:39.0,,,14-22,,Detroit full timeout
2:39.0,,,14-22,,A. Baynes enters the game for A. Drummond
2:39.0,,,14-22,,B. Udrih enters the game for I. Smith
2:24.0,,,14-22,,M. Morris misses 2-pt shot at rim
2:23.0,Defensive rebound by E. Gordon,,14-22,,
2:12.0,J. Harden misses 2-pt shot from 1 ft,,14-22,,
2:11.0,Offensive rebound by N. Hilario,,14-22,,
1:58.0,N. Hilario misses 2-pt shot from 1 ft,,14-22,,
1:56.0,,,14-22,,Defensive rebound by J. Leuer
1:49.0,Personal foul by N. Hilario (drawn by A. Baynes),,14-22,,
1:49.0,C. Brewer enters the game for T. Ariza,,14-22,,
1:38.0,,,14-22,,A. Baynes misses 2-pt shot from 4 ft
1:38.0,Defensive rebound by J. Harden,,14-22,,
1:33.0,S. Dekker makes 2-pt shot from 1 ft (assist by J. Harden),2,16-22,,
1:11.0,,,16-22,,M. Morris misses 2-pt shot from 11 ft
1:11.0,Defensive rebound by C. Brewer,,16-22,,
1:00.0,J. Harden misses 2-pt shot from 11 ft,,16-22,,
1:00.0,,,16-22,,Defensive rebound by B. Udrih
0:52.0,,,16-22,,J. Leuer misses 2-pt shot from 12 ft (block by E. Gordon)
0:52.0,Defensive rebound by S. Dekker,,16-22,,
0:47.0,S. Dekker makes 2-pt shot at rim,2,18-22,,
0:31.0,,,18-22,,Turnover by J. Leuer (bad pass)
0:08.0,Turnover by J. Harden (traveling),,18-22,,
0:01.0,,,18-25,3,B. Udrih makes 3-pt shot from 26 ft
0:00.0,End of 1st quarter,,,,End of 1st quarter
12:00.0,Start of 2nd quarter,,,,Start of 2nd quarter
11:47.0,P. Beverley misses 3-pt shot from 27 ft,,18-25,,
11:47.0,,,18-25,,Defensive rebound by J. Leuer
11:37.0,,,18-25,,Turnover by J. Leuer (bad pass; steal by P. Beverley)
11:30.0,S. Dekker misses 2-pt shot from 1 ft,,18-25,,
11:30.0,,,18-25,,Defensive rebound by J. Leuer
11:09.0,,,18-27,2,T. Harris makes 2-pt shot from 6 ft (assist by B. Udrih)
10:58.0,E. Gordon misses 3-pt shot from 27 ft,,18-27,,
10:57.0,,,18-27,,Defensive rebound by B. Udrih
10:44.0,,,18-27,,A. Baynes misses 2-pt shot from 20 ft
10:44.0,Defensive rebound by N. Hilario,,18-27,,
10:32.0,N. Hilario misses 2-pt shot from 18 ft,,18-27,,
10:31.0,,,18-27,,Defensive rebound by J. Leuer
10:24.0,,,18-27,,B. Udrih misses 2-pt shot from 17 ft
10:22.0,Defensive rebound by S. Dekker,,18-27,,
10:18.0,E. Gordon misses 2-pt shot from 1 ft,,18-27,,
10:17.0,,,18-27,,Defensive rebound by A. Baynes
10:11.0,,,18-29,2,J. Leuer makes 2-pt shot at rim (assist by B. Udrih)
9:52.0,C. Brewer makes 2-pt shot at rim (assist by N. Hilario),2,20-29,,
9:40.0,,,20-29,,Offensive foul by T. Harris
9:40.0,,,20-29,,Turnover by T. Harris (offensive foul)
9:40.0,C. Capela enters the game for N. Hilario,,20-29,,
9:40.0,,,20-29,,S. Johnson enters the game for T. Harris
9:29.0,P. Beverley makes 2-pt shot from 1 ft,2,22-29,,
9:14.0,,,22-29,,Shooting foul by P. Beverley (drawn by J. Leuer)
9:14.0,,,22-30,1,J. Leuer makes free throw 1 of 2
9:14.0,,,22-31,1,J. Leuer makes free throw 2 of 2
8:54.0,C. Brewer makes 3-pt shot from 23 ft (assist by C. Capela),3,25-31,,
8:41.0,,,25-31,,Shooting foul by C. Capela (drawn by J. Leuer)
8:41.0,Official timeout,,25-31,,
8:41.0,,,25-32,1,J. Leuer makes free throw 1 of 2
8:41.0,,,25-33,1,J. Leuer makes free throw 2 of 2
8:26.0,S. Dekker makes 2-pt shot at rim,2,27-33,,
8:08.0,,,27-35,2,S. Johnson makes 2-pt shot from 16 ft
7:55.0,P. Beverley makes 2-pt shot at rim,2,29-35,,
7:44.0,Personal foul by P. Beverley (drawn by B. Udrih),,29-35,,
7:44.0,,,29-35,,A. Drummond enters the game for A. Baynes
7:31.0,,,29-37,2,J. Leuer makes 2-pt shot from 7 ft (assist by B. Udrih)
7:20.0,C. Capela makes 2-pt shot from 1 ft (assist by E. Gordon),2,31-37,,
7:04.0,,,31-39,2,R. Bullock makes 2-pt shot from 17 ft (assist by A. Drummond)
6:53.0,S. Dekker makes 3-pt shot from 27 ft (assist by P. Beverley),3,34-39,,
6:33.0,,,34-39,,A. Drummond misses 2-pt shot from 4 ft
6:33.0,Defensive rebound by C. Capela,,34-39,,
6:31.0,Shooting foul by J. Leuer (drawn by C. Brewer),,34-39,,
6:31.0,C. Brewer misses free throw 1 of 2,,34-39,,
6:31.0,Offensive rebound by Team,,34-39,,
6:31.0,C. Brewer makes free throw 2 of 2,1,35-39,,
6:31.0,J. Harden enters the game for P. Beverley,,34-39,,
6:31.0,,,34-39,,I. Smith enters the game for B. Udrih
6:31.0,,,34-39,,K. Caldwell-Pope enters the game for R. Bullock
6:07.0,,,35-39,,S. Johnson misses 3-pt shot from 25 ft
6:07.0,Defensive rebound by C. Capela,,35-39,,
6:00.0,Offensive foul by E. Gordon,,35-39,,
6:00.0,Turnover by E. Gordon (offensive foul),,35-39,,
6:00.0,,,35-39,,Detroit full timeout
6:00.0,T. Ariza enters the game for E. Gordon,,35-39,,
6:00.0,R. Anderson enters the game for C. Brewer,,35-39,,
5:43.0,,,35-39,,A. Drummond misses 2-pt shot from 6 ft
5:41.0,Defensive rebound by R. Anderson,,35-39,,
5:32.0,S. Dekker makes 3-pt shot from 24 ft (assist by T. Ariza),3,38-39,,
5:22.0,,,38-39,,Shooting foul by J. Harden (drawn by I. Smith)
5:22.0,,,38-40,1,I. Smith makes free throw 1 of 2
5:22.0,,,38-41,1,I. Smith makes free throw 2 of 2
5:22.0,,,38-40,,M. Morris enters the game for J. Leuer
5:13.0,,,38-41,,Def 3 sec tech foul by A. Drummond
5:13.0,J. Harden makes technical free throw,1,39-41,,
4:57.0,J. Harden misses 3-pt shot from 25 ft,,39-41,,
4:57.0,Offensive rebound by Team,,39-41,,
4:57.0,Turnover by Team (shot clock),,39-41,,
4:50.0,Personal foul by S. Dekker (drawn by M. Morris),,39-41,,
4:50.0,,,39-42,1,M. Morris makes free throw 1 of 2
4:50.0,,,39-43,1,M. Morris makes free throw 2 of 2
4:35.0,T. Ariza makes 2-pt shot at rim (assist by S. Dekker),2,41-43,,
4:17.0,,,41-43,,M. Morris misses 2-pt shot from 15 ft
4:17.0,Defensive rebound by T. Ariza,,41-43,,
4:11.0,C. Capela makes 2-pt shot at rim (assist by J. Harden),2,43-43,,
3:54.0,,,43-46,3,I. Smith makes 3-pt shot from 26 ft (assist by K. Caldwell-Pope)
3:42.0,Shooting foul by M. Morris (drawn by C. Capela),,43-46,,
3:42.0,C. Capela misses free throw 1 of 2,,43-46,,
3:42.0,Offensive rebound by Team,,43-46,,
3:42.0,C. Capela makes free throw 2 of 2,1,44-46,,
3:30.0,,,44-46,,I. Smith misses 2-pt shot from 5 ft (block by C. Capela)
3:30.0,Defensive rebound by Team,,44-46,,
3:12.0,J. Harden makes 2-pt shot from 7 ft,2,46-46,,
2:53.0,,,46-46,,Turnover by K. Caldwell-Pope (bad pass)
2:53.0,Houston full timeout,,46-46,,
2:34.0,,,46-46,,Personal foul by M. Morris (drawn by R. Anderson)
2:34.0,,,46-46,,J. Leuer enters the game for M. Morris
2:22.0,J. Harden misses 3-pt shot from 25 ft,,46-46,,
2:21.0,,,46-46,,Defensive rebound by A. Drummond
2:09.0,,,46-46,,Turnover by A. Drummond (3 sec)
1:49.0,Shooting foul by S. Johnson (drawn by J. Harden),,46-46,,
1:49.0,J. Harden makes free throw 1 of 2,1,47-46,,
1:49.0,J. Harden makes free throw 2 of 2,1,48-46,,
1:29.0,,,48-46,,I. Smith misses 2-pt shot from 8 ft
1:29.0,,,48-46,,Offensive rebound by A. Drummond
1:28.0,,,48-46,,A. Drummond misses 2-pt shot at rim
1:26.0,,,48-46,,Offensive rebound by I. Smith
1:22.0,,,48-46,,A. Drummond misses 2-pt shot from 5 ft
1:21.0,Defensive rebound by C. Capela,,48-46,,
0:56.0,S. Dekker misses 2-pt shot from 1 ft,,48-46,,
0:55.0,,,48-46,,Defensive rebound by A. Drummond
0:49.0,,,48-46,,S. Johnson misses 2-pt shot from 3 ft
0:48.0,Defensive rebound by C. Capela,,48-46,,
0:39.0,S. Dekker misses 2-pt shot from 21 ft,,48-46,,
0:36.0,,,48-46,,Defensive rebound by S. Johnson
0:29.0,,,48-46,,Turnover by A. Drummond (3 sec)
0:08.0,Shooting foul by K. Caldwell-Pope (drawn by J. Harden),,48-46,,
0:08.0,J. Harden makes free throw 1 of 3,1,49-46,,
0:08.0,J. Harden makes free throw 2 of 3,1,50-46,,
0:08.0,J. Harden makes free throw 3 of 3,1,51-46,,
0:08.0,N. Hilario enters the game for C. Capela,,50-46,,
0:08.0,E. Gordon enters the game for R. Anderson,,50-46,,
0:08.0,,,50-46,,R. Bullock enters the game for S. Johnson
0:05.0,,,51-46,,Turnover by I. Smith (lost ball)
0:05.0,Houston full timeout,,51-46,,
0:05.0,,,51-46,,S. Johnson enters the game for I. Smith
0:05.0,R. Anderson enters the game for S. Dekker,,51-46,,
0:02.0,Turnover by J. Harden (lost ball; steal by A. Drummond),,51-46,,
0:00.0,,,51-46,,K. Caldwell-Pope misses 2-pt shot from 1 ft
0:00.0,,,51-46,,Offensive rebound by Team
0:00.0,End of 2nd quarter,,,,End of 2nd quarter
12:00.0,Start of 3rd quarter,,,,Start of 3rd quarter
11:33.0,T. Ariza makes 3-pt shot from 25 ft (assist by J. Harden),3,54-46,,
11:27.0,,,54-46,,M. Morris misses 2-pt shot from 17 ft
11:27.0,,,54-46,,Offensive rebound by A. Drummond
11:10.0,,,54-48,2,A. Drummond makes 2-pt shot at rim (assist by I. Smith)
10:49.0,T. Ariza misses 2-pt shot from 1 ft (block by M. Morris),,54-48,,
10:48.0,,,54-48,,Defensive rebound by A. Drummond
10:40.0,,,54-51,3,K. Caldwell-Pope makes 3-pt shot from 24 ft (assist by T. Harris)
10:14.0,T. Ariza misses 3-pt shot from 23 ft,,54-51,,
10:14.0,,,54-51,,Defensive rebound by A. Drummond
9:57.0,,,54-51,,Shooting foul by R. Anderson (drawn by A. Drummond)
9:57.0,,,54-51,,A. Drummond misses free throw 1 of 2
9:57.0,,,54-51,,Offensive rebound by Team
9:57.0,,,54-51,,A. Drummond misses free throw 2 of 2
9:55.0,Defensive rebound by C. Capela,,54-51,,
9:47.0,Shooting foul by A. Drummond (drawn by R. Anderson),,54-51,,
9:47.0,R. Anderson makes free throw 1 of 2,1,55-51,,
9:47.0,R. Anderson makes free throw 2 of 2,1,56-51,,
9:37.0,,,56-53,2,A. Drummond makes 2-pt shot from 1 ft (assist by I. Smith)
9:30.0,,,56-53,,Personal foul by M. Morris (drawn by R. Anderson)
9:30.0,,,56-53,,Violation by Team (jump ball)
9:22.0,R. Anderson misses 3-pt shot from 24 ft,,56-53,,
9:21.0,Offensive rebound by C. Capela,,56-53,,
9:14.0,C. Capela makes 2-pt shot at rim (assist by J. Harden),2,58-53,,
8:58.0,,,58-53,,A. Drummond misses 2-pt shot at rim
8:57.0,Defensive rebound by C. Capela,,58-53,,
8:34.0,C. Capela makes 2-pt shot from 7 ft (assist by R. Anderson),2,60-53,,
8:34.0,,,60-53,,Detroit full timeout
8:25.0,,,60-53,,Offensive foul by A. Drummond
8:25.0,,,60-53,,Turnover by A. Drummond (offensive foul)
8:05.0,P. Beverley makes 2-pt shot from 8 ft (assist by J. Harden),2,62-53,,
7:43.0,,,62-55,2,T. Harris makes 2-pt shot from 12 ft (assist by I. Smith)
7:27.0,R. Anderson misses 2-pt shot from 4 ft,,62-55,,
7:27.0,,,62-55,,Defensive rebound by T. Harris
7:19.0,,,62-58,3,K. Caldwell-Pope makes 3-pt shot from 24 ft (assist by I. Smith)
6:57.0,C. Capela misses 2-pt shot from 1 ft,,62-58,,
6:56.0,Offensive rebound by C. Capela,,62-58,,
6:54.0,C. Capela makes 2-pt shot at rim,2,64-58,,
6:39.0,,,64-58,,T. Harris misses 2-pt shot from 14 ft
6:39.0,Defensive rebound by R. Anderson,,64-58,,
6:23.0,R. Anderson misses 3-pt shot from 27 ft,,64-58,,
6:22.0,Offensive rebound by P. Beverley,,64-58,,
6:16.0,J. Harden makes 3-pt shot from 27 ft (assist by T. Ariza),3,67-58,,
6:00.0,,,67-58,,M. Morris misses 2-pt shot from 19 ft
6:00.0,Defensive rebound by R. Anderson,,67-58,,
5:43.0,J. Harden misses 3-pt shot from 26 ft,,67-58,,
5:43.0,,,67-58,,Defensive rebound by K. Caldwell-Pope
5:35.0,,,67-60,2,A. Drummond makes 2-pt shot from 11 ft (assist by I. Smith)
5:20.0,Offensive foul by C. Capela,,67-60,,
5:20.0,Turnover by C. Capela (offensive foul),,67-60,,
5:20.0,,,67-60,,J. Leuer enters the game for M. Morris
5:20.0,N. Hilario enters the game for C. Capela,,67-60,,
5:20.0,E. Gordon enters the game for P. Beverley,,67-60,,
5:03.0,,,67-60,,A. Drummond misses 2-pt shot from 6 ft (block by N. Hilario)
5:02.0,Defensive rebound by N. Hilario,,67-60,,
4:51.0,T. Ariza makes 3-pt shot from 24 ft (assist by J. Harden),3,70-60,,
4:45.0,,,70-60,,Detroit full timeout
4:45.0,,,70-60,,A. Baynes enters the game for A. Drummond
4:36.0,,,70-60,,Shooting foul by N. Hilario (drawn by K. Caldwell-Pope)
4:36.0,,,70-61,1,K. Caldwell-Pope makes free throw 1 of 2
4:36.0,,,70-62,1,K. Caldwell-Pope makes free throw 2 of 2
4:21.0,J. Harden misses 3-pt shot from 26 ft,,70-62,,
4:20.0,,,70-62,,Defensive rebound by J. Leuer
4:14.0,,,70-64,2,I. Smith makes 2-pt shot at rim
4:06.0,T. Ariza misses 2-pt shot at rim (block by I. Smith),,70-64,,
4:05.0,Offensive rebound by T. Ariza,,70-64,,
4:03.0,Offensive foul by N. Hilario,,70-64,,
4:03.0,Turnover by N. Hilario (offensive foul),,70-64,,
3:50.0,,,70-64,,I. Smith misses 2-pt shot from 4 ft (block by J. Harden)
3:50.0,Defensive rebound by N. Hilario,,70-64,,
3:46.0,Shooting foul by A. Baynes (drawn by J. Harden),,70-64,,
3:46.0,J. Harden makes free throw 1 of 2,1,71-64,,
3:46.0,J. Harden makes free throw 2 of 2,1,72-64,,
3:46.0,S. Dekker enters the game for R. Anderson,,71-64,,
3:26.0,,,72-64,,A. Baynes misses 2-pt shot from 4 ft
3:26.0,Defensive rebound by N. Hilario,,72-64,,
3:26.0,Flagrant foul type 1 by N. Hilario (drawn by A. Baynes),,72-64,,
3:26.0,Turnover by N. Hilario (offensive foul),,72-64,,
3:26.0,,,72-65,1,A. Baynes makes flagrant free throw 1 of 2
3:26.0,,,72-66,1,A. Baynes makes flagrant free throw 2 of 2
3:11.0,,,72-66,,Shooting foul by T. Ariza (drawn by K. Caldwell-Pope)
3:11.0,,,72-66,,K. Caldwell-Pope misses free throw 1 of 3
3:11.0,,,72-66,,Offensive rebound by Team
3:11.0,,,72-67,1,K. Caldwell-Pope makes free throw 2 of 3
3:11.0,,,72-68,1,K. Caldwell-Pope makes free throw 3 of 3
2:46.0,Turnover by Team (shot clock),,72-68,,
2:46.0,Houston full timeout,,72-68,,
2:34.0,,,72-68,,K. Caldwell-Pope misses 3-pt shot from 26 ft
2:33.0,Defensive rebound by J. Harden,,72-68,,
2:27.0,J. Harden makes 3-pt shot from 26 ft,3,75-68,,
2:14.0,,,75-68,,Turnover by K. Caldwell-Pope (bad pass; steal by T. Ariza)
2:13.0,,,75-68,,Personal foul by K. Caldwell-Pope (drawn by J. Harden)
2:07.0,J. Harden misses 3-pt shot from 26 ft,,75-68,,
2:06.0,,,75-68,,Defensive rebound by I. Smith
1:50.0,,,75-68,,Turnover by K. Caldwell-Pope (bad pass; steal by N. Hilario)
1:28.0,J. Harden misses 2-pt shot from 7 ft,,75-68,,
1:25.0,Offensive rebound by J. Harden,,75-68,,
1:23.0,J. Harden makes 2-pt shot from 1 ft,2,77-68,,
1:11.0,,,77-68,,T. Harris misses 2-pt shot from 6 ft
1:10.0,Defensive rebound by J. Harden,,77-68,,
1:05.0,Shooting foul by T. Harris (drawn by J. Harden),,77-68,,
1:05.0,J. Harden makes free throw 1 of 2,1,78-68,,
1:05.0,J. Harden makes free throw 2 of 2,1,79-68,,
1:05.0,,,78-68,,B. Udrih enters the game for I. Smith
1:05.0,,,78-68,,M. Morris enters the game for T. Harris
0:51.0,,,79-70,2,K. Caldwell-Pope makes 2-pt shot from 16 ft
0:45.0,Offensive foul by N. Hilario,,79-70,,
0:45.0,Turnover by N. Hilario (offensive foul),,79-70,,
0:45.0,C. Capela enters the game for N. Hilario,,79-70,,
0:28.0,,,79-72,2,K. Caldwell-Pope makes 2-pt shot from 19 ft
0:05.0,J. Harden misses 3-pt shot from 23 ft (block by J. Leuer),,79-72,,
0:04.0,,,79-72,,Defensive rebound by M. Morris
0:00.0,,,79-75,3,M. Morris makes 3-pt shot from 33 ft
0:00.0,End of 3rd quarter,,,,End of 3rd quarter
12:00.0,Start of 4th quarter,,,,Start of 4th quarter
11:47.0,,,79-77,2,K. Caldwell-Pope makes 2-pt shot from 17 ft (assist by B. Udrih)
11:31.0,Turnover by P. Beverley (traveling),,79-77,,
11:31.0,,,79-77,,R. Bullock enters the game for K. Caldwell-Pope
11:13.0,,,79-77,,M. Morris misses 2-pt shot from 8 ft
11:13.0,Defensive rebound by C. Capela,,79-77,,
11:03.0,E. Gordon misses 2-pt shot from 13 ft,,79-77,,
11:02.0,,,79-77,,Defensive rebound by M. Morris
10:53.0,,,79-77,,Turnover by A. Baynes (bad pass)
10:36.0,P. Beverley makes 3-pt shot from 26 ft (assist by E. Gordon),3,82-77,,
10:06.0,,,82-79,2,R. Bullock makes 2-pt shot from 15 ft (assist by B. Udrih)
9:51.0,Turnover by C. Capela (bad pass; steal by B. Udrih),,82-79,,
9:41.0,,,82-79,,J. Leuer misses 2-pt shot from 5 ft (block by C. Capela)
9:41.0,,,82-79,,Offensive rebound by Team
9:41.0,,,82-79,,A. Drummond enters the game for A. Baynes
9:27.0,,,82-81,2,A. Drummond makes 2-pt shot from 6 ft (assist by B. Udrih)
9:04.0,P. Beverley misses 2-pt shot from 20 ft,,82-81,,
9:03.0,,,82-81,,Defensive rebound by A. Drummond
8:38.0,,,82-81,,A. Drummond misses 2-pt shot from 9 ft
8:37.0,Defensive rebound by S. Dekker,,82-81,,
8:27.0,E. Gordon misses 3-pt shot from 26 ft,,82-81,,
8:26.0,,,82-81,,Defensive rebound by J. Leuer
8:13.0,,,82-81,,A. Drummond misses 2-pt shot from 8 ft
8:13.0,,,82-81,,Offensive rebound by Team
8:13.0,Official timeout,,82-81,,
8:02.0,,,82-81,,R. Bullock misses 3-pt shot from 24 ft
8:01.0,,,82-81,,Offensive rebound by R. Bullock
7:57.0,,,82-81,,R. Bullock misses 2-pt shot from 4 ft
7:56.0,,,82-81,,Offensive rebound by R. Bullock
7:52.0,,,82-83,2,R. Bullock makes 2-pt shot at rim
7:39.0,P. Beverley misses 2-pt shot from 5 ft,,82-83,,
7:39.0,,,82-83,,Defensive rebound by A. Drummond
7:23.0,,,82-85,2,J. Leuer makes 2-pt shot at rim (assist by B. Udrih)
7:07.0,Shooting foul by M. Morris (drawn by C. Brewer),,82-85,,
7:07.0,C. Brewer misses free throw 1 of 2,,82-85,,
7:07.0,Offensive rebound by Team,,82-85,,
7:07.0,C. Brewer makes free throw 2 of 2,1,83-85,,
7:07.0,,,82-85,,K. Caldwell-Pope enters the game for R. Bullock
7:07.0,R. Anderson enters the game for S. Dekker,,82-85,,
7:07.0,J. Harden enters the game for P. Beverley,,82-85,,
6:45.0,,,83-87,2,M. Morris makes 2-pt shot from 16 ft
6:33.0,C. Brewer misses 3-pt shot from 23 ft,,83-87,,
6:33.0,Offensive rebound by C. Capela,,83-87,,
6:29.0,C. Capela makes 2-pt shot from 1 ft,2,85-87,,
6:20.0,Personal foul by C. Brewer (drawn by K. Caldwell-Pope),,85-87,,
6:20.0,T. Ariza enters the game for C. Brewer,,85-87,,
6:09.0,,,85-87,,Turnover by K. Caldwell-Pope (bad pass)
5:53.0,T. Ariza makes 3-pt shot from 23 ft (assist by J. Harden),3,88-87,,
5:32.0,,,88-89,2,M. Morris makes 2-pt shot from 15 ft
5:08.0,Turnover by J. Harden (lost ball; steal by K. Caldwell-Pope),,88-89,,
5:03.0,,,88-89,,Turnover by B. Udrih (lost ball; steal by E. Gordon)
4:56.0,T. Ariza misses 3-pt shot from 27 ft,,88-89,,
4:56.0,Offensive rebound by Team,,88-89,,
4:56.0,,,88-89,,Detroit full timeout
4:56.0,,,88-89,,I. Smith enters the game for B. Udrih
4:34.0,T. Ariza misses 3-pt shot from 23 ft,,88-89,,
4:34.0,,,88-89,,Defensive rebound by A. Drummond
4:10.0,,,88-91,2,M. Morris makes 2-pt shot from 16 ft
3:57.0,R. Anderson makes 2-pt shot from 1 ft (assist by J. Harden),2,90-91,,
3:29.0,,,90-91,,M. Morris misses 3-pt shot from 26 ft
3:28.0,,,90-91,,Offensive rebound by J. Leuer
3:24.0,,,90-91,,J. Leuer misses 2-pt shot from 4 ft (block by R. Anderson)
3:22.0,Defensive rebound by R. Anderson,,90-91,,
3:05.0,T. Ariza makes 3-pt shot from 28 ft (assist by C. Capela),3,93-91,,
2:37.0,,,93-91,,I. Smith misses 2-pt shot from 18 ft
2:37.0,,,93-91,,Offensive rebound by Team
2:37.0,Houston full timeout,,93-91,,
2:28.0,,,93-93,2,K. Caldwell-Pope makes 2-pt shot from 2 ft (assist by I. Smith)
2:15.0,Shooting foul by K. Caldwell-Pope (drawn by J. Harden),,93-93,,
2:15.0,J. Harden misses free throw 1 of 3,,93-93,,
