time,Utah,pts.away,score,pts.home,Golden State
9:42.0,R. Hood misses 2-pt shot from 16 ft,,82-97,,
9:42.0,,,82-97,,Defensive rebound by D. Green
9:38.0,,,82-97,,Turnover by I. Clark (bad pass)
9:26.0,Turnover by R. Gobert (lost ball; steal by D. West),,82-97,,
9:23.0,Personal foul by S. Mack (drawn by I. Clark),,82-97,,
9:23.0,G. Hayward enters the game for R. Hood,,82-97,,
9:14.0,,,82-97,,Turnover by D. Green (bad pass; steal by S. Mack)
9:10.0,S. Mack makes 2-pt shot from 1 ft,2,84-97,,
8:49.0,,,84-97,,I. Clark misses 2-pt shot from 17 ft
8:49.0,Defensive rebound by Team,,84-97,,
8:49.0,,,84-97,,Loose ball foul by D. Green (drawn by J. Johnson)
8:35.0,G. Hayward makes 3-pt shot from 26 ft,3,87-97,,
8:16.0,,,87-97,,A. Iguodala misses 3-pt shot from 25 ft
8:15.0,Defensive rebound by R. Gobert,,87-97,,
8:06.0,J. Ingles misses 3-pt shot from 25 ft,,87-97,,
8:06.0,,,87-97,,Defensive rebound by D. Green
8:04.0,Personal foul by S. Mack (drawn by D. Green),,87-97,,
8:04.0,,,87-97,,K. Durant enters the game for I. Clark
7:55.0,,,87-97,,K. Thompson misses 2-pt shot from 12 ft
7:54.0,Defensive rebound by J. Ingles,,87-97,,
7:41.0,S. Mack misses 3-pt shot from 26 ft,,87-97,,
7:41.0,,,87-97,,Defensive rebound by K. Durant
7:30.0,,,87-97,,D. Green misses 2-pt shot from 2 ft
7:29.0,Defensive rebound by J. Ingles,,87-97,,
7:26.0,S. Mack misses 2-pt shot from 2 ft (block by K. Durant),,87-97,,
7:25.0,,,87-97,,Defensive rebound by D. West
7:24.0,Personal foul by G. Hayward (drawn by A. Iguodala),,87-97,,
7:24.0,,,87-97,,Golden State full timeout
7:24.0,,,87-97,,S. Livingston enters the game for A. Iguodala
7:24.0,,,87-97,,S. Curry enters the game for D. Green
7:24.0,D. Exum enters the game for S. Mack,,87-97,,
7:11.0,,,87-97,,K. Thompson misses 2-pt shot from 16 ft
7:10.0,Defensive rebound by J. Ingles,,87-97,,
7:02.0,J. Ingles misses 2-pt shot from 2 ft,,87-97,,
7:01.0,,,87-97,,Defensive rebound by D. West
6:58.0,,,87-97,,Shooting foul by G. Hayward (drawn by K. Durant)
6:58.0,,,87-98,1,K. Durant makes free throw 1 of 2
6:58.0,,,87-99,1,K. Durant makes free throw 2 of 2
6:58.0,R. Hood enters the game for J. Johnson,,87-98,,
6:45.0,Shooting foul by K. Thompson (drawn by G. Hayward),,87-99,,
6:45.0,G. Hayward misses free throw 1 of 2,,87-99,,
6:45.0,Offensive rebound by Team,,87-99,,
6:45.0,G. Hayward makes free throw 2 of 2,1,88-99,,
6:45.0,S. Mack enters the game for J. Ingles,,87-99,,
6:33.0,,,88-101,2,K. Durant makes 2-pt shot from 17 ft
6:08.0,D. Exum misses 3-pt shot from 23 ft,,88-101,,
6:07.0,,,88-101,,Defensive rebound by S. Livingston
6:06.0,Personal foul by D. Exum (drawn by K. Durant),,88-101,,
6:06.0,,,88-102,1,K. Durant makes free throw 1 of 2
6:06.0,,,88-102,,K. Durant misses free throw 2 of 2
6:04.0,Defensive rebound by R. Gobert,,88-102,,
5:47.0,D. Exum makes 3-pt shot from 23 ft (assist by G. Hayward),3,91-102,,
5:29.0,,,91-102,,Turnover by S. Curry (bad pass)
5:16.0,Shooting foul by S. Livingston (drawn by D. Exum),,91-102,,
5:16.0,D. Exum makes free throw 1 of 2,1,92-102,,
5:16.0,D. Exum makes free throw 2 of 2,1,93-102,,
5:16.0,,,92-102,,A. Iguodala enters the game for K. Thompson
5:16.0,,,92-102,,D. Green enters the game for D. West
5:00.0,,,93-104,2,S. Curry makes 2-pt shot from 18 ft (assist by D. Green)
4:32.0,D. Exum misses 3-pt shot from 25 ft,,93-104,,
4:31.0,Offensive rebound by R. Gobert,,93-104,,
4:31.0,R. Gobert makes 2-pt shot at rim,2,95-104,,
4:05.0,,,95-104,,S. Livingston misses 2-pt shot from 13 ft
4:05.0,Defensive rebound by G. Hayward,,95-104,,
3:56.0,G. Hayward misses 2-pt shot from 13 ft,,95-104,,
3:54.0,,,95-104,,Defensive rebound by A. Iguodala
3:46.0,,,95-104,,Shooting foul by D. Exum (drawn by K. Durant)
3:46.0,,,95-105,1,K. Durant makes free throw 1 of 2
3:46.0,,,95-106,1,K. Durant makes free throw 2 of 2
3:33.0,R. Gobert misses 2-pt shot from 4 ft,,95-106,,
3:33.0,,,95-106,,Defensive rebound by D. Green
3:22.0,,,95-109,3,S. Curry makes 3-pt shot from 24 ft (assist by A. Iguodala)
3:11.0,G. Hayward makes 3-pt shot from 26 ft,3,98-109,,
