time,Golden State,pts.away,score,pts.home,Sacramento
5:17.0,S. Livingston makes 2-pt shot from 14 ft,2,43-44,,
5:03.0,,,43-44,,T. Lawson misses 2-pt shot from 1 ft
5:02.0,Defensive rebound by S. Curry,,43-44,,
4:52.0,P. McCaw misses 3-pt shot from 23 ft,,43-44,,
4:50.0,,,43-44,,Defensive rebound by T. Lawson
4:47.0,,,43-44,,Shooting foul by P. McCaw (drawn by M. Barnes)
4:47.0,,,43-44,,M. Barnes misses free throw 1 of 2
4:47.0,,,43-44,,Offensive rebound by Team
4:47.0,,,43-45,1,M. Barnes makes free throw 2 of 2
4:47.0,,,43-44,,D. Collison enters the game for T. Lawson
4:37.0,K. Durant misses 3-pt shot from 26 ft,,43-45,,
4:36.0,,,43-45,,Defensive rebound by D. Cousins
4:14.0,,,43-47,2,W. Cauley-Stein makes 2-pt shot from 2 ft (assist by A. Tolliver)
3:51.0,Shooting foul by D. Cousins (drawn by S. Livingston),,43-47,,
3:51.0,S. Livingston makes free throw 1 of 2,1,44-47,,
3:51.0,S. Livingston makes free throw 2 of 2,1,45-47,,
3:51.0,,,44-47,,A. Afflalo enters the game for M. Barnes
3:48.0,,,45-47,,Sacramento full timeout
3:48.0,A. Iguodala enters the game for J. McGee,,45-47,,
3:48.0,K. Thompson enters the game for P. McCaw,,45-47,,
3:48.0,D. Green enters the game for S. Livingston,,45-47,,
3:48.0,,,45-47,,B. McLemore enters the game for A. Tolliver
3:29.0,,,45-47,,B. McLemore misses 3-pt shot from 23 ft
3:28.0,Defensive rebound by K. Durant,,45-47,,
3:19.0,K. Durant makes 2-pt shot at rim (assist by S. Curry),2,47-47,,
2:53.0,,,47-47,,Shooting foul by S. Curry (drawn by A. Afflalo)
2:53.0,,,47-48,1,A. Afflalo makes free throw 1 of 3
2:53.0,,,47-48,,A. Afflalo misses free throw 2 of 3
2:53.0,,,47-48,,Offensive rebound by Team
2:53.0,,,47-49,1,A. Afflalo makes free throw 3 of 3
2:39.0,Turnover by K. Durant (bad pass; steal by W. Cauley-Stein),,47-49,,
2:19.0,,,47-49,,D. Cousins misses 2-pt shot from 3 ft
2:18.0,Defensive rebound by D. Green,,47-49,,
2:05.0,K. Thompson makes 3-pt shot from 23 ft (assist by D. Green),3,50-49,,
1:46.0,,,50-49,,B. McLemore misses 2-pt shot from 19 ft
1:46.0,Defensive rebound by D. Green,,50-49,,
1:36.0,S. Curry makes 2-pt shot from 3 ft,2,52-49,,
1:25.0,,,52-49,,Turnover by D. Cousins (lost ball)
1:17.0,D. Green misses 2-pt shot from 5 ft,,52-49,,
1:16.0,,,52-49,,Defensive rebound by W. Cauley-Stein
1:07.0,,,52-51,2,W. Cauley-Stein makes 2-pt shot at rim (assist by D. Collison)
1:04.0,Golden State full timeout,,52-51,,
1:04.0,,,52-51,,M. Barnes enters the game for W. Cauley-Stein
1:04.0,J. McGee enters the game for D. Green,,52-51,,
0:48.0,K. Thompson makes 2-pt shot at rim,2,54-51,,
0:33.0,,,54-51,,D. Cousins misses 2-pt shot from 1 ft
0:32.0,,,54-51,,Offensive rebound by M. Barnes
0:32.0,,,54-53,2,M. Barnes makes 2-pt shot from 2 ft
0:20.0,K. Thompson makes 2-pt shot from 12 ft,2,56-53,,
0:05.0,,,56-55,2,D. Cousins makes 2-pt shot at rim
0:05.0,,,56-55,,Shooting foul by J. McGee (drawn by D. Cousins)
0:05.0,,,56-56,1,D. Cousins makes free throw 1 of 1
0:05.0,P. McCaw enters the game for J. McGee,,56-55,,
0:00.0,S. Curry misses 3-pt shot from 27 ft (block by D. Cousins),,56-56,,
0:00.0,Offensive rebound by Team,,56-56,,
0:00.0,End of 2nd quarter,,,,End of 2nd quarter
12:00.0,Start of 3rd quarter,,,,Start of 3rd quarter
11:40.0,,,56-58,2,D. Cousins makes 2-pt shot from 19 ft (assist by D. Collison)
11:26.0,Turnover by S. Curry (bad pass; steal by D. Cousins),,56-58,,
11:25.0,Personal foul by J. McGee (drawn by D. Cousins),,56-58,,
11:25.0,K. Looney enters the game for J. McGee,,56-58,,
11:01.0,,,56-58,,Turnover by D. Cousins (lost ball; steal by S. Curry)
10:55.0,K. Thompson misses 3-pt shot from 24 ft,,56-58,,
10:54.0,,,56-58,,Defensive rebound by D. Collison
10:38.0,,,56-60,2,B. McLemore makes 2-pt shot from 5 ft (assist by D. Cousins)
10:21.0,K. Durant misses 3-pt shot from 25 ft,,56-60,,
10:20.0,,,56-60,,Defensive rebound by A. Afflalo
10:09.0,,,56-62,2,D. Collison makes 2-pt shot from 13 ft (assist by D. Cousins)
10:09.0,Golden State full timeout,,56-62,,
10:09.0,D. Green enters the game for P. McCaw,,56-62,,
9:57.0,K. Thompson misses 3-pt shot from 25 ft,,56-62,,
9:56.0,,,56-62,,Defensive rebound by K. Koufos
9:35.0,,,56-64,2,D. Cousins makes 2-pt shot from 3 ft (assist by K. Koufos)
9:25.0,S. Curry makes 3-pt shot from 25 ft,3,59-64,,
9:07.0,,,59-64,,D. Cousins misses 2-pt shot from 1 ft
9:07.0,Defensive rebound by K. Looney,,59-64,,
9:03.0,K. Thompson makes 2-pt shot from 2 ft (assist by S. Curry),2,61-64,,
8:38.0,,,61-64,,D. Collison misses 2-pt shot from 7 ft
8:36.0,Defensive rebound by K. Durant,,61-64,,
8:29.0,K. Thompson makes 2-pt shot from 2 ft (assist by K. Looney),2,63-64,,
8:20.0,,,63-64,,Sacramento full timeout
8:01.0,,,63-64,,A. Afflalo misses 3-pt shot from 25 ft (block by K. Durant)
8:00.0,Defensive rebound by D. Green,,63-64,,
7:53.0,,,63-64,,Violation by K. Koufos (kicked ball)
7:46.0,Turnover by K. Thompson (bad pass),,63-64,,
7:31.0,Violation by D. Green (kicked ball),,63-64,,
7:24.0,,,63-64,,Shooting foul by K. Looney (drawn by D. Cousins)
7:24.0,,,63-66,2,D. Cousins makes 2-pt shot from 2 ft (assist by D. Collison)
7:24.0,,,63-67,1,D. Cousins makes free throw 1 of 1
7:13.0,Shooting foul by K. Koufos (drawn by K. Looney),,63-67,,
7:13.0,K. Looney makes free throw 1 of 2,1,64-67,,
7:13.0,K. Looney makes free throw 2 of 2,1,65-67,,
6:58.0,,,65-67,,D. Cousins misses 3-pt shot from 26 ft
6:57.0,Defensive rebound by S. Curry,,65-67,,
6:47.0,Turnover by K. Durant (bad pass; steal by B. McLemore),,65-67,,
6:37.0,,,65-67,,Shooting foul by K. Looney (drawn by B. McLemore)
6:37.0,,,65-68,1,B. McLemore makes free throw 1 of 2
6:37.0,,,65-69,1,B. McLemore makes free throw 2 of 2
6:37.0,,,65-68,,A. Tolliver enters the game for K. Koufos
6:18.0,K. Thompson makes 3-pt shot from 23 ft (assist by S. Curry),3,68-69,,
6:03.0,Violation by K. Durant (def goaltending),,68-69,,
6:03.0,,,68-71,2,D. Collison makes 2-pt shot from 2 ft (assist by D. Cousins)
5:44.0,D. Green makes 3-pt shot from 25 ft (assist by K. Durant),3,71-71,,
5:17.0,,,71-71,,Turnover by Team (shot clock)
5:01.0,K. Looney makes 2-pt shot at rim (assist by K. Durant),2,73-71,,
4:32.0,,,73-74,3,A. Tolliver makes 3-pt shot from 25 ft (assist by D. Cousins)
4:15.0,Offensive charge foul by D. Green,,73-74,,
4:15.0,Turnover by D. Green (offensive foul),,73-74,,
3:52.0,,,73-74,,D. Collison misses 2-pt shot from 19 ft
3:52.0,,,73-74,,Offensive rebound by Team
3:52.0,Loose ball foul by K. Looney (drawn by D. Cousins),,73-74,,
3:52.0,,,73-74,,M. Barnes enters the game for A. Afflalo
3:52.0,A. Iguodala enters the game for D. Green,,73-74,,
3:39.0,,,73-74,,D. Cousins misses 2-pt shot from 7 ft
3:38.0,Defensive rebound by K. Durant,,73-74,,
3:34.0,K. Durant misses 2-pt shot from 4 ft,,73-74,,
3:34.0,,,73-74,,Defensive rebound by Team
3:34.0,Loose ball foul by K. Looney (drawn by B. McLemore),,73-74,,
3:34.0,,,73-75,1,B. McLemore makes free throw 1 of 2
3:34.0,Technical foul by D. Green,,73-75,,
3:34.0,Technical foul by Team,,73-75,,
3:34.0,,,73-76,1,D. Cousins makes technical free throw
3:34.0,,,73-77,1,D. Cousins makes technical free throw
3:34.0,,,73-78,1,B. McLemore makes free throw 2 of 2
3:34.0,D. Green enters the game for K. Looney,,73-75,,
3:17.0,S. Curry makes 3-pt shot from 27 ft (assist by D. Green),3,76-78,,
2:56.0,,,76-78,,Turnover by D. Collison (bad pass; steal by S. Curry)
2:50.0,K. Thompson makes 3-pt shot from 24 ft (assist by S. Curry),3,79-78,,
2:50.0,,,79-78,,Sacramento full timeout
2:42.0,,,79-78,,Turnover by M. Barnes (bad pass; steal by K. Thompson)
2:34.0,Turnover by A. Iguodala (bad pass; steal by B. McLemore),,79-78,,
2:22.0,,,79-80,2,D. Collison makes 2-pt shot from 1 ft
2:00.0,K. Durant misses 3-pt shot from 24 ft,,79-80,,
2:00.0,,,79-80,,Defensive rebound by A. Tolliver
1:45.0,,,79-80,,D. Cousins misses 3-pt shot from 26 ft
1:44.0,Defensive rebound by A. Iguodala,,79-80,,
1:27.0,K. Thompson misses 3-pt shot from 24 ft,,79-80,,
1:27.0,,,79-80,,Defensive rebound by D. Cousins
1:20.0,,,79-80,,D. Collison misses 3-pt shot from 23 ft
1:17.0,Defensive rebound by A. Iguodala,,79-80,,
0:55.0,D. Green misses 3-pt shot from 27 ft,,79-80,,
0:54.0,Offensive rebound by Team,,79-80,,
0:54.0,Turnover by Team (shot clock),,79-80,,
0:54.0,,,79-80,,W. Cauley-Stein enters the game for D. Cousins
0:54.0,P. McCaw enters the game for K. Durant,,79-80,,
0:54.0,J. McAdoo enters the game for K. Thompson,,79-80,,
0:32.0,,,79-80,,M. Barnes misses 3-pt shot from 26 ft
0:30.0,,,79-80,,Offensive rebound by A. Tolliver
0:09.0,,,79-82,2,D. Collison makes 2-pt shot from 22 ft
0:01.0,S. Curry makes 3-pt shot from 30 ft,3,82-82,,
0:00.0,End of 3rd quarter,,,,End of 3rd quarter
12:00.0,Start of 4th quarter,,,,Start of 4th quarter
11:46.0,K. Thompson misses 2-pt shot from 22 ft,,82-82,,
11:45.0,,,82-82,,Defensive rebound by M. Barnes
11:26.0,,,82-82,,Turnover by A. Tolliver (lost ball; steal by D. Green)
11:23.0,D. Green makes 2-pt shot at rim (assist by A. Iguodala),2,84-82,,
11:02.0,,,84-85,3,A. Tolliver makes 3-pt shot from 25 ft (assist by M. Barnes)
10:52.0,D. Green misses 3-pt shot from 27 ft,,84-85,,
10:50.0,Offensive rebound by K. Thompson,,84-85,,
10:47.0,Turnover by K. Thompson (bad pass; steal by B. McLemore),,84-85,,
10:30.0,,,84-85,,W. Cauley-Stein misses 2-pt shot from 1 ft (block by D. Green)
10:29.0,Defensive rebound by A. Iguodala,,84-85,,
10:29.0,,,84-85,,Personal foul by T. Lawson (drawn by A. Iguodala)
10:29.0,,,84-85,,A. Afflalo enters the game for B. McLemore
10:07.0,A. Iguodala misses 3-pt shot from 26 ft,,84-85,,
10:07.0,,,84-85,,Defensive rebound by W. Cauley-Stein
9:45.0,,,84-87,2,T. Lawson makes 2-pt shot from 22 ft (assist by W. Cauley-Stein)
9:18.0,D. Green misses 2-pt shot from 18 ft,,84-87,,
9:17.0,Offensive rebound by A. Iguodala,,84-87,,
9:07.0,S. Livingston misses 2-pt shot from 18 ft,,84-87,,
9:06.0,Offensive rebound by J. McAdoo,,84-87,,
9:03.0,Golden State full timeout,,84-87,,
9:03.0,K. Durant enters the game for D. Green,,84-87,,
8:47.0,A. Iguodala misses 3-pt shot from 25 ft,,84-87,,
8:46.0,,,84-87,,Defensive rebound by M. Barnes
8:31.0,,,84-89,2,A. Tolliver makes 2-pt shot at rim (assist by A. Afflalo)
8:05.0,K. Thompson misses 2-pt shot from 2 ft (block by W. Cauley-Stein),,84-89,,
8:04.0,,,84-89,,Defensive rebound by M. Barnes
7:56.0,,,84-91,2,W. Cauley-Stein makes 2-pt shot at rim (assist by T. Lawson)
7:41.0,K. Durant makes 2-pt shot at rim,2,86-91,,
7:41.0,Shooting foul by M. Barnes (drawn by K. Durant),,86-91,,
7:41.0,K. Durant makes free throw 1 of 1,1,87-91,,
7:41.0,D. Green enters the game for J. McAdoo,,86-91,,
7:25.0,,,87-91,,W. Cauley-Stein misses 2-pt shot at rim (block by K. Durant)
7:24.0,Defensive rebound by K. Thompson,,87-91,,
7:23.0,,,87-91,,Personal foul by T. Lawson (drawn by K. Thompson)
7:17.0,,,87-91,,Personal foul by M. Barnes (drawn by K. Durant)
7:09.0,Turnover by D. Green (bad pass; steal by T. Lawson),,87-91,,
6:57.0,,,87-91,,W. Cauley-Stein misses 2-pt shot from 2 ft
6:56.0,Defensive rebound by K. Durant,,87-91,,
6:46.0,K. Durant misses 3-pt shot from 26 ft,,87-91,,
6:45.0,,,87-91,,Defensive rebound by A. Afflalo
6:33.0,,,87-91,,Turnover by T. Lawson (bad pass)
6:33.0,S. Curry enters the game for K. Thompson,,87-91,,
6:17.0,S. Livingston makes 2-pt shot at rim (assist by D. Green),2,89-91,,
6:17.0,,,89-91,,Sacramento full timeout
6:17.0,,,89-91,,Technical foul by Team
6:17.0,S. Curry makes technical free throw,1,90-91,,
6:17.0,,,89-91,,D. Cousins enters the game for W. Cauley-Stein
6:07.0,,,90-91,,A. Afflalo misses 2-pt shot from 13 ft (block by S. Livingston)
6:05.0,Defensive rebound by K. Durant,,90-91,,
6:01.0,S. Curry misses 3-pt shot from 26 ft,,90-91,,
6:00.0,,,90-91,,Defensive rebound by A. Tolliver
5:43.0,,,90-94,3,T. Lawson makes 3-pt shot from 25 ft (assist by A. Tolliver)
5:15.0,K. Durant misses 2-pt shot from 16 ft,,90-94,,
5:15.0,,,90-94,,Defensive rebound by D. Cousins
4:51.0,,,90-94,,D. Cousins misses 2-pt shot from 18 ft (block by A. Iguodala)
4:50.0,,,90-94,,Offensive rebound by D. Cousins
4:50.0,,,90-94,,Turnover by Team (shot clock)
4:35.0,A. Iguodala misses 2-pt shot from 17 ft,,90-94,,
4:35.0,,,90-94,,Defensive rebound by M. Barnes
4:13.0,,,90-94,,T. Lawson misses 3-pt shot from 25 ft
4:12.0,Defensive rebound by S. Curry,,90-94,,
4:10.0,Turnover by S. Curry (bad pass; steal by D. Cousins),,90-94,,
3:51.0,,,90-94,,A. Tolliver misses 2-pt shot from 15 ft (block by K. Durant)
3:50.0,Defensive rebound by S. Livingston,,90-94,,
3:38.0,S. Curry makes 3-pt shot from 25 ft (assist by D. Green),3,93-94,,
3:12.0,,,93-94,,D. Cousins misses 2-pt shot from 15 ft
3:11.0,Defensive rebound by S. Livingston,,93-94,,
3:07.0,K. Thompson enters the game for S. Livingston,,93-94,,
3:07.0,,,93-94,,D. Collison enters the game for T. Lawson
3:04.0,K. Thompson misses 2-pt shot from 19 ft (block by M. Barnes),,93-94,,
3:02.0,,,93-94,,Defensive rebound by A. Tolliver
2:51.0,,,93-94,,D. Cousins misses 2-pt shot from 2 ft (block by K. Durant)
2:49.0,,,93-94,,Offensive rebound by D. Cousins
2:48.0,,,93-96,2,D. Cousins makes 2-pt shot from 2 ft
2:35.0,A. Iguodala makes 2-pt shot at rim (assist by S. Curry),2,95-96,,
2:13.0,,,95-96,,D. Cousins misses 2-pt shot from 20 ft (block by D. Green)
2:09.0,,,95-96,,Offensive rebound by M. Barnes
2:08.0,,,95-96,,M. Barnes misses 2-pt shot from 4 ft
2:08.0,Defensive rebound by K. Durant,,95-96,,
2:08.0,Turnover by D. Green (traveling),,95-96,,
2:08.0,Official timeout,,95-96,,
2:08.0,,,95-96,,Technical foul by D. Cousins
2:08.0,S. Curry makes technical free throw,1,96-96,,
1:52.0,,,96-98,2,D. Collison makes 2-pt shot from 20 ft
1:30.0,S. Curry misses 3-pt shot from 27 ft,,96-98,,
1:29.0,,,96-98,,Defensive rebound by M. Barnes
1:06.0,,,96-98,,D. Cousins misses 2-pt shot from 3 ft
1:06.0,,,96-98,,Offensive rebound by Team
1:06.0,,,96-98,,Turnover by Team (shot clock)
0:58.0,D. Green makes 2-pt shot at rim (assist by S. Curry),2,98-98,,
0:35.0,,,98-98,,D. Cousins misses 3-pt shot from 25 ft
0:34.0,Defensive rebound by K. Durant,,98-98,,
0:17.0,S. Curry misses 3-pt shot from 28 ft,,98-98,,
