time,Miami,pts.away,score,pts.home,LA Clippers
4:18.0,,,10-18,,Offensive rebound by Team
4:18.0,W. Reed enters the game for H. Whiteside,,10-18,,
4:06.0,,,10-18,,Turnover by J. Crawford (bad pass)
3:55.0,D. Waiters makes 2-pt shot from 2 ft,2,12-18,,
3:41.0,,,12-18,,J. Crawford misses 2-pt shot from 5 ft
3:39.0,Defensive rebound by W. Reed,,12-18,,
3:27.0,G. Dragic misses 2-pt shot from 5 ft,,12-18,,
3:25.0,,,12-18,,Defensive rebound by D. Jordan
3:18.0,,,12-18,,Shooting foul by W. Reed (drawn by D. Jordan)
3:18.0,,,12-18,,D. Jordan misses free throw 1 of 2
3:18.0,,,12-18,,Offensive rebound by Team
3:18.0,,,12-18,,D. Jordan misses free throw 2 of 2
3:18.0,,,12-18,,W. Johnson enters the game for J. Redick
3:16.0,Defensive rebound by T. Johnson,,12-18,,
3:13.0,Miami full timeout,,12-18,,
3:03.0,D. Waiters makes 3-pt shot from 27 ft (assist by G. Dragic),3,15-18,,
2:40.0,,,15-18,,L. Mbah a Moute misses 3-pt shot from 26 ft
2:39.0,Defensive rebound by T. Johnson,,15-18,,
2:27.0,J. Johnson misses 3-pt shot from 26 ft,,15-18,,
2:26.0,,,15-18,,Defensive rebound by D. Jordan
2:14.0,,,15-18,,J. Crawford misses 2-pt shot from 18 ft
2:11.0,Defensive rebound by J. Johnson,,15-18,,
1:54.0,,,15-18,,C. Paul enters the game for R. Felton
1:54.0,R. McGruder enters the game for G. Dragic,,15-18,,
1:50.0,W. Reed makes 2-pt shot from 16 ft,2,17-18,,
1:30.0,,,17-18,,W. Johnson misses 3-pt shot from 25 ft
1:30.0,Defensive rebound by Team,,17-18,,
1:30.0,,,17-18,,Loose ball foul by D. Jordan (drawn by W. Reed)
1:30.0,,,17-18,,M. Speights enters the game for D. Jordan
1:19.0,D. Waiters misses 2-pt shot from 18 ft,,17-18,,
1:16.0,,,17-18,,Defensive rebound by C. Paul
0:59.0,,,17-20,2,M. Speights makes 2-pt shot at rim (assist by C. Paul)
0:36.0,Shooting foul by M. Speights (drawn by J. Johnson),,17-20,,
0:36.0,J. Johnson makes free throw 1 of 2,1,18-20,,
0:36.0,J. Johnson makes free throw 2 of 2,1,19-20,,
0:36.0,,,18-20,,B. Bass enters the game for L. Mbah a Moute
0:33.0,,,19-20,,Offensive foul by M. Speights
0:33.0,,,19-20,,Turnover by M. Speights (offensive foul)
0:22.0,J. Johnson misses 2-pt shot from 16 ft,,19-20,,
0:21.0,,,19-20,,Defensive rebound by W. Johnson
0:03.0,,,19-20,,B. Bass misses 2-pt shot from 10 ft
0:01.0,Defensive rebound by D. Waiters,,19-20,,
0:00.0,End of 1st quarter,,,,End of 1st quarter
12:00.0,Start of 2nd quarter,,,,Start of 2nd quarter
11:47.0,,,19-20,,M. Speights misses 3-pt shot from 22 ft
11:46.0,Defensive rebound by R. McGruder,,19-20,,
11:38.0,Shooting foul by C. Paul (drawn by D. Waiters),,19-20,,
11:38.0,D. Waiters makes free throw 1 of 2,1,20-20,,
11:38.0,D. Waiters makes free throw 2 of 2,1,21-20,,
11:35.0,,,21-20,,Turnover by W. Johnson (bad pass; steal by R. McGruder)
11:30.0,D. Waiters misses 3-pt shot from 28 ft,,21-20,,
11:29.0,Offensive rebound by R. McGruder,,21-20,,
11:29.0,R. McGruder misses 2-pt shot from 1 ft,,21-20,,
11:26.0,,,21-20,,Defensive rebound by B. Bass
11:22.0,,,21-20,,J. Crawford misses 3-pt shot from 26 ft
11:21.0,,,21-20,,Offensive rebound by W. Johnson
11:11.0,,,21-20,,W. Johnson misses 2-pt shot from 1 ft (block by W. Reed)
11:09.0,Defensive rebound by W. Reed,,21-20,,
11:02.0,T. Johnson misses 2-pt shot from 7 ft,,21-20,,
11:00.0,,,21-20,,Defensive rebound by M. Speights
10:48.0,,,21-20,,W. Johnson misses 2-pt shot from 1 ft
10:47.0,Defensive rebound by W. Reed,,21-20,,
10:45.0,Turnover by D. Waiters (lost ball; steal by W. Johnson),,21-20,,
10:43.0,,,21-20,,Shooting foul by W. Reed (drawn by W. Johnson)
10:43.0,,,21-21,1,W. Johnson makes free throw 1 of 2
10:43.0,,,21-21,,W. Johnson misses free throw 2 of 2
10:42.0,Defensive rebound by J. Johnson,,21-21,,
10:28.0,W. Reed misses 2-pt shot from 7 ft,,21-21,,
10:25.0,,,21-21,,Defensive rebound by W. Johnson
10:16.0,,,21-23,2,M. Speights makes 2-pt shot from 8 ft (assist by C. Paul)
9:58.0,J. Johnson misses 2-pt shot from 16 ft,,21-23,,
9:56.0,,,21-23,,Defensive rebound by C. Paul
9:43.0,Personal foul by T. Johnson (drawn by B. Bass),,21-23,,
9:37.0,,,21-23,,B. Bass misses 2-pt shot from 14 ft
9:36.0,Defensive rebound by D. Waiters,,21-23,,
9:29.0,,,21-23,,Shooting block foul by M. Speights (drawn by D. Waiters)
9:29.0,D. Waiters misses free throw 1 of 2,,21-23,,
9:29.0,Offensive rebound by Team,,21-23,,
9:29.0,D. Waiters makes free throw 2 of 2,1,22-23,,
9:15.0,Personal foul by J. Johnson (drawn by J. Crawford),,22-23,,
9:15.0,G. Dragic enters the game for T. Johnson,,22-23,,
9:01.0,,,22-26,3,C. Paul makes 3-pt shot from 26 ft (assist by M. Speights)
8:48.0,Turnover by J. Johnson (bad pass; steal by C. Paul),,22-26,,
8:44.0,,,22-28,2,B. Bass makes 2-pt shot from 3 ft (assist by C. Paul)
8:43.0,Miami full timeout,,22-28,,
8:43.0,,,22-28,,J. Redick enters the game for W. Johnson
8:43.0,H. Whiteside enters the game for W. Reed,,22-28,,
8:26.0,Turnover by G. Dragic (bad pass; steal by B. Bass),,22-28,,
8:21.0,,,22-30,2,B. Bass makes 2-pt shot at rim (assist by J. Crawford)
7:58.0,D. Waiters misses 2-pt shot from 2 ft (block by M. Speights),,22-30,,
7:58.0,Offensive rebound by H. Whiteside,,22-30,,
7:58.0,H. Whiteside makes 2-pt shot from 2 ft,2,24-30,,
7:58.0,Shooting foul by B. Bass (drawn by H. Whiteside),,24-30,,
7:58.0,H. Whiteside misses free throw 1 of 1,,24-30,,
7:58.0,,,24-30,,D. Jordan enters the game for M. Speights
7:56.0,,,24-30,,Defensive rebound by J. Redick
7:42.0,,,24-30,,J. Crawford misses 2-pt shot from 17 ft
7:40.0,,,24-30,,Offensive rebound by B. Bass
7:40.0,,,24-32,2,B. Bass makes 2-pt shot at rim
7:21.0,H. Whiteside misses 2-pt shot from 7 ft,,24-32,,
7:18.0,,,24-32,,Defensive rebound by D. Jordan
7:10.0,,,24-34,2,C. Paul makes 2-pt shot from 16 ft
6:53.0,Turnover by G. Dragic (bad pass),,24-34,,
6:53.0,,,24-34,,R. Felton enters the game for C. Paul
6:43.0,Personal foul by D. Waiters (drawn by J. Crawford),,24-34,,
6:37.0,,,24-34,,J. Crawford misses 2-pt shot from 13 ft
6:36.0,Defensive rebound by H. Whiteside,,24-34,,
6:28.0,H. Whiteside makes 2-pt shot from 2 ft (assist by J. Johnson),2,26-34,,
6:28.0,Shooting foul by J. Redick (drawn by H. Whiteside),,26-34,,
6:28.0,,,26-34,,LA Clippers full timeout
6:28.0,H. Whiteside makes free throw 1 of 1,1,27-34,,
6:28.0,D. Williams enters the game for J. Johnson,,26-34,,
6:28.0,T. Johnson enters the game for R. McGruder,,26-34,,
6:14.0,,,27-34,,J. Redick misses 3-pt shot from 25 ft
6:13.0,Defensive rebound by D. Williams,,27-34,,
5:55.0,T. Johnson misses 2-pt shot from 19 ft,,27-34,,
5:54.0,,,27-34,,Defensive rebound by J. Redick
5:40.0,,,27-34,,B. Bass misses 2-pt shot from 16 ft
5:40.0,,,27-34,,Offensive rebound by Team
5:40.0,Loose ball foul by H. Whiteside (drawn by D. Jordan),,27-34,,
5:40.0,,,27-34,,D. Jordan misses free throw 1 of 2
5:40.0,,,27-34,,Offensive rebound by Team
5:40.0,,,27-34,,D. Jordan misses free throw 2 of 2
5:35.0,Defensive rebound by H. Whiteside,,27-34,,
5:19.0,H. Whiteside makes 2-pt shot from 4 ft,2,29-34,,
5:06.0,,,29-36,2,R. Felton makes 2-pt shot from 18 ft
4:57.0,Shooting foul by R. Felton (drawn by G. Dragic),,29-36,,
4:57.0,G. Dragic makes free throw 1 of 2,1,30-36,,
4:57.0,G. Dragic makes free throw 2 of 2,1,31-36,,
4:57.0,,,30-36,,L. Mbah a Moute enters the game for B. Bass
4:42.0,,,31-36,,J. Crawford misses 2-pt shot from 17 ft
4:41.0,Defensive rebound by D. Williams,,31-36,,
4:32.0,T. Johnson misses 2-pt shot from 6 ft,,31-36,,
4:30.0,Offensive rebound by H. Whiteside,,31-36,,
4:29.0,Turnover by H. Whiteside (traveling),,31-36,,
4:19.0,,,31-38,2,J. Redick makes 2-pt shot from 22 ft (assist by R. Felton)
4:09.0,Turnover by G. Dragic (lost ball; steal by R. Felton),,31-38,,
4:06.0,,,31-40,2,R. Felton makes 2-pt shot from 3 ft
3:46.0,D. Waiters misses 2-pt shot from 2 ft,,31-40,,
3:45.0,,,31-40,,Defensive rebound by D. Jordan
3:39.0,,,31-42,2,J. Crawford makes 2-pt shot from 8 ft
3:33.0,Miami full timeout,,31-42,,
3:33.0,,,31-42,,C. Paul enters the game for J. Crawford
3:33.0,J. Johnson enters the game for D. Williams,,31-42,,
3:28.0,,,31-42,,Personal foul by J. Redick (drawn by T. Johnson)
3:28.0,T. Johnson misses free throw 1 of 2,,31-42,,
3:28.0,Offensive rebound by Team,,31-42,,
3:28.0,T. Johnson makes free throw 2 of 2,1,32-42,,
3:28.0,R. McGruder enters the game for D. Waiters,,31-42,,
3:21.0,,,32-45,3,J. Redick makes 3-pt shot from 27 ft (assist by C. Paul)
2:57.0,R. McGruder misses 3-pt shot from 27 ft,,32-45,,
2:55.0,,,32-45,,Defensive rebound by R. Felton
2:49.0,,,32-47,2,D. Jordan makes 2-pt shot at rim (assist by R. Felton)
2:27.0,J. Johnson makes 3-pt shot from 25 ft (assist by R. McGruder),3,35-47,,
2:11.0,,,35-49,2,J. Redick makes 2-pt shot from 18 ft (assist by C. Paul)
1:53.0,T. Johnson makes 2-pt shot from 12 ft,2,37-49,,
1:43.0,,,37-49,,L. Mbah a Moute misses 2-pt shot from 20 ft
1:41.0,Defensive rebound by T. Johnson,,37-49,,
1:25.0,H. Whiteside misses 2-pt shot from 2 ft,,37-49,,
1:25.0,,,37-49,,Defensive rebound by D. Jordan
1:25.0,,,37-49,,LA Clippers full timeout
1:24.0,Jump ball: D. Jordan vs. H. Whiteside,,,,Jump ball: D. Jordan vs. H. Whiteside
1:07.0,,,37-51,2,C. Paul makes 2-pt shot from 19 ft (assist by R. Felton)
0:54.0,J. Johnson misses 2-pt shot from 4 ft,,37-51,,
0:50.0,,,37-51,,Defensive rebound by D. Jordan
0:49.0,,,37-51,,Shooting foul by J. Johnson (drawn by J. Redick)
0:49.0,,,37-51,,J. Redick misses free throw 1 of 2
0:49.0,,,37-51,,Offensive rebound by Team
0:49.0,,,37-52,1,J. Redick makes free throw 2 of 2
0:49.0,W. Reed enters the game for H. Whiteside,,37-51,,
0:28.0,J. Johnson makes 2-pt shot from 16 ft,2,39-52,,
0:08.0,,,39-52,,J. Redick misses 3-pt shot from 26 ft
0:06.0,Defensive rebound by W. Reed,,39-52,,
0:01.0,J. Johnson misses 3-pt shot from 28 ft,,39-52,,
0:00.0,Offensive rebound by Team,,39-52,,
0:00.0,End of 2nd quarter,,,,End of 2nd quarter
12:00.0,Start of 3rd quarter,,,,Start of 3rd quarter
11:42.0,,,39-54,2,L. Mbah a Moute makes 2-pt shot from 2 ft (assist by C. Paul)
11:26.0,Offensive foul by D. Williams,,39-54,,
11:26.0,Turnover by D. Williams (offensive foul),,39-54,,
11:09.0,,,39-54,,Shooting foul by H. Whiteside (drawn by D. Jordan)
11:09.0,,,39-55,1,D. Jordan makes free throw 1 of 2
11:09.0,,,39-56,1,D. Jordan makes free throw 2 of 2
10:46.0,R. McGruder misses 3-pt shot from 26 ft,,39-56,,
10:45.0,Offensive rebound by G. Dragic,,39-56,,
10:44.0,G. Dragic makes 2-pt shot from 13 ft,2,41-56,,
10:30.0,,,41-56,,C. Paul misses 2-pt shot from 10 ft
10:27.0,,,41-56,,Offensive rebound by D. Jordan
10:27.0,,,41-56,,D. Jordan misses 2-pt shot from 1 ft
10:23.0,,,41-56,,Offensive rebound by C. Paul
10:23.0,,,41-58,2,C. Paul makes 2-pt shot from 18 ft
10:03.0,H. Whiteside makes 2-pt shot from 12 ft,2,43-58,,
9:47.0,,,43-61,3,J. Redick makes 3-pt shot from 26 ft (assist by C. Paul)
9:29.0,G. Dragic misses 2-pt shot from 18 ft,,43-61,,
9:29.0,Offensive rebound by Team,,43-61,,
9:25.0,G. Dragic misses 2-pt shot from 2 ft,,43-61,,
9:19.0,,,43-61,,Defensive rebound by D. Jordan
9:17.0,,,43-64,3,J. Redick makes 3-pt shot from 25 ft (assist by R. Felton)
9:17.0,Miami full timeout,,43-64,,
9:17.0,Technical foul by G. Dragic,,43-64,,
9:17.0,,,43-65,1,C. Paul makes technical free throw
9:17.0,T. Johnson enters the game for R. McGruder,,43-64,,
9:17.0,J. Johnson enters the game for D. Williams,,43-64,,
9:01.0,,,43-65,,Def 3 sec tech foul by L. Mbah a Moute
9:01.0,Def 3 sec tech foul by Team,,43-65,,
9:01.0,,,43-66,1,C. Paul makes technical free throw
9:01.0,G. Dragic makes technical free throw,1,44-66,,
8:57.0,,,44-66,,Personal foul by C. Paul (drawn by T. Johnson)
8:51.0,H. Whiteside makes 2-pt shot at rim (assist by J. Johnson),2,46-66,,
8:35.0,Personal foul by T. Johnson (drawn by C. Paul),,46-66,,
8:27.0,,,46-66,,Shooting foul by T. Johnson (drawn by D. Jordan)
8:27.0,,,46-66,,D. Jordan misses free throw 1 of 2
8:27.0,,,46-66,,Offensive rebound by Team
8:27.0,,,46-67,1,D. Jordan makes free throw 2 of 2
8:19.0,T. Johnson misses 2-pt shot from 21 ft,,46-67,,
8:17.0,,,46-67,,Defensive rebound by D. Jordan
7:55.0,,,46-67,,C. Paul misses 3-pt shot from 26 ft
7:54.0,Defensive rebound by G. Dragic,,46-67,,
7:40.0,W. Ellington misses 3-pt shot from 23 ft,,46-67,,
7:39.0,,,46-67,,Defensive rebound by R. Felton
7:22.0,,,46-67,,D. Jordan misses 2-pt shot from 3 ft (block by H. Whiteside)
7:20.0,Defensive rebound by T. Johnson,,46-67,,
7:15.0,G. Dragic makes 3-pt shot from 24 ft (assist by J. Johnson),3,49-67,,
6:57.0,,,49-67,,J. Redick misses 2-pt shot from 10 ft
6:55.0,Defensive rebound by G. Dragic,,49-67,,
6:49.0,T. Johnson makes 3-pt shot from 25 ft (assist by G. Dragic),3,52-67,,
6:26.0,,,52-69,2,L. Mbah a Moute makes 2-pt shot from 20 ft (assist by C. Paul)
6:01.0,H. Whiteside misses 2-pt shot from 8 ft (block by L. Mbah a Moute),,52-69,,
6:00.0,Offensive rebound by H. Whiteside,,52-69,,
6:00.0,Turnover by H. Whiteside (lost ball),,52-69,,
5:52.0,,,52-69,,L. Mbah a Moute misses 3-pt shot from 26 ft
5:51.0,,,52-69,,Offensive rebound by R. Felton
5:44.0,,,52-69,,R. Felton misses 3-pt shot from 28 ft
5:42.0,,,52-69,,Offensive rebound by J. Redick
5:39.0,,,52-69,,J. Redick misses 2-pt shot from 15 ft
5:37.0,Defensive rebound by J. Johnson,,52-69,,
5:30.0,T. Johnson misses 3-pt shot from 27 ft,,52-69,,
5:29.0,,,52-69,,Defensive rebound by D. Jordan
5:28.0,,,52-69,,LA Clippers full timeout
5:28.0,,,52-69,,J. Crawford enters the game for C. Paul
5:28.0,W. Reed enters the game for H. Whiteside,,52-69,,
5:17.0,,,52-69,,J. Redick misses 2-pt shot from 21 ft
5:16.0,Defensive rebound by W. Reed,,52-69,,
4:55.0,W. Reed misses 2-pt shot from 10 ft,,52-69,,
4:51.0,,,52-69,,Defensive rebound by D. Jordan
4:43.0,,,52-69,,R. Felton misses 2-pt shot from 4 ft
4:41.0,Defensive rebound by W. Reed,,52-69,,
4:33.0,G. Dragic misses 2-pt shot from 15 ft,,52-69,,
4:33.0,Offensive rebound by W. Reed,,52-69,,
4:31.0,W. Reed misses 2-pt shot from 1 ft,,52-69,,
4:30.0,Offensive rebound by W. Reed,,52-69,,
4:30.0,W. Reed makes 2-pt shot from 2 ft,2,54-69,,
4:18.0,,,54-69,,Turnover by R. Felton (bad pass; steal by T. Johnson)
4:17.0,Shooting foul by R. Felton (drawn by T. Johnson),,54-69,,
4:17.0,T. Johnson makes free throw 1 of 2,1,55-69,,
4:17.0,T. Johnson makes free throw 2 of 2,1,56-69,,
4:17.0,D. Waiters enters the game for W. Ellington,,55-69,,
4:12.0,Personal foul by J. Johnson (drawn by L. Mbah a Moute),,56-69,,
3:55.0,,,56-69,,Turnover by D. Jordan (3 sec)
3:43.0,D. Waiters misses 2-pt shot from 21 ft,,56-69,,
3:42.0,,,56-69,,Defensive rebound by R. Felton
3:24.0,,,56-69,,J. Crawford misses 2-pt shot from 22 ft
3:23.0,Defensive rebound by J. Johnson,,56-69,,
3:19.0,,,56-69,,Violation by D. Jordan (kicked ball)
3:10.0,J. Johnson misses 3-pt shot from 23 ft,,56-69,,
3:09.0,,,56-69,,Defensive rebound by D. Jordan
3:09.0,Flagrant foul type 1 by D. Waiters (drawn by J. Redick),,56-69,,
3:09.0,,,56-70,1,J. Redick makes flagrant free throw 1 of 2
3:09.0,,,56-71,1,J. Redick makes flagrant free throw 2 of 2
3:09.0,R. McGruder enters the game for D. Waiters,,56-70,,
2:58.0,,,56-71,,Turnover by J. Crawford (lost ball; steal by G. Dragic)
2:51.0,,,56-71,,Personal foul by J. Redick (drawn by T. Johnson)
2:36.0,Turnover by T. Johnson (bad pass; steal by L. Mbah a Moute),,56-71,,
2:32.0,,,56-71,,Turnover by L. Mbah a Moute (lost ball; steal by W. Reed)
2:12.0,,,56-71,,Personal foul by J. Crawford (drawn by G. Dragic)
2:12.0,,,56-71,,C. Paul enters the game for R. Felton
2:12.0,,,56-71,,M. Speights enters the game for D. Jordan
1:59.0,W. Reed misses 2-pt shot from 15 ft,,56-71,,
1:58.0,Offensive rebound by R. McGruder,,56-71,,
1:57.0,,,56-71,,Personal foul by C. Paul (drawn by R. McGruder)
1:57.0,R. McGruder makes free throw 1 of 2,1,57-71,,
1:57.0,R. McGruder makes free throw 2 of 2,1,58-71,,
1:46.0,,,58-74,3,M. Speights makes 3-pt shot from 24 ft (assist by J. Redick)
1:34.0,J. Johnson makes 3-pt shot from 27 ft (assist by G. Dragic),3,61-74,,
1:21.0,,,61-74,,J. Redick misses 3-pt shot from 25 ft
1:20.0,,,61-74,,Offensive rebound by M. Speights
1:11.0,,,61-74,,C. Paul misses 2-pt shot from 15 ft
1:09.0,Defensive rebound by W. Reed,,61-74,,
1:09.0,Turnover by W. Reed (bad pass),,61-74,,
1:04.0,,,61-74,,J. Crawford misses 3-pt shot from 26 ft
1:03.0,Defensive rebound by W. Reed,,61-74,,
0:51.0,G. Dragic makes 2-pt shot from 2 ft,2,63-74,,
0:43.0,Personal foul by T. Johnson (drawn by C. Paul),,63-74,,
0:43.0,,,63-75,1,C. Paul makes free throw 1 of 2
0:43.0,,,63-76,1,C. Paul makes free throw 2 of 2
0:43.0,,,63-75,,B. Bass enters the game for L. Mbah a Moute
0:43.0,W. Ellington enters the game for T. Johnson,,63-75,,
0:36.0,Shooting foul by M. Speights (drawn by G. Dragic),,63-76,,
0:36.0,G. Dragic makes free throw 1 of 2,1,64-76,,
0:36.0,G. Dragic misses free throw 2 of 2,,64-76,,
0:35.0,Offensive rebound by J. Johnson,,64-76,,
0:26.0,G. Dragic makes 2-pt shot from 2 ft,2,66-76,,
0:07.0,,,66-78,2,B. Bass makes 2-pt shot at rim (assist by C. Paul)
0:04.0,Turnover by J. Johnson (lost ball; steal by B. Bass),,66-78,,
0:01.0,,,66-80,2,J. Redick makes 2-pt shot from 2 ft (assist by C. Paul)
0:00.0,End of 3rd quarter,,,,End of 3rd quarter
12:00.0,Start of 4th quarter,,,,Start of 4th quarter
11:44.0,J. Johnson makes 2-pt shot from 16 ft (assist by W. Ellington),2,68-80,,
11:20.0,,,68-80,,Turnover by B. Bass (bad pass; steal by J. Johnson)
11:14.0,W. Ellington misses 3-pt shot from 25 ft,,68-80,,
11:11.0,,,68-80,,Defensive rebound by J. Crawford
11:05.0,,,68-82,2,B. Bass makes 2-pt shot at rim (assist by C. Paul)
10:49.0,T. Johnson misses 2-pt shot from 16 ft,,68-82,,
10:47.0,,,68-82,,Defensive rebound by C. Paul
10:44.0,Personal foul by T. Johnson (drawn by B. Bass),,68-82,,
10:44.0,G. Dragic enters the game for T. Johnson,,68-82,,
10:35.0,,,68-85,3,M. Speights makes 3-pt shot from 26 ft (assist by C. Paul)
10:24.0,Turnover by J. Johnson (traveling),,68-85,,
10:24.0,Technical foul by J. Johnson,,68-85,,
10:24.0,,,68-85,,C. Paul misses technical free throw
10:24.0,,,68-85,,Offensive rebound by Team
10:24.0,D. Williams enters the game for J. Johnson,,68-85,,
10:08.0,,,68-87,2,C. Paul makes 2-pt shot from 12 ft
9:53.0,R. McGruder misses 3-pt shot from 24 ft,,68-87,,
9:52.0,,,68-87,,Defensive rebound by C. Paul
9:43.0,,,68-87,,B. Bass misses 2-pt shot from 2 ft
9:39.0,Defensive rebound by R. McGruder,,68-87,,
9:25.0,W. Ellington misses 2-pt shot from 17 ft,,68-87,,
9:22.0,,,68-87,,Defensive rebound by R. Felton
9:11.0,,,68-89,2,M. Speights makes 2-pt shot from 3 ft (assist by C. Paul)
9:00.0,Shooting foul by C. Paul (drawn by W. Ellington),,68-89,,
9:00.0,W. Ellington makes free throw 1 of 2,1,69-89,,
9:00.0,W. Ellington makes free throw 2 of 2,1,70-89,,
9:00.0,,,69-89,,J. Redick enters the game for C. Paul
9:00.0,H. Whiteside enters the game for W. Reed,,69-89,,
8:47.0,,,70-89,,Shooting foul by G. Dragic (drawn by M. Speights)
8:47.0,Official timeout,,70-89,,
8:47.0,,,70-90,1,M. Speights makes free throw 1 of 2
8:47.0,,,70-91,1,M. Speights makes free throw 2 of 2
8:33.0,W. Ellington makes 2-pt shot from 19 ft (assist by G. Dragic),2,72-91,,
8:08.0,,,72-91,,R. Felton misses 3-pt shot from 26 ft
8:08.0,Defensive rebound by Team,,72-91,,
8:08.0,,,72-91,,Loose ball foul by M. Speights (drawn by H. Whiteside)
7:46.0,W. Ellington misses 3-pt shot from 28 ft,,72-91,,
7:44.0,,,72-91,,Defensive rebound by R. Felton
7:41.0,,,72-91,,Shooting foul by D. Williams (drawn by M. Speights)
7:41.0,,,72-92,1,M. Speights makes free throw 1 of 2
7:41.0,,,72-93,1,M. Speights makes free throw 2 of 2
7:25.0,D. Williams misses 3-pt shot from 23 ft,,72-93,,
7:24.0,,,72-93,,Defensive rebound by J. Redick
7:09.0,,,72-96,3,M. Speights makes 3-pt shot from 24 ft (assist by J. Redick)
6:55.0,Turnover by G. Dragic (bad pass),,72-96,,
6:55.0,,,72-96,,W. Johnson enters the game for R. Felton
6:55.0,T. Johnson enters the game for W. Ellington,,72-96,,
