time,Denver,pts.away,score,pts.home,Oklahoma City
8:48.0,D. Gallinari misses 2-pt shot from 11 ft,,8-6,,
8:47.0,Offensive rebound by J. Nurkic,,8-6,,
8:46.0,J. Nurkic misses 2-pt shot from 3 ft,,8-6,,
8:44.0,,,8-6,,Defensive rebound by R. Westbrook
8:38.0,,,8-6,,R. Westbrook misses 2-pt shot from 20 ft
8:37.0,Defensive rebound by D. Arthur,,8-6,,
8:28.0,W. Barton misses 2-pt shot from 2 ft,,8-6,,
8:26.0,,,8-6,,Defensive rebound by D. Sabonis
8:20.0,,,8-8,2,R. Westbrook makes 2-pt shot from 13 ft
7:58.0,E. Mudiay misses 3-pt shot from 24 ft,,8-8,,
7:57.0,,,8-8,,Defensive rebound by R. Westbrook
7:52.0,,,8-8,,V. Oladipo misses 3-pt shot from 25 ft
7:51.0,Defensive rebound by D. Gallinari,,8-8,,
7:40.0,D. Gallinari misses 2-pt shot from 22 ft,,8-8,,
7:40.0,,,8-8,,Defensive rebound by V. Oladipo
7:27.0,,,8-8,,D. Sabonis misses 2-pt shot from 6 ft
7:26.0,,,8-8,,Offensive rebound by D. Sabonis
7:17.0,,,8-8,,Shooting foul by D. Arthur (drawn by D. Sabonis)
7:17.0,,,8-9,1,D. Sabonis makes free throw 1 of 2
7:17.0,,,8-10,1,D. Sabonis makes free throw 2 of 2
7:08.0,Turnover by D. Arthur (lost ball),,8-10,,
6:57.0,,,8-10,,R. Westbrook misses 3-pt shot from 24 ft
6:57.0,Defensive rebound by Team,,8-10,,
6:38.0,D. Gallinari misses 2-pt shot at rim (block by S. Adams),,8-10,,
6:37.0,,,8-10,,Defensive rebound by D. Sabonis
6:26.0,,,8-12,2,D. Sabonis makes 2-pt shot from 4 ft
6:26.0,,,8-12,,Shooting foul by D. Arthur (drawn by D. Sabonis)
6:26.0,,,8-13,1,D. Sabonis makes free throw 1 of 1
6:26.0,W. Chandler enters the game for D. Arthur,,8-12,,
6:14.0,J. Nurkic misses 2-pt shot from 15 ft,,8-13,,
6:13.0,,,8-13,,Defensive rebound by R. Westbrook
6:07.0,,,8-13,,S. Adams misses 2-pt shot from 4 ft
6:06.0,Defensive rebound by D. Gallinari,,8-13,,
5:50.0,D. Gallinari misses 2-pt shot from 2 ft,,8-13,,
5:50.0,,,8-13,,Defensive rebound by S. Adams
5:50.0,Personal foul by W. Barton (drawn by S. Adams),,8-13,,
5:50.0,,,8-13,,Oklahoma City full timeout
5:34.0,,,8-13,,R. Westbrook misses 2-pt shot from 17 ft
5:33.0,,,8-13,,Offensive rebound by R. Westbrook
5:32.0,,,8-15,2,R. Westbrook makes 2-pt shot from 1 ft
5:15.0,Shooting foul by S. Adams (drawn by J. Nurkic),,8-15,,
5:15.0,J. Nurkic misses free throw 1 of 2,,8-15,,
5:15.0,Offensive rebound by Team,,8-15,,
5:15.0,J. Nurkic makes free throw 2 of 2,1,9-15,,
5:15.0,,,8-15,,E. Kanter enters the game for S. Adams
5:15.0,,,8-15,,A. Abrines enters the game for V. Oladipo
5:01.0,,,9-15,,Shooting foul by J. Nurkic (drawn by D. Sabonis)
5:01.0,,,9-16,1,D. Sabonis makes free throw 1 of 2
5:01.0,,,9-17,1,D. Sabonis makes free throw 2 of 2
4:52.0,,,9-17,,Personal foul by A. Abrines (drawn by W. Barton)
4:38.0,Turnover by E. Mudiay (bad pass; steal by D. Sabonis),,9-17,,
4:32.0,,,9-17,,R. Westbrook misses 2-pt shot from 17 ft
4:31.0,Defensive rebound by W. Barton,,9-17,,
4:23.0,W. Barton misses 2-pt shot from 3 ft,,9-17,,
4:23.0,,,9-17,,Defensive rebound by E. Kanter
4:20.0,,,9-17,,Turnover by R. Westbrook (bad pass)
4:12.0,Offensive foul by W. Barton,,9-17,,
4:12.0,Turnover by W. Barton (offensive foul),,9-17,,
4:12.0,J. Nelson enters the game for E. Mudiay,,9-17,,
4:01.0,,,9-17,,D. Sabonis misses 2-pt shot at rim (block by J. Nurkic)
4:01.0,Defensive rebound by Team,,9-17,,
4:01.0,J. Hernangomez enters the game for W. Barton,,9-17,,
3:48.0,W. Chandler makes 2-pt shot from 4 ft (assist by J. Nelson),2,11-17,,
3:37.0,,,11-17,,Shooting foul by J. Nurkic (drawn by A. Abrines)
3:37.0,,,11-18,1,A. Abrines makes free throw 1 of 2
3:37.0,,,11-19,1,A. Abrines makes free throw 2 of 2
3:37.0,K. Faried enters the game for J. Nurkic,,11-18,,
3:24.0,D. Gallinari makes 2-pt shot from 15 ft,2,13-19,,
3:07.0,,,13-22,3,A. Roberson makes 3-pt shot from 25 ft (assist by R. Westbrook)
2:51.0,K. Faried misses 2-pt shot from 4 ft,,13-22,,
2:50.0,,,13-22,,Defensive rebound by A. Abrines
2:39.0,,,13-22,,D. Sabonis misses 3-pt shot from 24 ft
2:39.0,Defensive rebound by K. Faried,,13-22,,
2:28.0,J. Nelson makes 2-pt shot from 2 ft,2,15-22,,
2:16.0,,,15-22,,R. Westbrook misses 3-pt shot from 25 ft
2:15.0,Defensive rebound by D. Gallinari,,15-22,,
2:05.0,D. Gallinari makes 2-pt shot from 1 ft,2,17-22,,
2:05.0,Shooting foul by A. Roberson (drawn by D. Gallinari),,17-22,,
2:05.0,Denver full timeout,,17-22,,
2:05.0,D. Gallinari makes free throw 1 of 1,1,18-22,,
2:05.0,,,17-22,,C. Payne enters the game for R. Westbrook
1:52.0,,,18-22,,Turnover by C. Payne (lost ball)
1:37.0,J. Nelson misses 3-pt shot from 26 ft,,18-22,,
1:35.0,,,18-22,,Defensive rebound by A. Roberson
1:13.0,,,18-22,,A. Abrines misses 2-pt shot from 7 ft
1:11.0,Defensive rebound by J. Hernangomez,,18-22,,
1:01.0,W. Chandler misses 2-pt shot from 4 ft,,18-22,,
1:00.0,,,18-22,,Defensive rebound by D. Sabonis
0:53.0,,,18-22,,Turnover by E. Kanter (lost ball; steal by D. Gallinari)
0:48.0,W. Chandler makes 2-pt shot from 1 ft,2,20-22,,
0:48.0,Violation by Team (jump ball),,20-22,,
0:34.0,,,20-24,2,E. Kanter makes 2-pt shot from 1 ft (assist by A. Abrines)
0:22.0,W. Chandler makes 2-pt shot from 18 ft,2,22-24,,
0:02.0,,,22-24,,E. Kanter misses 2-pt shot from 13 ft
0:01.0,Defensive rebound by W. Chandler,,22-24,,
0:00.0,End of 1st quarter,,,,End of 1st quarter
12:00.0,Start of 2nd quarter,,,,Start of 2nd quarter
11:46.0,W. Chandler misses 2-pt shot from 4 ft,,22-24,,
11:44.0,Offensive rebound by J. Hernangomez,,22-24,,
11:43.0,J. Hernangomez makes 2-pt shot at rim,2,24-24,,
11:29.0,Personal foul by K. Faried (drawn by E. Kanter),,24-24,,
11:16.0,,,24-27,3,C. Payne makes 3-pt shot from 25 ft (assist by J. Lauvergne)
11:03.0,J. Nelson misses 2-pt shot from 5 ft,,24-27,,
11:02.0,Offensive rebound by K. Faried,,24-27,,
11:00.0,K. Faried makes 2-pt shot from 1 ft,2,26-27,,
10:52.0,,,26-29,2,J. Lauvergne makes 2-pt shot from 2 ft (assist by C. Payne)
10:46.0,W. Chandler makes 2-pt shot from 7 ft (assist by J. Nelson),2,28-29,,
10:46.0,Shooting foul by J. Lauvergne (drawn by W. Chandler),,28-29,,
10:46.0,W. Chandler makes free throw 1 of 1,1,29-29,,
10:27.0,,,29-31,2,E. Kanter makes 2-pt shot from 1 ft
10:17.0,W. Chandler misses 3-pt shot from 24 ft,,29-31,,
10:16.0,,,29-31,,Defensive rebound by Team
10:16.0,Loose ball foul by J. Hernangomez,,29-31,,
9:59.0,,,29-31,,A. Abrines misses 3-pt shot from 25 ft
9:58.0,Defensive rebound by J. Hernangomez,,29-31,,
9:52.0,J. Hernangomez misses 2-pt shot at rim (block by J. Grant),,29-31,,
9:51.0,Offensive rebound by J. Nelson,,29-31,,
9:48.0,W. Chandler makes 2-pt shot at rim (assist by J. Nelson),2,31-31,,
9:31.0,,,31-31,,J. Lauvergne misses 3-pt shot from 25 ft
9:30.0,,,31-31,,Offensive rebound by E. Kanter
9:29.0,,,31-33,2,E. Kanter makes 2-pt shot from 1 ft
9:15.0,Turnover by W. Chandler (bad pass; steal by A. Abrines),,31-33,,
9:05.0,,,31-35,2,J. Lauvergne makes 2-pt shot from 1 ft (assist by A. Abrines)
9:05.0,Denver full timeout,,31-35,,
9:05.0,J. Nurkic enters the game for K. Faried,,31-35,,
8:51.0,J. Murray makes 2-pt shot from 15 ft,2,33-35,,
8:33.0,,,33-35,,E. Kanter misses 2-pt shot from 17 ft
8:33.0,Defensive rebound by J. Hernangomez,,33-35,,
8:27.0,W. Chandler makes 2-pt shot from 18 ft,2,35-35,,
8:03.0,,,35-38,3,C. Payne makes 3-pt shot from 24 ft (assist by A. Abrines)
7:50.0,W. Chandler makes 3-pt shot from 26 ft (assist by J. Nelson),3,38-38,,
7:35.0,,,38-40,2,C. Payne makes 2-pt shot from 17 ft
7:20.0,J. Murray misses 2-pt shot from 19 ft,,38-40,,
7:19.0,,,38-40,,Defensive rebound by C. Payne
7:13.0,,,38-40,,C. Payne misses 3-pt shot from 25 ft
7:13.0,Defensive rebound by J. Hernangomez,,38-40,,
7:04.0,W. Chandler makes 3-pt shot from 23 ft (assist by J. Murray),3,41-40,,
7:03.0,,,41-40,,Oklahoma City full timeout
7:03.0,,,41-40,,R. Westbrook enters the game for C. Payne
7:03.0,,,41-40,,V. Oladipo enters the game for J. Lauvergne
7:03.0,D. Arthur enters the game for J. Hernangomez,,41-40,,
6:52.0,,,41-40,,E. Kanter misses 2-pt shot from 1 ft
6:51.0,Defensive rebound by D. Arthur,,41-40,,
6:32.0,J. Nurkic makes 2-pt shot from 1 ft (assist by J. Nelson),2,43-40,,
6:18.0,,,43-42,2,V. Oladipo makes 2-pt shot from 18 ft (assist by R. Westbrook)
6:08.0,,,43-42,,Personal foul by A. Abrines (drawn by W. Chandler)
6:08.0,,,43-42,,A. Roberson enters the game for A. Abrines
6:01.0,D. Arthur makes 3-pt shot from 24 ft (assist by J. Nelson),3,46-42,,
5:44.0,,,46-44,2,V. Oladipo makes 2-pt shot from 14 ft
5:35.0,D. Arthur makes 2-pt shot from 20 ft (assist by J. Nelson),2,48-44,,
5:21.0,,,48-44,,V. Oladipo misses 2-pt shot from 12 ft (block by J. Murray)
5:20.0,Defensive rebound by W. Chandler,,48-44,,
5:17.0,J. Nelson makes 2-pt shot from 1 ft (assist by W. Chandler),2,50-44,,
4:50.0,,,50-46,2,E. Kanter makes 2-pt shot from 1 ft
4:42.0,J. Nelson misses 2-pt shot from 2 ft,,50-46,,
4:40.0,Offensive rebound by J. Nurkic,,50-46,,
4:40.0,J. Nurkic misses 2-pt shot from 1 ft,,50-46,,
4:38.0,,,50-46,,Defensive rebound by R. Westbrook
4:29.0,,,50-46,,A. Roberson misses 3-pt shot from 23 ft
4:29.0,Defensive rebound by W. Chandler,,50-46,,
4:17.0,D. Gallinari enters the game for W. Chandler,,50-46,,
4:17.0,,,50-46,,S. Adams enters the game for E. Kanter
4:05.0,J. Nurkic misses 2-pt shot from 4 ft,,50-46,,
4:04.0,,,50-46,,Defensive rebound by V. Oladipo
3:53.0,,,50-46,,J. Grant misses 3-pt shot from 25 ft
3:52.0,Defensive rebound by D. Gallinari,,50-46,,
3:37.0,D. Gallinari makes 2-pt shot from 12 ft,2,52-46,,
3:21.0,,,52-49,3,R. Westbrook makes 3-pt shot from 24 ft
3:09.0,Turnover by J. Nelson (bad pass; steal by S. Adams),,52-49,,
3:04.0,,,52-49,,Shooting foul by D. Arthur (drawn by A. Roberson)
3:04.0,,,52-50,1,A. Roberson makes free throw 1 of 2
3:04.0,,,52-50,,A. Roberson misses free throw 2 of 2
3:04.0,E. Mudiay enters the game for D. Arthur,,52-50,,
3:04.0,W. Chandler enters the game for J. Nelson,,52-50,,
3:04.0,W. Barton enters the game for J. Murray,,52-50,,
3:03.0,Defensive rebound by J. Nurkic,,52-50,,
2:43.0,W. Barton misses 3-pt shot from 24 ft,,52-50,,
2:42.0,,,52-50,,Defensive rebound by R. Westbrook
2:36.0,,,52-52,2,S. Adams makes 2-pt shot from 2 ft (assist by R. Westbrook)
2:25.0,Turnover by J. Nurkic (bad pass),,52-52,,
2:25.0,Official timeout,,52-52,,
2:25.0,K. Faried enters the game for J. Nurkic,,52-52,,
2:16.0,,,52-52,,Shooting foul by K. Faried (drawn by R. Westbrook)
2:16.0,,,52-53,1,R. Westbrook makes free throw 1 of 2
2:16.0,,,52-54,1,R. Westbrook makes free throw 2 of 2
1:54.0,K. Faried makes 2-pt shot from 1 ft (assist by W. Chandler),2,54-54,,
1:48.0,,,54-54,,Turnover by R. Westbrook (bad pass)
1:26.0,W. Barton makes 2-pt shot from 4 ft,2,56-54,,
1:11.0,,,56-57,3,A. Roberson makes 3-pt shot from 22 ft (assist by R. Westbrook)
1:00.0,W. Barton makes 2-pt shot from 7 ft,2,58-57,,
0:45.0,,,58-60,3,R. Westbrook makes 3-pt shot from 26 ft (assist by S. Adams)
0:35.0,W. Barton makes 2-pt shot from 1 ft (assist by E. Mudiay),2,60-60,,
0:24.0,,,60-60,,A. Roberson misses 3-pt shot from 23 ft
0:22.0,Defensive rebound by K. Faried,,60-60,,
0:05.0,,,60-60,,Personal take foul by R. Westbrook (drawn by E. Mudiay)
0:05.0,Denver full timeout,,60-60,,
0:05.0,,,60-60,,D. Sabonis enters the game for S. Adams
0:01.0,W. Chandler misses 2-pt shot from 15 ft (block by J. Grant),,60-60,,
0:00.0,,,60-60,,Defensive rebound by R. Westbrook
0:00.0,End of 2nd quarter,,,,End of 2nd quarter
12:00.0,Start of 3rd quarter,,,,Start of 3rd quarter
11:49.0,D. Arthur misses 2-pt shot from 17 ft,,60-60,,
11:49.0,,,60-60,,Defensive rebound by R. Westbrook
11:25.0,,,60-63,3,R. Westbrook makes 3-pt shot from 25 ft (assist by D. Sabonis)
11:06.0,J. Nurkic misses 2-pt shot from 7 ft,,60-63,,
11:06.0,,,60-63,,Defensive rebound by S. Adams
10:59.0,,,60-63,,D. Sabonis misses 3-pt shot from 25 ft
10:58.0,Defensive rebound by W. Barton,,60-63,,
10:49.0,J. Nurkic makes 2-pt shot at rim (assist by W. Barton),2,62-63,,
10:30.0,,,62-63,,V. Oladipo misses 3-pt shot from 24 ft
10:29.0,,,62-63,,Offensive rebound by R. Westbrook
10:05.0,,,62-65,2,A. Roberson makes 2-pt shot from 1 ft
9:54.0,J. Nurkic makes 2-pt shot at rim (assist by E. Mudiay),2,64-65,,
9:39.0,,,64-67,2,V. Oladipo makes 2-pt shot from 17 ft (assist by R. Westbrook)
9:20.0,Shooting foul by D. Sabonis (drawn by J. Nurkic),,64-67,,
9:20.0,J. Nurkic misses free throw 1 of 2,,64-67,,
9:20.0,Offensive rebound by Team,,64-67,,
9:20.0,J. Nurkic misses free throw 2 of 2,,64-67,,
9:18.0,,,64-67,,Defensive rebound by D. Sabonis
9:09.0,,,64-67,,Turnover by R. Westbrook (bad pass; steal by J. Nurkic)
8:54.0,D. Gallinari misses 3-pt shot from 25 ft,,64-67,,
8:54.0,,,64-67,,Defensive rebound by R. Westbrook
8:40.0,,,64-69,2,V. Oladipo makes 2-pt shot from 3 ft
8:27.0,D. Gallinari misses 2-pt shot from 14 ft,,64-69,,
8:27.0,Offensive rebound by D. Arthur,,64-69,,
8:23.0,W. Barton makes 3-pt shot from 25 ft (assist by D. Arthur),3,67-69,,
8:10.0,,,67-69,,S. Adams misses 2-pt shot at rim
8:09.0,Defensive rebound by D. Gallinari,,67-69,,
7:51.0,J. Nurkic misses 2-pt shot from 4 ft (block by S. Adams),,67-69,,
7:51.0,,,67-69,,Defensive rebound by A. Roberson
7:46.0,,,67-69,,V. Oladipo misses 3-pt shot from 25 ft
7:44.0,Defensive rebound by D. Arthur,,67-69,,
7:36.0,E. Mudiay misses 3-pt shot from 25 ft,,67-69,,
7:35.0,,,67-69,,Defensive rebound by A. Roberson
7:35.0,,,67-69,,Oklahoma City full timeout
7:28.0,,,67-71,2,R. Westbrook makes 2-pt shot from 15 ft
7:15.0,Turnover by J. Nurkic (bad pass; steal by R. Westbrook),,67-71,,
7:14.0,Clear path foul by E. Mudiay,,67-71,,
7:14.0,,,67-72,1,R. Westbrook makes clear path free throw 1 of 2
7:14.0,,,67-73,1,R. Westbrook makes clear path free throw 2 of 2
7:01.0,,,67-73,,R. Westbrook misses 3-pt shot from 25 ft
7:00.0,Defensive rebound by D. Gallinari,,67-73,,
6:49.0,D. Gallinari makes 2-pt shot from 10 ft,2,69-73,,
6:36.0,,,69-73,,V. Oladipo misses 3-pt shot from 24 ft
6:34.0,Defensive rebound by J. Nurkic,,69-73,,
6:12.0,Shooting foul by V. Oladipo (drawn by W. Barton),,69-73,,
6:12.0,W. Barton makes free throw 1 of 2,1,70-73,,
6:12.0,W. Barton makes free throw 2 of 2,1,71-73,,
6:12.0,W. Chandler enters the game for D. Arthur,,70-73,,
6:01.0,Def 3 sec tech foul by J. Nurkic,,71-73,,
6:01.0,,,71-74,1,R. Westbrook makes technical free throw
5:56.0,Personal foul by W. Chandler (drawn by D. Sabonis),,71-74,,
5:43.0,,,71-74,,D. Sabonis misses 2-pt shot from 7 ft
5:42.0,Defensive rebound by W. Chandler,,71-74,,
5:25.0,J. Nurkic misses 2-pt shot from 4 ft,,71-74,,
5:24.0,,,71-74,,Defensive rebound by R. Westbrook
5:18.0,,,71-74,,S. Adams misses 2-pt shot from 3 ft
5:17.0,Defensive rebound by J. Nurkic,,71-74,,
5:11.0,E. Mudiay misses 2-pt shot from 4 ft (block by A. Roberson),,71-74,,
5:09.0,Offensive rebound by Team,,71-74,,
5:09.0,,,71-74,,A. Abrines enters the game for V. Oladipo
5:09.0,K. Faried enters the game for J. Nurkic,,71-74,,
5:01.0,E. Mudiay misses 2-pt shot from 2 ft (block by S. Adams),,71-74,,
5:00.0,,,71-74,,Defensive rebound by R. Westbrook
4:57.0,,,71-74,,Shooting foul by W. Chandler (drawn by A. Abrines)
4:57.0,,,71-75,1,A. Abrines makes free throw 1 of 2
4:57.0,,,71-76,1,A. Abrines makes free throw 2 of 2
4:41.0,Shooting foul by A. Roberson (drawn by D. Gallinari),,71-76,,
4:41.0,D. Gallinari makes free throw 1 of 2,1,72-76,,
4:41.0,D. Gallinari makes free throw 2 of 2,1,73-76,,
4:41.0,,,72-76,,E. Kanter enters the game for D. Sabonis
4:31.0,,,73-76,,A. Abrines misses 3-pt shot from 25 ft
4:30.0,Defensive rebound by Team,,73-76,,
4:21.0,W. Chandler misses 2-pt shot from 20 ft,,73-76,,
4:20.0,,,73-76,,Defensive rebound by R. Westbrook
4:15.0,,,73-78,2,S. Adams makes 2-pt shot at rim (assist by R. Westbrook)
4:02.0,E. Mudiay misses 2-pt shot from 17 ft,,73-78,,
4:00.0,Offensive rebound by K. Faried,,73-78,,
4:00.0,K. Faried misses 2-pt shot from 1 ft,,73-78,,
3:59.0,Offensive rebound by K. Faried,,73-78,,
3:55.0,W. Chandler misses 3-pt shot from 25 ft,,73-78,,
3:55.0,,,73-78,,Defensive rebound by E. Kanter
3:50.0,,,73-80,2,S. Adams makes 2-pt shot from 1 ft (assist by R. Westbrook)
3:50.0,Denver full timeout,,73-80,,
3:50.0,D. Arthur enters the game for W. Barton,,73-80,,
3:50.0,J. Nelson enters the game for E. Mudiay,,73-80,,
3:37.0,D. Gallinari misses 2-pt shot from 23 ft,,73-80,,
3:36.0,,,73-80,,Defensive rebound by S. Adams
3:24.0,,,73-82,2,S. Adams makes 2-pt shot from 1 ft
3:24.0,,,73-82,,Shooting foul by D. Gallinari (drawn by S. Adams)
3:24.0,,,73-83,1,S. Adams makes free throw 1 of 1
3:09.0,D. Arthur misses 2-pt shot from 17 ft,,73-83,,
3:08.0,,,73-83,,Defensive rebound by A. Roberson
2:48.0,,,73-85,2,S. Adams makes 2-pt shot from 4 ft (assist by R. Westbrook)
2:33.0,Shooting foul by R. Westbrook (drawn by W. Chandler),,73-85,,
2:33.0,W. Chandler misses free throw 1 of 2,,73-85,,
2:33.0,Offensive rebound by Team,,73-85,,
2:33.0,W. Chandler misses free throw 2 of 2,,73-85,,
2:33.0,,,73-85,,C. Payne enters the game for R. Westbrook
2:32.0,,,73-85,,Defensive rebound by A. Abrines
2:10.0,,,73-85,,E. Kanter misses 2-pt shot from 12 ft
2:09.0,Defensive rebound by W. Chandler,,73-85,,
1:56.0,D. Gallinari misses 2-pt shot from 13 ft,,73-85,,
1:56.0,Offensive rebound by K. Faried,,73-85,,
1:54.0,K. Faried misses 2-pt shot from 6 ft (block by E. Kanter),,73-85,,
1:53.0,,,73-85,,Defensive rebound by E. Kanter
1:48.0,,,73-85,,A. Roberson misses 2-pt shot from 1 ft (block by W. Chandler)
1:48.0,,,73-85,,Offensive rebound by Team
1:48.0,J. Hernangomez enters the game for D. Gallinari,,73-85,,
1:30.0,,,73-88,3,A. Abrines makes 3-pt shot from 24 ft (assist by E. Kanter)
1:14.0,D. Arthur makes 2-pt shot from 21 ft (assist by J. Nelson),2,75-88,,
1:00.0,,,75-88,,Turnover by S. Adams (bad pass; steal by D. Arthur)
0:50.0,J. Nelson makes 2-pt shot from 5 ft,2,77-88,,
0:26.0,,,77-88,,Turnover by Team (shot clock)
0:26.0,,,77-88,,J. Grant enters the game for E. Kanter
0:09.0,J. Nelson makes 3-pt shot from 24 ft,3,80-88,,
0:00.0,,,80-88,,A. Roberson misses 3-pt shot from 23 ft
0:00.0,,,80-88,,Offensive rebound by Team
0:00.0,End of 3rd quarter,,,,End of 3rd quarter
12:00.0,Start of 4th quarter,,,,Start of 4th quarter
11:44.0,,,80-88,,E. Kanter misses 2-pt shot from 4 ft
11:44.0,Defensive rebound by K. Faried,,80-88,,
11:38.0,J. Hernangomez makes 2-pt shot from 2 ft (assist by K. Faried),2,82-88,,
11:12.0,,,82-88,,J. Grant misses 3-pt shot from 24 ft
11:11.0,Defensive rebound by W. Chandler,,82-88,,
11:00.0,D. Arthur misses 3-pt shot from 24 ft,,82-88,,
11:00.0,,,82-88,,Defensive rebound by C. Payne
10:44.0,,,82-90,2,E. Kanter makes 2-pt shot from 1 ft
10:44.0,,,82-90,,V. Oladipo misses 2-pt shot from 2 ft
10:44.0,,,82-90,,Offensive rebound by E. Kanter
10:34.0,W. Chandler makes 2-pt shot from 1 ft,2,84-90,,
10:34.0,Shooting foul by A. Abrines (drawn by W. Chandler),,84-90,,
10:34.0,W. Chandler makes free throw 1 of 1,1,85-90,,
10:21.0,,,85-90,,Shooting foul by D. Arthur (drawn by V. Oladipo)
10:21.0,,,85-91,1,V. Oladipo makes free throw 1 of 2
10:21.0,,,85-91,,V. Oladipo misses free throw 2 of 2
10:21.0,J. Murray enters the game for D. Arthur,,85-91,,
10:20.0,,,85-91,,Offensive rebound by V. Oladipo
10:11.0,Personal foul by J. Nelson (drawn by E. Kanter),,85-91,,
10:05.0,,,85-93,2,E. Kanter makes 2-pt shot from 8 ft
9:53.0,Turnover by W. Chandler (lost ball; steal by V. Oladipo),,85-93,,
9:48.0,,,85-93,,V. Oladipo misses 2-pt shot from 1 ft (block by W. Chandler)
9:47.0,Defensive rebound by K. Faried,,85-93,,
9:47.0,,,85-93,,Personal foul by V. Oladipo (drawn by K. Faried)
9:37.0,J. Nelson makes 3-pt shot from 25 ft,3,88-93,,
9:24.0,,,88-95,2,V. Oladipo makes 2-pt shot from 9 ft
9:11.0,Turnover by J. Nelson (bad pass; steal by V. Oladipo),,88-95,,
9:07.0,,,88-97,2,V. Oladipo makes 2-pt shot at rim
9:06.0,Denver full timeout,,88-97,,
9:06.0,W. Barton enters the game for J. Hernangomez,,88-97,,
8:48.0,Shooting foul by C. Payne (drawn by J. Nelson),,88-97,,
8:48.0,J. Nelson misses free throw 1 of 3,,88-97,,
8:48.0,Offensive rebound by Team,,88-97,,
8:48.0,J. Nelson makes free throw 2 of 3,1,89-97,,
8:48.0,J. Nelson misses free throw 3 of 3,,89-97,,
8:48.0,D. Gallinari enters the game for W. Chandler,,89-97,,
8:48.0,,,89-97,,A. Roberson enters the game for A. Abrines
8:47.0,,,89-97,,Defensive rebound by E. Kanter
8:35.0,Personal foul by J. Nelson (drawn by J. Grant),,89-97,,
8:35.0,Technical foul by J. Nelson (drawn by J. Grant),,89-97,,
8:35.0,,,89-97,,R. Westbrook misses technical free throw
8:35.0,,,89-97,,Offensive rebound by Team
8:35.0,,,89-97,,R. Westbrook enters the game for C. Payne
8:25.0,,,89-97,,V. Oladipo misses 3-pt shot from 25 ft
8:24.0,Defensive rebound by K. Faried,,89-97,,
8:16.0,J. Nelson misses 2-pt shot from 1 ft (block by V. Oladipo),,89-97,,
8:14.0,,,89-97,,Defensive rebound by A. Roberson
8:08.0,,,89-99,2,E. Kanter makes 2-pt shot from 2 ft (assist by R. Westbrook)
7:58.0,,,89-99,,S. Adams enters the game for E. Kanter
7:46.0,Offensive foul by K. Faried,,89-99,,
7:46.0,Turnover by K. Faried (offensive foul),,89-99,,
7:32.0,,,89-99,,V. Oladipo misses 2-pt shot from 10 ft
7:31.0,Defensive rebound by K. Faried,,89-99,,
7:17.0,,,89-99,,Personal foul by A. Roberson (drawn by K. Faried)
7:17.0,J. Nurkic enters the game for K. Faried,,89-99,,
7:07.0,J. Nelson misses 2-pt shot from 18 ft,,89-99,,
7:07.0,,,89-99,,Defensive rebound by Team
6:58.0,,,89-99,,R. Westbrook misses 2-pt shot from 14 ft
6:57.0,Defensive rebound by J. Murray,,89-99,,
6:56.0,,,89-99,,Personal foul by R. Westbrook (drawn by J. Murray)
6:56.0,J. Murray makes free throw 1 of 2,1,90-99,,
6:56.0,J. Murray makes free throw 2 of 2,1,91-99,,
