time,Milwaukee,pts.away,score,pts.home,Golden State
3:22.0,,,27-16,,S. Curry misses 3-pt shot from 27 ft
3:22.0,Defensive rebound by Team,,27-16,,
3:20.0,G. Antetokounmpo enters the game for K. Middleton,,27-16,,
3:14.0,,,27-16,,Personal foul by S. Curry (drawn by G. Antetokounmpo)
3:03.0,M. Teletovic misses 3-pt shot from 28 ft,,27-16,,
3:03.0,Offensive rebound by G. Monroe,,27-16,,
2:58.0,M. Dellavedova misses 3-pt shot from 25 ft,,27-16,,
2:56.0,Offensive rebound by Team,,27-16,,
2:56.0,,,27-16,,Loose ball foul by S. Livingston (drawn by G. Antetokounmpo)
2:56.0,Milwaukee full timeout,,27-16,,
2:47.0,T. Snell misses 3-pt shot from 26 ft,,27-16,,
2:47.0,Offensive rebound by G. Monroe,,27-16,,
2:43.0,Turnover by T. Snell (lost ball),,27-16,,
2:20.0,,,27-16,,Turnover by A. Iguodala (bad pass; steal by G. Monroe)
2:11.0,Turnover by G. Monroe (bad pass; steal by S. Livingston),,27-16,,
2:00.0,,,27-18,2,J. McGee makes 2-pt shot at rim (assist by D. Green)
1:40.0,M. Dellavedova misses 3-pt shot from 26 ft,,27-18,,
1:40.0,,,27-18,,Defensive rebound by J. McGee
1:32.0,,,27-18,,S. Curry misses 3-pt shot from 26 ft
1:31.0,,,27-18,,Offensive rebound by J. McGee
1:29.0,,,27-20,2,J. McGee makes 2-pt shot from 1 ft
1:14.0,G. Antetokounmpo misses 2-pt shot from 3 ft,,27-20,,
1:12.0,Offensive rebound by G. Monroe,,27-20,,
1:11.0,G. Monroe misses 2-pt shot from 3 ft,,27-20,,
1:10.0,,,27-20,,Defensive rebound by J. McGee
1:07.0,,,27-22,2,D. Green makes 2-pt shot at rim (assist by A. Iguodala)
0:39.0,G. Monroe makes 2-pt shot from 19 ft,2,29-22,,
0:35.0,,,29-24,2,S. Curry makes 2-pt shot from 2 ft
0:17.0,T. Snell misses 2-pt shot from 4 ft,,29-24,,
0:16.0,Offensive rebound by G. Monroe,,29-24,,
0:12.0,G. Monroe misses 2-pt shot from 3 ft,,29-24,,
0:11.0,,,29-24,,Defensive rebound by S. Curry
0:03.0,,,29-27,3,S. Curry makes 3-pt shot from 26 ft
0:01.0,G. Antetokounmpo misses 3-pt shot from 68 ft (block by S. Curry),,29-27,,
0:00.0,Offensive rebound by Team,,29-27,,
0:00.0,End of 1st quarter,,,,End of 1st quarter
12:00.0,Start of 2nd quarter,,,,Start of 2nd quarter
11:35.0,,,29-29,2,K. Thompson makes 2-pt shot from 2 ft
11:17.0,M. Dellavedova misses 2-pt shot from 10 ft (block by I. Clark),,29-29,,
11:13.0,,,29-29,,Defensive rebound by D. West
11:09.0,,,29-32,3,K. Thompson makes 3-pt shot from 28 ft
10:52.0,M. Brogdon misses 2-pt shot from 1 ft,,29-32,,
10:52.0,,,29-32,,Defensive rebound by Team
10:35.0,,,29-34,2,D. West makes 2-pt shot from 3 ft
10:12.0,K. Middleton misses 2-pt shot from 6 ft,,29-34,,
10:11.0,Offensive rebound by J. Henson,,29-34,,
10:09.0,J. Henson misses 2-pt shot from 2 ft,,29-34,,
10:07.0,,,29-34,,Defensive rebound by K. Thompson
10:03.0,,,29-34,,Turnover by I. Clark (step out of bounds)
9:47.0,,,29-34,,Def 3 sec tech foul by D. West
9:47.0,K. Middleton makes technical free throw,1,30-34,,
9:40.0,Turnover by M. Dellavedova (bad pass),,30-34,,
9:21.0,Violation by J. Henson (def goaltending),,30-34,,
9:21.0,,,30-36,2,I. Clark makes 2-pt shot from 2 ft
8:57.0,M. Brogdon misses 3-pt shot from 25 ft,,30-36,,
8:56.0,Offensive rebound by M. Brogdon,,30-36,,
8:41.0,K. Middleton makes 3-pt shot from 26 ft,3,33-36,,
8:19.0,Def 3 sec tech foul by M. Dellavedova,,33-36,,
8:19.0,Official timeout,,33-36,,
8:19.0,,,33-36,,K. Thompson misses technical free throw
8:19.0,,,33-36,,Offensive rebound by Team
8:19.0,T. Maker enters the game for J. Henson,,33-36,,
8:05.0,,,33-36,,K. Thompson misses 3-pt shot from 25 ft (block by M. Brogdon)
8:04.0,,,33-36,,Offensive rebound by K. Thompson
8:04.0,,,33-36,,Turnover by Team (shot clock)
7:43.0,M. Brogdon makes 3-pt shot from 24 ft (assist by K. Middleton),3,36-36,,
7:17.0,,,36-38,2,K. Thompson makes 2-pt shot from 15 ft
7:02.0,Turnover by G. Antetokounmpo (lost ball),,36-38,,
7:02.0,,,36-38,,D. Green enters the game for A. Iguodala
6:46.0,,,36-38,,D. West misses 2-pt shot from 4 ft
6:46.0,Defensive rebound by T. Maker,,36-38,,
6:27.0,Turnover by G. Antetokounmpo (3 sec),,36-38,,
6:17.0,,,36-38,,Shooting foul by G. Antetokounmpo (drawn by D. Green)
6:17.0,,,36-39,1,D. Green makes free throw 1 of 2
6:17.0,,,36-40,1,D. Green makes free throw 2 of 2
6:17.0,,,36-39,,S. Curry enters the game for K. Thompson
6:06.0,Shooting foul by I. Clark (drawn by M. Brogdon),,36-40,,
6:06.0,M. Brogdon makes free throw 1 of 2,1,37-40,,
6:06.0,M. Brogdon makes free throw 2 of 2,1,38-40,,
6:06.0,,,37-40,,J. McGee enters the game for D. West
6:06.0,,,37-40,,P. McCaw enters the game for I. Clark
5:50.0,,,38-42,2,J. McGee makes 2-pt shot at rim (assist by D. Green)
5:34.0,T. Maker misses 3-pt shot from 26 ft,,38-42,,
5:33.0,,,38-42,,Defensive rebound by P. McCaw
5:24.0,Personal foul by K. Middleton (drawn by D. Green),,38-42,,
5:24.0,,,38-42,,Golden State full timeout
5:24.0,J. Terry enters the game for K. Middleton,,38-42,,
5:24.0,M. Teletovic enters the game for M. Dellavedova,,38-42,,
5:17.0,,,38-42,,Turnover by D. Green (bad pass; steal by G. Antetokounmpo)
5:01.0,G. Antetokounmpo misses 2-pt shot from 17 ft,,38-42,,
5:01.0,,,38-42,,Defensive rebound by M. Barnes
4:53.0,,,38-42,,Turnover by S. Curry (bad pass; steal by M. Teletovic)
4:48.0,M. Teletovic misses 2-pt shot from 21 ft,,38-42,,
4:48.0,,,38-42,,Defensive rebound by M. Barnes
4:43.0,,,38-44,2,D. Green makes 2-pt shot at rim (assist by M. Barnes)
4:25.0,T. Maker misses 3-pt shot from 26 ft,,38-44,,
4:25.0,,,38-44,,Defensive rebound by S. Curry
4:18.0,,,38-46,2,J. McGee makes 2-pt shot from 5 ft (assist by S. Curry)
4:18.0,Milwaukee full timeout,,38-46,,
4:18.0,T. Snell enters the game for T. Maker,,38-46,,
4:18.0,G. Monroe enters the game for M. Teletovic,,38-46,,
4:17.0,,,38-46,,K. Thompson enters the game for P. McCaw
3:55.0,G. Monroe makes 2-pt shot from 16 ft,2,40-46,,
3:38.0,,,40-49,3,M. Barnes makes 3-pt shot from 23 ft (assist by K. Thompson)
3:20.0,,,40-49,,A. Iguodala enters the game for J. McGee
3:12.0,M. Brogdon misses 3-pt shot from 24 ft,,40-49,,
3:12.0,,,40-49,,Defensive rebound by D. Green
3:08.0,,,40-49,,Turnover by D. Green (bad pass; steal by M. Brogdon)
2:55.0,J. Terry misses 3-pt shot from 23 ft,,40-49,,
2:55.0,,,40-49,,Defensive rebound by A. Iguodala
2:40.0,,,40-52,3,M. Barnes makes 3-pt shot from 23 ft (assist by S. Curry)
2:11.0,G. Monroe misses 2-pt shot from 12 ft,,40-52,,
2:11.0,,,40-52,,Defensive rebound by D. Green
1:55.0,,,40-52,,Shooting foul by G. Monroe (drawn by M. Barnes)
1:55.0,,,40-53,1,M. Barnes makes free throw 1 of 2
1:55.0,,,40-53,,M. Barnes misses free throw 2 of 2
1:55.0,K. Middleton enters the game for G. Monroe,,40-53,,
1:54.0,,,40-53,,Offensive rebound by D. Green
1:53.0,,,40-53,,D. Green misses 2-pt shot from 2 ft
1:51.0,,,40-53,,Offensive rebound by D. Green
1:47.0,,,40-56,3,S. Curry makes 3-pt shot from 26 ft (assist by A. Iguodala)
1:20.0,M. Brogdon misses 2-pt shot from 1 ft,,40-56,,
1:20.0,,,40-56,,Defensive rebound by M. Barnes
1:14.0,,,40-58,2,K. Thompson makes 2-pt shot from 15 ft (assist by M. Barnes)
0:57.0,J. Terry misses 3-pt shot from 23 ft,,40-58,,
0:57.0,,,40-58,,Defensive rebound by A. Iguodala
0:54.0,,,40-58,,Turnover by A. Iguodala (lost ball; steal by J. Terry)
0:54.0,T. Snell makes 2-pt shot from 2 ft,2,42-58,,
0:54.0,Shooting foul by D. Green (drawn by T. Snell),,42-58,,
0:54.0,T. Snell misses free throw 1 of 1,,42-58,,
0:49.0,,,42-58,,Defensive rebound by M. Barnes
0:38.0,,,42-60,2,S. Curry makes 2-pt shot from 1 ft
0:32.0,K. Middleton makes 2-pt shot from 1 ft,2,44-60,,
0:27.0,,,44-63,3,S. Curry makes 3-pt shot from 33 ft
0:07.0,G. Antetokounmpo misses 2-pt shot from 17 ft,,44-63,,
0:04.0,Offensive rebound by J. Terry,,44-63,,
0:04.0,J. Terry misses 2-pt shot from 16 ft,,44-63,,
0:01.0,,,44-63,,Defensive rebound by S. Curry
0:00.0,End of 2nd quarter,,,,End of 2nd quarter
12:00.0,Start of 3rd quarter,,,,Start of 3rd quarter
11:51.0,,,44-63,,Shooting foul by G. Antetokounmpo (drawn by D. Green)
11:51.0,,,44-64,1,D. Green makes free throw 1 of 2
11:51.0,,,44-65,1,D. Green makes free throw 2 of 2
11:30.0,M. Brogdon misses 2-pt shot from 10 ft,,44-65,,
11:30.0,,,44-65,,Defensive rebound by Z. Pachulia
11:12.0,,,44-65,,Offensive foul by Z. Pachulia
11:12.0,,,44-65,,Turnover by Z. Pachulia (offensive foul)
11:12.0,,,44-65,,A. Iguodala enters the game for D. Green
11:03.0,G. Antetokounmpo misses 2-pt shot from 17 ft,,44-65,,
11:03.0,Offensive rebound by T. Maker,,44-65,,
11:00.0,T. Maker makes 2-pt shot from 6 ft,2,46-65,,
10:43.0,,,46-65,,K. Thompson misses 2-pt shot from 18 ft
10:41.0,Defensive rebound by T. Snell,,46-65,,
10:32.0,G. Antetokounmpo misses 2-pt shot from 1 ft,,46-65,,
10:32.0,,,46-65,,Defensive rebound by Z. Pachulia
10:08.0,,,46-67,2,A. Iguodala makes 2-pt shot from 21 ft
9:42.0,M. Brogdon misses 3-pt shot from 25 ft,,46-67,,
9:42.0,,,46-67,,Defensive rebound by Z. Pachulia
9:28.0,,,46-69,2,Z. Pachulia makes 2-pt shot from 1 ft (assist by A. Iguodala)
9:06.0,,,46-69,,Violation by S. Curry (kicked ball)
9:02.0,K. Middleton misses 2-pt shot from 15 ft,,46-69,,
9:01.0,,,46-69,,Defensive rebound by A. Iguodala
8:56.0,,,46-69,,Shooting foul by M. Brogdon (drawn by Z. Pachulia)
8:56.0,,,46-69,,Z. Pachulia misses free throw 1 of 2
8:56.0,,,46-69,,Offensive rebound by Team
8:56.0,,,46-70,1,Z. Pachulia makes free throw 2 of 2
8:48.0,M. Brogdon misses 3-pt shot from 25 ft,,46-70,,
8:46.0,Offensive rebound by T. Snell,,46-70,,
8:46.0,T. Snell makes 2-pt shot at rim,2,48-70,,
8:31.0,,,48-70,,Turnover by Z. Pachulia (bad pass; steal by T. Maker)
8:29.0,,,48-70,,Personal foul by A. Iguodala (drawn by G. Antetokounmpo)
8:29.0,,,48-70,,D. Green enters the game for A. Iguodala
8:13.0,Shooting foul by Z. Pachulia (drawn by T. Maker),,48-70,,
8:13.0,T. Maker makes free throw 1 of 2,1,49-70,,
8:13.0,T. Maker misses free throw 2 of 2,,49-70,,
8:11.0,,,49-70,,Defensive rebound by D. Green
7:57.0,,,49-72,2,P. McCaw makes 2-pt shot from 1 ft (assist by Z. Pachulia)
7:57.0,,,49-72,,Shooting foul by K. Middleton (drawn by P. McCaw)
7:57.0,,,49-73,1,P. McCaw makes free throw 1 of 1
7:46.0,G. Antetokounmpo misses 2-pt shot from 18 ft,,49-73,,
7:46.0,,,49-73,,Defensive rebound by Z. Pachulia
7:36.0,,,49-76,3,S. Curry makes 3-pt shot from 25 ft (assist by D. Green)
7:35.0,Milwaukee full timeout,,49-76,,
7:35.0,M. Teletovic enters the game for G. Antetokounmpo,,49-76,,
7:31.0,G. Monroe enters the game for T. Maker,,49-76,,
7:13.0,Turnover by K. Middleton (bad pass; steal by Z. Pachulia),,49-76,,
7:07.0,,,49-76,,K. Thompson misses 3-pt shot from 25 ft
7:06.0,Defensive rebound by G. Monroe,,49-76,,
6:51.0,M. Teletovic makes 2-pt shot from 1 ft (assist by G. Monroe),2,51-76,,
6:37.0,,,51-76,,K. Thompson misses 3-pt shot from 27 ft
6:36.0,Defensive rebound by M. Teletovic,,51-76,,
6:15.0,G. Monroe misses 2-pt shot from 8 ft,,51-76,,
6:15.0,Offensive rebound by Team,,51-76,,
6:15.0,,,51-76,,Loose ball foul by P. McCaw (drawn by M. Teletovic)
6:15.0,,,51-76,,S. Livingston enters the game for P. McCaw
6:15.0,,,51-76,,A. Iguodala enters the game for Z. Pachulia
6:09.0,G. Monroe misses 2-pt shot from 3 ft,,51-76,,
6:09.0,,,51-76,,Defensive rebound by D. Green
6:03.0,,,51-78,2,A. Iguodala makes 2-pt shot at rim (assist by D. Green)
5:40.0,M. Teletovic makes 2-pt shot from 13 ft,2,53-78,,
5:26.0,Personal foul by M. Teletovic (drawn by S. Curry),,53-78,,
5:16.0,,,53-78,,S. Curry misses 2-pt shot from 1 ft
5:15.0,Defensive rebound by M. Brogdon,,53-78,,
4:58.0,G. Monroe makes 2-pt shot from 4 ft (assist by M. Brogdon),2,55-78,,
4:40.0,,,55-78,,S. Livingston misses 2-pt shot from 12 ft
4:40.0,Defensive rebound by G. Monroe,,55-78,,
4:32.0,K. Middleton misses 2-pt shot from 2 ft (block by K. Thompson),,55-78,,
4:31.0,Offensive rebound by Team,,55-78,,
4:21.0,G. Monroe misses 2-pt shot from 6 ft,,55-78,,
4:21.0,,,55-78,,Defensive rebound by S. Livingston
4:07.0,,,55-80,2,A. Iguodala makes 2-pt shot from 17 ft (assist by S. Livingston)
3:47.0,M. Brogdon makes 2-pt shot from 20 ft,2,57-80,,
3:35.0,,,57-82,2,S. Livingston makes 2-pt shot from 6 ft (assist by A. Iguodala)
3:29.0,,,57-82,,Personal foul by S. Livingston (drawn by K. Middleton)
3:29.0,M. Dellavedova enters the game for M. Brogdon,,57-82,,
3:29.0,,,57-82,,J. McGee enters the game for K. Thompson
3:22.0,,,57-82,,Shooting block foul by S. Curry (drawn by M. Teletovic)
3:22.0,M. Teletovic makes free throw 1 of 2,1,58-82,,
3:22.0,,,58-82,,Golden State full timeout
3:22.0,M. Teletovic makes free throw 2 of 2,1,59-82,,
3:08.0,,,59-82,,Offensive foul by S. Curry
3:08.0,,,59-82,,Turnover by S. Curry (offensive foul)
2:53.0,M. Teletovic makes 2-pt shot from 1 ft (assist by K. Middleton),2,61-82,,
2:41.0,,,61-85,3,A. Iguodala makes 3-pt shot from 24 ft (assist by S. Curry)
2:24.0,M. Teletovic misses 2-pt shot from 11 ft,,61-85,,
2:23.0,,,61-85,,Defensive rebound by J. McGee
2:18.0,,,61-88,3,S. Curry makes 3-pt shot from 27 ft (assist by D. Green)
1:59.0,K. Middleton makes 3-pt shot from 26 ft (assist by M. Dellavedova),3,64-88,,
1:45.0,,,64-88,,A. Iguodala misses 3-pt shot from 23 ft
1:45.0,Defensive rebound by M. Teletovic,,64-88,,
1:31.0,M. Dellavedova makes 3-pt shot from 26 ft (assist by T. Snell),3,67-88,,
1:19.0,Personal foul by M. Teletovic (drawn by S. Curry),,67-88,,
1:19.0,,,67-89,1,S. Curry makes free throw 1 of 2
1:19.0,,,67-90,1,S. Curry makes free throw 2 of 2
0:58.0,M. Dellavedova misses 2-pt shot from 2 ft,,67-90,,
0:57.0,,,67-90,,Defensive rebound by A. Iguodala
0:53.0,,,67-90,,Turnover by D. Green (bad pass)
0:36.0,Turnover by K. Middleton (bad pass; steal by A. Iguodala),,67-90,,
0:35.0,Personal foul by G. Monroe (drawn by A. Iguodala),,67-90,,
0:35.0,,,67-91,1,A. Iguodala makes free throw 1 of 2
0:35.0,,,67-92,1,A. Iguodala makes free throw 2 of 2
0:13.0,T. Snell makes 3-pt shot from 25 ft (assist by G. Monroe),3,70-92,,
0:04.0,Personal foul by M. Dellavedova (drawn by S. Curry),,70-92,,
0:04.0,,,70-93,1,S. Curry makes free throw 1 of 2
0:04.0,,,70-94,1,S. Curry makes free throw 2 of 2
0:04.0,,,70-93,,M. Barnes enters the game for J. McGee
0:01.0,T. Snell misses 3-pt shot from 25 ft (block by A. Iguodala),,70-94,,
0:00.0,,,70-94,,Defensive rebound by M. Barnes
0:00.0,End of 3rd quarter,,,,End of 3rd quarter
12:00.0,Start of 4th quarter,,,,Start of 4th quarter
11:38.0,M. Dellavedova misses 2-pt shot from 1 ft,,70-94,,
11:37.0,Offensive rebound by G. Antetokounmpo,,70-94,,
11:36.0,G. Antetokounmpo makes 2-pt shot at rim,2,72-94,,
11:14.0,,,72-96,2,K. Thompson makes 2-pt shot from 23 ft (assist by M. Barnes)
11:08.0,,,72-96,,Personal foul by M. Barnes (drawn by G. Antetokounmpo)
11:02.0,,,72-96,,Personal foul by I. Clark (drawn by G. Antetokounmpo)
10:54.0,Turnover by M. Dellavedova (bad pass),,72-96,,
10:29.0,,,72-96,,M. Barnes misses 3-pt shot from 28 ft
10:27.0,Defensive rebound by J. Henson,,72-96,,
10:19.0,R. Vaughn makes 3-pt shot from 23 ft (assist by G. Antetokounmpo),3,75-96,,
9:58.0,,,75-98,2,K. Thompson makes 2-pt shot from 2 ft (assist by D. West)
9:33.0,R. Vaughn misses 3-pt shot from 29 ft,,75-98,,
9:32.0,,,75-98,,Defensive rebound by M. Barnes
9:19.0,,,75-101,3,K. Thompson makes 3-pt shot from 31 ft (assist by D. West)
8:56.0,J. Henson misses 2-pt shot from 5 ft (block by A. Iguodala),,75-101,,
8:55.0,,,75-101,,Defensive rebound by I. Clark
8:55.0,Personal foul by M. Dellavedova (drawn by I. Clark),,75-101,,
8:47.0,Personal foul by J. Henson (drawn by D. West),,75-101,,
8:42.0,,,75-101,,K. Thompson misses 2-pt shot from 17 ft
8:42.0,Defensive rebound by G. Antetokounmpo,,75-101,,
8:35.0,G. Antetokounmpo makes 2-pt shot at rim,2,77-101,,
8:11.0,,,77-101,,A. Iguodala misses 2-pt shot from 3 ft (block by R. Vaughn)
8:09.0,Defensive rebound by M. Brogdon,,77-101,,
7:53.0,R. Vaughn makes 3-pt shot from 27 ft,3,80-101,,
7:26.0,,,80-103,2,D. West makes 2-pt shot from 7 ft
7:05.0,M. Brogdon makes 2-pt shot from 2 ft (assist by M. Dellavedova),2,82-103,,
7:04.0,,,82-103,,Golden State full timeout
7:04.0,,,82-103,,D. Green enters the game for A. Iguodala
6:49.0,,,82-103,,Turnover by D. Green (bad pass; steal by J. Henson)
6:41.0,R. Vaughn misses 3-pt shot from 25 ft,,82-103,,
6:40.0,,,82-103,,Defensive rebound by D. Green
6:23.0,,,82-103,,K. Thompson misses 2-pt shot from 3 ft (block by G. Antetokounmpo)
6:22.0,,,82-103,,Offensive rebound by K. Thompson
6:21.0,,,82-105,2,K. Thompson makes 2-pt shot from 8 ft
5:58.0,G. Antetokounmpo misses 2-pt shot from 10 ft,,82-105,,
5:57.0,,,82-105,,Defensive rebound by D. Green
5:47.0,,,82-105,,D. Green misses 2-pt shot from 2 ft (block by G. Antetokounmpo)
5:46.0,Defensive rebound by R. Vaughn,,82-105,,
5:41.0,Turnover by R. Vaughn (bad pass),,82-105,,
5:41.0,Milwaukee full timeout,,82-105,,
5:41.0,,,82-105,,S. Livingston enters the game for D. West
5:41.0,M. Teletovic enters the game for G. Antetokounmpo,,82-105,,
5:41.0,S. Hawes enters the game for J. Henson,,82-105,,
5:21.0,,,82-105,,M. Barnes misses 3-pt shot from 25 ft
5:19.0,Defensive rebound by R. Vaughn,,82-105,,
5:04.0,M. Teletovic makes 2-pt shot from 10 ft,2,84-105,,
4:47.0,,,84-105,,I. Clark misses 2-pt shot from 8 ft (block by R. Vaughn)
4:46.0,,,84-105,,Offensive rebound by I. Clark
4:41.0,,,84-108,3,K. Thompson makes 3-pt shot from 24 ft (assist by D. Green)
4:22.0,M. Brogdon makes 2-pt shot from 1 ft,2,86-108,,
4:05.0,,,86-110,2,I. Clark makes 2-pt shot from 1 ft (assist by D. Green)
4:05.0,,,86-110,,Shooting foul by M. Teletovic (drawn by I. Clark)
4:05.0,,,86-111,1,I. Clark makes free throw 1 of 1
4:05.0,,,86-110,,J. McAdoo enters the game for D. Green
4:05.0,,,86-110,,P. McCaw enters the game for K. Thompson
3:52.0,S. Hawes misses 2-pt shot from 10 ft,,86-111,,
3:51.0,,,86-111,,Defensive rebound by M. Barnes
3:42.0,,,86-111,,I. Clark misses 3-pt shot from 26 ft
3:41.0,Defensive rebound by R. Vaughn,,86-111,,
3:31.0,S. Hawes misses 3-pt shot from 27 ft,,86-111,,
3:31.0,,,86-111,,Defensive rebound by J. McAdoo
3:16.0,,,86-111,,S. Livingston misses 2-pt shot from 10 ft
3:15.0,Defensive rebound by S. Hawes,,86-111,,
3:06.0,S. Hawes misses 2-pt shot from 10 ft,,86-111,,
3:05.0,,,86-111,,Defensive rebound by M. Barnes
2:46.0,,,86-113,2,J. McAdoo makes 2-pt shot at rim (assist by P. McCaw)
2:30.0,M. Dellavedova makes 2-pt shot from 10 ft (assist by M. Brogdon),2,88-113,,
2:04.0,,,88-113,,S. Livingston misses 2-pt shot from 2 ft
2:04.0,Defensive rebound by M. Teletovic,,88-113,,
1:51.0,M. Teletovic misses 3-pt shot from 25 ft,,88-113,,
1:51.0,,,88-113,,Defensive rebound by J. McAdoo
1:27.0,,,88-113,,Turnover by Team (bad pass)
1:20.0,M. Brogdon makes 2-pt shot from 4 ft (assist by M. Dellavedova),2,90-113,,
1:11.0,,,90-113,,I. Clark misses 3-pt shot from 27 ft
1:10.0,Defensive rebound by R. Vaughn,,90-113,,
1:01.0,R. Vaughn misses 2-pt shot from 2 ft,,90-113,,
1:01.0,,,90-113,,Defensive rebound by M. Barnes
0:40.0,,,90-115,2,I. Clark makes 2-pt shot from 2 ft
0:32.0,Shooting foul by M. Barnes (drawn by M. Brogdon),,90-115,,
0:32.0,M. Brogdon makes free throw 1 of 2,1,91-115,,
0:32.0,M. Brogdon makes free throw 2 of 2,1,92-115,,
0:11.0,,,92-117,2,I. Clark makes 2-pt shot from 2 ft
0:00.0,End of 4th quarter,,,,End of 4th quarter
