time,Atlanta,pts.away,score,pts.home,Boston
5:14.0,,,37-38,2,A. Johnson makes 2-pt shot from 6 ft
4:59.0,T. Waller-Prince misses 2-pt shot from 2 ft (block by A. Johnson),,37-38,,
4:58.0,Offensive rebound by D. Howard,,37-38,,
4:57.0,D. Howard makes 2-pt shot from 1 ft,2,39-38,,
4:57.0,Shooting foul by J. Jerebko (drawn by D. Howard),,39-38,,
4:57.0,D. Howard makes free throw 1 of 1,1,40-38,,
4:57.0,,,39-38,,M. Smart enters the game for J. Jerebko
4:57.0,T. Sefolosha enters the game for T. Waller-Prince,,39-38,,
4:46.0,,,40-38,,I. Thomas misses 2-pt shot from 2 ft
4:45.0,Defensive rebound by D. Howard,,40-38,,
4:38.0,K. Bazemore misses 3-pt shot from 25 ft,,40-38,,
4:36.0,Offensive rebound by D. Howard,,40-38,,
4:32.0,Turnover by D. Howard (bad pass; steal by A. Bradley),,40-38,,
4:29.0,,,40-38,,Shooting foul by D. Schroder (drawn by I. Thomas)
4:29.0,,,40-39,1,I. Thomas makes free throw 1 of 2
4:29.0,,,40-40,1,I. Thomas makes free throw 2 of 2
4:14.0,P. Millsap misses 2-pt shot from 3 ft,,40-40,,
4:13.0,,,40-40,,Defensive rebound by A. Johnson
4:07.0,,,40-40,,I. Thomas misses 3-pt shot from 23 ft
4:06.0,,,40-40,,Offensive rebound by I. Thomas
4:03.0,,,40-40,,I. Thomas misses 2-pt shot from 1 ft
4:02.0,,,40-40,,Offensive rebound by J. Crowder
4:01.0,,,40-40,,J. Crowder misses 2-pt shot from 1 ft
3:59.0,Defensive rebound by K. Bazemore,,40-40,,
3:52.0,K. Bazemore misses 3-pt shot from 26 ft,,40-40,,
3:51.0,,,40-40,,Defensive rebound by I. Thomas
3:44.0,,,40-40,,J. Crowder misses 3-pt shot from 23 ft
3:43.0,Defensive rebound by T. Sefolosha,,40-40,,
3:29.0,Shooting foul by A. Johnson (drawn by D. Howard),,40-40,,
3:29.0,D. Howard makes free throw 1 of 2,1,41-40,,
3:29.0,D. Howard makes free throw 2 of 2,1,42-40,,
3:29.0,,,41-40,,A. Horford enters the game for A. Johnson
3:29.0,T. Waller-Prince enters the game for P. Millsap,,41-40,,
3:16.0,,,42-40,,Turnover by I. Thomas (lost ball; steal by T. Waller-Prince)
3:07.0,T. Sefolosha makes 2-pt shot from 1 ft (assist by D. Schroder),2,44-40,,
3:07.0,,,44-40,,Boston full timeout
2:57.0,,,44-40,,J. Crowder misses 3-pt shot from 25 ft
2:56.0,Defensive rebound by D. Schroder,,44-40,,
2:46.0,D. Schroder misses 2-pt shot from 2 ft,,44-40,,
2:45.0,,,44-40,,Defensive rebound by I. Thomas
2:36.0,,,44-40,,I. Thomas misses 2-pt shot from 12 ft
2:35.0,,,44-40,,Offensive rebound by M. Smart
2:35.0,,,44-40,,M. Smart misses 2-pt shot from 1 ft
2:33.0,Defensive rebound by T. Waller-Prince,,44-40,,
2:17.0,K. Bazemore misses 2-pt shot from 17 ft,,44-40,,
2:16.0,Offensive rebound by T. Waller-Prince,,44-40,,
2:13.0,T. Waller-Prince makes 2-pt shot from 5 ft,2,46-40,,
1:59.0,,,46-43,3,M. Smart makes 3-pt shot from 25 ft (assist by I. Thomas)
1:45.0,D. Schroder makes 2-pt shot from 18 ft,2,48-43,,
1:23.0,,,48-43,,Turnover by A. Horford (lost ball; steal by D. Schroder)
1:14.0,T. Sefolosha makes 3-pt shot from 23 ft (assist by D. Schroder),3,51-43,,
0:58.0,,,51-45,2,M. Smart makes 2-pt shot from 16 ft (assist by A. Horford)
0:35.0,T. Waller-Prince misses 2-pt shot from 15 ft,,51-45,,
0:34.0,Offensive rebound by D. Howard,,51-45,,
0:34.0,Shooting foul by A. Horford (drawn by D. Howard),,51-45,,
0:34.0,D. Howard misses free throw 1 of 2,,51-45,,
0:34.0,Offensive rebound by Team,,51-45,,
0:34.0,D. Howard misses free throw 2 of 2,,51-45,,
0:32.0,,,51-45,,Defensive rebound by M. Smart
0:20.0,,,51-47,2,I. Thomas makes 2-pt shot at rim (assist by A. Horford)
0:12.0,Atlanta full timeout,,51-47,,
0:12.0,P. Millsap enters the game for T. Sefolosha,,51-47,,
0:12.0,T. Hardaway enters the game for D. Howard,,51-47,,
0:12.0,,,51-47,,J. Brown enters the game for I. Thomas
0:01.0,P. Millsap misses 2-pt shot from 18 ft,,51-47,,
0:00.0,Offensive rebound by Team,,51-47,,
0:00.0,End of 2nd quarter,,,,End of 2nd quarter
12:00.0,Start of 3rd quarter,,,,Start of 3rd quarter
11:44.0,,,51-47,,Shooting foul by K. Bazemore (drawn by I. Thomas)
11:44.0,,,51-48,1,I. Thomas makes free throw 1 of 2
11:44.0,,,51-49,1,I. Thomas makes free throw 2 of 2
11:30.0,K. Bazemore misses 2-pt shot from 13 ft,,51-49,,
11:29.0,,,51-49,,Defensive rebound by J. Brown
11:13.0,,,51-52,3,J. Brown makes 3-pt shot from 24 ft (assist by I. Thomas)
10:52.0,P. Millsap makes 2-pt shot from 4 ft,2,53-52,,
10:46.0,,,53-52,,I. Thomas misses 2-pt shot from 1 ft
10:45.0,Defensive rebound by D. Howard,,53-52,,
10:32.0,D. Schroder makes 2-pt shot from 10 ft,2,55-52,,
10:12.0,,,55-52,,I. Thomas misses 3-pt shot from 24 ft
10:11.0,Defensive rebound by T. Sefolosha,,55-52,,
9:51.0,D. Howard misses 2-pt shot from 2 ft,,55-52,,
9:50.0,,,55-52,,Defensive rebound by A. Horford
9:43.0,,,55-52,,Shooting foul by D. Howard (drawn by I. Thomas)
9:43.0,,,55-53,1,I. Thomas makes free throw 1 of 2
9:43.0,,,55-54,1,I. Thomas makes free throw 2 of 2
9:31.0,Shooting foul by A. Horford (drawn by D. Howard),,55-54,,
9:31.0,Technical foul by D. Howard,,55-54,,
9:31.0,,,55-55,1,I. Thomas makes technical free throw
9:31.0,D. Howard misses free throw 1 of 2,,55-55,,
9:31.0,Offensive rebound by Team,,55-55,,
9:31.0,D. Howard makes free throw 2 of 2,1,56-55,,
9:16.0,,,56-57,2,J. Brown makes 2-pt shot at rim (assist by A. Horford)
8:56.0,D. Howard misses 2-pt shot from 2 ft,,56-57,,
8:56.0,,,56-57,,Defensive rebound by I. Thomas
8:51.0,,,56-57,,I. Thomas misses 2-pt shot from 1 ft
8:50.0,Defensive rebound by P. Millsap,,56-57,,
8:46.0,D. Schroder misses 3-pt shot from 25 ft,,56-57,,
8:45.0,Offensive rebound by Team,,56-57,,
8:45.0,,,56-57,,Loose ball foul by A. Horford (drawn by D. Howard)
8:45.0,,,56-57,,K. Olynyk enters the game for A. Horford
8:39.0,P. Millsap misses 3-pt shot from 24 ft,,56-57,,
8:38.0,,,56-57,,Defensive rebound by J. Crowder
8:31.0,,,56-57,,J. Crowder misses 3-pt shot from 25 ft
8:30.0,Defensive rebound by D. Howard,,56-57,,
8:21.0,P. Millsap makes 2-pt shot from 1 ft (assist by D. Schroder),2,58-57,,
8:07.0,Jump ball: P. Millsap vs. K. Olynyk (D. Howard gains possession),,,,Jump ball: P. Millsap vs. K. Olynyk (D. Howard gains possession)
8:07.0,,,58-57,,Turnover by K. Olynyk (lost ball; steal by K. Bazemore)
7:52.0,D. Schroder makes 2-pt shot from 21 ft,2,60-57,,
7:47.0,,,60-57,,I. Thomas misses 2-pt shot from 3 ft (block by K. Bazemore)
7:47.0,,,60-57,,Offensive rebound by Team
7:43.0,,,60-57,,Shooting foul by T. Sefolosha (drawn by I. Thomas)
7:43.0,,,60-58,1,I. Thomas makes free throw 1 of 2
7:43.0,,,60-59,1,I. Thomas makes free throw 2 of 2
7:23.0,T. Sefolosha makes 2-pt shot from 3 ft (assist by P. Millsap),2,62-59,,
7:12.0,Personal foul by T. Sefolosha (drawn by J. Crowder),,62-59,,
7:07.0,Shooting block foul by P. Millsap (drawn by A. Johnson),,62-59,,
7:07.0,,,62-59,,A. Johnson misses free throw 1 of 2
7:07.0,,,62-59,,Offensive rebound by Team
7:07.0,,,62-60,1,A. Johnson makes free throw 2 of 2
6:56.0,P. Millsap makes 2-pt shot from 8 ft,2,64-60,,
6:44.0,,,64-60,,I. Thomas misses 2-pt shot from 2 ft (block by D. Howard)
6:43.0,,,64-60,,Offensive rebound by I. Thomas
6:36.0,,,64-60,,Turnover by I. Thomas (bad pass)
6:20.0,D. Howard makes 2-pt shot from 1 ft,2,66-60,,
5:56.0,,,66-60,,J. Brown misses 3-pt shot from 26 ft
5:53.0,Defensive rebound by D. Schroder,,66-60,,
5:42.0,,,66-60,,Personal foul by J. Brown (drawn by D. Howard)
5:42.0,,,66-60,,Boston full timeout
5:42.0,,,66-60,,M. Smart enters the game for A. Johnson
5:36.0,Turnover by P. Millsap (bad pass; steal by K. Olynyk),,66-60,,
5:23.0,,,66-60,,K. Olynyk misses 3-pt shot from 24 ft
5:22.0,Defensive rebound by D. Schroder,,66-60,,
5:15.0,D. Schroder makes 2-pt shot from 1 ft,2,68-60,,
5:15.0,Shooting foul by K. Olynyk (drawn by D. Schroder),,68-60,,
5:15.0,D. Schroder makes free throw 1 of 1,1,69-60,,
4:56.0,Personal foul by K. Bazemore (drawn by J. Crowder),,69-60,,
4:56.0,,,69-61,1,J. Crowder makes free throw 1 of 2
4:56.0,,,69-61,,J. Crowder misses free throw 2 of 2
4:56.0,T. Hardaway enters the game for K. Bazemore,,69-61,,
4:56.0,,,69-61,,J. Jerebko enters the game for J. Brown
4:55.0,Defensive rebound by D. Howard,,69-61,,
4:39.0,T. Sefolosha makes 3-pt shot from 25 ft (assist by P. Millsap),3,72-61,,
4:27.0,,,72-64,3,M. Smart makes 3-pt shot from 23 ft (assist by I. Thomas)
4:05.0,D. Howard misses 2-pt shot from 1 ft (block by J. Crowder),,72-64,,
4:04.0,Offensive rebound by D. Howard,,72-64,,
4:03.0,D. Howard makes 2-pt shot from 1 ft,2,74-64,,
4:03.0,Technical foul by D. Howard,,74-64,,
4:03.0,,,74-65,1,I. Thomas makes technical free throw
4:03.0,E. Ilyasova enters the game for D. Howard,,74-65,,
3:50.0,,,74-65,,I. Thomas misses 2-pt shot from 3 ft (block by E. Ilyasova)
3:49.0,,,74-65,,Offensive rebound by Team
3:42.0,,,74-65,,M. Smart misses 3-pt shot from 25 ft
3:40.0,Defensive rebound by T. Hardaway,,74-65,,
3:34.0,P. Millsap misses 3-pt shot from 24 ft,,74-65,,
3:33.0,,,74-65,,Defensive rebound by Team
3:33.0,Loose ball foul by E. Ilyasova (drawn by J. Jerebko),,74-65,,
3:33.0,,,74-66,1,J. Jerebko makes free throw 1 of 2
3:33.0,,,74-67,1,J. Jerebko makes free throw 2 of 2
3:33.0,T. Waller-Prince enters the game for T. Sefolosha,,74-66,,
3:33.0,,,74-66,,T. Rozier enters the game for I. Thomas
3:19.0,D. Schroder makes 2-pt shot from 17 ft,2,76-67,,
3:02.0,,,76-69,2,T. Rozier makes 2-pt shot from 21 ft
2:51.0,Atlanta full timeout,,76-69,,
2:42.0,P. Millsap makes 2-pt shot at rim (assist by D. Schroder),2,78-69,,
2:25.0,,,78-69,,Turnover by K. Olynyk (lost ball)
2:25.0,M. Delaney enters the game for D. Schroder,,78-69,,
2:10.0,Turnover by P. Millsap (lost ball; steal by J. Jerebko),,78-69,,
2:03.0,,,78-69,,T. Rozier misses 2-pt shot from 2 ft (block by T. Waller-Prince)
2:02.0,,,78-69,,Offensive rebound by K. Olynyk
2:01.0,,,78-69,,K. Olynyk misses 2-pt shot from 1 ft
2:01.0,Defensive rebound by E. Ilyasova,,78-69,,
1:56.0,P. Millsap makes 2-pt shot from 3 ft (assist by M. Delaney),2,80-69,,
1:52.0,,,80-69,,Technical foul by K. Olynyk
1:52.0,M. Delaney makes technical free throw,1,81-69,,
1:52.0,,,81-69,,A. Horford enters the game for K. Olynyk
1:44.0,,,81-69,,M. Smart misses 3-pt shot from 25 ft
1:43.0,Defensive rebound by E. Ilyasova,,81-69,,
1:35.0,T. Hardaway makes 3-pt shot from 25 ft (assist by M. Delaney),3,84-69,,
1:17.0,,,84-69,,T. Rozier misses 2-pt shot from 1 ft
1:16.0,Defensive rebound by P. Millsap,,84-69,,
1:05.0,P. Millsap misses 2-pt shot from 2 ft (block by A. Horford),,84-69,,
1:04.0,,,84-69,,Defensive rebound by Team
1:04.0,Loose ball foul by P. Millsap (drawn by M. Smart),,84-69,,
1:04.0,,,84-70,1,M. Smart makes free throw 1 of 2
1:04.0,,,84-71,1,M. Smart makes free throw 2 of 2
1:04.0,,,84-70,,J. Brown enters the game for J. Crowder
0:49.0,E. Ilyasova misses 2-pt shot from 17 ft,,84-71,,
0:49.0,,,84-71,,Defensive rebound by A. Horford
0:31.0,,,84-71,,M. Smart misses 2-pt shot from 8 ft
0:29.0,Defensive rebound by T. Hardaway,,84-71,,
0:09.0,E. Ilyasova misses 3-pt shot from 26 ft,,84-71,,
0:08.0,,,84-71,,Defensive rebound by J. Jerebko
0:00.0,,,84-71,,M. Smart misses 3-pt shot from 25 ft
0:00.0,,,84-71,,Offensive rebound by Team
0:00.0,End of 3rd quarter,,,,End of 3rd quarter
12:00.0,Start of 4th quarter,,,,Start of 4th quarter
11:43.0,P. Millsap misses 2-pt shot from 11 ft,,84-71,,
11:42.0,,,84-71,,Defensive rebound by J. Jerebko
11:22.0,,,84-71,,Turnover by M. Smart (bad pass; steal by T. Hardaway)
11:15.0,T. Hardaway makes 2-pt shot from 1 ft (assist by T. Waller-Prince),2,86-71,,
11:02.0,,,86-71,,T. Rozier misses 2-pt shot from 7 ft
11:01.0,,,86-71,,Offensive rebound by T. Rozier
11:00.0,,,86-71,,T. Rozier misses 2-pt shot from 2 ft (block by M. Muscala)
10:58.0,Defensive rebound by M. Delaney,,86-71,,
10:54.0,T. Hardaway misses 3-pt shot from 25 ft,,86-71,,
10:52.0,,,86-71,,Defensive rebound by T. Rozier
10:45.0,Personal foul by M. Delaney (drawn by M. Smart),,86-71,,
10:45.0,E. Ilyasova enters the game for P. Millsap,,86-71,,
10:33.0,,,86-71,,M. Smart misses 2-pt shot from 2 ft
10:32.0,Defensive rebound by M. Muscala,,86-71,,
10:21.0,E. Ilyasova misses 2-pt shot from 2 ft,,86-71,,
10:20.0,Offensive rebound by E. Ilyasova,,86-71,,
10:19.0,,,86-71,,Violation by A. Horford (def goaltending)
10:19.0,E. Ilyasova makes 2-pt shot at rim,2,88-71,,
10:01.0,,,88-73,2,J. Brown makes 2-pt shot from 17 ft
9:49.0,T. Hardaway misses 3-pt shot from 26 ft,,88-73,,
9:47.0,Offensive rebound by T. Waller-Prince,,88-73,,
9:35.0,T. Hardaway makes 2-pt shot from 2 ft,2,90-73,,
9:11.0,,,90-75,2,M. Smart makes 2-pt shot from 2 ft (assist by J. Jerebko)
8:55.0,M. Delaney misses 2-pt shot from 18 ft,,90-75,,
8:54.0,,,90-75,,Defensive rebound by T. Rozier
8:47.0,,,90-75,,Turnover by T. Rozier (bad pass; steal by M. Delaney)
8:42.0,T. Waller-Prince makes 2-pt shot at rim (assist by M. Delaney),2,92-75,,
8:42.0,,,92-75,,Boston full timeout
8:42.0,,,92-75,,I. Thomas enters the game for M. Smart
8:42.0,,,92-75,,T. Zeller enters the game for J. Jerebko
8:31.0,Personal foul by E. Ilyasova (drawn by A. Horford),,92-75,,
8:21.0,,,92-75,,Offensive foul by A. Horford
8:21.0,,,92-75,,Turnover by A. Horford (offensive foul)
8:10.0,M. Muscala misses 3-pt shot from 25 ft,,92-75,,
8:09.0,,,92-75,,Defensive rebound by A. Horford
7:53.0,,,92-77,2,T. Rozier makes 2-pt shot from 1 ft (assist by T. Zeller)
7:35.0,D. Schroder enters the game for M. Delaney,,92-77,,
7:35.0,P. Millsap enters the game for E. Ilyasova,,92-77,,
7:29.0,T. Hardaway makes 3-pt shot from 26 ft (assist by M. Muscala),3,95-77,,
