time,Dallas,pts.away,score,pts.home,Minnesota
7:02.0,,,25-44,,Z. LaVine misses 2-pt shot from 2 ft (block by S. Curry)
6:59.0,Defensive rebound by W. Matthews,,25-44,,
6:59.0,,,25-44,,Personal foul by N. Bjelica (drawn by W. Matthews)
6:55.0,Offensive foul by W. Matthews,,25-44,,
6:55.0,Turnover by W. Matthews (offensive foul),,25-44,,
6:55.0,,,25-44,,K. Towns enters the game for N. Bjelica
6:55.0,Violation by Team (jump ball),,25-44,,
6:33.0,,,25-44,,Turnover by K. Dunn (traveling)
6:22.0,Turnover by D. Williams (bad pass; steal by Z. LaVine),,25-44,,
6:16.0,,,25-46,2,S. Muhammad makes 2-pt shot from 21 ft (assist by Z. LaVine)
5:52.0,D. Williams makes 3-pt shot from 24 ft (assist by W. Matthews),3,28-46,,
5:39.0,,,28-46,,Minnesota full timeout
5:39.0,,,28-46,,A. Wiggins enters the game for S. Muhammad
5:39.0,S. Mejri enters the game for A. Bogut,,28-46,,
5:34.0,,,28-46,,A. Wiggins misses 2-pt shot from 15 ft
5:33.0,Defensive rebound by S. Mejri,,28-46,,
5:12.0,D. Williams misses 3-pt shot from 25 ft,,28-46,,
5:11.0,,,28-46,,Defensive rebound by Z. LaVine
5:02.0,,,28-46,,Offensive charge foul by K. Towns
5:02.0,,,28-46,,Turnover by K. Towns (offensive foul)
4:48.0,W. Matthews makes 2-pt shot from 22 ft,2,30-46,,
4:30.0,,,30-48,2,K. Towns makes 2-pt shot from 3 ft (assist by K. Dunn)
4:17.0,D. Williams makes 2-pt shot from 17 ft,2,32-48,,
3:53.0,,,32-48,,A. Wiggins misses 2-pt shot from 22 ft
3:52.0,,,32-48,,Offensive rebound by K. Towns
3:49.0,,,32-48,,K. Towns misses 2-pt shot from 19 ft
3:48.0,Defensive rebound by S. Curry,,32-48,,
3:40.0,S. Curry makes 2-pt shot from 5 ft (assist by W. Matthews),2,34-48,,
3:34.0,,,34-48,,Minnesota full timeout
3:34.0,,,34-48,,R. Rubio enters the game for K. Dunn
3:34.0,D. Nowitzki enters the game for S. Mejri,,34-48,,
3:15.0,,,34-48,,R. Rubio misses 3-pt shot from 25 ft
3:14.0,,,34-48,,Offensive rebound by Team
3:14.0,Loose ball foul by D. Nowitzki (drawn by G. Dieng),,34-48,,
3:07.0,,,34-48,,Z. LaVine misses 3-pt shot from 24 ft
3:06.0,Defensive rebound by H. Barnes,,34-48,,
2:54.0,H. Barnes makes 3-pt shot from 25 ft (assist by D. Nowitzki),3,37-48,,
2:36.0,Personal block foul by H. Barnes (drawn by K. Towns),,37-48,,
2:34.0,,,37-48,,Offensive foul by A. Wiggins
2:34.0,,,37-48,,Turnover by A. Wiggins (offensive foul)
2:16.0,D. Nowitzki makes 3-pt shot from 25 ft (assist by H. Barnes),3,40-48,,
2:06.0,Personal foul by D. Williams (drawn by R. Rubio),,40-48,,
2:06.0,,,40-49,1,R. Rubio makes free throw 1 of 2
2:06.0,,,40-50,1,R. Rubio makes free throw 2 of 2
1:48.0,D. Nowitzki makes 3-pt shot from 24 ft (assist by D. Williams),3,43-50,,
1:32.0,,,43-52,2,K. Towns makes 2-pt shot from 7 ft (assist by R. Rubio)
1:10.0,W. Matthews misses 3-pt shot from 24 ft,,43-52,,
1:09.0,,,43-52,,Defensive rebound by Z. LaVine
0:52.0,,,43-54,2,A. Wiggins makes 2-pt shot from 1 ft (assist by K. Towns)
0:37.0,D. Nowitzki makes 3-pt shot from 24 ft (assist by D. Williams),3,46-54,,
0:30.0,,,46-54,,Turnover by G. Dieng (lost ball)
0:30.0,,,46-54,,N. Bjelica enters the game for G. Dieng
0:12.0,D. Nowitzki misses 3-pt shot from 25 ft,,46-54,,
0:11.0,,,46-54,,Defensive rebound by N. Bjelica
0:00.0,End of 2nd quarter,,,,End of 2nd quarter
12:00.0,Start of 3rd quarter,,,,Start of 3rd quarter
11:40.0,,,46-56,2,A. Wiggins makes 2-pt shot from 2 ft (assist by Z. LaVine)
11:40.0,,,46-56,,Shooting foul by D. Nowitzki (drawn by A. Wiggins)
11:40.0,,,46-57,1,A. Wiggins makes free throw 1 of 1
11:20.0,S. Curry misses 2-pt shot from 16 ft,,46-57,,
11:19.0,,,46-57,,Defensive rebound by K. Towns
11:08.0,,,46-59,2,G. Dieng makes 2-pt shot from 15 ft (assist by R. Rubio)
10:54.0,D. Nowitzki misses 3-pt shot from 24 ft,,46-59,,
10:53.0,Offensive rebound by S. Curry,,46-59,,
10:43.0,H. Barnes makes 2-pt shot from 20 ft (assist by D. Nowitzki),2,48-59,,
10:26.0,,,48-61,2,K. Towns makes 2-pt shot from 6 ft (assist by Z. LaVine)
10:13.0,D. Williams misses 2-pt shot from 1 ft,,48-61,,
10:12.0,,,48-61,,Defensive rebound by K. Towns
10:07.0,,,48-63,2,R. Rubio makes 2-pt shot from 1 ft
10:07.0,Dallas full timeout,,48-63,,
10:01.0,,,48-63,,Personal foul by G. Dieng (drawn by D. Nowitzki)
9:55.0,H. Barnes makes 3-pt shot from 25 ft (assist by W. Matthews),3,51-63,,
9:39.0,,,51-65,2,G. Dieng makes 2-pt shot from 20 ft (assist by R. Rubio)
9:25.0,W. Matthews misses 3-pt shot from 24 ft,,51-65,,
9:24.0,,,51-65,,Defensive rebound by K. Towns
9:08.0,,,51-67,2,K. Towns makes 2-pt shot from 7 ft (assist by R. Rubio)
8:51.0,H. Barnes misses 2-pt shot from 19 ft,,51-67,,
8:50.0,,,51-67,,Defensive rebound by R. Rubio
8:42.0,,,51-67,,R. Rubio misses 2-pt shot from 16 ft
8:41.0,,,51-67,,Offensive rebound by G. Dieng
8:24.0,,,51-67,,G. Dieng misses 2-pt shot from 17 ft
8:23.0,Defensive rebound by D. Williams,,51-67,,
8:11.0,D. Nowitzki makes 2-pt shot from 14 ft (assist by D. Williams),2,53-67,,
8:11.0,Shooting foul by R. Rubio (drawn by D. Nowitzki),,53-67,,
8:11.0,D. Nowitzki misses free throw 1 of 1,,53-67,,
8:10.0,,,53-67,,Defensive rebound by K. Towns
7:55.0,,,53-67,,G. Dieng misses 2-pt shot from 1 ft
7:54.0,,,53-67,,Offensive rebound by G. Dieng
7:53.0,,,53-67,,Shooting foul by H. Barnes (drawn by G. Dieng)
7:53.0,,,53-67,,G. Dieng misses free throw 1 of 2
