time,Brooklyn,pts.away,score,pts.home,Milwaukee
6:28.0,Offensive charge foul by J. Hamilton,,28-33,,
6:28.0,Turnover by J. Hamilton (offensive foul),,28-33,,
6:11.0,,,28-35,2,M. Brogdon makes 2-pt shot from 20 ft
5:56.0,Turnover by R. Hollis-Jefferson (bad pass),,28-35,,
5:56.0,B. Lopez enters the game for J. Hamilton,,28-35,,
5:56.0,A. Bennett enters the game for L. Scola,,28-35,,
5:56.0,,,28-35,,T. Snell enters the game for M. Brogdon
5:56.0,,,28-35,,J. Parker enters the game for J. Terry
5:56.0,,,28-35,,M. Dellavedova enters the game for M. Teletovic
5:37.0,,,28-35,,Turnover by G. Monroe (lost ball; steal by R. Hollis-Jefferson)
5:26.0,B. Lopez misses 2-pt shot from 17 ft,,28-35,,
5:25.0,,,28-35,,Defensive rebound by G. Antetokounmpo
5:18.0,,,28-35,,J. Parker misses 2-pt shot from 18 ft
5:17.0,Defensive rebound by R. Foye,,28-35,,
5:08.0,B. Bogdanovic makes 2-pt shot from 1 ft (assist by B. Lopez),2,30-35,,
4:55.0,,,30-35,,Turnover by T. Snell (lost ball; steal by R. Hollis-Jefferson)
4:49.0,B. Bogdanovic makes 3-pt shot from 25 ft (assist by R. Hollis-Jefferson),3,33-35,,
4:49.0,,,33-35,,Milwaukee full timeout
4:49.0,J. Harris enters the game for B. Bogdanovic,,33-35,,
4:49.0,S. Kilpatrick enters the game for R. Hollis-Jefferson,,33-35,,
4:49.0,,,33-35,,J. Henson enters the game for G. Monroe
4:43.0,Personal foul by R. Foye (drawn by G. Antetokounmpo),,33-35,,
4:38.0,,,33-37,2,J. Henson makes 2-pt shot from 6 ft (assist by T. Snell)
4:38.0,,,33-37,,Shooting foul by B. Lopez (drawn by J. Henson)
4:38.0,,,33-38,1,J. Henson makes free throw 1 of 1
4:20.0,B. Lopez misses 2-pt shot from 2 ft (block by G. Antetokounmpo),,33-38,,
4:17.0,,,33-38,,Defensive rebound by J. Parker
3:58.0,,,33-40,2,M. Dellavedova makes 2-pt shot from 1 ft
3:37.0,,,33-40,,Personal foul by G. Antetokounmpo (drawn by B. Lopez)
3:24.0,B. Lopez misses 2-pt shot from 6 ft,,33-40,,
3:23.0,,,33-40,,Defensive rebound by J. Henson
3:17.0,,,33-40,,Turnover by M. Dellavedova (lost ball; steal by B. Lopez)
3:17.0,,,33-40,,Loose ball foul by G. Antetokounmpo (drawn by J. Harris)
3:12.0,Shooting foul by J. Henson (drawn by B. Lopez),,33-40,,
3:12.0,B. Lopez misses free throw 1 of 2,,33-40,,
3:12.0,Offensive rebound by Team,,33-40,,
3:12.0,B. Lopez makes free throw 2 of 2,1,34-40,,
2:57.0,,,34-42,2,G. Antetokounmpo makes 2-pt shot from 16 ft
2:47.0,,,34-42,,Personal foul by G. Antetokounmpo (drawn by A. Bennett)
2:47.0,A. Bennett makes free throw 1 of 2,1,35-42,,
2:47.0,A. Bennett misses free throw 2 of 2,,35-42,,
2:47.0,,,35-42,,M. Beasley enters the game for G. Antetokounmpo
2:45.0,,,35-42,,Defensive rebound by J. Parker
2:32.0,,,35-42,,Shooting foul by A. Bennett (drawn by M. Dellavedova)
2:32.0,,,35-43,1,M. Dellavedova makes free throw 1 of 2
2:32.0,,,35-44,1,M. Dellavedova makes free throw 2 of 2
2:22.0,R. Foye makes 3-pt shot from 26 ft,3,38-44,,
2:11.0,,,38-44,,J. Parker misses 2-pt shot from 16 ft
2:10.0,Defensive rebound by A. Bennett,,38-44,,
2:03.0,J. Harris misses 3-pt shot from 25 ft,,38-44,,
2:01.0,,,38-44,,Defensive rebound by T. Snell
1:53.0,,,38-46,2,T. Snell makes 2-pt shot from 1 ft (assist by M. Dellavedova)
1:38.0,R. Foye makes 2-pt shot from 2 ft,2,40-46,,
1:27.0,,,40-48,2,J. Parker makes 2-pt shot at rim (assist by J. Henson)
1:08.0,R. Foye misses 3-pt shot from 24 ft,,40-48,,
1:07.0,Offensive rebound by A. Bennett,,40-48,,
1:04.0,B. Lopez misses 3-pt shot from 26 ft,,40-48,,
1:02.0,Offensive rebound by B. Lopez,,40-48,,
0:48.0,S. Kilpatrick misses 2-pt shot from 1 ft,,40-48,,
0:45.0,,,40-48,,Defensive rebound by J. Henson
0:37.0,,,40-50,2,M. Beasley makes 2-pt shot from 6 ft (assist by M. Dellavedova)
0:27.0,J. Harris misses 3-pt shot from 27 ft,,40-50,,
0:26.0,,,40-50,,Defensive rebound by T. Snell
0:03.0,,,40-50,,Turnover by Team (shot clock)
0:00.0,B. Lopez misses 3-pt shot from 37 ft,,40-50,,
0:00.0,Offensive rebound by Team,,40-50,,
0:00.0,End of 2nd quarter,,,,End of 2nd quarter
12:00.0,Start of 3rd quarter,,,,Start of 3rd quarter
11:46.0,Personal foul by B. Lopez (drawn by J. Henson),,40-50,,
11:41.0,,,40-53,3,G. Antetokounmpo makes 3-pt shot from 26 ft (assist by J. Henson)
11:31.0,,,40-53,,Personal foul by J. Henson (drawn by B. Lopez)
11:26.0,B. Bogdanovic makes 2-pt shot from 1 ft (assist by B. Lopez),2,42-53,,
11:10.0,,,42-53,,J. Parker misses 3-pt shot from 26 ft
11:09.0,Defensive rebound by S. Kilpatrick,,42-53,,
10:55.0,Turnover by B. Lopez (lost ball; steal by J. Henson),,42-53,,
10:50.0,,,42-55,2,J. Parker makes 2-pt shot at rim (assist by G. Antetokounmpo)
10:37.0,Turnover by B. Lopez (traveling),,42-55,,
10:27.0,,,42-55,,J. Parker misses 2-pt shot at rim (block by B. Lopez)
10:24.0,,,42-55,,Offensive rebound by G. Antetokounmpo
10:22.0,,,42-57,2,J. Henson makes 2-pt shot at rim (assist by G. Antetokounmpo)
10:14.0,S. Kilpatrick misses 3-pt shot from 24 ft,,42-57,,
10:12.0,Offensive rebound by A. Bennett,,42-57,,
10:12.0,A. Bennett makes 2-pt shot at rim,2,44-57,,
9:56.0,,,44-57,,T. Snell misses 3-pt shot from 24 ft
9:55.0,Defensive rebound by A. Bennett,,44-57,,
9:49.0,I. Whitehead makes 2-pt shot from 17 ft,2,46-57,,
9:31.0,,,46-57,,J. Henson misses 2-pt shot from 1 ft
9:29.0,Defensive rebound by B. Lopez,,46-57,,
9:20.0,S. Kilpatrick misses 3-pt shot from 26 ft,,46-57,,
9:19.0,,,46-57,,Defensive rebound by G. Antetokounmpo
8:59.0,,,46-57,,G. Antetokounmpo misses 2-pt shot from 5 ft
8:58.0,,,46-57,,Offensive rebound by J. Henson
8:52.0,,,46-57,,M. Dellavedova misses 2-pt shot from 20 ft
8:51.0,,,46-57,,Offensive rebound by M. Dellavedova
8:48.0,,,46-60,3,T. Snell makes 3-pt shot from 26 ft (assist by M. Dellavedova)
8:48.0,Brooklyn full timeout,,46-60,,
8:42.0,Offensive foul by A. Bennett,,46-60,,
8:42.0,Turnover by A. Bennett (offensive foul),,46-60,,
8:31.0,,,46-60,,T. Snell misses 2-pt shot from 16 ft
8:29.0,Defensive rebound by A. Bennett,,46-60,,
8:19.0,Turnover by I. Whitehead (bad pass; steal by J. Parker),,46-60,,
8:12.0,,,46-62,2,T. Snell makes 2-pt shot from 8 ft (assist by M. Dellavedova)
7:53.0,S. Kilpatrick makes 2-pt shot at rim (assist by B. Bogdanovic),2,48-62,,
7:36.0,,,48-62,,J. Henson misses 2-pt shot from 1 ft (block by B. Lopez)
7:33.0,Defensive rebound by I. Whitehead,,48-62,,
7:33.0,Shooting foul by T. Snell (drawn by S. Kilpatrick),,48-62,,
7:33.0,S. Kilpatrick makes free throw 1 of 2,1,49-62,,
7:33.0,S. Kilpatrick makes free throw 2 of 2,1,50-62,,
7:33.0,J. Hamilton enters the game for B. Lopez,,49-62,,
7:33.0,J. Harris enters the game for B. Bogdanovic,,49-62,,
7:19.0,,,50-62,,M. Dellavedova misses 2-pt shot from 9 ft
7:16.0,Defensive rebound by A. Bennett,,50-62,,
7:12.0,Shooting foul by J. Parker (drawn by S. Kilpatrick),,50-62,,
7:12.0,S. Kilpatrick makes free throw 1 of 2,1,51-62,,
7:12.0,S. Kilpatrick makes free throw 2 of 2,1,52-62,,
6:50.0,,,52-64,2,J. Henson makes 2-pt shot from 2 ft (assist by J. Parker)
6:41.0,I. Whitehead makes 2-pt shot from 1 ft,2,54-64,,
6:30.0,,,54-66,2,J. Parker makes 2-pt shot from 5 ft
6:30.0,,,54-66,,Shooting foul by A. Bennett (drawn by J. Parker)
6:30.0,,,54-66,,J. Parker misses free throw 1 of 1
6:29.0,Defensive rebound by J. Harris,,54-66,,
6:24.0,Shooting foul by T. Snell (drawn by S. Kilpatrick),,54-66,,
6:24.0,S. Kilpatrick makes free throw 1 of 2,1,55-66,,
6:24.0,S. Kilpatrick makes free throw 2 of 2,1,56-66,,
6:04.0,,,56-68,2,G. Antetokounmpo makes 2-pt shot at rim (assist by M. Dellavedova)
5:47.0,A. Bennett misses 3-pt shot from 23 ft,,56-68,,
5:45.0,,,56-68,,Defensive rebound by J. Parker
5:43.0,Personal foul by I. Whitehead (drawn by J. Parker),,56-68,,
5:39.0,,,56-68,,Turnover by G. Antetokounmpo (lost ball)
5:29.0,S. Kilpatrick misses 3-pt shot from 26 ft,,56-68,,
5:28.0,,,56-68,,Defensive rebound by J. Henson
5:18.0,,,56-68,,Offensive foul by J. Henson
5:18.0,,,56-68,,Turnover by J. Henson (offensive foul)
5:18.0,,,56-68,,M. Brogdon enters the game for M. Dellavedova
5:18.0,,,56-68,,G. Monroe enters the game for J. Henson
5:04.0,S. Kilpatrick makes 3-pt shot from 26 ft (assist by A. Bennett),3,59-68,,
4:45.0,,,59-68,,T. Snell misses 3-pt shot from 23 ft
4:44.0,Defensive rebound by I. Whitehead,,59-68,,
4:41.0,Shooting foul by T. Snell (drawn by S. Kilpatrick),,59-68,,
4:41.0,S. Kilpatrick makes free throw 1 of 2,1,60-68,,
4:41.0,S. Kilpatrick makes free throw 2 of 2,1,61-68,,
4:41.0,,,60-68,,J. Terry enters the game for T. Snell
4:41.0,R. Hollis-Jefferson enters the game for A. Bennett,,60-68,,
4:24.0,,,61-68,,Turnover by G. Antetokounmpo (lost ball)
4:12.0,J. Hamilton misses 3-pt shot from 23 ft,,61-68,,
4:10.0,Offensive rebound by Team,,61-68,,
3:55.0,S. Kilpatrick misses 2-pt shot from 4 ft,,61-68,,
3:54.0,Offensive rebound by Team,,61-68,,
3:51.0,R. Hollis-Jefferson misses 3-pt shot from 23 ft,,61-68,,
3:46.0,,,61-68,,Defensive rebound by G. Antetokounmpo
3:41.0,,,61-68,,G. Antetokounmpo misses 3-pt shot from 26 ft
3:40.0,Defensive rebound by R. Hollis-Jefferson,,61-68,,
3:31.0,J. Hamilton misses 2-pt shot at rim (block by G. Antetokounmpo),,61-68,,
3:31.0,Offensive rebound by Team,,61-68,,
3:31.0,B. Lopez enters the game for J. Hamilton,,61-68,,
3:31.0,R. Foye enters the game for I. Whitehead,,61-68,,
3:31.0,,,61-68,,Milwaukee full timeout
3:31.0,,,61-68,,M. Teletovic enters the game for G. Antetokounmpo
3:31.0,,,61-68,,M. Beasley enters the game for J. Parker
3:28.0,S. Kilpatrick misses 2-pt shot from 21 ft,,61-68,,
3:27.0,,,61-68,,Defensive rebound by J. Terry
3:09.0,,,61-68,,M. Brogdon misses 2-pt shot from 6 ft
3:08.0,Defensive rebound by R. Hollis-Jefferson,,61-68,,
2:59.0,J. Harris makes 3-pt shot from 25 ft (assist by R. Hollis-Jefferson),3,64-68,,
2:51.0,B. Bogdanovic enters the game for S. Kilpatrick,,64-68,,
2:43.0,,,64-68,,J. Terry misses 3-pt shot from 27 ft
2:43.0,Defensive rebound by Team,,64-68,,
2:32.0,B. Bogdanovic misses 3-pt shot from 26 ft,,64-68,,
2:31.0,,,64-68,,Defensive rebound by M. Teletovic
2:15.0,,,64-68,,G. Monroe misses 2-pt shot from 1 ft (block by R. Hollis-Jefferson)
2:12.0,,,64-68,,Offensive rebound by G. Monroe
2:11.0,,,64-70,2,G. Monroe makes 2-pt shot from 1 ft
2:00.0,J. Harris makes 2-pt shot at rim (assist by B. Lopez),2,66-70,,
1:43.0,,,66-70,,J. Terry misses 2-pt shot from 13 ft
1:42.0,Defensive rebound by R. Hollis-Jefferson,,66-70,,
1:36.0,Shooting foul by M. Beasley (drawn by B. Bogdanovic),,66-70,,
1:36.0,B. Bogdanovic makes free throw 1 of 2,1,67-70,,
1:36.0,B. Bogdanovic makes free throw 2 of 2,1,68-70,,
1:13.0,,,68-72,2,G. Monroe makes 2-pt shot from 3 ft (assist by M. Brogdon)
1:01.0,B. Bogdanovic misses 2-pt shot from 2 ft (block by G. Monroe),,68-72,,
0:59.0,,,68-72,,Defensive rebound by G. Monroe
0:46.0,,,68-75,3,J. Terry makes 3-pt shot from 24 ft (assist by M. Teletovic)
0:36.0,B. Lopez makes 3-pt shot from 26 ft (assist by R. Hollis-Jefferson),3,71-75,,
0:18.0,,,71-75,,G. Monroe misses 2-pt shot from 17 ft
0:17.0,Defensive rebound by R. Hollis-Jefferson,,71-75,,
0:03.0,,,71-75,,Personal block foul by G. Monroe (drawn by B. Bogdanovic)
0:03.0,B. Bogdanovic misses free throw 1 of 2,,71-75,,
0:03.0,Offensive rebound by Team,,71-75,,
0:03.0,B. Bogdanovic makes free throw 2 of 2,1,72-75,,
0:03.0,I. Whitehead enters the game for B. Lopez,,71-75,,
0:00.0,,,72-75,,M. Brogdon misses 3-pt shot from 38 ft
0:00.0,,,72-75,,Offensive rebound by Team
0:00.0,End of 3rd quarter,,,,End of 3rd quarter
12:00.0,Start of 4th quarter,,,,Start of 4th quarter
11:49.0,Shooting foul by J. Terry (drawn by B. Lopez),,72-75,,
11:49.0,B. Lopez makes free throw 1 of 2,1,73-75,,
11:49.0,B. Lopez makes free throw 2 of 2,1,74-75,,
11:35.0,,,74-75,,Turnover by M. Beasley (lost ball; steal by R. Hollis-Jefferson)
11:33.0,Shooting foul by M. Beasley (drawn by R. Hollis-Jefferson),,74-75,,
11:33.0,R. Hollis-Jefferson misses free throw 1 of 2,,74-75,,
11:33.0,Offensive rebound by Team,,74-75,,
11:33.0,R. Hollis-Jefferson misses free throw 2 of 2,,74-75,,
11:33.0,,,74-75,,Defensive rebound by Team
11:33.0,Loose ball foul by B. Lopez (drawn by G. Monroe),,74-75,,
11:33.0,L. Scola enters the game for B. Lopez,,74-75,,
11:20.0,,,74-75,,M. Teletovic misses 3-pt shot from 26 ft
11:19.0,,,74-75,,Offensive rebound by G. Monroe
11:18.0,,,74-77,2,G. Monroe makes 2-pt shot from 1 ft
11:18.0,,,74-77,,Shooting foul by L. Scola (drawn by G. Monroe)
11:18.0,,,74-78,1,G. Monroe makes free throw 1 of 1
11:08.0,J. Harris misses 2-pt shot from 1 ft,,74-78,,
11:07.0,Offensive rebound by L. Scola,,74-78,,
11:07.0,L. Scola makes 2-pt shot from 1 ft,2,76-78,,
10:48.0,,,76-78,,G. Monroe misses 2-pt shot from 16 ft
10:47.0,Defensive rebound by R. Foye,,76-78,,
10:35.0,J. Harris makes 3-pt shot from 26 ft,3,79-78,,
10:20.0,,,79-81,3,M. Teletovic makes 3-pt shot from 27 ft (assist by M. Brogdon)
10:00.0,J. Harris makes 3-pt shot from 24 ft (assist by R. Foye),3,82-81,,
9:48.0,,,82-81,,Shooting foul by R. Hollis-Jefferson (drawn by G. Monroe)
9:48.0,,,82-82,1,G. Monroe makes free throw 1 of 2
9:48.0,,,82-83,1,G. Monroe makes free throw 2 of 2
9:31.0,L. Scola misses 3-pt shot from 23 ft,,82-83,,
9:30.0,,,82-83,,Defensive rebound by M. Teletovic
9:20.0,,,82-85,2,M. Beasley makes 2-pt shot from 7 ft
9:00.0,R. Hollis-Jefferson makes 2-pt shot from 1 ft,2,84-85,,
