time,Utah,pts.away,score,pts.home,Philadelphia
8:06.0,,,7-5,,Offensive rebound by S. Rodriguez
8:00.0,,,7-8,3,G. Henderson makes 3-pt shot from 25 ft (assist by S. Rodriguez)
7:44.0,S. Mack misses 2-pt shot from 8 ft,,7-8,,
7:41.0,Offensive rebound by D. Favors,,7-8,,
7:32.0,Turnover by G. Hayward (lost ball; steal by G. Henderson),,7-8,,
7:27.0,,,7-8,,G. Henderson misses 2-pt shot from 3 ft
7:24.0,Defensive rebound by D. Favors,,7-8,,
7:24.0,Shooting foul by J. Embiid (drawn by R. Gobert),,7-8,,
7:24.0,R. Gobert makes free throw 1 of 2,1,8-8,,
7:24.0,R. Gobert makes free throw 2 of 2,1,9-8,,
7:24.0,,,7-8,,J. Okafor enters the game for J. Embiid
7:10.0,,,9-11,3,R. Covington makes 3-pt shot from 25 ft (assist by S. Rodriguez)
6:42.0,D. Favors makes 2-pt shot from 6 ft (assist by S. Mack),2,11-11,,
6:27.0,,,11-11,,S. Rodriguez misses 3-pt shot from 26 ft
6:25.0,Defensive rebound by R. Gobert,,11-11,,
6:17.0,G. Hayward misses 2-pt shot from 3 ft,,11-11,,
6:15.0,,,11-11,,Defensive rebound by R. Covington
6:04.0,,,11-13,2,J. Okafor makes 2-pt shot from 4 ft
6:04.0,Utah full timeout,,11-13,,
6:04.0,,,11-13,,E. Ilyasova enters the game for G. Henderson
6:04.0,,,11-13,,N. Stauskas enters the game for D. Saric
5:58.0,Turnover by S. Mack (lost ball; steal by S. Rodriguez),,11-13,,
5:53.0,,,11-13,,Shooting foul by D. Favors (drawn by R. Covington)
5:53.0,,,11-14,1,R. Covington makes free throw 1 of 2
5:53.0,,,11-14,,R. Covington misses free throw 2 of 2
5:53.0,J. Ingles enters the game for R. Hood,,11-14,,
5:51.0,Defensive rebound by R. Gobert,,11-14,,
5:36.0,D. Favors makes 2-pt shot from 17 ft (assist by J. Ingles),2,13-14,,
5:18.0,,,13-16,2,S. Rodriguez makes 2-pt shot from 17 ft
5:04.0,,,13-16,,Personal foul by R. Covington (drawn by R. Gobert)
5:04.0,,,13-16,,T. McConnell enters the game for S. Rodriguez
5:04.0,D. Exum enters the game for D. Favors,,13-16,,
5:04.0,T. Lyles enters the game for S. Mack,,13-16,,
5:03.0,,,13-16,,H. Thompson enters the game for R. Covington
4:55.0,R. Gobert makes 2-pt shot at rim (assist by G. Hayward),2,15-16,,
4:45.0,,,15-16,,Turnover by E. Ilyasova (bad pass; steal by J. Ingles)
4:29.0,G. Hayward makes 2-pt shot from 17 ft,2,17-16,,
4:17.0,,,17-16,,Shooting foul by T. Lyles (drawn by J. Okafor)
4:17.0,,,17-16,,J. Okafor misses free throw 1 of 2
4:17.0,,,17-16,,Offensive rebound by Team
4:17.0,,,17-17,1,J. Okafor makes free throw 2 of 2
4:02.0,R. Gobert makes 2-pt shot at rim (assist by G. Hayward),2,19-17,,
4:02.0,Shooting foul by N. Stauskas (drawn by R. Gobert),,19-17,,
4:02.0,R. Gobert misses free throw 1 of 1,,19-17,,
4:01.0,,,19-17,,Defensive rebound by J. Okafor
3:49.0,,,19-17,,T. McConnell misses 2-pt shot from 6 ft (block by D. Exum)
3:46.0,Defensive rebound by R. Gobert,,19-17,,
3:39.0,J. Ingles misses 2-pt shot from 3 ft,,19-17,,
3:36.0,Offensive rebound by J. Ingles,,19-17,,
3:36.0,J. Ingles makes 2-pt shot from 1 ft,2,21-17,,
3:13.0,,,21-17,,J. Okafor misses 2-pt shot from 19 ft
3:13.0,,,21-17,,Offensive rebound by Team
3:13.0,Loose ball foul by T. Lyles (drawn by E. Ilyasova),,21-17,,
3:13.0,,,21-17,,Philadelphia full timeout
3:13.0,,,21-17,,J. Embiid enters the game for J. Okafor
2:59.0,,,21-20,3,E. Ilyasova makes 3-pt shot from 24 ft (assist by T. McConnell)
2:39.0,Offensive foul by R. Gobert,,21-20,,
2:39.0,Turnover by R. Gobert (offensive foul),,21-20,,
2:26.0,,,21-20,,N. Stauskas misses 3-pt shot from 26 ft
2:24.0,Defensive rebound by G. Hayward,,21-20,,
2:16.0,G. Hayward makes 2-pt shot from 6 ft,2,23-20,,
2:03.0,,,23-20,,Turnover by J. Embiid (lost ball; steal by J. Ingles)
2:00.0,J. Ingles makes 2-pt shot from 2 ft,2,25-20,,
2:00.0,Shooting foul by T. McConnell (drawn by J. Ingles),,25-20,,
2:00.0,J. Ingles makes free throw 1 of 1,1,26-20,,
2:00.0,J. Johnson enters the game for G. Hayward,,25-20,,
2:00.0,D. Favors enters the game for R. Gobert,,25-20,,
1:55.0,Personal foul by D. Exum (drawn by T. McConnell),,26-20,,
1:44.0,,,26-20,,T. McConnell misses 2-pt shot from 15 ft
1:42.0,Defensive rebound by J. Ingles,,26-20,,
1:33.0,T. Lyles misses 3-pt shot from 25 ft,,26-20,,
1:32.0,Offensive rebound by D. Exum,,26-20,,
1:19.0,J. Ingles misses 2-pt shot from 19 ft,,26-20,,
1:19.0,,,26-20,,Defensive rebound by Team
1:08.0,Personal foul by D. Favors (drawn by J. Embiid),,26-20,,
1:08.0,,,26-21,1,J. Embiid makes free throw 1 of 2
1:08.0,,,26-21,,J. Embiid misses free throw 2 of 2
1:06.0,Defensive rebound by D. Favors,,26-21,,
0:50.0,T. Lyles misses 2-pt shot from 6 ft,,26-21,,
0:50.0,Offensive rebound by D. Favors,,26-21,,
0:50.0,D. Favors makes 2-pt shot from 1 ft,2,28-21,,
0:41.0,,,28-21,,Turnover by E. Ilyasova (bad pass; steal by J. Ingles)
0:39.0,J. Ingles makes 2-pt shot from 1 ft,2,30-21,,
0:25.0,,,30-23,2,N. Stauskas makes 2-pt shot from 2 ft (assist by T. McConnell)
0:25.0,Away from play foul by D. Exum (drawn by J. Embiid),,30-23,,
0:25.0,,,30-24,1,J. Embiid makes free throw 1 of 1
0:25.0,G. Hayward enters the game for J. Ingles,,30-23,,
0:25.0,R. Hood enters the game for T. Lyles,,30-23,,
0:03.0,D. Exum misses 3-pt shot from 25 ft,,30-24,,
0:02.0,,,30-24,,Defensive rebound by N. Stauskas
0:00.0,End of 1st quarter,,,,End of 1st quarter
12:00.0,Start of 2nd quarter,,,,Start of 2nd quarter
11:39.0,,,30-24,,E. Ilyasova misses 2-pt shot from 2 ft (block by J. Ingles)
11:39.0,,,30-24,,Offensive rebound by Team
11:36.0,,,30-26,2,E. Ilyasova makes 2-pt shot from 20 ft (assist by T. McConnell)
11:10.0,R. Hood makes 2-pt shot from 18 ft,2,32-26,,
10:59.0,,,32-26,,E. Ilyasova misses 3-pt shot from 25 ft
10:57.0,Defensive rebound by D. Favors,,32-26,,
10:41.0,Shooting foul by J. Okafor (drawn by D. Favors),,32-26,,
10:41.0,D. Favors misses free throw 1 of 2,,32-26,,
10:41.0,Offensive rebound by Team,,32-26,,
10:41.0,D. Favors makes free throw 2 of 2,1,33-26,,
10:25.0,,,33-29,3,N. Stauskas makes 3-pt shot from 25 ft
10:09.0,D. Favors makes 2-pt shot from 12 ft (assist by J. Ingles),2,35-29,,
9:53.0,,,35-31,2,J. Okafor makes 2-pt shot from 3 ft
9:32.0,R. Hood makes 2-pt shot from 18 ft,2,37-31,,
9:21.0,,,37-33,2,H. Thompson makes 2-pt shot from 2 ft (assist by E. Ilyasova)
9:06.0,Shooting foul by J. Okafor (drawn by D. Favors),,37-33,,
9:06.0,D. Favors misses free throw 1 of 2,,37-33,,
9:06.0,Offensive rebound by Team,,37-33,,
9:06.0,D. Favors makes free throw 2 of 2,1,38-33,,
9:06.0,S. Mack enters the game for D. Exum,,37-33,,
9:06.0,,,37-33,,D. Saric enters the game for E. Ilyasova
9:06.0,,,37-33,,G. Henderson enters the game for H. Thompson
8:43.0,,,38-33,,J. Okafor misses 2-pt shot from 3 ft (block by D. Favors)
8:40.0,,,38-33,,Offensive rebound by N. Stauskas
8:39.0,,,38-35,2,N. Stauskas makes 2-pt shot at rim
8:31.0,D. Favors misses 2-pt shot from 3 ft (block by J. Okafor),,38-35,,
8:29.0,,,38-35,,Defensive rebound by G. Henderson
8:28.0,Personal foul by S. Mack (drawn by G. Henderson),,38-35,,
8:28.0,Official timeout,,38-35,,
8:28.0,,,38-35,,S. Rodriguez enters the game for T. McConnell
8:28.0,,,38-35,,R. Covington enters the game for N. Stauskas
8:28.0,T. Lyles enters the game for J. Ingles,,38-35,,
8:28.0,R. Gobert enters the game for D. Favors,,38-35,,
8:22.0,,,38-35,,Offensive charge foul by J. Okafor
8:22.0,,,38-35,,Turnover by J. Okafor (offensive foul)
8:04.0,J. Johnson misses 2-pt shot from 7 ft,,38-35,,
8:02.0,,,38-35,,Defensive rebound by D. Saric
7:47.0,,,38-35,,J. Okafor misses 2-pt shot from 2 ft (block by R. Gobert)
7:44.0,Defensive rebound by R. Gobert,,38-35,,
7:30.0,S. Mack misses 2-pt shot from 18 ft,,38-35,,
7:29.0,,,38-35,,Defensive rebound by R. Covington
7:18.0,,,38-35,,D. Saric misses 2-pt shot from 1 ft
7:16.0,Defensive rebound by J. Johnson,,38-35,,
7:07.0,R. Hood makes 2-pt shot from 2 ft,2,40-35,,
6:47.0,,,40-35,,G. Henderson misses 3-pt shot from 27 ft
6:46.0,Defensive rebound by R. Gobert,,40-35,,
6:31.0,T. Lyles makes 3-pt shot from 26 ft (assist by J. Johnson),3,43-35,,
6:30.0,,,43-35,,Philadelphia full timeout
6:30.0,,,43-35,,J. Embiid enters the game for J. Okafor
6:18.0,,,43-35,,Shooting foul by R. Gobert (drawn by J. Embiid)
6:18.0,,,43-35,,J. Embiid misses free throw 1 of 2
6:18.0,,,43-35,,Offensive rebound by Team
6:18.0,,,43-36,1,J. Embiid makes free throw 2 of 2
6:05.0,R. Hood makes 3-pt shot from 27 ft (assist by S. Mack),3,46-36,,
5:44.0,,,46-36,,G. Henderson misses 2-pt shot from 19 ft
5:42.0,,,46-36,,Offensive rebound by J. Embiid
5:34.0,,,46-36,,Turnover by J. Embiid (lost ball; steal by R. Gobert)
5:27.0,Shooting foul by J. Embiid (drawn by R. Gobert),,46-36,,
5:27.0,R. Gobert misses free throw 1 of 2,,46-36,,
5:27.0,Offensive rebound by Team,,46-36,,
5:27.0,R. Gobert misses free throw 2 of 2,,46-36,,
5:27.0,G. Hayward enters the game for J. Johnson,,46-36,,
5:25.0,,,46-36,,Defensive rebound by J. Embiid
5:10.0,,,46-36,,S. Rodriguez misses 2-pt shot from 2 ft
5:09.0,,,46-36,,Offensive rebound by J. Embiid
5:09.0,,,46-36,,J. Embiid misses 2-pt shot from 1 ft (block by T. Lyles)
5:09.0,Defensive rebound by Team,,46-36,,
4:53.0,R. Hood misses 2-pt shot from 4 ft,,46-36,,
4:50.0,,,46-36,,Defensive rebound by J. Embiid
4:34.0,,,46-36,,J. Embiid misses 2-pt shot from 3 ft
4:32.0,,,46-36,,Offensive rebound by J. Embiid
4:31.0,,,46-38,2,J. Embiid makes 2-pt shot from 2 ft
4:23.0,Offensive foul by R. Gobert,,46-38,,
4:23.0,Turnover by R. Gobert (offensive foul),,46-38,,
4:23.0,J. Johnson enters the game for S. Mack,,46-38,,
4:23.0,D. Exum enters the game for R. Gobert,,46-38,,
4:23.0,D. Favors enters the game for R. Hood,,46-38,,
4:12.0,,,46-38,,Shooting foul by D. Exum (drawn by J. Embiid)
4:12.0,,,46-38,,J. Embiid misses free throw 1 of 2
4:12.0,,,46-38,,Offensive rebound by Team
4:12.0,,,46-39,1,J. Embiid makes free throw 2 of 2
4:12.0,S. Mack enters the game for D. Exum,,46-38,,
3:59.0,S. Mack misses 2-pt shot from 12 ft,,46-39,,
3:57.0,Offensive rebound by J. Johnson,,46-39,,
3:52.0,T. Lyles misses 3-pt shot from 26 ft,,46-39,,
3:51.0,,,46-39,,Defensive rebound by J. Embiid
3:49.0,,,46-39,,Turnover by J. Embiid (traveling)
3:49.0,Utah full timeout,,46-39,,
3:42.0,G. Hayward makes 2-pt shot at rim,2,48-39,,
3:25.0,,,48-41,2,D. Saric makes 2-pt shot from 22 ft (assist by S. Rodriguez)
3:08.0,D. Favors misses 2-pt shot from 18 ft,,48-41,,
3:07.0,,,48-41,,Defensive rebound by S. Rodriguez
2:53.0,,,48-41,,Turnover by D. Saric (bad pass; steal by D. Favors)
2:45.0,S. Mack makes 2-pt shot from 7 ft,2,50-41,,
2:26.0,,,50-41,,J. Okafor enters the game for J. Embiid
2:26.0,,,50-41,,E. Ilyasova enters the game for D. Saric
2:26.0,R. Hood enters the game for J. Johnson,,50-41,,
2:22.0,,,50-41,,S. Rodriguez misses 3-pt shot from 24 ft
2:20.0,Defensive rebound by D. Favors,,50-41,,
2:08.0,T. Lyles misses 2-pt shot from 13 ft,,50-41,,
2:06.0,,,50-41,,Defensive rebound by S. Rodriguez
2:00.0,,,50-41,,E. Ilyasova misses 2-pt shot from 2 ft (block by D. Favors)
1:58.0,,,50-41,,Offensive rebound by E. Ilyasova
1:57.0,,,50-41,,E. Ilyasova misses 2-pt shot from 1 ft
1:55.0,Defensive rebound by R. Hood,,50-41,,
1:51.0,Turnover by T. Lyles (offensive goaltending),,50-41,,
1:51.0,,,50-41,,N. Stauskas enters the game for G. Henderson
1:39.0,,,50-41,,S. Rodriguez misses 2-pt shot from 11 ft
1:38.0,Defensive rebound by D. Favors,,50-41,,
1:29.0,G. Hayward makes 2-pt shot from 1 ft (assist by S. Mack),2,52-41,,
1:15.0,,,52-41,,E. Ilyasova misses 2-pt shot from 4 ft (block by D. Favors)
1:13.0,,,52-41,,Offensive rebound by J. Okafor
1:12.0,,,52-43,2,J. Okafor makes 2-pt shot from 1 ft
1:05.0,Utah full timeout,,52-43,,
1:05.0,,,52-43,,D. Saric enters the game for J. Okafor
1:05.0,J. Ingles enters the game for T. Lyles,,52-43,,
1:00.0,,,52-43,,Personal foul by N. Stauskas (drawn by R. Hood)
0:57.0,G. Hayward misses 2-pt shot from 3 ft,,52-43,,
0:54.0,,,52-43,,Defensive rebound by R. Covington
0:43.0,,,52-43,,Turnover by S. Rodriguez (bad pass; steal by S. Mack)
0:32.0,R. Hood misses 2-pt shot from 24 ft,,52-43,,
0:31.0,,,52-43,,Defensive rebound by R. Covington
0:13.0,,,52-43,,S. Rodriguez misses 3-pt shot from 25 ft
0:12.0,Defensive rebound by D. Favors,,52-43,,
0:00.0,Turnover by G. Hayward (lost ball; steal by S. Rodriguez),,52-43,,
0:00.0,End of 2nd quarter,,,,End of 2nd quarter
12:00.0,Start of 3rd quarter,,,,Start of 3rd quarter
11:46.0,,,52-43,,D. Saric misses 2-pt shot from 21 ft
11:46.0,,,52-43,,Offensive rebound by J. Embiid
11:46.0,Loose ball foul by R. Gobert (drawn by J. Embiid),,52-43,,
11:46.0,T. Lyles enters the game for R. Gobert,,52-43,,
11:33.0,,,52-45,2,R. Covington makes 2-pt shot from 2 ft (assist by D. Saric)
11:09.0,G. Hayward misses 3-pt shot from 25 ft,,52-45,,
11:07.0,,,52-45,,Defensive rebound by G. Henderson
11:00.0,,,52-45,,G. Henderson misses 2-pt shot from 17 ft
10:59.0,,,52-45,,Offensive rebound by Team
10:59.0,Loose ball foul by S. Mack (drawn by J. Embiid),,52-45,,
10:46.0,,,52-45,,Shooting foul by D. Favors (drawn by J. Embiid)
10:46.0,,,52-46,1,J. Embiid makes free throw 1 of 2
10:46.0,,,52-47,1,J. Embiid makes free throw 2 of 2
10:41.0,T. Lyles makes 2-pt shot from 2 ft,2,54-47,,
10:32.0,,,54-47,,Offensive foul by J. Embiid
10:32.0,,,54-47,,Turnover by J. Embiid (offensive foul)
10:24.0,,,54-47,,Personal foul by R. Covington (drawn by G. Hayward)
10:11.0,G. Hayward misses 2-pt shot from 20 ft,,54-47,,
10:10.0,,,54-47,,Defensive rebound by D. Saric
9:54.0,,,54-47,,D. Saric misses 2-pt shot from 1 ft (block by R. Hood)
9:50.0,Defensive rebound by D. Favors,,54-47,,
9:50.0,D. Favors makes 2-pt shot from 8 ft (assist by T. Lyles),2,56-47,,
9:24.0,,,56-49,2,S. Rodriguez makes 2-pt shot from 20 ft
9:15.0,Shooting foul by J. Embiid (drawn by D. Favors),,56-49,,
9:15.0,D. Favors misses free throw 1 of 2,,56-49,,
9:15.0,Offensive rebound by Team,,56-49,,
9:15.0,D. Favors makes free throw 2 of 2,1,57-49,,
9:15.0,,,56-49,,J. Okafor enters the game for J. Embiid
9:00.0,,,57-51,2,J. Okafor makes 2-pt shot from 2 ft (assist by S. Rodriguez)
8:41.0,R. Hood makes 3-pt shot from 27 ft (assist by G. Hayward),3,60-51,,
8:22.0,,,60-51,,Offensive charge foul by G. Henderson
8:22.0,,,60-51,,Turnover by G. Henderson (offensive foul)
8:22.0,,,60-51,,E. Ilyasova enters the game for D. Saric
8:05.0,T. Lyles misses 2-pt shot from 19 ft,,60-51,,
8:03.0,,,60-51,,Defensive rebound by R. Covington
7:56.0,,,60-54,3,R. Covington makes 3-pt shot from 26 ft (assist by E. Ilyasova)
7:42.0,D. Favors makes 2-pt shot from 6 ft (assist by S. Mack),2,62-54,,
7:32.0,,,62-54,,E. Ilyasova misses 3-pt shot from 25 ft
7:31.0,Defensive rebound by G. Hayward,,62-54,,
7:15.0,D. Favors misses 2-pt shot from 1 ft,,62-54,,
7:13.0,,,62-54,,Defensive rebound by E. Ilyasova
7:02.0,,,62-54,,J. Okafor misses 2-pt shot from 3 ft
7:00.0,Defensive rebound by D. Favors,,62-54,,
6:52.0,S. Mack makes 3-pt shot from 26 ft,3,65-54,,
6:51.0,,,65-54,,Philadelphia full timeout
6:51.0,,,65-54,,H. Thompson enters the game for G. Henderson
6:51.0,J. Ingles enters the game for R. Hood,,65-54,,
6:36.0,,,65-54,,Turnover by J. Okafor (traveling)
6:18.0,D. Favors misses 2-pt shot from 14 ft,,65-54,,
6:17.0,,,65-54,,Defensive rebound by J. Okafor
6:06.0,,,65-54,,R. Covington misses 3-pt shot from 27 ft
6:04.0,Defensive rebound by D. Favors,,65-54,,
5:54.0,G. Hayward makes 2-pt shot from 19 ft,2,67-54,,
5:39.0,,,67-54,,J. Okafor misses 2-pt shot from 2 ft
5:38.0,Defensive rebound by G. Hayward,,67-54,,
5:28.0,Offensive charge foul by G. Hayward,,67-54,,
5:28.0,Turnover by G. Hayward (offensive foul),,67-54,,
5:28.0,,,67-54,,T. McConnell enters the game for S. Rodriguez
5:28.0,,,67-54,,N. Stauskas enters the game for R. Covington
5:14.0,,,67-54,,E. Ilyasova misses 2-pt shot from 13 ft
5:12.0,,,67-54,,Offensive rebound by J. Okafor
5:10.0,,,67-54,,J. Okafor misses 2-pt shot from 2 ft
5:08.0,Defensive rebound by J. Ingles,,67-54,,
5:01.0,J. Ingles misses 3-pt shot from 24 ft,,67-54,,
4:59.0,,,67-54,,Defensive rebound by T. McConnell
4:41.0,,,67-54,,Turnover by T. McConnell (bad pass; steal by S. Mack)
4:24.0,G. Hayward makes 2-pt shot from 3 ft (assist by S. Mack),2,69-54,,
4:02.0,,,69-54,,H. Thompson misses 2-pt shot from 17 ft
4:01.0,Defensive rebound by G. Hayward,,69-54,,
3:49.0,Shooting foul by H. Thompson (drawn by D. Favors),,69-54,,
3:49.0,D. Favors makes free throw 1 of 2,1,70-54,,
3:49.0,D. Favors misses free throw 2 of 2,,70-54,,
3:49.0,,,70-54,,Defensive rebound by E. Ilyasova
3:49.0,D. Exum enters the game for S. Mack,,70-54,,
3:49.0,,,70-54,,R. Holmes enters the game for J. Okafor
3:31.0,Personal foul by D. Exum (drawn by R. Holmes),,70-54,,
3:31.0,J. Withey enters the game for D. Favors,,70-54,,
3:29.0,,,70-54,,Turnover by N. Stauskas (bad pass)
3:17.0,T. Lyles misses 2-pt shot from 3 ft,,70-54,,
3:15.0,,,70-54,,Defensive rebound by H. Thompson
3:04.0,Shooting block foul by J. Withey (drawn by E. Ilyasova),,70-54,,
3:04.0,,,70-55,1,E. Ilyasova makes free throw 1 of 2
3:04.0,,,70-56,1,E. Ilyasova makes free throw 2 of 2
2:54.0,D. Exum misses 2-pt shot from 2 ft,,70-56,,
2:52.0,Offensive rebound by J. Withey,,70-56,,
2:52.0,J. Withey makes 2-pt shot from 1 ft,2,72-56,,
2:43.0,,,72-56,,E. Ilyasova misses 3-pt shot from 25 ft
2:41.0,Defensive rebound by D. Exum,,72-56,,
2:29.0,G. Hayward misses 3-pt shot from 26 ft,,72-56,,
2:28.0,,,72-56,,Defensive rebound by H. Thompson
2:08.0,,,72-56,,N. Stauskas misses 3-pt shot from 24 ft
2:06.0,Defensive rebound by G. Hayward,,72-56,,
1:48.0,G. Hayward misses 2-pt shot from 6 ft,,72-56,,
1:47.0,Offensive rebound by G. Hayward,,72-56,,
1:44.0,G. Hayward misses 2-pt shot from 13 ft,,72-56,,
1:42.0,,,72-56,,Defensive rebound by R. Holmes
1:37.0,,,72-56,,Shooting foul by G. Hayward (drawn by E. Ilyasova)
1:37.0,Utah full timeout,,72-56,,
1:37.0,,,72-57,1,E. Ilyasova makes free throw 1 of 3
1:37.0,,,72-58,1,E. Ilyasova makes free throw 2 of 3
1:37.0,,,72-59,1,E. Ilyasova makes free throw 3 of 3
1:37.0,,,72-57,,J. Embiid enters the game for R. Holmes
1:37.0,R. Hood enters the game for J. Ingles,,72-57,,
1:37.0,J. Johnson enters the game for G. Hayward,,72-57,,
1:19.0,T. Lyles misses 2-pt shot from 10 ft,,72-59,,
1:18.0,Offensive rebound by J. Johnson,,72-59,,
1:12.0,J. Johnson misses 2-pt shot from 5 ft,,72-59,,
1:09.0,,,72-59,,Defensive rebound by J. Embiid
1:00.0,,,72-61,2,J. Embiid makes 2-pt shot from 6 ft
0:45.0,R. Hood misses 2-pt shot from 8 ft,,72-61,,
0:44.0,Offensive rebound by J. Withey,,72-61,,
0:44.0,J. Withey makes 2-pt shot from 1 ft,2,74-61,,
0:29.0,,,74-61,,E. Ilyasova misses 3-pt shot from 26 ft
0:27.0,Defensive rebound by T. Lyles,,74-61,,
0:09.0,,,74-61,,Personal foul by N. Stauskas (drawn by R. Hood)
0:05.0,D. Exum makes 3-pt shot from 25 ft (assist by J. Withey),3,77-61,,
0:00.0,End of 3rd quarter,,,,End of 3rd quarter
12:00.0,Start of 4th quarter,,,,Start of 4th quarter
11:39.0,R. Hood misses 2-pt shot from 5 ft,,77-61,,
11:38.0,,,77-61,,Defensive rebound by R. Covington
11:19.0,,,77-63,2,J. Embiid makes 2-pt shot from 8 ft
10:57.0,R. Hood makes 3-pt shot from 26 ft (assist by T. Lyles),3,80-63,,
10:36.0,,,80-65,2,J. Embiid makes 2-pt shot from 17 ft (assist by D. Saric)
10:18.0,D. Exum makes 2-pt shot from 2 ft,2,82-65,,
10:05.0,Personal foul by R. Gobert (drawn by J. Embiid),,82-65,,
10:05.0,D. Favors enters the game for R. Gobert,,82-65,,
9:52.0,,,82-65,,Turnover by J. Embiid (traveling)
9:33.0,R. Hood misses 3-pt shot from 24 ft,,82-65,,
9:31.0,,,82-65,,Defensive rebound by R. Covington
9:24.0,,,82-67,2,S. Rodriguez makes 2-pt shot from 2 ft
9:03.0,Shooting foul by J. Embiid (drawn by T. Lyles),,82-67,,
9:03.0,T. Lyles makes free throw 1 of 2,1,83-67,,
9:03.0,T. Lyles makes free throw 2 of 2,1,84-67,,
9:03.0,S. Mack enters the game for D. Exum,,83-67,,
9:03.0,,,83-67,,J. Okafor enters the game for J. Embiid
8:52.0,,,84-67,,Turnover by S. Rodriguez (bad pass; steal by T. Lyles)
8:36.0,J. Johnson makes 2-pt shot from 17 ft,2,86-67,,
8:35.0,,,86-67,,Philadelphia full timeout
8:17.0,,,86-67,,D. Saric misses 2-pt shot from 18 ft
8:16.0,Defensive rebound by D. Favors,,86-67,,
7:59.0,R. Hood makes 3-pt shot from 23 ft (assist by T. Lyles),3,89-67,,
7:41.0,,,89-69,2,G. Henderson makes 2-pt shot from 16 ft (assist by J. Okafor)
7:22.0,J. Johnson makes 2-pt shot from 11 ft,2,91-69,,
7:05.0,,,91-71,2,G. Henderson makes 2-pt shot at rim (assist by R. Covington)
6:42.0,J. Johnson misses 2-pt shot from 17 ft,,91-71,,
6:40.0,,,91-71,,Defensive rebound by R. Covington
6:19.0,,,91-73,2,J. Okafor makes 2-pt shot from 3 ft
6:14.0,Utah full timeout,,91-73,,
6:14.0,,,91-73,,E. Ilyasova enters the game for D. Saric
6:14.0,,,91-73,,T. McConnell enters the game for S. Rodriguez
6:14.0,,,91-73,,N. Stauskas enters the game for G. Henderson
6:14.0,G. Hayward enters the game for D. Favors,,91-73,,
6:14.0,R. Gobert enters the game for R. Hood,,91-73,,
6:06.0,G. Hayward makes 2-pt shot at rim,2,93-73,,
5:51.0,,,93-75,2,J. Okafor makes 2-pt shot at rim
5:31.0,J. Johnson makes 2-pt shot from 11 ft,2,95-75,,
5:20.0,,,95-75,,Turnover by N. Stauskas (lost ball; steal by G. Hayward)
5:17.0,G. Hayward makes 2-pt shot from 2 ft,2,97-75,,
5:15.0,,,97-75,,Philadelphia full timeout
5:15.0,,,97-75,,H. Thompson enters the game for R. Covington
5:15.0,J. Ingles enters the game for T. Lyles,,97-75,,
5:00.0,,,97-77,2,J. Okafor makes 2-pt shot at rim
4:43.0,J. Johnson misses 3-pt shot from 27 ft,,97-77,,
4:41.0,,,97-77,,Defensive rebound by T. McConnell
4:36.0,,,97-77,,Shooting foul by J. Ingles (drawn by N. Stauskas)
4:36.0,,,97-78,1,N. Stauskas makes free throw 1 of 2
4:36.0,,,97-79,1,N. Stauskas makes free throw 2 of 2
4:36.0,D. Exum enters the game for S. Mack,,97-78,,
