time,Portland,pts.away,score,pts.home,Boston
7:04.0,,,6-14,,T. Rozier enters the game for M. Smart
6:47.0,C. McCollum makes 3-pt shot from 24 ft (assist by E. Turner),3,9-14,,
6:33.0,,,9-14,,T. Rozier misses 3-pt shot from 25 ft
6:32.0,Defensive rebound by M. Plumlee,,9-14,,
6:22.0,D. Lillard makes 2-pt shot from 1 ft (assist by M. Plumlee),2,11-14,,
6:05.0,Personal foul by M. Plumlee (drawn by I. Thomas),,11-14,,
6:05.0,N. Vonleh enters the game for M. Plumlee,,11-14,,
5:51.0,,,11-14,,A. Horford misses 2-pt shot from 12 ft
5:49.0,,,11-14,,Offensive rebound by Team
5:39.0,,,11-14,,Turnover by I. Thomas (bad pass; steal by N. Vonleh)
5:31.0,C. McCollum makes 3-pt shot from 26 ft (assist by E. Turner),3,14-14,,
5:14.0,,,14-16,2,A. Horford makes 2-pt shot from 9 ft
4:57.0,A. Aminu makes 2-pt shot from 1 ft,2,16-16,,
4:35.0,,,16-16,,I. Thomas misses 2-pt shot from 3 ft (block by E. Turner)
4:34.0,Defensive rebound by A. Aminu,,16-16,,
4:24.0,C. McCollum makes 2-pt shot from 20 ft,2,18-16,,
4:24.0,,,18-16,,Boston full timeout
4:24.0,,,18-16,,K. Olynyk enters the game for A. Johnson
4:24.0,A. Crabbe enters the game for E. Turner,,18-16,,
4:24.0,M. Harkless enters the game for D. Lillard,,18-16,,
4:12.0,,,18-19,3,J. Crowder makes 3-pt shot from 26 ft (assist by T. Rozier)
3:55.0,A. Crabbe misses 2-pt shot from 17 ft,,18-19,,
3:54.0,Offensive rebound by N. Vonleh,,18-19,,
3:54.0,N. Vonleh makes 2-pt shot from 1 ft,2,20-19,,
3:43.0,,,20-19,,T. Rozier misses 3-pt shot from 27 ft
3:42.0,,,20-19,,Offensive rebound by Team
3:42.0,Loose ball foul by N. Vonleh (drawn by A. Horford),,20-19,,
3:42.0,,,20-19,,M. Smart enters the game for I. Thomas
3:26.0,,,20-19,,Shooting foul by N. Vonleh (drawn by A. Horford)
3:26.0,,,20-19,,A. Horford misses free throw 1 of 2
3:26.0,,,20-19,,Offensive rebound by Team
3:26.0,,,20-20,1,A. Horford makes free throw 2 of 2
3:26.0,M. Leonard enters the game for N. Vonleh,,20-19,,
3:11.0,C. McCollum misses 2-pt shot from 17 ft,,20-20,,
3:10.0,,,20-20,,Defensive rebound by M. Smart
3:01.0,,,20-20,,A. Horford misses 2-pt shot from 8 ft
3:00.0,Defensive rebound by M. Leonard,,20-20,,
2:47.0,Turnover by M. Leonard (bad pass; steal by M. Smart),,20-20,,
2:33.0,,,20-22,2,K. Olynyk makes 2-pt shot from 1 ft (assist by M. Smart)
2:10.0,A. Aminu makes 3-pt shot from 25 ft (assist by A. Crabbe),3,23-22,,
1:50.0,,,23-22,,A. Horford misses 2-pt shot from 9 ft
1:49.0,Defensive rebound by A. Aminu,,23-22,,
1:43.0,A. Aminu misses 2-pt shot from 2 ft,,23-22,,
1:42.0,,,23-22,,Defensive rebound by K. Olynyk
1:37.0,,,23-22,,Shooting foul by M. Leonard (drawn by A. Horford)
1:37.0,,,23-23,1,A. Horford makes free throw 1 of 2
1:37.0,,,23-24,1,A. Horford makes free throw 2 of 2
1:37.0,,,23-23,,J. Brown enters the game for J. Crowder
1:37.0,D. Lillard enters the game for C. McCollum,,23-23,,
1:28.0,,,23-24,,Personal foul by M. Smart (drawn by D. Lillard)
1:28.0,,,23-24,,J. Mickey enters the game for A. Horford
1:18.0,Turnover by D. Lillard (bad pass; steal by J. Brown),,23-24,,
1:17.0,Personal foul by D. Lillard (drawn by M. Smart),,23-24,,
1:17.0,,,23-25,1,M. Smart makes free throw 1 of 2
1:17.0,,,23-26,1,M. Smart makes free throw 2 of 2
1:04.0,M. Harkless misses 2-pt shot from 10 ft,,23-26,,
1:03.0,,,23-26,,Defensive rebound by J. Mickey
0:54.0,,,23-26,,T. Rozier misses 2-pt shot from 1 ft
0:53.0,Defensive rebound by M. Leonard,,23-26,,
0:34.0,,,23-26,,Def 3 sec tech foul by J. Mickey
0:34.0,D. Lillard makes technical free throw,1,24-26,,
0:33.0,M. Leonard makes 2-pt shot at rim (assist by M. Harkless),2,26-26,,
0:14.0,,,26-28,2,M. Smart makes 2-pt shot from 11 ft
0:02.0,D. Lillard misses 2-pt shot from 16 ft,,26-28,,
0:01.0,,,26-28,,Defensive rebound by J. Brown
0:00.0,End of 1st quarter,,,,End of 1st quarter
12:00.0,Start of 2nd quarter,,,,Start of 2nd quarter
11:48.0,Turnover by A. Aminu (bad pass; steal by J. Brown),,26-28,,
11:44.0,,,26-28,,Turnover by J. Brown (step out of bounds)
11:34.0,D. Lillard misses 3-pt shot from 25 ft,,26-28,,
11:34.0,,,26-28,,Defensive rebound by I. Thomas
11:27.0,,,26-28,,Turnover by I. Thomas (lost ball; steal by A. Crabbe)
11:18.0,M. Leonard makes 3-pt shot from 25 ft (assist by A. Crabbe),3,29-28,,
10:56.0,,,29-28,,Turnover by M. Smart (bad pass; steal by A. Crabbe)
10:49.0,A. Crabbe misses 3-pt shot from 25 ft,,29-28,,
10:48.0,,,29-28,,Defensive rebound by K. Olynyk
10:42.0,Personal foul by D. Lillard (drawn by I. Thomas),,29-28,,
10:42.0,C. McCollum enters the game for D. Lillard,,29-28,,
10:36.0,,,29-28,,M. Smart misses 2-pt shot from 19 ft
10:36.0,Defensive rebound by C. McCollum,,29-28,,
10:19.0,Turnover by M. Leonard (bad pass),,29-28,,
10:06.0,,,29-28,,Shooting foul by A. Aminu (drawn by K. Olynyk)
10:06.0,,,29-29,1,K. Olynyk makes free throw 1 of 2
10:06.0,,,29-30,1,K. Olynyk makes free throw 2 of 2
9:51.0,Shooting foul by J. Mickey (drawn by M. Leonard),,29-30,,
9:51.0,M. Leonard makes 2-pt shot at rim (assist by A. Crabbe),2,31-30,,
9:51.0,M. Leonard makes free throw 1 of 1,1,32-30,,
9:40.0,,,32-32,2,I. Thomas makes 2-pt shot from 1 ft
9:31.0,C. McCollum misses 2-pt shot from 1 ft,,32-32,,
9:30.0,,,32-32,,Defensive rebound by Team
9:15.0,,,32-32,,Turnover by M. Smart (bad pass)
9:00.0,,,32-32,,Shooting block foul by K. Olynyk (drawn by C. McCollum)
9:00.0,C. McCollum makes free throw 1 of 2,1,33-32,,
9:00.0,C. McCollum misses free throw 2 of 2,,33-32,,
8:59.0,,,33-32,,Defensive rebound by K. Olynyk
8:49.0,,,33-32,,I. Thomas misses 3-pt shot from 25 ft
8:47.0,Defensive rebound by Team,,33-32,,
8:47.0,Official timeout,,33-32,,
8:47.0,,,33-32,,A. Johnson enters the game for J. Mickey
8:47.0,,,33-32,,T. Rozier enters the game for M. Smart
8:26.0,C. McCollum misses 3-pt shot from 25 ft,,33-32,,
8:26.0,Offensive rebound by Team,,33-32,,
8:26.0,,,33-32,,Loose ball foul by I. Thomas (drawn by M. Harkless)
8:19.0,,,33-32,,Personal foul by T. Rozier (drawn by C. McCollum)
8:05.0,C. McCollum makes 2-pt shot from 7 ft,2,35-32,,
8:05.0,Shooting foul by T. Rozier (drawn by C. McCollum),,35-32,,
8:05.0,C. McCollum makes free throw 1 of 1,1,36-32,,
7:42.0,,,36-34,2,I. Thomas makes 2-pt shot from 14 ft (assist by T. Rozier)
7:42.0,,,36-34,,Shooting foul by C. McCollum (drawn by I. Thomas)
7:42.0,,,36-35,1,I. Thomas makes free throw 1 of 1
7:42.0,E. Turner enters the game for M. Harkless,,36-34,,
7:29.0,A. Crabbe misses 2-pt shot from 19 ft,,36-35,,
7:26.0,,,36-35,,Defensive rebound by J. Brown
7:08.0,,,36-35,,Shooting foul by C. McCollum (drawn by J. Brown)
7:08.0,,,36-36,1,J. Brown makes free throw 1 of 2
7:08.0,,,36-37,1,J. Brown makes free throw 2 of 2
6:57.0,,,36-37,,Def 3 sec tech foul by K. Olynyk
6:57.0,C. McCollum makes technical free throw,1,37-37,,
6:57.0,M. Plumlee enters the game for M. Leonard,,37-37,,
6:45.0,A. Crabbe makes 2-pt shot from 1 ft (assist by M. Plumlee),2,39-37,,
6:32.0,,,39-39,2,T. Rozier makes 2-pt shot from 1 ft
6:16.0,A. Crabbe makes 2-pt shot from 10 ft (assist by M. Plumlee),2,41-39,,
6:06.0,,,41-41,2,I. Thomas makes 2-pt shot from 2 ft
6:06.0,Shooting block foul by A. Crabbe (drawn by I. Thomas),,41-41,,
6:06.0,,,41-41,,I. Thomas misses free throw 1 of 1
6:06.0,,,41-41,,J. Crowder enters the game for K. Olynyk
6:06.0,,,41-41,,A. Horford enters the game for J. Brown
6:05.0,,,41-41,,Offensive rebound by I. Thomas
6:02.0,,,41-43,2,I. Thomas makes 2-pt shot from 1 ft
6:01.0,Portland full timeout,,41-43,,
6:01.0,,,41-43,,M. Smart enters the game for I. Thomas
5:50.0,C. McCollum makes 2-pt shot from 10 ft,2,43-43,,
5:50.0,Shooting foul by T. Rozier (drawn by C. McCollum),,43-43,,
5:50.0,C. McCollum makes free throw 1 of 1,1,44-43,,
5:50.0,M. Leonard enters the game for A. Aminu,,43-43,,
5:36.0,,,44-45,2,T. Rozier makes 2-pt shot from 13 ft (assist by A. Horford)
5:22.0,M. Plumlee makes 2-pt shot at rim (assist by C. McCollum),2,46-45,,
5:04.0,,,46-45,,A. Horford misses 2-pt shot from 18 ft
5:00.0,Defensive rebound by M. Plumlee,,46-45,,
4:54.0,A. Crabbe makes 2-pt shot from 1 ft (assist by M. Plumlee),2,48-45,,
4:28.0,,,48-45,,J. Crowder misses 3-pt shot from 25 ft
4:27.0,Defensive rebound by M. Plumlee,,48-45,,
4:15.0,A. Crabbe misses 2-pt shot from 23 ft,,48-45,,
4:14.0,,,48-45,,Defensive rebound by A. Johnson
4:09.0,,,48-48,3,M. Smart makes 3-pt shot from 26 ft
3:52.0,C. McCollum misses 2-pt shot from 16 ft,,48-48,,
3:51.0,,,48-48,,Defensive rebound by Team
3:51.0,Loose ball foul by M. Plumlee (drawn by M. Smart),,48-48,,
3:51.0,,,48-49,1,M. Smart makes free throw 1 of 2
3:51.0,,,48-50,1,M. Smart makes free throw 2 of 2
3:51.0,,,48-49,,I. Thomas enters the game for T. Rozier
3:51.0,,,48-49,,K. Olynyk enters the game for A. Johnson
3:51.0,A. Aminu enters the game for M. Plumlee,,48-49,,
3:37.0,E. Turner misses 2-pt shot from 15 ft,,48-50,,
3:36.0,,,48-50,,Defensive rebound by K. Olynyk
3:28.0,,,48-52,2,J. Crowder makes 2-pt shot from 1 ft (assist by I. Thomas)
3:11.0,A. Aminu misses 3-pt shot from 24 ft,,48-52,,
3:10.0,,,48-52,,Defensive rebound by A. Horford
2:57.0,,,48-52,,M. Smart misses 3-pt shot from 26 ft
2:54.0,Defensive rebound by E. Turner,,48-52,,
2:47.0,Shooting foul by J. Crowder (drawn by C. McCollum),,48-52,,
2:47.0,,,48-52,,Boston full timeout
2:47.0,C. McCollum misses free throw 1 of 2,,48-52,,
2:47.0,Offensive rebound by Team,,48-52,,
2:47.0,C. McCollum makes free throw 2 of 2,1,49-52,,
2:26.0,,,49-54,2,I. Thomas makes 2-pt shot from 18 ft
2:09.0,E. Turner misses 2-pt shot from 18 ft,,49-54,,
2:08.0,,,49-54,,Defensive rebound by J. Crowder
1:57.0,,,49-57,3,A. Horford makes 3-pt shot from 23 ft (assist by I. Thomas)
1:55.0,Portland full timeout,,49-57,,
1:42.0,Shooting foul by K. Olynyk (drawn by A. Aminu),,49-57,,
1:42.0,A. Aminu makes free throw 1 of 2,1,50-57,,
1:42.0,A. Aminu makes free throw 2 of 2,1,51-57,,
1:24.0,,,51-59,2,K. Olynyk makes 2-pt shot from 7 ft (assist by I. Thomas)
1:04.0,M. Leonard misses 2-pt shot from 9 ft,,51-59,,
1:03.0,,,51-59,,Defensive rebound by K. Olynyk
0:59.0,,,51-61,2,I. Thomas makes 2-pt shot from 2 ft (assist by K. Olynyk)
0:52.0,C. McCollum makes 3-pt shot from 26 ft,3,54-61,,
0:33.0,,,54-63,2,M. Smart makes 2-pt shot from 3 ft (assist by A. Horford)
0:22.0,,,54-63,,Personal foul by A. Horford (drawn by C. McCollum)
0:22.0,C. McCollum makes free throw 1 of 2,1,55-63,,
0:22.0,C. McCollum makes free throw 2 of 2,1,56-63,,
0:03.0,,,56-63,,Shooting foul by M. Leonard (drawn by I. Thomas)
0:03.0,,,56-64,1,I. Thomas makes free throw 1 of 2
0:03.0,,,56-65,1,I. Thomas makes free throw 2 of 2
0:03.0,,,56-64,,T. Rozier enters the game for K. Olynyk
0:01.0,A. Aminu misses 3-pt shot from 29 ft,,56-65,,
0:00.0,Offensive rebound by Team,,56-65,,
0:00.0,End of 2nd quarter,,,,End of 2nd quarter
12:00.0,Start of 3rd quarter,,,,Start of 3rd quarter
11:45.0,Offensive foul by M. Plumlee,,56-65,,
11:45.0,Turnover by M. Plumlee (offensive foul),,56-65,,
11:35.0,,,56-67,2,M. Smart makes 2-pt shot from 14 ft (assist by I. Thomas)
11:19.0,E. Turner makes 2-pt shot from 15 ft,2,58-67,,
11:06.0,,,58-67,,M. Smart misses 2-pt shot from 23 ft
11:04.0,Defensive rebound by M. Plumlee,,58-67,,
10:57.0,D. Lillard makes 2-pt shot from 19 ft,2,60-67,,
10:39.0,,,60-67,,Turnover by I. Thomas (lost ball; steal by N. Vonleh)
10:25.0,M. Plumlee misses 2-pt shot from 5 ft,,60-67,,
10:24.0,Offensive rebound by N. Vonleh,,60-67,,
10:10.0,N. Vonleh makes 2-pt shot from 2 ft (assist by D. Lillard),2,62-67,,
10:10.0,,,62-67,,Violation by A. Horford (def goaltending)
9:54.0,,,62-67,,Loose ball foul by A. Johnson (drawn by C. McCollum)
9:54.0,,,62-67,,Turnover by A. Johnson (offensive foul)
9:37.0,C. McCollum misses 3-pt shot from 25 ft,,62-67,,
9:36.0,Offensive rebound by Team,,62-67,,
9:30.0,D. Lillard makes 2-pt shot from 21 ft (assist by M. Plumlee),2,64-67,,
9:10.0,,,64-67,,I. Thomas misses 3-pt shot from 25 ft
9:09.0,Defensive rebound by M. Plumlee,,64-67,,
8:59.0,E. Turner makes 2-pt shot from 7 ft (assist by D. Lillard),2,66-67,,
8:38.0,,,66-67,,Turnover by A. Horford (lost ball; steal by E. Turner)
8:34.0,Turnover by E. Turner (bad pass; steal by J. Crowder),,66-67,,
8:27.0,,,66-67,,I. Thomas misses 2-pt shot from 2 ft
8:26.0,Defensive rebound by N. Vonleh,,66-67,,
8:12.0,Shooting foul by M. Smart (drawn by C. McCollum),,66-67,,
8:12.0,C. McCollum misses free throw 1 of 2,,66-67,,
8:12.0,Offensive rebound by Team,,66-67,,
8:12.0,C. McCollum makes free throw 2 of 2,1,67-67,,
8:12.0,,,66-67,,K. Olynyk enters the game for A. Johnson
7:49.0,,,67-67,,I. Thomas misses 2-pt shot from 14 ft
7:48.0,,,67-67,,Offensive rebound by K. Olynyk
7:47.0,,,67-69,2,K. Olynyk makes 2-pt shot from 1 ft
7:35.0,Offensive foul by N. Vonleh,,67-69,,
7:35.0,Turnover by N. Vonleh (offensive foul),,67-69,,
7:24.0,,,67-72,3,I. Thomas makes 3-pt shot from 26 ft (assist by M. Smart)
7:08.0,D. Lillard misses 2-pt shot from 2 ft,,67-72,,
7:07.0,,,67-72,,Defensive rebound by A. Horford
7:02.0,,,67-72,,I. Thomas misses 3-pt shot from 25 ft
7:02.0,Jump ball: A. Horford vs. M. Plumlee (D. Lillard gains possession),,,,Jump ball: A. Horford vs. M. Plumlee (D. Lillard gains possession)
7:02.0,Defensive rebound by Team,,67-72,,
6:45.0,N. Vonleh misses 2-pt shot from 20 ft,,67-72,,
6:44.0,,,67-72,,Defensive rebound by J. Crowder
6:28.0,,,67-72,,Turnover by I. Thomas (bad pass; steal by C. McCollum)
6:23.0,D. Lillard makes 3-pt shot from 25 ft (assist by C. McCollum),3,70-72,,
6:09.0,,,70-72,,Turnover by K. Olynyk (lost ball; steal by C. McCollum)
6:09.0,,,70-72,,Personal take foul by K. Olynyk (drawn by C. McCollum)
5:58.0,C. McCollum makes 2-pt shot from 17 ft (assist by E. Turner),2,72-72,,
5:41.0,,,72-72,,Turnover by K. Olynyk (lost ball; steal by C. McCollum)
5:34.0,D. Lillard misses 2-pt shot from 2 ft,,72-72,,
5:33.0,Offensive rebound by N. Vonleh,,72-72,,
5:33.0,N. Vonleh misses 2-pt shot from 1 ft,,72-72,,
5:32.0,Offensive rebound by N. Vonleh,,72-72,,
5:31.0,N. Vonleh makes 2-pt shot at rim,2,74-72,,
5:31.0,,,74-72,,Boston full timeout
5:20.0,,,74-72,,J. Crowder misses 2-pt shot from 3 ft
5:19.0,,,74-72,,Offensive rebound by K. Olynyk
5:17.0,,,74-72,,Turnover by K. Olynyk (bad pass; steal by M. Plumlee)
5:12.0,N. Vonleh makes 2-pt shot at rim (assist by M. Plumlee),2,76-72,,
4:56.0,,,76-72,,I. Thomas misses 2-pt shot from 1 ft
4:55.0,Defensive rebound by E. Turner,,76-72,,
4:42.0,N. Vonleh misses 2-pt shot from 16 ft,,76-72,,
4:41.0,Offensive rebound by M. Plumlee,,76-72,,
4:38.0,M. Plumlee makes 2-pt shot from 1 ft,2,78-72,,
4:26.0,,,78-72,,Shooting foul by N. Vonleh (drawn by J. Crowder)
4:26.0,,,78-73,1,J. Crowder makes free throw 1 of 3
4:26.0,,,78-74,1,J. Crowder makes free throw 2 of 3
4:26.0,,,78-75,1,J. Crowder makes free throw 3 of 3
4:26.0,A. Crabbe enters the game for N. Vonleh,,78-74,,
4:26.0,A. Aminu enters the game for C. McCollum,,78-74,,
4:26.0,M. Leonard enters the game for M. Plumlee,,78-74,,
4:26.0,,,78-74,,J. Mickey enters the game for A. Horford
4:04.0,E. Turner makes 2-pt shot at rim,2,80-75,,
3:51.0,,,80-75,,J. Mickey misses 2-pt shot from 20 ft
3:50.0,Defensive rebound by E. Turner,,80-75,,
3:37.0,A. Crabbe misses 2-pt shot from 1 ft,,80-75,,
3:36.0,,,80-75,,Defensive rebound by Team
3:36.0,,,80-75,,T. Rozier enters the game for I. Thomas
3:19.0,,,80-77,2,M. Smart makes 2-pt shot from 2 ft (assist by J. Crowder)
3:04.0,A. Crabbe misses 2-pt shot from 9 ft,,80-77,,
3:03.0,Offensive rebound by A. Aminu,,80-77,,
2:59.0,E. Turner misses 3-pt shot from 23 ft,,80-77,,
2:58.0,Offensive rebound by M. Leonard,,80-77,,
2:54.0,A. Crabbe misses 3-pt shot from 26 ft,,80-77,,
2:53.0,,,80-77,,Defensive rebound by T. Rozier
2:47.0,,,80-79,2,T. Rozier makes 2-pt shot from 1 ft
2:44.0,Portland full timeout,,80-79,,
2:27.0,M. Leonard makes 3-pt shot from 25 ft (assist by D. Lillard),3,83-79,,
2:14.0,,,83-79,,M. Smart misses 2-pt shot from 12 ft (block by E. Turner)
2:13.0,,,83-79,,Offensive rebound by M. Smart
2:12.0,,,83-79,,Shooting foul by E. Turner (drawn by M. Smart)
2:12.0,,,83-80,1,M. Smart makes free throw 1 of 2
2:12.0,,,83-81,1,M. Smart makes free throw 2 of 2
2:12.0,M. Harkless enters the game for E. Turner,,83-80,,
1:57.0,Turnover by M. Leonard (bad pass; steal by M. Smart),,83-81,,
1:52.0,,,83-84,3,T. Rozier makes 3-pt shot from 26 ft (assist by M. Smart)
1:39.0,D. Lillard makes 2-pt shot from 1 ft,2,85-84,,
1:25.0,,,85-84,,J. Crowder misses 2-pt shot from 23 ft
1:24.0,Defensive rebound by A. Aminu,,85-84,,
1:17.0,M. Harkless misses 3-pt shot from 24 ft,,85-84,,
1:16.0,,,85-84,,Defensive rebound by K. Olynyk
1:05.0,,,85-86,2,K. Olynyk makes 2-pt shot from 16 ft (assist by T. Rozier)
0:44.0,M. Leonard makes 3-pt shot from 27 ft (assist by D. Lillard),3,88-86,,
0:29.0,,,88-86,,T. Rozier misses 2-pt shot from 14 ft
0:28.0,Defensive rebound by A. Crabbe,,88-86,,
0:05.0,D. Lillard misses 2-pt shot from 9 ft,,88-86,,
0:05.0,,,88-86,,Defensive rebound by M. Smart
0:00.0,,,88-86,,M. Smart misses 3-pt shot from 25 ft (block by D. Lillard)
0:00.0,,,88-86,,Offensive rebound by Team
0:00.0,End of 3rd quarter,,,,End of 3rd quarter
12:00.0,Start of 4th quarter,,,,Start of 4th quarter
11:51.0,,,88-86,,J. Brown misses 2-pt shot from 1 ft
11:49.0,,,88-86,,Offensive rebound by J. Mickey
11:49.0,,,88-88,2,J. Mickey makes 2-pt shot at rim
11:32.0,A. Aminu misses 3-pt shot from 23 ft,,88-88,,
11:31.0,,,88-88,,Defensive rebound by J. Brown
11:10.0,,,88-88,,T. Rozier misses 2-pt shot from 10 ft
11:09.0,,,88-88,,Offensive rebound by Team
11:09.0,Loose ball foul by A. Aminu (drawn by K. Olynyk),,88-88,,
10:58.0,,,88-88,,J. Mickey misses 2-pt shot from 7 ft
10:57.0,Defensive rebound by A. Aminu,,88-88,,
10:54.0,,,88-88,,Personal foul by K. Olynyk (drawn by A. Aminu)
10:44.0,C. McCollum misses 2-pt shot from 14 ft,,88-88,,
10:43.0,,,88-88,,Defensive rebound by T. Rozier
10:32.0,,,88-90,2,I. Thomas makes 2-pt shot from 18 ft (assist by J. Mickey)
10:13.0,C. McCollum misses 2-pt shot from 18 ft,,88-90,,
10:12.0,,,88-90,,Defensive rebound by T. Rozier
10:05.0,,,88-90,,Turnover by I. Thomas (traveling)
10:05.0,E. Turner enters the game for M. Harkless,,88-90,,
9:48.0,Shooting foul by J. Brown (drawn by A. Aminu),,88-90,,
9:48.0,A. Aminu makes free throw 1 of 2,1,89-90,,
9:48.0,A. Aminu makes free throw 2 of 2,1,90-90,,
9:48.0,D. Lillard enters the game for A. Crabbe,,89-90,,
9:33.0,,,90-90,,Turnover by K. Olynyk (illegal screen)
9:25.0,M. Leonard makes 3-pt shot from 26 ft (assist by D. Lillard),3,93-90,,
9:10.0,,,93-90,,Turnover by T. Rozier (bad pass)
9:10.0,,,93-90,,A. Horford enters the game for K. Olynyk
9:10.0,N. Vonleh enters the game for A. Aminu,,93-90,,
8:56.0,D. Lillard misses 3-pt shot from 26 ft,,93-90,,
8:56.0,,,93-90,,Defensive rebound by A. Horford
8:46.0,,,93-90,,I. Thomas misses 3-pt shot from 25 ft
8:44.0,,,93-90,,Offensive rebound by J. Mickey
8:33.0,,,93-90,,Turnover by I. Thomas (lost ball; steal by M. Leonard)
8:28.0,C. McCollum makes 2-pt shot from 18 ft,2,95-90,,
8:27.0,,,95-90,,Boston full timeout
8:27.0,,,95-90,,A. Johnson enters the game for J. Mickey
8:15.0,,,95-93,3,T. Rozier makes 3-pt shot from 25 ft (assist by A. Horford)
7:57.0,Turnover by D. Lillard (bad pass),,95-93,,
7:44.0,,,95-93,,T. Rozier misses 3-pt shot from 26 ft
7:43.0,,,95-93,,Offensive rebound by A. Johnson
7:38.0,,,95-93,,Shooting foul by E. Turner (drawn by I. Thomas)
7:38.0,,,95-93,,I. Thomas misses free throw 1 of 2
7:38.0,,,95-93,,Offensive rebound by Team
7:38.0,,,95-94,1,I. Thomas makes free throw 2 of 2
7:24.0,C. McCollum misses 2-pt shot from 8 ft (block by A. Johnson),,95-94,,
7:23.0,,,95-94,,Defensive rebound by J. Brown
7:18.0,,,95-94,,T. Rozier misses 2-pt shot from 1 ft
7:17.0,Defensive rebound by M. Leonard,,95-94,,
7:13.0,,,95-94,,Personal foul by J. Brown (drawn by E. Turner)
7:04.0,Shooting foul by J. Brown (drawn by E. Turner),,95-94,,
7:04.0,E. Turner makes free throw 1 of 2,1,96-94,,
7:04.0,E. Turner makes free throw 2 of 2,1,97-94,,
6:45.0,,,97-94,,J. Brown misses 3-pt shot from 24 ft
6:43.0,,,97-94,,Offensive rebound by Team
6:43.0,Loose ball foul by E. Turner (drawn by A. Johnson),,97-94,,
6:43.0,,,97-94,,J. Crowder enters the game for J. Brown
6:29.0,,,97-94,,A. Horford misses 2-pt shot from 16 ft
6:28.0,,,97-94,,Offensive rebound by Team
6:28.0,Loose ball foul by N. Vonleh (drawn by A. Johnson),,97-94,,
6:28.0,A. Aminu enters the game for N. Vonleh,,97-94,,
6:28.0,,,97-94,,M. Smart enters the game for T. Rozier
6:15.0,,,97-96,2,A. Johnson makes 2-pt shot from 6 ft (assist by A. Horford)
6:14.0,Portland full timeout,,97-96,,
6:14.0,M. Plumlee enters the game for M. Leonard,,97-96,,
