time,San Antonio,pts.away,score,pts.home,Miami
7:42.0,,,10-3,,H. Whiteside misses 2-pt shot from 10 ft (block by P. Gasol)
7:41.0,Defensive rebound by T. Parker,,10-3,,
7:28.0,Turnover by K. Anderson (traveling),,10-3,,
7:16.0,,,10-3,,J. Winslow misses 3-pt shot from 24 ft
7:14.0,,,10-3,,Offensive rebound by H. Whiteside
7:14.0,,,10-5,2,H. Whiteside makes 2-pt shot at rim
6:48.0,,,10-5,,Personal foul by G. Dragic (drawn by D. Lee)
6:48.0,J. Simmons enters the game for K. Anderson,,10-5,,
6:44.0,T. Parker misses 2-pt shot from 11 ft,,10-5,,
6:43.0,,,10-5,,Defensive rebound by L. Babbitt
6:40.0,,,10-5,,Turnover by G. Dragic (traveling)
6:22.0,J. Simmons misses 2-pt shot from 3 ft,,10-5,,
6:22.0,,,10-5,,Defensive rebound by D. Waiters
6:18.0,,,10-5,,J. Winslow misses 2-pt shot from 1 ft
6:17.0,,,10-5,,Offensive rebound by J. Winslow
6:16.0,,,10-5,,J. Winslow misses 2-pt shot from 1 ft
6:15.0,Defensive rebound by J. Simmons,,10-5,,
6:03.0,K. Leonard misses 3-pt shot from 25 ft,,10-5,,
6:02.0,,,10-5,,Defensive rebound by H. Whiteside
5:54.0,,,10-8,3,D. Waiters makes 3-pt shot from 26 ft (assist by L. Babbitt)
5:40.0,K. Leonard misses 2-pt shot from 12 ft,,10-8,,
5:39.0,,,10-8,,Defensive rebound by H. Whiteside
5:17.0,Shooting block foul by T. Parker (drawn by J. Winslow),,10-8,,
5:17.0,,,10-9,1,J. Winslow makes free throw 1 of 2
5:17.0,,,10-10,1,J. Winslow makes free throw 2 of 2
5:17.0,,,10-9,,T. Johnson enters the game for D. Waiters
5:17.0,D. Dedmon enters the game for P. Gasol,,10-9,,
5:17.0,D. Bertans enters the game for D. Lee,,10-9,,
4:55.0,D. Bertans makes 3-pt shot from 26 ft (assist by J. Simmons),3,13-10,,
4:34.0,,,13-12,2,H. Whiteside makes 2-pt shot at rim (assist by J. Winslow)
4:17.0,Shooting foul by H. Whiteside (drawn by D. Dedmon),,13-12,,
4:17.0,D. Dedmon misses free throw 1 of 2,,13-12,,
4:17.0,Offensive rebound by Team,,13-12,,
4:17.0,D. Dedmon makes free throw 2 of 2,1,14-12,,
4:17.0,M. Ginobili enters the game for T. Parker,,13-12,,
4:17.0,P. Mills enters the game for K. Leonard,,13-12,,
4:13.0,,,14-12,,Offensive charge foul by G. Dragic
4:13.0,,,14-12,,Turnover by G. Dragic (offensive foul)
4:13.0,,,14-12,,R. McGruder enters the game for G. Dragic
3:57.0,P. Mills misses 2-pt shot from 18 ft,,14-12,,
3:56.0,,,14-12,,Defensive rebound by H. Whiteside
3:40.0,,,14-14,2,H. Whiteside makes 2-pt shot from 1 ft (assist by L. Babbitt)
3:23.0,M. Ginobili makes 2-pt shot from 5 ft,2,16-14,,
3:01.0,,,16-14,,J. Winslow misses 3-pt shot from 25 ft
3:00.0,Defensive rebound by Team,,16-14,,
2:41.0,J. Simmons misses 2-pt shot from 9 ft (block by H. Whiteside),,16-14,,
2:40.0,Offensive rebound by Team,,16-14,,
2:40.0,San Antonio full timeout,,16-14,,
2:34.0,P. Mills misses 3-pt shot from 25 ft,,16-14,,
2:33.0,Offensive rebound by D. Bertans,,16-14,,
2:20.0,J. Simmons makes 2-pt shot from 18 ft,2,18-14,,
1:58.0,,,18-14,,L. Babbitt misses 3-pt shot from 25 ft
1:57.0,,,18-14,,Offensive rebound by Team
1:57.0,Loose ball foul by D. Dedmon (drawn by H. Whiteside),,18-14,,
1:48.0,Violation by D. Dedmon (def goaltending),,18-14,,
1:48.0,,,18-16,2,J. Winslow makes 2-pt shot from 2 ft
1:39.0,Turnover by P. Mills (lost ball; steal by H. Whiteside),,18-16,,
1:29.0,,,18-18,2,T. Johnson makes 2-pt shot from 20 ft
1:13.0,Shooting foul by H. Whiteside (drawn by D. Dedmon),,18-18,,
1:13.0,D. Dedmon makes free throw 1 of 2,1,19-18,,
1:13.0,D. Dedmon makes free throw 2 of 2,1,20-18,,
1:13.0,,,19-18,,W. Reed enters the game for L. Babbitt
1:13.0,,,19-18,,D. Waiters enters the game for J. Winslow
1:13.0,,,19-18,,J. Johnson enters the game for H. Whiteside
1:00.0,,,20-18,,T. Johnson misses 3-pt shot from 25 ft
0:59.0,Defensive rebound by D. Dedmon,,20-18,,
0:53.0,Shooting foul by T. Johnson (drawn by D. Dedmon),,20-18,,
0:53.0,D. Dedmon makes free throw 1 of 2,1,21-18,,
0:53.0,D. Dedmon makes free throw 2 of 2,1,22-18,,
0:46.0,,,22-18,,Shooting foul by D. Dedmon (drawn by T. Johnson)
0:46.0,,,22-18,,T. Johnson misses free throw 1 of 2
0:46.0,,,22-18,,Offensive rebound by Team
0:46.0,,,22-19,1,T. Johnson makes free throw 2 of 2
0:37.0,Turnover by M. Ginobili (bad pass),,22-19,,
0:25.0,,,22-19,,Offensive charge foul by D. Waiters
0:25.0,,,22-19,,Turnover by D. Waiters (offensive foul)
0:06.0,M. Ginobili makes 2-pt shot from 1 ft,2,24-19,,
0:01.0,,,24-19,,T. Johnson misses 2-pt shot from 20 ft
0:00.0,,,24-19,,Offensive rebound by Team
0:00.0,End of 1st quarter,,,,End of 1st quarter
12:00.0,Start of 2nd quarter,,,,Start of 2nd quarter
11:54.0,,,24-19,,Personal foul by R. McGruder (drawn by M. Ginobili)
11:47.0,Turnover by M. Ginobili (bad pass; steal by W. Reed),,24-19,,
11:32.0,,,24-21,2,T. Johnson makes 2-pt shot from 8 ft
11:14.0,K. Leonard makes 3-pt shot from 25 ft (assist by P. Gasol),3,27-21,,
10:46.0,,,27-21,,T. Johnson misses 2-pt shot from 18 ft
10:45.0,Defensive rebound by P. Gasol,,27-21,,
10:32.0,P. Mills makes 3-pt shot from 25 ft (assist by K. Leonard),3,30-21,,
10:11.0,Personal block foul by K. Leonard (drawn by T. Johnson),,30-21,,
10:09.0,,,30-21,,Offensive foul by D. Waiters
10:09.0,,,30-21,,Turnover by D. Waiters (offensive foul)
9:59.0,M. Ginobili misses 2-pt shot from 2 ft,,30-21,,
9:58.0,,,30-21,,Defensive rebound by J. Johnson
9:52.0,,,30-21,,D. Waiters misses 2-pt shot from 18 ft
9:51.0,,,30-21,,Offensive rebound by W. Reed
9:50.0,,,30-21,,W. Reed misses 2-pt shot from 1 ft
9:49.0,Defensive rebound by P. Gasol,,30-21,,
9:39.0,P. Mills misses 3-pt shot from 26 ft,,30-21,,
9:38.0,Offensive rebound by M. Ginobili,,30-21,,
9:38.0,,,30-21,,Personal foul by R. McGruder (drawn by M. Ginobili)
9:38.0,K. Anderson enters the game for D. Bertans,,30-21,,
9:38.0,D. Lee enters the game for M. Ginobili,,30-21,,
9:29.0,D. Lee makes 2-pt shot from 2 ft (assist by K. Leonard),2,32-21,,
9:04.0,,,32-21,,J. Johnson misses 2-pt shot from 9 ft
9:03.0,Defensive rebound by P. Gasol,,32-21,,
8:54.0,Offensive charge foul by K. Leonard,,32-21,,
8:54.0,Turnover by K. Leonard (offensive foul),,32-21,,
8:54.0,Official timeout,,32-21,,
8:54.0,T. Parker enters the game for P. Mills,,32-21,,
8:54.0,,,32-21,,L. Babbitt enters the game for D. Waiters
8:54.0,,,32-21,,J. Winslow enters the game for J. Johnson
8:39.0,,,32-21,,R. McGruder misses 3-pt shot from 24 ft
8:38.0,Defensive rebound by T. Parker,,32-21,,
8:29.0,D. Lee makes 2-pt shot from 1 ft (assist by P. Gasol),2,34-21,,
8:11.0,,,34-23,2,J. Winslow makes 2-pt shot from 7 ft
7:54.0,D. Lee misses 2-pt shot from 8 ft,,34-23,,
7:53.0,,,34-23,,Defensive rebound by W. Reed
7:49.0,,,34-25,2,J. Winslow makes 2-pt shot from 2 ft
7:49.0,San Antonio full timeout,,34-25,,
7:41.0,Shooting foul by W. Reed (drawn by K. Leonard),,34-25,,
7:41.0,K. Leonard makes free throw 1 of 2,1,35-25,,
7:41.0,K. Leonard makes free throw 2 of 2,1,36-25,,
7:26.0,,,36-25,,R. McGruder misses 2-pt shot from 7 ft (block by P. Gasol)
7:25.0,Defensive rebound by D. Lee,,36-25,,
7:03.0,T. Parker makes 3-pt shot from 25 ft (assist by K. Leonard),3,39-25,,
7:03.0,,,39-25,,Miami full timeout
7:03.0,,,39-25,,G. Dragic enters the game for T. Johnson
7:03.0,,,39-25,,H. Whiteside enters the game for W. Reed
6:40.0,,,39-25,,G. Dragic misses 3-pt shot from 25 ft
6:39.0,Defensive rebound by D. Lee,,39-25,,
6:31.0,Turnover by K. Leonard (offensive foul),,39-25,,
6:31.0,Offensive foul by K. Leonard,,39-25,,
6:31.0,J. Simmons enters the game for K. Leonard,,39-25,,
6:13.0,,,39-25,,H. Whiteside misses 2-pt shot from 6 ft
6:12.0,Defensive rebound by P. Gasol,,39-25,,
6:03.0,T. Parker misses 2-pt shot from 16 ft,,39-25,,
6:02.0,Offensive rebound by D. Lee,,39-25,,
5:48.0,P. Gasol makes 2-pt shot from 20 ft (assist by T. Parker),2,41-25,,
5:36.0,Personal foul by D. Lee (drawn by L. Babbitt),,41-25,,
5:36.0,,,41-25,,D. Waiters enters the game for R. McGruder
5:33.0,Personal foul by T. Parker (drawn by G. Dragic),,41-25,,
5:33.0,M. Ginobili enters the game for K. Anderson,,41-25,,
5:27.0,,,41-25,,Turnover by D. Waiters (traveling)
5:08.0,P. Gasol misses 2-pt shot from 9 ft,,41-25,,
5:07.0,,,41-25,,Defensive rebound by L. Babbitt
4:59.0,,,41-25,,G. Dragic misses 3-pt shot from 25 ft
4:58.0,Defensive rebound by D. Lee,,41-25,,
4:43.0,Turnover by T. Parker (bad pass; steal by J. Winslow),,41-25,,
4:35.0,,,41-25,,Shooting foul by D. Lee (drawn by H. Whiteside)
4:35.0,,,41-25,,H. Whiteside misses free throw 1 of 2
4:35.0,,,41-25,,Offensive rebound by Team
4:35.0,,,41-26,1,H. Whiteside makes free throw 2 of 2
4:21.0,Turnover by T. Parker (bad pass),,41-26,,
4:21.0,D. Dedmon enters the game for P. Gasol,,41-26,,
4:08.0,,,41-26,,H. Whiteside misses 2-pt shot from 8 ft
4:07.0,,,41-26,,Offensive rebound by Team
4:07.0,P. Mills enters the game for T. Parker,,41-26,,
3:57.0,,,41-29,3,G. Dragic makes 3-pt shot from 25 ft (assist by D. Waiters)
3:57.0,San Antonio full timeout,,41-29,,
3:57.0,D. Bertans enters the game for D. Lee,,41-29,,
3:42.0,M. Ginobili misses 2-pt shot from 6 ft (block by H. Whiteside),,41-29,,
3:41.0,Offensive rebound by D. Dedmon,,41-29,,
3:40.0,D. Dedmon makes 2-pt shot from 2 ft,2,43-29,,
3:25.0,,,43-31,2,G. Dragic makes 2-pt shot from 1 ft (assist by H. Whiteside)
3:11.0,D. Bertans makes 3-pt shot from 26 ft (assist by M. Ginobili),3,46-31,,
2:56.0,,,46-31,,Shooting foul by D. Dedmon (drawn by H. Whiteside)
2:56.0,,,46-31,,H. Whiteside misses free throw 1 of 2
2:56.0,,,46-31,,Offensive rebound by Team
2:56.0,,,46-32,1,H. Whiteside makes free throw 2 of 2
2:56.0,P. Gasol enters the game for D. Dedmon,,46-31,,
2:44.0,J. Simmons misses 2-pt shot from 3 ft,,46-32,,
2:43.0,,,46-32,,Defensive rebound by H. Whiteside
2:40.0,,,46-32,,Shooting foul by D. Bertans (drawn by J. Winslow)
2:40.0,,,46-33,1,J. Winslow makes free throw 1 of 2
2:40.0,,,46-34,1,J. Winslow makes free throw 2 of 2
2:25.0,P. Gasol misses 2-pt shot from 12 ft (block by H. Whiteside),,46-34,,
2:24.0,,,46-34,,Defensive rebound by H. Whiteside
2:11.0,,,46-36,2,H. Whiteside makes 2-pt shot from 4 ft (assist by G. Dragic)
1:45.0,M. Ginobili misses 2-pt shot from 16 ft,,46-36,,
1:44.0,,,46-36,,Defensive rebound by H. Whiteside
1:32.0,,,46-39,3,L. Babbitt makes 3-pt shot from 25 ft (assist by G. Dragic)
1:22.0,M. Ginobili misses 2-pt shot from 2 ft (block by D. Waiters),,46-39,,
1:21.0,,,46-39,,Defensive rebound by H. Whiteside
1:20.0,Personal foul by M. Ginobili (drawn by H. Whiteside),,46-39,,
1:20.0,,,46-39,,H. Whiteside misses free throw 1 of 2
1:20.0,,,46-39,,Offensive rebound by Team
1:20.0,,,46-40,1,H. Whiteside makes free throw 2 of 2
1:20.0,,,46-39,,T. Johnson enters the game for G. Dragic
1:20.0,,,46-39,,R. McGruder enters the game for D. Waiters
1:07.0,P. Gasol makes 2-pt shot from 18 ft (assist by J. Simmons),2,48-40,,
0:51.0,,,48-42,2,H. Whiteside makes 2-pt shot from 14 ft
0:38.0,P. Gasol makes 2-pt shot from 18 ft (assist by M. Ginobili),2,50-42,,
0:27.0,Personal foul by M. Ginobili (drawn by H. Whiteside),,50-42,,
0:27.0,,,50-43,1,H. Whiteside makes free throw 1 of 2
0:27.0,,,50-44,1,H. Whiteside makes free throw 2 of 2
0:05.0,J. Simmons makes 2-pt shot from 2 ft,2,52-44,,
0:05.0,,,52-44,,Miami full timeout
0:05.0,,,52-44,,D. Waiters enters the game for H. Whiteside
0:05.0,K. Anderson enters the game for P. Gasol,,52-44,,
0:01.0,,,52-44,,T. Johnson misses 2-pt shot from 16 ft
0:00.0,,,52-44,,Offensive rebound by Team
0:00.0,End of 2nd quarter,,,,End of 2nd quarter
12:00.0,Start of 3rd quarter,,,,Start of 3rd quarter
11:45.0,,,52-44,,Personal foul by J. Winslow (drawn by K. Leonard)
11:35.0,P. Gasol makes 3-pt shot from 23 ft (assist by K. Leonard),3,55-44,,
11:17.0,,,55-47,3,L. Babbitt makes 3-pt shot from 25 ft (assist by G. Dragic)
11:03.0,Shooting foul by L. Babbitt (drawn by D. Lee),,55-47,,
11:03.0,D. Lee makes free throw 1 of 2,1,56-47,,
11:03.0,D. Lee makes free throw 2 of 2,1,57-47,,
10:41.0,,,57-47,,G. Dragic misses 2-pt shot from 16 ft
10:40.0,Defensive rebound by P. Gasol,,57-47,,
10:25.0,,,57-47,,Personal foul by G. Dragic (drawn by T. Parker)
10:19.0,D. Lee makes 2-pt shot at rim (assist by K. Leonard),2,59-47,,
10:00.0,,,59-49,2,J. Winslow makes 2-pt shot from 17 ft (assist by L. Babbitt)
9:42.0,K. Leonard misses 2-pt shot from 16 ft,,59-49,,
9:41.0,,,59-49,,Defensive rebound by J. Winslow
9:33.0,,,59-49,,D. Waiters misses 2-pt shot from 1 ft
9:32.0,Defensive rebound by P. Gasol,,59-49,,
9:25.0,Turnover by T. Parker (bad pass; steal by D. Waiters),,59-49,,
9:20.0,,,59-52,3,D. Waiters makes 3-pt shot from 25 ft (assist by L. Babbitt)
9:19.0,San Antonio full timeout,,59-52,,
9:05.0,K. Anderson makes 3-pt shot from 25 ft (assist by T. Parker),3,62-52,,
8:46.0,,,62-52,,D. Waiters misses 2-pt shot from 10 ft
8:45.0,Defensive rebound by K. Anderson,,62-52,,
8:37.0,K. Leonard misses 3-pt shot from 24 ft,,62-52,,
8:36.0,,,62-52,,Defensive rebound by L. Babbitt
8:33.0,,,62-52,,D. Waiters misses 2-pt shot from 2 ft (block by T. Parker)
8:32.0,Defensive rebound by Team,,62-52,,
8:16.0,K. Leonard makes 2-pt shot from 1 ft (assist by P. Gasol),2,64-52,,
8:03.0,Personal foul by P. Gasol (drawn by H. Whiteside),,64-52,,
7:54.0,,,64-52,,G. Dragic misses 2-pt shot from 8 ft
7:53.0,Defensive rebound by K. Leonard,,64-52,,
7:42.0,K. Leonard misses 2-pt shot from 6 ft,,64-52,,
7:41.0,,,64-52,,Defensive rebound by H. Whiteside
7:29.0,,,64-55,3,G. Dragic makes 3-pt shot from 26 ft (assist by J. Winslow)
7:14.0,P. Gasol misses 2-pt shot from 10 ft,,64-55,,
7:13.0,Offensive rebound by D. Lee,,64-55,,
7:04.0,P. Gasol misses 2-pt shot from 18 ft (block by H. Whiteside),,64-55,,
7:03.0,,,64-55,,Defensive rebound by J. Winslow
6:59.0,,,64-57,2,H. Whiteside makes 2-pt shot at rim (assist by G. Dragic)
6:49.0,Offensive foul by K. Anderson,,64-57,,
6:49.0,Turnover by K. Anderson (offensive foul),,64-57,,
6:49.0,D. Dedmon enters the game for P. Gasol,,64-57,,
6:49.0,P. Mills enters the game for K. Anderson,,64-57,,
6:49.0,M. Ginobili enters the game for T. Parker,,64-57,,
6:49.0,,,64-57,,T. Johnson enters the game for L. Babbitt
6:27.0,,,64-59,2,J. Winslow makes 2-pt shot from 21 ft (assist by T. Johnson)
6:06.0,P. Mills misses 2-pt shot from 2 ft,,64-59,,
6:05.0,Offensive rebound by D. Lee,,64-59,,
6:04.0,D. Lee misses 2-pt shot from 2 ft,,64-59,,
6:02.0,,,64-59,,Defensive rebound by H. Whiteside
5:47.0,,,64-61,2,G. Dragic makes 2-pt shot from 1 ft
5:42.0,J. Simmons enters the game for K. Leonard,,64-61,,
5:42.0,D. Bertans enters the game for D. Lee,,64-61,,
5:24.0,J. Simmons misses 3-pt shot from 26 ft,,64-61,,
5:23.0,,,64-61,,Defensive rebound by Team
5:17.0,Personal foul by D. Bertans (drawn by J. Winslow),,64-61,,
5:10.0,,,64-61,,G. Dragic misses 2-pt shot from 15 ft
5:09.0,Defensive rebound by D. Dedmon,,64-61,,
5:02.0,J. Simmons misses 2-pt shot from 1 ft,,64-61,,
5:01.0,Offensive rebound by Team,,64-61,,
5:01.0,,,64-61,,Personal foul by J. Winslow (drawn by J. Simmons)
4:53.0,M. Ginobili misses 3-pt shot from 25 ft,,64-61,,
4:52.0,Offensive rebound by D. Dedmon,,64-61,,
4:51.0,D. Dedmon misses 2-pt shot from 2 ft,,64-61,,
4:50.0,,,64-61,,Defensive rebound by H. Whiteside
4:41.0,,,64-63,2,G. Dragic makes 2-pt shot from 2 ft
4:21.0,P. Mills makes 2-pt shot from 14 ft,2,66-63,,
3:56.0,,,66-63,,T. Johnson misses 2-pt shot from 8 ft
3:55.0,Defensive rebound by J. Simmons,,66-63,,
3:49.0,P. Mills makes 3-pt shot from 24 ft (assist by J. Simmons),3,69-63,,
3:49.0,,,69-63,,Miami full timeout
3:49.0,,,69-63,,J. Johnson enters the game for J. Winslow
3:36.0,,,69-63,,G. Dragic misses 3-pt shot from 23 ft
3:35.0,Defensive rebound by M. Ginobili,,69-63,,
3:31.0,Turnover by M. Ginobili (bad pass; steal by J. Johnson),,69-63,,
3:28.0,Personal block foul by M. Ginobili (drawn by G. Dragic),,69-63,,
3:28.0,,,69-63,,R. McGruder enters the game for G. Dragic
3:19.0,,,69-63,,Turnover by T. Johnson (bad pass; steal by M. Ginobili)
3:01.0,Shooting foul by T. Johnson (drawn by J. Simmons),,69-63,,
3:01.0,J. Simmons makes free throw 1 of 2,1,70-63,,
3:01.0,J. Simmons makes free throw 2 of 2,1,71-63,,
2:43.0,,,71-65,2,D. Waiters makes 2-pt shot from 19 ft
2:30.0,Shooting foul by T. Johnson,,71-65,,
2:30.0,P. Mills makes free throw 1 of 2,1,72-65,,
2:30.0,P. Mills makes free throw 2 of 2,1,73-65,,
2:16.0,,,73-67,2,H. Whiteside makes 2-pt shot at rim (assist by D. Waiters)
2:02.0,M. Ginobili misses 2-pt shot from 2 ft,,73-67,,
2:01.0,,,73-67,,Defensive rebound by D. Waiters
1:54.0,,,73-67,,D. Waiters misses 2-pt shot from 5 ft (block by D. Bertans)
1:53.0,Defensive rebound by D. Dedmon,,73-67,,
1:42.0,D. Bertans misses 3-pt shot from 24 ft,,73-67,,
1:41.0,Offensive rebound by M. Ginobili,,73-67,,
1:34.0,D. Dedmon misses 2-pt shot from 16 ft,,73-67,,
1:33.0,,,73-67,,Defensive rebound by H. Whiteside
1:13.0,,,73-69,2,H. Whiteside makes 2-pt shot from 9 ft
1:00.0,P. Mills makes 2-pt shot from 18 ft,2,75-69,,
0:47.0,,,75-71,2,H. Whiteside makes 2-pt shot from 17 ft (assist by T. Johnson)
0:37.0,J. Simmons misses 2-pt shot at rim,,75-71,,
0:36.0,Offensive rebound by D. Dedmon,,75-71,,
0:35.0,D. Dedmon makes 2-pt shot from 4 ft,2,77-71,,
0:13.0,,,77-71,,Shooting foul by D. Dedmon (drawn by D. Waiters)
0:13.0,,,77-72,1,D. Waiters makes free throw 1 of 2
0:13.0,,,77-72,,D. Waiters misses free throw 2 of 2
0:13.0,,,77-72,,W. Reed enters the game for H. Whiteside
0:12.0,Defensive rebound by M. Ginobili,,77-72,,
0:02.0,Turnover by M. Ginobili (traveling),,77-72,,
0:01.0,,,77-72,,D. Waiters misses 3-pt shot from 69 ft
0:00.0,,,77-72,,Offensive rebound by Team
0:00.0,End of 3rd quarter,,,,End of 3rd quarter
12:00.0,Start of 4th quarter,,,,Start of 4th quarter
11:43.0,,,77-72,,J. Johnson misses 2-pt shot from 5 ft
11:42.0,,,77-72,,Offensive rebound by W. Reed
11:41.0,,,77-74,2,W. Reed makes 2-pt shot at rim
11:30.0,K. Leonard makes 2-pt shot from 3 ft,2,79-74,,
11:14.0,,,79-76,2,T. Johnson makes 2-pt shot from 8 ft (assist by G. Dragic)
11:14.0,,,79-76,,Shooting foul by T. Parker (drawn by T. Johnson)
11:14.0,,,79-77,1,T. Johnson makes free throw 1 of 1
11:14.0,,,79-76,,J. Winslow enters the game for R. McGruder
11:14.0,N. Laprovittola enters the game for T. Parker,,79-76,,
10:56.0,P. Gasol misses 2-pt shot from 12 ft,,79-77,,
10:55.0,,,79-77,,Defensive rebound by J. Johnson
10:52.0,,,79-77,,Turnover by J. Winslow (bad pass)
10:38.0,Turnover by K. Leonard (traveling),,79-77,,
10:23.0,,,79-79,2,J. Winslow makes 2-pt shot from 8 ft
10:23.0,,,79-79,,Shooting foul by N. Laprovittola (drawn by J. Winslow)
10:23.0,,,79-79,,J. Winslow misses free throw 1 of 1
10:23.0,T. Parker enters the game for N. Laprovittola,,79-79,,
10:22.0,Defensive rebound by D. Lee,,79-79,,
10:01.0,K. Anderson makes 2-pt shot from 6 ft,2,81-79,,
9:41.0,,,81-79,,G. Dragic misses 2-pt shot from 1 ft
9:40.0,,,81-79,,Offensive rebound by W. Reed
9:39.0,,,81-79,,W. Reed misses 2-pt shot from 2 ft
9:38.0,Defensive rebound by Team,,81-79,,
9:16.0,P. Gasol makes 2-pt shot from 8 ft (assist by T. Parker),2,83-79,,
9:03.0,,,83-81,2,J. Winslow makes 2-pt shot from 19 ft
8:50.0,K. Leonard misses 2-pt shot from 10 ft,,83-81,,
8:49.0,Offensive rebound by P. Gasol,,83-81,,
8:49.0,Shooting foul by J. Johnson (drawn by P. Gasol),,83-81,,
8:49.0,Official timeout,,83-81,,
8:49.0,P. Gasol makes free throw 1 of 2,1,84-81,,
8:49.0,P. Gasol misses free throw 2 of 2,,84-81,,
8:49.0,,,83-81,,H. Whiteside enters the game for W. Reed
8:48.0,,,84-81,,Defensive rebound by H. Whiteside
8:29.0,Personal foul by D. Lee (drawn by T. Johnson),,84-81,,
8:29.0,M. Ginobili enters the game for K. Leonard,,84-81,,
8:17.0,,,84-81,,J. Winslow misses 2-pt shot from 2 ft
8:16.0,Defensive rebound by M. Ginobili,,84-81,,
8:09.0,D. Lee misses 2-pt shot from 2 ft,,84-81,,
8:08.0,Offensive rebound by P. Gasol,,84-81,,
8:07.0,P. Gasol makes 2-pt shot from 2 ft,2,86-81,,
7:49.0,Personal block foul by P. Gasol (drawn by G. Dragic),,86-81,,
7:34.0,,,86-81,,Shooting foul by D. Lee (drawn by H. Whiteside)
7:34.0,,,86-82,1,H. Whiteside makes free throw 1 of 2
7:34.0,,,86-83,1,H. Whiteside makes free throw 2 of 2
7:19.0,T. Parker misses 2-pt shot from 9 ft,,86-83,,
7:18.0,,,86-83,,Defensive rebound by J. Winslow
7:14.0,,,86-85,2,T. Johnson makes 2-pt shot from 2 ft (assist by J. Johnson)
6:57.0,P. Gasol misses 2-pt shot from 14 ft,,86-85,,
6:56.0,Offensive rebound by D. Lee,,86-85,,
6:54.0,D. Lee misses 2-pt shot from 2 ft,,86-85,,
6:53.0,,,86-85,,Defensive rebound by G. Dragic
6:48.0,,,86-87,2,G. Dragic makes 2-pt shot from 4 ft
6:48.0,,,86-87,,Shooting foul by K. Anderson (drawn by G. Dragic)
6:48.0,San Antonio full timeout,,86-87,,
6:48.0,,,86-87,,G. Dragic misses free throw 1 of 1
6:48.0,P. Mills enters the game for P. Gasol,,86-87,,
6:48.0,D. Dedmon enters the game for K. Anderson,,86-87,,
6:48.0,K. Leonard enters the game for T. Parker,,86-87,,
6:47.0,Defensive rebound by D. Dedmon,,86-87,,
6:30.0,P. Mills makes 3-pt shot from 24 ft (assist by K. Leonard),3,89-87,,
6:14.0,,,89-87,,T. Johnson misses 2-pt shot from 2 ft
6:13.0,Defensive rebound by K. Leonard,,89-87,,
6:04.0,K. Leonard makes 2-pt shot at rim,2,91-87,,
6:03.0,,,91-87,,Miami full timeout
6:03.0,,,91-87,,D. Waiters enters the game for J. Johnson
6:03.0,J. Simmons enters the game for D. Lee,,91-87,,
5:48.0,,,91-87,,Shooting foul by J. Simmons (drawn by G. Dragic)
5:48.0,,,91-88,1,G. Dragic makes free throw 1 of 2
5:48.0,,,91-89,1,G. Dragic makes free throw 2 of 2
5:31.0,D. Dedmon misses 2-pt shot from 1 ft (block by J. Winslow),,91-89,,
5:30.0,,,91-89,,Defensive rebound by H. Whiteside
5:17.0,,,91-91,2,H. Whiteside makes 2-pt shot from 7 ft
5:02.0,K. Leonard misses 2-pt shot from 12 ft,,91-91,,
5:01.0,Offensive rebound by D. Dedmon,,91-91,,
