time,Cleveland,pts.away,score,pts.home,Houston
1:35.0,,,20-27,,N. Hilario misses 2-pt shot from 1 ft
1:35.0,,,20-27,,Offensive rebound by N. Hilario
1:28.0,,,20-27,,N. Hilario misses 2-pt shot from 2 ft (block by I. Shumpert)
1:26.0,Defensive rebound by D. Williams,,20-27,,
1:24.0,,,20-27,,Personal foul by S. Dekker (drawn by K. Irving)
1:07.0,T. Thompson makes 2-pt shot at rim (assist by D. Williams),2,22-27,,
0:55.0,,,22-30,3,E. Gordon makes 3-pt shot from 26 ft (assist by J. Harden)
0:38.0,I. Shumpert misses 2-pt shot from 2 ft (block by N. Hilario),,22-30,,
0:38.0,Offensive rebound by T. Thompson,,22-30,,
0:36.0,T. Thompson makes 2-pt shot at rim,2,24-30,,
0:30.0,D. Williams enters the game for K. Irving,,24-30,,
0:20.0,,,24-30,,Shooting foul by D. Williams (drawn by J. Harden)
0:20.0,,,24-31,1,J. Harden makes free throw 1 of 3
0:20.0,,,24-32,1,J. Harden makes free throw 2 of 3
0:20.0,,,24-33,1,J. Harden makes free throw 3 of 3
0:20.0,L. James enters the game for T. Thompson,,24-32,,
0:02.0,L. James makes 2-pt shot from 2 ft,2,26-33,,
0:00.0,,,26-33,,L. Williams misses 3-pt shot from 47 ft
0:00.0,,,26-33,,Offensive rebound by Team
0:00.0,End of 1st quarter,,,,End of 1st quarter
12:00.0,Start of 2nd quarter,,,,Start of 2nd quarter
11:49.0,D. Williams misses 2-pt shot from 4 ft (block by C. Capela),,26-33,,
11:48.0,,,26-33,,Defensive rebound by C. Capela
11:27.0,,,26-33,,P. Beverley misses 2-pt shot from 2 ft
11:26.0,Defensive rebound by C. Frye,,26-33,,
11:17.0,C. Frye makes 2-pt shot from 23 ft (assist by L. James),2,28-33,,
11:07.0,,,28-33,,P. Beverley misses 2-pt shot from 2 ft
11:06.0,Defensive rebound by C. Frye,,28-33,,
11:00.0,L. James makes 2-pt shot at rim (assist by D. Williams),2,30-33,,
10:59.0,,,30-33,,Houston full timeout
10:46.0,,,30-33,,E. Gordon misses 3-pt shot from 23 ft
10:46.0,Defensive rebound by C. Frye,,30-33,,
10:36.0,D. Williams makes 3-pt shot from 25 ft,3,33-33,,
10:18.0,,,33-33,,L. Williams misses 2-pt shot from 15 ft
10:17.0,Defensive rebound by L. James,,33-33,,
10:10.0,L. James makes 2-pt shot from 1 ft,2,35-33,,
9:51.0,,,35-35,2,E. Gordon makes 2-pt shot from 8 ft
9:24.0,C. Frye misses 3-pt shot from 25 ft,,35-35,,
9:24.0,,,35-35,,Defensive rebound by E. Gordon
9:12.0,,,35-35,,S. Dekker misses 3-pt shot from 26 ft
9:11.0,Defensive rebound by D. Williams,,35-35,,
9:05.0,,,35-35,,Personal foul by S. Dekker (drawn by C. Frye)
9:05.0,,,35-35,,T. Ariza enters the game for S. Dekker
9:01.0,,,35-35,,Personal foul by T. Ariza (drawn by L. James)
8:50.0,J. Smith misses 3-pt shot from 26 ft,,35-35,,
8:49.0,,,35-35,,Defensive rebound by T. Ariza
8:42.0,,,35-35,,L. Williams misses 2-pt shot from 14 ft
8:41.0,Defensive rebound by D. Williams,,35-35,,
8:36.0,D. Williams makes 2-pt shot at rim (assist by J. Smith),2,37-35,,
8:28.0,,,37-37,2,C. Capela makes 2-pt shot from 2 ft (assist by P. Beverley)
8:07.0,D. Williams misses 3-pt shot from 26 ft,,37-37,,
8:06.0,,,37-37,,Defensive rebound by C. Capela
7:59.0,,,37-37,,T. Ariza misses 3-pt shot from 26 ft
7:57.0,Defensive rebound by J. Smith,,37-37,,
7:50.0,Turnover by D. Williams (lost ball; steal by L. Williams),,37-37,,
7:39.0,,,37-37,,Shooting foul by D. Williams (drawn by T. Ariza)
7:39.0,,,37-39,2,T. Ariza makes 2-pt shot from 2 ft (assist by P. Beverley)
7:39.0,,,37-40,1,T. Ariza makes free throw 1 of 1
7:39.0,R. Jefferson enters the game for J. Smith,,37-39,,
7:39.0,,,37-39,,R. Anderson enters the game for L. Williams
7:25.0,D. Williams misses 2-pt shot from 20 ft,,37-40,,
7:25.0,Offensive rebound by Team,,37-40,,
7:25.0,,,37-40,,Loose ball foul by C. Capela (drawn by R. Jefferson)
7:25.0,I. Shumpert enters the game for L. James,,37-40,,
7:25.0,K. Irving enters the game for D. Williams,,37-40,,
7:19.0,Shooting foul by C. Capela (drawn by I. Shumpert),,37-40,,
7:19.0,I. Shumpert makes free throw 1 of 2,1,38-40,,
7:19.0,I. Shumpert makes free throw 2 of 2,1,39-40,,
6:59.0,,,39-43,3,P. Beverley makes 3-pt shot from 25 ft (assist by R. Anderson)
6:42.0,R. Jefferson makes 3-pt shot from 24 ft (assist by K. Irving),3,42-43,,
6:26.0,,,42-43,,E. Gordon misses 3-pt shot from 26 ft
6:25.0,Defensive rebound by I. Shumpert,,42-43,,
6:06.0,R. Jefferson makes 3-pt shot from 25 ft (assist by K. Irving),3,45-43,,
5:50.0,,,45-43,,R. Anderson misses 3-pt shot from 25 ft
5:49.0,Defensive rebound by I. Shumpert,,45-43,,
5:33.0,K. Irving makes 3-pt shot from 25 ft (assist by D. Williams),3,48-43,,
5:33.0,,,48-43,,Houston full timeout
5:33.0,,,48-43,,Houston full timeout
5:33.0,,,48-43,,N. Hilario enters the game for C. Capela
5:33.0,,,48-43,,J. Harden enters the game for P. Beverley
5:19.0,,,48-43,,T. Ariza misses 2-pt shot from 4 ft (block by K. Irving)
5:19.0,Defensive rebound by Team,,48-43,,
5:08.0,C. Frye makes 3-pt shot from 25 ft (assist by K. Irving),3,51-43,,
4:58.0,,,51-43,,Shooting foul by I. Shumpert (drawn by J. Harden)
4:58.0,,,51-43,,J. Harden misses free throw 1 of 3
4:58.0,,,51-43,,Offensive rebound by Team
4:58.0,,,51-44,1,J. Harden makes free throw 2 of 3
4:58.0,,,51-45,1,J. Harden makes free throw 3 of 3
4:47.0,R. Jefferson makes 3-pt shot from 23 ft (assist by K. Irving),3,54-45,,
4:31.0,,,54-45,,J. Harden misses 3-pt shot from 25 ft
4:30.0,Defensive rebound by D. Williams,,54-45,,
4:19.0,R. Jefferson makes 3-pt shot from 26 ft (assist by K. Irving),3,57-45,,
4:05.0,,,57-45,,Turnover by J. Harden (bad pass; steal by C. Frye)
3:40.0,K. Irving misses 3-pt shot from 25 ft,,57-45,,
3:39.0,,,57-45,,Defensive rebound by T. Ariza
3:33.0,,,57-47,2,N. Hilario makes 2-pt shot at rim (assist by J. Harden)
3:31.0,Cleveland full timeout,,57-47,,
3:31.0,L. James enters the game for I. Shumpert,,57-47,,
3:31.0,T. Thompson enters the game for D. Williams,,57-47,,
3:31.0,J. Smith enters the game for C. Frye,,57-47,,
3:15.0,Shooting foul by R. Anderson (drawn by K. Irving),,57-47,,
3:15.0,K. Irving makes free throw 1 of 2,1,58-47,,
3:15.0,K. Irving makes free throw 2 of 2,1,59-47,,
2:58.0,,,59-49,2,N. Hilario makes 2-pt shot from 6 ft (assist by J. Harden)
2:43.0,T. Thompson makes 2-pt shot at rim (assist by L. James),2,61-49,,
2:31.0,,,61-49,,Offensive foul by N. Hilario
2:31.0,,,61-49,,Turnover by N. Hilario (offensive foul)
2:31.0,,,61-49,,P. Beverley enters the game for R. Anderson
2:14.0,L. James makes 2-pt shot from 2 ft,2,63-49,,
2:06.0,,,63-51,2,E. Gordon makes 2-pt shot from 2 ft (assist by J. Harden)
1:46.0,,,63-51,,Shooting block foul by T. Ariza (drawn by L. James)
1:46.0,L. James makes 2-pt shot from 2 ft,2,65-51,,
1:46.0,L. James misses free throw 1 of 1,,65-51,,
1:46.0,,,65-51,,Defensive rebound by J. Harden
1:25.0,,,65-54,3,J. Harden makes 3-pt shot from 25 ft (assist by P. Beverley)
1:07.0,Turnover by K. Irving (bad pass; steal by N. Hilario),,65-54,,
1:01.0,Personal foul by K. Irving (drawn by N. Hilario),,65-54,,
0:53.0,,,65-56,2,N. Hilario makes 2-pt shot from 2 ft (assist by J. Harden)
0:30.0,K. Irving makes 2-pt shot from 17 ft,2,67-56,,
0:27.0,,,67-58,2,J. Harden makes 2-pt shot from 2 ft
0:07.0,Turnover by T. Thompson (lost ball; steal by N. Hilario),,67-58,,
0:02.0,,,67-58,,E. Gordon misses 3-pt shot from 26 ft
0:01.0,,,67-58,,Offensive rebound by E. Gordon
0:00.0,End of 2nd quarter,,,,End of 2nd quarter
12:00.0,Start of 3rd quarter,,,,Start of 3rd quarter
11:45.0,K. Irving makes 2-pt shot from 2 ft (assist by R. Jefferson),2,69-58,,
11:29.0,,,69-58,,C. Capela misses 2-pt shot from 2 ft
11:28.0,Defensive rebound by K. Irving,,69-58,,
11:20.0,I. Shumpert makes 2-pt shot from 20 ft (assist by L. James),2,71-58,,
11:14.0,,,71-58,,Turnover by J. Harden (bad pass)
11:00.0,K. Irving misses 3-pt shot from 28 ft,,71-58,,
10:59.0,,,71-58,,Defensive rebound by C. Capela
10:42.0,,,71-60,2,R. Anderson makes 2-pt shot from 10 ft
10:15.0,L. James makes 3-pt shot from 26 ft,3,74-60,,
10:09.0,,,74-60,,Shooting foul by T. Thompson (drawn by T. Ariza)
10:09.0,,,74-61,1,T. Ariza makes free throw 1 of 2
10:09.0,,,74-62,1,T. Ariza makes free throw 2 of 2
9:53.0,L. James misses 3-pt shot from 25 ft,,74-62,,
9:52.0,,,74-62,,Defensive rebound by T. Ariza
9:42.0,,,74-65,3,J. Harden makes 3-pt shot from 25 ft
9:19.0,K. Irving misses 2-pt shot from 18 ft,,74-65,,
9:18.0,,,74-65,,Defensive rebound by J. Harden
8:58.0,,,74-68,3,R. Anderson makes 3-pt shot from 23 ft (assist by P. Beverley)
8:57.0,Cleveland full timeout,,74-68,,
8:35.0,I. Shumpert misses 3-pt shot from 25 ft,,74-68,,
8:34.0,,,74-68,,Defensive rebound by T. Ariza
8:25.0,,,74-68,,Shooting foul by K. Irving (drawn by T. Ariza)
8:25.0,,,74-69,1,T. Ariza makes free throw 1 of 2
8:25.0,,,74-69,,T. Ariza misses free throw 2 of 2
8:25.0,Defensive rebound by R. Jefferson,,74-69,,
8:06.0,,,74-69,,Personal foul by P. Beverley (drawn by L. James)
7:54.0,K. Irving makes 2-pt shot from 22 ft,2,76-69,,
7:50.0,,,76-69,,Turnover by J. Harden (bad pass; steal by L. James)
7:43.0,I. Shumpert makes 3-pt shot from 24 ft (assist by L. James),3,79-69,,
7:26.0,,,79-69,,J. Harden misses 2-pt shot from 6 ft
7:26.0,Defensive rebound by T. Thompson,,79-69,,
7:18.0,K. Irving misses 3-pt shot from 26 ft,,79-69,,
7:17.0,,,79-69,,Defensive rebound by C. Capela
7:03.0,,,79-69,,J. Harden misses 2-pt shot from 2 ft (block by T. Thompson)
7:02.0,Defensive rebound by L. James,,79-69,,
6:52.0,T. Thompson makes 2-pt shot from 8 ft (assist by K. Irving),2,81-69,,
6:32.0,,,81-72,3,R. Anderson makes 3-pt shot from 24 ft (assist by T. Ariza)
6:05.0,K. Irving misses 3-pt shot from 24 ft,,81-72,,
6:04.0,,,81-72,,Defensive rebound by R. Anderson
5:47.0,,,81-72,,J. Harden misses 3-pt shot from 26 ft
5:46.0,,,81-72,,Offensive rebound by C. Capela
5:46.0,,,81-74,2,C. Capela makes 2-pt shot from 2 ft
5:27.0,Turnover by I. Shumpert (traveling),,81-74,,
5:27.0,J. Smith enters the game for R. Jefferson,,81-74,,
5:10.0,,,81-76,2,J. Harden makes 2-pt shot from 2 ft
5:09.0,Cleveland full timeout,,81-76,,
5:09.0,,,81-76,,E. Gordon enters the game for P. Beverley
4:57.0,Offensive charge foul by L. James,,81-76,,
4:57.0,Turnover by L. James (offensive foul),,81-76,,
4:41.0,,,81-78,2,J. Harden makes 2-pt shot from 2 ft
4:23.0,I. Shumpert misses 3-pt shot from 25 ft,,81-78,,
4:22.0,,,81-78,,Defensive rebound by T. Ariza
4:06.0,,,81-78,,J. Harden misses 3-pt shot from 25 ft
4:05.0,Defensive rebound by L. James,,81-78,,
3:57.0,J. Smith misses 3-pt shot from 26 ft,,81-78,,
3:57.0,Offensive rebound by Team,,81-78,,
3:57.0,,,81-78,,Loose ball foul by C. Capela (drawn by T. Thompson)
3:57.0,D. Williams enters the game for I. Shumpert,,81-78,,
3:57.0,,,81-78,,N. Hilario enters the game for C. Capela
3:52.0,Turnover by L. James (bad pass; steal by E. Gordon),,81-78,,
3:45.0,Personal foul by D. Williams (drawn by N. Hilario),,81-78,,
3:36.0,,,81-80,2,J. Harden makes 2-pt shot from 2 ft
3:17.0,L. James makes 2-pt shot from 15 ft,2,83-80,,
3:06.0,,,83-80,,R. Anderson misses 3-pt shot from 25 ft
3:05.0,,,83-80,,Offensive rebound by N. Hilario
2:59.0,,,83-80,,T. Ariza misses 3-pt shot from 25 ft
2:58.0,,,83-80,,Offensive rebound by N. Hilario
2:51.0,,,83-80,,E. Gordon misses 3-pt shot from 23 ft
2:51.0,,,83-80,,Offensive rebound by R. Anderson
2:49.0,,,83-80,,R. Anderson misses 2-pt shot from 2 ft
2:48.0,Defensive rebound by L. James,,83-80,,
2:36.0,K. Irving misses 2-pt shot from 15 ft (block by J. Harden),,83-80,,
2:36.0,,,83-80,,Defensive rebound by J. Harden
2:36.0,Personal foul by K. Irving (drawn by J. Harden),,83-80,,
2:36.0,,,83-80,,L. Williams enters the game for R. Anderson
2:22.0,,,83-80,,T. Ariza misses 3-pt shot from 24 ft
2:21.0,,,83-80,,Offensive rebound by L. Williams
2:16.0,,,83-80,,E. Gordon misses 2-pt shot from 2 ft
2:14.0,,,83-80,,Offensive rebound by E. Gordon
2:11.0,,,83-83,3,L. Williams makes 3-pt shot from 25 ft (assist by E. Gordon)
2:09.0,Cleveland full timeout,,83-83,,
2:09.0,D. Williams enters the game for L. James,,83-83,,
1:56.0,J. Smith misses 3-pt shot from 25 ft,,83-83,,
1:55.0,,,83-83,,Defensive rebound by L. Williams
1:49.0,,,83-83,,J. Harden misses 2-pt shot from 2 ft
1:48.0,Defensive rebound by D. Williams,,83-83,,
1:26.0,D. Williams makes 3-pt shot from 25 ft (assist by K. Irving),3,86-83,,
1:08.0,,,86-85,2,N. Hilario makes 2-pt shot from 1 ft (assist by L. Williams)
0:52.0,K. Irving misses 2-pt shot from 5 ft (block by E. Gordon),,86-85,,
0:51.0,,,86-85,,Defensive rebound by N. Hilario
0:46.0,,,86-85,,Shooting foul by J. Smith (drawn by E. Gordon)
0:46.0,,,86-86,1,E. Gordon makes free throw 1 of 3
0:46.0,,,86-87,1,E. Gordon makes free throw 2 of 3
0:46.0,,,86-88,1,E. Gordon makes free throw 3 of 3
0:33.0,K. Irving misses 2-pt shot from 2 ft,,86-88,,
0:32.0,Offensive rebound by T. Thompson,,86-88,,
0:29.0,,,86-88,,Personal foul by J. Harden (drawn by T. Thompson)
0:15.0,Turnover by K. Irving (bad pass; steal by J. Harden),,86-88,,
0:12.0,,,86-90,2,J. Harden makes 2-pt shot from 2 ft
0:01.0,D. Williams misses 3-pt shot from 25 ft,,86-90,,
0:00.0,,,86-90,,Defensive rebound by J. Harden
0:00.0,End of 3rd quarter,,,,End of 3rd quarter
12:00.0,Start of 4th quarter,,,,Start of 4th quarter
11:49.0,,,86-92,2,L. Williams makes 2-pt shot from 2 ft
11:28.0,L. James makes 3-pt shot from 26 ft (assist by D. Williams),3,89-92,,
11:14.0,,,89-94,2,N. Hilario makes 2-pt shot from 2 ft (assist by L. Williams)
10:52.0,Shooting foul by N. Hilario (drawn by D. Williams),,89-94,,
10:52.0,D. Williams makes free throw 1 of 2,1,90-94,,
10:52.0,D. Williams makes free throw 2 of 2,1,91-94,,
10:43.0,,,91-94,,Turnover by L. Williams (bad pass; steal by L. James)
10:32.0,J. Smith makes 2-pt shot from 12 ft,2,93-94,,
10:24.0,,,93-94,,E. Gordon misses 3-pt shot from 26 ft
10:23.0,Defensive rebound by D. Williams,,93-94,,
10:15.0,C. Frye makes 3-pt shot from 24 ft (assist by D. Williams),3,96-94,,
10:15.0,,,96-94,,Houston full timeout
10:15.0,,,96-94,,C. Capela enters the game for T. Ariza
10:15.0,,,96-94,,J. Harden enters the game for N. Hilario
9:57.0,,,96-97,3,P. Beverley makes 3-pt shot from 24 ft (assist by E. Gordon)
9:35.0,Turnover by C. Frye (traveling),,96-97,,
9:24.0,,,96-97,,J. Harden misses 2-pt shot from 7 ft
9:23.0,Defensive rebound by C. Frye,,96-97,,
9:17.0,L. James misses 3-pt shot from 27 ft,,96-97,,
9:16.0,,,96-97,,Defensive rebound by C. Capela
9:08.0,,,96-97,,P. Beverley misses 3-pt shot from 24 ft
9:07.0,Defensive rebound by J. Smith,,96-97,,
9:00.0,Turnover by L. James (bad pass; steal by C. Capela),,96-97,,
8:57.0,Personal foul by D. Williams (drawn by J. Harden),,96-97,,
8:57.0,R. Jefferson enters the game for D. Williams,,96-97,,
8:48.0,,,96-97,,Shooting foul by J. Smith (drawn by C. Capela)
8:48.0,,,96-97,,C. Capela misses free throw 1 of 2
8:48.0,,,96-97,,Offensive rebound by Team
8:48.0,,,96-97,,C. Capela misses free throw 2 of 2
8:48.0,Defensive rebound by L. James,,96-97,,
8:28.0,L. James makes 2-pt shot at rim (assist by J. Smith),2,98-97,,
8:11.0,,,98-97,,Houston full timeout
8:07.0,,,98-100,3,J. Harden makes 3-pt shot from 25 ft (assist by C. Capela)
7:47.0,J. Smith misses 2-pt shot from 21 ft,,98-100,,
7:46.0,,,98-100,,Defensive rebound by P. Beverley
7:40.0,Personal foul by J. Smith (drawn by J. Harden),,98-100,,
7:40.0,I. Shumpert enters the game for J. Smith,,98-100,,
7:40.0,,,98-100,,R. Anderson enters the game for L. Williams
7:25.0,,,98-100,,E. Gordon misses 3-pt shot from 25 ft
7:24.0,,,98-100,,Offensive rebound by J. Harden
7:12.0,,,98-100,,P. Beverley misses 2-pt shot from 11 ft
7:11.0,Defensive rebound by I. Shumpert,,98-100,,
6:54.0,D. Williams makes 3-pt shot from 26 ft (assist by L. James),3,101-100,,
6:41.0,,,101-100,,C. Capela misses 2-pt shot from 4 ft
6:40.0,,,101-100,,Offensive rebound by J. Harden
6:40.0,,,101-102,2,J. Harden makes 2-pt shot from 2 ft
6:19.0,L. James misses 3-pt shot from 25 ft,,101-102,,
6:18.0,,,101-102,,Defensive rebound by J. Harden
6:15.0,,,101-104,2,C. Capela makes 2-pt shot at rim (assist by J. Harden)
6:15.0,Cleveland full timeout,,101-104,,
6:15.0,,,101-104,,T. Ariza enters the game for E. Gordon
6:15.0,K. Irving enters the game for C. Frye,,101-104,,
6:05.0,Turnover by L. James (bad pass; steal by P. Beverley),,101-104,,
6:00.0,Personal foul by R. Jefferson (drawn by R. Anderson),,101-104,,
5:55.0,,,101-104,,J. Harden misses 3-pt shot from 25 ft
5:54.0,,,101-104,,Offensive rebound by R. Anderson
5:54.0,,,101-104,,Shooting foul by D. Williams (drawn by R. Anderson)
5:54.0,,,101-105,1,R. Anderson makes free throw 1 of 2
5:54.0,,,101-106,1,R. Anderson makes free throw 2 of 2
5:54.0,T. Thompson enters the game for D. Williams,,101-105,,
5:43.0,K. Irving misses 2-pt shot from 20 ft,,101-106,,
5:42.0,,,101-106,,Defensive rebound by R. Anderson
5:34.0,,,101-106,,C. Capela misses 2-pt shot from 1 ft (block by T. Thompson)
5:33.0,,,101-106,,Offensive rebound by C. Capela
5:29.0,,,101-106,,J. Harden misses 3-pt shot from 25 ft
5:29.0,,,101-106,,Offensive rebound by P. Beverley
5:29.0,Personal foul by R. Jefferson (drawn by P. Beverley),,101-106,,
5:29.0,,,101-107,1,P. Beverley makes free throw 1 of 2
5:29.0,,,101-107,,P. Beverley misses free throw 2 of 2
5:29.0,Defensive rebound by R. Jefferson,,101-107,,
5:04.0,L. James makes 3-pt shot from 26 ft (assist by I. Shumpert),3,104-107,,
4:41.0,,,104-107,,R. Anderson misses 3-pt shot from 27 ft
4:41.0,,,104-107,,Offensive rebound by Team
4:41.0,Loose ball foul by K. Irving (drawn by P. Beverley),,104-107,,
4:41.0,,,104-107,,P. Beverley misses free throw 1 of 2
4:41.0,,,104-107,,Offensive rebound by Team
4:41.0,,,104-108,1,P. Beverley makes free throw 2 of 2
4:41.0,,,104-107,,N. Hilario enters the game for C. Capela
4:19.0,K. Irving makes 2-pt shot from 7 ft,2,106-108,,
4:07.0,,,106-110,2,J. Harden makes 2-pt shot from 2 ft
3:44.0,I. Shumpert misses 3-pt shot from 24 ft,,106-110,,
3:44.0,,,106-110,,Defensive rebound by R. Anderson
3:27.0,Shooting block foul by T. Thompson (drawn by J. Harden),,106-110,,
3:27.0,,,106-110,,J. Harden misses free throw 1 of 2
3:27.0,,,106-110,,Offensive rebound by Team
3:27.0,,,106-111,1,J. Harden makes free throw 2 of 2
3:14.0,Shooting foul by N. Hilario (drawn by K. Irving),,106-111,,
3:14.0,K. Irving misses free throw 1 of 2,,106-111,,
3:14.0,Offensive rebound by Team,,106-111,,
3:14.0,K. Irving makes free throw 2 of 2,1,107-111,,
2:55.0,,,107-111,,T. Ariza misses 2-pt shot from 2 ft
2:54.0,,,107-111,,Offensive rebound by T. Ariza
2:53.0,,,107-111,,Houston full timeout
2:49.0,,,107-111,,J. Harden misses 3-pt shot from 29 ft
2:48.0,Defensive rebound by L. James,,107-111,,
2:34.0,L. James misses 2-pt shot from 20 ft,,107-111,,
2:33.0,,,107-111,,Defensive rebound by J. Harden
2:23.0,,,107-113,2,N. Hilario makes 2-pt shot from 1 ft (assist by J. Harden)
2:02.0,Turnover by L. James (bad pass; steal by N. Hilario),,107-113,,
1:53.0,,,107-116,3,P. Beverley makes 3-pt shot from 23 ft (assist by R. Anderson)
1:53.0,Cleveland full timeout,,107-116,,
1:53.0,D. Williams enters the game for I. Shumpert,,107-116,,
1:45.0,L. James misses 3-pt shot from 25 ft,,107-116,,
