time,New York,pts.away,score,pts.home,Denver
6:32.0,W. Hernangomez makes free throw 1 of 2,1,35-44,,
6:32.0,W. Hernangomez makes free throw 2 of 2,1,36-44,,
6:32.0,C. Anthony enters the game for L. Thomas,,35-44,,
6:32.0,,,35-44,,E. Mudiay enters the game for N. Jokic
6:32.0,,,35-44,,G. Harris enters the game for W. Barton
6:32.0,,,35-44,,K. Faried enters the game for J. Nelson
6:32.0,,,35-44,,W. Chandler enters the game for J. Murray
6:15.0,,,36-44,,G. Harris misses 2-pt shot from 19 ft
6:14.0,,,36-44,,Offensive rebound by Team
6:14.0,Loose ball foul by C. Anthony (drawn by D. Gallinari),,36-44,,
6:14.0,C. Lee enters the game for W. Hernangomez,,36-44,,
6:00.0,,,36-47,3,W. Chandler makes 3-pt shot from 24 ft (assist by E. Mudiay)
5:58.0,Turnover by J. Holiday (step out of bounds),,36-47,,
5:36.0,,,36-50,3,E. Mudiay makes 3-pt shot from 24 ft (assist by K. Faried)
5:28.0,,,36-50,,Personal foul by G. Harris (drawn by B. Jennings)
5:17.0,C. Anthony makes 2-pt shot from 1 ft,2,38-50,,
5:08.0,,,38-52,2,K. Faried makes 2-pt shot at rim (assist by E. Mudiay)
4:50.0,K. Porzingis misses 3-pt shot from 25 ft,,38-52,,
4:49.0,,,38-52,,Defensive rebound by G. Harris
4:40.0,,,38-54,2,D. Gallinari makes 2-pt shot from 23 ft (assist by G. Harris)
4:40.0,New York full timeout,,38-54,,
4:20.0,K. Porzingis makes 2-pt shot from 11 ft (assist by B. Jennings),2,40-54,,
4:05.0,,,40-54,,W. Chandler misses 3-pt shot from 23 ft
4:04.0,,,40-54,,Offensive rebound by K. Faried
4:03.0,,,40-54,,Shooting foul by K. Porzingis (drawn by K. Faried)
4:03.0,,,40-54,,K. Faried misses free throw 1 of 2
4:03.0,,,40-54,,Offensive rebound by Team
4:03.0,,,40-55,1,K. Faried makes free throw 2 of 2
4:03.0,W. Hernangomez enters the game for J. Holiday,,40-54,,
3:52.0,,,40-55,,Personal block foul by D. Gallinari (drawn by B. Jennings)
3:52.0,B. Jennings makes free throw 1 of 2,1,41-55,,
3:52.0,B. Jennings makes free throw 2 of 2,1,42-55,,
3:52.0,,,41-55,,W. Barton enters the game for D. Gallinari
3:29.0,,,42-55,,W. Chandler misses 2-pt shot from 19 ft
3:26.0,Defensive rebound by C. Anthony,,42-55,,
3:17.0,K. Porzingis misses 2-pt shot from 8 ft,,42-55,,
3:16.0,,,42-55,,Defensive rebound by K. Faried
3:14.0,,,42-55,,Turnover by K. Faried (bad pass; steal by B. Jennings)
3:07.0,W. Hernangomez misses 2-pt shot from 3 ft,,42-55,,
3:06.0,Offensive rebound by C. Anthony,,42-55,,
3:01.0,C. Anthony makes 2-pt shot at rim,2,44-55,,
2:44.0,,,44-57,2,K. Faried makes 2-pt shot from 4 ft (assist by E. Mudiay)
2:34.0,K. Porzingis misses 3-pt shot from 26 ft,,44-57,,
2:33.0,,,44-57,,Defensive rebound by E. Mudiay
2:26.0,,,44-59,2,G. Harris makes 2-pt shot from 2 ft
2:17.0,K. Porzingis misses 2-pt shot from 6 ft,,44-59,,
2:16.0,Offensive rebound by K. Porzingis,,44-59,,
2:12.0,C. Anthony makes 3-pt shot from 25 ft (assist by K. Porzingis),3,47-59,,
1:55.0,,,47-59,,E. Mudiay misses 3-pt shot from 26 ft
1:55.0,Defensive rebound by Team,,47-59,,
1:55.0,Official timeout,,47-59,,
1:42.0,C. Anthony makes 2-pt shot from 2 ft (assist by W. Hernangomez),2,49-59,,
1:23.0,,,49-61,2,G. Harris makes 2-pt shot from 1 ft (assist by W. Chandler)
1:11.0,Turnover by W. Hernangomez (lost ball; steal by W. Chandler),,49-61,,
0:50.0,,,49-61,,Turnover by W. Barton (lost ball)
0:40.0,K. Porzingis makes 3-pt shot from 23 ft (assist by C. Anthony),3,52-61,,
0:26.0,,,52-61,,E. Mudiay misses 2-pt shot from 3 ft
0:26.0,,,52-61,,Offensive rebound by Team
0:26.0,Personal foul by C. Lee (drawn by K. Faried),,52-61,,
0:26.0,,,52-61,,K. Faried misses free throw 1 of 2
0:26.0,,,52-61,,Offensive rebound by Team
0:26.0,,,52-62,1,K. Faried makes free throw 2 of 2
0:02.0,C. Anthony makes 2-pt shot from 16 ft,2,54-62,,
0:00.0,End of 2nd quarter,,,,End of 2nd quarter
12:00.0,Start of 3rd quarter,,,,Start of 3rd quarter
11:34.0,,,54-62,,N. Jokic misses 2-pt shot from 18 ft
11:33.0,Defensive rebound by C. Anthony,,54-62,,
11:12.0,C. Lee misses 2-pt shot from 17 ft,,54-62,,
11:09.0,Offensive rebound by C. Lee,,54-62,,
11:09.0,C. Lee misses 2-pt shot from 1 ft,,54-62,,
11:07.0,,,54-62,,Defensive rebound by N. Jokic
10:56.0,,,54-64,2,N. Jokic makes 2-pt shot from 2 ft
10:32.0,B. Jennings misses 2-pt shot from 7 ft,,54-64,,
10:31.0,,,54-64,,Defensive rebound by E. Mudiay
10:18.0,,,54-66,2,E. Mudiay makes 2-pt shot from 2 ft
10:03.0,J. Noah makes 2-pt shot from 2 ft,2,56-66,,
